year,age_gr,migback,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,17-29 y.,No migration background,No,0.91445,2886,2939,0.90434,0.92457
2017,17-29 y.,Direct migration background,Yes,0.01463,34,2073,0.00946,0.01980
2017,17-29 y.,Direct migration background,No,0.93184,2039,2073,0.92099,0.94269
2017,17-29 y.,Indirect migration background,No,0.89176,789,789,0.87007,0.91345
2017,30-45 y.,No migration background,Yes,0.01863,80,4563,0.01471,0.02256
2017,30-45 y.,No migration background,No,0.98137,4483,4563,0.97744,0.98529
2017,30-45 y.,Direct migration background,Yes,0.02404,81,3973,0.01927,0.02880
2017,30-45 y.,Direct migration background,No,0.97590,3892,3973,0.97113,0.98067
2017,30-45 y.,Indirect migration background,No,0.97903,579,579,0.96734,0.99071
2017,46-65 y.,No migration background,Yes,0.00623,67,8152,0.00452,0.00794
2017,46-65 y.,No migration background,No,0.99377,8085,8152,0.99206,0.99548
2017,46-65 y.,Direct migration background,No,0.99102,2175,2175,0.98706,0.99499
2017,46-65 y.,Indirect migration background,No,0.99704,224,224,0.98991,1.00417
2017,66 and older,No migration background,No,0.99978,4501,4501,0.99934,1.00021
2018,17-29 y.,No migration background,Yes,0.01314,38,2913,0.00900,0.01727
2018,17-29 y.,No migration background,No,0.92205,2875,2913,0.91231,0.93179
2018,17-29 y.,Direct migration background,Yes,0.02621,36,1765,0.01876,0.03367
2018,17-29 y.,Direct migration background,No,0.94050,1729,1765,0.92946,0.95154
2018,17-29 y.,Indirect migration background,No,0.91288,800,800,0.89332,0.93243
2018,30-45 y.,No migration background,Yes,0.02174,73,4219,0.01734,0.02615
2018,30-45 y.,No migration background,No,0.97822,4146,4219,0.97381,0.98262
2018,30-45 y.,Direct migration background,Yes,0.02333,95,3659,0.01844,0.02823
2018,30-45 y.,Direct migration background,No,0.97580,3564,3659,0.97082,0.98078
2018,30-45 y.,Indirect migration background,No,0.97925,554,554,0.96737,0.99113
2018,46-65 y.,No migration background,Yes,0.00351,47,7810,0.00220,0.00482
2018,46-65 y.,No migration background,No,0.99649,7763,7810,0.99518,0.99780
2018,46-65 y.,Direct migration background,Yes,0.00820,34,2212,0.00444,0.01196
2018,46-65 y.,Direct migration background,No,0.99180,2178,2212,0.98804,0.99556
2018,46-65 y.,Indirect migration background,No,0.99407,235,235,0.98423,1.00391
2018,66 and older,No migration background,No,0.99923,4510,4510,0.99841,1.00004
2019,17-29 y.,No migration background,Yes,0.01350,41,2711,0.00915,0.01784
2019,17-29 y.,No migration background,No,0.90900,2670,2711,0.89817,0.91983
2019,17-29 y.,Direct migration background,No,0.93895,1399,1399,0.92640,0.95150
2019,17-29 y.,Indirect migration background,No,0.88675,694,694,0.86316,0.91035
2019,30-45 y.,No migration background,Yes,0.01796,73,4139,0.01391,0.02201
2019,30-45 y.,No migration background,No,0.98204,4066,4139,0.97799,0.98609
2019,30-45 y.,Direct migration background,Yes,0.01399,45,3273,0.00996,0.01801
2019,30-45 y.,Direct migration background,No,0.98601,3228,3273,0.98199,0.99004
2019,30-45 y.,Indirect migration background,No,0.98318,543,543,0.97235,0.99401
2019,46-65 y.,No migration background,Yes,0.00546,57,8624,0.00391,0.00702
2019,46-65 y.,No migration background,No,0.99454,8567,8624,0.99298,0.99609
2019,46-65 y.,Direct migration background,No,0.98954,2122,2122,0.98521,0.99387
2019,46-65 y.,Indirect migration background,No,0.98755,287,287,0.97470,1.00040
2019,66 and older,No migration background,No,0.99857,4697,4697,0.99748,0.99965
2019,66 and older,Direct migration background,No,0.99992,471,471,0.99910,1.00074
2020,17-29 y.,No migration background,Yes,0.01910,46,2553,0.01379,0.02441
2020,17-29 y.,No migration background,No,0.90164,2507,2553,0.89009,0.91320
2020,17-29 y.,Direct migration background,Yes,0.04180,33,2204,0.03344,0.05016
2020,17-29 y.,Direct migration background,No,0.92237,2171,2204,0.91119,0.93354
2020,17-29 y.,Indirect migration background,No,0.92344,703,703,0.90377,0.94311
2020,30-45 y.,No migration background,Yes,0.01461,55,3700,0.01074,0.01847
2020,30-45 y.,No migration background,No,0.98529,3645,3700,0.98140,0.98917
2020,30-45 y.,Direct migration background,Yes,0.00834,71,4260,0.00561,0.01108
2020,30-45 y.,Direct migration background,No,0.99138,4189,4260,0.98861,0.99416
2020,30-45 y.,Indirect migration background,No,0.97890,524,524,0.96659,0.99122
2020,46-65 y.,No migration background,Yes,0.00556,50,7915,0.00392,0.00720
2020,46-65 y.,No migration background,No,0.99444,7865,7915,0.99280,0.99608
2020,46-65 y.,Direct migration background,No,0.99559,2322,2322,0.99290,0.99829
2020,46-65 y.,Indirect migration background,No,0.99744,260,260,0.99128,1.00359
2020,66 and older,No migration background,No,0.99819,4405,4405,0.99693,0.99945
2021,17-29 y.,No migration background,Yes,0.01277,33,1780,0.00756,0.01799
2021,17-29 y.,No migration background,No,0.91890,1747,1780,0.90621,0.93158
2021,17-29 y.,Direct migration background,No,0.93890,1082,1082,0.92462,0.95318
2021,17-29 y.,Indirect migration background,No,0.93664,397,397,0.91265,0.96064
2021,30-45 y.,No migration background,Yes,0.01683,40,2614,0.01190,0.02177
2021,30-45 y.,No migration background,No,0.98317,2574,2614,0.97823,0.98810
2021,30-45 y.,Direct migration background,Yes,0.01970,57,2417,0.01416,0.02524
2021,30-45 y.,Direct migration background,No,0.97904,2360,2417,0.97333,0.98476
2021,30-45 y.,Indirect migration background,No,0.96797,302,302,0.94808,0.98786
2021,46-65 y.,No migration background,Yes,0.00393,39,5588,0.00229,0.00557
2021,46-65 y.,No migration background,No,0.99412,5549,5588,0.99211,0.99612
2021,46-65 y.,Direct migration background,No,0.99547,1516,1516,0.99209,0.99885
2021,46-65 y.,Indirect migration background,No,0.99582,196,196,0.98676,1.00488
2021,66 and older,No migration background,No,0.98905,3210,3210,0.98545,0.99265
2021,66 and older,Direct migration background,No,0.99322,333,333,0.98439,1.00205
