year,bula_h,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2019,North Rhine-Westphalia,Yes,0.00792,69,6251,0.00573,0.01012
2019,North Rhine-Westphalia,No,0.83815,6182,6251,0.82902,0.84728
2019,Hesse,No,0.82920,1981,1981,0.81262,0.84578
2019,"Rhineland-Palatinate, Saarland",No,0.83665,1641,1641,0.81876,0.85454
2019,Baden-Wuerttemberg,No,0.81672,3158,3158,0.80323,0.83022
2019,Bavaria,Yes,0.01107,46,4314,0.00795,0.01420
2019,Bavaria,No,0.82210,4268,4314,0.81069,0.83351
2019,Berlin,No,0.83842,1117,1117,0.81682,0.86001
2019,Brandenburg,No,0.81485,1204,1204,0.79290,0.83680
2019,Mecklenburg-Western Pomerania,No,0.82807,643,643,0.79889,0.85726
2019,Saxony,Yes,0.00970,31,1736,0.00509,0.01431
2019,Saxony,No,0.84675,1705,1736,0.82980,0.86370
2019,Saxony-Anhalt,No,0.85091,980,980,0.82860,0.87322
2019,Thuringa,No,0.85358,988,988,0.83152,0.87563
2020,Schleswig-Holstein,No,0.79112,1058,1058,0.76661,0.81563
2020,Hamburg,No,0.82502,600,600,0.79460,0.85545
2020,Lower Saxony,No,0.82972,2863,2863,0.81595,0.84350
2020,Bremen,No,0.84828,308,308,0.80815,0.88841
2020,North Rhine-Westphalia,Yes,0.00860,72,6570,0.00636,0.01083
2020,North Rhine-Westphalia,No,0.83553,6498,6570,0.82656,0.84449
2020,Hesse,No,0.82398,2062,2062,0.80754,0.84042
2020,"Rhineland-Palatinate, Saarland",No,0.84234,1569,1569,0.82430,0.86038
2020,Baden-Wuerttemberg,Yes,0.00636,36,3204,0.00361,0.00911
2020,Baden-Wuerttemberg,No,0.81499,3168,3204,0.80154,0.82844
2020,Bavaria,Yes,0.00539,38,4392,0.00322,0.00755
2020,Bavaria,No,0.82149,4354,4392,0.81016,0.83281
2020,Berlin,No,0.84076,1351,1351,0.82124,0.86028
2020,Brandenburg,No,0.83303,1147,1147,0.81144,0.85463
2020,Mecklenburg-Western Pomerania,No,0.83522,533,533,0.80369,0.86674
2020,Saxony,No,0.84510,1665,1665,0.82771,0.86248
2020,Saxony-Anhalt,No,0.82838,959,959,0.80450,0.85225
2020,Thuringa,No,0.83633,970,970,0.81304,0.85963
2021,Schleswig-Holstein,No,0.77096,844,844,0.74260,0.79933
2021,Hamburg,No,0.85419,448,448,0.82147,0.88691
2021,Lower Saxony,No,0.81876,1905,1905,0.80146,0.83607
2021,Bremen,No,0.90273,153,153,0.85562,0.94984
2021,North Rhine-Westphalia,Yes,0.00766,48,4227,0.00503,0.01029
2021,North Rhine-Westphalia,No,0.82129,4179,4227,0.80974,0.83284
2021,Hesse,No,0.83485,1320,1320,0.81481,0.85489
2021,"Rhineland-Palatinate, Saarland",No,0.83747,1008,1008,0.81468,0.86025
2021,Baden-Wuerttemberg,No,0.81532,2155,2155,0.79893,0.83171
2021,Bavaria,No,0.82082,2859,2859,0.80676,0.83488
2021,Berlin,No,0.82674,921,921,0.80228,0.85120
2021,Brandenburg,No,0.81956,700,700,0.79105,0.84807
2021,Mecklenburg-Western Pomerania,No,0.85483,407,407,0.82056,0.88909
2021,Saxony,No,0.82582,1158,1158,0.80397,0.84768
2021,Saxony-Anhalt,No,0.85638,605,605,0.82841,0.88435
2021,Thuringa,No,0.81462,627,627,0.78418,0.84507
