year,bula_h,pli0097_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1997,Brandenburg,Never,1.00000,542,12327,1.00000,1.00000
1997,Mecklenburg-Western Pomerania,Never,1.00000,346,12327,1.00000,1.00000
1997,Saxony,Seldom,0.05088,59,12327,0.05066,0.05111
1997,Saxony,Never,0.94912,986,12327,0.94889,0.94934
1997,Saxony-Anhalt,Seldom,0.05569,41,12327,0.05538,0.05599
1997,Saxony-Anhalt,Never,0.94431,603,12327,0.94401,0.94462
1997,Thuringa,Seldom,0.05740,38,12327,0.05707,0.05772
1997,Thuringa,Never,0.94260,602,12327,0.94228,0.94293
1998,Schleswig-Holstein,Seldom,0.15798,49,13845,0.15751,0.15844
1998,Schleswig-Holstein,Never,0.84202,289,13845,0.84156,0.84249
1998,Hamburg,Never,1.00000,140,13845,1.00000,1.00000
1998,Lower Saxony,Seldom,0.12931,130,13845,0.12905,0.12958
1998,Lower Saxony,Never,0.87069,1034,13845,0.87042,0.87095
1998,Bremen,Never,1.00000,91,13845,1.00000,1.00000
1998,North Rhine-Westphalia,At least once per month,0.01458,43,13845,0.01451,0.01464
1998,North Rhine-Westphalia,Seldom,0.10119,253,13845,0.10103,0.10134
1998,North Rhine-Westphalia,Never,0.88424,2496,13845,0.88407,0.88440
1998,Hesse,Seldom,0.10384,97,13845,0.10357,0.10411
1998,Hesse,Never,0.89616,823,13845,0.89589,0.89643
1998,"Rhineland-Palatinate, Saarland",Seldom,0.08836,65,13845,0.08808,0.08863
1998,"Rhineland-Palatinate, Saarland",Never,0.91164,708,13845,0.91137,0.91192
1998,Baden-Wuerttemberg,Seldom,0.10693,158,13845,0.10672,0.10714
1998,Baden-Wuerttemberg,Never,0.89307,1612,13845,0.89286,0.89328
1998,Bavaria,At least once per month,0.01538,32,13845,0.01530,0.01546
1998,Bavaria,Seldom,0.10306,178,13845,0.10286,0.10325
1998,Bavaria,Never,0.88156,1631,13845,0.88136,0.88177
1998,Berlin,Seldom,0.10917,53,13845,0.10879,0.10955
1998,Berlin,Never,0.89083,451,13845,0.89045,0.89121
1998,Brandenburg,Seldom,0.08660,53,13845,0.08622,0.08698
1998,Brandenburg,Never,0.91340,543,13845,0.91302,0.91378
1998,Mecklenburg-Western Pomerania,Seldom,0.07024,36,13845,0.06981,0.07066
1998,Mecklenburg-Western Pomerania,Never,0.92976,356,13845,0.92934,0.93019
1998,Saxony,Seldom,0.07793,89,13845,0.07766,0.07820
1998,Saxony,Never,0.92207,1058,13845,0.92180,0.92234
1998,Saxony-Anhalt,Seldom,0.09448,70,13845,0.09409,0.09487
1998,Saxony-Anhalt,Never,0.90552,601,13845,0.90513,0.90591
1998,Thuringa,Seldom,0.09764,73,13845,0.09723,0.09806
1998,Thuringa,Never,0.90236,633,13845,0.90194,0.90277
1999,Schleswig-Holstein,Seldom,0.11545,41,13205,0.11504,0.11586
1999,Schleswig-Holstein,Never,0.88455,264,13205,0.88414,0.88496
1999,Hamburg,Never,1.00000,132,13205,1.00000,1.00000
1999,Lower Saxony,Seldom,0.07367,77,13205,0.07347,0.07388
1999,Lower Saxony,Never,0.92633,1054,13205,0.92612,0.92653
1999,Bremen,Never,1.00000,83,13205,1.00000,1.00000
1999,North Rhine-Westphalia,At least once per month,0.01661,44,13205,0.01654,0.01668
1999,North Rhine-Westphalia,Seldom,0.06581,164,13205,0.06568,0.06593
1999,North Rhine-Westphalia,Never,0.91758,2448,13205,0.91744,0.91773
1999,Hesse,Seldom,0.08849,72,13205,0.08823,0.08874
1999,Hesse,Never,0.91151,790,13205,0.91126,0.91177
1999,"Rhineland-Palatinate, Saarland",Seldom,0.07871,66,13205,0.07845,0.07898
1999,"Rhineland-Palatinate, Saarland",Never,0.92129,671,13205,0.92102,0.92155
1999,Baden-Wuerttemberg,Seldom,0.08317,133,13205,0.08298,0.08336
1999,Baden-Wuerttemberg,Never,0.91683,1546,13205,0.91664,0.91702
1999,Bavaria,Seldom,0.09225,147,13205,0.09206,0.09243
1999,Bavaria,Never,0.90775,1595,13205,0.90757,0.90794
1999,Berlin,Never,1.00000,472,13205,1.00000,1.00000
1999,Brandenburg,Seldom,0.06677,44,13205,0.06643,0.06712
1999,Brandenburg,Never,0.93323,527,13205,0.93288,0.93357
1999,Mecklenburg-Western Pomerania,Never,1.00000,358,13205,1.00000,1.00000
1999,Saxony,Seldom,0.06271,83,13205,0.06246,0.06295
1999,Saxony,Never,0.93729,1029,13205,0.93705,0.93754
1999,Saxony-Anhalt,Seldom,0.06488,45,13205,0.06455,0.06521
1999,Saxony-Anhalt,Never,0.93512,624,13205,0.93479,0.93545
1999,Thuringa,Seldom,0.07494,51,13205,0.07457,0.07531
1999,Thuringa,Never,0.92506,645,13205,0.92469,0.92543
2001,Schleswig-Holstein,At least once per month,0.04003,31,21292,0.03978,0.04028
2001,Schleswig-Holstein,Seldom,0.18586,126,21292,0.18537,0.18636
2001,Schleswig-Holstein,Never,0.77410,475,21292,0.77357,0.77464
2001,Hamburg,Never,1.00000,242,21292,1.00000,1.00000
2001,Lower Saxony,At least once per month,0.01984,35,21292,0.01973,0.01995
2001,Lower Saxony,Seldom,0.06015,111,21292,0.05996,0.06034
2001,Lower Saxony,Never,0.92001,1659,21292,0.91980,0.92022
2001,Bremen,Never,1.00000,145,21292,1.00000,1.00000
2001,North Rhine-Westphalia,At least once per week,0.00513,31,21292,0.00510,0.00517
2001,North Rhine-Westphalia,At least once per month,0.00844,43,21292,0.00839,0.00849
2001,North Rhine-Westphalia,Seldom,0.05345,250,21292,0.05333,0.05357
2001,North Rhine-Westphalia,Never,0.93298,4243,21292,0.93285,0.93311
2001,Hesse,Seldom,0.06164,87,21292,0.06143,0.06186
2001,Hesse,Never,0.93836,1328,21292,0.93814,0.93857
