"pli0097_h","year","age_gr","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nie","1986","35-65","(noch) kein Abschluss","573","0.988906205829163","0.98037468584776","0.997437725810566"
"Nie","1986","35-65","Hauptschule","3205","0.927345024334173","0.918663393801131","0.936026654867216"
"Nie","1986","35-65","Realschule","588","0.908213823777745","0.886017854985809","0.930409792569682"
"Nie","1986","35-65","(Fach-)Abitur","183","","",""
"Nie","1986","35-65","AkademikerIn","353","0.755132408488432","0.71592173401212","0.794343082964744"
"Nie","1986","66 +","(noch) kein Abschluss","20","","",""
"Nie","1986","66 +","Hauptschule","716","0.973116997061914","0.961431946317198","0.984802047806629"
"Nie","1986","66 +","Realschule","153","","",""
"Nie","1986","66 +","(Fach-)Abitur","43","1","1","1"
"Nie","1986","66 +","AkademikerIn","53","1","1","1"
"Taeglich","1987","17-34","(noch) kein Abschluss","","","",""
"Taeglich","1987","17-34","Hauptschule","","","",""
"Taeglich","1987","17-34","Realschule","","","",""
"Taeglich","1987","17-34","(Fach-)Abitur","","","",""
"Taeglich","1987","17-34","AkademikerIn","","","",""
"Taeglich","1987","35-65","(noch) kein Abschluss","","","",""
"Taeglich","1987","35-65","Hauptschule","","","",""
"Taeglich","1987","35-65","Realschule","","","",""
"Taeglich","1987","35-65","(Fach-)Abitur","","","",""
"Taeglich","1987","35-65","AkademikerIn","","","",""
"Taeglich","1987","66 +","(noch) kein Abschluss","","","",""
"Taeglich","1987","66 +","Hauptschule","","","",""
"Taeglich","1987","66 +","Realschule","","","",""
"Taeglich","1987","66 +","(Fach-)Abitur","","","",""
"Taeglich","1987","66 +","AkademikerIn","","","",""
"Min 1x pro Woche","1987","17-34","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1987","17-34","Hauptschule","","","",""
"Min 1x pro Woche","1987","17-34","Realschule","","","",""
"Min 1x pro Woche","1987","17-34","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1987","17-34","AkademikerIn","","","",""
"Min 1x pro Woche","1987","35-65","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1987","35-65","Hauptschule","","","",""
"Min 1x pro Woche","1987","35-65","Realschule","","","",""
"Min 1x pro Woche","1987","35-65","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1987","35-65","AkademikerIn","","","",""
"Min 1x pro Woche","1987","66 +","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1987","66 +","Hauptschule","","","",""
"Min 1x pro Woche","1987","66 +","Realschule","","","",""
"Min 1x pro Woche","1987","66 +","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1987","66 +","AkademikerIn","","","",""
"Min 1x pro Monat","1987","17-34","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1987","17-34","Hauptschule","","","",""
"Min 1x pro Monat","1987","17-34","Realschule","","","",""
"Min 1x pro Monat","1987","17-34","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1987","17-34","AkademikerIn","","","",""
"Min 1x pro Monat","1987","35-65","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1987","35-65","Hauptschule","","","",""
"Min 1x pro Monat","1987","35-65","Realschule","","","",""
"Min 1x pro Monat","1987","35-65","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1987","35-65","AkademikerIn","","","",""
"Min 1x pro Monat","1987","66 +","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1987","66 +","Hauptschule","","","",""
"Min 1x pro Monat","1987","66 +","Realschule","","","",""
"Min 1x pro Monat","1987","66 +","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1987","66 +","AkademikerIn","","","",""
"Seltener","1987","17-34","(noch) kein Abschluss","","","",""
"Seltener","1987","17-34","Hauptschule","","","",""
"Seltener","1987","17-34","Realschule","","","",""
"Seltener","1987","17-34","(Fach-)Abitur","","","",""
"Seltener","1987","17-34","AkademikerIn","","","",""
"Seltener","1987","35-65","(noch) kein Abschluss","","","",""
"Seltener","1987","35-65","Hauptschule","","","",""
"Seltener","1987","35-65","Realschule","","","",""
"Seltener","1987","35-65","(Fach-)Abitur","","","",""
"Seltener","1987","35-65","AkademikerIn","","","",""
"Seltener","1987","66 +","(noch) kein Abschluss","","","",""
"Seltener","1987","66 +","Hauptschule","","","",""
"Seltener","1987","66 +","Realschule","","","",""
"Seltener","1987","66 +","(Fach-)Abitur","","","",""
"Seltener","1987","66 +","AkademikerIn","","","",""
"Nie","1987","17-34","(noch) kein Abschluss","","","",""
"Nie","1987","17-34","Hauptschule","","","",""
"Nie","1987","17-34","Realschule","","","",""
"Nie","1987","17-34","(Fach-)Abitur","","","",""
"Nie","1987","17-34","AkademikerIn","","","",""
"Nie","1987","35-65","(noch) kein Abschluss","","","",""
"Nie","1987","35-65","Hauptschule","","","",""
"Nie","1987","35-65","Realschule","","","",""
"Nie","1987","35-65","(Fach-)Abitur","","","",""
"Nie","1987","35-65","AkademikerIn","","","",""
"Nie","1987","66 +","(noch) kein Abschluss","","","",""
"Nie","1987","66 +","Hauptschule","","","",""
"Nie","1987","66 +","Realschule","","","",""
"Nie","1987","66 +","(Fach-)Abitur","","","",""
"Nie","1987","66 +","AkademikerIn","","","",""
"Taeglich","1988","17-34","(noch) kein Abschluss","","","",""
"Taeglich","1988","17-34","Hauptschule","","","",""
"Taeglich","1988","17-34","Realschule","","","",""
"Taeglich","1988","17-34","(Fach-)Abitur","","","",""
"Taeglich","1988","17-34","AkademikerIn","","","",""
"Taeglich","1988","35-65","(noch) kein Abschluss","","","",""
"Taeglich","1988","35-65","Hauptschule","","","",""
"Taeglich","1988","35-65","Realschule","","","",""
"Taeglich","1988","35-65","(Fach-)Abitur","","","",""
"Taeglich","1988","35-65","AkademikerIn","","","",""
"Taeglich","1988","66 +","(noch) kein Abschluss","","","",""
"Taeglich","1988","66 +","Hauptschule","","","",""
"Taeglich","1988","66 +","Realschule","","","",""
"Taeglich","1988","66 +","(Fach-)Abitur","","","",""
"Taeglich","1988","66 +","AkademikerIn","","","",""
"Min 1x pro Woche","1988","17-34","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1988","17-34","Hauptschule","7","0.00188622474136366","-0.000149001598480019","0.00392145108120734"
"Min 1x pro Woche","1988","17-34","Realschule","3","","",""
"Min 1x pro Woche","1988","17-34","(Fach-)Abitur","7","0.0167759697115684","0.00545054035718545","0.0281013990659513"
"Min 1x pro Woche","1988","17-34","AkademikerIn","2","","",""
"Min 1x pro Woche","1988","35-65","(noch) kein Abschluss","2","","",""
"Min 1x pro Woche","1988","35-65","Hauptschule","22","","",""
"Min 1x pro Woche","1988","35-65","Realschule","9","0.0128619441561538","0.00396378863034347","0.0217600996819641"
"Min 1x pro Woche","1988","35-65","(Fach-)Abitur","2","","",""
"Min 1x pro Woche","1988","35-65","AkademikerIn","12","","",""
"Min 1x pro Woche","1988","66 +","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1988","66 +","Hauptschule","3","","",""
"Min 1x pro Woche","1988","66 +","Realschule","","","",""
"Min 1x pro Woche","1988","66 +","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1988","66 +","AkademikerIn","","","",""
"Min 1x pro Monat","1988","17-34","(noch) kein Abschluss","1","","",""
"Min 1x pro Monat","1988","17-34","Hauptschule","9","0.0075865990619235","0.00351658557958456","0.0116566125442624"
"Min 1x pro Monat","1988","17-34","Realschule","4","0.00565207711539869","0.000799899969681931","0.0105042542611155"
"Min 1x pro Monat","1988","17-34","(Fach-)Abitur","9","0.0262466998675586","0.0121490590809724","0.0403443406541448"
"Min 1x pro Monat","1988","17-34","AkademikerIn","4","0.0212463240119289","0.00140920150842209","0.0410834465154358"
"Min 1x pro Monat","1988","35-65","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1988","35-65","Hauptschule","42","0.0134947467482313","0.00948517188226539","0.0175043216141971"
"Min 1x pro Monat","1988","35-65","Realschule","17","","",""
"Min 1x pro Monat","1988","35-65","(Fach-)Abitur","6","0.0421224333106882","0.0139293540584659","0.0703155125629105"
"Min 1x pro Monat","1988","35-65","AkademikerIn","23","","",""
"Min 1x pro Monat","1988","66 +","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1988","66 +","Hauptschule","6","0.00810794957163275","0.00163789960922164","0.0145779995340439"
"Min 1x pro Monat","1988","66 +","Realschule","2","","",""
"Min 1x pro Monat","1988","66 +","(Fach-)Abitur","1","","",""
"Min 1x pro Monat","1988","66 +","AkademikerIn","","","",""
"Seltener","1988","17-34","(noch) kein Abschluss","8","0.0379247093467197","0.01776871609259","0.0580807026008495"
"Seltener","1988","17-34","Hauptschule","52","0.0392531260464915","0.0301441914079332","0.0483620606850499"
"Seltener","1988","17-34","Realschule","50","0.0631763827019438","0.0474304019407183","0.0789223634631693"
"Seltener","1988","17-34","(Fach-)Abitur","58","0.116705503809446","0.0883926890436564","0.145018318575236"
"Seltener","1988","17-34","AkademikerIn","23","","",""
"Seltener","1988","35-65","(noch) kein Abschluss","9","0.023367379424789","0.0105783874622338","0.0361563713873442"
"Seltener","1988","35-65","Hauptschule","132","","",""
"Seltener","1988","35-65","Realschule","52","0.0889651879125109","0.0664831709407576","0.111447204884264"
"Seltener","1988","35-65","(Fach-)Abitur","14","","",""
"Seltener","1988","35-65","AkademikerIn","86","0.192878402006617","0.156011806256174","0.229744997757061"
"Seltener","1988","66 +","(noch) kein Abschluss","1","","",""
"Seltener","1988","66 +","Hauptschule","10","","",""
"Seltener","1988","66 +","Realschule","5","0.0299079521979221","0.00326403495810006","0.0565518694377441"
"Seltener","1988","66 +","(Fach-)Abitur","","","",""
"Seltener","1988","66 +","AkademikerIn","3","","",""
"Nie","1988","17-34","(noch) kein Abschluss","336","0.961010139389265","0.940584372570022","0.981435906208507"
"Nie","1988","17-34","Hauptschule","1678","","",""
"Nie","1988","17-34","Realschule","860","0.9290140620656","0.912392925050795","0.945635199080405"
"Nie","1988","17-34","(Fach-)Abitur","420","0.840271826611427","0.807965671021766","0.872577982201088"
"Nie","1988","17-34","AkademikerIn","174","","",""
"Nie","1988","35-65","(noch) kein Abschluss","525","0.972911356693209","0.959167900580964","0.986654812805455"
"Nie","1988","35-65","Hauptschule","2985","","",""
"Nie","1988","35-65","Realschule","538","0.870968295679609","0.844495053964414","0.897441537394804"
"Nie","1988","35-65","(Fach-)Abitur","173","","",""
"Nie","1988","35-65","AkademikerIn","319","0.717163904000107","0.675081709321547","0.759246098678667"
"Nie","1988","66 +","(noch) kein Abschluss","19","","",""
"Nie","1988","66 +","Hauptschule","719","0.97466336913446","0.963325755203111","0.986000983065809"
"Nie","1988","66 +","Realschule","150","","",""
"Nie","1988","66 +","(Fach-)Abitur","42","0.980148601534308","0.938456347151005","1.02184085591761"
"Nie","1988","66 +","AkademikerIn","53","0.951841219469304","0.895765601008748","1.00791683792986"
"Taeglich","1989","17-34","(noch) kein Abschluss","","","",""
"Taeglich","1989","17-34","Hauptschule","","","",""
"Taeglich","1989","17-34","Realschule","","","",""
"Taeglich","1989","17-34","(Fach-)Abitur","","","",""
"Taeglich","1989","17-34","AkademikerIn","","","",""
"Taeglich","1989","35-65","(noch) kein Abschluss","","","",""
"Taeglich","1989","35-65","Hauptschule","","","",""
"Taeglich","1989","35-65","Realschule","","","",""
"Taeglich","1989","35-65","(Fach-)Abitur","","","",""
"Taeglich","1989","35-65","AkademikerIn","","","",""
"Taeglich","1989","66 +","(noch) kein Abschluss","","","",""
"Taeglich","1989","66 +","Hauptschule","","","",""
"Taeglich","1989","66 +","Realschule","","","",""
"Taeglich","1989","66 +","(Fach-)Abitur","","","",""
"Taeglich","1989","66 +","AkademikerIn","","","",""
"Min 1x pro Woche","1989","17-34","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1989","17-34","Hauptschule","","","",""
"Min 1x pro Woche","1989","17-34","Realschule","","","",""
"Min 1x pro Woche","1989","17-34","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1989","17-34","AkademikerIn","","","",""
"Min 1x pro Woche","1989","35-65","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1989","35-65","Hauptschule","","","",""
"Min 1x pro Woche","1989","35-65","Realschule","","","",""
"Min 1x pro Woche","1989","35-65","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1989","35-65","AkademikerIn","","","",""
"Min 1x pro Woche","1989","66 +","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1989","66 +","Hauptschule","","","",""
"Min 1x pro Woche","1989","66 +","Realschule","","","",""
"Min 1x pro Woche","1989","66 +","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1989","66 +","AkademikerIn","","","",""
"Min 1x pro Monat","1989","17-34","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1989","17-34","Hauptschule","","","",""
"Min 1x pro Monat","1989","17-34","Realschule","","","",""
"Min 1x pro Monat","1989","17-34","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1989","17-34","AkademikerIn","","","",""
"Min 1x pro Monat","1989","35-65","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1989","35-65","Hauptschule","","","",""
"Min 1x pro Monat","1989","35-65","Realschule","","","",""
"Min 1x pro Monat","1989","35-65","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1989","35-65","AkademikerIn","","","",""
"Min 1x pro Monat","1989","66 +","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1989","66 +","Hauptschule","","","",""
"Min 1x pro Monat","1989","66 +","Realschule","","","",""
"Min 1x pro Monat","1989","66 +","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1989","66 +","AkademikerIn","","","",""
"Seltener","1989","17-34","(noch) kein Abschluss","","","",""
"Seltener","1989","17-34","Hauptschule","","","",""
"Seltener","1989","17-34","Realschule","","","",""
"Seltener","1989","17-34","(Fach-)Abitur","","","",""
"Seltener","1989","17-34","AkademikerIn","","","",""
"Seltener","1989","35-65","(noch) kein Abschluss","","","",""
"Seltener","1989","35-65","Hauptschule","","","",""
"Seltener","1989","35-65","Realschule","","","",""
"Seltener","1989","35-65","(Fach-)Abitur","","","",""
"Seltener","1989","35-65","AkademikerIn","","","",""
"Seltener","1989","66 +","(noch) kein Abschluss","","","",""
"Seltener","1989","66 +","Hauptschule","","","",""
"Seltener","1989","66 +","Realschule","","","",""
"Seltener","1989","66 +","(Fach-)Abitur","","","",""
"Seltener","1989","66 +","AkademikerIn","","","",""
"Nie","1989","17-34","(noch) kein Abschluss","","","",""
"Nie","1989","17-34","Hauptschule","","","",""
"Nie","1989","17-34","Realschule","","","",""
"Nie","1989","17-34","(Fach-)Abitur","","","",""
"Nie","1989","17-34","AkademikerIn","","","",""
"Nie","1989","35-65","(noch) kein Abschluss","","","",""
"Nie","1989","35-65","Hauptschule","","","",""
"Nie","1989","35-65","Realschule","","","",""
"Nie","1989","35-65","(Fach-)Abitur","","","",""
"Nie","1989","35-65","AkademikerIn","","","",""
"Nie","1989","66 +","(noch) kein Abschluss","","","",""
"Nie","1989","66 +","Hauptschule","","","",""
"Nie","1989","66 +","Realschule","","","",""
"Nie","1989","66 +","(Fach-)Abitur","","","",""
"Nie","1989","66 +","AkademikerIn","","","",""
"Taeglich","1990","17-34","(noch) kein Abschluss","","","",""
"Taeglich","1990","17-34","Hauptschule","1","","",""
"Taeglich","1990","17-34","Realschule","3","","",""
"Taeglich","1990","17-34","(Fach-)Abitur","1","","",""
"Taeglich","1990","17-34","AkademikerIn","","","",""
"Taeglich","1990","35-65","(noch) kein Abschluss","2","","",""
"Taeglich","1990","35-65","Hauptschule","9","0.00248982377894282","0.000961571566469999","0.00401807599141563"
"Taeglich","1990","35-65","Realschule","1","","",""
"Taeglich","1990","35-65","(Fach-)Abitur","1","","",""
"Taeglich","1990","35-65","AkademikerIn","3","","",""
"Taeglich","1990","66 +","(noch) kein Abschluss","","","",""
"Taeglich","1990","66 +","Hauptschule","3","","",""
"Taeglich","1990","66 +","Realschule","","","",""
"Taeglich","1990","66 +","(Fach-)Abitur","","","",""
"Taeglich","1990","66 +","AkademikerIn","","","",""
"Min 1x pro Woche","1990","17-34","(noch) kein Abschluss","1","","",""
"Min 1x pro Woche","1990","17-34","Hauptschule","4","0.00158353649792095","-0.000262601438943872","0.00342967443478577"
"Min 1x pro Woche","1990","17-34","Realschule","10","","",""
"Min 1x pro Woche","1990","17-34","(Fach-)Abitur","4","0.00485353214116539","-0.000725995315460813","0.0104330595977916"
"Min 1x pro Woche","1990","17-34","AkademikerIn","13","","",""
"Min 1x pro Woche","1990","35-65","(noch) kein Abschluss","4","0.00996798372794803","0.0013631716453255","0.0185727958105705"
"Min 1x pro Woche","1990","35-65","Hauptschule","42","0.0103837758066141","0.00727518817050338","0.0134923634427247"
"Min 1x pro Woche","1990","35-65","Realschule","28","","",""
"Min 1x pro Woche","1990","35-65","(Fach-)Abitur","5","0.0485066556762749","0.0208024536897743","0.0762108576627754"
"Min 1x pro Woche","1990","35-65","AkademikerIn","52","0.0457581982594156","0.0331190700862394","0.0583973264325918"
"Min 1x pro Woche","1990","66 +","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1990","66 +","Hauptschule","5","0.00676854104289156","0.00184653372159878","0.0116905483641843"
"Min 1x pro Woche","1990","66 +","Realschule","3","","",""
"Min 1x pro Woche","1990","66 +","(Fach-)Abitur","","","",""
