year,sampreg,sex,pli0097_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,West,male,At least once per month,0.01895,155,7284,0.01582,0.02209
2007,West,male,Seldom,0.06546,518,7284,0.05978,0.07114
2007,West,male,Never,0.90251,6500,7284,0.89570,0.90932
2007,West,female,At least once per week,0.00521,52,8046,0.00364,0.00678
2007,West,female,At least once per month,0.00691,79,8046,0.00510,0.00872
2007,West,female,Seldom,0.04124,373,8046,0.03689,0.04558
2007,West,female,Never,0.94664,7542,8046,0.94173,0.95155
2007,East,male,At least once per month,0.01540,51,2366,0.01044,0.02036
2007,East,male,Seldom,0.05798,159,2366,0.04856,0.06740
2007,East,male,Never,0.91596,2156,2366,0.90478,0.92714
2007,East,female,Seldom,0.04192,119,2541,0.03413,0.04971
2007,East,female,Never,0.94620,2422,2541,0.93742,0.95497
2008,West,male,At least once per week,0.01176,104,6865,0.00921,0.01430
2008,West,male,At least once per month,0.02029,185,6865,0.01696,0.02363
2008,West,male,Seldom,0.09199,668,6865,0.08515,0.09882
2008,West,male,Never,0.87597,5908,6865,0.86817,0.88376
2008,West,female,At least once per week,0.00492,53,7603,0.00334,0.00649
2008,West,female,At least once per month,0.01130,113,7603,0.00892,0.01368
2008,West,female,Seldom,0.05946,498,7603,0.05415,0.06478
2008,West,female,Never,0.92432,6939,7603,0.91837,0.93027
2008,East,male,At least once per month,0.02129,62,2273,0.01536,0.02723
2008,East,male,Seldom,0.06719,187,2273,0.05690,0.07749
2008,East,male,Never,0.90293,2024,2273,0.89075,0.91510
2008,East,female,At least once per month,0.01126,34,2444,0.00708,0.01545
2008,East,female,Seldom,0.05168,132,2444,0.04290,0.06046
2008,East,female,Never,0.93330,2278,2444,0.92340,0.94319
2009,West,male,At least once per week,0.01072,86,6369,0.00819,0.01325
2009,West,male,At least once per month,0.01906,150,6369,0.01571,0.02242
2009,West,male,Seldom,0.06866,456,6369,0.06244,0.07487
2009,West,male,Never,0.90156,5677,6369,0.89424,0.90887
2009,West,female,At least once per week,0.00388,34,6991,0.00242,0.00534
2009,West,female,At least once per month,0.00815,78,6991,0.00604,0.01026
2009,West,female,Seldom,0.05139,375,6991,0.04621,0.05656
2009,West,female,Never,0.93658,6504,6991,0.93087,0.94230
2009,East,male,At least once per month,0.02012,45,2151,0.01419,0.02606
2009,East,male,Seldom,0.07718,162,2151,0.06590,0.08846
2009,East,male,Never,0.89550,1944,2151,0.88257,0.90843
2009,East,female,Seldom,0.04564,107,2306,0.03712,0.05416
2009,East,female,Never,0.94521,2199,2306,0.93592,0.95450
2011,West,male,At least once per week,0.01514,160,9929,0.01273,0.01754
2011,West,male,At least once per month,0.02028,231,9929,0.01751,0.02306
2011,West,male,Seldom,0.07495,713,9929,0.06977,0.08013
2011,West,male,Never,0.88963,8825,9929,0.88347,0.89579
2011,West,female,At least once per week,0.00592,85,12043,0.00455,0.00729
2011,West,female,At least once per month,0.00927,133,12043,0.00756,0.01098
2011,West,female,Seldom,0.04908,596,12043,0.04522,0.05294
2011,West,female,Never,0.93573,11229,12043,0.93135,0.94011
2011,East,male,At least once per month,0.02112,64,2834,0.01582,0.02641
2011,East,male,Seldom,0.06983,202,2834,0.06045,0.07922
2011,East,male,Never,0.89976,2568,2834,0.88870,0.91082
2011,East,female,At least once per month,0.01003,39,3407,0.00668,0.01337
2011,East,female,Seldom,0.04942,172,3407,0.04214,0.05670
2011,East,female,Never,0.93657,3196,3407,0.92839,0.94476
2013,West,male,At least once per week,0.01766,176,8885,0.01492,0.02040
2013,West,male,At least once per month,0.02555,240,8885,0.02227,0.02883
2013,West,male,Seldom,0.10626,901,8885,0.09985,0.11267
2013,West,male,Never,0.85053,7568,8885,0.84312,0.85795
2013,West,female,At least once per week,0.00664,66,10787,0.00511,0.00817
2013,West,female,At least once per month,0.01165,152,10787,0.00962,0.01367
2013,West,female,Seldom,0.07861,802,10787,0.07353,0.08369
2013,West,female,Never,0.90310,9767,10787,0.89752,0.90868
2013,East,male,At least once per week,0.01291,39,2585,0.00855,0.01726
2013,East,male,At least once per month,0.02667,67,2585,0.02046,0.03289
2013,East,male,Seldom,0.09516,232,2585,0.08385,0.10648
2013,East,male,Never,0.86526,2247,2585,0.85209,0.87842
2013,East,female,At least once per month,0.01533,44,3079,0.01099,0.01967
2013,East,female,Seldom,0.05953,198,3079,0.05117,0.06789
2013,East,female,Never,0.92038,2837,3079,0.91082,0.92994
2015,West,male,At least once per week,0.01313,135,9805,0.01088,0.01538
2015,West,male,At least once per month,0.02034,210,9805,0.01755,0.02313
2015,West,male,Seldom,0.06930,676,9805,0.06427,0.07433
2015,West,male,Never,0.89723,8784,9805,0.89122,0.90324
2015,West,female,At least once per week,0.00804,64,11476,0.00641,0.00968
2015,West,female,At least once per month,0.00784,114,11476,0.00623,0.00945
2015,West,female,Seldom,0.05123,603,11476,0.04719,0.05526
2015,West,female,Never,0.93289,10695,11476,0.92831,0.93747
2015,East,male,At least once per month,0.02085,61,2431,0.01517,0.02653
2015,East,male,Seldom,0.07009,177,2431,0.05994,0.08024
2015,East,male,Never,0.90046,2193,2431,0.88855,0.91236
2015,East,female,At least once per month,0.01424,41,2916,0.00994,0.01854
2015,East,female,Seldom,0.04326,144,2916,0.03587,0.05064
2015,East,female,Never,0.93892,2731,2916,0.93022,0.94761
2017,West,male,At least once per week,0.01679,160,9645,0.01422,0.01935
2017,West,male,At least once per month,0.02255,205,9645,0.01959,0.02551
2017,West,male,Seldom,0.07092,674,9645,0.06579,0.07604
2017,West,male,Never,0.88975,8606,9645,0.88350,0.89600
2017,West,female,At least once per week,0.00839,78,11221,0.00671,0.01008
2017,West,female,At least once per month,0.01016,126,11221,0.00830,0.01202
2017,West,female,Seldom,0.05098,565,11221,0.04691,0.05505
2017,West,female,Never,0.93047,10452,11221,0.92576,0.93518
2017,East,male,At least once per week,0.01184,34,2568,0.00766,0.01603
2017,East,male,At least once per month,0.02225,61,2568,0.01654,0.02795
2017,East,male,Seldom,0.05568,163,2568,0.04681,0.06455
2017,East,male,Never,0.91023,2310,2568,0.89917,0.92129
2017,East,female,At least once per month,0.01001,36,2985,0.00644,0.01359
2017,East,female,Seldom,0.05179,145,2985,0.04384,0.05974
2017,East,female,Never,0.93341,2804,2985,0.92447,0.94236
2019,West,male,At least once per week,0.01832,231,9544,0.01563,0.02101
2019,West,male,At least once per month,0.02376,274,9544,0.02071,0.02682
2019,West,male,Seldom,0.11021,1109,9544,0.10393,0.11650
2019,West,male,Never,0.84771,7930,9544,0.84050,0.85492
2019,West,female,At least once per week,0.01001,123,10422,0.00810,0.01192
2019,West,female,At least once per month,0.01518,184,10422,0.01283,0.01753
2019,West,female,Seldom,0.08508,966,10422,0.07972,0.09044
2019,West,female,Never,0.88973,9149,10422,0.88371,0.89574
2019,East,male,At least once per week,0.01447,56,2630,0.00990,0.01903
2019,East,male,At least once per month,0.02510,109,2630,0.01912,0.03108
2019,East,male,Seldom,0.09077,265,2630,0.07979,0.10175
2019,East,male,Never,0.86966,2200,2630,0.85679,0.88253
2019,East,female,At least once per week,0.00713,36,2886,0.00406,0.01021
2019,East,female,At least once per month,0.01368,61,2886,0.00944,0.01792
2019,East,female,Seldom,0.08442,216,2886,0.07428,0.09457
2019,East,female,Never,0.89476,2573,2886,0.88356,0.90596
