year,pgisced97,quintil_oecd,pli0097_h,proportion,n,lower_confidence,upper_confidence
2013,inadequately,4. Quintil,Seltener,4.017354973485457e-05,44486,-1.872515887144092e-05,9.907225834115006e-05
2013,inadequately,3. Quintil,Seltener,4.017354973485457e-05,44486,-1.872515887144092e-05,9.907225834115006e-05
2013,inadequately,5. Quintil,Seltener,4.017354973485457e-05,44486,-1.872515887144092e-05,9.907225834115006e-05
2013,general elemantary,1. Quintil,Min 1x pro Woche,4.017354973485457e-05,44486,-1.872515887144092e-05,9.907225834115006e-05
2013,inadequately,1. Quintil,Min 1x pro Monat,4.017354973485457e-05,44486,-1.872515887144092e-05,9.907225834115006e-05
2013,in school,4. Quintil,Min 1x pro Monat,4.017354973485457e-05,44486,-1.872515887144092e-05,9.907225834115006e-05
2013,higher vocational,1. Quintil,Min 1x pro Monat,4.017354973485457e-05,44486,-1.872515887144092e-05,9.907225834115006e-05
2013,higher vocational,3. Quintil,Min 1x pro Woche,4.017354973485457e-05,44486,-1.872515887144092e-05,9.907225834115006e-05
2013,in school,1. Quintil,Min 1x pro Woche,4.017354973485457e-05,44486,-1.872515887144092e-05,9.907225834115006e-05
2013,in school,3. Quintil,Min 1x pro Monat,4.017354973485457e-05,44486,-1.872515887144092e-05,9.907225834115006e-05
2013,in school,2. Quintil,Min 1x pro Monat,4.017354973485457e-05,44486,-1.872515887144092e-05,9.907225834115006e-05
2015,middle vocational,4. Quintil,Nie,0.1168152474638795,38036,0.11358724245445959,0.12004325247329942
2015,higher education,5. Quintil,Nie,0.11620043037196434,38036,0.1129798109090297,0.11942104983489898
2015,middle vocational,5. Quintil,Nie,0.09902397786658469,38036,0.09602215229627832,0.10202580343689106
2015,middle vocational,3. Quintil,Nie,0.09798647402397787,38036,0.09499869659516227,0.10097425145279346
2015,middle vocational,2. Quintil,Nie,0.07485398094067015,38036,0.07220931242339007,0.07749864945795024
2015,higher education,4. Quintil,Nie,0.04887795880725484,38036,0.046711086568629705,0.05104483104587997
2015,middle vocational,1. Quintil,Nie,0.04365201352597602,38036,0.04159863617939464,0.04570539087255741
2015,general elemantary,2. Quintil,Nie,0.027436212726713802,38036,0.025794565716055685,0.029077859737371918
2015,general elemantary,1. Quintil,Nie,0.025745465723947127,38036,0.024153824254089164,0.02733710719380509
2015,general elemantary,3. Quintil,Nie,0.025438057177989547,38036,0.023855696997443106,0.027020417358535987
2015,higher education,3. Quintil,Nie,0.022901936673839534,38036,0.021398573758439548,0.02440529958923952
2015,vocational + Abi,4. Quintil,Nie,0.022440823854903168,38036,0.02095232131937648,0.023929326390429856
2015,vocational + Abi,5. Quintil,Nie,0.02171072855825392,38036,0.0202460932614208,0.02317536385508704
2015,higher vocational,5. Quintil,Nie,0.020519520442668308,38036,0.019094765579740474,0.02194427530559614
2015,general elemantary,4. Quintil,Nie,0.020250537964955427,38036,0.018834957856675986,0.021666118073234868
2015,vocational + Abi,3. Quintil,Nie,0.015408853366123578,38036,0.014170992662454002,0.016646714069793154
2015,higher education,2. Quintil,Nie,0.014717184137719028,38036,0.013506999966979454,0.015927368308458603
2015,higher vocational,4. Quintil,Nie,0.01440977559176145,38036,0.013212110326357116,0.015607440857165785
2015,higher education,5. Quintil,Seltener,0.012719028588994773,38036,0.011592853265215981,0.013845203912773565
2015,vocational + Abi,2. Quintil,Nie,0.0109898555179834,38036,0.009942111918296236,0.012037599117670566
2015,higher education,1. Quintil,Nie,0.010528742699047033,38036,0.009502976226763226,0.01155450917133084
2015,general elemantary,5. Quintil,Nie,0.0096065170611743,38036,0.008626247498221305,0.010586786624127296
2015,higher vocational,3. Quintil,Nie,0.009452812788195512,38036,0.008480341551227807,0.010425284025163217
2015,inadequately,1. Quintil,Nie,0.008069474331386413,38036,0.007170345545529348,0.008968603117243477
2015,middle vocational,5. Quintil,Seltener,0.00741623117122656,38036,0.00655397985511646,0.00827848248733666
2015,middle vocational,4. Quintil,Seltener,0.007108822625268982,38036,0.006264500214449692,0.007953145036088273
2015,vocational + Abi,1. Quintil,Nie,0.006993544420534891,38036,0.006156047233940478,0.007831041607129304
2015,inadequately,2. Quintil,Nie,0.0056486320319704885,38036,0.004895449512437327,0.0064018145515036505
2015,higher education,4. Quintil,Seltener,0.005149093144789425,38036,0.0044298047950541925,0.005868381494524657
2015,middle vocational,3. Quintil,Seltener,0.005072241008300031,38036,0.004358313088309217,0.005786168928290845
2015,higher education,5. Quintil,Min 1x pro Monat,0.004150015370427298,38036,0.0035039440466119874,0.004796086694242609
2015,higher vocational,2. Quintil,Nie,0.0037273286197356285,38036,0.0031149125152047886,0.004339744724266468
2015,inadequately,3. Quintil,Nie,0.0031509375960651707,38036,0.00258769790006984,0.003714177292060501
2015,in school,4. Quintil,Nie,0.003074085459575776,38036,0.002517735497156854,0.0036304354219946983
2015,middle vocational,2. Quintil,Seltener,0.0029972333230863816,38036,0.0024478605778844903,0.003546606068288273
2015,in school,1. Quintil,Nie,0.00288195511835229,38036,0.002343219677778912,0.003420690558925668
2015,in school,5. Quintil,Nie,0.002843529050107593,38036,0.00230838692039772,0.0033786711798174662
2015,higher vocational,5. Quintil,Seltener,0.002805102981862896,38036,0.0022735787352022455,0.0033366272285235464
2015,higher education,5. Quintil,Min 1x pro Woche,0.002805102981862896,38036,0.0022735787352022455,0.0033366272285235464
2015,in school,3. Quintil,Nie,0.0024976944359053183,38036,0.0019960624057211284,0.002999326466089508
2015,higher education,3. Quintil,Seltener,0.0023439901629265293,38036,0.0018580005849961041,0.0028299797408569546
2015,inadequately,4. Quintil,Nie,0.002151859821703043,38036,0.001686168798458911,0.0026175508449471753
2015,higher vocational,1. Quintil,Nie,0.0020365816169689516,38036,0.0015835099829643753,0.002489653250973528
2015,middle vocational,5. Quintil,Min 1x pro Monat,0.0019981555487242546,38036,0.001549369889620753,0.002446941207827756
2015,higher vocational,4. Quintil,Seltener,0.00192130341223486,38036,0.0014812159236793276,0.0023613909007903925
2015,in school,2. Quintil,Nie,0.0018444512757454657,38036,0.001413238759348076,0.0022756637921428555
2015,higher education,4. Quintil,Min 1x pro Monat,0.001537042729787888,38036,0.001143340747774334,0.001930744711801442
2015,middle vocational,1. Quintil,Seltener,0.001537042729787888,38036,0.001143340747774334,0.001930744711801442
2015,middle vocational,4. Quintil,Min 1x pro Monat,0.0014986166615431908,38036,0.0011098596223767993,0.0018873737007095823
2015,vocational + Abi,5. Quintil,Seltener,0.0014217645250537965,38036,0.0010430922255218228,0.0018004368245857702
2015,vocational + Abi,4. Quintil,Seltener,0.0012680602520750077,38036,0.0009104145039650027,0.0016257060001850128
2015,general elemantary,3. Quintil,Seltener,0.0011912081155856134,38036,0.0008445561620095747,0.001537860069161652
2015,middle vocational,3. Quintil,Min 1x pro Monat,0.0010759299108515216,38036,0.000746459147942423,0.0014054006737606202
2015,middle vocational,5. Quintil,Min 1x pro Woche,0.0009990777743621273,38036,0.0006815795904931846,0.00131657595823107
2015,higher education,2. Quintil,Seltener,0.0008453735013833385,38036,0.0005532951832870964,0.0011374518194795804
2015,general elemantary,4. Quintil,Seltener,0.0008453735013833385,38036,0.0005532951832870964,0.0011374518194795804
2015,general elemantary,2. Quintil,Seltener,0.0008069474331386413,38036,0.000521578969516246,0.0010923158967610365
2015,middle vocational,4. Quintil,Min 1x pro Woche,0.000768521364893944,38036,0.0004900249054988404,0.0010470178242890475
