,Unnamed: 0,year,pgisced97,pli0097_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
58,58,1990,Second Stage of Tertiary Education,Never,0.6493,1095,13426,0.6248,0.67515
59,59,1992,Pre-primary Level,Never,1.0,172,12799,0.90255,1.10802
60,60,1992,Primary Level,Never,1.0,608,12799,0.92269,1.07057
61,61,1992,Lower Secondary Level,Seldom,0.03108,84,12799,0.02633,0.03584
62,62,1992,Lower Secondary Level,Never,0.96892,2628,12799,0.9394,0.99487
63,63,1992,Upper Secondary Level,At least once per week,0.00726,47,12799,0.00654,0.00802
64,64,1992,Upper Secondary Level,At least once per month,0.02038,116,12799,0.01837,0.02262
65,65,1992,Upper Secondary Level,Seldom,0.05506,348,12799,0.05111,0.05903
66,66,1992,Upper Secondary Level,Never,0.9173,6096,12799,0.90315,0.93381
67,67,1992,Post-secondary Non-tertiary Level,Never,1.0,344,12799,0.91522,1.06002
68,68,1992,First Stage of Tertiary Education,Seldom,0.0799,61,12799,0.06976,0.09124
69,69,1992,First Stage of Tertiary Education,Never,0.9201,658,12799,0.87086,0.97234
70,70,1992,Second Stage of Tertiary Education,At least once per week,0.02386,44,12799,0.01949,0.02886
71,71,1992,Second Stage of Tertiary Education,At least once per month,0.04526,72,12799,0.0388,0.05298
72,72,1992,Second Stage of Tertiary Education,Seldom,0.11489,184,12799,0.10405,0.12929
73,73,1992,Second Stage of Tertiary Education,Never,0.81599,1337,12799,0.78824,0.8462
74,74,1994,Pre-primary Level,Never,1.0,222,12380,0.90694,1.09971
75,75,1994,Primary Level,Never,1.0,537,12380,0.92574,1.07725
76,76,1994,Lower Secondary Level,Seldom,0.03986,100,12380,0.03358,0.04767
77,77,1994,Lower Secondary Level,Never,0.96014,2329,12380,0.93492,0.98837
78,78,1994,Upper Secondary Level,At least once per week,0.00802,51,12380,0.00656,0.00936
79,79,1994,Upper Secondary Level,At least once per month,0.01247,83,12380,0.01116,0.01382
80,80,1994,Upper Secondary Level,Seldom,0.06368,384,12380,0.05891,0.06802
81,81,1994,Upper Secondary Level,Never,0.91584,5981,12380,0.89943,0.93433
82,82,1994,Post-secondary Non-tertiary Level,Never,1.0,354,12380,0.93274,1.0935
83,83,1994,First Stage of Tertiary Education,Seldom,0.08424,72,12380,0.07438,0.09663
84,84,1994,First Stage of Tertiary Education,Never,0.91576,631,12380,0.86636,0.96932
85,85,1994,Second Stage of Tertiary Education,At least once per week,0.0182,38,12380,0.01503,0.02151
86,86,1994,Second Stage of Tertiary Education,At least once per month,0.04081,70,12380,0.0336,0.04887
87,87,1994,Second Stage of Tertiary Education,Seldom,0.11662,172,12380,0.10538,0.13071
88,88,1994,Second Stage of Tertiary Education,Never,0.82437,1356,12380,0.7946,0.85152
89,89,1995,Pre-primary Level,Never,1.0,267,12804,0.9271,1.0975
90,90,1995,Primary Level,Never,1.0,511,12804,0.91242,1.0938
91,91,1995,Lower Secondary Level,Seldom,0.05005,114,12804,0.04413,0.05665
92,92,1995,Lower Secondary Level,Never,0.94995,2322,12804,0.91392,0.98245
93,93,1995,Upper Secondary Level,At least once per week,0.00956,59,12804,0.00801,0.01112
94,94,1995,Upper Secondary Level,At least once per month,0.01819,109,12804,0.01627,0.02046
95,95,1995,Upper Secondary Level,Seldom,0.08067,508,12804,0.07518,0.08625
96,96,1995,Upper Secondary Level,Never,0.89157,5994,12804,0.87327,0.9073
97,97,1995,Post-secondary Non-tertiary Level,Seldom,0.09165,34,12804,0.073,0.11321
98,98,1995,Post-secondary Non-tertiary Level,Never,0.90835,427,12804,0.84819,0.98118
99,99,1995,First Stage of Tertiary Education,Seldom,0.14677,101,12804,0.12635,0.17046
100,100,1995,First Stage of Tertiary Education,Never,0.85323,611,12804,0.80729,0.9066
101,101,1995,Second Stage of Tertiary Education,At least once per week,0.02247,46,12804,0.01894,0.02646
102,102,1995,Second Stage of Tertiary Education,At least once per month,0.04525,78,12804,0.03814,0.05298
103,103,1995,Second Stage of Tertiary Education,Seldom,0.13703,219,12804,0.12161,0.15119
104,104,1995,Second Stage of Tertiary Education,Never,0.79525,1404,12804,0.7666,0.82516
105,105,1996,Pre-primary Level,Never,1.0,277,12630,0.92975,1.07284
106,106,1996,Primary Level,Never,1.0,475,12630,0.92091,1.08635
107,107,1996,Lower Secondary Level,Seldom,0.0526,113,12630,0.04583,0.05923
108,108,1996,Lower Secondary Level,Never,0.9474,2232,12630,0.91607,0.98586
109,109,1996,Upper Secondary Level,At least once per week,0.00775,48,12630,0.00652,0.00888
110,110,1996,Upper Secondary Level,At least once per month,0.0133,78,12630,0.01146,0.01513
111,111,1996,Upper Secondary Level,Seldom,0.08151,465,12630,0.07544,0.08778
112,112,1996,Upper Secondary Level,Never,0.89744,5994,12630,0.88193,0.91221
113,113,1996,Post-secondary Non-tertiary Level,Seldom,0.06982,36,12630,0.05535,0.0877
114,114,1996,Post-secondary Non-tertiary Level,Never,0.93018,430,12630,0.86821,0.9986
115,115,1996,First Stage of Tertiary Education,Seldom,0.12607,85,12630,0.10585,0.15017
116,116,1996,First Stage of Tertiary Education,Never,0.87393,641,12630,0.82353,0.92313
117,117,1996,Second Stage of Tertiary Education,At least once per week,0.01489,32,12630,0.01185,0.01788
118,118,1996,Second Stage of Tertiary Education,At least once per month,0.03964,70,12630,0.03363,0.04732
119,119,1996,Second Stage of Tertiary Education,Seldom,0.15887,254,12630,0.14482,0.17264
120,120,1996,Second Stage of Tertiary Education,Never,0.7866,1400,12630,0.75765,0.82113
121,121,1997,Pre-primary Level,Never,1.0,293,12301,0.91815,1.07627
122,122,1997,Primary Level,Never,1.0,443,12301,0.91133,1.11821
123,123,1997,Lower Secondary Level,Seldom,0.04818,89,12301,0.04106,0.05733
124,124,1997,Lower Secondary Level,Never,0.95182,2191,12301,0.92201,0.99043
125,125,1997,Upper Secondary Level,At least once per week,0.00919,50,12301,0.00755,0.01073
126,126,1997,Upper Secondary Level,At least once per month,0.01403,79,12301,0.01222,0.01629
127,127,1997,Upper Secondary Level,Seldom,0.07036,382,12301,0.06523,0.07656
128,128,1997,Upper Secondary Level,Never,0.90642,5909,12301,0.89048,0.92469
129,129,1997,Post-secondary Non-tertiary Level,Never,1.0,425,12301,0.92827,1.06516
130,130,1997,First Stage of Tertiary Education,Seldom,0.08806,70,12301,0.07546,0.10294
131,131,1997,First Stage of Tertiary Education,Never,0.91194,639,12301,0.85759,0.96207
132,132,1997,Second Stage of Tertiary Education,At least once per month,0.04757,84,12301,0.04017,0.05584
133,133,1997,Second Stage of Tertiary Education,Seldom,0.11143,189,12301,0.09846,0.12556
134,134,1997,Second Stage of Tertiary Education,Never,0.841,1458,12301,0.80865,0.87793
135,135,1998,Pre-primary Level,Never,1.0,303,13433,0.93274,1.0664
136,136,1998,Primary Level,Never,1.0,418,13433,0.91909,1.09255
137,137,1998,Lower Secondary Level,Seldom,0.06984,161,13433,0.06238,0.07896
138,138,1998,Lower Secondary Level,Never,0.93016,2330,13433,0.90645,0.96062
139,139,1998,Upper Secondary Level,At least once per week,0.00872,53,13433,0.00723,0.01039
140,140,1998,Upper Secondary Level,At least once per month,0.01233,92,13433,0.01064,0.01394
141,141,1998,Upper Secondary Level,Seldom,0.09783,617,13433,0.09243,0.10271
142,142,1998,Upper Secondary Level,Never,0.88112,6219,13433,0.86705,0.89487
143,143,1998,Post-secondary Non-tertiary Level,Seldom,0.12475,46,13433,0.10021,0.15789
144,144,1998,Post-secondary Non-tertiary Level,Never,0.87525,448,13433,0.81154,0.93628
145,145,1998,First Stage of Tertiary Education,Seldom,0.12007,105,13433,0.10132,0.13889
146,146,1998,First Stage of Tertiary Education,Never,0.87993,680,13433,0.84288,0.9237
147,147,1998,Second Stage of Tertiary Education,At least once per week,0.0185,37,13433,0.01523,0.02158
148,148,1998,Second Stage of Tertiary Education,At least once per month,0.04212,89,13433,0.03654,0.0486
149,149,1998,Second Stage of Tertiary Education,Seldom,0.16112,302,13433,0.14709,0.1756
150,150,1998,Second Stage of Tertiary Education,Never,0.77826,1533,13433,0.74782,0.80664
151,151,1999,Pre-primary Level,Never,1.0,291,13183,0.92163,1.08519
152,152,1999,Primary Level,Never,1.0,414,13183,0.92435,1.0764
153,153,1999,Lower Secondary Level,Seldom,0.05351,111,13183,0.04703,0.06109
154,154,1999,Lower Secondary Level,Never,0.94649,2286,13183,0.92064,0.97378
155,155,1999,Upper Secondary Level,At least once per week,0.00867,55,13183,0.00738,0.01003
156,156,1999,Upper Secondary Level,At least once per month,0.01578,103,13183,0.01401,0.01818
157,157,1999,Upper Secondary Level,Seldom,0.06948,479,13183,0.06422,0.07349
158,158,1999,Upper Secondary Level,Never,0.90606,6238,13183,0.88954,0.9213
159,159,1999,Post-secondary Non-tertiary Level,Seldom,0.08919,39,13183,0.06888,0.11194
160,160,1999,Post-secondary Non-tertiary Level,Never,0.91081,450,13183,0.83969,0.97148
161,161,1999,First Stage of Tertiary Education,Seldom,0.0867,80,13183,0.07491,0.10147
162,162,1999,First Stage of Tertiary Education,Never,0.9133,694,13183,0.86614,0.96196
163,163,1999,Second Stage of Tertiary Education,At least once per week,0.01834,38,13183,0.0147,0.02213
164,164,1999,Second Stage of Tertiary Education,At least once per month,0.03388,74,13183,0.03023,0.0385
165,165,1999,Second Stage of Tertiary Education,Seldom,0.1209,229,13183,0.1097,0.13316
166,166,1999,Second Stage of Tertiary Education,Never,0.82688,1602,13183,0.7988,0.86004
167,167,2001,Pre-primary Level,Never,1.0,500,21400,0.94948,1.05141
168,168,2001,Primary Level,Never,1.0,306,21400,0.92741,1.07792
169,169,2001,Lower Secondary Level,Seldom,0.03469,99,21400,0.03103,0.03894
170,170,2001,Lower Secondary Level,Never,0.96531,2909,21400,0.94318,0.98848
171,171,2001,Upper Secondary Level,At least once per week,0.0072,80,21400,0.00643,0.00808
172,172,2001,Upper Secondary Level,At least once per month,0.01383,156,21400,0.01278,0.01506
173,173,2001,Upper Secondary Level,Seldom,0.06186,680,21400,0.05887,0.06522
174,174,2001,Upper Secondary Level,Never,0.91711,10510,21400,0.90638,0.92564
175,175,2001,Post-secondary Non-tertiary Level,Seldom,0.06815,72,21400,0.05629,0.07863
176,176,2001,Post-secondary Non-tertiary Level,Never,0.93185,967,21400,0.89223,0.9704
177,177,2001,First Stage of Tertiary Education,At least once per month,0.03071,44,21400,0.02529,0.03619
178,178,2001,First Stage of Tertiary Education,Seldom,0.06895,134,21400,0.0624,0.07531
179,179,2001,First Stage of Tertiary Education,Never,0.90034,1442,21400,0.87224,0.93745
180,180,2001,Second Stage of Tertiary Education,At least once per week,0.01675,64,21400,0.01429,0.01896
181,181,2001,Second Stage of Tertiary Education,At least once per month,0.0381,136,21400,0.03468,0.04208
182,182,2001,Second Stage of Tertiary Education,Seldom,0.10194,371,21400,0.09719,0.10847
183,183,2001,Second Stage of Tertiary Education,Never,0.84321,2930,21400,0.8218,0.8668
184,184,2003,Pre-primary Level,Seldom,0.08967,49,21686,0.06912,0.11045
185,185,2003,Pre-primary Level,Never,0.91033,551,21686,0.83896,0.96801
186,186,2003,Primary Level,Never,1.0,262,21686,0.91679,1.08489
187,187,2003,Lower Secondary Level,Seldom,0.05143,127,21686,0.04365,0.05923
188,188,2003,Lower Secondary Level,Never,0.94857,2558,21686,0.92302,0.97668
189,189,2003,Upper Secondary Level,At least once per week,0.00708,91,21686,0.0061,0.00804
190,190,2003,Upper Secondary Level,At least once per month,0.01555,172,21686,0.01342,0.0173
191,191,2003,Upper Secondary Level,Seldom,0.08427,901,21686,0.08048,0.08799
192,192,2003,Upper Secondary Level,Never,0.8931,9870,21686,0.88158,0.90563
193,193,2003,Post-secondary Non-tertiary Level,Seldom,0.07971,88,21686,0.06506,0.09745
194,194,2003,Post-secondary Non-tertiary Level,Never,0.92029,1031,21686,0.87102,0.97099
195,195,2003,First Stage of Tertiary Education,At least once per month,0.02423,47,21686,0.0183,0.03086
196,196,2003,First Stage of Tertiary Education,Seldom,0.11418,194,21686,0.1023,0.1267
197,197,2003,First Stage of Tertiary Education,Never,0.86159,1419,21686,0.8306,0.90256
198,198,2003,Second Stage of Tertiary Education,At least once per week,0.02286,114,21686,0.01975,0.02676
199,199,2003,Second Stage of Tertiary Education,At least once per month,0.03889,178,21686,0.03386,0.04459
200,200,2003,Second Stage of Tertiary Education,Seldom,0.14295,616,21686,0.1336,0.15215
201,201,2003,Second Stage of Tertiary Education,Never,0.7953,3418,21686,0.76627,0.8207
202,202,2005,Pre-primary Level,Seldom,0.045,33,20153,0.02955,0.06574
203,203,2005,Pre-primary Level,Never,0.955,603,20153,0.88749,1.02267
204,204,2005,Primary Level,Never,1.0,239,20153,0.91149,1.11961
205,205,2005,Lower Secondary Level,Seldom,0.04351,96,20153,0.03645,0.04962
206,206,2005,Lower Secondary Level,Never,0.95649,2254,20153,0.92632,0.99015
207,207,2005,Upper Secondary Level,At least once per week,0.00876,94,20153,0.00749,0.00992
208,208,2005,Upper Secondary Level,At least once per month,0.01651,161,20153,0.01446,0.01848
209,209,2005,Upper Secondary Level,Seldom,0.06919,688,20153,0.06455,0.07283
210,210,2005,Upper Secondary Level,Never,0.90554,9222,20153,0.89338,0.92037
211,211,2005,Post-secondary Non-tertiary Level,Seldom,0.05936,62,20153,0.04597,0.07469
212,212,2005,Post-secondary Non-tertiary Level,Never,0.94064,1037,20153,0.89189,0.99018
213,213,2005,First Stage of Tertiary Education,At least once per month,0.02069,32,20153,0.01487,0.02924
214,214,2005,First Stage of Tertiary Education,Seldom,0.06866,126,20153,0.05782,0.07968
215,215,2005,First Stage of Tertiary Education,Never,0.91065,1367,20153,0.86232,0.95321
216,216,2005,Second Stage of Tertiary Education,At least once per week,0.01987,97,20153,0.01664,0.02374
217,217,2005,Second Stage of Tertiary Education,At least once per month,0.0373,157,20153,0.03197,0.04296
218,218,2005,Second Stage of Tertiary Education,Seldom,0.11138,477,20153,0.10292,0.12126
219,219,2005,Second Stage of Tertiary Education,Never,0.83145,3408,20153,0.80583,0.86204
220,220,2007,Pre-primary Level,Never,1.0,321,19857,0.91035,1.11893
221,221,2007,Primary Level,Never,1.0,213,19857,0.89177,1.10164
222,222,2007,Lower Secondary Level,Seldom,0.02374,49,19857,0.01919,0.02864
223,223,2007,Lower Secondary Level,Never,0.97626,2106,19857,0.94607,1.00292
224,224,2007,Upper Secondary Level,At least once per week,0.00666,66,19857,0.00546,0.00803
225,225,2007,Upper Secondary Level,At least once per month,0.01115,129,19857,0.00965,0.0128
226,226,2007,Upper Secondary Level,Seldom,0.04372,469,19857,0.04032,0.04702
227,227,2007,Upper Secondary Level,Never,0.93847,9561,19857,0.92229,0.95393
228,228,2007,Post-secondary Non-tertiary Level,Seldom,0.05264,56,19857,0.04013,0.06855
229,229,2007,Post-secondary Non-tertiary Level,Never,0.94736,1082,19857,0.90404,0.99929
230,230,2007,First Stage of Tertiary Education,Seldom,0.08583,127,19857,0.07099,0.099
231,231,2007,First Stage of Tertiary Education,Never,0.91417,1329,19857,0.8737,0.95632
232,232,2007,Second Stage of Tertiary Education,At least once per week,0.01627,87,19857,0.01309,0.01921
233,233,2007,Second Stage of Tertiary Education,At least once per month,0.02247,120,19857,0.0189,0.02589
234,234,2007,Second Stage of Tertiary Education,Seldom,0.09515,450,19857,0.08784,0.10568
235,235,2007,Second Stage of Tertiary Education,Never,0.86611,3692,19857,0.84063,0.89095
236,236,2008,Pre-primary Level,Never,1.0,322,18749,0.91489,1.08779
237,237,2008,Primary Level,Never,1.0,178,18749,0.86731,1.13133
238,238,2008,Lower Secondary Level,Seldom,0.0397,77,18749,0.03359,0.04501
239,239,2008,Lower Secondary Level,Never,0.9603,1899,18749,0.92924,0.99362
240,240,2008,Upper Secondary Level,At least once per week,0.0054,63,18749,0.00441,0.00668
241,241,2008,Upper Secondary Level,At least once per month,0.01363,160,18749,0.01175,0.01553
242,242,2008,Upper Secondary Level,Seldom,0.06549,654,18749,0.06132,0.06949
243,243,2008,Upper Secondary Level,Never,0.91548,8796,18749,0.89902,0.9321
244,244,2008,Post-secondary Non-tertiary Level,Seldom,0.07948,79,18749,0.06406,0.09346
245,245,2008,Post-secondary Non-tertiary Level,Never,0.92052,978,18749,0.87063,0.97711
246,246,2008,First Stage of Tertiary Education,Seldom,0.10596,163,18749,0.09254,0.12189
247,247,2008,First Stage of Tertiary Education,Never,0.89404,1201,18749,0.85241,0.93438
248,248,2008,Second Stage of Tertiary Education,At least once per week,0.01605,84,18749,0.01306,0.01938
249,249,2008,Second Stage of Tertiary Education,At least once per month,0.0277,158,18749,0.02372,0.03177
250,250,2008,Second Stage of Tertiary Education,Seldom,0.1054,466,18749,0.09482,0.11569
251,251,2008,Second Stage of Tertiary Education,Never,0.85085,3471,18749,0.82165,0.88238
252,252,2009,Pre-primary Level,Never,1.0,277,17433,0.88671,1.12994
253,253,2009,Primary Level,Never,1.0,162,17433,0.86025,1.11019
254,254,2009,Lower Secondary Level,Seldom,0.03131,50,17433,0.02397,0.04224
255,255,2009,Lower Secondary Level,Never,0.96869,1711,17433,0.93619,1.00488
256,256,2009,Upper Secondary Level,At least once per week,0.0048,48,17433,0.00358,0.00616
257,257,2009,Upper Secondary Level,At least once per month,0.0111,113,17433,0.00936,0.01267
258,258,2009,Upper Secondary Level,Seldom,0.05489,485,17433,0.05017,0.05903
259,259,2009,Upper Secondary Level,Never,0.92922,8326,17433,0.90787,0.94621
260,260,2009,Post-secondary Non-tertiary Level,Seldom,0.07816,57,17433,0.05879,0.1021
261,261,2009,Post-secondary Non-tertiary Level,Never,0.92184,920,17433,0.86292,0.97865
262,262,2009,First Stage of Tertiary Education,Seldom,0.08621,109,17433,0.07135,0.1058
263,263,2009,First Stage of Tertiary Education,Never,0.91379,1170,17433,0.85992,0.96046
264,264,2009,Second Stage of Tertiary Education,At least once per week,0.01375,71,17433,0.01076,0.01735
265,265,2009,Second Stage of Tertiary Education,At least once per month,0.02229,112,17433,0.01737,0.02707
266,266,2009,Second Stage of Tertiary Education,Seldom,0.08303,361,17433,0.07413,0.09258
267,267,2009,Second Stage of Tertiary Education,Never,0.88092,3461,17433,0.85166,0.91134
268,268,2011,Pre-primary Level,Never,1.0,430,27536,0.89198,1.10323
269,269,2011,Primary Level,Never,1.0,398,27536,0.87087,1.11864
270,270,2011,Lower Secondary Level,Seldom,0.0355,101,27536,0.02939,0.04222
271,271,2011,Lower Secondary Level,Never,0.9645,2805,27536,0.93077,1.00292
272,272,2011,Upper Secondary Level,At least once per week,0.00595,89,27536,0.00499,0.0072
273,273,2011,Upper Secondary Level,At least once per month,0.01265,182,27536,0.01105,0.01457
274,274,2011,Upper Secondary Level,Seldom,0.05815,697,27536,0.05335,0.06262
275,275,2011,Upper Secondary Level,Never,0.92325,12869,27536,0.90586,0.93968
276,276,2011,Post-secondary Non-tertiary Level,Seldom,0.0395,92,27536,0.03095,0.04956
277,277,2011,Post-secondary Non-tertiary Level,Never,0.9605,1869,27536,0.90275,1.01895
278,278,2011,First Stage of Tertiary Education,At least once per month,0.01406,40,27536,0.00928,0.01894
279,279,2011,First Stage of Tertiary Education,Seldom,0.06785,148,27536,0.05501,0.08096
280,280,2011,First Stage of Tertiary Education,Never,0.91809,1627,27536,0.86798,0.96878
281,281,2011,Second Stage of Tertiary Education,At least once per week,0.01935,124,27536,0.01518,0.02248
282,282,2011,Second Stage of Tertiary Education,At least once per month,0.02943,193,27536,0.02487,0.03479
283,283,2011,Second Stage of Tertiary Education,Seldom,0.09623,590,27536,0.08908,0.10436
284,284,2011,Second Stage of Tertiary Education,Never,0.85498,5282,27536,0.82735,0.88241
285,285,2013,Pre-primary Level,Seldom,0.1201,49,24757,0.08284,0.16422
286,286,2013,Pre-primary Level,Never,0.8799,378,24757,0.76878,1.00957
287,287,2013,Primary Level,Never,1.0,313,24757,0.88645,1.12652
288,288,2013,Lower Secondary Level,Seldom,0.05777,141,24757,0.04832,0.06672
289,289,2013,Lower Secondary Level,Never,0.94223,2397,24757,0.90657,0.98262
290,290,2013,Upper Secondary Level,At least once per week,0.00675,84,24757,0.00541,0.00841
291,291,2013,Upper Secondary Level,At least once per month,0.01526,186,24757,0.01311,0.01716
292,292,2013,Upper Secondary Level,Seldom,0.08046,906,24757,0.07561,0.08629
293,293,2013,Upper Secondary Level,Never,0.89753,11142,24757,0.8814,0.91915
294,294,2013,Post-secondary Non-tertiary Level,Seldom,0.07162,125,24757,0.05696,0.08436
295,295,2013,Post-secondary Non-tertiary Level,Never,0.92838,1596,24757,0.87761,0.98888
296,296,2013,First Stage of Tertiary Education,At least once per month,0.02913,51,24757,0.02035,0.04088
297,297,2013,First Stage of Tertiary Education,Seldom,0.1065,172,24757,0.08989,0.12425
298,298,2013,First Stage of Tertiary Education,Never,0.86437,1415,24757,0.81412,0.91728
299,299,2013,Second Stage of Tertiary Education,At least once per week,0.0256,144,24757,0.0211,0.03002
300,300,2013,Second Stage of Tertiary Education,At least once per month,0.03218,197,24757,0.02736,0.03729
301,301,2013,Second Stage of Tertiary Education,Seldom,0.12724,686,24757,0.11341,0.14261
302,302,2013,Second Stage of Tertiary Education,Never,0.81498,4775,24757,0.7878,0.84491
303,303,2015,Pre-primary Level,Never,1.0,343,25904,0.88145,1.13677
304,304,2015,Primary Level,Never,1.0,513,25904,0.88726,1.11887
305,305,2015,Lower Secondary Level,Seldom,0.03363,100,25904,0.0266,0.0407
306,306,2015,Lower Secondary Level,Never,0.96637,2825,25904,0.92176,1.0106
307,307,2015,Upper Secondary Level,At least once per week,0.00481,77,25904,0.00377,0.00601
308,308,2015,Upper Secondary Level,At least once per month,0.00963,144,25904,0.0081,0.01146
309,309,2015,Upper Secondary Level,Seldom,0.05411,628,25904,0.05018,0.05989
310,310,2015,Upper Secondary Level,Never,0.93146,11251,25904,0.91249,0.95257
311,311,2015,Post-secondary Non-tertiary Level,Seldom,0.04786,100,25904,0.03787,0.05816
312,312,2015,Post-secondary Non-tertiary Level,Never,0.95214,2018,25904,0.9012,1.01093
313,313,2015,First Stage of Tertiary Education,At least once per month,0.02316,49,25904,0.01765,0.02932
314,314,2015,First Stage of Tertiary Education,Seldom,0.09143,149,25904,0.07255,0.11428
315,315,2015,First Stage of Tertiary Education,Never,0.88541,1305,25904,0.83781,0.93282
316,316,2015,Second Stage of Tertiary Education,At least once per week,0.02079,102,25904,0.01686,0.02581
317,317,2015,Second Stage of Tertiary Education,At least once per month,0.02871,183,25904,0.02401,0.03432
318,318,2015,Second Stage of Tertiary Education,Seldom,0.08297,568,25904,0.07548,0.0917
319,319,2015,Second Stage of Tertiary Education,Never,0.86753,5549,25904,0.83217,0.89617
320,320,2017,Pre-primary Level,Never,1.0,383,25685,0.88698,1.12595
321,321,2017,Primary Level,Never,1.0,440,25685,0.90668,1.10368
