year,quintil_oecd_hh,sampreg,pet_fish,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,1st Quintile,West,No,0.98318,1486,1539,0.97675,0.98960
2011,1st Quintile,East,Yes,0.05018,48,716,0.03418,0.06618
2011,1st Quintile,East,No,0.94982,668,716,0.93382,0.96582
2011,2nd Quintile,West,Yes,0.03698,73,1498,0.02742,0.04654
2011,2nd Quintile,West,No,0.96302,1425,1498,0.95346,0.97258
2011,2nd Quintile,East,Yes,0.04834,46,741,0.03289,0.06380
2011,2nd Quintile,East,No,0.95166,695,741,0.93620,0.96711
2011,3rd Quintile,West,Yes,0.05175,109,1721,0.04128,0.06222
2011,3rd Quintile,West,No,0.94825,1612,1721,0.93778,0.95872
2011,3rd Quintile,East,Yes,0.08393,56,654,0.06266,0.10520
2011,3rd Quintile,East,No,0.91607,598,654,0.89480,0.93734
2011,4th Quintile,West,Yes,0.05914,135,1980,0.04875,0.06954
2011,4th Quintile,West,No,0.94086,1845,1980,0.93046,0.95125
2011,4th Quintile,East,Yes,0.07101,36,456,0.04741,0.09461
2011,4th Quintile,East,No,0.92899,420,456,0.90539,0.95259
2011,5th Quintile,West,Yes,0.05470,145,2451,0.04570,0.06370
2011,5th Quintile,West,No,0.94530,2306,2451,0.93630,0.95430
2011,5th Quintile,East,No,0.92677,301,301,0.89728,0.95625
2016,1st Quintile,West,Yes,0.02185,79,2276,0.01584,0.02786
2016,1st Quintile,West,No,0.97815,2197,2276,0.97214,0.98416
2016,1st Quintile,East,Yes,0.04682,48,820,0.03236,0.06129
2016,1st Quintile,East,No,0.95318,772,820,0.93871,0.96764
2016,2nd Quintile,West,Yes,0.02520,91,2242,0.01871,0.03169
2016,2nd Quintile,West,No,0.97480,2151,2242,0.96831,0.98129
2016,2nd Quintile,East,Yes,0.05911,61,799,0.04275,0.07548
2016,2nd Quintile,East,No,0.94089,738,799,0.92452,0.95725
2016,3rd Quintile,West,Yes,0.03993,101,2071,0.03150,0.04836
2016,3rd Quintile,West,No,0.96007,1970,2071,0.95164,0.96850
2016,3rd Quintile,East,Yes,0.05959,47,672,0.04168,0.07751
2016,3rd Quintile,East,No,0.94041,625,672,0.92249,0.95832
2016,4th Quintile,West,Yes,0.03329,96,2205,0.02580,0.04078
2016,4th Quintile,West,No,0.96671,2109,2205,0.95922,0.97420
2016,4th Quintile,East,Yes,0.07648,36,457,0.05209,0.10087
2016,4th Quintile,East,No,0.92352,421,457,0.89913,0.94791
2016,5th Quintile,West,Yes,0.03462,111,2429,0.02735,0.04189
2016,5th Quintile,West,No,0.96538,2318,2429,0.95811,0.97265
2016,5th Quintile,East,No,0.96577,309,309,0.94546,0.98607
2021,1st Quintile,West,No,0.99088,1480,1480,0.98604,0.99573
2021,1st Quintile,East,No,0.96833,516,516,0.95320,0.98345
2021,2nd Quintile,West,Yes,0.03468,79,1617,0.02576,0.04361
2021,2nd Quintile,West,No,0.96532,1538,1617,0.95639,0.97424
2021,2nd Quintile,East,Yes,0.05209,45,567,0.03378,0.07040
2021,2nd Quintile,East,No,0.94791,522,567,0.92960,0.96622
2021,3rd Quintile,West,Yes,0.03443,48,1549,0.02535,0.04352
2021,3rd Quintile,West,No,0.96557,1501,1549,0.95648,0.97465
2021,3rd Quintile,East,Yes,0.08492,42,475,0.05983,0.11002
2021,3rd Quintile,East,No,0.91508,433,475,0.88998,0.94017
2021,4th Quintile,West,Yes,0.03190,70,1688,0.02351,0.04029
2021,4th Quintile,West,No,0.96810,1618,1688,0.95971,0.97649
2021,4th Quintile,East,No,0.96746,373,373,0.94943,0.98549
2021,5th Quintile,West,Yes,0.03490,101,2288,0.02738,0.04242
2021,5th Quintile,West,No,0.96510,2187,2288,0.95758,0.97262
2021,5th Quintile,East,No,0.96125,401,401,0.94234,0.98017
