year,bula_h,pgisced97,plj0047,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1992,Lower Saxony,Post-secondary Non-tertiary Level,Somewhat concerned,0.4,17350,0.3927102614460848,0.40728973855391526
1992,Lower Saxony,Post-secondary Non-tertiary Level,Not concerned at all,0.4,17350,0.3927102614460848,0.40728973855391526
1992,Lower Saxony,Post-secondary Non-tertiary Level,Very concerned,0.2,17350,0.19404795339487121,0.2059520466051288
1992,Lower Saxony,Second Stage of Tertiary Education,Somewhat concerned,1.0,17350,1.0,1.0
1992,Bremen,Primary Level,Very concerned,1.0,17350,1.0,1.0
1992,Bremen,Lower Secondary Level,Very concerned,1.0,17350,1.0,1.0
1992,Bremen,Upper Secondary Level,Very concerned,1.0,17350,1.0,1.0
1992,North Rhine-Westphalia,Pre-primary Level,Somewhat concerned,0.47058823529411764,17350,0.46316106026513243,0.47801541032310285
1992,North Rhine-Westphalia,Pre-primary Level,Very concerned,0.4117647058823529,17350,0.404441412543266,0.41908799922143986
1992,North Rhine-Westphalia,Pre-primary Level,Not concerned at all,0.11764705882352941,17350,0.11285283795742486,0.12244127968963396
1992,North Rhine-Westphalia,Primary Level,Very concerned,0.4520547945205479,17350,0.4446490208171412,0.45946056822395465
1992,North Rhine-Westphalia,Primary Level,Somewhat concerned,0.4041095890410959,17350,0.39680763478159026,0.41141154330060153
1992,North Rhine-Westphalia,Primary Level,Not concerned at all,0.14383561643835616,17350,0.1386138417363483,0.149057391140364
1992,North Rhine-Westphalia,Lower Secondary Level,Very concerned,0.5066666666666667,17350,0.49922726977816284,0.5141060635551706
1992,North Rhine-Westphalia,Lower Secondary Level,Somewhat concerned,0.3466666666666667,17350,0.33958509291674804,0.3537482404165853
1992,North Rhine-Westphalia,Lower Secondary Level,Not concerned at all,0.14666666666666667,17350,0.14140247858028776,0.15193085475304557
1992,North Rhine-Westphalia,Upper Secondary Level,Somewhat concerned,0.3950617283950617,17350,0.3877873758975371,0.4023360808925863
1992,North Rhine-Westphalia,Upper Secondary Level,Very concerned,0.37037037037037035,17350,0.3631847043436974,0.3775560363970433
1992,North Rhine-Westphalia,Upper Secondary Level,Not concerned at all,0.2345679012345679,17350,0.22826277250057883,0.24087302996855695
1992,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Somewhat concerned,0.4782608695652174,17350,0.47082784682646167,0.48569389230397314
1992,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Very concerned,0.34782608695652173,17350,0.3407389778501063,0.35491319606293714
1992,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Not concerned at all,0.17391304347826086,17350,0.1682729631176085,0.17955312383891323
1992,North Rhine-Westphalia,First Stage of Tertiary Education,Somewhat concerned,0.5714285714285714,17350,0.5640648234792136,0.5787923193779292
1992,North Rhine-Westphalia,First Stage of Tertiary Education,Very concerned,0.42857142857142855,17350,0.42120768062207076,0.43593517652078634
1992,North Rhine-Westphalia,Second Stage of Tertiary Education,Somewhat concerned,0.5454545454545454,17350,0.5380452950251111,0.5528637958839797
1992,North Rhine-Westphalia,Second Stage of Tertiary Education,Very concerned,0.36363636363636365,17350,0.3564783476777104,0.3707943795950169
1992,North Rhine-Westphalia,Second Stage of Tertiary Education,Not concerned at all,0.09090909090909091,17350,0.08663135817916368,0.09518682363901815
1992,Hesse,Pre-primary Level,Somewhat concerned,0.42857142857142855,17350,0.42120768062207076,0.43593517652078634
1992,Hesse,Pre-primary Level,Not concerned at all,0.2857142857142857,17350,0.2789921342815429,0.2924364371470285
1992,Hesse,Pre-primary Level,Very concerned,0.2857142857142857,17350,0.2789921342815429,0.2924364371470285
1992,Hesse,Primary Level,Not concerned at all,0.43333333333333335,17350,0.4259597054984093,0.4407069611682574
1992,Hesse,Primary Level,Somewhat concerned,0.36666666666666664,17350,0.35949602170156775,0.37383731163176553
1992,Hesse,Primary Level,Very concerned,0.2,17350,0.19404795339487121,0.2059520466051288
1992,Hesse,Lower Secondary Level,Somewhat concerned,0.5825242718446602,17350,0.5751862506794002,0.5898622930099201
1992,Hesse,Lower Secondary Level,Not concerned at all,0.22330097087378642,17350,0.21710402049526603,0.2294979212523068
1992,Hesse,Lower Secondary Level,Very concerned,0.1941747572815534,17350,0.1882887180678817,0.2000607964952251
1992,Hesse,Upper Secondary Level,Somewhat concerned,0.41304347826086957,17350,0.4057167989533036,0.42037015756843554
1992,Hesse,Upper Secondary Level,Not concerned at all,0.30434782608695654,17350,0.29750102821346214,0.31119462396045094
1992,Hesse,Upper Secondary Level,Very concerned,0.2826086956521739,17350,0.2759086594981055,0.2893087318062423
1992,Hesse,Post-secondary Non-tertiary Level,Somewhat concerned,0.6666666666666666,17350,0.659652112472625,0.6736812208607083
1992,Hesse,Post-secondary Non-tertiary Level,Not concerned at all,0.2222222222222222,17350,0.21603596690374915,0.22840847754069526
1992,Hesse,Post-secondary Non-tertiary Level,Very concerned,0.1111111111111111,17350,0.10643474164841672,0.11578748057380549
1992,Hesse,First Stage of Tertiary Education,Very concerned,0.6666666666666666,17350,0.659652112472625,0.6736812208607083
1992,Hesse,First Stage of Tertiary Education,Not concerned at all,0.3333333333333333,17350,0.32631877913929175,0.3403478875273749
1992,Hesse,Second Stage of Tertiary Education,Somewhat concerned,0.6666666666666666,17350,0.659652112472625,0.6736812208607083
1992,Hesse,Second Stage of Tertiary Education,Not concerned at all,0.16666666666666666,17350,0.16112117466070214,0.17221215867263118
1992,Hesse,Second Stage of Tertiary Education,Very concerned,0.16666666666666666,17350,0.16112117466070214,0.17221215867263118
1992,"Rhineland-Palatinate, Saarland",Pre-primary Level,Somewhat concerned,1.0,17350,1.0,1.0
1992,"Rhineland-Palatinate, Saarland",Primary Level,Somewhat concerned,0.5555555555555556,17350,0.5481615662142696,0.5629495448968416
1992,"Rhineland-Palatinate, Saarland",Primary Level,Very concerned,0.2962962962962963,17350,0.28950168899278145,0.3030909035998111
1992,"Rhineland-Palatinate, Saarland",Primary Level,Not concerned at all,0.14814814814814814,17350,0.1428620346783142,0.15343426161798207
1992,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Somewhat concerned,0.46511627906976744,17350,0.45769435012805115,0.4725382080114837
1992,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Very concerned,0.37209302325581395,17350,0.36490052525876676,0.37928552125286114
1992,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Not concerned at all,0.16279069767441862,17350,0.1572973365898708,0.16828405875896643
1992,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Somewhat concerned,0.53125,17350,0.5238244873259402,0.5386755126740598
1992,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Very concerned,0.3125,17350,0.30560288140186265,0.31939711859813735
1992,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Not concerned at all,0.15625,17350,0.1508471459271451,0.1616528540728549
1992,"Rhineland-Palatinate, Saarland",Post-secondary Non-tertiary Level,Somewhat concerned,0.5,17350,0.49255994174358897,0.507440058256411
1992,"Rhineland-Palatinate, Saarland",Post-secondary Non-tertiary Level,Very concerned,0.25,17350,0.2435567205443119,0.25644327945568807
1992,"Rhineland-Palatinate, Saarland",Post-secondary Non-tertiary Level,Not concerned at all,0.25,17350,0.2435567205443119,0.25644327945568807
1992,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Somewhat concerned,1.0,17350,1.0,1.0
1992,Baden-Wuerttemberg,Pre-primary Level,Somewhat concerned,0.5454545454545454,17350,0.5380452950251111,0.5528637958839797
1992,Baden-Wuerttemberg,Pre-primary Level,Very concerned,0.2727272727272727,17350,0.26610023767825886,0.27935430777628656
1992,Baden-Wuerttemberg,Pre-primary Level,Not concerned at all,0.18181818181818182,17350,0.176079001113966,0.18755736252239766
1992,Baden-Wuerttemberg,Primary Level,Somewhat concerned,0.38271604938271603,17350,0.3754835707044337,0.38994852806099833
1992,Baden-Wuerttemberg,Primary Level,Very concerned,0.37037037037037035,17350,0.3631847043436974,0.3775560363970433
1992,Baden-Wuerttemberg,Primary Level,Not concerned at all,0.24691358024691357,17350,0.2404970354850873,0.25333012500873986
1992,Baden-Wuerttemberg,Lower Secondary Level,Somewhat concerned,0.4063926940639269,17350,0.39908418320738176,0.4137012049204721
1992,Baden-Wuerttemberg,Lower Secondary Level,Very concerned,0.4018264840182648,17350,0.3945312504535347,0.4091217175829949
1992,Baden-Wuerttemberg,Lower Secondary Level,Not concerned at all,0.1917808219178082,17350,0.18592249645736342,0.197639147378253
1992,Baden-Wuerttemberg,Upper Secondary Level,Somewhat concerned,0.42857142857142855,17350,0.42120768062207076,0.43593517652078634
1992,Baden-Wuerttemberg,Upper Secondary Level,Very concerned,0.38461538461538464,17350,0.37737614461089236,0.3918546246198769
1992,Baden-Wuerttemberg,Upper Secondary Level,Not concerned at all,0.18681318681318682,17350,0.1810134904114721,0.19261288321490153
1992,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Very concerned,0.5416666666666666,17350,0.5342524869521643,0.5490808463811689
1992,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Somewhat concerned,0.4583333333333333,17350,0.45091915361883106,0.46574751304783557
1992,Baden-Wuerttemberg,First Stage of Tertiary Education,Somewhat concerned,0.5,17350,0.49255994174358897,0.507440058256411
1992,Baden-Wuerttemberg,First Stage of Tertiary Education,Very concerned,0.5,17350,0.49255994174358897,0.507440058256411
1992,Baden-Wuerttemberg,Second Stage of Tertiary Education,Very concerned,0.42857142857142855,17350,0.42120768062207076,0.43593517652078634
1992,Baden-Wuerttemberg,Second Stage of Tertiary Education,Somewhat concerned,0.42857142857142855,17350,0.42120768062207076,0.43593517652078634
1992,Baden-Wuerttemberg,Second Stage of Tertiary Education,Not concerned at all,0.14285714285714285,17350,0.1376501867472034,0.1480640989670823
1992,Bavaria,Pre-primary Level,Very concerned,1.0,17350,1.0,1.0
1992,Bavaria,Primary Level,Somewhat concerned,0.49122807017543857,17350,0.483789156983791,0.49866698336708615
1992,Bavaria,Primary Level,Very concerned,0.3333333333333333,17350,0.32631877913929175,0.3403478875273749
1992,Bavaria,Primary Level,Not concerned at all,0.17543859649122806,17350,0.16977906598664333,0.1810981269958128
1992,Bavaria,Lower Secondary Level,Somewhat concerned,0.5210084033613446,17350,0.5135749153902686,0.5284418913324206
1992,Bavaria,Lower Secondary Level,Very concerned,0.2857142857142857,17350,0.2789921342815429,0.2924364371470285
1992,Bavaria,Lower Secondary Level,Not concerned at all,0.19327731092436976,17350,0.18740162051200426,0.19915300133673525
1992,Bavaria,Upper Secondary Level,Somewhat concerned,0.5161290322580645,17350,0.5086928460072534,0.5235652185088756
1992,Bavaria,Upper Secondary Level,Very concerned,0.3333333333333333,17350,0.32631877913929175,0.3403478875273749
1992,Bavaria,Upper Secondary Level,Not concerned at all,0.15053763440860216,17350,0.14521654021643368,0.15585872860077063
1992,Bavaria,Post-secondary Non-tertiary Level,Somewhat concerned,0.46153846153846156,17350,0.45412044794756184,0.4689564751293613
1992,Bavaria,Post-secondary Non-tertiary Level,Very concerned,0.46153846153846156,17350,0.45412044794756184,0.4689564751293613
1992,Bavaria,Post-secondary Non-tertiary Level,Not concerned at all,0.07692307692307693,17350,0.07295798187342271,0.08088817197273114
1992,Bavaria,First Stage of Tertiary Education,Somewhat concerned,0.5,17350,0.49255994174358897,0.507440058256411
1992,Bavaria,First Stage of Tertiary Education,Very concerned,0.5,17350,0.49255994174358897,0.507440058256411
1992,Bavaria,Second Stage of Tertiary Education,Somewhat concerned,0.5,17350,0.49255994174358897,0.507440058256411
1992,Bavaria,Second Stage of Tertiary Education,Very concerned,0.42857142857142855,17350,0.42120768062207076,0.43593517652078634
1992,Bavaria,Second Stage of Tertiary Education,Not concerned at all,0.07142857142857142,17350,0.06759635549486727,0.07526078736227558
1992,Berlin,Pre-primary Level,Very concerned,0.6666666666666666,17350,0.659652112472625,0.6736812208607083
1992,Berlin,Pre-primary Level,Somewhat concerned,0.3333333333333333,17350,0.32631877913929175,0.3403478875273749
1992,Berlin,Primary Level,Very concerned,0.6111111111111112,17350,0.6038570837510968,0.6183651384711255
1992,Berlin,Primary Level,Somewhat concerned,0.3888888888888889,17350,0.38163486152887455,0.39614291624890324
1992,Berlin,Lower Secondary Level,Very concerned,0.5862068965517241,17350,0.5788782560631243,0.5935355370403239
1992,Berlin,Lower Secondary Level,Somewhat concerned,0.3793103448275862,17350,0.3720902827931294,0.386530406862043
1992,Berlin,Lower Secondary Level,Not concerned at all,0.034482758620689655,17350,0.03176764911913153,0.037197868122247776
1992,Berlin,Upper Secondary Level,Very concerned,0.52,17350,0.5125658961729194,0.5274341038270807
1992,Berlin,Upper Secondary Level,Somewhat concerned,0.44,17350,0.4326137044104624,0.44738629558953763
1992,Berlin,Upper Secondary Level,Not concerned at all,0.04,17350,0.03708410457843391,0.04291589542156609
1992,Berlin,Post-secondary Non-tertiary Level,Very concerned,0.5714285714285714,17350,0.5640648234792136,0.5787923193779292
1992,Berlin,Post-secondary Non-tertiary Level,Somewhat concerned,0.2857142857142857,17350,0.2789921342815429,0.2924364371470285
1992,Berlin,Post-secondary Non-tertiary Level,Not concerned at all,0.14285714285714285,17350,0.1376501867472034,0.1480640989670823
1992,Berlin,Second Stage of Tertiary Education,Very concerned,1.0,17350,1.0,1.0
1993,Schleswig-Holstein,Primary Level,Somewhat concerned,0.6,16993,0.592634085668921,0.607365914331079
1993,Schleswig-Holstein,Primary Level,Very concerned,0.4,16993,0.39263408566892094,0.4073659143310791
1993,Schleswig-Holstein,Lower Secondary Level,Very concerned,0.75,16993,0.7434893900335685,0.7565106099664315
1993,Schleswig-Holstein,Lower Secondary Level,Somewhat concerned,0.25,16993,0.24348939003356854,0.2565106099664315
1993,Schleswig-Holstein,Upper Secondary Level,Very concerned,0.5,16993,0.49248219516658426,0.5075178048334157
1993,Schleswig-Holstein,Upper Secondary Level,Somewhat concerned,0.3333333333333333,16993,0.3262454789635396,0.340421187703127
1993,Schleswig-Holstein,Upper Secondary Level,Not concerned at all,0.16666666666666666,16993,0.1610632257836353,0.17227010754969801
1993,Schleswig-Holstein,Second Stage of Tertiary Education,Somewhat concerned,1.0,16993,1.0,1.0
1993,Hamburg,Primary Level,Somewhat concerned,0.8,16993,0.7939857561332675,0.8060142438667326
1993,Hamburg,Primary Level,Very concerned,0.2,16993,0.19398575613326743,0.2060142438667326
1993,Hamburg,Lower Secondary Level,Somewhat concerned,0.5833333333333334,16993,0.5759206778019568,0.59074598886471
1993,Hamburg,Lower Secondary Level,Very concerned,0.3333333333333333,16993,0.3262454789635396,0.340421187703127
1993,Hamburg,Lower Secondary Level,Not concerned at all,0.08333333333333333,16993,0.07917771035340662,0.08748895631326004
1993,Hamburg,Upper Secondary Level,Somewhat concerned,0.6,16993,0.592634085668921,0.607365914331079
1993,Hamburg,Upper Secondary Level,Very concerned,0.4,16993,0.39263408566892094,0.4073659143310791
1993,Hamburg,Post-secondary Non-tertiary Level,Somewhat concerned,1.0,16993,1.0,1.0
1993,Hamburg,First Stage of Tertiary Education,Very concerned,1.0,16993,1.0,1.0
1993,Lower Saxony,Pre-primary Level,Very concerned,1.0,16993,1.0,1.0
1993,Lower Saxony,Primary Level,Very concerned,0.7096774193548387,16993,0.702852587689691,0.7165022510199864
1993,Lower Saxony,Primary Level,Somewhat concerned,0.16129032258064516,16993,0.15576024753435344,0.16682039762693687
1993,Lower Saxony,Primary Level,Not concerned at all,0.12903225806451613,16993,0.12399178583244015,0.1340727302965921
1993,Lower Saxony,Lower Secondary Level,Very concerned,0.6458333333333334,16993,0.6386424024766236,0.6530242641900431
1993,Lower Saxony,Lower Secondary Level,Somewhat concerned,0.2708333333333333,16993,0.2641516559319008,0.2775150107347658
1993,Lower Saxony,Lower Secondary Level,Not concerned at all,0.08333333333333333,16993,0.07917771035340662,0.08748895631326004
1993,Lower Saxony,Upper Secondary Level,Very concerned,0.5263157894736842,16993,0.5188084043331948,0.5338231746141736
1993,Lower Saxony,Upper Secondary Level,Somewhat concerned,0.42105263157894735,16993,0.4136291304694884,0.4284761326884063
1993,Lower Saxony,Upper Secondary Level,Not concerned at all,0.05263157894736842,16993,0.049274174245887196,0.05598898364884964
1993,Lower Saxony,Post-secondary Non-tertiary Level,Very concerned,0.8,16993,0.7939857561332675,0.8060142438667326
1993,Lower Saxony,Post-secondary Non-tertiary Level,Somewhat concerned,0.2,16993,0.19398575613326743,0.2060142438667326
1993,Lower Saxony,Second Stage of Tertiary Education,Very concerned,0.5,16993,0.49248219516658426,0.5075178048334157
1993,Lower Saxony,Second Stage of Tertiary Education,Somewhat concerned,0.5,16993,0.49248219516658426,0.5075178048334157
1993,Bremen,Primary Level,Very concerned,1.0,16993,1.0,1.0
1993,Bremen,Lower Secondary Level,Very concerned,1.0,16993,1.0,1.0
1993,Bremen,Upper Secondary Level,Very concerned,1.0,16993,1.0,1.0
1993,North Rhine-Westphalia,Pre-primary Level,Somewhat concerned,0.5333333333333333,16993,0.5258322533367267,0.54083441332994
1993,North Rhine-Westphalia,Pre-primary Level,Very concerned,0.4666666666666667,16993,0.4591655866700601,0.47416774666327327
1993,North Rhine-Westphalia,Primary Level,Very concerned,0.5971223021582733,16993,0.5897476880128489,0.6044969163036977
1993,North Rhine-Westphalia,Primary Level,Somewhat concerned,0.2949640287769784,16993,0.28810739097669763,0.3018206665772592
1993,North Rhine-Westphalia,Primary Level,Not concerned at all,0.1079136690647482,16993,0.1032485501925907,0.11257878793690569
1993,North Rhine-Westphalia,Lower Secondary Level,Very concerned,0.5681818181818182,16993,0.5607342382849726,0.5756293980786639
1993,North Rhine-Westphalia,Lower Secondary Level,Somewhat concerned,0.33181818181818185,16993,0.32473842306250106,0.33889794057386263
1993,North Rhine-Westphalia,Lower Secondary Level,Not concerned at all,0.1,16993,0.09548931709995057,0.10451068290004945
1993,North Rhine-Westphalia,Upper Secondary Level,Very concerned,0.4853801169590643,16993,0.4778655265387943,0.4928947073793343
1993,North Rhine-Westphalia,Upper Secondary Level,Somewhat concerned,0.42105263157894735,16993,0.4136291304694884,0.4284761326884063
1993,North Rhine-Westphalia,Upper Secondary Level,Not concerned at all,0.0935672514619883,16993,0.08918849518721401,0.09794600773676258
1993,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Very concerned,0.5,16993,0.49248219516658426,0.5075178048334157
1993,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Somewhat concerned,0.5,16993,0.49248219516658426,0.5075178048334157
1993,North Rhine-Westphalia,First Stage of Tertiary Education,Very concerned,0.6666666666666666,16993,0.659578812296873,0.6737545210364603
1993,North Rhine-Westphalia,First Stage of Tertiary Education,Somewhat concerned,0.3333333333333333,16993,0.3262454789635396,0.340421187703127
1993,North Rhine-Westphalia,Second Stage of Tertiary Education,Somewhat concerned,0.5,16993,0.49248219516658426,0.5075178048334157
1993,North Rhine-Westphalia,Second Stage of Tertiary Education,Very concerned,0.4166666666666667,16993,0.40925401113529014,0.42407932219804323
1993,North Rhine-Westphalia,Second Stage of Tertiary Education,Not concerned at all,0.08333333333333333,16993,0.07917771035340662,0.08748895631326004
1993,Hesse,Pre-primary Level,Somewhat concerned,0.8,16993,0.7939857561332675,0.8060142438667326
1993,Hesse,Pre-primary Level,Very concerned,0.2,16993,0.19398575613326743,0.2060142438667326
1993,Hesse,Primary Level,Somewhat concerned,0.5925925925925926,16993,0.5852048184060562,0.5999803667791289
1993,Hesse,Primary Level,Very concerned,0.2222222222222222,16993,0.21597132222505003,0.2284731222193944
1993,Hesse,Primary Level,Not concerned at all,0.18518518518518517,16993,0.17934463686807203,0.19102573350229832
1993,Hesse,Lower Secondary Level,Somewhat concerned,0.5145631067961165,16993,0.5070484914527211,0.5220777221395119
1993,Hesse,Lower Secondary Level,Very concerned,0.32038834951456313,16993,0.3133723458387681,0.32740435319035815
1993,Hesse,Lower Secondary Level,Not concerned at all,0.1650485436893204,16993,0.15946695918527257,0.17063012819336823
1993,Hesse,Upper Secondary Level,Somewhat concerned,0.5568181818181818,16993,0.5493490742509268,0.5642872893854367
1993,Hesse,Upper Secondary Level,Very concerned,0.2727272727272727,16993,0.26603098697174626,0.27942355848279915
1993,Hesse,Upper Secondary Level,Not concerned at all,0.17045454545454544,16993,0.16480068051097344,0.17610841039811745
1993,Hesse,Post-secondary Non-tertiary Level,Somewhat concerned,0.6666666666666666,16993,0.659578812296873,0.6737545210364603
1993,Hesse,Post-secondary Non-tertiary Level,Very concerned,0.2222222222222222,16993,0.21597132222505003,0.2284731222193944
1993,Hesse,Post-secondary Non-tertiary Level,Not concerned at all,0.1111111111111111,16993,0.10638587486458198,0.11583634735764023
1993,Hesse,First Stage of Tertiary Education,Very concerned,0.5,16993,0.49248219516658426,0.5075178048334157
1993,Hesse,First Stage of Tertiary Education,Somewhat concerned,0.5,16993,0.49248219516658426,0.5075178048334157
1993,Hesse,Second Stage of Tertiary Education,Somewhat concerned,0.4,16993,0.39263408566892094,0.4073659143310791
1993,Hesse,Second Stage of Tertiary Education,Very concerned,0.4,16993,0.39263408566892094,0.4073659143310791
1993,Hesse,Second Stage of Tertiary Education,Not concerned at all,0.2,16993,0.19398575613326743,0.2060142438667326
1993,"Rhineland-Palatinate, Saarland",Primary Level,Somewhat concerned,0.7272727272727273,16993,0.7205764415172009,0.7339690130282537
1993,"Rhineland-Palatinate, Saarland",Primary Level,Very concerned,0.2727272727272727,16993,0.26603098697174626,0.27942355848279915
1993,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Somewhat concerned,0.6052631578947368,16993,0.5979138406705097,0.612612475118964
1993,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Very concerned,0.2894736842105263,16993,0.2826547630268416,0.29629260539421104
1993,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Not concerned at all,0.10526315789473684,16993,0.10064884649068603,0.10987746929878764
1993,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Somewhat concerned,0.44,16993,0.43253651963864465,0.44746348036135536
1993,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Very concerned,0.28,16993,0.27324902800305406,0.286750971996946
1993,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Not concerned at all,0.28,16993,0.27324902800305406,0.286750971996946
1993,"Rhineland-Palatinate, Saarland",Post-secondary Non-tertiary Level,Very concerned,0.5,16993,0.49248219516658426,0.5075178048334157
1993,"Rhineland-Palatinate, Saarland",Post-secondary Non-tertiary Level,Not concerned at all,0.25,16993,0.24348939003356854,0.2565106099664315
1993,"Rhineland-Palatinate, Saarland",Post-secondary Non-tertiary Level,Somewhat concerned,0.25,16993,0.24348939003356854,0.2565106099664315
1993,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Somewhat concerned,1.0,16993,1.0,1.0
1993,Baden-Wuerttemberg,Pre-primary Level,Very concerned,0.5714285714285714,16993,0.5639878743240783,0.5788692685330645
1993,Baden-Wuerttemberg,Pre-primary Level,Somewhat concerned,0.42857142857142855,16993,0.4211307314669354,0.4360121256759217
1993,Baden-Wuerttemberg,Primary Level,Very concerned,0.45454545454545453,16993,0.44705877947239425,0.4620321296185148
1993,Baden-Wuerttemberg,Primary Level,Somewhat concerned,0.39204545454545453,16993,0.38470496864102466,0.3993859404498844
1993,Baden-Wuerttemberg,Primary Level,Not concerned at all,0.1534090909090909,16993,0.14799053709220938,0.15882764472597244
1993,Baden-Wuerttemberg,Lower Secondary Level,Very concerned,0.4318181818181818,16993,0.4243706019213362,0.43926576171502746
1993,Baden-Wuerttemberg,Lower Secondary Level,Somewhat concerned,0.42272727272727273,16993,0.4152997892121714,0.43015475624237404
1993,Baden-Wuerttemberg,Lower Secondary Level,Not concerned at all,0.14545454545454545,16993,0.14015361293630013,0.15075547797279076
1993,Baden-Wuerttemberg,Upper Secondary Level,Very concerned,0.44565217391304346,16993,0.4381789115076825,0.4531254363184044
1993,Baden-Wuerttemberg,Upper Secondary Level,Somewhat concerned,0.42391304347826086,16993,0.41648279301230806,0.43134329394421367
1993,Baden-Wuerttemberg,Upper Secondary Level,Not concerned at all,0.13043478260869565,16993,0.12537107253567709,0.1354984926817142
1993,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Somewhat concerned,0.5217391304347826,16993,0.5142284346382603,0.5292498262313049
