"plj0047","year","alter_gr","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"Einige Sorgen","1993","35-65 Jahre alt","Hauptschulabschluss","256","0.409470850315356","0.369554945449609","0.449386755181103"
"Einige Sorgen","1993","35-65 Jahre alt","Realschulabschluss","","","",""
"Einige Sorgen","1993","35-65 Jahre alt","(Fach-)Abitur","35","0.535190949788888","0.422312996154647","0.648068903423128"
"Einige Sorgen","1993","35-65 Jahre alt","AkademikerInnen","","","",""
"Einige Sorgen","1993","66 und älter","(noch) kein Abschluss","","","",""
"Einige Sorgen","1993","66 und älter","Hauptschulabschluss","","","",""
"Einige Sorgen","1993","66 und älter","Realschulabschluss","","","",""
"Einige Sorgen","1993","66 und älter","(Fach-)Abitur","","","",""
"Einige Sorgen","1993","66 und älter","AkademikerInnen","","","",""
"Keine Sorgen","1993","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Keine Sorgen","1993","16-34 Jahre alt","Hauptschulabschluss","58","0.0854913647740415","0.0621868236577318","0.108795905890351"
"Keine Sorgen","1993","16-34 Jahre alt","Realschulabschluss","","","",""
"Keine Sorgen","1993","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Keine Sorgen","1993","16-34 Jahre alt","AkademikerInnen","","","",""
"Keine Sorgen","1993","35-65 Jahre alt","(noch) kein Abschluss","60","0.115962140323551","0.0854500858651179","0.146474194781984"
"Keine Sorgen","1993","35-65 Jahre alt","Hauptschulabschluss","75","0.13598556991803","0.108161495616517","0.163809644219542"
"Keine Sorgen","1993","35-65 Jahre alt","Realschulabschluss","","","",""
"Keine Sorgen","1993","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Keine Sorgen","1993","35-65 Jahre alt","AkademikerInnen","","","",""
"Keine Sorgen","1993","66 und älter","(noch) kein Abschluss","","","",""
"Keine Sorgen","1993","66 und älter","Hauptschulabschluss","","","",""
"Keine Sorgen","1993","66 und älter","Realschulabschluss","","","",""
"Keine Sorgen","1993","66 und älter","(Fach-)Abitur","","","",""
"Keine Sorgen","1993","66 und älter","AkademikerInnen","","","",""
"Grosse Sorgen","1994","16-34 Jahre alt","(noch) kein Abschluss","75","0.577656593306553","0.498612360576221","0.656700826036886"
"Grosse Sorgen","1994","16-34 Jahre alt","Hauptschulabschluss","238","0.496459784055242","0.452546841710517","0.540372726399967"
"Grosse Sorgen","1994","16-34 Jahre alt","Realschulabschluss","55","0.52310703773167","0.428908979290675","0.617305096172664"
"Grosse Sorgen","1994","16-34 Jahre alt","(Fach-)Abitur","55","0.429280817362302","0.337200124655939","0.521361510068666"
"Grosse Sorgen","1994","16-34 Jahre alt","AkademikerInnen","","","",""
"Grosse Sorgen","1994","35-65 Jahre alt","(noch) kein Abschluss","175","0.476183526562489","0.426868787464379","0.525498265660598"
"Grosse Sorgen","1994","35-65 Jahre alt","Hauptschulabschluss","240","0.478065869138553","0.436840907773315","0.519290830503791"
"Grosse Sorgen","1994","35-65 Jahre alt","Realschulabschluss","","","",""
"Grosse Sorgen","1994","35-65 Jahre alt","(Fach-)Abitur","30","0.475093161651847","0.356400425991366","0.593785897312328"
"Grosse Sorgen","1994","35-65 Jahre alt","AkademikerInnen","","","",""
"Grosse Sorgen","1994","66 und älter","(noch) kein Abschluss","","","",""
"Grosse Sorgen","1994","66 und älter","Hauptschulabschluss","","","",""
"Grosse Sorgen","1994","66 und älter","Realschulabschluss","","","",""
"Grosse Sorgen","1994","66 und älter","(Fach-)Abitur","","","",""
"Grosse Sorgen","1994","66 und älter","AkademikerInnen","","","",""
"Einige Sorgen","1994","16-34 Jahre alt","(noch) kein Abschluss","61","0.369686297329853","0.292436470864587","0.446936123795119"
"Einige Sorgen","1994","16-34 Jahre alt","Hauptschulabschluss","209","0.398751855786366","0.355747578573659","0.441756132999072"
"Einige Sorgen","1994","16-34 Jahre alt","Realschulabschluss","42","0.339444835931771","0.250139920746827","0.428749751116715"
"Einige Sorgen","1994","16-34 Jahre alt","(Fach-)Abitur","46","0.498652142232874","0.405636705835171","0.591667578630576"
"Einige Sorgen","1994","16-34 Jahre alt","AkademikerInnen","","","",""
"Einige Sorgen","1994","35-65 Jahre alt","(noch) kein Abschluss","173","0.433353680555408","0.38442345013239","0.482283910978426"
"Einige Sorgen","1994","35-65 Jahre alt","Hauptschulabschluss","237","0.382613467873089","0.342502121359751","0.422724814386427"
"Einige Sorgen","1994","35-65 Jahre alt","Realschulabschluss","","","",""
"Einige Sorgen","1994","35-65 Jahre alt","(Fach-)Abitur","34","0.475977940092458","0.3572749026049","0.594680977580016"
"Einige Sorgen","1994","35-65 Jahre alt","AkademikerInnen","","","",""
"Einige Sorgen","1994","66 und älter","(noch) kein Abschluss","","","",""
"Einige Sorgen","1994","66 und älter","Hauptschulabschluss","","","",""
"Einige Sorgen","1994","66 und älter","Realschulabschluss","","","",""
"Einige Sorgen","1994","66 und älter","(Fach-)Abitur","","","",""
"Einige Sorgen","1994","66 und älter","AkademikerInnen","","","",""
"Keine Sorgen","1994","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Keine Sorgen","1994","16-34 Jahre alt","Hauptschulabschluss","51","0.104788360158392","0.0778883278328789","0.131688392483906"
"Keine Sorgen","1994","16-34 Jahre alt","Realschulabschluss","","","",""
"Keine Sorgen","1994","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Keine Sorgen","1994","16-34 Jahre alt","AkademikerInnen","","","",""
"Keine Sorgen","1994","35-65 Jahre alt","(noch) kein Abschluss","46","0.0904627928821032","0.0621394042895811","0.118786181474625"
"Keine Sorgen","1994","35-65 Jahre alt","Hauptschulabschluss","87","0.139320662988358","0.110742323329735","0.167899002646981"
"Keine Sorgen","1994","35-65 Jahre alt","Realschulabschluss","","","",""
"Keine Sorgen","1994","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Keine Sorgen","1994","35-65 Jahre alt","AkademikerInnen","","","",""
"Keine Sorgen","1994","66 und älter","(noch) kein Abschluss","","","",""
"Keine Sorgen","1994","66 und älter","Hauptschulabschluss","","","",""
"Keine Sorgen","1994","66 und älter","Realschulabschluss","","","",""
"Keine Sorgen","1994","66 und älter","(Fach-)Abitur","","","",""
"Keine Sorgen","1994","66 und älter","AkademikerInnen","","","",""
"Grosse Sorgen","1995","16-34 Jahre alt","(noch) kein Abschluss","55","0.501287263821134","0.413635300251967","0.588939227390301"
"Grosse Sorgen","1995","16-34 Jahre alt","Hauptschulabschluss","194","0.487591406192147","0.440833823067619","0.534348989316676"
"Grosse Sorgen","1995","16-34 Jahre alt","Realschulabschluss","42","0.401806585761702","0.309344102661239","0.494269068862165"
"Grosse Sorgen","1995","16-34 Jahre alt","(Fach-)Abitur","49","0.427092474437078","0.333366616345161","0.520818332528994"
"Grosse Sorgen","1995","16-34 Jahre alt","AkademikerInnen","","","",""
"Grosse Sorgen","1995","35-65 Jahre alt","(noch) kein Abschluss","145","0.43309991053108","0.381914740487102","0.484285080575058"
"Grosse Sorgen","1995","35-65 Jahre alt","Hauptschulabschluss","200","0.435845103815072","0.393101800151396","0.478588407478748"
"Grosse Sorgen","1995","35-65 Jahre alt","Realschulabschluss","","","",""
"Grosse Sorgen","1995","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Grosse Sorgen","1995","35-65 Jahre alt","AkademikerInnen","","","",""
"Grosse Sorgen","1995","66 und älter","(noch) kein Abschluss","","","",""
"Grosse Sorgen","1995","66 und älter","Hauptschulabschluss","","","",""
"Grosse Sorgen","1995","66 und älter","Realschulabschluss","","","",""
"Grosse Sorgen","1995","66 und älter","(Fach-)Abitur","","","",""
"Grosse Sorgen","1995","66 und älter","AkademikerInnen","","","",""
"Einige Sorgen","1995","16-34 Jahre alt","(noch) kein Abschluss","59","0.409428803872016","0.323226591620147","0.495631016123884"
"Einige Sorgen","1995","16-34 Jahre alt","Hauptschulabschluss","198","0.42134472718721","0.375155087969329","0.467534366405091"
"Einige Sorgen","1995","16-34 Jahre alt","Realschulabschluss","55","0.485952783434046","0.391691194499872","0.58021437236822"
"Einige Sorgen","1995","16-34 Jahre alt","(Fach-)Abitur","41","0.377690885378317","0.285830653933264","0.469551116823371"
"Einige Sorgen","1995","16-34 Jahre alt","AkademikerInnen","","","",""
"Einige Sorgen","1995","35-65 Jahre alt","(noch) kein Abschluss","165","0.434497664311535","0.383293207282874","0.485702121340196"
"Einige Sorgen","1995","35-65 Jahre alt","Hauptschulabschluss","230","0.410391394292445","0.36798963766929","0.452793150915601"
"Einige Sorgen","1995","35-65 Jahre alt","Realschulabschluss","","","",""
"Einige Sorgen","1995","35-65 Jahre alt","(Fach-)Abitur","31","0.349854441833408","0.233912543014856","0.46579634065196"
"Einige Sorgen","1995","35-65 Jahre alt","AkademikerInnen","","","",""
"Einige Sorgen","1995","66 und älter","(noch) kein Abschluss","","","",""
"Einige Sorgen","1995","66 und älter","Hauptschulabschluss","","","",""
"Einige Sorgen","1995","66 und älter","Realschulabschluss","","","",""
"Einige Sorgen","1995","66 und älter","(Fach-)Abitur","","","",""
"Einige Sorgen","1995","66 und älter","AkademikerInnen","","","",""
"Keine Sorgen","1995","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Keine Sorgen","1995","16-34 Jahre alt","Hauptschulabschluss","47","0.0910638666206424","0.0641512726963","0.117976460544985"
"Keine Sorgen","1995","16-34 Jahre alt","Realschulabschluss","","","",""
"Keine Sorgen","1995","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Keine Sorgen","1995","16-34 Jahre alt","AkademikerInnen","","","",""
"Keine Sorgen","1995","35-65 Jahre alt","(noch) kein Abschluss","50","0.132402425157385","0.0973914687021225","0.167413381612648"
"Keine Sorgen","1995","35-65 Jahre alt","Hauptschulabschluss","87","0.153763501892483","0.122669592667204","0.184857411117762"
"Keine Sorgen","1995","35-65 Jahre alt","Realschulabschluss","","","",""
"Keine Sorgen","1995","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Keine Sorgen","1995","35-65 Jahre alt","AkademikerInnen","","","",""
"Keine Sorgen","1995","66 und älter","(noch) kein Abschluss","","","",""
"Keine Sorgen","1995","66 und älter","Hauptschulabschluss","","","",""
"Keine Sorgen","1995","66 und älter","Realschulabschluss","","","",""
"Keine Sorgen","1995","66 und älter","(Fach-)Abitur","","","",""
"Keine Sorgen","1995","66 und älter","AkademikerInnen","","","",""
"Grosse Sorgen","1996","16-34 Jahre alt","(noch) kein Abschluss","130","0.319830061186024","0.274405688661888","0.36525443371016"
"Grosse Sorgen","1996","16-34 Jahre alt","Hauptschulabschluss","506","0.352411649556305","0.32755563267356","0.377267666439051"
"Grosse Sorgen","1996","16-34 Jahre alt","Realschulabschluss","443","0.274333744180464","0.252150213764715","0.296517274596214"
"Grosse Sorgen","1996","16-34 Jahre alt","(Fach-)Abitur","189","0.289184026748153","0.254853819174382","0.323514234321924"
"Grosse Sorgen","1996","16-34 Jahre alt","AkademikerInnen","86","0.211586927862384","0.172710487989949","0.25046336773482"
"Grosse Sorgen","1996","35-65 Jahre alt","(noch) kein Abschluss","148","0.436977708538046","0.386974873602357","0.486980543473734"
"Grosse Sorgen","1996","35-65 Jahre alt","Hauptschulabschluss","1088","0.325592352100268","0.309787846977894","0.341396857222643"
"Grosse Sorgen","1996","35-65 Jahre alt","Realschulabschluss","334","0.252258563474357","0.229030726577591","0.275486400371124"
"Grosse Sorgen","1996","35-65 Jahre alt","(Fach-)Abitur","92","0.293073176426502","0.243124036377038","0.343022316475966"
"Grosse Sorgen","1996","35-65 Jahre alt","AkademikerInnen","250","0.194733466124355","0.172033199522317","0.217433732726393"
"Grosse Sorgen","1996","66 und älter","(noch) kein Abschluss","","","",""
"Grosse Sorgen","1996","66 und älter","Hauptschulabschluss","340","0.317263021802275","0.289846603252151","0.344679440352399"
"Grosse Sorgen","1996","66 und älter","Realschulabschluss","61","0.307367797426609","0.240517542408132","0.374218052445085"
"Grosse Sorgen","1996","66 und älter","(Fach-)Abitur","","","",""
"Grosse Sorgen","1996","66 und älter","AkademikerInnen","45","0.307154740556873","0.234530939101777","0.379778542011968"
"Einige Sorgen","1996","16-34 Jahre alt","(noch) kein Abschluss","209","0.521192005383414","0.472540066926566","0.569843943840262"
"Einige Sorgen","1996","16-34 Jahre alt","Hauptschulabschluss","680","0.493707608761916","0.467694485200613","0.519720732323218"
"Einige Sorgen","1996","16-34 Jahre alt","Realschulabschluss","864","0.556454690252321","0.53175414825042","0.581155232254222"
"Einige Sorgen","1996","16-34 Jahre alt","(Fach-)Abitur","392","0.597081374245901","0.559941868182903","0.634220880308899"
"Einige Sorgen","1996","16-34 Jahre alt","AkademikerInnen","270","0.62572243815961","0.579659363528194","0.671785512791027"
"Einige Sorgen","1996","35-65 Jahre alt","(noch) kein Abschluss","181","0.416692941891908","0.366992656910659","0.466393226873156"
"Einige Sorgen","1996","35-65 Jahre alt","Hauptschulabschluss","1753","0.513250748610927","0.496392983332648","0.530108513889206"
"Einige Sorgen","1996","35-65 Jahre alt","Realschulabschluss","757","0.564664659171613","0.538148088881851","0.591181229461375"
"Einige Sorgen","1996","35-65 Jahre alt","(Fach-)Abitur","184","0.567045061524847","0.512672112983277","0.621418010066417"
"Einige Sorgen","1996","35-65 Jahre alt","AkademikerInnen","697","0.615638151413218","0.587752953263945","0.643523349562491"
"Einige Sorgen","1996","66 und älter","(noch) kein Abschluss","","","",""
"Einige Sorgen","1996","66 und älter","Hauptschulabschluss","523","0.457344752018015","0.427998128929133","0.486691375106897"
"Einige Sorgen","1996","66 und älter","Realschulabschluss","91","0.519611604299177","0.447224997199297","0.591998211399057"
"Einige Sorgen","1996","66 und älter","(Fach-)Abitur","","","",""
"Einige Sorgen","1996","66 und älter","AkademikerInnen","76","0.475096573289458","0.396480219959101","0.553712926619815"
"Keine Sorgen","1996","16-34 Jahre alt","(noch) kein Abschluss","66","0.158977933430562","0.123366234058679","0.194589632802445"
"Keine Sorgen","1996","16-34 Jahre alt","Hauptschulabschluss","233","0.153880741681779","0.135106395623245","0.172655087740313"
"Keine Sorgen","1996","16-34 Jahre alt","Realschulabschluss","247","0.169211565567214","0.150569980947088","0.187853150187341"
"Keine Sorgen","1996","16-34 Jahre alt","(Fach-)Abitur","89","0.113734599005946","0.0896943541011316","0.137774843910761"
"Keine Sorgen","1996","16-34 Jahre alt","AkademikerInnen","68","0.162690633978005","0.127559722880537","0.197821545075474"
"Keine Sorgen","1996","35-65 Jahre alt","(noch) kein Abschluss","49","0.146329349570047","0.110699573946867","0.181959125193226"
"Keine Sorgen","1996","35-65 Jahre alt","Hauptschulabschluss","536","0.161156899288805","0.148756165610334","0.173557632967276"
"Keine Sorgen","1996","35-65 Jahre alt","Realschulabschluss","252","0.18307677735403","0.162393596227313","0.203759958480747"
"Keine Sorgen","1996","35-65 Jahre alt","(Fach-)Abitur","43","0.139881762048652","0.101817941700146","0.177945582397157"
"Keine Sorgen","1996","35-65 Jahre alt","AkademikerInnen","222","0.189628382462427","0.167156750334028","0.212100014590826"
"Keine Sorgen","1996","66 und älter","(noch) kein Abschluss","","","",""
"Keine Sorgen","1996","66 und älter","Hauptschulabschluss","244","0.22539222617971","0.200778085825024","0.250006366534396"
"Keine Sorgen","1996","66 und älter","Realschulabschluss","31","0.173020598274214","0.118215773058876","0.227825423489553"
"Keine Sorgen","1996","66 und älter","(Fach-)Abitur","","","",""
"Keine Sorgen","1996","66 und älter","AkademikerInnen","34","0.217748686153669","0.152775649609976","0.282721722697362"
"Grosse Sorgen","1997","16-34 Jahre alt","(noch) kein Abschluss","115","0.252780099379665","0.211066687028833","0.294493511730496"
"Grosse Sorgen","1997","16-34 Jahre alt","Hauptschulabschluss","504","0.352691108566857","0.32716535319029","0.378216863943424"
"Grosse Sorgen","1997","16-34 Jahre alt","Realschulabschluss","459","0.316938304615763","0.293344926747114","0.340531682484412"
"Grosse Sorgen","1997","16-34 Jahre alt","(Fach-)Abitur","177","0.282321575302213","0.248084155272755","0.31655899533167"
"Grosse Sorgen","1997","16-34 Jahre alt","AkademikerInnen","74","0.187022426845822","0.149140068045561","0.224904785646082"
"Grosse Sorgen","1997","35-65 Jahre alt","(noch) kein Abschluss","139","0.396042656147258","0.345868997096151","0.446216315198364"
"Grosse Sorgen","1997","35-65 Jahre alt","Hauptschulabschluss","1126","0.346657464416419","0.330348418184526","0.362966510648312"
"Grosse Sorgen","1997","35-65 Jahre alt","Realschulabschluss","373","0.266253599389086","0.243042630551558","0.289464568226614"
"Grosse Sorgen","1997","35-65 Jahre alt","(Fach-)Abitur","90","0.324694949493545","0.272819283203998","0.376570615783092"
"Grosse Sorgen","1997","35-65 Jahre alt","AkademikerInnen","235","0.194601232011481","0.172117392147621","0.21708507187534"
"Grosse Sorgen","1997","66 und älter","(noch) kein Abschluss","","","",""
"Grosse Sorgen","1997","66 und älter","Hauptschulabschluss","350","0.315305118032299","0.288202254960054","0.342407981104544"
"Grosse Sorgen","1997","66 und älter","Realschulabschluss","59","0.336902663845245","0.267854409631712","0.405950918058779"
"Grosse Sorgen","1997","66 und älter","(Fach-)Abitur","","","",""
"Grosse Sorgen","1997","66 und älter","AkademikerInnen","44","0.276083510788588","0.207869970834585","0.34429705074259"
"Einige Sorgen","1997","16-34 Jahre alt","(noch) kein Abschluss","228","0.546482892863197","0.498700798012348","0.594264987714045"
"Einige Sorgen","1997","16-34 Jahre alt","Hauptschulabschluss","610","0.456047841207759","0.429439909602144","0.482655772813375"
"Einige Sorgen","1997","16-34 Jahre alt","Realschulabschluss","745","0.48875692721709","0.463409553187191","0.514104301246989"
"Einige Sorgen","1997","16-34 Jahre alt","(Fach-)Abitur","377","0.573156294612579","0.535534888348261","0.610777700876897"
"Einige Sorgen","1997","16-34 Jahre alt","AkademikerInnen","259","0.620161336273244","0.573009043560893","0.667313628985595"
"Einige Sorgen","1997","35-65 Jahre alt","(noch) kein Abschluss","165","0.453312587815235","0.40224209069316","0.504383084937309"
"Einige Sorgen","1997","35-65 Jahre alt","Hauptschulabschluss","1606","0.48407925315165","0.46695318964207","0.501205316661229"
"Einige Sorgen","1997","35-65 Jahre alt","Realschulabschluss","733","0.529923992528063","0.503714213047336","0.55613377200879"
"Einige Sorgen","1997","35-65 Jahre alt","(Fach-)Abitur","173","0.524958980467728","0.469636179106584","0.580281781828872"
"Einige Sorgen","1997","35-65 Jahre alt","AkademikerInnen","737","0.617626004004522","0.590026633823937","0.645225374185108"
"Einige Sorgen","1997","66 und älter","(noch) kein Abschluss","","","",""
"Einige Sorgen","1997","66 und älter","Hauptschulabschluss","544","0.471582374933976","0.442463905039819","0.500700844828133"
"Einige Sorgen","1997","66 und älter","Realschulabschluss","85","0.452679932459191","0.379964239760501","0.52539562515788"
"Einige Sorgen","1997","66 und älter","(Fach-)Abitur","","","",""
"Einige Sorgen","1997","66 und älter","AkademikerInnen","98","0.55847660084195","0.482708662176388","0.634244539507512"
"Keine Sorgen","1997","16-34 Jahre alt","(noch) kein Abschluss","74","0.200737007757139","0.162292116316546","0.239181899197732"
"Keine Sorgen","1997","16-34 Jahre alt","Hauptschulabschluss","232","0.191261050225384","0.170250229893501","0.212271870557266"
"Keine Sorgen","1997","16-34 Jahre alt","Realschulabschluss","290","0.194304768167147","0.174241581303243","0.214367955031051"
"Keine Sorgen","1997","16-34 Jahre alt","(Fach-)Abitur","110","0.144522130085208","0.117777560189163","0.171266699981253"
"Keine Sorgen","1997","16-34 Jahre alt","AkademikerInnen","74","0.192816236880934","0.154488877726195","0.231143596035674"
"Keine Sorgen","1997","35-65 Jahre alt","(noch) kein Abschluss","61","0.150644756037508","0.113948365063397","0.187341147011618"
"Keine Sorgen","1997","35-65 Jahre alt","Hauptschulabschluss","539","0.169263282431931","0.15641275652866","0.182113808335202"
"Keine Sorgen","1997","35-65 Jahre alt","Realschulabschluss","287","0.203822408082851","0.182667873635593","0.224976942530109"
"Keine Sorgen","1997","35-65 Jahre alt","(Fach-)Abitur","50","0.150346070038727","0.11075082839936","0.189941311678094"
"Keine Sorgen","1997","35-65 Jahre alt","AkademikerInnen","219","0.187772763983997","0.165593492137589","0.209952035830406"
"Keine Sorgen","1997","66 und älter","(noch) kein Abschluss","","","",""
"Keine Sorgen","1997","66 und älter","Hauptschulabschluss","235","0.213112507033725","0.189225490487363","0.236999523580088"
"Keine Sorgen","1997","66 und älter","Realschulabschluss","36","0.210417403695564","0.150871560303246","0.269963247087883"
"Keine Sorgen","1997","66 und älter","(Fach-)Abitur","","","",""
"Keine Sorgen","1997","66 und älter","AkademikerInnen","","","",""
"Grosse Sorgen","1998","16-34 Jahre alt","(noch) kein Abschluss","118","0.2765684672022","0.233739152218132","0.319397782186268"
"Grosse Sorgen","1998","16-34 Jahre alt","Hauptschulabschluss","446","0.344630292708187","0.318953542713993","0.37030704270238"
"Grosse Sorgen","1998","16-34 Jahre alt","Realschulabschluss","475","0.303345596805192","0.280591866681364","0.326099326929019"
"Grosse Sorgen","1998","16-34 Jahre alt","(Fach-)Abitur","201","0.305678646396821","0.272167244791907","0.339190048001736"
"Grosse Sorgen","1998","16-34 Jahre alt","AkademikerInnen","88","0.182791136964418","0.146470992799361","0.219111281129475"
"Grosse Sorgen","1998","35-65 Jahre alt","(noch) kein Abschluss","137","0.447247270831198","0.39462854488513","0.499865996777265"
