"plj0047","year","alter_gr","n","percent","lower_confidence","upper_confidence"
"Einige Sorgen","2004","16-34 Jahre alt","2953","0.521336507818169","0.508244691509762","0.534428324126576"
"Einige Sorgen","2004","35-65 Jahre alt","6850","0.546913557472572","0.538071656439982","0.555755458505162"
"Einige Sorgen","2004","66 und älter","1980","0.531058708897325","0.515086574268273","0.547030843526376"
"Keine Sorgen","2004","16-34 Jahre alt","1300","0.234580413361459","0.223475342332973","0.245685484389946"
"Keine Sorgen","2004","35-65 Jahre alt","2408","0.202698173206594","0.195557616569346","0.209838729843842"
"Keine Sorgen","2004","66 und älter","1011","0.269977597908659","0.255768568426964","0.284186627390353"
"Grosse Sorgen","2005","16-34 Jahre alt","1547","0.308105846067102","0.295683793945838","0.320527898188367"
"Grosse Sorgen","2005","35-65 Jahre alt","3655","0.330927517232206","0.322352386532312","0.339502647932099"
"Grosse Sorgen","2005","66 und älter","1002","0.255267337983402","0.241358609206048","0.269176066760756"
"Einige Sorgen","2005","16-34 Jahre alt","2704","0.495762817903784","0.482311093636617","0.509214542170951"
"Einige Sorgen","2005","35-65 Jahre alt","6088","0.508636406974313","0.49952589188005","0.517746922068576"
"Einige Sorgen","2005","66 und älter","1923","0.511724862042944","0.495779287302151","0.527670436783736"
"Keine Sorgen","2005","16-34 Jahre alt","1056","0.196131336029114","0.185448425519723","0.206814246538505"
"Keine Sorgen","2005","35-65 Jahre alt","1824","0.160436075793482","0.153747777670638","0.167124373916326"
"Keine Sorgen","2005","66 und älter","850","0.233007799973654","0.219522198650903","0.246493401296405"
"Grosse Sorgen","2006","16-34 Jahre alt","1337","0.28355632344856","0.271194690119782","0.295917956777337"
"Grosse Sorgen","2006","35-65 Jahre alt","3657","0.309843479594427","0.301681860705317","0.318005098483538"
"Grosse Sorgen","2006","66 und älter","1077","0.243986461227107","0.231334991502513","0.256637930951702"
"Einige Sorgen","2006","16-34 Jahre alt","2731","0.508623926734662","0.494912881677377","0.522334971791946"
"Einige Sorgen","2006","35-65 Jahre alt","6634","0.520566713767188","0.511749454281411","0.529383973252966"
"Einige Sorgen","2006","66 und älter","2368","0.525373812481113","0.510664126924013","0.540083498038214"
"Keine Sorgen","2006","16-34 Jahre alt","1039","0.207819749816779","0.196691661176891","0.218947838456666"
"Keine Sorgen","2006","35-65 Jahre alt","2041","0.169589806638384","0.162966459138907","0.176213154137861"
"Keine Sorgen","2006","66 und älter","982","0.230639726291779","0.218231055410566","0.243048397172992"
"Grosse Sorgen","2007","16-34 Jahre alt","1259","0.274450321997778","0.261671079922322","0.287229564073234"
"Grosse Sorgen","2007","35-65 Jahre alt","3183","0.288491417736365","0.280175060460249","0.296807775012482"
"Grosse Sorgen","2007","66 und älter","1107","0.251716082621415","0.238799665319458","0.264632499923372"
"Einige Sorgen","2007","16-34 Jahre alt","2407","0.504042221326644","0.489723789392548","0.518360653260741"
"Einige Sorgen","2007","35-65 Jahre alt","6286","0.542708690654646","0.533564264014249","0.551853117295044"
"Einige Sorgen","2007","66 und älter","2232","0.505874897500397","0.490995223944199","0.520754571056595"
"Keine Sorgen","2007","16-34 Jahre alt","1018","0.221507456675578","0.209615288241897","0.233399625109259"
"Keine Sorgen","2007","35-65 Jahre alt","1932","0.168799891608988","0.161924214151056","0.17567556906692"
"Keine Sorgen","2007","66 und älter","998","0.242409019878188","0.229655056506217","0.25516298325016"
"Grosse Sorgen","2008","16-34 Jahre alt","969","0.23762306684522","0.224979112191637","0.250267021498803"
"Grosse Sorgen","2008","35-65 Jahre alt","2588","0.254195148632083","0.245924280607679","0.262466016656487"
"Grosse Sorgen","2008","66 und älter","946","0.213739992175404","0.201485640029905","0.225994344320904"
"Einige Sorgen","2008","16-34 Jahre alt","2354","0.522826283146655","0.507988441884592","0.537664124408717"
"Einige Sorgen","2008","35-65 Jahre alt","6005","0.552260520739988","0.542814703161467","0.561706338318508"
"Einige Sorgen","2008","66 und älter","2327","0.553607522405791","0.538747351866758","0.568467692944825"
"Keine Sorgen","2008","16-34 Jahre alt","1030","0.239550650008125","0.226871574717688","0.252229725298562"
"Keine Sorgen","2008","35-65 Jahre alt","2053","0.193544330627929","0.186039596051703","0.201049065204156"
"Keine Sorgen","2008","66 und älter","1026","0.232652485418804","0.220022168089708","0.245282802747901"
"Grosse Sorgen","2009","16-34 Jahre alt","767","0.203795721592314","0.191268543380226","0.216322899804403"
"Grosse Sorgen","2009","35-65 Jahre alt","1982","0.215546531273155","0.207425594386673","0.223667468159638"
"Grosse Sorgen","2009","66 und älter","760","0.184812743300131","0.173026290916608","0.196599195683655"
"Einige Sorgen","2009","16-34 Jahre alt","2182","0.541489881724883","0.52599411370917","0.556985649740596"
"Einige Sorgen","2009","35-65 Jahre alt","5770","0.581438345224435","0.571695549951224","0.591181140497647"
"Einige Sorgen","2009","66 und älter","2357","0.564689646647272","0.549634226870906","0.579745066423638"
"Keine Sorgen","2009","16-34 Jahre alt","1023","0.254714396682803","0.241164637292074","0.268264156073531"
"Keine Sorgen","2009","35-65 Jahre alt","2097","0.203015123502409","0.195071086501654","0.210959160503165"
"Keine Sorgen","2009","66 und älter","1049","0.250497610052596","0.237340007532927","0.263655212572265"
"Grosse Sorgen","2010","16-34 Jahre alt","1387","0.186652345797775","0.177221506714923","0.196083184880626"
"Grosse Sorgen","2010","35-65 Jahre alt","3004","0.223049178100295","0.215978014365491","0.230120341835099"
"Grosse Sorgen","2010","66 und älter","756","0.192659697037595","0.180460561139506","0.204858832935685"
"Einige Sorgen","2010","16-34 Jahre alt","3555","0.545698687868689","0.533647108936609","0.557750266800768"
"Einige Sorgen","2010","35-65 Jahre alt","7588","0.562309857048048","0.553883011265802","0.570736702830293"
"Einige Sorgen","2010","66 und älter","2299","0.568662213848661","0.553342831542693","0.58398159615463"
"Keine Sorgen","2010","16-34 Jahre alt","1615","0.267648966333536","0.256932837311721","0.278365095355352"
"Keine Sorgen","2010","35-65 Jahre alt","2722","0.214640964851657","0.207666927920174","0.221615001783141"
"Keine Sorgen","2010","66 und älter","960","0.238678089113743","0.225492614807602","0.251863563419885"
"Grosse Sorgen","2011","16-34 Jahre alt","798","0.193509044928743","0.181644675633797","0.205373414223689"
"Grosse Sorgen","2011","35-65 Jahre alt","2198","0.200108825590022","0.192715502136696","0.207502149043349"
"Grosse Sorgen","2011","66 und älter","866","0.176247516924427","0.165728075135625","0.186766958713228"
"Einige Sorgen","2011","16-34 Jahre alt","2207","0.503014523268993","0.487998449885863","0.518030596652123"
"Einige Sorgen","2011","35-65 Jahre alt","6435","0.565938513560756","0.556779443434835","0.575097583686676"
"Einige Sorgen","2011","66 und älter","2710","0.529914620322843","0.516135415816705","0.543693824828981"
"Keine Sorgen","2011","16-34 Jahre alt","1254","0.303476431802264","0.289668626213665","0.317284237390862"
"Keine Sorgen","2011","35-65 Jahre alt","2616","0.233952660849222","0.226129487901917","0.241775833796528"
"Keine Sorgen","2011","66 und älter","1464","0.29383786275273","0.281261967394042","0.306413758111418"
"Grosse Sorgen","2012","16-34 Jahre alt","804","0.198832306752737","0.186650997966786","0.211013615538688"
"Grosse Sorgen","2012","35-65 Jahre alt","2318","0.212949989722591","0.205346316292864","0.220553663152318"
"Grosse Sorgen","2012","66 und älter","1074","0.219216526400776","0.20795447392386","0.230478578877691"
"Einige Sorgen","2012","16-34 Jahre alt","2218","0.516174492027033","0.50092232990727","0.531426654146796"
"Einige Sorgen","2012","35-65 Jahre alt","6456","0.573612302150098","0.564426966279152","0.582797638021043"
"Einige Sorgen","2012","66 und älter","2853","0.543403554785558","0.529844072902809","0.556963036668307"
"Keine Sorgen","2012","16-34 Jahre alt","1102","0.28499320122023","0.271215996930162","0.298770405510299"
"Keine Sorgen","2012","35-65 Jahre alt","2362","0.213437708127312","0.205827691328341","0.221047724926282"
"Keine Sorgen","2012","66 und älter","1257","0.237379918813666","0.225797701705523","0.24896213592181"
"Grosse Sorgen","2013","16-34 Jahre alt","921","0.160070291652849","0.150656487500648","0.16948409580505"
"Grosse Sorgen","2013","35-65 Jahre alt","2356","0.192813496930428","0.186014354898009","0.199612638962848"
"Grosse Sorgen","2013","66 und älter","961","0.192512312816284","0.181613207261976","0.203411418370592"
"Einige Sorgen","2013","16-34 Jahre alt","2696","0.499785451836924","0.486948607235071","0.512622296438778"
"Einige Sorgen","2013","35-65 Jahre alt","6848","0.554752702157031","0.546187279229353","0.563318125084709"
"Einige Sorgen","2013","66 und älter","2788","0.550356422730883","0.536604929318381","0.564107916143385"
"Keine Sorgen","2013","16-34 Jahre alt","2211","0.340144256510227","0.327981153323571","0.352307359696882"
"Keine Sorgen","2013","35-65 Jahre alt","3729","0.252433800912541","0.244946987083843","0.259920614741238"
"Keine Sorgen","2013","66 und älter","1278","0.257131264452833","0.245049589933795","0.269212938971872"
"Grosse Sorgen","2014","16-34 Jahre alt","1413","0.194968159395778","0.185367939164955","0.204568379626602"
"Grosse Sorgen","2014","35-65 Jahre alt","3434","0.220814065386819","0.21428970062438","0.227338430149258"
"Grosse Sorgen","2014","66 und älter","1060","0.209035218700558","0.197715726714302","0.220354710686813"
"Einige Sorgen","2014","16-34 Jahre alt","3338","0.524419796522071","0.51231815611071","0.536521436933432"
"Einige Sorgen","2014","35-65 Jahre alt","8775","0.563757143139289","0.555956785632825","0.571557500645754"
"Einige Sorgen","2014","66 und älter","2756","0.549392020965338","0.535541081085007","0.563242960845668"
"Keine Sorgen","2014","16-34 Jahre alt","1791","0.280612044082151","0.269724559423447","0.291499528740855"
"Keine Sorgen","2014","35-65 Jahre alt","3318","0.215428791473892","0.208962245486373","0.22189533746141"
"Keine Sorgen","2014","66 und älter","1141","0.241572760334105","0.229657059968436","0.253488460699773"
"Grosse Sorgen","2015","16-34 Jahre alt","1995","0.31619662670219","0.305025790854169","0.327367462550211"
"Grosse Sorgen","2015","35-65 Jahre alt","5025","0.344133733777325","0.336569910193861","0.351697557360789"
"Grosse Sorgen","2015","66 und älter","1667","0.339007178679546","0.325773239062315","0.352241118296776"
"Einige Sorgen","2015","16-34 Jahre alt","3087","0.479836261721906","0.467834140647213","0.491838382796599"
"Einige Sorgen","2015","35-65 Jahre alt","7757","0.510487637289828","0.502528892704256","0.518446381875399"
"Einige Sorgen","2015","66 und älter","2506","0.509673735185997","0.49569798801241","0.523649482359584"
"Keine Sorgen","2015","16-34 Jahre alt","1574","0.203967111575903","0.194286851781601","0.213647371370206"
"Keine Sorgen","2015","35-65 Jahre alt","2373","0.145378628932847","0.139766763100711","0.150990494764983"
"Keine Sorgen","2015","66 und älter","742","0.151319086134458","0.141300523849745","0.161337648419171"
"Grosse Sorgen","2016","16-34 Jahre alt","2670","0.432315844147793","0.421534699990135","0.443096988305452"
"Grosse Sorgen","2016","35-65 Jahre alt","6782","0.482512126083182","0.474699286244232","0.490324965922133"
"Grosse Sorgen","2016","66 und älter","2257","0.462045617284632","0.447901771044104","0.476189463525161"
"Einige Sorgen","2016","16-34 Jahre alt","2916","0.405955903562587","0.395268808729233","0.416642998395941"
"Einige Sorgen","2016","35-65 Jahre alt","6149","0.41630852827177","0.40860119667245","0.42401585987109"
"Einige Sorgen","2016","66 und älter","1975","0.425798034298595","0.411770332101947","0.439825736495243"
"Keine Sorgen","2016","16-34 Jahre alt","2525","0.16172825228962","0.153715231828662","0.169741272750578"
"Keine Sorgen","2016","35-65 Jahre alt","2783","0.101179345645047","0.0964642862089192","0.105894405081176"
"Keine Sorgen","2016","66 und älter","541","0.112156348416773","0.103204091213387","0.121108605620159"
"Grosse Sorgen","2017","16-34 Jahre alt","2689","0.392029179854496","0.382145184881228","0.401913174827765"
"Grosse Sorgen","2017","35-65 Jahre alt","6445","0.422359298293608","0.415059725567189","0.429658871020026"
"Grosse Sorgen","2017","66 und älter","2113","0.415795447690587","0.40217921516413","0.429411680217044"
"Einige Sorgen","2017","16-34 Jahre alt","3451","0.451129051578592","0.441054691463776","0.461203411693409"
"Einige Sorgen","2017","35-65 Jahre alt","7734","0.464527659373127","0.45715707661252","0.471898242133733"
"Einige Sorgen","2017","66 und älter","2352","0.466009426555321","0.452227854123585","0.479790998987056"
"Keine Sorgen","2017","16-34 Jahre alt","3232","0.156841768566911","0.149479403327082","0.164204133806741"
"Keine Sorgen","2017","35-65 Jahre alt","3410","0.113113042333266","0.10843226488739","0.117793819779141"
"Keine Sorgen","2017","66 und älter","568","0.118195125754092","0.109276033482556","0.127114218025629"
"Grosse Sorgen","2018","16-34 Jahre alt","2186","0.319354341674073","0.309323620452957","0.329385062895189"
"Grosse Sorgen","2018","35-65 Jahre alt","5164","0.348140757645027","0.340882325747597","0.355399189542456"
"Grosse Sorgen","2018","66 und älter","1700","0.323904961211994","0.311016118700028","0.33679380372396"
"Einige Sorgen","2018","16-34 Jahre alt","3633","0.502389985052286","0.491632760074546","0.513147210030027"
"Einige Sorgen","2018","35-65 Jahre alt","8126","0.521743441427939","0.514132341498373","0.529354541357506"
"Einige Sorgen","2018","66 und älter","2650","0.531435057527577","0.517691117901571","0.545178997153582"
"Keine Sorgen","2018","16-34 Jahre alt","2480","0.178255673273641","0.170021400561425","0.186489945985858"
"Keine Sorgen","2018","35-65 Jahre alt","3257","0.130115800927034","0.124989734870693","0.135241866983375"
"Keine Sorgen","2018","66 und älter","714","0.14465998126043","0.134971742332756","0.154348220188103"
"Grosse Sorgen","2019","16-34 Jahre alt","2253","0.356028911839028","0.345044862393715","0.36701296128434"
"Grosse Sorgen","2019","35-65 Jahre alt","5970","0.378305463470806","0.37101557826633","0.385595348675282"
"Grosse Sorgen","2019","66 und älter","1999","0.364144428033659","0.351126979185716","0.377161876881602"
"Einige Sorgen","2019","16-34 Jahre alt","2960","0.474963546680141","0.463508113162818","0.486418980197463"
"Einige Sorgen","2019","35-65 Jahre alt","7986","0.506416056265154","0.498900777361029","0.51393133516928"
"Einige Sorgen","2019","66 und älter","2553","0.493196546272709","0.479671473800612","0.506721618744806"
"Keine Sorgen","2019","16-34 Jahre alt","2087","0.169007541480832","0.160410713350949","0.177604369610715"
"Keine Sorgen","2019","35-65 Jahre alt","3045","0.11527848026404","0.11047796036674","0.120079000161339"
"Keine Sorgen","2019","66 und älter","697","0.142659025693633","0.133198043577858","0.152120007809407"
