,Unnamed: 0,year,pgisced97,quintil_oecd,plj0587,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
49,49,2013,Upper Secondary Level,5th Quintile,Sometimes,0.29983,529,24202,0.27625,0.32436
50,50,2013,Upper Secondary Level,5th Quintile,Seldom,0.44573,715,24202,0.41314,0.4785
51,51,2013,Upper Secondary Level,5th Quintile,Never,0.19388,388,24202,0.17567,0.21314
52,52,2013,Post-secondary Non-tertiary Level,1st Quintile,Often,0.18436,39,24202,0.10281,0.27914
53,53,2013,Post-secondary Non-tertiary Level,1st Quintile,Sometimes,0.37841,109,24202,0.27404,0.47941
54,54,2013,Post-secondary Non-tertiary Level,1st Quintile,Seldom,0.33989,104,24202,0.23812,0.44458
55,55,2013,Post-secondary Non-tertiary Level,1st Quintile,Never,0.09733,35,24202,0.063,0.13839
56,56,2013,Post-secondary Non-tertiary Level,2nd Quintile,Sometimes,0.42801,138,24202,0.32314,0.55816
57,57,2013,Post-secondary Non-tertiary Level,2nd Quintile,Seldom,0.39406,126,24202,0.32479,0.49483
58,58,2013,Post-secondary Non-tertiary Level,2nd Quintile,Never,0.17793,60,24202,0.13007,0.22265
59,59,2013,Post-secondary Non-tertiary Level,3rd Quintile,Sometimes,0.3817,109,24202,0.29648,0.47622
60,60,2013,Post-secondary Non-tertiary Level,3rd Quintile,Seldom,0.47503,164,24202,0.39418,0.58505
61,61,2013,Post-secondary Non-tertiary Level,3rd Quintile,Never,0.14328,56,24202,0.1044,0.18702
62,62,2013,Post-secondary Non-tertiary Level,4th Quintile,Sometimes,0.38209,121,24202,0.31012,0.46956
63,63,2013,Post-secondary Non-tertiary Level,4th Quintile,Seldom,0.47975,162,24202,0.39883,0.56222
64,64,2013,Post-secondary Non-tertiary Level,4th Quintile,Never,0.13816,55,24202,0.09842,0.18303
65,65,2013,Post-secondary Non-tertiary Level,5th Quintile,Sometimes,0.40239,123,24202,0.33394,0.47062
66,66,2013,Post-secondary Non-tertiary Level,5th Quintile,Seldom,0.43401,166,24202,0.36663,0.50593
67,67,2013,Post-secondary Non-tertiary Level,5th Quintile,Never,0.1636,68,24202,0.12056,0.22363
68,68,2013,First Stage of Tertiary Education,1st Quintile,Sometimes,0.35208,52,24202,0.262,0.45443
69,69,2013,First Stage of Tertiary Education,1st Quintile,Seldom,0.3915,53,24202,0.2824,0.49011
70,70,2013,First Stage of Tertiary Education,1st Quintile,Never,0.25642,31,24202,0.16158,0.36875
71,71,2013,First Stage of Tertiary Education,2nd Quintile,Sometimes,0.44882,106,24202,0.34706,0.54682
72,72,2013,First Stage of Tertiary Education,2nd Quintile,Seldom,0.38145,109,24202,0.30251,0.469
73,73,2013,First Stage of Tertiary Education,2nd Quintile,Never,0.16974,45,24202,0.11857,0.22585
74,74,2013,First Stage of Tertiary Education,3rd Quintile,Sometimes,0.41563,142,24202,0.35282,0.50768
75,75,2013,First Stage of Tertiary Education,3rd Quintile,Seldom,0.42605,146,24202,0.36452,0.50902
76,76,2013,First Stage of Tertiary Education,3rd Quintile,Never,0.15832,69,24202,0.12842,0.19116
77,77,2013,First Stage of Tertiary Education,4th Quintile,Sometimes,0.48276,163,24202,0.40751,0.55322
78,78,2013,First Stage of Tertiary Education,4th Quintile,Seldom,0.37795,166,24202,0.31276,0.45096
79,79,2013,First Stage of Tertiary Education,4th Quintile,Never,0.13929,67,24202,0.11266,0.1812
80,80,2013,First Stage of Tertiary Education,5th Quintile,Sometimes,0.37038,133,24202,0.29547,0.44475
81,81,2013,First Stage of Tertiary Education,5th Quintile,Seldom,0.44948,177,24202,0.37147,0.53426
82,82,2013,First Stage of Tertiary Education,5th Quintile,Never,0.18015,81,24202,0.13884,0.2266
83,83,2013,Second Stage of Tertiary Education,1st Quintile,Often,0.13874,54,24202,0.09902,0.1831
84,84,2013,Second Stage of Tertiary Education,1st Quintile,Sometimes,0.40712,141,24202,0.34261,0.49604
85,85,2013,Second Stage of Tertiary Education,1st Quintile,Seldom,0.34521,136,24202,0.27731,0.43697
86,86,2013,Second Stage of Tertiary Education,1st Quintile,Never,0.10893,49,24202,0.07746,0.14401
87,87,2013,Second Stage of Tertiary Education,2nd Quintile,Often,0.16157,65,24202,0.11713,0.20216
88,88,2013,Second Stage of Tertiary Education,2nd Quintile,Sometimes,0.36873,224,24202,0.30472,0.4317
89,89,2013,Second Stage of Tertiary Education,2nd Quintile,Seldom,0.36078,227,24202,0.30951,0.41481
90,90,2013,Second Stage of Tertiary Education,2nd Quintile,Never,0.10892,77,24202,0.07725,0.14598
91,91,2013,Second Stage of Tertiary Education,3rd Quintile,Often,0.0883,78,24202,0.06216,0.11792
92,92,2013,Second Stage of Tertiary Education,3rd Quintile,Sometimes,0.38211,300,24202,0.33233,0.44361
93,93,2013,Second Stage of Tertiary Education,3rd Quintile,Seldom,0.38559,329,24202,0.33619,0.42955
94,94,2013,Second Stage of Tertiary Education,3rd Quintile,Never,0.144,139,24202,0.12016,0.17809
95,95,2013,Second Stage of Tertiary Education,4th Quintile,Often,0.06161,71,24202,0.04538,0.07782
96,96,2013,Second Stage of Tertiary Education,4th Quintile,Sometimes,0.36921,445,24202,0.3352,0.41353
97,97,2013,Second Stage of Tertiary Education,4th Quintile,Seldom,0.43227,593,24202,0.39159,0.46704
98,98,2013,Second Stage of Tertiary Education,4th Quintile,Never,0.13691,211,24202,0.11829,0.16026
99,99,2013,Second Stage of Tertiary Education,5th Quintile,Often,0.06068,130,24202,0.05113,0.07266
100,100,2013,Second Stage of Tertiary Education,5th Quintile,Sometimes,0.31984,820,24202,0.29696,0.34324
101,101,2013,Second Stage of Tertiary Education,5th Quintile,Seldom,0.43993,1136,24202,0.41074,0.4671
102,102,2013,Second Stage of Tertiary Education,5th Quintile,Never,0.17954,524,24202,0.16453,0.19523
103,103,2021,Primary Level,1st Quintile,Very often,0.11491,143,17558,0.079,0.17645
104,104,2021,Primary Level,1st Quintile,Often,0.19436,124,17558,0.10547,0.30285
105,105,2021,Primary Level,1st Quintile,Sometimes,0.39369,240,17558,0.27018,0.53432
106,106,2021,Primary Level,1st Quintile,Seldom,0.19403,84,17558,0.12305,0.26394
107,107,2021,Primary Level,1st Quintile,Never,0.10301,90,17558,0.06491,0.15249
108,108,2021,Primary Level,2nd Quintile,Sometimes,1.0,46,17558,0.4808,1.62916
109,109,2021,Lower Secondary Level,1st Quintile,Very often,0.09659,110,17558,0.06419,0.13683
110,110,2021,Lower Secondary Level,1st Quintile,Often,0.18915,155,17558,0.12693,0.25223
111,111,2021,Lower Secondary Level,1st Quintile,Sometimes,0.34273,295,17558,0.27516,0.41525
112,112,2021,Lower Secondary Level,1st Quintile,Seldom,0.2385,164,17558,0.1903,0.30336
113,113,2021,Lower Secondary Level,1st Quintile,Never,0.13303,105,17558,0.09057,0.1808
114,114,2021,Lower Secondary Level,2nd Quintile,Often,0.21191,77,17558,0.1658,0.26754
115,115,2021,Lower Secondary Level,2nd Quintile,Sometimes,0.33566,132,17558,0.26224,0.41532
116,116,2021,Lower Secondary Level,2nd Quintile,Seldom,0.351,121,17558,0.26873,0.44132
117,117,2021,Lower Secondary Level,2nd Quintile,Never,0.10144,41,17558,0.06897,0.13838
118,118,2021,Lower Secondary Level,3rd Quintile,Often,0.14338,35,17558,0.09572,0.19874
119,119,2021,Lower Secondary Level,3rd Quintile,Sometimes,0.3512,85,17558,0.27531,0.43747
120,120,2021,Lower Secondary Level,3rd Quintile,Seldom,0.32418,60,17558,0.24913,0.41901
121,121,2021,Lower Secondary Level,3rd Quintile,Never,0.18124,35,17558,0.11145,0.26661
122,122,2021,Lower Secondary Level,4th Quintile,Often,0.22649,34,17558,0.14349,0.30699
123,123,2021,Lower Secondary Level,4th Quintile,Sometimes,0.50622,54,17558,0.32602,0.70144
124,124,2021,Lower Secondary Level,4th Quintile,Seldom,0.26729,37,17558,0.19264,0.35555
125,125,2021,Lower Secondary Level,5th Quintile,Sometimes,0.5005,34,17558,0.36876,0.61125
126,126,2021,Lower Secondary Level,5th Quintile,Seldom,0.4995,35,17558,0.25249,0.80213
127,127,2021,Upper Secondary Level,1st Quintile,Very often,0.0668,148,17558,0.05148,0.08402
128,128,2021,Upper Secondary Level,1st Quintile,Often,0.16343,320,17558,0.13722,0.19225
129,129,2021,Upper Secondary Level,1st Quintile,Sometimes,0.35506,622,17558,0.30536,0.39967
130,130,2021,Upper Secondary Level,1st Quintile,Seldom,0.28498,424,17558,0.25275,0.31816
131,131,2021,Upper Secondary Level,1st Quintile,Never,0.12973,231,17558,0.10588,0.15308
132,132,2021,Upper Secondary Level,2nd Quintile,Very often,0.05876,101,17558,0.04315,0.07442
133,133,2021,Upper Secondary Level,2nd Quintile,Often,0.17855,302,17558,0.15323,0.20532
134,134,2021,Upper Secondary Level,2nd Quintile,Sometimes,0.35395,612,17558,0.32551,0.38976
135,135,2021,Upper Secondary Level,2nd Quintile,Seldom,0.31258,523,17558,0.28101,0.3507
136,136,2021,Upper Secondary Level,2nd Quintile,Never,0.09617,194,17558,0.08234,0.11413
137,137,2021,Upper Secondary Level,3rd Quintile,Very often,0.06536,83,17558,0.05124,0.08207
138,138,2021,Upper Secondary Level,3rd Quintile,Often,0.13699,203,17558,0.1134,0.1616
139,139,2021,Upper Secondary Level,3rd Quintile,Sometimes,0.3552,517,17558,0.3251,0.39052
140,140,2021,Upper Secondary Level,3rd Quintile,Seldom,0.34437,437,17558,0.3044,0.38008
141,141,2021,Upper Secondary Level,3rd Quintile,Never,0.09809,141,17558,0.08084,0.12021
142,142,2021,Upper Secondary Level,4th Quintile,Very often,0.0352,50,17558,0.024,0.0457
143,143,2021,Upper Secondary Level,4th Quintile,Often,0.16901,220,17558,0.14523,0.19789
144,144,2021,Upper Secondary Level,4th Quintile,Sometimes,0.34623,456,17558,0.31058,0.38607
145,145,2021,Upper Secondary Level,4th Quintile,Seldom,0.35295,427,17558,0.30859,0.39511
146,146,2021,Upper Secondary Level,4th Quintile,Never,0.09662,147,17558,0.08011,0.11534
147,147,2021,Upper Secondary Level,5th Quintile,Very often,0.03628,48,17558,0.02701,0.04715
148,148,2021,Upper Secondary Level,5th Quintile,Often,0.1156,148,17558,0.09448,0.13803
149,149,2021,Upper Secondary Level,5th Quintile,Sometimes,0.36268,410,17558,0.31529,0.40476
150,150,2021,Upper Secondary Level,5th Quintile,Seldom,0.36223,376,17558,0.31713,0.41866
151,151,2021,Upper Secondary Level,5th Quintile,Never,0.12321,153,17558,0.09618,0.14572
152,152,2021,Post-secondary Non-tertiary Level,1st Quintile,Often,0.20996,70,17558,0.15238,0.26963
153,153,2021,Post-secondary Non-tertiary Level,1st Quintile,Sometimes,0.32081,92,17558,0.2389,0.41614
154,154,2021,Post-secondary Non-tertiary Level,1st Quintile,Seldom,0.40317,87,17558,0.31668,0.51978
155,155,2021,Post-secondary Non-tertiary Level,1st Quintile,Never,0.06606,31,17558,0.04332,0.0924
156,156,2021,Post-secondary Non-tertiary Level,2nd Quintile,Often,0.17149,46,17558,0.10223,0.25765
157,157,2021,Post-secondary Non-tertiary Level,2nd Quintile,Sometimes,0.3955,130,17558,0.30688,0.47592
158,158,2021,Post-secondary Non-tertiary Level,2nd Quintile,Seldom,0.35138,122,17558,0.26482,0.44544
159,159,2021,Post-secondary Non-tertiary Level,2nd Quintile,Never,0.08163,42,17558,0.04816,0.11274
160,160,2021,Post-secondary Non-tertiary Level,3rd Quintile,Often,0.17361,48,17558,0.11011,0.24122
161,161,2021,Post-secondary Non-tertiary Level,3rd Quintile,Sometimes,0.38276,119,17558,0.30154,0.48528
162,162,2021,Post-secondary Non-tertiary Level,3rd Quintile,Seldom,0.37908,112,17558,0.29702,0.45874
163,163,2021,Post-secondary Non-tertiary Level,3rd Quintile,Never,0.06455,31,17558,0.0457,0.08529
164,164,2021,Post-secondary Non-tertiary Level,4th Quintile,Often,0.11725,31,17558,0.0721,0.17166
165,165,2021,Post-secondary Non-tertiary Level,4th Quintile,Sometimes,0.42309,104,17558,0.32994,0.52608
166,166,2021,Post-secondary Non-tertiary Level,4th Quintile,Seldom,0.35546,111,17558,0.27995,0.47866
167,167,2021,Post-secondary Non-tertiary Level,4th Quintile,Never,0.1042,31,17558,0.06685,0.15002
168,168,2021,Post-secondary Non-tertiary Level,5th Quintile,Often,0.12635,45,17558,0.09042,0.16414
169,169,2021,Post-secondary Non-tertiary Level,5th Quintile,Sometimes,0.48498,128,17558,0.39901,0.60722
170,170,2021,Post-secondary Non-tertiary Level,5th Quintile,Seldom,0.26908,87,17558,0.18239,0.35933
171,171,2021,Post-secondary Non-tertiary Level,5th Quintile,Never,0.11958,42,17558,0.06631,0.17744
172,172,2021,First Stage of Tertiary Education,1st Quintile,Seldom,1.0,32,17558,0.59445,1.49823
173,173,2021,First Stage of Tertiary Education,2nd Quintile,Often,0.26534,34,17558,0.18747,0.3528
174,174,2021,First Stage of Tertiary Education,2nd Quintile,Sometimes,0.38185,59,17558,0.29237,0.46183
175,175,2021,First Stage of Tertiary Education,2nd Quintile,Seldom,0.35281,65,17558,0.26829,0.49376
176,176,2021,First Stage of Tertiary Education,3rd Quintile,Sometimes,0.4067,62,17558,0.2955,0.50184
177,177,2021,First Stage of Tertiary Education,3rd Quintile,Seldom,0.5933,68,17558,0.43949,0.77097
178,178,2021,First Stage of Tertiary Education,4th Quintile,Sometimes,0.45345,70,17558,0.34337,0.61343
179,179,2021,First Stage of Tertiary Education,4th Quintile,Seldom,0.54655,93,17558,0.41891,0.65929
180,180,2021,First Stage of Tertiary Education,5th Quintile,Often,0.13987,34,17558,0.08716,0.20191
181,181,2021,First Stage of Tertiary Education,5th Quintile,Sometimes,0.38464,118,17558,0.29733,0.48917
182,182,2021,First Stage of Tertiary Education,5th Quintile,Seldom,0.32733,113,17558,0.22853,0.4283
183,183,2021,First Stage of Tertiary Education,5th Quintile,Never,0.14817,40,17558,0.08752,0.20122
184,184,2021,Second Stage of Tertiary Education,1st Quintile,Very often,0.0464,92,17558,0.03419,0.06541
185,185,2021,Second Stage of Tertiary Education,1st Quintile,Often,0.17249,141,17558,0.12293,0.23405
186,186,2021,Second Stage of Tertiary Education,1st Quintile,Sometimes,0.34215,248,17558,0.26944,0.41155
187,187,2021,Second Stage of Tertiary Education,1st Quintile,Seldom,0.35489,177,17558,0.29813,0.42399
188,188,2021,Second Stage of Tertiary Education,1st Quintile,Never,0.08407,77,17558,0.0568,0.11554
189,189,2021,Second Stage of Tertiary Education,2nd Quintile,Very often,0.04707,44,17558,0.03158,0.06627
190,190,2021,Second Stage of Tertiary Education,2nd Quintile,Often,0.16887,111,17558,0.12552,0.22064
191,191,2021,Second Stage of Tertiary Education,2nd Quintile,Sometimes,0.35779,245,17558,0.2902,0.4267
192,192,2021,Second Stage of Tertiary Education,2nd Quintile,Seldom,0.3396,202,17558,0.2758,0.40817
193,193,2021,Second Stage of Tertiary Education,2nd Quintile,Never,0.08667,67,17558,0.06085,0.1138
194,194,2021,Second Stage of Tertiary Education,3rd Quintile,Very often,0.02529,32,17558,0.01767,0.03407
195,195,2021,Second Stage of Tertiary Education,3rd Quintile,Often,0.14738,124,17558,0.11855,0.17488
196,196,2021,Second Stage of Tertiary Education,3rd Quintile,Sometimes,0.43527,311,17558,0.3837,0.49931
197,197,2021,Second Stage of Tertiary Education,3rd Quintile,Seldom,0.31384,244,17558,0.2692,0.35612
198,198,2021,Second Stage of Tertiary Education,3rd Quintile,Never,0.07822,78,17558,0.06015,0.101
199,199,2021,Second Stage of Tertiary Education,4th Quintile,Very often,0.03668,49,17558,0.02519,0.05112
200,200,2021,Second Stage of Tertiary Education,4th Quintile,Often,0.15333,186,17558,0.12758,0.18458
201,201,2021,Second Stage of Tertiary Education,4th Quintile,Sometimes,0.36949,415,17558,0.32254,0.41951
202,202,2021,Second Stage of Tertiary Education,4th Quintile,Seldom,0.34103,393,17558,0.30516,0.39062
203,203,2021,Second Stage of Tertiary Education,4th Quintile,Never,0.09947,120,17558,0.0787,0.12871
204,204,2021,Second Stage of Tertiary Education,5th Quintile,Very often,0.03921,77,17558,0.02935,0.05133
205,205,2021,Second Stage of Tertiary Education,5th Quintile,Often,0.13962,303,17558,0.11893,0.16181
206,206,2021,Second Stage of Tertiary Education,5th Quintile,Sometimes,0.35845,819,17558,0.32728,0.39309
207,207,2021,Second Stage of Tertiary Education,5th Quintile,Seldom,0.34855,796,17558,0.3156,0.38758
208,208,2021,Second Stage of Tertiary Education,5th Quintile,Never,0.11416,281,17558,0.08983,0.13744
