"year","regtyp","sampreg","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2016","Laendlicher Raum","Ostdeutschland","3.82","3.5","5569","3.78","3.86"
"2016","Laendlicher Raum","Westdeutschland","4.7","3.5","9772","4.66","4.74"
"2016","Staedtischer Raum","Ostdeutschland","3.32","2.5","3074","3.27","3.37"
"2016","Staedtischer Raum","Westdeutschland","4.11","3.5","26625","4.09","4.13"
"2017","Laendlicher Raum","Ostdeutschland","3.86","3.5","5949","3.82","3.9"
"2017","Laendlicher Raum","Westdeutschland","4.67","3.5","11202","4.64","4.7"
"2017","Staedtischer Raum","Ostdeutschland","3.31","2.5","3414","3.27","3.35"
"2017","Staedtischer Raum","Westdeutschland","4.11","3.5","29525","4.09","4.13"
"2018","Laendlicher Raum","Ostdeutschland","3.91","3.5","5745","3.87","3.95"
"2018","Laendlicher Raum","Westdeutschland","4.7","3.5","10130","4.66","4.74"
"2018","Staedtischer Raum","Ostdeutschland","3.38","2.5","3369","3.33","3.43"
"2018","Staedtischer Raum","Westdeutschland","4.17","3.5","28576","4.15","4.19"
"2019","Laendlicher Raum","Ostdeutschland","3.95","3.5","5937","3.9","4"
"2019","Laendlicher Raum","Westdeutschland","4.71","3.5","9948","4.67","4.75"
"2019","Staedtischer Raum","Ostdeutschland","3.41","2.5","3355","3.36","3.46"
"2019","Staedtischer Raum","Westdeutschland","4.16","3.5","28375","4.14","4.18"
"2020","Laendlicher Raum","Ostdeutschland","4.05","3.5","5575","4","4.1"
"2020","Laendlicher Raum","Westdeutschland","4.78","4.5","10011","4.74","4.82"
"2020","Staedtischer Raum","Ostdeutschland","3.43","2.5","3513","3.38","3.48"
"2020","Staedtischer Raum","Westdeutschland","4.23","3.5","30539","4.21","4.25"
