"year","quintil","regtyp","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2013","2","Staedtischer Raum","3.63","2.5","6123","3.59","3.67"
"2013","3","Laendlicher Raum","4.26","3.5","3557","4.2","4.32"
"2013","3","Staedtischer Raum","4.01","3.5","5782","3.97","4.05"
"2013","4","Laendlicher Raum","4.53","3.5","3661","4.47","4.59"
"2013","4","Staedtischer Raum","4.16","3.5","6893","4.12","4.2"
"2013","5 Einkommensstärkstes Quintil","Laendlicher Raum","5.02","4.5","2315","4.94","5.1"
"2013","5 Einkommensstärkstes Quintil","Staedtischer Raum","4.54","3.5","7045","4.5","4.58"
"2014","1 Einkommensschwächstes Quintil","Laendlicher Raum","3.72","2.5","2407","3.65","3.79"
"2014","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.32","2.5","4120","3.27","3.37"
"2014","2","Laendlicher Raum","4.09","3.5","3011","4.03","4.15"
"2014","2","Staedtischer Raum","3.68","2.5","4822","3.64","3.72"
"2014","3","Laendlicher Raum","4.2","3.5","3145","4.14","4.26"
"2014","3","Staedtischer Raum","3.99","3.5","5089","3.94","4.04"
"2014","4","Laendlicher Raum","4.54","3.5","3463","4.48","4.6"
"2014","4","Staedtischer Raum","4.13","3.5","6163","4.09","4.17"
"2014","5 Einkommensstärkstes Quintil","Laendlicher Raum","4.98","4.5","2317","4.91","5.05"
"2014","5 Einkommensstärkstes Quintil","Staedtischer Raum","4.54","3.5","6911","4.5","4.58"
"2015","1 Einkommensschwächstes Quintil","Laendlicher Raum","3.61","2.5","2365","3.54","3.68"
"2015","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.28","2.5","4194","3.24","3.32"
"2015","2","Laendlicher Raum","3.91","3.5","2714","3.84","3.98"
"2015","2","Staedtischer Raum","3.61","2.5","4491","3.56","3.66"
"2015","3","Laendlicher Raum","4.35","3.5","3073","4.29","4.41"
"2015","3","Staedtischer Raum","3.9","3.5","4902","3.85","3.95"
"2015","4","Laendlicher Raum","4.46","3.5","3425","4.4","4.52"
"2015","4","Staedtischer Raum","4.12","3.5","6111","4.08","4.16"
"2015","5 Einkommensstärkstes Quintil","Laendlicher Raum","4.98","4.5","2532","4.91","5.05"
"2015","5 Einkommensstärkstes Quintil","Staedtischer Raum","4.52","3.5","7200","4.48","4.56"
"2016","1 Einkommensschwächstes Quintil","Laendlicher Raum","3.53","2.5","4340","3.49","3.57"
"2016","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.22","2.5","8573","3.19","3.25"
"2016","2","Laendlicher Raum","4.05","3.5","2410","3.98","4.12"
"2016","2","Staedtischer Raum","3.58","2.5","4041","3.53","3.63"
"2016","3","Laendlicher Raum","4.33","3.5","2650","4.26","4.4"
"2016","3","Staedtischer Raum","3.9","3.5","4216","3.85","3.95"
"2016","4","Laendlicher Raum","4.51","3.5","3359","4.45","4.57"
"2016","4","Staedtischer Raum","4.11","3.5","5914","4.07","4.15"
"2016","5 Einkommensstärkstes Quintil","Laendlicher Raum","5.06","4.5","2582","4.99","5.13"
"2016","5 Einkommensstärkstes Quintil","Staedtischer Raum","4.55","3.5","6955","4.51","4.59"
"2017","1 Einkommensschwächstes Quintil","Laendlicher Raum","3.59","2.5","4817","3.55","3.63"
"2017","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.28","2.5","9355","3.25","3.31"
"2017","2","Laendlicher Raum","3.94","3.5","2359","3.87","4.01"
"2017","2","Staedtischer Raum","3.62","2.5","4187","3.57","3.67"
"2017","3","Laendlicher Raum","4.2","3.5","2895","4.14","4.26"
"2017","3","Staedtischer Raum","3.84","3.5","4459","3.79","3.89"
"2017","4","Laendlicher Raum","4.53","3.5","3774","4.47","4.59"
"2017","4","Staedtischer Raum","4.12","3.5","6404","4.08","4.16"
"2017","5 Einkommensstärkstes Quintil","Laendlicher Raum","5","4.5","3306","4.94","5.06"
"2017","5 Einkommensstärkstes Quintil","Staedtischer Raum","4.48","3.5","8534","4.44","4.52"
"2018","1 Einkommensschwächstes Quintil","Laendlicher Raum","3.41","2.5","3855","3.36","3.46"
"2018","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.35","2.5","8265","3.32","3.38"
"2018","2","Laendlicher Raum","3.88","3.5","2135","3.81","3.95"
"2018","2","Staedtischer Raum","3.48","2.5","4155","3.43","3.53"
"2018","3","Laendlicher Raum","4.25","3.5","2723","4.19","4.31"
"2018","3","Staedtischer Raum","3.9","2.5","4326","3.85","3.95"
"2018","4","Laendlicher Raum","4.56","3.5","3726","4.5","4.62"
"2018","4","Staedtischer Raum","4.1","3.5","6586","4.06","4.14"
"2018","5 Einkommensstärkstes Quintil","Laendlicher Raum","5.01","4.5","3436","4.94","5.08"
"2018","5 Einkommensstärkstes Quintil","Staedtischer Raum","4.53","3.5","8613","4.49","4.57"
"2019","1 Einkommensschwächstes Quintil","Laendlicher Raum","3.59","2.5","3056","3.54","3.64"
"2019","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.34","2.5","6835","3.31","3.37"
"2019","2","Laendlicher Raum","3.99","3.5","1985","3.91","4.07"
"2019","2","Staedtischer Raum","3.53","2.5","3841","3.48","3.58"
"2019","3","Laendlicher Raum","4.26","3.5","2468","4.19","4.33"
"2019","3","Staedtischer Raum","3.87","3.5","3686","3.82","3.92"
"2019","4","Laendlicher Raum","4.45","3.5","3811","4.39","4.51"
"2019","4","Staedtischer Raum","4","3.5","6172","3.96","4.04"
"2019","5 Einkommensstärkstes Quintil","Laendlicher Raum","4.96","4.5","4565","4.9","5.02"
"2019","5 Einkommensstärkstes Quintil","Staedtischer Raum","4.56","3.5","11196","4.52","4.6"
"2020","1 Einkommensschwächstes Quintil","Laendlicher Raum","3.55","2.5","2742","3.5","3.6"
"2020","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.31","2.5","6915","3.28","3.34"
"2020","2","Laendlicher Raum","4.23","3.5","2101","4.16","4.3"
"2020","2","Staedtischer Raum","3.48","2.5","5197","3.44","3.52"
"2020","3","Laendlicher Raum","4.27","3.5","2383","4.19","4.35"
"2020","3","Staedtischer Raum","3.76","2.5","4069","3.71","3.81"
"2020","4","Laendlicher Raum","4.55","3.5","3802","4.49","4.61"
"2020","4","Staedtischer Raum","4.23","3.5","6707","4.19","4.27"
"2020","5 Einkommensstärkstes Quintil","Laendlicher Raum","4.99","4.5","4558","4.93","5.05"
"2020","5 Einkommensstärkstes Quintil","Staedtischer Raum","4.53","3.5","11164","4.49","4.57"
