"year","quintil","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2003","3","4.17","3.5","6112","4.13","4.21"
"2003","4","4.14","3.5","5827","4.09","4.19"
"2003","5 Einkommensstärkstes Quintil","4.69","3.5","4910","4.64","4.74"
"2004","1 Einkommensschwächstes Quintil","3.7","2.5","5544","3.66","3.74"
"2004","2","4","3.5","5906","3.96","4.04"
"2004","3","4.1","3.5","5862","4.06","4.14"
"2004","4","4.15","3.5","5680","4.1","4.2"
"2004","5 Einkommensstärkstes Quintil","4.71","3.5","4865","4.66","4.76"
"2005","1 Einkommensschwächstes Quintil","3.7","2.5","5375","3.66","3.74"
"2005","2","3.99","3.5","5491","3.95","4.03"
"2005","3","4.1","3.5","5531","4.06","4.14"
"2005","4","4.21","3.5","5450","4.16","4.26"
"2005","5 Einkommensstärkstes Quintil","4.62","3.5","4831","4.56","4.68"
"2006","1 Einkommensschwächstes Quintil","3.57","2.5","5685","3.53","3.61"
"2006","2","4.03","3.5","5916","3.99","4.07"
"2006","3","4.09","3.5","5904","4.05","4.13"
"2006","4","4.19","3.5","6047","4.15","4.23"
"2006","5 Einkommensstärkstes Quintil","4.67","3.5","5048","4.62","4.72"
"2007","1 Einkommensschwächstes Quintil","3.66","2.5","4894","3.61","3.71"
"2007","2","3.96","3.5","5406","3.92","4"
"2007","3","4.19","3.5","5587","4.15","4.23"
"2007","4","4.23","3.5","5728","4.19","4.27"
"2007","5 Einkommensstärkstes Quintil","4.73","4.5","4965","4.68","4.78"
"2008","1 Einkommensschwächstes Quintil","3.64","2.5","4269","3.59","3.69"
"2008","2","3.97","3.5","4658","3.92","4.02"
"2008","3","4.24","3.5","5381","4.19","4.29"
"2008","4","4.24","3.5","5534","4.19","4.29"
"2008","5 Einkommensstärkstes Quintil","4.75","4.5","4968","4.7","4.8"
"2009","1 Einkommensschwächstes Quintil","3.56","2.5","3759","3.51","3.61"
"2009","2","3.97","3.5","4294","3.92","4.02"
"2009","3","4.22","3.5","4865","4.17","4.27"
"2009","4","4.35","3.5","5348","4.3","4.4"
"2009","5 Einkommensstärkstes Quintil","4.67","3.5","4900","4.62","4.72"
"2010","1 Einkommensschwächstes Quintil","3.54","2.5","8123","3.51","3.57"
"2010","2","3.87","3.5","8351","3.84","3.9"
"2010","3","4.24","3.5","7206","4.2","4.28"
"2010","4","4.29","3.5","7293","4.25","4.33"
"2010","5 Einkommensstärkstes Quintil","4.69","4.5","6438","4.64","4.74"
"2011","1 Einkommensschwächstes Quintil","3.51","2.5","8574","3.48","3.54"
"2011","2","3.92","3.5","9260","3.89","3.95"
"2011","3","4.13","3.5","8739","4.09","4.17"
"2011","4","4.37","3.5","9290","4.33","4.41"
"2011","5 Einkommensstärkstes Quintil","4.69","3.5","8114","4.65","4.73"
"2012","1 Einkommensschwächstes Quintil","3.42","2.5","7134","3.38","3.46"
"2012","2","3.93","3.5","8563","3.89","3.97"
"2012","3","4.16","3.5","8839","4.12","4.2"
"2012","4","4.33","3.5","9314","4.29","4.37"
"2012","5 Einkommensstärkstes Quintil","4.68","3.5","8532","4.64","4.72"
"2013","1 Einkommensschwächstes Quintil","3.41","2.5","8779","3.38","3.44"
"2013","2","3.86","3.5","9617","3.83","3.89"
"2013","3","4.09","3.5","9339","4.06","4.12"
"2013","4","4.29","3.5","10554","4.26","4.32"
"2013","5 Einkommensstärkstes Quintil","4.66","3.5","9360","4.62","4.7"
"2014","1 Einkommensschwächstes Quintil","3.46","2.5","6527","3.42","3.5"
"2014","2","3.83","2.5","7833","3.79","3.87"
"2014","3","4.06","3.5","8234","4.02","4.1"
"2014","4","4.27","3.5","9626","4.23","4.31"
"2014","5 Einkommensstärkstes Quintil","4.64","3.5","9228","4.6","4.68"
"2015","1 Einkommensschwächstes Quintil","3.4","2.5","6559","3.36","3.44"
"2015","2","3.71","2.5","7205","3.67","3.75"
"2015","3","4.07","3.5","7975","4.03","4.11"
"2015","4","4.23","3.5","9536","4.2","4.26"
"2015","5 Einkommensstärkstes Quintil","4.63","3.5","9732","4.59","4.67"
"2016","1 Einkommensschwächstes Quintil","3.33","2.5","12913","3.31","3.35"
"2016","2","3.73","2.5","6451","3.69","3.77"
"2016","3","4.06","3.5","6866","4.02","4.1"
"2016","4","4.24","3.5","9273","4.21","4.27"
"2016","5 Einkommensstärkstes Quintil","4.68","4.5","9537","4.64","4.72"
"2017","1 Einkommensschwächstes Quintil","3.39","2.5","14172","3.37","3.41"
"2017","2","3.72","2.5","6546","3.68","3.76"
"2017","3","3.97","3.5","7354","3.93","4.01"
"2017","4","4.26","3.5","10178","4.23","4.29"
"2017","5 Einkommensstärkstes Quintil","4.61","3.5","11840","4.58","4.64"
"2018","1 Einkommensschwächstes Quintil","3.37","2.5","12120","3.35","3.39"
"2018","2","3.61","2.5","6290","3.57","3.65"
"2018","3","4.02","3.5","7049","3.98","4.06"
"2018","4","4.26","3.5","10312","4.23","4.29"
"2018","5 Einkommensstärkstes Quintil","4.65","3.5","12049","4.62","4.68"
"2019","1 Einkommensschwächstes Quintil","3.42","2.5","9955","3.39","3.45"
"2019","2","3.68","2.5","5908","3.64","3.72"
"2019","3","4.01","3.5","6263","3.97","4.05"
"2019","4","4.16","3.5","10186","4.13","4.19"
"2019","5 Einkommensstärkstes Quintil","4.66","3.5","16101","4.63","4.69"
"2020","1 Einkommensschwächstes Quintil","3.4","2.5","9657","3.37","3.43"
"2020","2","3.72","2.5","7298","3.69","3.75"
"2020","3","3.95","3.5","6452","3.91","3.99"
"2020","4","4.33","3.5","10509","4.3","4.36"
"2020","5 Einkommensstärkstes Quintil","4.66","3.5","15722","4.63","4.69"
