year,bula_h,sampreg,hgreval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,Bavaria,West,Reasonable,0.38126,178,450,0.33633,0.42619
1987,Bavaria,West,Slightly Expensive,0.13728,69,450,0.10545,0.16912
1987,Berlin,West,Inexpensive,0.16777,35,158,0.10932,0.22622
1987,Berlin,West,Reasonable,0.58400,92,158,0.50690,0.66110
1987,Berlin,West,Slightly Expensive,0.16609,31,158,0.10788,0.22431
1988,Hamburg,West,Reasonable,0.36234,38,38,0.20746,0.51723
1988,Lower Saxony,West,Inexpensive,0.25772,69,237,0.20192,0.31353
1988,Lower Saxony,West,Reasonable,0.44685,109,237,0.38342,0.51028
1988,Lower Saxony,West,Slightly Expensive,0.17559,59,237,0.12704,0.22413
1988,North Rhine-Westphalia,West,Very Inexpensive,0.11583,86,872,0.09457,0.13708
1988,North Rhine-Westphalia,West,Inexpensive,0.27027,222,872,0.24078,0.29977
1988,North Rhine-Westphalia,West,Reasonable,0.43967,399,872,0.40670,0.47263
1988,North Rhine-Westphalia,West,Slightly Expensive,0.13936,131,872,0.11636,0.16237
1988,North Rhine-Westphalia,West,Too Expensive,0.03487,34,872,0.02269,0.04705
1988,Hesse,West,Very Inexpensive,0.16523,38,294,0.12270,0.20775
1988,Hesse,West,Inexpensive,0.30716,94,294,0.25434,0.35998
1988,Hesse,West,Reasonable,0.37579,108,294,0.32033,0.43124
1988,Hesse,West,Slightly Expensive,0.13756,54,294,0.09812,0.17700
1988,"Rhineland-Palatinate, Saarland",West,Inexpensive,0.25735,43,111,0.17565,0.33905
1988,"Rhineland-Palatinate, Saarland",West,Reasonable,0.41091,68,111,0.31897,0.50286
1988,Baden-Wuerttemberg,West,Very Inexpensive,0.12511,50,496,0.09596,0.15425
1988,Baden-Wuerttemberg,West,Inexpensive,0.30418,145,496,0.26365,0.34471
1988,Baden-Wuerttemberg,West,Reasonable,0.41822,231,496,0.37476,0.46167
1988,Baden-Wuerttemberg,West,Slightly Expensive,0.10980,70,496,0.08226,0.13734
1988,Bavaria,West,Very Inexpensive,0.14521,57,433,0.11199,0.17844
1988,Bavaria,West,Inexpensive,0.30768,131,433,0.26416,0.35120
1988,Bavaria,West,Reasonable,0.38347,177,433,0.33762,0.42933
1988,Bavaria,West,Slightly Expensive,0.13792,68,433,0.10541,0.17044
1988,Berlin,West,Reasonable,0.52890,89,125,0.44104,0.61676
1988,Berlin,West,Slightly Expensive,0.22235,36,125,0.14916,0.29554
1989,Schleswig-Holstein,West,Reasonable,0.45390,35,35,0.28655,0.62125
1989,Hamburg,West,Inexpensive,0.36968,33,79,0.26255,0.47680
1989,Hamburg,West,Reasonable,0.45944,46,79,0.34884,0.57004
1989,Lower Saxony,West,Inexpensive,0.23045,64,231,0.17602,0.28487
1989,Lower Saxony,West,Reasonable,0.43174,114,231,0.36773,0.49576
1989,Lower Saxony,West,Slightly Expensive,0.19678,53,231,0.14540,0.24816
1989,North Rhine-Westphalia,West,Very Inexpensive,0.13392,92,808,0.11042,0.15741
1989,North Rhine-Westphalia,West,Inexpensive,0.28217,233,808,0.25112,0.31322
1989,North Rhine-Westphalia,West,Reasonable,0.41851,351,808,0.38447,0.45255
1989,North Rhine-Westphalia,West,Slightly Expensive,0.12943,132,808,0.10627,0.15259
1989,Hesse,West,Very Inexpensive,0.17231,44,301,0.12957,0.21504
1989,Hesse,West,Inexpensive,0.29414,87,301,0.24258,0.34570
1989,Hesse,West,Reasonable,0.39316,119,301,0.33789,0.44843
1989,Hesse,West,Slightly Expensive,0.10563,51,301,0.07084,0.14041
1989,"Rhineland-Palatinate, Saarland",West,Inexpensive,0.28279,42,95,0.19175,0.37383
1989,"Rhineland-Palatinate, Saarland",West,Reasonable,0.34927,53,95,0.25289,0.44565
1989,Baden-Wuerttemberg,West,Very Inexpensive,0.15482,55,466,0.12194,0.18769
1989,Baden-Wuerttemberg,West,Inexpensive,0.34245,156,466,0.29932,0.38558
1989,Baden-Wuerttemberg,West,Reasonable,0.35465,180,466,0.31117,0.39814
1989,Baden-Wuerttemberg,West,Slightly Expensive,0.11324,75,466,0.08444,0.14204
1989,Bavaria,West,Very Inexpensive,0.14704,59,435,0.11372,0.18036
1989,Bavaria,West,Inexpensive,0.28935,134,435,0.24669,0.33201
1989,Bavaria,West,Reasonable,0.41126,177,435,0.36497,0.45756
1989,Bavaria,West,Slightly Expensive,0.12813,65,435,0.09669,0.15958
1989,Berlin,West,Inexpensive,0.24173,49,158,0.17476,0.30870
1989,Berlin,West,Reasonable,0.51737,76,158,0.43921,0.59554
1989,Berlin,West,Slightly Expensive,0.16829,33,158,0.10977,0.22681
1990,Hamburg,West,Inexpensive,0.42950,37,72,0.31436,0.54464
1990,Hamburg,West,Reasonable,0.39387,35,72,0.28022,0.50752
1990,Lower Saxony,West,Very Inexpensive,0.09917,31,254,0.06234,0.13600
1990,Lower Saxony,West,Inexpensive,0.29827,71,254,0.24189,0.35464
1990,Lower Saxony,West,Reasonable,0.44055,115,254,0.37937,0.50172
1990,Lower Saxony,West,Slightly Expensive,0.14181,37,254,0.09882,0.18480
1990,North Rhine-Westphalia,West,Very Inexpensive,0.11761,81,775,0.09491,0.14030
1990,North Rhine-Westphalia,West,Inexpensive,0.28954,242,775,0.25758,0.32149
1990,North Rhine-Westphalia,West,Reasonable,0.44393,343,775,0.40892,0.47893
1990,North Rhine-Westphalia,West,Slightly Expensive,0.12206,109,775,0.09900,0.14512
1990,Hesse,West,Very Inexpensive,0.15875,40,289,0.11655,0.20096
1990,Hesse,West,Inexpensive,0.33458,102,289,0.28008,0.38907
1990,Hesse,West,Reasonable,0.37297,108,289,0.31711,0.42882
1990,Hesse,West,Slightly Expensive,0.11184,39,289,0.07544,0.14823
1990,"Rhineland-Palatinate, Saarland",West,Inexpensive,0.31499,48,95,0.22109,0.40890
1990,"Rhineland-Palatinate, Saarland",West,Reasonable,0.31332,47,95,0.21955,0.40709
1990,Baden-Wuerttemberg,West,Very Inexpensive,0.14571,53,452,0.11315,0.17827
1990,Baden-Wuerttemberg,West,Inexpensive,0.34467,148,452,0.30081,0.38854
1990,Baden-Wuerttemberg,West,Reasonable,0.36418,184,452,0.31977,0.40859
1990,Baden-Wuerttemberg,West,Slightly Expensive,0.11164,67,452,0.08257,0.14070
1990,Bavaria,West,Very Inexpensive,0.15515,60,428,0.12081,0.18949
1990,Bavaria,West,Inexpensive,0.32599,151,428,0.28153,0.37045
1990,Bavaria,West,Reasonable,0.36555,159,428,0.31987,0.41123
1990,Bavaria,West,Slightly Expensive,0.11986,58,428,0.08905,0.15066
1990,Berlin,West,Inexpensive,0.21684,37,113,0.14052,0.29316
1990,Berlin,West,Reasonable,0.47055,76,113,0.37811,0.56299
1990,Berlin,East,Inexpensive,0.30329,48,126,0.22270,0.38387
1990,Berlin,East,Reasonable,0.44050,78,126,0.35347,0.52753
1990,Brandenburg,East,Very Inexpensive,0.23139,52,207,0.17380,0.28898
1990,Brandenburg,East,Inexpensive,0.36829,79,207,0.30242,0.43416
1990,Brandenburg,East,Reasonable,0.34212,76,207,0.27734,0.40691
1990,Mecklenburg-Western Pomerania,East,Very Inexpensive,0.27463,49,160,0.20525,0.34401
1990,Mecklenburg-Western Pomerania,East,Inexpensive,0.28774,47,160,0.21737,0.35811
1990,Mecklenburg-Western Pomerania,East,Reasonable,0.40734,64,160,0.33096,0.48371
1990,Saxony,East,Very Inexpensive,0.24091,123,466,0.20204,0.27978
1990,Saxony,East,Inexpensive,0.30687,154,466,0.26495,0.34879
1990,Saxony,East,Reasonable,0.38636,189,466,0.34211,0.43062
1990,Saxony-Anhalt,East,Very Inexpensive,0.23815,60,235,0.18358,0.29273
1990,Saxony-Anhalt,East,Inexpensive,0.35840,93,235,0.29696,0.41984
1990,Saxony-Anhalt,East,Reasonable,0.32265,82,235,0.26276,0.38255
1990,Thuringa,East,Very Inexpensive,0.19916,43,194,0.14282,0.25551
1990,Thuringa,East,Inexpensive,0.36982,72,194,0.30171,0.43792
1990,Thuringa,East,Reasonable,0.38412,79,194,0.31549,0.45274
1991,Hamburg,West,Inexpensive,0.36948,34,65,0.25123,0.48774
1991,Hamburg,West,Reasonable,0.40527,31,65,0.28499,0.52555
1991,Lower Saxony,West,Very Inexpensive,0.13055,36,258,0.08936,0.17174
1991,Lower Saxony,West,Inexpensive,0.29567,75,258,0.23988,0.35146
1991,Lower Saxony,West,Reasonable,0.45147,114,258,0.39062,0.51231
1991,Lower Saxony,West,Slightly Expensive,0.09888,33,258,0.06239,0.13538
1991,North Rhine-Westphalia,West,Very Inexpensive,0.14452,103,801,0.12016,0.16889
1991,North Rhine-Westphalia,West,Inexpensive,0.31585,259,801,0.28364,0.34806
1991,North Rhine-Westphalia,West,Reasonable,0.40790,336,801,0.37385,0.44196
1991,North Rhine-Westphalia,West,Slightly Expensive,0.10991,103,801,0.08823,0.13158
1991,Hesse,West,Very Inexpensive,0.17521,41,289,0.13131,0.21912
1991,Hesse,West,Inexpensive,0.36302,102,289,0.30748,0.41856
1991,Hesse,West,Reasonable,0.35586,107,289,0.30056,0.41115
1991,Hesse,West,Slightly Expensive,0.08353,39,289,0.05158,0.11549
1991,"Rhineland-Palatinate, Saarland",West,Inexpensive,0.29709,44,109,0.21091,0.38328
1991,"Rhineland-Palatinate, Saarland",West,Reasonable,0.39509,65,109,0.30289,0.48729
1991,Baden-Wuerttemberg,West,Very Inexpensive,0.17358,57,466,0.13916,0.20801
1991,Baden-Wuerttemberg,West,Inexpensive,0.30887,148,466,0.26688,0.35087
1991,Baden-Wuerttemberg,West,Reasonable,0.35437,185,466,0.31089,0.39784
1991,Baden-Wuerttemberg,West,Slightly Expensive,0.14770,76,466,0.11545,0.17995
1991,Bavaria,West,Very Inexpensive,0.18808,80,431,0.15115,0.22502
1991,Bavaria,West,Inexpensive,0.31196,138,431,0.26817,0.35575
1991,Bavaria,West,Reasonable,0.33977,153,431,0.29500,0.38453
1991,Bavaria,West,Slightly Expensive,0.12439,60,431,0.09320,0.15558
1991,Berlin,West,Inexpensive,0.27656,51,115,0.19445,0.35867
1991,Berlin,West,Reasonable,0.42922,64,115,0.33836,0.52008
1991,Berlin,East,Very Inexpensive,0.22212,32,129,0.15011,0.29413
1991,Berlin,East,Inexpensive,0.39075,46,129,0.30622,0.47527
1991,Berlin,East,Reasonable,0.35953,51,129,0.27640,0.44266
1991,Brandenburg,East,Very Inexpensive,0.22119,48,192,0.16233,0.28005
1991,Brandenburg,East,Inexpensive,0.47034,91,192,0.39956,0.54113
1991,Brandenburg,East,Reasonable,0.26995,53,192,0.20699,0.33291
1991,Mecklenburg-Western Pomerania,East,Very Inexpensive,0.22264,36,152,0.15628,0.28900
1991,Mecklenburg-Western Pomerania,East,Inexpensive,0.40736,60,152,0.32899,0.48573
1991,Mecklenburg-Western Pomerania,East,Reasonable,0.33711,56,152,0.26171,0.41251
1991,Saxony,East,Very Inexpensive,0.25297,127,421,0.21140,0.29455
1991,Saxony,East,Inexpensive,0.39540,165,421,0.34864,0.44216
1991,Saxony,East,Reasonable,0.29324,129,421,0.24970,0.33678
1991,Saxony-Anhalt,East,Very Inexpensive,0.23320,64,227,0.17807,0.28833
1991,Saxony-Anhalt,East,Inexpensive,0.50059,108,227,0.43540,0.56577
1991,Saxony-Anhalt,East,Reasonable,0.20646,55,227,0.15369,0.25923
1991,Thuringa,East,Very Inexpensive,0.20928,44,182,0.15002,0.26855
1991,Thuringa,East,Inexpensive,0.38510,73,182,0.31421,0.45599
1991,Thuringa,East,Reasonable,0.38315,65,182,0.31233,0.45398
1992,Hamburg,West,Reasonable,0.46802,33,33,0.29513,0.64091
1992,Lower Saxony,West,Very Inexpensive,0.16712,42,227,0.11848,0.21576
1992,Lower Saxony,West,Inexpensive,0.28271,71,227,0.22400,0.34142
1992,Lower Saxony,West,Reasonable,0.46376,114,227,0.39875,0.52878
1992,North Rhine-Westphalia,West,Very Inexpensive,0.10895,81,767,0.08688,0.13101
1992,North Rhine-Westphalia,West,Inexpensive,0.34465,275,767,0.31099,0.37830
1992,North Rhine-Westphalia,West,Reasonable,0.42292,313,767,0.38793,0.45791
1992,North Rhine-Westphalia,West,Slightly Expensive,0.10405,98,767,0.08243,0.12567
1992,Hesse,West,Very Inexpensive,0.18005,39,276,0.13464,0.22547
1992,Hesse,West,Inexpensive,0.31017,97,276,0.25549,0.36484
1992,Hesse,West,Reasonable,0.40265,98,276,0.34468,0.46061
1992,Hesse,West,Slightly Expensive,0.10021,42,276,0.06472,0.13570
1992,"Rhineland-Palatinate, Saarland",West,Inexpensive,0.28382,42,104,0.19675,0.37089
1992,"Rhineland-Palatinate, Saarland",West,Reasonable,0.44739,62,104,0.35136,0.54342
1992,Baden-Wuerttemberg,West,Very Inexpensive,0.16808,59,461,0.13391,0.20225
1992,Baden-Wuerttemberg,West,Inexpensive,0.35806,159,461,0.31425,0.40188
1992,Baden-Wuerttemberg,West,Reasonable,0.30241,165,461,0.26043,0.34438
1992,Baden-Wuerttemberg,West,Slightly Expensive,0.15051,78,461,0.11783,0.18318
1992,Bavaria,West,Very Inexpensive,0.16829,62,425,0.13268,0.20391
1992,Bavaria,West,Inexpensive,0.34514,145,425,0.29989,0.39039
1992,Bavaria,West,Reasonable,0.31281,145,425,0.26868,0.35694
1992,Bavaria,West,Slightly Expensive,0.15604,73,425,0.12150,0.19059
1992,Berlin,West,Inexpensive,0.26333,48,114,0.18212,0.34453
1992,Berlin,West,Reasonable,0.45768,66,114,0.36582,0.54954
1992,Berlin,East,Reasonable,0.49892,74,115,0.40713,0.59070
1992,Berlin,East,Slightly Expensive,0.31181,41,115,0.22677,0.39685
1992,Brandenburg,East,Reasonable,0.49446,93,156,0.41575,0.57317
1992,Brandenburg,East,Slightly Expensive,0.29835,63,156,0.22632,0.37038
1992,Mecklenburg-Western Pomerania,East,Reasonable,0.49253,69,103,0.39551,0.58955
1992,Mecklenburg-Western Pomerania,East,Slightly Expensive,0.25361,34,103,0.16918,0.33805
1992,Saxony,East,Inexpensive,0.15261,64,394,0.11705,0.18816
1992,Saxony,East,Reasonable,0.53369,228,394,0.48437,0.58302
1992,Saxony,East,Slightly Expensive,0.26628,102,394,0.22258,0.30999
1992,Saxony-Anhalt,East,Inexpensive,0.13618,31,225,0.09126,0.18109
1992,Saxony-Anhalt,East,Reasonable,0.53121,125,225,0.46586,0.59656
1992,Saxony-Anhalt,East,Slightly Expensive,0.27229,69,225,0.21400,0.33059
1992,Thuringa,East,Reasonable,0.53022,100,146,0.44899,0.61146
1992,Thuringa,East,Slightly Expensive,0.26568,46,146,0.19379,0.33758
1993,Schleswig-Holstein,West,Reasonable,0.41065,37,37,0.24995,0.57135
1993,Hamburg,West,Reasonable,0.47770,38,38,0.31675,0.63865
1993,Lower Saxony,West,Very Inexpensive,0.10702,36,256,0.06908,0.14497
1993,Lower Saxony,West,Inexpensive,0.30714,79,256,0.25052,0.36376
1993,Lower Saxony,West,Reasonable,0.41689,98,256,0.35637,0.47741
1993,Lower Saxony,West,Slightly Expensive,0.13739,43,256,0.09514,0.17964
1993,North Rhine-Westphalia,West,Very Inexpensive,0.11774,83,764,0.09487,0.14061
1993,North Rhine-Westphalia,West,Inexpensive,0.34117,262,764,0.30753,0.37481
1993,North Rhine-Westphalia,West,Reasonable,0.43067,321,764,0.39553,0.46580
1993,North Rhine-Westphalia,West,Slightly Expensive,0.09171,98,764,0.07123,0.11219
1993,Hesse,West,Very Inexpensive,0.15883,37,272,0.11531,0.20235
1993,Hesse,West,Inexpensive,0.41415,102,272,0.35550,0.47280
1993,Hesse,West,Reasonable,0.32818,90,272,0.27227,0.38408
1993,Hesse,West,Slightly Expensive,0.09317,43,272,0.05856,0.12778
1993,"Rhineland-Palatinate, Saarland",West,Inexpensive,0.33789,46,90,0.23963,0.43616
1993,"Rhineland-Palatinate, Saarland",West,Reasonable,0.33559,44,90,0.23749,0.43369
1993,Baden-Wuerttemberg,West,Very Inexpensive,0.16719,58,459,0.13302,0.20137
1993,Baden-Wuerttemberg,West,Inexpensive,0.37225,152,459,0.32798,0.41652
1993,Baden-Wuerttemberg,West,Reasonable,0.34092,189,459,0.29750,0.38433
1993,Baden-Wuerttemberg,West,Slightly Expensive,0.10523,60,459,0.07713,0.13334
1993,Bavaria,West,Very Inexpensive,0.13415,57,429,0.10186,0.16644
1993,Bavaria,West,Inexpensive,0.31502,140,429,0.27101,0.35903
1993,Bavaria,West,Reasonable,0.36407,165,429,0.31849,0.40966
1993,Bavaria,West,Slightly Expensive,0.14830,67,429,0.11463,0.18197
1993,Berlin,West,Inexpensive,0.33258,45,111,0.24453,0.42062
1993,Berlin,West,Reasonable,0.41372,66,111,0.32168,0.50576
1993,Berlin,East,Reasonable,0.38902,52,110,0.29749,0.48054
1993,Berlin,East,Slightly Expensive,0.37658,58,110,0.28562,0.46754
1993,Brandenburg,East,Reasonable,0.43399,77,146,0.35332,0.51466
1993,Brandenburg,East,Slightly Expensive,0.33040,69,146,0.25384,0.40696
1993,Mecklenburg-Western Pomerania,East,Reasonable,0.48890,61,105,0.39283,0.58497
1993,Mecklenburg-Western Pomerania,East,Slightly Expensive,0.31140,44,105,0.22240,0.40039
1993,Saxony,East,Inexpensive,0.11612,42,397,0.08456,0.14767
1993,Saxony,East,Reasonable,0.48982,197,397,0.44058,0.53905
1993,Saxony,East,Slightly Expensive,0.29839,127,397,0.25332,0.34346
1993,Saxony,East,Too Expensive,0.07282,31,397,0.04723,0.09841
1993,Saxony-Anhalt,East,Reasonable,0.43625,94,179,0.36340,0.50910
1993,Saxony-Anhalt,East,Slightly Expensive,0.35904,85,179,0.28856,0.42951
1993,Thuringa,East,Reasonable,0.46997,80,134,0.38514,0.55479
1993,Thuringa,East,Slightly Expensive,0.29550,54,134,0.21795,0.37304
1994,Schleswig-Holstein,West,Reasonable,0.39123,33,33,0.22214,0.56032
1994,Hamburg,West,Reasonable,0.53403,38,38,0.37330,0.69477
1994,Lower Saxony,West,Very Inexpensive,0.15146,34,256,0.10746,0.19547
1994,Lower Saxony,West,Inexpensive,0.27963,78,256,0.22454,0.33472
1994,Lower Saxony,West,Reasonable,0.44264,106,256,0.38167,0.50360
1994,Lower Saxony,West,Slightly Expensive,0.10530,38,256,0.06763,0.14297
1994,North Rhine-Westphalia,West,Very Inexpensive,0.12171,84,779,0.09874,0.14469
1994,North Rhine-Westphalia,West,Inexpensive,0.30265,219,779,0.27037,0.33494
1994,North Rhine-Westphalia,West,Reasonable,0.43354,342,779,0.39872,0.46837
1994,North Rhine-Westphalia,West,Slightly Expensive,0.10773,102,779,0.08595,0.12952
