year,migback,regtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1989,No migration background,Rural regions,981,6.74393,6.60804,6.87982,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1989,Direct migration background,Urban regions,1386,6.67294,6.56070,6.78518,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
1989,Direct migration background,Rural regions,229,6.59974,6.35570,6.84377,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
1989,Indirect migration background,Urban regions,110,6.63267,6.26237,7.00296,5.00000,7.00000,8.00000,1.00000,10.00000,7.00000,5.00000,8.00000
1989,Indirect migration background,Rural regions,,,,,,,,,,,,
1990,No migration background,Urban regions,3406,6.68704,6.61636,6.75772,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1990,No migration background,Rural regions,1070,6.73481,6.60443,6.86519,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1990,Direct migration background,Urban regions,1464,6.65886,6.55143,6.76630,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1990,Direct migration background,Rural regions,240,6.66382,6.37944,6.94821,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.97500,7.00000
1990,Indirect migration background,Urban regions,148,6.91794,6.63144,7.20444,5.87619,7.00000,8.00000,2.69047,10.00000,7.00000,6.00000,8.00000
1990,Indirect migration background,Rural regions,,,,,,,,,,,,
1991,No migration background,Urban regions,,,,,,,,,,,,
1991,No migration background,Rural regions,,,,,,,,,,,,
1991,Direct migration background,Urban regions,,,,,,,,,,,,
1991,Direct migration background,Rural regions,,,,,,,,,,,,
1991,Indirect migration background,Urban regions,,,,,,,,,,,,
1991,Indirect migration background,Rural regions,,,,,,,,,,,,
1992,No migration background,Urban regions,,,,,,,,,,,,
1992,No migration background,Rural regions,,,,,,,,,,,,
1992,Direct migration background,Urban regions,,,,,,,,,,,,
1992,Direct migration background,Rural regions,,,,,,,,,,,,
1992,Indirect migration background,Urban regions,,,,,,,,,,,,
1992,Indirect migration background,Rural regions,,,,,,,,,,,,
1993,No migration background,Urban regions,3988,6.49995,6.43449,6.56542,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1993,No migration background,Rural regions,2546,6.44115,6.35804,6.52425,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1993,Direct migration background,Urban regions,1436,6.58295,6.47263,6.69328,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
1993,Direct migration background,Rural regions,320,6.45580,6.20566,6.70594,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
1993,Indirect migration background,Urban regions,239,6.55972,6.26528,6.85417,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
1993,Indirect migration background,Rural regions,49,6.65666,5.88766,7.42565,4.94039,7.00000,8.33650,0.00000,10.00000,7.00000,5.00000,8.00000
1994,No migration background,Urban regions,4046,6.47221,6.40770,6.53672,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1994,No migration background,Rural regions,2591,6.54425,6.46186,6.62663,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1994,Direct migration background,Urban regions,1358,6.37019,6.25302,6.48735,5.00000,6.00000,8.00000,0.50000,10.00000,6.00000,6.00000,7.00000
1994,Direct migration background,Rural regions,292,6.74098,6.50633,6.97563,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
1994,Indirect migration background,Urban regions,254,6.07463,5.77981,6.36946,5.00000,6.00000,8.00000,0.50000,10.00000,6.00000,5.00000,7.00000
1994,Indirect migration background,Rural regions,51,6.90759,6.29198,7.52320,5.00000,7.00000,9.00000,1.00000,10.00000,7.00000,5.00000,9.00000
1995,No migration background,Urban regions,4129,6.43745,6.37288,6.50202,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1995,No migration background,Rural regions,2659,6.51875,6.44118,6.59632,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1995,Direct migration background,Urban regions,1639,6.69436,6.57838,6.81033,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1995,Direct migration background,Rural regions,347,6.73634,6.50551,6.96717,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,8.00000
1995,Indirect migration background,Urban regions,261,6.24987,5.96663,6.53310,5.00000,6.00000,8.00000,1.00000,10.00000,6.00000,5.00000,7.00000
1995,Indirect migration background,Rural regions,42,7.51039,6.82526,8.19551,6.20031,8.00000,9.00000,2.00077,10.00000,8.00000,7.00000,9.00000
1996,No migration background,Urban regions,4092,6.43742,6.37388,6.50097,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1996,No migration background,Rural regions,2661,6.55024,6.47233,6.62814,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1996,Direct migration background,Urban regions,1533,6.58230,6.47066,6.69394,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1996,Direct migration background,Rural regions,333,6.73863,6.53237,6.94488,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1996,Indirect migration background,Urban regions,283,6.58490,6.33893,6.83086,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
1996,Indirect migration background,Rural regions,60,6.56256,5.94363,7.18149,5.00000,7.00000,9.00000,0.00000,10.00000,7.00000,5.00000,8.00000
1997,No migration background,Urban regions,4045,6.43703,6.37279,6.50127,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1997,No migration background,Rural regions,2674,6.50742,6.43220,6.58263,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1997,Direct migration background,Urban regions,1471,6.54007,6.42879,6.65135,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1997,Direct migration background,Rural regions,340,6.55347,6.34448,6.76246,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
1997,Indirect migration background,Urban regions,303,6.34074,6.07007,6.61141,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
1997,Indirect migration background,Rural regions,48,6.82898,6.25332,7.40464,5.00000,7.00000,8.00000,2.00000,10.00000,7.00000,6.00000,8.00000
1998,No migration background,Urban regions,4740,6.54204,6.48245,6.60164,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1998,No migration background,Rural regions,3078,6.59573,6.52350,6.66797,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1998,Direct migration background,Urban regions,1376,6.53442,6.41475,6.65408,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1998,Direct migration background,Rural regions,315,6.49540,6.27633,6.71448,5.00000,7.00000,8.00000,1.00000,10.00000,7.00000,6.97500,7.00000
1998,Indirect migration background,Urban regions,314,6.48479,6.23616,6.73341,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
1998,Indirect migration background,Rural regions,64,7.22600,6.73340,7.71860,5.00000,7.00000,9.00000,0.00000,10.00000,7.00000,7.00000,8.02500
1999,No migration background,Urban regions,4637,6.49172,6.43089,6.55254,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1999,No migration background,Rural regions,3042,6.50872,6.43554,6.58191,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1999,Direct migration background,Urban regions,1333,6.52381,6.40561,6.64201,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1999,Direct migration background,Rural regions,279,6.68697,6.46754,6.90640,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
1999,Indirect migration background,Urban regions,336,6.45977,6.22445,6.69508,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
1999,Indirect migration background,Rural regions,60,6.91369,6.31698,7.51040,5.00000,7.00000,9.00000,0.00000,10.00000,7.00000,6.00000,8.00000
2000,No migration background,Urban regions,8784,6.56706,6.52183,6.61229,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2000,No migration background,Rural regions,5518,6.64545,6.59068,6.70022,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2000,Direct migration background,Urban regions,1998,6.65523,6.55728,6.75317,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2000,Direct migration background,Rural regions,442,6.78257,6.59386,6.97128,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2000,Indirect migration background,Urban regions,473,6.72976,6.52478,6.93474,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.97500,7.00000
2000,Indirect migration background,Rural regions,75,6.86886,6.44079,7.29693,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,8.00000
2001,No migration background,Urban regions,8164,6.64043,6.59473,6.68614,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2001,No migration background,Rural regions,5113,6.65956,6.60283,6.71629,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2001,Direct migration background,Urban regions,1812,6.56419,6.46459,6.66378,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2001,Direct migration background,Rural regions,393,6.81526,6.61750,7.01302,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2001,Indirect migration background,Urban regions,443,6.57717,6.35545,6.79890,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
2001,Indirect migration background,Rural regions,66,6.55114,6.06110,7.04118,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,8.00000
2002,No migration background,Urban regions,8793,6.50461,6.46061,6.54861,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2002,No migration background,Rural regions,5164,6.60900,6.55411,6.66389,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2002,Direct migration background,Urban regions,1708,6.42241,6.31739,6.52744,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2002,Direct migration background,Rural regions,368,6.66000,6.46056,6.85944,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2002,Indirect migration background,Urban regions,462,6.41243,6.21528,6.60959,5.00000,6.00000,8.00000,0.50000,10.00000,6.00000,6.00000,7.00000
2002,Indirect migration background,Rural regions,65,6.58367,5.96256,7.20479,5.00000,7.00000,8.04794,0.42809,10.00000,7.00000,7.00000,8.00000
2003,No migration background,Urban regions,8707,6.54869,6.50519,6.59219,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2003,No migration background,Rural regions,5127,6.60598,6.55018,6.66178,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2003,Direct migration background,Urban regions,1653,6.57987,6.48048,6.67927,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2003,Direct migration background,Rural regions,374,6.54306,6.31983,6.76628,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
2003,Indirect migration background,Urban regions,484,6.55498,6.35747,6.75250,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
2003,Indirect migration background,Rural regions,72,6.19833,5.72435,6.67230,5.00000,6.00000,8.00000,0.50000,10.00000,6.00000,5.00000,8.00000
2004,No migration background,Urban regions,8500,6.48387,6.44068,6.52706,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2004,No migration background,Rural regions,5088,6.60448,6.54897,6.65999,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2004,Direct migration background,Urban regions,1629,6.56380,6.46155,6.66605,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2004,Direct migration background,Rural regions,361,6.68467,6.46531,6.90404,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2004,Indirect migration background,Urban regions,487,6.47043,6.26925,6.67161,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
2004,Indirect migration background,Rural regions,90,6.28441,5.88592,6.68291,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,5.00000,7.00000
2005,No migration background,Urban regions,8224,6.51236,6.46760,6.55712,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2005,No migration background,Rural regions,4927,6.58827,6.53087,6.64567,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2005,Direct migration background,Urban regions,1506,6.43731,6.32744,6.54719,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
2005,Direct migration background,Rural regions,338,6.83791,6.62044,7.05538,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2005,Indirect migration background,Urban regions,512,6.31405,6.11579,6.51231,5.00000,6.00000,8.00000,0.50000,10.00000,6.00000,6.00000,7.00000
2005,Indirect migration background,Rural regions,83,6.04966,5.48270,6.61662,5.00000,6.38392,8.00000,0.50000,10.00000,6.00000,5.00000,7.00000
2006,No migration background,Urban regions,8950,6.52752,6.48455,6.57049,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2006,No migration background,Rural regions,5314,6.60561,6.55088,6.66033,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2006,Direct migration background,Urban regions,1507,6.51015,6.40088,6.61942,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2006,Direct migration background,Rural regions,357,6.61693,6.39088,6.84297,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2006,Indirect migration background,Urban regions,534,6.37540,6.18104,6.56977,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
2006,Indirect migration background,Rural regions,86,6.64741,6.26291,7.03192,5.00000,7.00000,8.00000,2.00000,10.00000,7.00000,6.00000,8.00000
2007,No migration background,Urban regions,8448,6.61987,6.57743,6.66231,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2007,No migration background,Rural regions,5071,6.61878,6.56313,6.67443,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2007,Direct migration background,Urban regions,1362,6.41605,6.30216,6.52993,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
2007,Direct migration background,Rural regions,315,6.73940,6.51073,6.96807,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2007,Indirect migration background,Urban regions,502,6.53249,6.33647,6.72851,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
2007,Indirect migration background,Rural regions,80,6.19138,5.74902,6.63374,5.00000,7.00000,8.00000,0.50000,9.00000,7.00000,6.00000,7.00000
2008,No migration background,Urban regions,7945,6.63614,6.59295,6.67933,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2008,No migration background,Rural regions,4817,6.72861,6.67313,6.78409,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2008,Direct migration background,Urban regions,1204,6.47220,6.35508,6.58932,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2008,Direct migration background,Rural regions,292,6.57632,6.33903,6.81361,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
2008,Indirect migration background,Urban regions,491,6.52118,6.32050,6.72186,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
2008,Indirect migration background,Rural regions,85,6.44864,5.93782,6.95946,5.00000,7.00000,8.00000,1.00000,10.00000,7.00000,6.00000,8.00000
2009,No migration background,Urban regions,7583,6.65261,6.60823,6.69700,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2009,No migration background,Rural regions,4580,6.70096,6.64379,6.75813,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2009,Direct migration background,Urban regions,1075,6.53226,6.41171,6.65281,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2009,Direct migration background,Rural regions,267,6.76174,6.51528,7.00821,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.97500,7.00000
2009,Indirect migration background,Urban regions,448,6.59822,6.39349,6.80295,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2009,Indirect migration background,Rural regions,84,6.46101,5.99957,6.92246,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,5.97500,7.00000
2010,No migration background,Urban regions,10086,6.66452,6.62599,6.70305,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2010,No migration background,Rural regions,6097,6.81310,6.76380,6.86240,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2010,Direct migration background,Urban regions,1965,6.73648,6.64357,6.82939,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2010,Direct migration background,Rural regions,541,6.68249,6.48991,6.87507,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,8.00000
2010,Indirect migration background,Urban regions,728,6.55346,6.40661,6.70030,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2010,Indirect migration background,Rural regions,159,6.06858,5.75574,6.38142,5.00000,6.00000,8.00000,0.50000,10.00000,6.00000,5.00000,7.00000
2011,No migration background,Urban regions,11124,6.73291,6.69558,6.77025,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2011,No migration background,Rural regions,6785,6.80909,6.76277,6.85541,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2011,Direct migration background,Urban regions,1966,6.74998,6.66150,6.83847,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2011,Direct migration background,Rural regions,598,6.76369,6.58092,6.94645,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2011,Indirect migration background,Urban regions,776,6.71379,6.57174,6.85584,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2011,Indirect migration background,Rural regions,179,6.50039,6.18725,6.81353,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
2012,No migration background,Urban regions,11407,6.80829,6.77299,6.84359,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2012,No migration background,Rural regions,7163,6.81678,6.77117,6.86238,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2012,Direct migration background,Urban regions,1924,6.87307,6.78325,6.96288,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2012,Direct migration background,Rural regions,641,7.23038,7.06849,7.39228,6.00000,8.00000,9.00000,1.50000,10.00000,8.00000,7.00000,8.00000
2012,Indirect migration background,Urban regions,769,6.71504,6.57952,6.85057,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2012,Indirect migration background,Rural regions,191,6.88304,6.60663,7.15944,5.89600,7.00000,8.00000,2.74000,10.00000,7.00000,7.00000,7.00000
2013,No migration background,Urban regions,11071,6.81593,6.77915,6.85272,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2013,No migration background,Rural regions,7065,6.90826,6.86182,6.95471,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,7.00000,7.00000
2013,Direct migration background,Urban regions,1774,6.76308,6.66993,6.85623,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2013,Direct migration background,Rural regions,609,6.73467,6.55187,6.91747,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,7.00000,8.00000
2013,Indirect migration background,Urban regions,723,6.72757,6.58164,6.87350,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2013,Indirect migration background,Rural regions,181,6.92041,6.64263,7.19820,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,7.00000,8.00000
2014,No migration background,Urban regions,10345,6.76449,6.72699,6.80198,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2014,No migration background,Rural regions,6467,6.85712,6.80915,6.90509,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2014,Direct migration background,Urban regions,3312,6.93552,6.86628,7.00476,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2014,Direct migration background,Rural regions,1060,7.29850,7.17256,7.42444,6.00000,8.00000,9.00000,1.50000,10.00000,8.00000,7.00000,8.00000
2014,Indirect migration background,Urban regions,1135,6.94372,6.82335,7.06408,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2014,Indirect migration background,Rural regions,242,6.95039,6.69992,7.20085,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2015,No migration background,Urban regions,9764,6.82090,6.78296,6.85884,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,7.00000,7.00000
2015,No migration background,Rural regions,6201,6.87131,6.82387,6.91876,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,7.00000,7.00000
2015,Direct migration background,Urban regions,2792,7.00631,6.93274,7.07988,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,7.00000,7.00000
2015,Direct migration background,Rural regions,933,7.48324,7.36047,7.60602,6.00000,8.00000,9.00000,1.50000,10.00000,8.00000,8.00000,8.00000
2015,Indirect migration background,Urban regions,1033,6.94390,6.82533,7.06247,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2015,Indirect migration background,Rural regions,233,6.97444,6.73129,7.21758,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,7.00000,7.00000
2016,No migration background,Urban regions,9249,6.78912,6.75085,6.82740,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2016,No migration background,Rural regions,5877,6.91182,6.86222,6.96141,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,7.00000,7.00000
2016,Direct migration background,Urban regions,3112,7.00282,6.93491,7.07072,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,7.00000,7.00000
2016,Direct migration background,Rural regions,1077,7.32675,7.21082,7.44267,6.00000,8.00000,9.00000,1.50000,10.00000,8.00000,7.00000,8.00000
2016,Indirect migration background,Urban regions,987,6.92257,6.79393,7.05121,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,8.00000
2016,Indirect migration background,Rural regions,240,6.84874,6.58521,7.11227,5.00000,7.00000,8.00000,1.00000,10.00000,7.00000,7.00000,8.00000
2017,No migration background,Urban regions,10787,6.83631,6.80034,6.87229,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2017,No migration background,Rural regions,6777,6.87217,6.82671,6.91763,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,7.00000,7.00000
2017,Direct migration background,Urban regions,3096,6.91099,6.83973,6.98225,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,7.00000,7.00000
2017,Direct migration background,Rural regions,1050,7.27993,7.16879,7.39107,6.00000,8.00000,9.00000,1.50000,10.00000,8.00000,7.00000,8.00000
2017,Indirect migration background,Urban regions,1140,6.96492,6.85069,7.07915,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2017,Indirect migration background,Rural regions,225,6.67986,6.42354,6.93619,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,8.00000
2018,No migration background,Urban regions,10506,6.80169,6.76544,6.83795,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2018,No migration background,Rural regions,6535,6.83526,6.78965,6.88087,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
