year,bula_h,hhtyp,hlc0080_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Berlin,Couple with children,No,0.95141,61,61,0.89701,1.00582
1986,Schleswig-Holstein,Single-person household,No,0.96247,38,38,0.90124,1.02371
1986,Schleswig-Holstein,Couple with children,No,0.91987,66,66,0.85387,0.98587
1986,Hamburg,Single-person household,No,0.90411,50,50,0.82167,0.98656
1986,Hamburg,Couple with children,No,0.93847,41,41,0.86399,1.01294
1986,Lower Saxony,Single-person household,No,0.85454,87,87,0.78003,0.92906
1986,Lower Saxony,Couple without children,No,0.93051,135,135,0.88746,0.97357
1986,Lower Saxony,Couple with children,No,0.93788,192,192,0.90365,0.97211
1986,North Rhine-Westphalia,Single-person household,Yes,0.12507,31,289,0.08686,0.16327
1986,North Rhine-Westphalia,Single-person household,No,0.87493,258,289,0.83673,0.91314
1986,North Rhine-Westphalia,Couple without children,No,0.97068,311,311,0.95190,0.98946
1986,North Rhine-Westphalia,Single parent,No,0.83457,56,56,0.73636,0.93277
1986,North Rhine-Westphalia,Couple with children,Yes,0.07202,44,623,0.05170,0.09233
1986,North Rhine-Westphalia,Couple with children,No,0.92798,579,623,0.90767,0.94830
1986,North Rhine-Westphalia,Other Combinations,No,0.89235,33,33,0.78496,0.99974
1986,Hesse,Single-person household,No,0.91332,91,91,0.85519,0.97145
1986,Hesse,Couple without children,No,0.98344,125,125,0.96097,1.00590
1986,Hesse,Couple with children,No,0.95661,211,211,0.92905,0.98416
1986,"Rhineland-Palatinate, Saarland",Single-person household,No,0.93770,64,64,0.87801,0.99738
1986,"Rhineland-Palatinate, Saarland",Couple without children,No,0.99003,94,94,0.96985,1.01022
1986,"Rhineland-Palatinate, Saarland",Couple with children,No,0.94165,138,138,0.90240,0.98090
1986,Baden-Wuerttemberg,Single-person household,No,0.93516,153,153,0.89601,0.97431
1986,Baden-Wuerttemberg,Couple without children,No,0.99249,184,184,0.97999,1.00500
1986,Baden-Wuerttemberg,Single parent,No,0.87387,39,39,0.76831,0.97943
1986,Baden-Wuerttemberg,Couple with children,No,0.98038,456,456,0.96764,0.99312
1986,Bavaria,Single-person household,No,0.91987,156,156,0.87713,0.96261
1986,Bavaria,Couple without children,No,0.99467,197,197,0.98447,1.00486
1986,Bavaria,Single parent,No,0.94227,43,43,0.87174,1.01281
1986,Bavaria,Couple with children,No,0.97478,369,369,0.95876,0.99080
1986,Berlin,Single-person household,No,0.96006,71,71,0.91419,1.00594
1987,Schleswig-Holstein,Single-person household,No,0.94206,35,35,0.86352,1.02059
1987,Schleswig-Holstein,Couple with children,No,0.89800,61,61,0.82142,0.97458
1987,Hamburg,Single-person household,No,0.85998,42,42,0.75377,0.96620
1987,Hamburg,Couple with children,No,0.89915,33,33,0.79482,1.00349
1987,Lower Saxony,Single-person household,No,0.87532,92,92,0.80744,0.94319
1987,Lower Saxony,Couple without children,No,0.93707,132,132,0.89549,0.97866
1987,Lower Saxony,Couple with children,No,0.88510,185,185,0.83902,0.93118
1987,North Rhine-Westphalia,Single-person household,No,0.89598,269,269,0.85942,0.93253
1987,North Rhine-Westphalia,Couple without children,No,0.97716,304,304,0.96034,0.99398
1987,North Rhine-Westphalia,Single parent,No,0.66310,44,44,0.52182,0.80437
1987,North Rhine-Westphalia,Couple with children,Yes,0.08890,50,604,0.06618,0.11162
1987,North Rhine-Westphalia,Couple with children,No,0.91110,554,604,0.88838,0.93382
1987,North Rhine-Westphalia,Other Combinations,No,0.93509,41,41,0.85873,1.01144
1987,Hesse,Single-person household,No,0.88355,83,83,0.81412,0.95298
1987,Hesse,Couple without children,No,0.98197,119,119,0.95796,1.00598
1987,Hesse,Couple with children,No,0.94793,215,215,0.91817,0.97770
1987,"Rhineland-Palatinate, Saarland",Single-person household,No,0.93094,62,62,0.86730,0.99457
1987,"Rhineland-Palatinate, Saarland",Couple with children,No,0.93751,136,136,0.89668,0.97834
1987,Baden-Wuerttemberg,Single-person household,No,0.92732,148,148,0.88535,0.96929
1987,Baden-Wuerttemberg,Couple without children,No,0.99956,186,186,0.99652,1.00259
1987,Baden-Wuerttemberg,Single parent,No,0.91368,43,43,0.82874,0.99861
1987,Baden-Wuerttemberg,Couple with children,No,0.97523,446,446,0.96079,0.98967
1987,Bavaria,Single-person household,No,0.92315,164,164,0.88226,0.96404
1987,Bavaria,Couple without children,No,0.99892,199,199,0.99434,1.00350
1987,Bavaria,Single parent,No,0.90561,46,46,0.82019,0.99104
1987,Bavaria,Couple with children,No,0.97316,356,356,0.95634,0.98997
1987,Berlin,Single-person household,No,0.97992,69,69,0.94657,1.01326
1987,Berlin,Couple with children,No,0.93136,56,56,0.86454,0.99818
1988,Schleswig-Holstein,Couple with children,No,0.87136,60,60,0.78593,0.95679
1988,Hamburg,Single-person household,No,0.88776,41,41,0.78994,0.98559
1988,Lower Saxony,Single-person household,No,0.87140,87,87,0.80065,0.94215
1988,Lower Saxony,Couple without children,No,0.93557,129,129,0.89304,0.97810
1988,Lower Saxony,Couple with children,No,0.88888,168,168,0.84121,0.93654
1988,North Rhine-Westphalia,Single-person household,No,0.88858,244,244,0.84901,0.92814
1988,North Rhine-Westphalia,Couple without children,No,0.95704,295,295,0.93386,0.98022
1988,North Rhine-Westphalia,Single parent,No,0.77554,51,51,0.65989,0.89119
1988,North Rhine-Westphalia,Couple with children,Yes,0.10794,63,586,0.08279,0.13308
1988,North Rhine-Westphalia,Couple with children,No,0.89206,523,586,0.86692,0.91721
1988,North Rhine-Westphalia,Other Combinations,No,0.97156,32,32,0.91304,1.03008
1988,Hesse,Single-person household,No,0.91640,82,82,0.85612,0.97668
1988,Hesse,Couple without children,No,0.97878,106,106,0.95121,1.00635
1988,Hesse,Couple with children,No,0.97857,211,211,0.95898,0.99815
1988,"Rhineland-Palatinate, Saarland",Single-person household,No,0.92598,59,59,0.85860,0.99336
1988,"Rhineland-Palatinate, Saarland",Couple with children,No,0.92700,124,124,0.88103,0.97297
1988,Baden-Wuerttemberg,Single-person household,No,0.91106,149,149,0.86520,0.95692
1988,Baden-Wuerttemberg,Couple without children,No,0.98816,192,192,0.97282,1.00350
1988,Baden-Wuerttemberg,Single parent,No,0.89003,40,40,0.79184,0.98822
1988,Baden-Wuerttemberg,Couple with children,No,0.97507,423,423,0.96020,0.98995
1988,Bavaria,Single-person household,No,0.92271,170,170,0.88245,0.96298
1988,Bavaria,Single parent,No,0.88570,43,43,0.78947,0.98192
1988,Bavaria,Couple with children,No,0.96862,341,341,0.95008,0.98715
1988,Berlin,Single-person household,No,0.97669,67,67,0.94030,1.01309
1988,Berlin,Couple without children,No,0.97712,40,40,0.93019,1.02405
1988,Berlin,Couple with children,No,0.89117,49,49,0.80307,0.97928
1989,Schleswig-Holstein,Couple without children,No,0.99776,44,44,0.98364,1.01189
1989,Schleswig-Holstein,Couple with children,No,0.85162,56,56,0.75767,0.94557
1989,Hamburg,Single-person household,No,0.91912,45,45,0.83856,0.99968
1989,Lower Saxony,Single-person household,No,0.87857,95,95,0.81254,0.94460
1989,Lower Saxony,Couple without children,No,0.95280,140,140,0.91755,0.98806
1989,Lower Saxony,Couple with children,No,0.88284,154,154,0.83188,0.93380
1989,North Rhine-Westphalia,Single-person household,No,0.90245,240,240,0.86483,0.94006
1989,North Rhine-Westphalia,Couple without children,No,0.98095,294,294,0.96530,0.99660
1989,North Rhine-Westphalia,Single parent,No,0.78566,52,52,0.67304,0.89829
1989,North Rhine-Westphalia,Couple with children,Yes,0.08375,49,557,0.06073,0.10678
1989,North Rhine-Westphalia,Couple with children,No,0.91625,508,557,0.89322,0.93927
1989,Hesse,Single-person household,No,0.98321,90,90,0.95652,1.00990
1989,Hesse,Couple without children,No,0.97524,117,117,0.94697,1.00352
1989,Hesse,Couple with children,No,0.96967,203,203,0.94602,0.99332
1989,"Rhineland-Palatinate, Saarland",Single-person household,No,0.92304,57,57,0.85323,0.99285
1989,"Rhineland-Palatinate, Saarland",Couple without children,No,0.97291,88,88,0.93880,1.00702
1989,"Rhineland-Palatinate, Saarland",Couple with children,No,0.94596,118,118,0.90499,0.98693
1989,Baden-Wuerttemberg,Single-person household,No,0.90600,143,143,0.85799,0.95400
1989,Baden-Wuerttemberg,Couple without children,No,0.99066,179,179,0.97653,1.00479
1989,Baden-Wuerttemberg,Single parent,No,0.85874,32,32,0.73614,0.98135
1989,Baden-Wuerttemberg,Couple with children,No,0.97105,404,404,0.95467,0.98742
1989,Bavaria,Single-person household,No,0.91768,168,168,0.87599,0.95937
1989,Bavaria,Couple without children,No,0.98982,183,183,0.97524,1.00440
1989,Bavaria,Single parent,No,0.88120,39,39,0.77833,0.98408
1989,Bavaria,Couple with children,No,0.97790,330,330,0.96202,0.99379
1989,Berlin,Single-person household,No,0.96145,69,69,0.91569,1.00721
1989,Berlin,Couple without children,No,0.97645,39,39,0.92824,1.02467
1989,Berlin,Couple with children,No,0.87155,48,48,0.77589,0.96721
1990,Schleswig-Holstein,Single-person household,No,0.87712,31,31,0.75965,0.99460
1990,Schleswig-Holstein,Couple without children,No,0.97283,42,42,0.92306,1.02259
1990,Schleswig-Holstein,Couple with children,No,0.77624,45,45,0.65310,0.89939
1990,Hamburg,Single-person household,No,0.93310,45,45,0.85928,1.00693
1990,Lower Saxony,Single-person household,No,0.85978,90,90,0.78764,0.93191
1990,Lower Saxony,Couple without children,No,0.95311,145,145,0.91859,0.98764
1990,Lower Saxony,Couple with children,No,0.92976,160,160,0.89003,0.96948
1990,North Rhine-Westphalia,Single-person household,No,0.92012,238,238,0.88560,0.95464
1990,North Rhine-Westphalia,Couple without children,No,0.97010,302,302,0.95085,0.98934
1990,North Rhine-Westphalia,Single parent,No,0.77439,50,50,0.65736,0.89143
1990,North Rhine-Westphalia,Couple with children,Yes,0.08469,49,542,0.06123,0.10815
1990,North Rhine-Westphalia,Couple with children,No,0.91531,493,542,0.89185,0.93877
1990,Hesse,Single-person household,No,0.93879,82,82,0.88658,0.99099
1990,Hesse,Couple without children,No,0.95880,115,115,0.92232,0.99529
1990,Hesse,Couple with children,No,0.96846,204,204,0.94442,0.99250
1990,"Rhineland-Palatinate, Saarland",Single-person household,No,0.93244,54,54,0.86486,1.00001
1990,"Rhineland-Palatinate, Saarland",Couple without children,No,0.97879,84,84,0.94779,1.00979
1990,"Rhineland-Palatinate, Saarland",Couple with children,No,0.93637,121,121,0.89270,0.98004
1990,Baden-Wuerttemberg,Single-person household,No,0.93298,134,134,0.89048,0.97548
1990,Baden-Wuerttemberg,Couple without children,No,0.99190,188,188,0.97905,1.00475
1990,Baden-Wuerttemberg,Single parent,No,0.81172,39,39,0.68743,0.93602
1990,Baden-Wuerttemberg,Couple with children,No,0.97680,397,397,0.96197,0.99162
1990,Bavaria,Single-person household,No,0.94062,178,178,0.90580,0.97544
1990,Bavaria,Couple without children,No,0.98993,194,194,0.97584,1.00401
1990,Bavaria,Single parent,No,0.92094,39,39,0.83515,1.00674
1990,Bavaria,Couple with children,No,0.97277,318,318,0.95485,0.99069
1990,Berlin,Single-person household,No,0.95502,60,60,0.90214,1.00791
1990,Berlin,Couple without children,No,0.97804,43,43,0.93372,1.02236
1990,Berlin,Couple with children,No,0.82962,47,47,0.72097,0.93827
1991,Schleswig-Holstein,Single-person household,No,0.91966,32,32,0.82398,1.01535
1991,Schleswig-Holstein,Couple without children,No,0.94948,39,39,0.87984,1.01912
1991,Schleswig-Holstein,Couple with children,No,0.81814,51,51,0.71122,0.92506
1991,Hamburg,Single-person household,No,0.94601,43,43,0.87766,1.01436
1991,Lower Saxony,Single-person household,No,0.82852,86,86,0.74838,0.90865
1991,Lower Saxony,Couple without children,No,0.94769,139,139,0.91054,0.98484
1991,Lower Saxony,Couple with children,No,0.86378,152,152,0.80907,0.91850
1991,North Rhine-Westphalia,Single-person household,No,0.91761,247,247,0.88325,0.95197
1991,North Rhine-Westphalia,Couple without children,No,0.98272,305,305,0.96807,0.99737
1991,North Rhine-Westphalia,Single parent,No,0.84308,56,56,0.74696,0.93921
1991,North Rhine-Westphalia,Couple with children,Yes,0.08304,48,549,0.05993,0.10614
1991,North Rhine-Westphalia,Couple with children,No,0.91696,501,549,0.89386,0.94007
1991,Hesse,Single-person household,No,0.95543,87,87,0.91182,0.99904
1991,Hesse,Couple without children,No,0.98224,122,122,0.95871,1.00577
1991,Hesse,Couple with children,No,0.96320,182,182,0.93577,0.99063
1991,"Rhineland-Palatinate, Saarland",Single-person household,No,0.86632,61,61,0.78021,0.95243
1991,"Rhineland-Palatinate, Saarland",Couple without children,No,0.98494,82,82,0.95841,1.01146
1991,"Rhineland-Palatinate, Saarland",Couple with children,No,0.95132,125,125,0.91344,0.98920
1991,Baden-Wuerttemberg,Single-person household,No,0.91886,130,130,0.87174,0.96598
1991,Baden-Wuerttemberg,Couple without children,No,0.99067,192,192,0.97704,1.00431
1991,Baden-Wuerttemberg,Single parent,No,0.77904,43,43,0.65356,0.90452
1991,Baden-Wuerttemberg,Couple with children,No,0.95269,387,387,0.93151,0.97387
1991,Bavaria,Single-person household,No,0.94325,165,165,0.90783,0.97866
1991,Bavaria,Couple without children,No,0.98438,203,203,0.96727,1.00148
1991,Bavaria,Single parent,No,0.90272,42,42,0.81202,0.99343
1991,Bavaria,Couple with children,No,0.97372,326,326,0.95633,0.99111
1991,Berlin,Single-person household,No,0.90751,52,52,0.82800,0.98703
1991,Berlin,Couple without children,No,0.95349,41,41,0.88823,1.01875
1991,Berlin,Couple with children,No,0.90367,51,51,0.82189,0.98545
1992,Schleswig-Holstein,Single-person household,No,0.93411,32,32,0.84677,1.02144
1992,Schleswig-Holstein,Couple without children,No,0.96415,39,39,0.90504,1.02326
1992,Schleswig-Holstein,Couple with children,No,0.74181,44,44,0.61100,0.87262
1992,Hamburg,Single-person household,No,0.87282,37,37,0.76398,0.98166
1992,Lower Saxony,Single-person household,No,0.84635,96,96,0.77383,0.91887
1992,Lower Saxony,Couple without children,No,0.94929,131,131,0.91157,0.98700
1992,Lower Saxony,Couple with children,No,0.90493,162,162,0.85962,0.95024
1992,North Rhine-Westphalia,Single-person household,No,0.94273,255,255,0.91416,0.97131
1992,North Rhine-Westphalia,Couple without children,No,0.98699,312,312,0.97439,0.99958
1992,North Rhine-Westphalia,Single parent,No,0.86490,56,56,0.77455,0.95524
1992,North Rhine-Westphalia,Couple with children,Yes,0.06127,37,541,0.04104,0.08150
1992,North Rhine-Westphalia,Couple with children,No,0.93873,504,541,0.91850,0.95896
1992,Hesse,Single-person household,No,0.95263,76,76,0.90455,1.00071
1992,Hesse,Couple without children,No,0.95237,129,129,0.91548,0.98927
1992,Hesse,Couple with children,No,0.96040,189,189,0.93252,0.98827
1992,"Rhineland-Palatinate, Saarland",Single-person household,No,0.87349,57,57,0.78643,0.96056
1992,"Rhineland-Palatinate, Saarland",Couple with children,No,0.95142,123,123,0.91328,0.98957
1992,Baden-Wuerttemberg,Single-person household,No,0.94767,139,139,0.91051,0.98483
1992,Baden-Wuerttemberg,Couple without children,No,0.97012,191,191,0.94591,0.99433
1992,Baden-Wuerttemberg,Single parent,No,0.85466,50,50,0.75597,0.95334
1992,Baden-Wuerttemberg,Couple with children,No,0.97401,379,379,0.95797,0.99005
1992,Bavaria,Single-person household,No,0.95468,170,170,0.92332,0.98604
1992,Bavaria,Couple without children,No,0.98477,213,213,0.96828,1.00126
1992,Bavaria,Single parent,No,0.93683,41,41,0.86144,1.01222
1992,Bavaria,Couple with children,No,0.95935,334,334,0.93814,0.98056
1992,Berlin,Single-person household,No,0.83779,71,71,0.75142,0.92415
1992,Berlin,Couple without children,No,0.92433,68,68,0.86100,0.98766
1992,Berlin,Couple with children,No,0.79578,102,102,0.71716,0.87440
1992,Brandenburg,Couple without children,No,0.83229,61,61,0.73775,0.92682
1992,Brandenburg,Couple with children,Yes,0.22659,36,159,0.16131,0.29186
1992,Brandenburg,Couple with children,No,0.77341,123,159,0.70814,0.83869
1992,Mecklenburg-Western Pomerania,Couple without children,No,0.89971,41,41,0.80662,0.99280
1992,Mecklenburg-Western Pomerania,Couple with children,No,0.72308,77,77,0.62248,0.82369
1992,Saxony,Single-person household,Yes,0.51058,43,87,0.40493,0.61623
1992,Saxony,Single-person household,No,0.48942,44,87,0.38377,0.59507
1992,Saxony,Couple without children,No,0.82649,127,127,0.76036,0.89261
1992,Saxony,Couple with children,Yes,0.20945,57,273,0.16109,0.25781
1992,Saxony,Couple with children,No,0.79055,216,273,0.74219,0.83891
1992,Saxony-Anhalt,Single-person household,No,0.53812,32,32,0.36262,0.71362
1992,Saxony-Anhalt,Couple without children,No,0.81298,74,74,0.72353,0.90243
1992,Saxony-Anhalt,Couple with children,Yes,0.18181,33,180,0.12531,0.23831
1992,Saxony-Anhalt,Couple with children,No,0.81819,147,180,0.76169,0.87469
1992,Thuringa,Couple without children,No,0.88542,60,60,0.80415,0.96670
1992,Thuringa,Couple with children,Yes,0.23328,37,169,0.16932,0.29723
1992,Thuringa,Couple with children,No,0.76672,132,169,0.70277,0.83068
1993,Schleswig-Holstein,Single-person household,No,0.97097,42,42,0.91958,1.02236
1993,Schleswig-Holstein,Couple without children,No,0.96830,45,45,0.91652,1.02007
1993,Schleswig-Holstein,Couple with children,No,0.85836,48,48,0.75868,0.95805
1993,Hamburg,Single-person household,No,0.84610,36,36,0.72655,0.96565
1993,Lower Saxony,Single-person household,No,0.84304,100,100,0.77138,0.91470
1993,Lower Saxony,Couple without children,No,0.98318,144,144,0.96210,1.00426
1993,Lower Saxony,Couple with children,No,0.93231,164,164,0.89374,0.97088
1993,North Rhine-Westphalia,Single-person household,No,0.92381,255,255,0.89119,0.95644
1993,North Rhine-Westphalia,Couple without children,No,0.99618,320,320,0.98941,1.00295
1993,North Rhine-Westphalia,Single parent,No,0.84841,56,56,0.75363,0.94319
1993,North Rhine-Westphalia,Couple with children,Yes,0.06046,36,538,0.04030,0.08062
1993,North Rhine-Westphalia,Couple with children,No,0.93954,502,538,0.91938,0.95970
1993,Hesse,Single-person household,No,0.90932,77,77,0.84476,0.97388
1993,Hesse,Couple without children,No,0.97942,145,145,0.95624,1.00261
1993,Hesse,Couple with children,No,0.96866,179,179,0.94306,0.99425
1993,"Rhineland-Palatinate, Saarland",Single-person household,No,0.90841,56,56,0.83218,0.98464
1993,"Rhineland-Palatinate, Saarland",Couple without children,No,0.98759,83,83,0.96362,1.01155
1993,"Rhineland-Palatinate, Saarland",Couple with children,No,0.94191,125,125,0.90074,0.98308
1993,Baden-Wuerttemberg,Single-person household,No,0.95554,155,155,0.92299,0.98810
1993,Baden-Wuerttemberg,Couple without children,No,0.98532,194,194,0.96836,1.00229
1993,Baden-Wuerttemberg,Single parent,No,0.82485,46,46,0.71380,0.93591
1993,Baden-Wuerttemberg,Couple with children,No,0.98197,375,375,0.96848,0.99545
1993,Bavaria,Single-person household,No,0.95858,191,191,0.93025,0.98691
1993,Bavaria,Single parent,No,0.91690,41,41,0.83136,1.00244
1993,Bavaria,Couple with children,No,0.97905,327,327,0.96350,0.99460
1993,Berlin,Single-person household,No,0.85753,70,70,0.77506,0.94000
1993,Berlin,Couple without children,No,0.91826,66,66,0.85166,0.98487
1993,Berlin,Couple with children,No,0.80793,100,100,0.73033,0.88553
1993,Brandenburg,Single-person household,No,0.59819,31,31,0.42276,0.77363
1993,Brandenburg,Couple without children,No,0.89570,74,74,0.82559,0.96582
1993,Brandenburg,Couple with children,Yes,0.30334,41,143,0.22773,0.37895
1993,Brandenburg,Couple with children,No,0.69666,102,143,0.62105,0.77227
1993,Mecklenburg-Western Pomerania,Couple without children,No,0.80953,39,39,0.68468,0.93438
1993,Mecklenburg-Western Pomerania,Couple with children,Yes,0.36341,34,97,0.26719,0.45963
1993,Mecklenburg-Western Pomerania,Couple with children,No,0.63659,63,97,0.54037,0.73281
1993,Saxony,Single-person household,Yes,0.57612,44,79,0.46645,0.68579
1993,Saxony,Single-person household,No,0.42388,35,79,0.31421,0.53355
1993,Saxony,Couple without children,No,0.86389,133,133,0.80539,0.92239
1993,Saxony,Couple with children,Yes,0.24728,62,255,0.19422,0.30033
1993,Saxony,Couple with children,No,0.75272,193,255,0.69967,0.80578
1993,Saxony-Anhalt,Single-person household,Yes,0.61082,32,32,0.43919,0.78246
1993,Saxony-Anhalt,Couple without children,No,0.82638,71,71,0.73764,0.91511
1993,Saxony-Anhalt,Couple with children,Yes,0.20852,36,171,0.14745,0.26959
1993,Saxony-Anhalt,Couple with children,No,0.79148,135,171,0.73041,0.85255
1993,Thuringa,Couple without children,No,0.87227,60,60,0.78709,0.95744
1993,Thuringa,Couple with children,Yes,0.27871,41,161,0.20923,0.34818
1993,Thuringa,Couple with children,No,0.72129,120,161,0.65182,0.79077
1994,Schleswig-Holstein,Single-person household,No,0.91999,33,33,0.82598,1.01399
1994,Schleswig-Holstein,Couple without children,No,0.98531,45,45,0.94976,1.02086
1994,Schleswig-Holstein,Couple with children,No,0.80955,45,45,0.69353,0.92558
1994,Hamburg,Single-person household,No,0.83368,35,35,0.70851,0.95885
1994,Lower Saxony,Single-person household,No,0.90732,105,105,0.85158,0.96305
1994,Lower Saxony,Couple without children,No,0.98968,151,151,0.97351,1.00585
1994,Lower Saxony,Couple with children,No,0.96100,165,165,0.93137,0.99063
1994,North Rhine-Westphalia,Single-person household,No,0.94599,255,255,0.91819,0.97379
1994,North Rhine-Westphalia,Couple without children,No,0.97799,321,321,0.96191,0.99406
1994,North Rhine-Westphalia,Single parent,No,0.81083,58,58,0.70916,0.91250
1994,North Rhine-Westphalia,Couple with children,Yes,0.06061,36,513,0.03994,0.08128
1994,North Rhine-Westphalia,Couple with children,No,0.93939,477,513,0.91872,0.96006
1994,Hesse,Single-person household,No,0.93003,93,93,0.87790,0.98216
1994,Hesse,Couple without children,No,0.98359,137,137,0.96224,1.00494
1994,Hesse,Couple with children,No,0.96596,171,171,0.93870,0.99322
1994,"Rhineland-Palatinate, Saarland",Single-person household,No,0.92203,53,53,0.84915,0.99491
1994,"Rhineland-Palatinate, Saarland",Couple without children,No,0.99482,91,91,0.98000,1.00965
1994,"Rhineland-Palatinate, Saarland",Couple with children,No,0.96818,127,127,0.93754,0.99883
1994,Baden-Wuerttemberg,Single-person household,No,0.95169,144,144,0.91654,0.98683
1994,Baden-Wuerttemberg,Couple without children,No,0.99316,206,206,0.98188,1.00444
1994,Baden-Wuerttemberg,Single parent,No,0.87415,38,38,0.76727,0.98102
1994,Baden-Wuerttemberg,Couple with children,No,0.97338,360,360,0.95672,0.99003
1994,Bavaria,Single-person household,No,0.95464,190,190,0.92497,0.98430
1994,Bavaria,Couple without children,No,0.98788,224,224,0.97352,1.00224
1994,Bavaria,Single parent,No,0.90884,40,40,0.81850,0.99918
1994,Bavaria,Couple with children,No,0.98049,322,322,0.96536,0.99562
