year,rentown,sampreg,hlc0080_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2020,Tenant,East,No,0.96149,2345,2448,0.95387,0.96912
2021,Owner,West,No,0.99875,4100,4100,0.99767,0.99983
2021,Owner,East,No,0.99367,942,942,0.98860,0.99873
2021,Tenant,West,Yes,0.03513,355,5790,0.03039,0.03987
2021,Tenant,West,No,0.96487,5435,5790,0.96013,0.96961
2021,Tenant,East,Yes,0.03602,70,1621,0.02695,0.04509
2021,Tenant,East,No,0.96398,1551,1621,0.95491,0.97305
2022,Owner,West,No,0.99879,6219,6219,0.99792,0.99965
2022,Owner,East,No,0.99341,1524,1524,0.98935,0.99747
2022,Tenant,West,Yes,0.03339,376,9610,0.02980,0.03699
2022,Tenant,West,No,0.96661,9234,9610,0.96301,0.97020
2022,Tenant,East,Yes,0.03928,99,2786,0.03206,0.04649
2022,Tenant,East,No,0.96072,2687,2786,0.95351,0.96794
