year,rentown,hlc0080_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Owner,No,0.99487,5016,5047,0.99290,0.99684
2009,Tenant,Yes,0.06555,343,5051,0.05873,0.07238
2009,Tenant,No,0.93445,4708,5051,0.92762,0.94127
2010,Owner,Yes,0.00566,80,6328,0.00382,0.00751
2010,Owner,No,0.99434,6248,6328,0.99249,0.99618
2010,Tenant,Yes,0.06334,676,7465,0.05781,0.06886
2010,Tenant,No,0.93666,6789,7465,0.93114,0.94219
2011,Owner,Yes,0.00507,99,7561,0.00347,0.00667
2011,Owner,No,0.99493,7462,7561,0.99333,0.99653
2011,Tenant,Yes,0.06032,910,8756,0.05533,0.06531
2011,Tenant,No,0.93968,7846,8756,0.93469,0.94467
2012,Owner,Yes,0.00549,100,7440,0.00381,0.00717
2012,Owner,No,0.99451,7340,7440,0.99283,0.99619
2012,Tenant,Yes,0.05605,816,8538,0.05117,0.06093
2012,Tenant,No,0.94395,7722,8538,0.93907,0.94883
2013,Owner,Yes,0.00387,81,7548,0.00247,0.00527
2013,Owner,No,0.99613,7467,7548,0.99473,0.99753
2013,Tenant,Yes,0.05111,791,9994,0.04680,0.05543
2013,Tenant,No,0.94889,9203,9994,0.94457,0.95320
2014,Owner,Yes,0.00343,62,6982,0.00206,0.00480
2014,Owner,No,0.99657,6920,6982,0.99520,0.99794
2014,Tenant,Yes,0.04883,637,8718,0.04431,0.05336
2014,Tenant,No,0.95117,8081,8718,0.94664,0.95569
2015,Owner,Yes,0.00228,42,6543,0.00112,0.00343
2015,Owner,No,0.99772,6501,6543,0.99657,0.99888
2015,Tenant,Yes,0.04239,517,8833,0.03819,0.04660
2015,Tenant,No,0.95761,8316,8833,0.95340,0.96181
2016,Owner,Yes,0.00184,34,6208,0.00078,0.00291
2016,Owner,No,0.99816,6174,6208,0.99709,0.99922
2016,Tenant,Yes,0.04052,436,7942,0.03618,0.04486
2016,Tenant,No,0.95948,7506,7942,0.95514,0.96382
2017,Owner,Yes,0.00231,40,6994,0.00118,0.00343
2017,Owner,No,0.99769,6954,6994,0.99657,0.99882
2017,Tenant,Yes,0.03873,560,10349,0.03501,0.04244
2017,Tenant,No,0.96127,9789,10349,0.95756,0.96499
2018,Owner,Yes,0.00222,40,6702,0.00109,0.00335
2018,Owner,No,0.99778,6662,6702,0.99665,0.99891
2018,Tenant,Yes,0.04112,836,11034,0.03742,0.04483
2018,Tenant,No,0.95888,10198,11034,0.95517,0.96258
2019,Owner,Yes,0.00365,33,7824,0.00232,0.00499
2019,Owner,No,0.99635,7791,7824,0.99501,0.99768
2019,Tenant,Yes,0.04373,589,10492,0.03982,0.04764
2019,Tenant,No,0.95627,9903,10492,0.95236,0.96018
2020,Owner,No,0.99719,6835,6835,0.99594,0.99845
2020,Tenant,Yes,0.03734,563,12217,0.03398,0.04070
2020,Tenant,No,0.96266,11654,12217,0.95930,0.96602
2021,Owner,No,0.99804,5042,5042,0.99681,0.99926
2021,Tenant,Yes,0.03531,425,7411,0.03111,0.03951
2021,Tenant,No,0.96469,6986,7411,0.96049,0.96889
2022,Owner,No,0.99804,7743,7743,0.99706,0.99903
2022,Tenant,Yes,0.03457,475,12396,0.03135,0.03778
2022,Tenant,No,0.96543,11921,12396,0.96222,0.96865
