year,regtyp,sampreg,hlc0080_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1997,Urban regions,West,Yes,0.04225,201,3703,0.03577,0.04873
1997,Urban regions,West,No,0.95775,3502,3703,0.95127,0.96423
1997,Urban regions,East,Yes,0.09837,57,631,0.07512,0.12163
1997,Urban regions,East,No,0.90163,574,631,0.87837,0.92488
1997,Rural regions,West,Yes,0.05469,55,1011,0.04067,0.06871
1997,Rural regions,West,No,0.94531,956,1011,0.93129,0.95933
1997,Rural regions,East,Yes,0.10369,112,1186,0.08633,0.12105
1997,Rural regions,East,No,0.89631,1074,1186,0.87895,0.91367
1998,Urban regions,West,Yes,0.04696,216,4264,0.04061,0.05331
1998,Urban regions,West,No,0.95304,4048,4264,0.94669,0.95939
1998,Urban regions,East,Yes,0.11276,62,649,0.08841,0.13712
1998,Urban regions,East,No,0.88724,587,649,0.86288,0.91159
1998,Rural regions,West,Yes,0.04992,64,1182,0.03750,0.06234
1998,Rural regions,West,No,0.95008,1118,1182,0.93766,0.96250
1998,Rural regions,East,Yes,0.09539,117,1308,0.07946,0.11131
1998,Rural regions,East,No,0.90461,1191,1308,0.88869,0.92054
1999,Urban regions,West,Yes,0.04550,199,4053,0.03909,0.05192
1999,Urban regions,West,No,0.95450,3854,4053,0.94808,0.96091
1999,Urban regions,East,Yes,0.09564,51,641,0.07285,0.11842
1999,Urban regions,East,No,0.90436,590,641,0.88158,0.92715
1999,Rural regions,West,Yes,0.04800,60,1134,0.03555,0.06044
1999,Rural regions,West,No,0.95200,1074,1134,0.93956,0.96445
1999,Rural regions,East,Yes,0.11361,135,1281,0.09622,0.13099
1999,Rural regions,East,No,0.88639,1146,1281,0.86901,0.90378
2000,Urban regions,West,Yes,0.03972,305,7579,0.03532,0.04411
2000,Urban regions,West,No,0.96028,7274,7579,0.95589,0.96468
2000,Urban regions,East,Yes,0.08482,83,1006,0.06759,0.10204
2000,Urban regions,East,No,0.91518,923,1006,0.89796,0.93241
2000,Rural regions,West,Yes,0.03990,95,2277,0.03186,0.04794
2000,Rural regions,West,No,0.96010,2182,2277,0.95206,0.96814
2000,Rural regions,East,Yes,0.09782,194,2065,0.08500,0.11063
2000,Rural regions,East,No,0.90218,1871,2065,0.88937,0.91500
2001,Urban regions,West,Yes,0.04588,318,6804,0.04091,0.05085
2001,Urban regions,West,No,0.95412,6486,6804,0.94915,0.95909
2001,Urban regions,East,Yes,0.10777,96,954,0.08808,0.12745
2001,Urban regions,East,No,0.89223,858,954,0.87255,0.91192
2001,Rural regions,West,Yes,0.04353,92,2005,0.03460,0.05247
2001,Rural regions,West,No,0.95647,1913,2005,0.94753,0.96540
2001,Rural regions,East,Yes,0.10139,186,1885,0.08776,0.11502
2001,Rural regions,East,No,0.89861,1699,1885,0.88498,0.91224
2002,Urban regions,West,Yes,0.04406,289,7273,0.03935,0.04878
2002,Urban regions,West,No,0.95594,6984,7273,0.95122,0.96065
2002,Urban regions,East,Yes,0.10586,89,959,0.08638,0.12534
2002,Urban regions,East,No,0.89414,870,959,0.87466,0.91362
2002,Rural regions,West,Yes,0.04838,87,2078,0.03915,0.05761
2002,Rural regions,West,No,0.95162,1991,2078,0.94239,0.96085
2002,Rural regions,East,Yes,0.09283,164,1878,0.07971,0.10596
2002,Rural regions,East,No,0.90717,1714,1878,0.89404,0.92029
2003,Urban regions,West,Yes,0.04916,301,7006,0.04410,0.05422
2003,Urban regions,West,No,0.95084,6705,7006,0.94578,0.95590
2003,Urban regions,East,Yes,0.12094,94,955,0.10025,0.14163
2003,Urban regions,East,No,0.87906,861,955,0.85837,0.89975
2003,Rural regions,West,Yes,0.05323,93,1973,0.04332,0.06313
2003,Rural regions,West,No,0.94677,1880,1973,0.93687,0.95668
2003,Rural regions,East,Yes,0.09233,169,1847,0.07912,0.10554
2003,Rural regions,East,No,0.90767,1678,1847,0.89446,0.92088
2004,Urban regions,West,Yes,0.05484,316,6816,0.04943,0.06024
2004,Urban regions,West,No,0.94516,6500,6816,0.93976,0.95057
2004,Urban regions,East,Yes,0.13361,97,950,0.11197,0.15526
2004,Urban regions,East,No,0.86639,853,950,0.84474,0.88803
2004,Rural regions,West,Yes,0.05202,99,1950,0.04216,0.06188
2004,Rural regions,West,No,0.94798,1851,1950,0.93812,0.95784
2004,Rural regions,East,Yes,0.11611,194,1804,0.10132,0.13090
2004,Rural regions,East,No,0.88389,1610,1804,0.86910,0.89868
2005,Urban regions,West,Yes,0.05942,308,6604,0.05372,0.06513
2005,Urban regions,West,No,0.94058,6296,6604,0.93487,0.94628
2005,Urban regions,East,Yes,0.12662,93,934,0.10528,0.14796
2005,Urban regions,East,No,0.87338,841,934,0.85204,0.89472
2005,Rural regions,West,Yes,0.05458,94,1891,0.04434,0.06482
2005,Rural regions,West,No,0.94542,1797,1891,0.93518,0.95566
2005,Rural regions,East,Yes,0.12168,187,1749,0.10635,0.13700
2005,Rural regions,East,No,0.87832,1562,1749,0.86300,0.89365
2006,Urban regions,West,Yes,0.04186,252,7162,0.03722,0.04650
2006,Urban regions,West,No,0.95814,6910,7162,0.95350,0.96278
2006,Urban regions,East,Yes,0.09445,80,989,0.07621,0.11268
2006,Urban regions,East,No,0.90555,909,989,0.88732,0.92379
2006,Rural regions,West,Yes,0.03216,63,2159,0.02472,0.03961
2006,Rural regions,West,No,0.96784,2096,2159,0.96039,0.97528
2006,Rural regions,East,Yes,0.09731,165,1928,0.08408,0.11055
2006,Rural regions,East,No,0.90269,1763,1928,0.88945,0.91592
2007,Urban regions,West,Yes,0.03677,202,6649,0.03224,0.04129
2007,Urban regions,West,No,0.96323,6447,6649,0.95871,0.96776
2007,Urban regions,East,Yes,0.09928,68,942,0.08017,0.11839
2007,Urban regions,East,No,0.90072,874,942,0.88161,0.91983
2007,Rural regions,West,Yes,0.03625,63,2023,0.02810,0.04439
2007,Rural regions,West,No,0.96375,1960,2023,0.95561,0.97190
2007,Rural regions,East,Yes,0.08242,139,1812,0.06976,0.09509
2007,Rural regions,East,No,0.91758,1673,1812,0.90491,0.93024
2008,Urban regions,West,Yes,0.03679,193,6261,0.03213,0.04146
2008,Urban regions,West,No,0.96321,6068,6261,0.95854,0.96787
2008,Urban regions,East,Yes,0.06038,48,928,0.04505,0.07571
2008,Urban regions,East,No,0.93962,880,928,0.92429,0.95495
2008,Rural regions,West,Yes,0.03216,54,1909,0.02424,0.04007
2008,Rural regions,West,No,0.96784,1855,1909,0.95993,0.97576
2008,Rural regions,East,Yes,0.06599,108,1722,0.05426,0.07772
2008,Rural regions,East,No,0.93401,1614,1722,0.92228,0.94574
2009,Urban regions,West,Yes,0.03323,166,5764,0.02860,0.03785
2009,Urban regions,West,No,0.96677,5598,5764,0.96215,0.97140
2009,Urban regions,East,Yes,0.07505,57,883,0.05766,0.09243
2009,Urban regions,East,No,0.92495,826,883,0.90757,0.94234
2009,Rural regions,West,Yes,0.02712,49,1805,0.01962,0.03461
2009,Rural regions,West,No,0.97288,1756,1805,0.96539,0.98038
2009,Rural regions,East,Yes,0.06312,102,1646,0.05136,0.07487
2009,Rural regions,East,No,0.93688,1544,1646,0.92513,0.94864
2010,Urban regions,West,Yes,0.03156,381,7964,0.02772,0.03540
2010,Urban regions,West,No,0.96844,7583,7964,0.96460,0.97228
2010,Urban regions,East,Yes,0.06778,84,1121,0.05306,0.08250
2010,Urban regions,East,No,0.93222,1037,1121,0.91750,0.94694
2010,Rural regions,West,Yes,0.02456,136,2672,0.01869,0.03043
2010,Rural regions,West,No,0.97544,2536,2672,0.96957,0.98131
2010,Rural regions,East,Yes,0.06937,155,2036,0.05833,0.08041
2010,Rural regions,East,No,0.93063,1881,2036,0.91959,0.94167
2011,Urban regions,West,Yes,0.03229,495,9270,0.02869,0.03589
2011,Urban regions,West,No,0.96771,8775,9270,0.96411,0.97131
2011,Urban regions,East,Yes,0.05522,116,1300,0.04280,0.06764
2011,Urban regions,East,No,0.94478,1184,1300,0.93236,0.95720
2011,Rural regions,West,Yes,0.02262,186,3388,0.01761,0.02763
2011,Rural regions,West,No,0.97738,3202,3388,0.97237,0.98239
2011,Rural regions,East,Yes,0.06125,212,2359,0.05157,0.07093
2011,Rural regions,East,No,0.93875,2147,2359,0.92907,0.94843
2012,Urban regions,West,Yes,0.02945,430,8981,0.02595,0.03294
2012,Urban regions,West,No,0.97055,8551,8981,0.96706,0.97405
2012,Urban regions,East,Yes,0.04603,103,1270,0.03450,0.05756
2012,Urban regions,East,No,0.95397,1167,1270,0.94244,0.96550
2012,Rural regions,West,Yes,0.02484,182,3381,0.01960,0.03009
2012,Rural regions,West,No,0.97516,3199,3381,0.96991,0.98040
2012,Rural regions,East,Yes,0.05864,201,2346,0.04913,0.06815
2012,Rural regions,East,No,0.94136,2145,2346,0.93185,0.95087
2013,Urban regions,West,Yes,0.02460,428,10361,0.02162,0.02758
2013,Urban regions,West,No,0.97540,9933,10361,0.97242,0.97838
2013,Urban regions,East,Yes,0.04050,82,1283,0.02971,0.05129
2013,Urban regions,East,No,0.95950,1201,1283,0.94871,0.97029
2013,Rural regions,West,Yes,0.02538,171,3613,0.02025,0.03051
2013,Rural regions,West,No,0.97462,3442,3613,0.96949,0.97975
2013,Rural regions,East,Yes,0.05770,191,2285,0.04814,0.06726
2013,Rural regions,East,No,0.94230,2094,2285,0.93274,0.95186
2014,Urban regions,West,Yes,0.02556,351,9112,0.02232,0.02880
2014,Urban regions,West,No,0.97444,8761,9112,0.97120,0.97768
2014,Urban regions,East,Yes,0.03746,75,1215,0.02678,0.04815
2014,Urban regions,East,No,0.96254,1140,1215,0.95185,0.97322
2014,Rural regions,West,Yes,0.02303,138,3231,0.01785,0.02820
2014,Rural regions,West,No,0.97697,3093,3231,0.97180,0.98215
2014,Rural regions,East,Yes,0.04641,135,2142,0.03750,0.05532
2014,Rural regions,East,No,0.95359,2007,2142,0.94468,0.96250
2015,Urban regions,West,Yes,0.02107,289,8983,0.01810,0.02404
2015,Urban regions,West,No,0.97893,8694,8983,0.97596,0.98190
2015,Urban regions,East,Yes,0.04030,50,1175,0.02905,0.05155
2015,Urban regions,East,No,0.95970,1125,1175,0.94845,0.97095
2015,Rural regions,West,Yes,0.01849,108,3210,0.01383,0.02315
2015,Rural regions,West,No,0.98151,3102,3210,0.97685,0.98617
2015,Rural regions,East,Yes,0.04111,112,2008,0.03242,0.04979
2015,Rural regions,East,No,0.95889,1896,2008,0.95021,0.96758
2016,Urban regions,West,Yes,0.02128,254,8186,0.01815,0.02440
2016,Urban regions,West,No,0.97872,7932,8186,0.97560,0.98185
2016,Urban regions,East,Yes,0.02515,36,1110,0.01594,0.03437
2016,Urban regions,East,No,0.97485,1074,1110,0.96563,0.98406
2016,Rural regions,West,Yes,0.01923,89,2932,0.01426,0.02420
2016,Rural regions,West,No,0.98077,2843,2932,0.97580,0.98574
2016,Rural regions,East,Yes,0.03521,91,1923,0.02697,0.04345
2016,Rural regions,East,No,0.96479,1832,1923,0.95655,0.97303
2017,Urban regions,West,Yes,0.01891,321,10075,0.01625,0.02157
2017,Urban regions,West,No,0.98109,9754,10075,0.97843,0.98375
2017,Urban regions,East,Yes,0.03752,44,1348,0.02737,0.04767
2017,Urban regions,East,No,0.96248,1304,1348,0.95233,0.97263
2017,Rural regions,West,Yes,0.01747,123,3579,0.01318,0.02177
2017,Rural regions,West,No,0.98253,3456,3579,0.97823,0.98682
2017,Rural regions,East,Yes,0.03716,112,2341,0.02950,0.04483
2017,Rural regions,East,No,0.96284,2229,2341,0.95517,0.97050
2018,Urban regions,West,Yes,0.01995,517,10441,0.01727,0.02263
2018,Urban regions,West,No,0.98005,9924,10441,0.97737,0.98273
2018,Urban regions,East,Yes,0.03875,57,1407,0.02867,0.04884
2018,Urban regions,East,No,0.96125,1350,1407,0.95116,0.97133
2018,Rural regions,West,Yes,0.02134,171,3547,0.01658,0.02609
2018,Rural regions,West,No,0.97866,3376,3547,0.97391,0.98342
2018,Rural regions,East,Yes,0.03463,131,2341,0.02722,0.04204
2018,Rural regions,East,No,0.96537,2210,2341,0.95796,0.97278
2019,No answer / don't know,Does not apply,No,0.94569,61,61,0.88834,1.00303
2019,No answer / don't know,West,No,0.97848,333,333,0.96287,0.99409
2019,No answer / don't know,East,No,0.89956,62,62,0.82413,0.97500
2019,Urban regions,West,Yes,0.02317,338,10495,0.02029,0.02604
2019,Urban regions,West,No,0.97683,10157,10495,0.97396,0.97971
2019,Urban regions,East,Yes,0.02302,41,1416,0.01520,0.03083
2019,Urban regions,East,No,0.97698,1375,1416,0.96917,0.98480
2019,Rural regions,West,Yes,0.02483,137,3547,0.01971,0.02995
2019,Rural regions,West,No,0.97517,3410,3547,0.97005,0.98029
2019,Rural regions,East,Yes,0.03616,95,2392,0.02868,0.04365
2019,Rural regions,East,No,0.96384,2297,2392,0.95635,0.97132
2020,Urban regions,West,Yes,0.02055,376,11705,0.01798,0.02312
2020,Urban regions,West,No,0.97945,11329,11705,0.97688,0.98202
2020,Urban regions,East,Yes,0.02534,38,1512,0.01742,0.03326
2020,Urban regions,East,No,0.97466,1474,1512,0.96674,0.98258
2020,Rural regions,West,Yes,0.01846,102,3582,0.01405,0.02287
2020,Rural regions,West,No,0.98154,3480,3582,0.97713,0.98595
2020,Rural regions,East,Yes,0.02828,76,2282,0.02148,0.03509
2020,Rural regions,East,No,0.97172,2206,2282,0.96491,0.97852
2021,Urban regions,West,Yes,0.01975,300,7533,0.01661,0.02290
2021,Urban regions,West,No,0.98025,7233,7533,0.97710,0.98339
2021,Urban regions,East,No,0.97339,997,997,0.96339,0.98338
2021,Rural regions,West,Yes,0.01557,66,2370,0.01059,0.02056
2021,Rural regions,West,No,0.98443,2304,2370,0.97944,0.98941
2021,Rural regions,East,Yes,0.02377,47,1544,0.01617,0.03137
2021,Rural regions,East,No,0.97623,1497,1544,0.96863,0.98383
2022,Urban regions,West,Yes,0.01773,307,12233,0.01539,0.02007
2022,Urban regions,West,No,0.98227,11926,12233,0.97993,0.98461
2022,Urban regions,East,Yes,0.02328,37,1718,0.01615,0.03041
2022,Urban regions,East,No,0.97672,1681,1718,0.96959,0.98385
2022,Rural regions,West,Yes,0.01793,85,3620,0.01361,0.02226
2022,Rural regions,West,No,0.98207,3535,3620,0.97774,0.98639
2022,Rural regions,East,Yes,0.02926,70,2601,0.02278,0.03573
2022,Rural regions,East,No,0.97074,2531,2601,0.96427,0.97722
