year,quintil_oecd_hh,sampreg,hlc0080_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1993,2nd Quintile,West,Yes,0.06560,58,861,0.04906,0.08215
1993,2nd Quintile,West,No,0.93440,803,861,0.91785,0.95094
1993,2nd Quintile,East,Yes,0.29337,181,622,0.25756,0.32918
1993,2nd Quintile,East,No,0.70663,441,622,0.67082,0.74244
1993,3rd Quintile,West,No,0.97977,970,970,0.97091,0.98864
1993,3rd Quintile,East,Yes,0.13358,50,385,0.09955,0.16760
1993,3rd Quintile,East,No,0.86642,335,385,0.83240,0.90045
1993,4th Quintile,West,No,0.99385,1077,1077,0.98918,0.99852
1993,4th Quintile,East,No,0.96404,197,197,0.93797,0.99011
1993,5th Quintile,West,No,0.99431,1026,1026,0.98971,0.99892
1993,5th Quintile,East,No,0.97855,67,67,0.94359,1.01350
1994,1st Quintile,West,Yes,0.21223,160,812,0.18408,0.24037
1994,1st Quintile,West,No,0.78777,652,812,0.75963,0.81592
1994,1st Quintile,East,Yes,0.47761,242,515,0.43442,0.52079
1994,1st Quintile,East,No,0.52239,273,515,0.47921,0.56558
1994,2nd Quintile,West,Yes,0.05834,46,829,0.04237,0.07431
1994,2nd Quintile,West,No,0.94166,783,829,0.92569,0.95763
1994,2nd Quintile,East,Yes,0.15638,88,577,0.12672,0.18604
1994,2nd Quintile,East,No,0.84362,489,577,0.81396,0.87328
1994,3rd Quintile,West,No,0.97984,929,929,0.97079,0.98888
1994,3rd Quintile,East,No,0.95901,389,389,0.93928,0.97874
1994,4th Quintile,West,No,0.99426,999,999,0.98958,0.99895
1994,4th Quintile,East,No,0.94660,227,227,0.91729,0.97591
1994,5th Quintile,West,No,0.99794,1012,1012,0.99514,1.00073
1994,5th Quintile,East,No,0.99385,116,116,0.97956,1.00814
1995,1st Quintile,West,Yes,0.21342,208,942,0.18724,0.23960
1995,1st Quintile,West,No,0.78658,734,942,0.76040,0.81276
1995,1st Quintile,East,Yes,0.42942,189,450,0.38364,0.47521
1995,1st Quintile,East,No,0.57058,261,450,0.52479,0.61636
1995,2nd Quintile,West,Yes,0.04811,46,926,0.03432,0.06190
1995,2nd Quintile,West,No,0.95189,880,926,0.93810,0.96568
1995,2nd Quintile,East,Yes,0.10791,62,541,0.08174,0.13408
1995,2nd Quintile,East,No,0.89209,479,541,0.86592,0.91826
1995,3rd Quintile,West,No,0.98867,976,976,0.98202,0.99531
1995,3rd Quintile,East,No,0.95597,399,399,0.93581,0.97612
1995,4th Quintile,West,No,0.99321,989,989,0.98809,0.99833
1995,4th Quintile,East,No,0.99159,282,282,0.98092,1.00227
1995,5th Quintile,West,No,0.99799,1001,1001,0.99521,1.00077
1996,1st Quintile,West,Yes,0.19444,198,966,0.16947,0.21941
1996,1st Quintile,West,No,0.80556,768,966,0.78059,0.83053
1996,1st Quintile,East,Yes,0.32718,143,437,0.28314,0.37122
1996,1st Quintile,East,No,0.67282,294,437,0.62878,0.71686
1996,2nd Quintile,West,Yes,0.04904,46,901,0.03493,0.06314
1996,2nd Quintile,West,No,0.95096,855,901,0.93686,0.96507
1996,2nd Quintile,East,Yes,0.06325,39,497,0.04182,0.08467
1996,2nd Quintile,East,No,0.93675,458,497,0.91533,0.95818
1996,3rd Quintile,West,No,0.98874,940,940,0.98198,0.99549
1996,3rd Quintile,East,No,0.98632,437,437,0.97542,0.99723
1996,4th Quintile,West,No,0.99194,995,995,0.98638,0.99750
1996,4th Quintile,East,No,0.98000,288,288,0.96381,0.99620
1996,5th Quintile,West,No,0.99475,957,957,0.99017,0.99933
1996,5th Quintile,East,No,0.98989,158,158,0.97425,1.00554
1997,1st Quintile,West,Yes,0.19193,198,918,0.16644,0.21742
1997,1st Quintile,West,No,0.80807,720,918,0.78258,0.83356
1997,1st Quintile,East,Yes,0.28500,122,416,0.24157,0.32843
1997,1st Quintile,East,No,0.71500,294,416,0.67157,0.75843
1997,2nd Quintile,West,Yes,0.04193,41,908,0.02889,0.05497
1997,2nd Quintile,West,No,0.95807,867,908,0.94503,0.97111
1997,2nd Quintile,East,Yes,0.06283,35,504,0.04162,0.08404
1997,2nd Quintile,East,No,0.93717,469,504,0.91596,0.95838
1997,3rd Quintile,West,No,0.99401,938,938,0.98906,0.99895
1997,3rd Quintile,East,No,0.98316,430,430,0.97098,0.99533
1997,4th Quintile,West,No,0.99892,983,983,0.99686,1.00097
1997,4th Quintile,East,No,0.98646,305,305,0.97347,0.99945
1997,5th Quintile,West,No,0.99655,950,950,0.99282,1.00028
1997,5th Quintile,East,No,0.98595,150,150,0.96705,1.00485
1998,1st Quintile,West,Yes,0.19259,208,1072,0.16897,0.21620
1998,1st Quintile,West,No,0.80741,864,1072,0.78380,0.83103
1998,1st Quintile,East,Yes,0.32877,139,429,0.28426,0.37327
1998,1st Quintile,East,No,0.67123,290,429,0.62673,0.71574
1998,2nd Quintile,West,Yes,0.04060,48,1071,0.02877,0.05243
1998,2nd Quintile,West,No,0.95940,1023,1071,0.94757,0.97123
1998,2nd Quintile,East,No,0.94521,472,472,0.92466,0.96577
1998,3rd Quintile,West,No,0.99416,1029,1029,0.98950,0.99882
1998,3rd Quintile,East,No,0.97951,479,479,0.96680,0.99221
1998,4th Quintile,West,No,0.99120,1124,1124,0.98574,0.99666
1998,4th Quintile,East,No,0.99554,361,361,0.98866,1.00242
1998,5th Quintile,West,No,0.99685,1122,1122,0.99357,1.00013
1999,1st Quintile,West,Yes,0.18699,196,1017,0.16302,0.21097
1999,1st Quintile,West,No,0.81301,821,1017,0.78903,0.83698
1999,1st Quintile,East,Yes,0.31946,150,477,0.27758,0.36135
1999,1st Quintile,East,No,0.68054,327,477,0.63865,0.72242
1999,2nd Quintile,West,Yes,0.04696,42,985,0.03374,0.06018
1999,2nd Quintile,West,No,0.95304,943,985,0.93982,0.96626
1999,2nd Quintile,East,No,0.95248,505,505,0.93391,0.97105
1999,3rd Quintile,West,No,0.98968,1003,1003,0.98342,0.99593
1999,3rd Quintile,East,No,0.96753,456,456,0.95125,0.98382
1999,4th Quintile,West,No,0.99721,1081,1081,0.99406,1.00036
1999,4th Quintile,East,No,0.99819,293,293,0.99330,1.00307
1999,5th Quintile,West,No,0.99743,1080,1080,0.99441,1.00045
2000,1st Quintile,West,Yes,0.16105,297,1802,0.14407,0.17803
2000,1st Quintile,West,No,0.83895,1505,1802,0.82197,0.85593
2000,1st Quintile,East,Yes,0.28615,220,748,0.25374,0.31856
2000,1st Quintile,East,No,0.71385,528,748,0.68144,0.74626
2000,2nd Quintile,West,Yes,0.04145,77,1868,0.03241,0.05050
2000,2nd Quintile,West,No,0.95855,1791,1868,0.94950,0.96759
2000,2nd Quintile,East,Yes,0.03316,31,838,0.02103,0.04529
2000,2nd Quintile,East,No,0.96684,807,838,0.95471,0.97897
2000,3rd Quintile,West,No,0.99437,1880,1880,0.99099,0.99775
2000,3rd Quintile,East,No,0.97833,733,733,0.96779,0.98888
2000,4th Quintile,West,No,0.99524,2114,2114,0.99230,0.99817
2000,4th Quintile,East,No,0.98240,465,465,0.97043,0.99436
2000,5th Quintile,West,No,0.99823,2161,2161,0.99646,1.00000
2001,1st Quintile,West,Yes,0.18093,293,1536,0.16167,0.20019
2001,1st Quintile,West,No,0.81907,1243,1536,0.79981,0.83833
2001,1st Quintile,East,Yes,0.30921,220,680,0.27444,0.34397
2001,1st Quintile,East,No,0.69079,460,680,0.65603,0.72556
2001,2nd Quintile,West,Yes,0.04383,79,1664,0.03399,0.05367
2001,2nd Quintile,West,No,0.95617,1585,1664,0.94633,0.96601
2001,2nd Quintile,East,Yes,0.05115,42,785,0.03573,0.06657
2001,2nd Quintile,East,No,0.94885,743,785,0.93343,0.96427
2001,3rd Quintile,West,No,0.98631,1737,1737,0.98084,0.99178
2001,3rd Quintile,East,No,0.98727,661,661,0.97872,0.99582
2001,4th Quintile,West,No,0.99557,1905,1905,0.99259,0.99855
2001,4th Quintile,East,No,0.98145,448,448,0.96894,0.99396
2001,5th Quintile,West,No,0.99700,1926,1926,0.99455,0.99944
2001,5th Quintile,East,No,0.99071,245,245,0.97867,1.00275
2002,1st Quintile,West,Yes,0.17612,261,1423,0.15632,0.19592
2002,1st Quintile,West,No,0.82388,1162,1423,0.80408,0.84368
2002,1st Quintile,East,Yes,0.29052,195,659,0.25583,0.32521
2002,1st Quintile,East,No,0.70948,464,659,0.67479,0.74417
2002,2nd Quintile,West,Yes,0.04465,64,1538,0.03432,0.05497
2002,2nd Quintile,West,No,0.95535,1474,1538,0.94503,0.96568
2002,2nd Quintile,East,Yes,0.04564,36,698,0.03015,0.06114
2002,2nd Quintile,East,No,0.95436,662,698,0.93886,0.96985
2002,3rd Quintile,West,No,0.98573,1632,1632,0.97997,0.99149
2002,3rd Quintile,East,No,0.98020,597,597,0.96902,0.99139
2002,4th Quintile,West,No,0.99495,1841,1841,0.99171,0.99819
2002,4th Quintile,East,No,0.98692,506,506,0.97701,0.99683
2002,5th Quintile,West,No,0.99608,2866,2866,0.99379,0.99837
2002,5th Quintile,East,No,0.99834,351,351,0.99408,1.00260
2003,1st Quintile,West,Yes,0.20687,292,1422,0.18581,0.22793
2003,1st Quintile,West,No,0.79313,1130,1422,0.77207,0.81419
2003,1st Quintile,East,Yes,0.31548,197,618,0.27881,0.35215
2003,1st Quintile,East,No,0.68452,421,618,0.64785,0.72119
2003,2nd Quintile,West,Yes,0.04569,65,1474,0.03503,0.05635
2003,2nd Quintile,West,No,0.95431,1409,1474,0.94365,0.96497
2003,2nd Quintile,East,Yes,0.05328,43,728,0.03696,0.06961
2003,2nd Quintile,East,No,0.94672,685,728,0.93039,0.96304
2003,3rd Quintile,West,No,0.98849,1579,1579,0.98322,0.99375
2003,3rd Quintile,East,No,0.98088,612,612,0.97003,0.99174
2003,4th Quintile,West,No,0.99850,1799,1799,0.99671,1.00029
2003,4th Quintile,East,No,0.99116,465,465,0.98264,0.99968
2003,5th Quintile,West,No,0.99645,2664,2664,0.99419,0.99871
2003,5th Quintile,East,No,0.99659,356,356,0.99052,1.00265
2004,1st Quintile,West,Yes,0.22061,292,1339,0.19839,0.24283
2004,1st Quintile,West,No,0.77939,1047,1339,0.75717,0.80161
2004,1st Quintile,East,Yes,0.36665,224,607,0.32828,0.40502
2004,1st Quintile,East,No,0.63335,383,607,0.59498,0.67172
2004,2nd Quintile,West,Yes,0.04377,78,1450,0.03324,0.05431
2004,2nd Quintile,West,No,0.95623,1372,1450,0.94569,0.96676
2004,2nd Quintile,East,Yes,0.06347,44,710,0.04553,0.08142
2004,2nd Quintile,East,No,0.93653,666,710,0.91858,0.95447
2004,3rd Quintile,West,No,0.98452,1555,1555,0.97838,0.99066
2004,3rd Quintile,East,No,0.97465,593,593,0.96198,0.98731
2004,4th Quintile,West,No,0.99187,1767,1767,0.98768,0.99605
2004,4th Quintile,East,No,0.99628,487,487,0.99086,1.00169
2004,5th Quintile,West,No,0.99609,2607,2607,0.99369,0.99849
2004,5th Quintile,East,No,0.98013,334,334,0.96515,0.99512
2005,1st Quintile,West,Yes,0.23714,291,1328,0.21425,0.26002
2005,1st Quintile,West,No,0.76286,1037,1328,0.73998,0.78575
2005,1st Quintile,East,Yes,0.35831,215,632,0.32090,0.39572
2005,1st Quintile,East,No,0.64169,417,632,0.60428,0.67910
2005,2nd Quintile,West,Yes,0.04287,63,1383,0.03219,0.05355
2005,2nd Quintile,West,No,0.95713,1320,1383,0.94645,0.96781
2005,2nd Quintile,East,Yes,0.07040,48,681,0.05117,0.08963
2005,2nd Quintile,East,No,0.92960,633,681,0.91037,0.94883
2005,3rd Quintile,West,Yes,0.02613,33,1514,0.01809,0.03417
2005,3rd Quintile,West,No,0.97387,1481,1514,0.96583,0.98191
2005,3rd Quintile,East,No,0.99035,570,570,0.98232,0.99838
2005,4th Quintile,West,No,0.98936,1734,1734,0.98453,0.99419
2005,4th Quintile,East,No,0.98384,459,459,0.97229,0.99539
2005,5th Quintile,West,No,0.99953,2519,2519,0.99868,1.00038
2005,5th Quintile,East,No,0.99566,323,323,0.98848,1.00284
2006,1st Quintile,West,Yes,0.14877,215,1420,0.13026,0.16729
2006,1st Quintile,West,No,0.85123,1205,1420,0.83271,0.86974
2006,1st Quintile,East,Yes,0.26840,176,655,0.23443,0.30236
2006,1st Quintile,East,No,0.73160,479,655,0.69764,0.76557
2006,2nd Quintile,West,Yes,0.03924,61,1491,0.02938,0.04910
2006,2nd Quintile,West,No,0.96076,1430,1491,0.95090,0.97062
2006,2nd Quintile,East,Yes,0.07399,51,729,0.05497,0.09300
2006,2nd Quintile,East,No,0.92601,678,729,0.90700,0.94503
2006,3rd Quintile,West,No,0.98280,1688,1688,0.97659,0.98900
2006,3rd Quintile,East,No,0.98653,662,662,0.97775,0.99532
2006,4th Quintile,West,No,0.99578,1975,1975,0.99292,0.99864
2006,4th Quintile,East,No,0.99442,504,504,0.98791,1.00093
2006,5th Quintile,West,No,0.99512,2703,2703,0.99249,0.99775
2006,5th Quintile,East,No,0.99631,349,349,0.98994,1.00268
2007,1st Quintile,West,Yes,0.13507,172,1336,0.11673,0.15340
2007,1st Quintile,West,No,0.86493,1164,1336,0.84660,0.88327
2007,1st Quintile,East,Yes,0.23275,142,609,0.19916,0.26634
2007,1st Quintile,East,No,0.76725,467,609,0.73366,0.80084
2007,2nd Quintile,West,Yes,0.04461,65,1466,0.03404,0.05518
2007,2nd Quintile,West,No,0.95539,1401,1466,0.94482,0.96596
2007,2nd Quintile,East,Yes,0.08432,47,637,0.06273,0.10592
2007,2nd Quintile,East,No,0.91568,590,637,0.89408,0.93727
2007,3rd Quintile,West,No,0.98835,1544,1544,0.98300,0.99371
2007,3rd Quintile,East,No,0.98193,638,638,0.97159,0.99228
2007,4th Quintile,West,No,0.99504,1811,1811,0.99180,0.99827
2007,4th Quintile,East,No,0.99244,509,509,0.98491,0.99997
2007,5th Quintile,West,No,0.99950,2485,2485,0.99863,1.00038
2007,5th Quintile,East,No,0.99093,342,342,0.98087,1.00099
2008,1st Quintile,West,Yes,0.12495,164,1282,0.10685,0.14306
2008,1st Quintile,West,No,0.87505,1118,1282,0.85694,0.89315
2008,1st Quintile,East,Yes,0.19797,117,589,0.16576,0.23017
2008,1st Quintile,East,No,0.80203,472,589,0.76983,0.83424
2008,2nd Quintile,West,Yes,0.04337,54,1353,0.03252,0.05423
2008,2nd Quintile,West,No,0.95663,1299,1353,0.94577,0.96748
2008,2nd Quintile,East,No,0.96882,593,593,0.95482,0.98282
2008,3rd Quintile,West,No,0.98125,1478,1478,0.97433,0.98817
2008,3rd Quintile,East,No,0.98917,657,657,0.98125,0.99709
2008,4th Quintile,West,No,0.99719,1680,1680,0.99465,0.99972
2008,4th Quintile,East,No,0.99332,427,427,0.98558,1.00105
2008,5th Quintile,West,No,0.99870,2346,2346,0.99724,1.00016
2009,1st Quintile,West,Yes,0.12332,146,1189,0.10462,0.14202
2009,1st Quintile,West,No,0.87668,1043,1189,0.85798,0.89538
2009,1st Quintile,East,Yes,0.20036,123,574,0.16759,0.23313
2009,1st Quintile,East,No,0.79964,451,574,0.76687,0.83241
2009,2nd Quintile,West,Yes,0.03433,47,1248,0.02422,0.04444
2009,2nd Quintile,West,No,0.96567,1201,1248,0.95556,0.97578
2009,2nd Quintile,East,No,0.97022,590,590,0.95649,0.98395
2009,3rd Quintile,West,No,0.99030,1336,1336,0.98505,0.99556
2009,3rd Quintile,East,No,0.97525,580,580,0.96260,0.98791
2009,4th Quintile,West,No,0.99793,1626,1626,0.99573,1.00014
2009,4th Quintile,East,No,0.99812,420,420,0.99397,1.00227
2009,5th Quintile,West,No,0.99662,2144,2144,0.99416,0.99908
2010,1st Quintile,West,Yes,0.11558,349,2279,0.10245,0.12871
2010,1st Quintile,West,No,0.88442,1930,2279,0.87129,0.89755
2010,1st Quintile,East,Yes,0.20726,169,863,0.18020,0.23432
2010,1st Quintile,East,No,0.79274,694,863,0.76568,0.81980
2010,2nd Quintile,West,Yes,0.03074,126,2060,0.02328,0.03819
2010,2nd Quintile,West,No,0.96926,1934,2060,0.96181,0.97672
2010,2nd Quintile,East,Yes,0.04030,57,860,0.02715,0.05345
2010,2nd Quintile,East,No,0.95970,803,860,0.94655,0.97285
2010,3rd Quintile,West,No,0.99218,1878,1878,0.98819,0.99616
2010,3rd Quintile,East,No,0.98504,640,640,0.97562,0.99445
2010,4th Quintile,West,No,0.99776,1981,1981,0.99567,0.99984
2010,5th Quintile,West,No,0.99660,2393,2393,0.99427,0.99893
2010,5th Quintile,East,No,0.99266,314,314,0.98320,1.00212
2011,1st Quintile,West,Yes,0.11483,446,2579,0.10252,0.12714
2011,1st Quintile,West,No,0.88517,2133,2579,0.87286,0.89748
2011,1st Quintile,East,Yes,0.16736,239,1076,0.14504,0.18967
2011,1st Quintile,East,No,0.83264,837,1076,0.81033,0.85496
2011,2nd Quintile,West,Yes,0.03744,185,2425,0.02988,0.04500
2011,2nd Quintile,West,No,0.96256,2240,2425,0.95500,0.97012
2011,2nd Quintile,East,Yes,0.03464,70,940,0.02295,0.04634
2011,2nd Quintile,East,No,0.96536,870,940,0.95366,0.97705
2011,3rd Quintile,West,Yes,0.00557,38,2393,0.00259,0.00855
2011,3rd Quintile,West,No,0.99443,2355,2393,0.99145,0.99741
2011,3rd Quintile,East,No,0.99042,764,764,0.98351,0.99733
2011,4th Quintile,West,No,0.99722,2477,2477,0.99515,0.99929
2011,4th Quintile,East,No,0.99418,512,512,0.98758,1.00077
2011,5th Quintile,West,No,0.99830,2770,2770,0.99677,0.99983
2011,5th Quintile,East,No,0.99976,348,348,0.99815,1.00138
2012,1st Quintile,West,Yes,0.11213,424,2501,0.09976,0.12450
2012,1st Quintile,West,No,0.88787,2077,2501,0.87550,0.90024
2012,1st Quintile,East,Yes,0.14966,219,1026,0.12782,0.17150
2012,1st Quintile,East,No,0.85034,807,1026,0.82850,0.87218
2012,2nd Quintile,West,Yes,0.02633,149,2452,0.01999,0.03267
2012,2nd Quintile,West,No,0.97367,2303,2452,0.96733,0.98001
2012,2nd Quintile,East,Yes,0.03478,54,801,0.02209,0.04748
2012,2nd Quintile,East,No,0.96522,747,801,0.95252,0.97791
2012,3rd Quintile,West,No,0.99116,2318,2318,0.98735,0.99497
2012,3rd Quintile,East,No,0.97803,768,768,0.96766,0.98841
2012,4th Quintile,West,No,0.99677,2386,2386,0.99450,0.99905
2012,4th Quintile,East,No,0.99698,558,558,0.99242,1.00154
2012,5th Quintile,West,No,0.99829,2662,2662,0.99672,0.99986
2012,5th Quintile,East,No,0.99634,430,430,0.99063,1.00206
2013,1st Quintile,West,Yes,0.09356,410,3127,0.08335,0.10377
2013,1st Quintile,West,No,0.90644,2717,3127,0.89623,0.91665
2013,1st Quintile,East,Yes,0.13838,197,1050,0.11748,0.15928
2013,1st Quintile,East,No,0.86162,853,1050,0.84072,0.88252
2013,2nd Quintile,West,Yes,0.02981,145,2857,0.02358,0.03605
2013,2nd Quintile,West,No,0.97019,2712,2857,0.96395,0.97642
2013,2nd Quintile,East,Yes,0.04016,56,939,0.02759,0.05272
2013,2nd Quintile,East,No,0.95984,883,939,0.94728,0.97241
2013,3rd Quintile,West,Yes,0.00830,35,2599,0.00481,0.01179
2013,3rd Quintile,West,No,0.99170,2564,2599,0.98821,0.99519
2013,3rd Quintile,East,No,0.98782,702,702,0.97970,0.99594
2013,4th Quintile,West,No,0.99871,2539,2539,0.99732,1.00011
2013,4th Quintile,East,No,0.99656,503,503,0.99144,1.00168
2013,5th Quintile,West,No,0.99865,2835,2835,0.99730,1.00000
2013,5th Quintile,East,No,0.99889,354,354,0.99543,1.00236
2014,1st Quintile,West,Yes,0.09390,330,2544,0.08256,0.10524
2014,1st Quintile,West,No,0.90610,2214,2544,0.89476,0.91744
2014,1st Quintile,East,Yes,0.12893,139,888,0.10687,0.15098
2014,1st Quintile,East,No,0.87107,749,888,0.84902,0.89313
2014,2nd Quintile,West,Yes,0.03205,123,2433,0.02505,0.03905
2014,2nd Quintile,West,No,0.96795,2310,2433,0.96095,0.97495
2014,2nd Quintile,East,Yes,0.02532,59,859,0.01481,0.03584
2014,2nd Quintile,East,No,0.97468,800,859,0.96416,0.98519
2014,3rd Quintile,West,No,0.99492,2339,2339,0.99204,0.99780
2014,3rd Quintile,East,No,0.99313,714,714,0.98707,0.99919
2014,4th Quintile,West,No,0.99768,2359,2359,0.99573,0.99962
2014,4th Quintile,East,No,0.99896,520,520,0.99620,1.00173
2014,5th Quintile,West,No,0.99939,2627,2627,0.99845,1.00033
2014,5th Quintile,East,No,0.99855,364,364,0.99464,1.00246
2015,1st Quintile,West,Yes,0.07605,248,2620,0.06590,0.08620
2015,1st Quintile,West,No,0.92395,2372,2620,0.91380,0.93410
2015,1st Quintile,East,Yes,0.11629,107,852,0.09475,0.13783
2015,1st Quintile,East,No,0.88371,745,852,0.86217,0.90525
2015,2nd Quintile,West,Yes,0.02252,111,2396,0.01658,0.02846
2015,2nd Quintile,West,No,0.97748,2285,2396,0.97154,0.98342
2015,2nd Quintile,East,Yes,0.02823,45,900,0.01740,0.03905
2015,2nd Quintile,East,No,0.97177,855,900,0.96095,0.98260
2015,3rd Quintile,West,No,0.99303,2288,2288,0.98962,0.99644
2015,3rd Quintile,East,No,0.99350,619,619,0.98716,0.99983
2015,4th Quintile,West,No,0.99594,2275,2275,0.99332,0.99855
2015,4th Quintile,East,No,0.99639,466,466,0.99094,1.00184
2015,5th Quintile,West,No,0.99924,2571,2571,0.99817,1.00030
2016,1st Quintile,West,Yes,0.07742,237,2263,0.06640,0.08843
2016,1st Quintile,West,No,0.92258,2026,2263,0.91157,0.93360
2016,1st Quintile,East,Yes,0.09194,88,810,0.07203,0.11185
2016,1st Quintile,East,No,0.90806,722,810,0.88815,0.92797
2016,2nd Quintile,West,Yes,0.02516,80,2223,0.01865,0.03167
2016,2nd Quintile,West,No,0.97484,2143,2223,0.96833,0.98135
2016,2nd Quintile,East,No,0.98753,762,762,0.97964,0.99541
2016,3rd Quintile,West,No,0.99282,2029,2029,0.98915,0.99650
2016,3rd Quintile,East,No,0.99025,657,657,0.98274,0.99777
2016,4th Quintile,West,No,0.99769,2172,2172,0.99568,0.99971
2016,4th Quintile,East,No,0.98910,444,444,0.97943,0.99877
2016,5th Quintile,West,No,0.99916,2400,2400,0.99800,1.00032
2016,5th Quintile,East,No,0.99981,321,321,0.99829,1.00133
2017,1st Quintile,West,Yes,0.06583,321,3690,0.05782,0.07383
