"e11102","year","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"nicht erwerbstätig","1991","Laendlicher Raum","690","0.398468637098939","0.377070879382593","0.419866394815284"
"nicht erwerbstätig","1991","Staedtischer Raum","2550","0.390961520746752","0.379841396095229","0.402081645398275"
"erwerbstätig","1992","Laendlicher Raum","3177","0.628387259923252","0.614355400783275","0.642419119063229"
"erwerbstätig","1992","Staedtischer Raum","5812","0.618520115555862","0.608278255819166","0.628761975292558"
"nicht erwerbstätig","1992","Laendlicher Raum","1379","0.371612740076748","0.357580880936771","0.385644599216725"
"nicht erwerbstätig","1992","Staedtischer Raum","2829","0.381479884444138","0.371238024707442","0.391721744180834"
"erwerbstätig","1993","Laendlicher Raum","2992","0.595691414500468","0.581392405105973","0.609990423894963"
"erwerbstätig","1993","Staedtischer Raum","5707","0.617250285457535","0.606963165780493","0.627537405134577"
"nicht erwerbstätig","1993","Laendlicher Raum","1533","0.404308585499532","0.390009576105037","0.418607594894027"
"nicht erwerbstätig","1993","Staedtischer Raum","2869","0.382749714542465","0.372462594865423","0.393036834219507"
"erwerbstätig","1994","Laendlicher Raum","2875","0.587543749401755","0.573036045896725","0.602051452906784"
"erwerbstätig","1994","Staedtischer Raum","5453","0.597970642208735","0.587516496429416","0.608424787988055"
"nicht erwerbstätig","1994","Laendlicher Raum","1548","0.412456250598245","0.397948547093216","0.426963954103275"
"nicht erwerbstätig","1994","Staedtischer Raum","2997","0.402029357791265","0.391575212011945","0.412483503570584"
"erwerbstätig","1995","Laendlicher Raum","2964","0.579611226496521","0.565313837992445","0.593908615000598"
"erwerbstätig","1995","Staedtischer Raum","5531","0.585730139772983","0.575382193666399","0.596078085879566"
"nicht erwerbstätig","1995","Laendlicher Raum","1615","0.420388773503479","0.406091384999403","0.434686162007555"
"nicht erwerbstätig","1995","Staedtischer Raum","3174","0.414269860227017","0.403921914120434","0.424617806333601"
"erwerbstätig","1996","Laendlicher Raum","2969","0.582393731175048","0.568043610543721","0.596743851806375"
"erwerbstätig","1996","Staedtischer Raum","5454","0.589623508034917","0.579173023467387","0.600073992602447"
"nicht erwerbstätig","1996","Laendlicher Raum","1568","0.417606268824952","0.403256148193625","0.431956389456279"
"nicht erwerbstätig","1996","Staedtischer Raum","3057","0.410376491965083","0.399926007397553","0.420826976532613"
"erwerbstätig","1997","Laendlicher Raum","2864","0.575476902996834","0.560983975499805","0.589969830493863"
"erwerbstätig","1997","Staedtischer Raum","5263","0.581721715074689","0.571147181373684","0.592296248775695"
"nicht erwerbstätig","1997","Laendlicher Raum","1604","0.424523097003166","0.410030169506137","0.439016024500195"
"nicht erwerbstätig","1997","Staedtischer Raum","3096","0.418278284925311","0.407703751224306","0.428852818626316"
"erwerbstätig","1998","Laendlicher Raum","3127","0.559454823237363","0.545663739943548","0.573245906531177"
"erwerbstätig","1998","Staedtischer Raum","5728","0.577534738488273","0.567474062661681","0.587595414314865"
"nicht erwerbstätig","1998","Laendlicher Raum","1851","0.440545176762637","0.426754093468823","0.454336260056452"
"nicht erwerbstätig","1998","Staedtischer Raum","3532","0.422465261511727","0.412404585685135","0.432525937338319"
"erwerbstätig","1999","Laendlicher Raum","3092","0.57776945711933","0.563811313404336","0.591727600834324"
"erwerbstätig","1999","Staedtischer Raum","5673","0.600866634965251","0.59067177467361","0.611061495256892"
"nicht erwerbstätig","1999","Laendlicher Raum","1718","0.42223054288067","0.408272399165676","0.436188686595664"
"nicht erwerbstätig","1999","Staedtischer Raum","3191","0.399133365034749","0.388938504743108","0.40932822532639"
"erwerbstätig","2000","Laendlicher Raum","5308","0.594485510214839","0.584005001300019","0.60496601912966"
"erwerbstätig","2000","Staedtischer Raum","9806","0.602729966596035","0.595069860952212","0.610390072239858"
"nicht erwerbstätig","2000","Laendlicher Raum","3123","0.405514489785161","0.39503398087034","0.415994998699981"
"nicht erwerbstätig","2000","Staedtischer Raum","5870","0.397270033403965","0.389609927760142","0.404930139047788"
"erwerbstätig","2001","Laendlicher Raum","4796","0.594245997313824","0.583241751085519","0.605250243542128"
"erwerbstätig","2001","Staedtischer Raum","9059","0.613230834641021","0.605240893387413","0.62122077589463"
"nicht erwerbstätig","2001","Laendlicher Raum","2853","0.405754002686176","0.394749756457872","0.416758248914481"
"nicht erwerbstätig","2001","Staedtischer Raum","5213","0.386769165358979","0.37877922410537","0.394759106612587"
"erwerbstätig","2002","Laendlicher Raum","4930","0.591900813299466","0.580985342992308","0.602816283606625"
"erwerbstätig","2002","Staedtischer Raum","9856","0.602391771406502","0.594621229559012","0.610162313253991"
"nicht erwerbstätig","2002","Laendlicher Raum","2858","0.408099186700534","0.397183716393375","0.419014657007692"
"nicht erwerbstätig","2002","Staedtischer Raum","5382","0.397608228593498","0.389837686746009","0.405378770440988"
"erwerbstätig","2003","Laendlicher Raum","4662","0.583746506370125","0.572565131932306","0.594927880807944"
"erwerbstätig","2003","Staedtischer Raum","9365","0.594433020445625","0.586495731673546","0.602370309217703"
"nicht erwerbstätig","2003","Laendlicher Raum","2804","0.416253493629875","0.405072119192056","0.427434868067694"
"nicht erwerbstätig","2003","Staedtischer Raum","5335","0.405566979554376","0.397629690782297","0.413504268326454"
"erwerbstätig","2004","Laendlicher Raum","4504","0.579610854096924","0.568280367955234","0.590941340238615"
"erwerbstätig","2004","Staedtischer Raum","8963","0.587896170994632","0.579834685825884","0.59595765616338"
"nicht erwerbstätig","2004","Laendlicher Raum","2787","0.420389145903075","0.409058659761385","0.431719632044766"
"nicht erwerbstätig","2004","Staedtischer Raum","5358","0.412103829005368","0.40404234383662","0.420165314174116"
"erwerbstätig","2005","Laendlicher Raum","4273","0.59020931768009","0.578666221114942","0.601752414245239"
"erwerbstätig","2005","Staedtischer Raum","8571","0.599211671925362","0.591013074170558","0.607410269680167"
"nicht erwerbstätig","2005","Laendlicher Raum","2700","0.40979068231991","0.398247585754761","0.421333778885058"
"nicht erwerbstätig","2005","Staedtischer Raum","5154","0.400788328074638","0.392589730319833","0.408986925829442"
"erwerbstätig","2006","Laendlicher Raum","4571","0.579855882247151","0.568811926207315","0.590899838286986"
"erwerbstätig","2006","Staedtischer Raum","8879","0.589813239472331","0.581833674018637","0.597792804926024"
"nicht erwerbstätig","2006","Laendlicher Raum","3102","0.420144117752849","0.409100161713014","0.431188073792685"
"nicht erwerbstätig","2006","Staedtischer Raum","5717","0.410186760527669","0.402207195073976","0.418166325981363"
"erwerbstätig","2007","Laendlicher Raum","4320","0.583103031213818","0.571736550030301","0.594469512397335"
"erwerbstätig","2007","Staedtischer Raum","8258","0.590847224570697","0.58259049608082","0.599103953060574"
"nicht erwerbstätig","2007","Laendlicher Raum","2908","0.416896968786182","0.405530487602665","0.428263449969699"
"nicht erwerbstätig","2007","Staedtischer Raum","5364","0.409152775429303","0.400896046939426","0.41740950391918"
"erwerbstätig","2008","Laendlicher Raum","4075","0.595199484054284","0.58350444155113","0.606894526557438"
"erwerbstätig","2008","Staedtischer Raum","7820","0.600820771506681","0.592338118640393","0.60930342437297"
"nicht erwerbstätig","2008","Laendlicher Raum","2692","0.404800515945716","0.393105473442561","0.41649555844887"
"nicht erwerbstätig","2008","Staedtischer Raum","4984","0.399179228493318","0.39069657562703","0.407661881359607"
"erwerbstätig","2009","Laendlicher Raum","3942","0.609700042719759","0.597779427222381","0.621620658217137"
"erwerbstätig","2009","Staedtischer Raum","7276","0.614083053614129","0.605307359772871","0.622858747455386"
"nicht erwerbstätig","2009","Laendlicher Raum","2491","0.390299957280241","0.378379341782863","0.402220572777619"
"nicht erwerbstätig","2009","Staedtischer Raum","4545","0.385916946385871","0.377141252544614","0.394692640227129"
"erwerbstätig","2010","Laendlicher Raum","5454","0.615876131479487","0.605538553493853","0.626213709465122"
"erwerbstätig","2010","Staedtischer Raum","10128","0.612300528283853","0.604709163242554","0.619891893325152"
"nicht erwerbstätig","2010","Laendlicher Raum","3050","0.384123868520513","0.373786290534878","0.394461446506147"
"nicht erwerbstätig","2010","Staedtischer Raum","5696","0.387699471716147","0.380108106674848","0.395290836757447"
"erwerbstätig","2011","Laendlicher Raum","6627","0.619711706813764","0.610399127801035","0.629024285826492"
"erwerbstätig","2011","Staedtischer Raum","11663","0.614735406156558","0.607714912210216","0.621755900102899"
"nicht erwerbstätig","2011","Laendlicher Raum","3812","0.380288293186236","0.370975714173508","0.389600872198965"
"nicht erwerbstätig","2011","Staedtischer Raum","6796","0.385264593843442","0.378244099897101","0.392285087789784"
"erwerbstätig","2012","Laendlicher Raum","6531","0.612418263343494","0.603027659044949","0.62180886764204"
"erwerbstätig","2012","Staedtischer Raum","11350","0.620552700189676","0.613429318623111","0.627676081756241"
"nicht erwerbstätig","2012","Laendlicher Raum","3809","0.387581736656506","0.37819113235796","0.396972340955051"
"nicht erwerbstätig","2012","Staedtischer Raum","6476","0.379447299810324","0.372323918243759","0.386570681376889"
"erwerbstätig","2013","Laendlicher Raum","6169","0.58207168834447","0.572742459450535","0.591400917238405"
"erwerbstätig","2013","Staedtischer Raum","10705","0.55174354613599","0.544925820002014","0.558561272269966"
"nicht erwerbstätig","2013","Laendlicher Raum","4568","0.41792831165553","0.408599082761595","0.427257540549465"
"nicht erwerbstätig","2013","Staedtischer Raum","9735","0.44825645386401","0.441438727730034","0.455074179997986"
"erwerbstätig","2014","Laendlicher Raum","6143","0.610045664457079","0.600324899360596","0.619766429553561"
"erwerbstätig","2014","Staedtischer Raum","11624","0.621138019692842","0.614047932306993","0.628228107078691"
"nicht erwerbstätig","2014","Laendlicher Raum","3528","0.389954335542921","0.380233570446439","0.399675100639403"
"nicht erwerbstätig","2014","Staedtischer Raum","6359","0.378861980307158","0.371771892921309","0.385952067693007"
"erwerbstätig","2015","Laendlicher Raum","5848","0.614831733970312","0.605061498571929","0.624601969368694"
"erwerbstätig","2015","Staedtischer Raum","10777","0.609343742953527","0.602178674925735","0.61650881098132"
"nicht erwerbstätig","2015","Laendlicher Raum","3682","0.385168266029688","0.375398030631306","0.394938501428071"
"nicht erwerbstätig","2015","Staedtischer Raum","7035","0.390656257046473","0.38349118901868","0.397821325074265"
"erwerbstätig","2016","Laendlicher Raum","5647","0.631147581257844","0.621507412711471","0.640787749804217"
"erwerbstätig","2016","Staedtischer Raum","10468","0.626874468329598","0.61984328120939","0.633905655449806"
"nicht erwerbstätig","2016","Laendlicher Raum","3976","0.368852418742156","0.359212250195783","0.378492587288529"
"nicht erwerbstätig","2016","Staedtischer Raum","7707","0.373125531670402","0.366094344550194","0.38015671879061"
"erwerbstätig","2017","Laendlicher Raum","6423","0.636792045991779","0.627743272863333","0.645840819120225"
"erwerbstätig","2017","Staedtischer Raum","11788","0.632026671904326","0.625391847450785","0.638661496357866"
"nicht erwerbstätig","2017","Laendlicher Raum","4428","0.363207954008221","0.354159180879775","0.372256727136667"
"nicht erwerbstätig","2017","Staedtischer Raum","8507","0.367973328095674","0.361338503642134","0.374608152549215"
"erwerbstätig","2018","Laendlicher Raum","6238","0.648114164405204","0.638853214077292","0.657375114733116"
"erwerbstätig","2018","Staedtischer Raum","11606","0.643332426579298","0.636620337686469","0.650044515472127"
"nicht erwerbstätig","2018","Laendlicher Raum","3977","0.351885835594796","0.342624885266884","0.361146785922708"
"nicht erwerbstätig","2018","Staedtischer Raum","7959","0.356667573420702","0.349955484527873","0.363379662313531"
"erwerbstätig","2019","Laendlicher Raum","6237","0.632324556022974","0.622857569123441","0.641791542922507"
"erwerbstätig","2019","Staedtischer Raum","11864","0.644120179720562","0.637338569004878","0.650901790436247"
"nicht erwerbstätig","2019","Laendlicher Raum","3728","0.367675443977026","0.358208457077493","0.377142430876559"
"nicht erwerbstätig","2019","Staedtischer Raum","7283","0.355879820279438","0.349098209563753","0.362661430995122"
"erwerbstätig","2020","Laendlicher Raum","6235","0.630162732458383","0.620580262269035","0.639745202647731"
"erwerbstätig","2020","Staedtischer Raum","12630","0.639171027700904","0.632558683383367","0.645783372018441"
"nicht erwerbstätig","2020","Laendlicher Raum","3515","0.369837267541617","0.360254797352269","0.379419737730965"
"nicht erwerbstätig","2020","Staedtischer Raum","7633","0.360828972299096","0.354216627981559","0.367441316616633"
