"e11102","year","age_gr","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"erwerbstätig","1986","66","weiblich","","","",""
"nicht erwerbstätig","1987","17-29","männlich","401","0.234905164906552","0.213914919759261","0.255895410053843"
"nicht erwerbstätig","1987","17-29","weiblich","490","0.273863807244062","0.25083918767244","0.296888426815684"
"nicht erwerbstätig","1987","30-45","männlich","56","0.0408887137625072","0.031023674042906","0.0507537534821083"
"nicht erwerbstätig","1987","30-45","weiblich","649","0.38344831797176","0.359771205033047","0.407125430910474"
"nicht erwerbstätig","1987","46-65","männlich","274","0.191227406145737","0.172159177750869","0.210295634540605"
"nicht erwerbstätig","1987","46-65","weiblich","878","0.572410264874133","0.547969597020802","0.596850932727465"
"nicht erwerbstätig","1987","66","männlich","","","",""
"nicht erwerbstätig","1987","66","weiblich","","","",""
"erwerbstätig","1987","17-29","männlich","1166","0.765094835093448","0.744104589946156","0.786085080240739"
"erwerbstätig","1987","17-29","weiblich","951","0.726136192755938","0.703111573184316","0.74916081232756"
"erwerbstätig","1987","30-45","männlich","1492","0.959111286237493","0.949246246517892","0.968976325957094"
"erwerbstätig","1987","30-45","weiblich","971","0.61655168202824","0.592874569089526","0.640228794966953"
"erwerbstätig","1987","46-65","männlich","1360","0.808772593854263","0.789704365459395","0.827840822249131"
"erwerbstätig","1987","46-65","weiblich","696","0.427589735125867","0.403149067272535","0.452030402979198"
"erwerbstätig","1987","66","männlich","","","",""
"erwerbstätig","1987","66","weiblich","","","",""
"nicht erwerbstätig","1988","17-29","männlich","362","0.250517330030372","0.228530462273711","0.272504197787033"
"nicht erwerbstätig","1988","17-29","weiblich","482","0.283564639619292","0.259775403271441","0.307353875967144"
"nicht erwerbstätig","1988","30-45","männlich","52","0.0392206215738752","0.0292083281892711","0.0492329149584793"
"nicht erwerbstätig","1988","30-45","weiblich","565","0.352257082761034","0.328148114580927","0.37636605094114"
"nicht erwerbstätig","1988","46-65","männlich","277","0.192596639767094","0.173146324051959","0.212046955482228"
"nicht erwerbstätig","1988","46-65","weiblich","819","0.549495198011157","0.52458080153089","0.574409594491424"
"nicht erwerbstätig","1988","66","männlich","","","",""
"nicht erwerbstätig","1988","66","weiblich","","","",""
"erwerbstätig","1988","17-29","männlich","1130","0.749482669969628","0.727495802212967","0.771469537726288"
"erwerbstätig","1988","17-29","weiblich","897","0.716435360380708","0.692646124032857","0.740224596728559"
"erwerbstätig","1988","30-45","männlich","1392","0.960779378426125","0.950767085041521","0.970791671810729"
"erwerbstätig","1988","30-45","weiblich","943","0.647742917238966","0.62363394905886","0.671851885419073"
"erwerbstätig","1988","46-65","männlich","1302","0.807403360232906","0.787953044517771","0.826853675948041"
"erwerbstätig","1988","46-65","weiblich","713","0.450504801988843","0.425590405508576","0.47541919846911"
"erwerbstätig","1988","66","männlich","","","",""
"erwerbstätig","1988","66","weiblich","","","",""
"nicht erwerbstätig","1989","17-29","männlich","346","0.256811953213279","0.234371874369585","0.279252032056973"
"nicht erwerbstätig","1989","17-29","weiblich","478","0.301913227372263","0.277612171805321","0.326214282939204"
"nicht erwerbstätig","1989","30-45","männlich","55","0.0441273339113642","0.0332836375522681","0.0549710302704603"
"nicht erwerbstätig","1989","30-45","weiblich","519","0.336827027091481","0.31261704723959","0.361037006943372"
"nicht erwerbstätig","1989","46-65","männlich","291","0.205541142420211","0.185312715895307","0.225769568945114"
"nicht erwerbstätig","1989","46-65","weiblich","762","0.54224967653713","0.516597283876885","0.567902069197375"
"nicht erwerbstätig","1989","66","männlich","","","",""
"nicht erwerbstätig","1989","66","weiblich","","","",""
"erwerbstätig","1989","17-29","männlich","1110","0.743188046786721","0.720747967943027","0.765628125630415"
"erwerbstätig","1989","17-29","weiblich","893","0.698086772627738","0.673785717060796","0.722387828194679"
"erwerbstätig","1989","30-45","männlich","1323","0.955872666088636","0.94502896972954","0.966716362447732"
"erwerbstätig","1989","30-45","weiblich","945","0.663172972908519","0.638962993056628","0.68738295276041"
"erwerbstätig","1989","46-65","männlich","1242","0.79445885757979","0.774230431054886","0.814687284104693"
"erwerbstätig","1989","46-65","weiblich","687","0.457750323462871","0.432097930802626","0.483402716123115"
"erwerbstätig","1989","66","männlich","","","",""
"erwerbstätig","1989","66","weiblich","","","",""
"nicht erwerbstätig","1990","17-29","männlich","320","0.233139585426907","0.210879201733647","0.255399969120167"
"nicht erwerbstätig","1990","17-29","weiblich","422","0.273052947075945","0.249099918930278","0.297005975221611"
"nicht erwerbstätig","1990","30-45","männlich","47","0.0363100071076114","0.0264226872595885","0.0461973269556342"
"nicht erwerbstätig","1990","30-45","weiblich","486","0.325585200763687","0.301186930381394","0.34998347114598"
"nicht erwerbstätig","1990","46-65","männlich","301","0.211220119418663","0.190494834437692","0.231945404399634"
"nicht erwerbstätig","1990","46-65","weiblich","739","0.524811906732272","0.49887443079306","0.550749382671485"
"nicht erwerbstätig","1990","66","männlich","","","",""
"nicht erwerbstätig","1990","66","weiblich","","","",""
"erwerbstätig","1990","17-29","männlich","1066","0.766860414573093","0.744600030879833","0.789120798266353"
"erwerbstätig","1990","17-29","weiblich","907","0.726947052924055","0.702994024778389","0.750900081069722"
"erwerbstätig","1990","30-45","männlich","1328","0.963689992892389","0.953802673044366","0.973577312740412"
"erwerbstätig","1990","30-45","weiblich","931","0.674414799236313","0.65001652885402","0.698813069618606"
"erwerbstätig","1990","46-65","männlich","1189","0.788779880581337","0.768054595600365","0.809505165562308"
"erwerbstätig","1990","46-65","weiblich","685","0.475188093267728","0.449250617328515","0.50112556920694"
"erwerbstätig","1990","66","männlich","","","",""
"erwerbstätig","1990","66","weiblich","","","",""
"nicht erwerbstätig","1991","17-29","männlich","298","0.215627562059284","0.193897940002395","0.237357184116173"
"nicht erwerbstätig","1991","17-29","weiblich","430","0.286682185634043","0.262175413790684","0.311188957477401"
"nicht erwerbstätig","1991","30-45","männlich","52","0.0409413142576519","0.0304979486495672","0.0513846798657366"
"nicht erwerbstätig","1991","30-45","weiblich","458","0.303447769746369","0.279660699287162","0.327234840205575"
"nicht erwerbstätig","1991","46-65","männlich","292","0.21032297799781","0.18939696807669","0.231248987918929"
"nicht erwerbstätig","1991","46-65","weiblich","697","0.501670754027711","0.475442283773045","0.527899224282378"
"nicht erwerbstätig","1991","66","männlich","","","",""
"nicht erwerbstätig","1991","66","weiblich","","","",""
"erwerbstätig","1991","17-29","männlich","1078","0.784372437940716","0.762642815883827","0.806102059997605"
"erwerbstätig","1991","17-29","weiblich","878","0.713317814365957","0.688811042522599","0.737824586209316"
"erwerbstätig","1991","30-45","männlich","1331","0.959058685742348","0.948615320134263","0.969502051350433"
"erwerbstätig","1991","30-45","weiblich","977","0.696552230253631","0.672765159794425","0.720339300712838"
"erwerbstätig","1991","46-65","männlich","1165","0.78967702200219","0.768751012081071","0.81060303192331"
"erwerbstätig","1991","46-65","weiblich","699","0.498329245972289","0.472100775717622","0.524557716226955"
"erwerbstätig","1991","66","männlich","","","",""
"erwerbstätig","1991","66","weiblich","","","",""
"nicht erwerbstätig","1992","17-29","männlich","361","0.197747384525701","0.179347174367829","0.216147594683572"
"nicht erwerbstätig","1992","17-29","weiblich","584","0.300353719508297","0.279021941507022","0.321685497509572"
"nicht erwerbstätig","1992","30-45","männlich","75","0.038197999740936","0.0299249257358534","0.0464710737460187"
"nicht erwerbstätig","1992","30-45","weiblich","496","0.247717179019116","0.229674371695038","0.265759986343194"
"nicht erwerbstätig","1992","46-65","männlich","406","0.217075880429584","0.199234400214237","0.234917360644931"
"nicht erwerbstätig","1992","46-65","weiblich","902","0.467965242859923","0.445992581888689","0.489937903831157"
"nicht erwerbstätig","1992","66","männlich","","","",""
"nicht erwerbstätig","1992","66","weiblich","","","",""
"erwerbstätig","1992","17-29","männlich","1439","0.802252615474299","0.783852405316428","0.820652825632171"
"erwerbstätig","1992","17-29","weiblich","1190","0.699646280491703","0.678314502490428","0.720978058492978"
"erwerbstätig","1992","30-45","männlich","1987","0.961802000259064","0.953528926253981","0.970075074264147"
"erwerbstätig","1992","30-45","weiblich","1703","0.752282820980884","0.734240013656806","0.770325628304962"
"erwerbstätig","1992","46-65","männlich","1645","0.782924119570416","0.765082639355069","0.800765599785763"
"erwerbstätig","1992","46-65","weiblich","1079","0.532034757140077","0.510062096168843","0.554007418111311"
"erwerbstätig","1992","66","männlich","","","",""
"erwerbstätig","1992","66","weiblich","","","",""
"nicht erwerbstätig","1993","17-29","männlich","367","0.218015377353678","0.198631436882168","0.237399317825188"
"nicht erwerbstätig","1993","17-29","weiblich","578","0.30533214522371","0.283686368923989","0.326977921523431"
"nicht erwerbstätig","1993","30-45","männlich","80","0.0395853699838908","0.0311324962238865","0.0480382437438952"
"nicht erwerbstätig","1993","30-45","weiblich","545","0.261112144383022","0.242562822328984","0.279661466437059"
"nicht erwerbstätig","1993","46-65","männlich","483","0.249366237196825","0.230513126261649","0.268219348132002"
"nicht erwerbstätig","1993","46-65","weiblich","915","0.47869610481809","0.456392109487733","0.501000100148448"
"nicht erwerbstätig","1993","66","männlich","","","",""
"nicht erwerbstätig","1993","66","weiblich","","","",""
"erwerbstätig","1993","17-29","männlich","1376","0.781984622646322","0.762600682174812","0.801368563117832"
"erwerbstätig","1993","17-29","weiblich","1161","0.69466785477629","0.673022078476569","0.716313631076011"
"erwerbstätig","1993","30-45","männlich","1964","0.960414630016109","0.951961756256105","0.968867503776114"
"erwerbstätig","1993","30-45","weiblich","1609","0.738887855616978","0.720338533562941","0.757437177671016"
"erwerbstätig","1993","46-65","männlich","1540","0.750633762803175","0.731780651867998","0.769486873738351"
"erwerbstätig","1993","46-65","weiblich","1012","0.52130389518191","0.498999899851552","0.543607890512267"
"erwerbstätig","1993","66","männlich","","","",""
"erwerbstätig","1993","66","weiblich","","","",""
"nicht erwerbstätig","1994","17-29","männlich","377","0.248595275716896","0.227715945075289","0.269474606358502"
"nicht erwerbstätig","1994","17-29","weiblich","590","0.330448200010833","0.308075261228467","0.352821138793199"
"nicht erwerbstätig","1994","30-45","männlich","97","0.0485424780256677","0.0391982826054063","0.0578866734459291"
"nicht erwerbstätig","1994","30-45","weiblich","563","0.270770483346296","0.251837326226442","0.289703640466151"
"nicht erwerbstätig","1994","46-65","männlich","518","0.26566179753501","0.246157622200635","0.285165972869385"
"nicht erwerbstätig","1994","46-65","weiblich","948","0.491360995382052","0.46899358152513","0.513728409238973"
"nicht erwerbstätig","1994","66","männlich","","","",""
"nicht erwerbstätig","1994","66","weiblich","","","",""
"erwerbstätig","1994","17-29","männlich","1269","0.751404724283104","0.730525393641498","0.772284054924711"
"erwerbstätig","1994","17-29","weiblich","1108","0.669551799989167","0.6471788612068","0.691924738771533"
"erwerbstätig","1994","30-45","männlich","1935","0.951457521974332","0.942113326554071","0.960801717394594"
"erwerbstätig","1994","30-45","weiblich","1553","0.729229516653704","0.710296359533849","0.748162673773558"
"erwerbstätig","1994","46-65","männlich","1452","0.73433820246499","0.714834027130615","0.753842377799365"
"erwerbstätig","1994","46-65","weiblich","971","0.508639004617948","0.486271590761027","0.53100641847487"
"erwerbstätig","1994","66","männlich","","","",""
"erwerbstätig","1994","66","weiblich","","","",""
"nicht erwerbstätig","1995","17-29","männlich","422","0.268864354911927","0.247393134236838","0.290335575587015"
"nicht erwerbstätig","1995","17-29","weiblich","641","0.353462023465521","0.330850420926012","0.37607362600503"
"nicht erwerbstätig","1995","30-45","männlich","112","0.0540373517750175","0.0444938505056005","0.0635808530444346"
"nicht erwerbstätig","1995","30-45","weiblich","664","0.301015134135852","0.282203432015705","0.319826836255999"
"nicht erwerbstätig","1995","46-65","männlich","535","0.272245660537782","0.252873101165423","0.291618219910141"
"nicht erwerbstätig","1995","46-65","weiblich","936","0.496830738333142","0.474576103816675","0.519085372849608"
"nicht erwerbstätig","1995","66","männlich","","","",""
"nicht erwerbstätig","1995","66","weiblich","","","",""
"erwerbstätig","1995","17-29","männlich","1216","0.731135645088073","0.709664424412985","0.752606865763162"
"erwerbstätig","1995","17-29","weiblich","1076","0.646537976534479","0.62392637399497","0.669149579073988"
"erwerbstätig","1995","30-45","männlich","2044","0.945962648224983","0.936419146955565","0.9555061494944"
"erwerbstätig","1995","30-45","weiblich","1620","0.698984865864148","0.680173163744001","0.717796567984295"
"erwerbstätig","1995","46-65","männlich","1493","0.727754339462218","0.708381780089859","0.747126898834576"
"erwerbstätig","1995","46-65","weiblich","1003","0.503169261666858","0.480914627150392","0.525423896183325"
"erwerbstätig","1995","66","männlich","","","",""
"erwerbstätig","1995","66","weiblich","","","",""
"nicht erwerbstätig","1996","17-29","männlich","391","0.264426467263615","0.242363729164665","0.286489205362565"
"nicht erwerbstätig","1996","17-29","weiblich","592","0.362254426131271","0.338906330278537","0.385602521984005"
"nicht erwerbstätig","1996","30-45","männlich","99","0.043843649890779","0.0352566870928751","0.0524306126886829"
"nicht erwerbstätig","1996","30-45","weiblich","606","0.27982777800054","0.261282901798408","0.298372654202673"
"nicht erwerbstätig","1996","46-65","männlich","520","0.272608676335051","0.252954785885347","0.292262566784754"
"nicht erwerbstätig","1996","46-65","weiblich","920","0.489744256690277","0.467442038353457","0.512046475027097"
"nicht erwerbstätig","1996","66","männlich","","","",""
"nicht erwerbstätig","1996","66","weiblich","","","",""
"erwerbstätig","1996","17-29","männlich","1144","0.735573532736385","0.713510794637435","0.757636270835335"
"erwerbstätig","1996","17-29","weiblich","1036","0.637745573868729","0.614397478015995","0.661093669721463"
"erwerbstätig","1996","30-45","männlich","2085","0.956156350109221","0.947569387311317","0.964743312907125"
"erwerbstätig","1996","30-45","weiblich","1645","0.72017222199946","0.701627345797327","0.738717098201592"
"erwerbstätig","1996","46-65","männlich","1452","0.727391323664949","0.707737433215246","0.747045214114653"
"erwerbstätig","1996","46-65","weiblich","1010","0.510255743309723","0.487953524972903","0.532557961646544"
"erwerbstätig","1996","66","männlich","","","",""
"erwerbstätig","1996","66","weiblich","","","",""
"nicht erwerbstätig","1997","17-29","männlich","410","0.268178532985076","0.245661706325568","0.290695359644584"
"nicht erwerbstätig","1997","17-29","weiblich","600","0.397264240712373","0.372832748807599","0.421695732617147"
"nicht erwerbstätig","1997","30-45","männlich","112","0.0432892388043282","0.0346970312786694","0.051881446329987"
"nicht erwerbstätig","1997","30-45","weiblich","623","0.282543865235053","0.263772642111794","0.301315088358313"
"nicht erwerbstätig","1997","46-65","männlich","516","0.285644293250801","0.26548608105882","0.305802505442782"
"nicht erwerbstätig","1997","46-65","weiblich","912","0.490016677344587","0.46767946489436","0.512353889794815"
"nicht erwerbstätig","1997","66","männlich","","","",""
"nicht erwerbstätig","1997","66","weiblich","","","",""
"erwerbstätig","1997","17-29","männlich","1077","0.731821467014924","0.709304640355416","0.754338293674432"
"erwerbstätig","1997","17-29","weiblich","941","0.602735759287627","0.578304267382853","0.627167251192401"
"erwerbstätig","1997","30-45","männlich","2043","0.956710761195672","0.948118553670013","0.965302968721331"
"erwerbstätig","1997","30-45","weiblich","1587","0.717456134764947","0.698684911641687","0.736227357888206"
"erwerbstätig","1997","46-65","männlich","1413","0.714355706749199","0.694197494557218","0.73451391894118"
"erwerbstätig","1997","46-65","weiblich","1012","0.509983322655413","0.487646110205185","0.53232053510564"
"erwerbstätig","1997","66","männlich","","","",""
"erwerbstätig","1997","66","weiblich","","","",""
"nicht erwerbstätig","1998","17-29","männlich","434","0.280309138770261","0.258063553583491","0.30255472395703"
"nicht erwerbstätig","1998","17-29","weiblich","627","0.411409790325696","0.387275226125324","0.435544354526068"
"nicht erwerbstätig","1998","30-45","männlich","135","0.0626618559397385","0.0529149661318807","0.0724087457475963"
"nicht erwerbstätig","1998","30-45","weiblich","698","0.284621849315638","0.266761505619753","0.302482193011524"
"nicht erwerbstätig","1998","46-65","männlich","632","0.29282108361014","0.273758092993583","0.311884074226698"
"nicht erwerbstätig","1998","46-65","weiblich","1060","0.491565048497095","0.470693700815706","0.512436396178483"
"nicht erwerbstätig","1998","66","männlich","","","",""
"nicht erwerbstätig","1998","66","weiblich","","","",""
"erwerbstätig","1998","17-29","männlich","1132","0.719690861229739","0.69744527604297","0.741936446416509"
"erwerbstätig","1998","17-29","weiblich","970","0.588590209674304","0.564455645473932","0.612724773874676"
"erwerbstätig","1998","30-45","männlich","2240","0.937338144060262","0.927591254252404","0.947085033868119"
"erwerbstätig","1998","30-45","weiblich","1754","0.715378150684362","0.697517806988476","0.733238494380247"
"erwerbstätig","1998","46-65","männlich","1557","0.70717891638986","0.688115925773302","0.726241907006417"
"erwerbstätig","1998","46-65","weiblich","1144","0.508434951502905","0.487563603821517","0.529306299184294"
"erwerbstätig","1998","66","männlich","","","",""
"erwerbstätig","1998","66","weiblich","","","",""
"nicht erwerbstätig","1999","17-29","männlich","349","0.23941074752507","0.217439191649729","0.26138230340041"
"nicht erwerbstätig","1999","17-29","weiblich","561","0.37839510865094","0.354045859361333","0.402744357940546"
"nicht erwerbstätig","1999","30-45","männlich","103","0.0447831804217045","0.036385128070824","0.0531812327725851"
"nicht erwerbstätig","1999","30-45","weiblich","611","0.250114491984454","0.232726357990369","0.267502625978539"
"nicht erwerbstätig","1999","46-65","männlich","581","0.273665086688504","0.254505127433625","0.292825045943384"
"nicht erwerbstätig","1999","46-65","weiblich","979","0.465495249537036","0.444206840191054","0.486783658883017"
"nicht erwerbstätig","1999","66","männlich","","","",""
"nicht erwerbstätig","1999","66","weiblich","","","",""
"erwerbstätig","1999","17-29","männlich","1100","0.76058925247493","0.73861769659959","0.782560808350271"
"erwerbstätig","1999","17-29","weiblich","963","0.62160489134906","0.597255642059454","0.645954140638667"
"erwerbstätig","1999","30-45","männlich","2227","0.955216819578296","0.946818767227415","0.963614871929176"
"erwerbstätig","1999","30-45","weiblich","1772","0.749885508015546","0.732497374021461","0.767273642009631"
"erwerbstätig","1999","46-65","männlich","1499","0.726334913311496","0.707174954056616","0.745494872566375"
"erwerbstätig","1999","46-65","weiblich","1130","0.534504750462964","0.513216341116983","0.555793159808946"
"erwerbstätig","1999","66","männlich","","","",""
"erwerbstätig","1999","66","weiblich","","","",""
"nicht erwerbstätig","2000","17-29","männlich","559","0.238319041161847","0.220611974574929","0.256026107748765"
"nicht erwerbstätig","2000","17-29","weiblich","820","0.333168652133536","0.314127863519104","0.352209440747967"
"nicht erwerbstätig","2000","30-45","männlich","194","0.0465666389419012","0.0400311053030313","0.0531021725807711"
"nicht erwerbstätig","2000","30-45","weiblich","1082","0.24805463470615","0.234949461732645","0.261159807679656"
"nicht erwerbstätig","2000","46-65","männlich","1080","0.270361723954463","0.256297414199277","0.284426033709648"
"nicht erwerbstätig","2000","46-65","weiblich","1803","0.448604862952517","0.43306726067337","0.464142465231663"
"nicht erwerbstätig","2000","66","männlich","","","",""
"nicht erwerbstätig","2000","66","weiblich","","","",""
"erwerbstätig","2000","17-29","männlich","1665","0.761680958838153","0.743973892251235","0.779388025425071"
"erwerbstätig","2000","17-29","weiblich","1534","0.666831347866464","0.647790559252033","0.685872136480896"
"erwerbstätig","2000","30-45","männlich","3799","0.953433361058099","0.946897827419229","0.959968894696969"
"erwerbstätig","2000","30-45","weiblich","3090","0.751945365293849","0.738840192320344","0.765050538267355"
"erwerbstätig","2000","46-65","männlich","2751","0.729638276045537","0.715573966290351","0.743702585800723"
"erwerbstätig","2000","46-65","weiblich","2133","0.551395137047483","0.535857534768337","0.56693273932663"
"erwerbstätig","2000","66","männlich","","","",""
"erwerbstätig","2000","66","weiblich","","","",""
"nicht erwerbstätig","2001","17-29","männlich","488","0.233793242019701","0.215155434639984","0.252431049399419"
"nicht erwerbstätig","2001","17-29","weiblich","727","0.322695642024625","0.302785534827505","0.342605749221744"
"nicht erwerbstätig","2001","30-45","männlich","171","0.0454076748431446","0.0385512548330921","0.0522640948531971"
"nicht erwerbstätig","2001","30-45","weiblich","897","0.220481858938987","0.207276283502443","0.23368743437553"
"nicht erwerbstätig","2001","46-65","männlich","997","0.274996361623769","0.26025620503018","0.289736518217358"
"nicht erwerbstätig","2001","46-65","weiblich","1539","0.423502896172944","0.407294473992802","0.439711318353086"
"nicht erwerbstätig","2001","66","männlich","","","",""
"nicht erwerbstätig","2001","66","weiblich","","","",""
"erwerbstätig","2001","17-29","männlich","1493","0.766206757980299","0.747568950600581","0.784844565360016"
"erwerbstätig","2001","17-29","weiblich","1391","0.677304357975375","0.657394250778256","0.697214465172495"
"erwerbstätig","2001","30-45","männlich","3371","0.954592325156855","0.947735905146803","0.961448745166908"
"erwerbstätig","2001","30-45","weiblich","2889","0.779518141061013","0.76631256562447","0.792723716497557"
"erwerbstätig","2001","46-65","männlich","2528","0.725003638376231","0.710263481782642","0.73974379496982"
"erwerbstätig","2001","46-65","weiblich","2031","0.576497103827056","0.560288681646914","0.592705526007198"
"erwerbstätig","2001","66","männlich","","","",""
"erwerbstätig","2001","66","weiblich","","","",""
"nicht erwerbstätig","2002","17-29","männlich","575","0.260571041064346","0.24141021939864","0.279731862730052"
"nicht erwerbstätig","2002","17-29","weiblich","740","0.331017723553065","0.311009821454354","0.351025625651775"
"nicht erwerbstätig","2002","30-45","männlich","170","0.0535190324539958","0.046131006825717","0.0609070580822745"
"nicht erwerbstätig","2002","30-45","weiblich","878","0.233041001446963","0.219729885076682","0.246352117817244"
"nicht erwerbstätig","2002","46-65","männlich","955","0.276319661078731","0.262337111842095","0.290302210315367"
"nicht erwerbstätig","2002","46-65","weiblich","1535","0.409655012776429","0.394270266540071","0.425039759012788"
"nicht erwerbstätig","2002","66","männlich","","","",""
"nicht erwerbstätig","2002","66","weiblich","","","",""
"erwerbstätig","2002","17-29","männlich","1441","0.739428958935654","0.720268137269948","0.75858978060136"
"erwerbstätig","2002","17-29","weiblich","1385","0.668982276446935","0.648974374348225","0.688990178545646"
"erwerbstätig","2002","30-45","männlich","3395","0.946480967546004","0.939092941917725","0.953868993174283"
"erwerbstätig","2002","30-45","weiblich","2997","0.766958998553037","0.753647882182756","0.780270114923318"
"erwerbstätig","2002","46-65","männlich","2974","0.723680338921269","0.709697789684633","0.737662888157905"
"erwerbstätig","2002","46-65","weiblich","2390","0.590344987223571","0.574960240987212","0.605729733459929"
"erwerbstätig","2002","66","männlich","","","",""
"erwerbstätig","2002","66","weiblich","","","",""
"nicht erwerbstätig","2003","17-29","männlich","597","0.293339177403309","0.273042604819697","0.313635749986921"
"nicht erwerbstätig","2003","17-29","weiblich","751","0.349133859200903","0.328618197020812","0.369649521380995"
"nicht erwerbstätig","2003","30-45","männlich","181","0.0600192823925235","0.0519507217939238","0.0680878429911232"
"nicht erwerbstätig","2003","30-45","weiblich","805","0.233162434672276","0.219365080671634","0.246959788672919"
"nicht erwerbstätig","2003","46-65","männlich","891","0.271943609725472","0.257711638454622","0.286175580996321"
"nicht erwerbstätig","2003","46-65","weiblich","1472","0.406664072535194","0.391080923040737","0.422247222029652"
"nicht erwerbstätig","2003","66","männlich","","","",""
"nicht erwerbstätig","2003","66","weiblich","","","",""
"erwerbstätig","2003","17-29","männlich","1336","0.706660822596691","0.686364250013079","0.726957395180303"
"erwerbstätig","2003","17-29","weiblich","1323","0.650866140799097","0.630350478619005","0.671381802979188"
"erwerbstätig","2003","30-45","männlich","3148","0.939980717607476","0.931912157008877","0.948049278206076"
"erwerbstätig","2003","30-45","weiblich","2803","0.766837565327724","0.753040211327081","0.780634919328366"
"erwerbstätig","2003","46-65","männlich","2864","0.728056390274528","0.713824419003679","0.742288361545378"
"erwerbstätig","2003","46-65","weiblich","2345","0.593335927464806","0.577752777970348","0.608919076959263"
"erwerbstätig","2003","66","männlich","","","",""
"erwerbstätig","2003","66","weiblich","","","",""
