"e11102","year","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"erwerbstätig","1992","Ostdeutschland","2943","","",""
"nicht erwerbstätig","1993","Westdeutschland","3157","0.390003371761992","0.380075428703093","0.39993131482089"
"nicht erwerbstätig","1993","Ostdeutschland","1245","","",""
"erwerbstätig","1993","Westdeutschland","6115","0.609996628238008","0.60006868517911","0.619924571296907"
"erwerbstätig","1993","Ostdeutschland","2584","","",""
"nicht erwerbstätig","1994","Westdeutschland","3221","0.40218783227695","0.392112208012324","0.412263456541575"
"nicht erwerbstätig","1994","Ostdeutschland","1324","","",""
"erwerbstätig","1994","Westdeutschland","5877","0.59781216772305","0.587736543458425","0.607887791987676"
"erwerbstätig","1994","Ostdeutschland","2451","","",""
"nicht erwerbstätig","1995","Westdeutschland","3488","0.414525055974101","0.404665764734167","0.424384347214035"
"nicht erwerbstätig","1995","Ostdeutschland","1301","","",""
"erwerbstätig","1995","Westdeutschland","6103","0.585474944025899","0.575615652785965","0.595334235265833"
"erwerbstätig","1995","Ostdeutschland","2392","","",""
"nicht erwerbstätig","1996","Westdeutschland","3340","0.410760335620989","0.400795787122398","0.42072488411958"
"nicht erwerbstätig","1996","Ostdeutschland","1285","","",""
"erwerbstätig","1996","Westdeutschland","6024","0.589239664379011","0.57927511588042","0.599204212877602"
"erwerbstätig","1996","Ostdeutschland","2399","","",""
"nicht erwerbstätig","1997","Westdeutschland","3379","0.417718310123739","0.407637297365425","0.427799322882052"
"nicht erwerbstätig","1997","Ostdeutschland","1322","","",""
"erwerbstätig","1997","Westdeutschland","5815","0.582281689876261","0.572200677117948","0.592362702634575"
"erwerbstätig","1997","Ostdeutschland","2312","","",""
"nicht erwerbstätig","1998","Westdeutschland","3968","0.427171780778319","0.417652385033016","0.436691176523623"
"nicht erwerbstätig","1998","Ostdeutschland","1415","","",""
"erwerbstätig","1998","Westdeutschland","6405","0.57282821922168","0.563308823476377","0.582347614966984"
"erwerbstätig","1998","Ostdeutschland","2450","","",""
"nicht erwerbstätig","1999","Westdeutschland","3541","0.401186716644056","0.391527387268408","0.410846046019704"
"nicht erwerbstätig","1999","Ostdeutschland","1368","","",""
"erwerbstätig","1999","Westdeutschland","6350","0.598813283355944","0.589153953980296","0.608472612731592"
"erwerbstätig","1999","Ostdeutschland","2415","","",""
"nicht erwerbstätig","2000","Westdeutschland","6773","0.393534185787637","0.386448139388155","0.400620232187119"
"nicht erwerbstätig","2000","Ostdeutschland","2220","","",""
"erwerbstätig","2000","Westdeutschland","11486","","",""
"erwerbstätig","2000","Ostdeutschland","3628","0.573122846490154","0.560445752052559","0.585799940927749"
"nicht erwerbstätig","2001","Westdeutschland","5964","0.384446072595658","0.377020307430033","0.391871837761284"
"nicht erwerbstätig","2001","Ostdeutschland","2102","","",""
"erwerbstätig","2001","Westdeutschland","10522","","",""
"erwerbstätig","2001","Ostdeutschland","3333","0.57126799610981","0.558110864590008","0.584425127629613"
"nicht erwerbstätig","2002","Westdeutschland","6142","0.391491303621487","0.384279843134333","0.398702764108641"
"nicht erwerbstätig","2002","Ostdeutschland","2098","","",""
"erwerbstätig","2002","Westdeutschland","11455","","",""
"erwerbstätig","2002","Ostdeutschland","3331","0.558431071119497","0.545222002062176","0.571640140176818"
"nicht erwerbstätig","2003","Westdeutschland","6022","0.399227990038631","0.391827259136137","0.406628720941124"
"nicht erwerbstätig","2003","Ostdeutschland","2117","","",""
"erwerbstätig","2003","Westdeutschland","10800","","",""
"erwerbstätig","2003","Ostdeutschland","3227","0.549100738311578","0.535759976133162","0.562441500489995"
"nicht erwerbstätig","2004","Westdeutschland","5998","0.403006285936382","0.395496757734028","0.410515814138736"
"nicht erwerbstätig","2004","Ostdeutschland","2147","","",""
"erwerbstätig","2004","Westdeutschland","10391","","",""
"erwerbstätig","2004","Ostdeutschland","3076","0.534162063427143","0.520633800815186","0.547690326039101"
"nicht erwerbstätig","2005","Westdeutschland","5762","0.391705788843712","0.384060829451424","0.399350748236"
"nicht erwerbstätig","2005","Ostdeutschland","2092","","",""
"erwerbstätig","2005","Westdeutschland","9899","0.608294211156288","0.600649251764","0.615939170548576"
"erwerbstätig","2005","Ostdeutschland","2945","","",""
"nicht erwerbstätig","2006","Westdeutschland","6517","0.402126558162177","0.394734724172618","0.409518392151737"
"nicht erwerbstätig","2006","Ostdeutschland","2302","","",""
"erwerbstätig","2006","Westdeutschland","10386","","",""
"erwerbstätig","2006","Ostdeutschland","3064","0.538108481368804","0.524769346325456","0.551447616412153"
"nicht erwerbstätig","2007","Westdeutschland","6102","0.401513577795514","0.393860303945369","0.40916685164566"
"nicht erwerbstätig","2007","Ostdeutschland","2170","","",""
"erwerbstätig","2007","Westdeutschland","9658","0.598486422204486","0.59083314835434","0.606139696054631"
"erwerbstätig","2007","Ostdeutschland","2920","","",""
"nicht erwerbstätig","2008","Westdeutschland","5670","0.39255647308705","0.384679401236154","0.400433544937946"
"nicht erwerbstätig","2008","Ostdeutschland","2006","","",""
"erwerbstätig","2008","Westdeutschland","9093","0.60744352691295","0.599566455062054","0.615320598763846"
"erwerbstätig","2008","Ostdeutschland","2802","","",""
"nicht erwerbstätig","2009","Westdeutschland","5159","0.379524509238434","0.371393886924606","0.387655131552262"
"nicht erwerbstätig","2009","Ostdeutschland","1877","","",""
"erwerbstätig","2009","Westdeutschland","8525","0.620475490761566","0.612344868447738","0.628606113075394"
"erwerbstätig","2009","Ostdeutschland","2693","","",""
"nicht erwerbstätig","2010","Westdeutschland","6647","0.382136058461221","0.375192252369924","0.389079864552518"
"nicht erwerbstätig","2010","Ostdeutschland","2099","","",""
"erwerbstätig","2010","Westdeutschland","12164","","",""
"erwerbstätig","2010","Ostdeutschland","3418","0.593612942980765","0.580652548703983","0.606573337257546"
"nicht erwerbstätig","2011","Westdeutschland","8137","0.379439271173691","0.373100792358856","0.385777749988527"
"nicht erwerbstätig","2011","Ostdeutschland","2471","","",""
"erwerbstätig","2011","Westdeutschland","14377","","",""
"erwerbstätig","2011","Ostdeutschland","3913","0.597409931586109","0.585379827097978","0.609440036074239"
"nicht erwerbstätig","2012","Westdeutschland","7833","0.375328684023101","0.368918955077648","0.381738412968555"
"nicht erwerbstätig","2012","Ostdeutschland","2452","","",""
"erwerbstätig","2012","Westdeutschland","14089","","",""
"erwerbstätig","2012","Ostdeutschland","3792","0.586424149655968","0.574208961727809","0.598639337584127"
"nicht erwerbstätig","2013","Westdeutschland","11683","","",""
"nicht erwerbstätig","2013","Ostdeutschland","2620","","",""
"erwerbstätig","2013","Westdeutschland","13292","","",""
"erwerbstätig","2013","Ostdeutschland","3582","0.57687893962983","0.564583137281103","0.589174741978558"
"nicht erwerbstätig","2014","Westdeutschland","7666","0.377983215748366","0.371573890826104","0.384392540670628"
"nicht erwerbstätig","2014","Ostdeutschland","2221","","",""
"erwerbstätig","2014","Westdeutschland","14320","","",""
"erwerbstätig","2014","Ostdeutschland","3447","0.59667909196116","0.583907973054693","0.609450210867627"
"nicht erwerbstätig","2015","Westdeutschland","8462","0.385120078275211","0.378667171916707","0.391572984633715"
"nicht erwerbstätig","2015","Ostdeutschland","2255","","",""
"erwerbstätig","2015","Westdeutschland","13384","","",""
"erwerbstätig","2015","Ostdeutschland","3241","0.593576255992211","0.580590939918142","0.606561572066279"
"nicht erwerbstätig","2016","Westdeutschland","9193","0.371235074892055","0.364873836564229","0.377596313219882"
"nicht erwerbstätig","2016","Ostdeutschland","2490","","",""
"erwerbstätig","2016","Westdeutschland","12966","","",""
"erwerbstätig","2016","Ostdeutschland","3149","0.625825493335188","0.613195277671696","0.63845570899868"
"nicht erwerbstätig","2017","Westdeutschland","10286","","",""
"nicht erwerbstätig","2017","Ostdeutschland","2649","","",""
"erwerbstätig","2017","Westdeutschland","14591","","",""
"erwerbstätig","2017","Ostdeutschland","3620","0.619999342168804","0.607983983354087","0.632014700983521"
"nicht erwerbstätig","2018","Westdeutschland","9387","0.352570854766766","0.346482287309479","0.358659422224053"
"nicht erwerbstätig","2018","Ostdeutschland","2549","","",""
"erwerbstätig","2018","Westdeutschland","14267","","",""
"erwerbstätig","2018","Ostdeutschland","3577","0.632320987203189","0.620246663533551","0.644395310872827"
"nicht erwerbstätig","2019","Westdeutschland","8760","0.35228680503352","0.34617632117411","0.358397288892929"
"nicht erwerbstätig","2019","Ostdeutschland","2406","","",""
"erwerbstätig","2019","Westdeutschland","14716","","",""
"erwerbstätig","2019","Ostdeutschland","3710","0.606404007848729","0.594160081235361","0.618647934462098"
"nicht erwerbstätig","2020","Westdeutschland","8769","0.358436338299211","0.352376734552035","0.364495942046387"
"nicht erwerbstätig","2020","Ostdeutschland","2379","","",""
"erwerbstätig","2020","Westdeutschland","15289","","",""
"erwerbstätig","2020","Ostdeutschland","3576","0.611155788888726","0.598774353607571","0.62353722416988"
