"e11102","year","age_gr","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"erwerbstätig","1995","17-29","5 Einkommensstärkstes Quintil","85","0.714433570100323","0.630782099111089","0.798085041089557"
"erwerbstätig","1995","30-45","1 Einkommensschwächstes Quintil","1258","0.691773247356146","0.670181924225212","0.71336457048708"
"erwerbstätig","1995","30-45","2","1063","0.846077877176839","0.825951282334897","0.866204472018782"
"erwerbstätig","1995","30-45","3","649","0.89543180887126","0.873127180117373","0.917736437625147"
"erwerbstätig","1995","30-45","4","442","0.943645064208847","0.922617090797157","0.964673037620537"
"erwerbstätig","1995","30-45","5 Einkommensstärkstes Quintil","252","0.957112149487962","0.932626097254891","0.981598201721033"
"erwerbstätig","1995","46-65","1 Einkommensschwächstes Quintil","597","0.428892292199434","0.402203445094656","0.455581139304213"
"erwerbstätig","1995","46-65","2","729","0.589341046361715","0.561140025587794","0.617542067135637"
"erwerbstätig","1995","46-65","3","541","0.705465335269251","0.671983123317289","0.738947547221213"
"erwerbstätig","1995","46-65","4","406","0.804031747034776","0.769133842064793","0.838929652004758"
"erwerbstätig","1995","46-65","5 Einkommensstärkstes Quintil","223","0.814264169240649","0.767704358894106","0.860823979587192"
"erwerbstätig","1995","66","1 Einkommensschwächstes Quintil","","","",""
"erwerbstätig","1995","66","2","","","",""
"erwerbstätig","1995","66","3","","","",""
"erwerbstätig","1995","66","4","","","",""
"erwerbstätig","1995","66","5 Einkommensstärkstes Quintil","","","",""
"nicht erwerbstätig","1996","17-29","1 Einkommensschwächstes Quintil","481","0.380911981956877","0.354214897702862","0.407609066210892"
"nicht erwerbstätig","1996","17-29","2","287","0.316865955956419","0.28603870346267","0.347693208450168"
"nicht erwerbstätig","1996","17-29","3","120","0.2417771659962","0.205896499736759","0.277657832255642"
"nicht erwerbstätig","1996","17-29","4","57","0.185489164469771","0.144112455234733","0.22686587370481"
"nicht erwerbstätig","1996","17-29","5 Einkommensstärkstes Quintil","38","0.286104656802566","0.208713349824879","0.363495963780253"
"nicht erwerbstätig","1996","30-45","1 Einkommensschwächstes Quintil","415","0.274903255596296","0.252561189599026","0.297245321593567"
"nicht erwerbstätig","1996","30-45","2","167","0.148611303398875","0.129319787102897","0.167902819694852"
"nicht erwerbstätig","1996","30-45","3","75","0.0994008446370745","0.0784170813174552","0.120384607956694"
"nicht erwerbstätig","1996","30-45","4","32","0.0639855217836067","0.0431308962453667","0.0848401473218467"
"nicht erwerbstätig","1996","30-45","5 Einkommensstärkstes Quintil","16","","",""
"nicht erwerbstätig","1996","46-65","1 Einkommensschwächstes Quintil","653","0.585511382344364","0.557462672401785","0.613560092286942"
"nicht erwerbstätig","1996","46-65","2","440","0.418033939918955","0.389402033508395","0.446665846329515"
"nicht erwerbstätig","1996","46-65","3","194","0.289913049478369","0.257397811276517","0.32242828768022"
"nicht erwerbstätig","1996","46-65","4","102","0.214652949696205","0.178736328747828","0.250569570644582"
"nicht erwerbstätig","1996","46-65","5 Einkommensstärkstes Quintil","51","0.16935442929195","0.128702573965843","0.210006284618058"
"nicht erwerbstätig","1996","66","1 Einkommensschwächstes Quintil","","","",""
"nicht erwerbstätig","1996","66","2","","","",""
"nicht erwerbstätig","1996","66","3","","","",""
"nicht erwerbstätig","1996","66","4","","","",""
"nicht erwerbstätig","1996","66","5 Einkommensstärkstes Quintil","","","",""
"erwerbstätig","1996","17-29","1 Einkommensschwächstes Quintil","790","0.619088018043123","0.592390933789108","0.645785102297138"
"erwerbstätig","1996","17-29","2","588","0.683134044043581","0.652306791549832","0.71396129653733"
"erwerbstätig","1996","17-29","3","427","0.7582228340038","0.722342167744358","0.794103500263241"
"erwerbstätig","1996","17-29","4","282","0.814510835530229","0.773134126295191","0.855887544765268"
"erwerbstätig","1996","17-29","5 Einkommensstärkstes Quintil","93","0.713895343197434","0.636504036219746","0.791286650175121"
"erwerbstätig","1996","30-45","1 Einkommensschwächstes Quintil","1119","0.725096744403704","0.702754678406433","0.747438810400975"
"erwerbstätig","1996","30-45","2","1139","0.851388696601125","0.832097180305148","0.870680212897103"
"erwerbstätig","1996","30-45","3","706","0.900599155362925","0.879615392043306","0.921582918682545"
"erwerbstätig","1996","30-45","4","497","0.936014478216393","0.915159852678153","0.956869103754633"
"erwerbstätig","1996","30-45","5 Einkommensstärkstes Quintil","269","0.912940314796361","0.880209606765459","0.945671022827262"
"erwerbstätig","1996","46-65","1 Einkommensschwächstes Quintil","532","0.414488617655636","0.386439907713058","0.442537327598215"
"erwerbstätig","1996","46-65","2","700","0.581966060081045","0.553334153670484","0.610597966491605"
"erwerbstätig","1996","46-65","3","554","0.710086950521631","0.67757171231978","0.742602188723483"
"erwerbstätig","1996","46-65","4","400","0.785347050303795","0.749430429355418","0.821263671252172"
"erwerbstätig","1996","46-65","5 Einkommensstärkstes Quintil","276","0.83064557070805","0.789993715381942","0.871297426034157"
"erwerbstätig","1996","66","1 Einkommensschwächstes Quintil","","","",""
"erwerbstätig","1996","66","2","","","",""
"erwerbstätig","1996","66","3","","","",""
"erwerbstätig","1996","66","4","","","",""
"erwerbstätig","1996","66","5 Einkommensstärkstes Quintil","","","",""
"nicht erwerbstätig","1997","17-29","1 Einkommensschwächstes Quintil","518","0.451768299966359","0.423288362344401","0.480248237588317"
"nicht erwerbstätig","1997","17-29","2","265","0.291039256385111","0.260080591981798","0.321997920788424"
"nicht erwerbstätig","1997","17-29","3","134","0.258872643659263","0.223070941920574","0.294674345397951"
"nicht erwerbstätig","1997","17-29","4","63","0.19638476139603","0.154281764270378","0.238487758521682"
"nicht erwerbstätig","1997","17-29","5 Einkommensstärkstes Quintil","30","0.24438362917188","0.164441937204075","0.324325321139684"
"nicht erwerbstätig","1997","30-45","1 Einkommensschwächstes Quintil","417","0.279316863844306","0.256183705746083","0.30245002194253"
"nicht erwerbstätig","1997","30-45","2","197","0.154810600631412","0.135185124420769","0.174436076842055"
"nicht erwerbstätig","1997","30-45","3","70","0.10550054089106","0.083816596430066","0.127184485352054"
"nicht erwerbstätig","1997","30-45","4","34","0.0683792170647639","0.0470715768722555","0.0896868572572723"
"nicht erwerbstätig","1997","30-45","5 Einkommensstärkstes Quintil","17","","",""
"nicht erwerbstätig","1997","46-65","1 Einkommensschwächstes Quintil","625","0.554809020141856","0.526392290687014","0.583225749596698"
"nicht erwerbstätig","1997","46-65","2","432","0.443964055944355","0.414263184127905","0.473664927760805"
"nicht erwerbstätig","1997","46-65","3","213","0.317241167694482","0.284218340235134","0.35026399515383"
"nicht erwerbstätig","1997","46-65","4","105","0.220376935682164","0.18478475161436","0.255969119749969"
"nicht erwerbstätig","1997","46-65","5 Einkommensstärkstes Quintil","53","0.170718200914658","0.129428310616548","0.212008091212768"
"nicht erwerbstätig","1997","66","1 Einkommensschwächstes Quintil","","","",""
"nicht erwerbstätig","1997","66","2","","","",""
"nicht erwerbstätig","1997","66","3","","","",""
"nicht erwerbstätig","1997","66","4","","","",""
"nicht erwerbstätig","1997","66","5 Einkommensstärkstes Quintil","","","",""
"erwerbstätig","1997","17-29","1 Einkommensschwächstes Quintil","655","0.548231700033641","0.519751762411683","0.576711637655599"
"erwerbstätig","1997","17-29","2","562","0.708960743614889","0.678002079211576","0.739919408018202"
"erwerbstätig","1997","17-29","3","441","0.741127356340737","0.705325654602049","0.776929058079426"
"erwerbstätig","1997","17-29","4","279","0.80361523860397","0.761512241478318","0.845718235729622"
"erwerbstätig","1997","17-29","5 Einkommensstärkstes Quintil","81","0.75561637082812","0.675674678860316","0.835558062795925"
"erwerbstätig","1997","30-45","1 Einkommensschwächstes Quintil","1028","0.720683136155694","0.69754997805747","0.743816294253917"
"erwerbstätig","1997","30-45","2","1108","0.845189399368588","0.825563923157945","0.864814875579231"
"erwerbstätig","1997","30-45","3","701","0.89449945910894","0.872815514647946","0.916183403569934"
"erwerbstätig","1997","30-45","4","505","0.931620782935236","0.910313142742728","0.952928423127745"
"erwerbstätig","1997","30-45","5 Einkommensstärkstes Quintil","288","0.954762961440714","0.931439498323365","0.978086424558063"
"erwerbstätig","1997","46-65","1 Einkommensschwächstes Quintil","550","0.445190979858144","0.416774250403302","0.473607709312986"
"erwerbstätig","1997","46-65","2","643","0.556035944055645","0.526335072239195","0.585736815872095"
"erwerbstätig","1997","46-65","3","550","0.682758832305518","0.64973600484617","0.715781659764866"
"erwerbstätig","1997","46-65","4","416","0.779623064317836","0.744030880250031","0.81521524838564"
"erwerbstätig","1997","46-65","5 Einkommensstärkstes Quintil","266","0.829281799085342","0.787991908787232","0.870571689383452"
"erwerbstätig","1997","66","1 Einkommensschwächstes Quintil","","","",""
"erwerbstätig","1997","66","2","","","",""
"erwerbstätig","1997","66","3","","","",""
"erwerbstätig","1997","66","4","","","",""
"erwerbstätig","1997","66","5 Einkommensstärkstes Quintil","","","",""
"nicht erwerbstätig","1998","17-29","1 Einkommensschwächstes Quintil","545","0.445306544976278","0.417710608930635","0.472902481021921"
"nicht erwerbstätig","1998","17-29","2","263","0.298805308054638","0.267960904722514","0.329649711386761"
"nicht erwerbstätig","1998","17-29","3","126","0.254563565820167","0.21828946636839","0.290837665271943"
"nicht erwerbstätig","1998","17-29","4","81","0.240465169482942","0.197496072234714","0.283434266731171"
"nicht erwerbstätig","1998","17-29","5 Einkommensstärkstes Quintil","46","0.352367913002702","0.272375248435287","0.432360577570117"
"nicht erwerbstätig","1998","30-45","1 Einkommensschwächstes Quintil","467","0.314857284098532","0.291787093652336","0.337927474544729"
"nicht erwerbstätig","1998","30-45","2","216","0.163571973270459","0.144098868045769","0.18304507849515"
"nicht erwerbstätig","1998","30-45","3","87","0.104449465830843","0.0841846703626594","0.124714261299026"
"nicht erwerbstätig","1998","30-45","4","50","0.0712178734821805","0.0515518373948892","0.0908839095694717"
"nicht erwerbstätig","1998","30-45","5 Einkommensstärkstes Quintil","13","","",""
"nicht erwerbstätig","1998","46-65","1 Einkommensschwächstes Quintil","684","0.545487995938069","0.518326714991823","0.572649276884316"
"nicht erwerbstätig","1998","46-65","2","520","0.459713184932602","0.431574083035193","0.487852286830012"
"nicht erwerbstätig","1998","46-65","3","247","0.323884681372542","0.291598482653787","0.356170880091296"
"nicht erwerbstätig","1998","46-65","4","166","0.250721252882277","0.217950928805286","0.283491576959267"
"nicht erwerbstätig","1998","46-65","5 Einkommensstärkstes Quintil","75","0.186003430244465","0.148701464902215","0.223305395586716"
"nicht erwerbstätig","1998","66","1 Einkommensschwächstes Quintil","","","",""
"nicht erwerbstätig","1998","66","2","","","",""
"nicht erwerbstätig","1998","66","3","","","",""
"nicht erwerbstätig","1998","66","4","","","",""
"nicht erwerbstätig","1998","66","5 Einkommensstärkstes Quintil","","","",""
"erwerbstätig","1998","17-29","1 Einkommensschwächstes Quintil","701","0.554693455023722","0.527097518978079","0.582289391069365"
"erwerbstätig","1998","17-29","2","583","0.701194691945362","0.670350288613239","0.732039095277486"
"erwerbstätig","1998","17-29","3","428","0.745436434179833","0.709162334728057","0.78171053363161"
"erwerbstätig","1998","17-29","4","299","0.759534830517058","0.716565733268829","0.802503927765286"
"erwerbstätig","1998","17-29","5 Einkommensstärkstes Quintil","91","0.647632086997298","0.567639422429883","0.727624751564713"
"erwerbstätig","1998","30-45","1 Einkommensschwächstes Quintil","1090","0.685142715901468","0.662072525455271","0.708212906347664"
"erwerbstätig","1998","30-45","2","1170","0.836428026729541","0.81695492150485","0.855901131954231"
"erwerbstätig","1998","30-45","3","788","0.895550534169157","0.875285738700974","0.915815329637341"
"erwerbstätig","1998","30-45","4","607","0.92878212651782","0.909116090430528","0.948448162605111"
"erwerbstätig","1998","30-45","5 Einkommensstärkstes Quintil","339","0.95390584848643","0.932000385962388","0.975811311010472"
"erwerbstätig","1998","46-65","1 Einkommensschwächstes Quintil","607","0.454512004061931","0.427350723115685","0.481673285008177"
"erwerbstätig","1998","46-65","2","685","0.540286815067398","0.512147713169988","0.568425916964807"
"erwerbstätig","1998","46-65","3","560","0.676115318627458","0.643829119908704","0.708401517346213"
"erwerbstätig","1998","46-65","4","506","0.749278747117723","0.716508423040733","0.782049071194714"
"erwerbstätig","1998","46-65","5 Einkommensstärkstes Quintil","343","0.813996569755535","0.776694604413284","0.851298535097785"
"erwerbstätig","1998","66","1 Einkommensschwächstes Quintil","","","",""
"erwerbstätig","1998","66","2","","","",""
"erwerbstätig","1998","66","3","","","",""
"erwerbstätig","1998","66","4","","","",""
"erwerbstätig","1998","66","5 Einkommensstärkstes Quintil","","","",""
"nicht erwerbstätig","1999","17-29","1 Einkommensschwächstes Quintil","439","0.410993768266519","0.381430336898988","0.44055719963405"
"nicht erwerbstätig","1999","17-29","2","262","0.290459699446039","0.260030080827672","0.320889318064406"
"nicht erwerbstätig","1999","17-29","3","92","0.202096428640591","0.167245245449","0.236947611832181"
"nicht erwerbstätig","1999","17-29","4","68","0.180161667348455","0.142116424204422","0.218206910492488"
"nicht erwerbstätig","1999","17-29","5 Einkommensstärkstes Quintil","49","0.350641898346595","0.274784082651102","0.426499714042088"
"nicht erwerbstätig","1999","30-45","1 Einkommensschwächstes Quintil","351","0.272725166792962","0.248543414347291","0.296906919238633"
"nicht erwerbstätig","1999","30-45","2","219","0.144248446398275","0.1262326940442","0.162264198752351"
"nicht erwerbstätig","1999","30-45","3","84","0.103385118654228","0.0829892035645443","0.123781033743912"
"nicht erwerbstätig","1999","30-45","4","43","0.0602846674595521","0.0424996021970625","0.0780697327220417"
"nicht erwerbstätig","1999","30-45","5 Einkommensstärkstes Quintil","17","","",""
"nicht erwerbstätig","1999","46-65","1 Einkommensschwächstes Quintil","551","0.543018059542246","0.512625666440648","0.573410452643845"
"nicht erwerbstätig","1999","46-65","2","493","0.438409612921054","0.409719124382716","0.467100101459392"
"nicht erwerbstätig","1999","46-65","3","277","0.324321628284565","0.292702491459069","0.355940765110062"
"nicht erwerbstätig","1999","46-65","4","171","0.254931309864012","0.222986168406159","0.286876451321864"
"nicht erwerbstätig","1999","46-65","5 Einkommensstärkstes Quintil","68","0.15696702503911","0.123394321549506","0.190539728528714"
"nicht erwerbstätig","1999","66","1 Einkommensschwächstes Quintil","","","",""
"nicht erwerbstätig","1999","66","2","","","",""
"nicht erwerbstätig","1999","66","3","","","",""
"nicht erwerbstätig","1999","66","4","","","",""
"nicht erwerbstätig","1999","66","5 Einkommensstärkstes Quintil","","","",""
"erwerbstätig","1999","17-29","1 Einkommensschwächstes Quintil","625","0.589006231733481","0.559442800365951","0.618569663101012"
"erwerbstätig","1999","17-29","2","593","0.709540300553961","0.679110681935595","0.739969919172328"
"erwerbstätig","1999","17-29","3","418","0.797903571359409","0.763052388167819","0.832754754551"
"erwerbstätig","1999","17-29","4","324","0.819838332651545","0.781793089507512","0.857883575795578"
"erwerbstätig","1999","17-29","5 Einkommensstärkstes Quintil","103","0.649358101653405","0.573500285957911","0.725215917348898"
"erwerbstätig","1999","30-45","1 Einkommensschwächstes Quintil","952","0.727274833207038","0.703093080761367","0.751456585652709"
"erwerbstätig","1999","30-45","2","1242","0.855751553601725","0.837735801247649","0.8737673059558"
"erwerbstätig","1999","30-45","3","772","0.896614881345772","0.876218966256088","0.917010796435456"
"erwerbstätig","1999","30-45","4","645","0.939715332540448","0.921930267277958","0.957500397802937"
"erwerbstätig","1999","30-45","5 Einkommensstärkstes Quintil","388","0.95276209317393","0.932100769705984","0.973423416641875"
"erwerbstätig","1999","46-65","1 Einkommensschwächstes Quintil","481","0.456981940457754","0.426589547356155","0.487374333559352"
"erwerbstätig","1999","46-65","2","656","0.561590387078946","0.532899898540608","0.590280875617284"
"erwerbstätig","1999","46-65","3","565","0.675678371715435","0.644059234889938","0.707297508540931"
"erwerbstätig","1999","46-65","4","544","0.745068690135988","0.713123548678136","0.777013831593841"
"erwerbstätig","1999","46-65","5 Einkommensstärkstes Quintil","383","0.84303297496089","0.809460271471287","0.876605678450494"
"erwerbstätig","1999","66","1 Einkommensschwächstes Quintil","","","",""
"erwerbstätig","1999","66","2","","","",""
"erwerbstätig","1999","66","3","","","",""
"erwerbstätig","1999","66","4","","","",""
"erwerbstätig","1999","66","5 Einkommensstärkstes Quintil","","","",""
"nicht erwerbstätig","2000","17-29","1 Einkommensschwächstes Quintil","615","0.385631105385081","0.361297201094389","0.409965009675774"
"nicht erwerbstätig","2000","17-29","2","383","0.266152735895536","0.242238887005471","0.2900665847856"
"nicht erwerbstätig","2000","17-29","3","180","0.21918103608391","0.190406090973081","0.247955981194739"
"nicht erwerbstätig","2000","17-29","4","117","0.16496827744761","0.136843652530884","0.193092902364336"
"nicht erwerbstätig","2000","17-29","5 Einkommensstärkstes Quintil","84","0.304155107529156","0.248869631739339","0.359440583318974"
"nicht erwerbstätig","2000","30-45","1 Einkommensschwächstes Quintil","629","0.285876840421747","0.266679621175268","0.305074059668227"
"nicht erwerbstätig","2000","30-45","2","360","0.150976309951356","0.136306165560943","0.165646454341768"
"nicht erwerbstätig","2000","30-45","3","157","0.089797005894564","0.0759647231259882","0.10362928866314"
"nicht erwerbstätig","2000","30-45","4","92","0.0655407703793542","0.0521343072653332","0.0789472334933752"
"nicht erwerbstätig","2000","30-45","5 Einkommensstärkstes Quintil","38","0.0502875905599169","0.0351345016450366","0.0654406794747973"
"nicht erwerbstätig","2000","46-65","1 Einkommensschwächstes Quintil","911","0.530619192841443","0.506979036090472","0.554259349592413"
"nicht erwerbstätig","2000","46-65","2","880","0.428399006690717","0.406684630574049","0.450113382807385"
"nicht erwerbstätig","2000","46-65","3","521","0.323925934896739","0.300553297085416","0.347298572708061"
"nicht erwerbstätig","2000","46-65","4","374","0.259402050317154","0.236507890059563","0.282296210574746"
"nicht erwerbstätig","2000","46-65","5 Einkommensstärkstes Quintil","197","0.173799890288261","0.151527692713642","0.19607208786288"
"nicht erwerbstätig","2000","66","1 Einkommensschwächstes Quintil","","","",""
"nicht erwerbstätig","2000","66","2","","","",""
"nicht erwerbstätig","2000","66","3","","","",""
"nicht erwerbstätig","2000","66","4","","","",""
"nicht erwerbstätig","2000","66","5 Einkommensstärkstes Quintil","","","",""
"erwerbstätig","2000","17-29","1 Einkommensschwächstes Quintil","922","0.614368894614919","0.590034990324226","0.638702798905611"
"erwerbstätig","2000","17-29","2","929","0.733847264104465","0.7099334152144","0.757761112994529"
"erwerbstätig","2000","17-29","3","614","0.78081896391609","0.752044018805261","0.809593909026919"
"erwerbstätig","2000","17-29","4","552","0.83503172255239","0.806907097635664","0.863156347469116"
"erwerbstätig","2000","17-29","5 Einkommensstärkstes Quintil","182","0.695844892470844","0.640559416681026","0.751130368260661"
"erwerbstätig","2000","30-45","1 Einkommensschwächstes Quintil","1499","0.714123159578253","0.694925940331773","0.733320378824732"
"erwerbstätig","2000","30-45","2","1928","0.849023690048644","0.834353545658232","0.863693834439056"
"erwerbstätig","2000","30-45","3","1484","0.910202994105436","0.89637071133686","0.924035276874012"
"erwerbstätig","2000","30-45","4","1217","0.934459229620646","0.921052766506625","0.947865692734667"
"erwerbstätig","2000","30-45","5 Einkommensstärkstes Quintil","761","0.949712409440083","0.934559320525203","0.964865498354963"
"erwerbstätig","2000","46-65","1 Einkommensschwächstes Quintil","801","0.469380807158557","0.445740650407587","0.493020963909528"
"erwerbstätig","2000","46-65","2","1115","0.571600993309283","0.549886617192615","0.593315369425951"
"erwerbstätig","2000","46-65","3","1019","0.676074065103261","0.652701427291939","0.699446702914584"
"erwerbstätig","2000","46-65","4","1034","0.740597949682846","0.717703789425254","0.763492109940437"
"erwerbstätig","2000","46-65","5 Einkommensstärkstes Quintil","915","0.826200109711739","0.803927912137119","0.848472307286358"
"erwerbstätig","2000","66","1 Einkommensschwächstes Quintil","","","",""
"erwerbstätig","2000","66","2","","","",""
"erwerbstätig","2000","66","3","","","",""
"erwerbstätig","2000","66","4","","","",""
"erwerbstätig","2000","66","5 Einkommensstärkstes Quintil","","","",""
"nicht erwerbstätig","2001","17-29","1 Einkommensschwächstes Quintil","481","0.359954795504394","0.333504402199044","0.386405188809744"
"nicht erwerbstätig","2001","17-29","2","351","0.272289223288397","0.246739073791418","0.297839372785377"
"nicht erwerbstätig","2001","17-29","3","200","0.23742661423474","0.207848529522603","0.267004698946878"
"nicht erwerbstätig","2001","17-29","4","113","0.180141229376888","0.149518317237203","0.210764141516573"
"nicht erwerbstätig","2001","17-29","5 Einkommensstärkstes Quintil","70","0.247818780298233","0.196128481276746","0.29950907931972"
"nicht erwerbstätig","2001","30-45","1 Einkommensschwächstes Quintil","505","0.269535430518573","0.24885823267732","0.290212628359827"
"nicht erwerbstätig","2001","30-45","2","292","0.142555213702491","0.127221276042428","0.157889151362554"
"nicht erwerbstätig","2001","30-45","3","152","0.0888344758615718","0.0744988044281118","0.103170147295032"
"nicht erwerbstätig","2001","30-45","4","81","0.0500877965350457","0.0379372597236499","0.0622383333464416"
"nicht erwerbstätig","2001","30-45","5 Einkommensstärkstes Quintil","38","0.0450144688496976","0.030744858155624","0.0592840795437711"
"nicht erwerbstätig","2001","46-65","1 Einkommensschwächstes Quintil","779","0.534817846680765","0.509162419478056","0.560473273883473"
"nicht erwerbstätig","2001","46-65","2","721","0.420528206289191","0.397034643464237","0.444021769114145"
"nicht erwerbstätig","2001","46-65","3","502","0.323263412141658","0.299530458852018","0.346996365431298"
"nicht erwerbstätig","2001","46-65","4","343","0.244526484649579","0.221915163824528","0.267137805474631"
"nicht erwerbstätig","2001","46-65","5 Einkommensstärkstes Quintil","191","0.175019032590348","0.152219261565194","0.197818803615503"
"nicht erwerbstätig","2001","66","1 Einkommensschwächstes Quintil","","","",""
"nicht erwerbstätig","2001","66","2","","","",""
"nicht erwerbstätig","2001","66","3","","","",""
"nicht erwerbstätig","2001","66","4","","","",""
"nicht erwerbstätig","2001","66","5 Einkommensstärkstes Quintil","","","",""
"erwerbstätig","2001","17-29","1 Einkommensschwächstes Quintil","784","0.640045204495606","0.613594811190256","0.666495597800956"
"erwerbstätig","2001","17-29","2","815","0.727710776711603","0.702160627214623","0.753260926208583"
"erwerbstätig","2001","17-29","3","595","0.76257338576526","0.732995301053122","0.792151470477397"
"erwerbstätig","2001","17-29","4","492","0.819858770623112","0.789235858483427","0.850481682762797"
"erwerbstätig","2001","17-29","5 Einkommensstärkstes Quintil","198","0.752181219701767","0.70049092068028","0.803871518723254"
"erwerbstätig","2001","30-45","1 Einkommensschwächstes Quintil","1264","0.730464569481427","0.709787371640173","0.75114176732268"
"erwerbstätig","2001","30-45","2","1705","0.857444786297509","0.842110848637446","0.872778723957571"
"erwerbstätig","2001","30-45","3","1361","0.911165524138428","0.896829852704968","0.925501195571888"
"erwerbstätig","2001","30-45","4","1157","0.949912203464954","0.937761666653558","0.96206274027635"
"erwerbstätig","2001","30-45","5 Einkommensstärkstes Quintil","773","0.954985531150302","0.940715920456229","0.969255141844376"
"erwerbstätig","2001","46-65","1 Einkommensschwächstes Quintil","673","0.465182153319236","0.439526726116527","0.490837580521944"
"erwerbstätig","2001","46-65","2","975","0.579471793710809","0.555978230885855","0.602965356535763"
"erwerbstätig","2001","46-65","3","990","0.676736587858342","0.653003634568702","0.700469541147982"
"erwerbstätig","2001","46-65","4","1045","0.755473515350421","0.732862194525369","0.778084836175472"
"erwerbstätig","2001","46-65","5 Einkommensstärkstes Quintil","876","0.824980967409652","0.802181196384497","0.847780738434806"
"erwerbstätig","2001","66","1 Einkommensschwächstes Quintil","","","",""
"erwerbstätig","2001","66","2","","","",""
"erwerbstätig","2001","66","3","","","",""
"erwerbstätig","2001","66","4","","","",""
"erwerbstätig","2001","66","5 Einkommensstärkstes Quintil","","","",""
"nicht erwerbstätig","2002","17-29","1 Einkommensschwächstes Quintil","449","0.378727212246094","0.35064313211324","0.406811292378947"
"nicht erwerbstätig","2002","17-29","2","320","0.301956320175813","0.27338662434482","0.330526016006805"
"nicht erwerbstätig","2002","17-29","3","202","0.23643700938527","0.20636720707428","0.26650681169626"
"nicht erwerbstätig","2002","17-29","4","167","0.160887669417384","0.134215658596249","0.187559680238519"
"nicht erwerbstätig","2002","17-29","5 Einkommensstärkstes Quintil","177","0.28377615841711","0.24453367794879","0.32301863888543"
"nicht erwerbstätig","2002","30-45","1 Einkommensschwächstes Quintil","430","0.298942035658994","0.27529714541253","0.322586925905459"
"nicht erwerbstätig","2002","30-45","2","271","0.14849447108098","0.132016952928654","0.164971989233306"
"nicht erwerbstätig","2002","30-45","3","148","0.0893447891167148","0.0745088336378783","0.104180744595551"
"nicht erwerbstätig","2002","30-45","4","119","0.0696177061939871","0.0565182078851368","0.0827172045028374"
"nicht erwerbstätig","2002","30-45","5 Einkommensstärkstes Quintil","80","0.0381348219346573","0.0278841658070891","0.0483854780622254"
"nicht erwerbstätig","2002","46-65","1 Einkommensschwächstes Quintil","695","0.517322332497366","0.490466941070821","0.544177723923912"
"nicht erwerbstätig","2002","46-65","2","632","0.396483843424178","0.371827458964094","0.421140227884261"
"nicht erwerbstätig","2002","46-65","3","464","0.326830433461289","0.302645903600894","0.351014963321683"
"nicht erwerbstätig","2002","46-65","4","360","0.244490799085737","0.222697452223102","0.266284145948371"
"nicht erwerbstätig","2002","46-65","5 Einkommensstärkstes Quintil","339","0.181318122578602","0.164732696416465","0.197903548740739"
"nicht erwerbstätig","2002","66","1 Einkommensschwächstes Quintil","","","",""
"nicht erwerbstätig","2002","66","2","","","",""
"nicht erwerbstätig","2002","66","3","","","",""
"nicht erwerbstätig","2002","66","4","","","",""
"nicht erwerbstätig","2002","66","5 Einkommensstärkstes Quintil","","","",""
