"e11102","year","regtyp","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"nicht erwerbstätig","2007","Staedtischer Raum","maennlich","2196","","",""
"nicht erwerbstätig","2007","Staedtischer Raum","weiblich","3168","0.473061130116551","0.461498959712121","0.484623300520981"
"erwerbstätig","2008","Laendlicher Raum","maennlich","2116","","",""
"erwerbstätig","2008","Laendlicher Raum","weiblich","1959","","",""
"erwerbstätig","2008","Staedtischer Raum","maennlich","4041","0.67044482465199","0.658615000802557","0.682274648501422"
"erwerbstätig","2008","Staedtischer Raum","weiblich","3779","0.534916995843895","0.52300844827439","0.546825543413401"
"nicht erwerbstätig","2008","Laendlicher Raum","maennlich","1155","","",""
"nicht erwerbstätig","2008","Laendlicher Raum","weiblich","1537","","",""
"nicht erwerbstätig","2008","Staedtischer Raum","maennlich","2024","","",""
"nicht erwerbstätig","2008","Staedtischer Raum","weiblich","2960","","",""
"erwerbstätig","2009","Laendlicher Raum","maennlich","2044","","",""
"erwerbstätig","2009","Laendlicher Raum","weiblich","1898","","",""
"erwerbstätig","2009","Staedtischer Raum","maennlich","3707","0.670121341631471","0.657824647346957","0.682418035915984"
"erwerbstätig","2009","Staedtischer Raum","weiblich","3569","0.560695306538889","0.548346540000553","0.573044073077226"
"nicht erwerbstätig","2009","Laendlicher Raum","maennlich","1068","","",""
"nicht erwerbstätig","2009","Laendlicher Raum","weiblich","1423","","",""
"nicht erwerbstätig","2009","Staedtischer Raum","maennlich","1909","","",""
"nicht erwerbstätig","2009","Staedtischer Raum","weiblich","2636","","",""
"erwerbstätig","2010","Laendlicher Raum","maennlich","2752","","",""
"erwerbstätig","2010","Laendlicher Raum","weiblich","2702","","",""
"erwerbstätig","2010","Staedtischer Raum","maennlich","5130","0.671985096813877","0.66111720242039","0.682852991207365"
"erwerbstätig","2010","Staedtischer Raum","weiblich","4998","0.555857313536096","0.545389463926514","0.566325163145678"
"nicht erwerbstätig","2010","Laendlicher Raum","maennlich","1166","","",""
"nicht erwerbstätig","2010","Laendlicher Raum","weiblich","1884","","",""
"nicht erwerbstätig","2010","Staedtischer Raum","maennlich","2039","","",""
"nicht erwerbstätig","2010","Staedtischer Raum","weiblich","3657","0.444142686463904","0.433674836854322","0.454610536073486"
"erwerbstätig","2011","Laendlicher Raum","maennlich","3314","0.670767584879424","0.657478841369381","0.684056328389466"
"erwerbstätig","2011","Laendlicher Raum","weiblich","3313","0.571075598246863","0.558153343165594","0.583997853328133"
"erwerbstätig","2011","Staedtischer Raum","maennlich","5804","0.678890586361778","0.668860412355211","0.688920760368344"
"erwerbstätig","2011","Staedtischer Raum","weiblich","5859","0.554511357651813","0.544835048048798","0.564187667254829"
"nicht erwerbstätig","2011","Laendlicher Raum","maennlich","1490","","",""
"nicht erwerbstätig","2011","Laendlicher Raum","weiblich","2322","","",""
"nicht erwerbstätig","2011","Staedtischer Raum","maennlich","2520","","",""
"nicht erwerbstätig","2011","Staedtischer Raum","weiblich","4276","0.445488642348187","0.435812332745171","0.455164951951202"
"erwerbstätig","2012","Laendlicher Raum","maennlich","3194","0.65615156904606","0.642664976160274","0.669638161931846"
"erwerbstätig","2012","Laendlicher Raum","weiblich","3337","0.570580213343347","0.557586746737129","0.583573679949564"
"erwerbstätig","2012","Staedtischer Raum","maennlich","5541","0.680412164397904","0.670224250589969","0.690600078205839"
"erwerbstätig","2012","Staedtischer Raum","weiblich","5809","0.564309581329495","0.554481453616666","0.574137709042324"
"nicht erwerbstätig","2012","Laendlicher Raum","maennlich","1571","","",""
"nicht erwerbstätig","2012","Laendlicher Raum","weiblich","2238","","",""
"nicht erwerbstätig","2012","Staedtischer Raum","maennlich","2507","","",""
"nicht erwerbstätig","2012","Staedtischer Raum","weiblich","3969","0.435690418670505","0.425862290957677","0.445518546383334"
"erwerbstätig","2013","Laendlicher Raum","maennlich","2977","","",""
"erwerbstätig","2013","Laendlicher Raum","weiblich","3192","0.544668891802404","0.531834836809461","0.557502946795346"
"erwerbstätig","2013","Staedtischer Raum","maennlich","5131","0.591604605078598","0.581614129597638","0.601595080559557"
"erwerbstätig","2013","Staedtischer Raum","weiblich","5574","0.514336871089021","0.505056242342163","0.523617499835878"
"nicht erwerbstätig","2013","Laendlicher Raum","maennlich","1976","","",""
"nicht erwerbstätig","2013","Laendlicher Raum","weiblich","2592","","",""
"nicht erwerbstätig","2013","Staedtischer Raum","maennlich","4168","0.408395394921402","0.398404919440443","0.418385870402362"
"nicht erwerbstätig","2013","Staedtischer Raum","weiblich","5567","0.485663128910979","0.476382500164122","0.494943757657837"
"erwerbstätig","2014","Laendlicher Raum","maennlich","3014","0.653021918297308","0.639114172820344","0.666929663774272"
"erwerbstätig","2014","Laendlicher Raum","weiblich","3129","0.567582986895762","0.554080091819408","0.581085881972117"
"erwerbstätig","2014","Staedtischer Raum","maennlich","5632","0.669528229826826","0.659361422906331","0.679695036747321"
"erwerbstätig","2014","Staedtischer Raum","weiblich","5992","0.57566915606078","0.565863831735027","0.585474480386532"
"nicht erwerbstätig","2014","Laendlicher Raum","maennlich","1486","","",""
"nicht erwerbstätig","2014","Laendlicher Raum","weiblich","2042","","",""
"nicht erwerbstätig","2014","Staedtischer Raum","maennlich","2591","","",""
"nicht erwerbstätig","2014","Staedtischer Raum","weiblich","3768","0.42433084393922","0.414525519613468","0.434136168264973"
"erwerbstätig","2015","Laendlicher Raum","maennlich","2842","","",""
"erwerbstätig","2015","Laendlicher Raum","weiblich","3006","0.575337504668964","0.561774336072624","0.588900673265304"
"erwerbstätig","2015","Staedtischer Raum","maennlich","5212","0.653794518443439","0.643470617045906","0.664118419840971"
"erwerbstätig","2015","Staedtischer Raum","weiblich","5565","0.567034737107092","0.557150894902343","0.576918579311841"
"nicht erwerbstätig","2015","Laendlicher Raum","maennlich","1586","","",""
"nicht erwerbstätig","2015","Laendlicher Raum","weiblich","2096","","",""
"nicht erwerbstätig","2015","Staedtischer Raum","maennlich","2946","","",""
"nicht erwerbstätig","2015","Staedtischer Raum","weiblich","4089","0.432965262892908","0.423081420688159","0.442849105097657"
"erwerbstätig","2016","Laendlicher Raum","maennlich","2745","","",""
"erwerbstätig","2016","Laendlicher Raum","weiblich","2902","","",""
"erwerbstätig","2016","Staedtischer Raum","maennlich","5015","0.667452989895623","0.657469670877824","0.677436308913422"
"erwerbstätig","2016","Staedtischer Raum","weiblich","5453","0.587934242949889","0.578098476776656","0.597770009123122"
"nicht erwerbstätig","2016","Laendlicher Raum","maennlich","1839","","",""
"nicht erwerbstätig","2016","Laendlicher Raum","weiblich","2137","","",""
"nicht erwerbstätig","2016","Staedtischer Raum","maennlich","3540","0.332547010104377","0.322563691086578","0.342530329122176"
"nicht erwerbstätig","2016","Staedtischer Raum","weiblich","4167","0.412065757050111","0.402229990876878","0.421901523223344"
"erwerbstätig","2017","Laendlicher Raum","maennlich","3143","0.680179502101831","0.667511176425444","0.692847827778218"
"erwerbstätig","2017","Laendlicher Raum","weiblich","3280","0.594026915622513","0.581215230071189","0.606838601173837"
"erwerbstätig","2017","Staedtischer Raum","maennlich","5726","0.675550602411065","0.666193729906955","0.684907474915176"
"erwerbstätig","2017","Staedtischer Raum","weiblich","6062","0.590253277765324","0.580925459404445","0.599581096126202"
"nicht erwerbstätig","2017","Laendlicher Raum","maennlich","2064","","",""
"nicht erwerbstätig","2017","Laendlicher Raum","weiblich","2364","","",""
"nicht erwerbstätig","2017","Staedtischer Raum","maennlich","3891","0.324449397588935","0.315092525084824","0.333806270093045"
"nicht erwerbstätig","2017","Staedtischer Raum","weiblich","4616","0.409746722234676","0.400418903873798","0.419074540595555"
"erwerbstätig","2018","Laendlicher Raum","maennlich","3033","0.688043119174428","0.675043285534991","0.701042952813866"
"erwerbstätig","2018","Laendlicher Raum","weiblich","3205","0.609272814052202","0.59618151042962","0.622364117674784"
"erwerbstätig","2018","Staedtischer Raum","maennlich","5691","0.686684830473323","0.677260814689589","0.696108846257057"
"erwerbstätig","2018","Staedtischer Raum","weiblich","5915","0.601615855555114","0.592142447693076","0.611089263417153"
"nicht erwerbstätig","2018","Laendlicher Raum","maennlich","1846","","",""
"nicht erwerbstätig","2018","Laendlicher Raum","weiblich","2131","","",""
"nicht erwerbstätig","2018","Staedtischer Raum","maennlich","3615","0.313315169526677","0.303891153742943","0.322739185310411"
"nicht erwerbstätig","2018","Staedtischer Raum","weiblich","4344","0.398384144444886","0.388910736582847","0.407857552306924"
"erwerbstätig","2019","Laendlicher Raum","maennlich","3196","0.667786926413214","0.654571977278261","0.681001875548166"
"erwerbstätig","2019","Laendlicher Raum","weiblich","3041","0.597295868826451","0.583815852744663","0.61077588490824"
"erwerbstätig","2019","Staedtischer Raum","maennlich","6085","0.686694075727105","0.677298363072612","0.696089788381597"
"erwerbstätig","2019","Staedtischer Raum","weiblich","5779","0.60375509372877","0.594063840846749","0.613446346610791"
"nicht erwerbstätig","2019","Laendlicher Raum","maennlich","1684","","",""
"nicht erwerbstätig","2019","Laendlicher Raum","weiblich","2044","","",""
"nicht erwerbstätig","2019","Staedtischer Raum","maennlich","3277","0.313305924272895","0.303910211618403","0.322701636927388"
"nicht erwerbstätig","2019","Staedtischer Raum","weiblich","4006","0.39624490627123","0.386553653389209","0.405936159153251"
"erwerbstätig","2020","Laendlicher Raum","maennlich","3221","0.667809964489156","0.654502202352134","0.681117726626177"
"erwerbstätig","2020","Laendlicher Raum","weiblich","3013","0.591968580296926","0.578259363044024","0.605677797549828"
"erwerbstätig","2020","Staedtischer Raum","maennlich","6594","0.687247887634438","0.678204966452707","0.696290808816168"
"erwerbstätig","2020","Staedtischer Raum","weiblich","6033","0.593939818440913","0.584390603690365","0.603489033191461"
"nicht erwerbstätig","2020","Laendlicher Raum","maennlich","1591","","",""
"nicht erwerbstätig","2020","Laendlicher Raum","weiblich","1924","","",""
"nicht erwerbstätig","2020","Staedtischer Raum","maennlich","3503","0.312752112365562","0.303709191183832","0.321795033547293"
"nicht erwerbstätig","2020","Staedtischer Raum","weiblich","4127","0.406060181559087","0.396510966808539","0.415609396309635"
