"e11102","year","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"erwerbstätig","2003","3","2769","0.622370873464806","0.607959325124029","0.636782421805582"
"erwerbstätig","2003","4","3079","0.678685277338611","0.664792062450326","0.692578492226897"
"erwerbstätig","2003","5 Einkommensstärkstes Quintil","3040","0.711212265402031","0.697240897552057","0.725183633252005"
"nicht erwerbstätig","2003","1 Einkommensschwächstes Quintil","2173","0.536628524707745","0.521794646024121","0.55146240339137"
"nicht erwerbstätig","2003","2","2125","0.44336730880908","0.429727773647522","0.457006843970638"
"nicht erwerbstätig","2003","3","1578","0.377629126535194","0.363217578194418","0.392040674875971"
"nicht erwerbstätig","2003","4","1261","0.321314722661389","0.307421507773103","0.335207937549674"
"nicht erwerbstätig","2003","5 Einkommensstärkstes Quintil","1002","0.288787734597969","0.274816366747995","0.302759102447943"
"erwerbstätig","2004","1 Einkommensschwächstes Quintil","2076","0.472193466116825","0.457120518385651","0.487266413847998"
"erwerbstätig","2004","2","2830","0.545300701843288","0.531461245447799","0.559140158238777"
"erwerbstätig","2004","3","2544","0.596989075481235","0.582004238959563","0.611973912002908"
"erwerbstätig","2004","4","2977","0.668375814226219","0.654249780753244","0.682501847699195"
"erwerbstätig","2004","5 Einkommensstärkstes Quintil","3040","0.727575024994572","0.713850027060827","0.741300022928317"
"nicht erwerbstätig","2004","1 Einkommensschwächstes Quintil","2138","0.527806533883175","0.512733586152002","0.542879481614349"
"nicht erwerbstätig","2004","2","2143","0.454699298156712","0.440859841761223","0.468538754552201"
"nicht erwerbstätig","2004","3","1572","0.403010924518765","0.388026087997092","0.417995761040437"
"nicht erwerbstätig","2004","4","1290","0.331624185773781","0.317498152300805","0.345750219246756"
"nicht erwerbstätig","2004","5 Einkommensstärkstes Quintil","1002","0.272424975005428","0.258699977071683","0.286149972939173"
"erwerbstätig","2005","1 Einkommensschwächstes Quintil","2035","0.481075532458572","0.465908840985984","0.49624222393116"
"erwerbstätig","2005","2","2538","0.541589450175509","0.527157495070655","0.556021405280362"
"erwerbstätig","2005","3","2419","0.623447268136287","0.60818196710471","0.638712569167865"
"erwerbstätig","2005","4","2855","0.681402108382073","0.6670859191155","0.695718297648647"
"erwerbstätig","2005","5 Einkommensstärkstes Quintil","2997","0.733492134622543","0.719809349523712","0.747174919721374"
"nicht erwerbstätig","2005","1 Einkommensschwächstes Quintil","2134","0.518924467541428","0.50375777606884","0.534091159014016"
"nicht erwerbstätig","2005","2","2041","0.458410549824491","0.443978594719638","0.472842504929345"
"nicht erwerbstätig","2005","3","1451","0.376552731863713","0.361287430832135","0.39181803289529"
"nicht erwerbstätig","2005","4","1214","0.318597891617927","0.304281702351353","0.3329140808845"
"nicht erwerbstätig","2005","5 Einkommensstärkstes Quintil","1014","0.266507865377457","0.252825080278626","0.280190650476288"
"erwerbstätig","2006","1 Einkommensschwächstes Quintil","2044","0.458230136423761","0.443474420641158","0.472985852206364"
"erwerbstätig","2006","2","2723","0.548276923160513","0.534436889917109","0.562116956403917"
"erwerbstätig","2006","3","2561","0.59800058308034","0.583233833875189","0.612767332285492"
"erwerbstätig","2006","4","3047","0.671630307191125","0.65787709207787","0.68538352230438"
"erwerbstätig","2006","5 Einkommensstärkstes Quintil","3075","0.73246656826603","0.719091587713767","0.745841548818293"
"nicht erwerbstätig","2006","1 Einkommensschwächstes Quintil","2336","0.541769863576239","0.527014147793636","0.556525579358842"
"nicht erwerbstätig","2006","2","2244","0.451723076839487","0.437883043596083","0.465563110082891"
"nicht erwerbstätig","2006","3","1674","0.40199941691966","0.387232667714508","0.416766166124811"
"nicht erwerbstätig","2006","4","1432","0.328369692808875","0.31461647769562","0.34212290792213"
"nicht erwerbstätig","2006","5 Einkommensstärkstes Quintil","1133","0.26753343173397","0.254158451181707","0.280908412286233"
"erwerbstätig","2007","1 Einkommensschwächstes Quintil","1771","0.455671483897206","0.439964296501524","0.471378671292888"
"erwerbstätig","2007","2","2495","0.530188307768759","0.515787519026806","0.544589096510712"
"erwerbstätig","2007","3","2398","0.605965276663098","0.590697814957762","0.621232738368433"
"erwerbstätig","2007","4","2923","0.675273056187594","0.661284902784035","0.689261209591153"
"erwerbstätig","2007","5 Einkommensstärkstes Quintil","2991","0.739834172044928","0.726455505993393","0.753212838096464"
"nicht erwerbstätig","2007","1 Einkommensschwächstes Quintil","2091","0.544328516102794","0.528621328707112","0.560035703498476"
"nicht erwerbstätig","2007","2","2119","0.469811692231241","0.455410903489288","0.484212480973194"
"nicht erwerbstätig","2007","3","1537","0.394034723336902","0.378767261631567","0.409302185042238"
"nicht erwerbstätig","2007","4","1382","0.324726943812406","0.310738790408847","0.338715097215965"
"nicht erwerbstätig","2007","5 Einkommensstärkstes Quintil","1140","0.260165827955072","0.246787161903536","0.273544494006607"
"erwerbstätig","2008","1 Einkommensschwächstes Quintil","1576","0.456896024393115","0.440159422071157","0.473632626715073"
"erwerbstätig","2008","2","2170","0.53252517269915","0.517275141791105","0.547775203607195"
"erwerbstätig","2008","3","2333","0.608842353321219","0.593295464624184","0.624389242018255"
"erwerbstätig","2008","4","2826","0.691790814270084","0.677742176097405","0.705839452442762"
"erwerbstätig","2008","5 Einkommensstärkstes Quintil","2990","0.747919193898669","0.734662231863078","0.76117615593426"
"nicht erwerbstätig","2008","1 Einkommensschwächstes Quintil","1827","0.543103975606885","0.526367373284927","0.559840577928843"
"nicht erwerbstätig","2008","2","1942","0.46747482730085","0.452224796392805","0.482724858208895"
"nicht erwerbstätig","2008","3","1452","0.391157646678781","0.375610757981745","0.406704535375816"
"nicht erwerbstätig","2008","4","1324","0.308209185729916","0.294160547557238","0.322257823902595"
"nicht erwerbstätig","2008","5 Einkommensstärkstes Quintil","1131","0.252080806101331","0.23882384406574","0.265337768136922"
"erwerbstätig","2009","1 Einkommensschwächstes Quintil","1435","0.474535523640067","0.456761345123482","0.492309702156652"
"erwerbstätig","2009","2","2010","0.544397772092601","0.528432382100395","0.560363162084808"
"erwerbstätig","2009","3","2071","0.599851098670691","0.583445693702815","0.616256503638568"
"erwerbstätig","2009","4","2728","0.694692825932686","0.680386868979535","0.708998782885838"
"erwerbstätig","2009","5 Einkommensstärkstes Quintil","2974","0.761354337036703","0.7482701145194","0.774438559554006"
"nicht erwerbstätig","2009","1 Einkommensschwächstes Quintil","1597","0.525464476359933","0.507690297843348","0.543238654876518"
"nicht erwerbstätig","2009","2","1728","0.455602227907399","0.439636837915192","0.471567617899605"
"nicht erwerbstätig","2009","3","1355","0.400148901329309","0.383743496361432","0.416554306297185"
"nicht erwerbstätig","2009","4","1253","0.305307174067314","0.291001217114162","0.319613131020465"
"nicht erwerbstätig","2009","5 Einkommensstärkstes Quintil","1103","0.238645662963298","0.225561440445994","0.251729885480601"
"erwerbstätig","2010","1 Einkommensschwächstes Quintil","2342","0.453766221309803","0.439719990822817","0.467812451796789"
"erwerbstätig","2010","2","3449","0.549083884692002","0.536078258226344","0.56208951115766"
"erwerbstätig","2010","3","2773","0.600875994701573","0.58620456090855","0.615547428494596"
"erwerbstätig","2010","4","3459","0.68194899024052","0.668760208871259","0.695137771609781"
"erwerbstätig","2010","5 Einkommensstärkstes Quintil","3559","0.761201368302973","0.749151386262896","0.773251350343051"
"nicht erwerbstätig","2010","1 Einkommensschwächstes Quintil","2484","0.546233778690197","0.532187548203211","0.560280009177183"
"nicht erwerbstätig","2010","2","2174","0.450916115307998","0.43791048884234","0.463921741773656"
"nicht erwerbstätig","2010","3","1507","0.399124005298427","0.384452571505404","0.41379543909145"
"nicht erwerbstätig","2010","4","1331","0.31805100975948","0.304862228390219","0.331239791128741"
"nicht erwerbstätig","2010","5 Einkommensstärkstes Quintil","1250","0.238798631697027","0.22674864965695","0.250848613737104"
"erwerbstätig","2011","1 Einkommensschwächstes Quintil","2583","0.462251051596274","0.448965542616738","0.47553656057581"
"erwerbstätig","2011","2","3689","0.528789047412684","0.516467806212824","0.541110288612544"
"erwerbstätig","2011","3","3365","0.597088412352185","0.583822067504386","0.610354757199983"
"erwerbstätig","2011","4","4174","0.688152559683319","0.676379859938893","0.699925259427746"
"erwerbstätig","2011","5 Einkommensstärkstes Quintil","4479","0.771515952182443","0.760878130755221","0.782153773609664"
"nicht erwerbstätig","2011","1 Einkommensschwächstes Quintil","2827","0.537748948403726","0.52446343942419","0.551034457383262"
"nicht erwerbstätig","2011","2","2616","0.471210952587316","0.458889711387456","0.483532193787176"
"nicht erwerbstätig","2011","3","1886","0.402911587647815","0.389645242800017","0.416177932495614"
"nicht erwerbstätig","2011","4","1774","0.311847440316681","0.300074740572254","0.323620140061107"
"nicht erwerbstätig","2011","5 Einkommensstärkstes Quintil","1505","0.228484047817557","0.217846226390335","0.239121869244779"
"erwerbstätig","2012","1 Einkommensschwächstes Quintil","2189","0.44464093440153","0.430370407690934","0.458911461112127"
"erwerbstätig","2012","2","3384","0.524298699035071","0.511520795709405","0.537076602360736"
"erwerbstätig","2012","3","3406","0.58904252076731","0.575856184118732","0.602228857415888"
"erwerbstätig","2012","4","4227","0.68881493439617","0.677128390370934","0.700501478421407"
"erwerbstätig","2012","5 Einkommensstärkstes Quintil","4675","0.764545038276309","0.754036386047209","0.775053690505409"
"nicht erwerbstätig","2012","1 Einkommensschwächstes Quintil","2469","0.55535906559847","0.541088538887873","0.569629592309066"
"nicht erwerbstätig","2012","2","2484","0.475701300964929","0.462923397639264","0.488479204290595"
"nicht erwerbstätig","2012","3","1942","0.41095747923269","0.397771142584112","0.424143815881268"
"nicht erwerbstätig","2012","4","1802","0.31118506560383","0.299498521578593","0.322871609629066"
"nicht erwerbstätig","2012","5 Einkommensstärkstes Quintil","1587","0.235454961723691","0.224946309494591","0.245963613952791"
"erwerbstätig","2013","1 Einkommensschwächstes Quintil","1910","0.364900780165929","0.352357104822645","0.377444455509213"
"erwerbstätig","2013","2","3057","0.464519053966849","0.452301114900971","0.476736993032728"
"erwerbstätig","2013","3","3032","0.514686107546589","0.501729701036178","0.527642514057"
"erwerbstätig","2013","4","4085","0.632822239490531","0.621185842142914","0.644458636838148"
"erwerbstätig","2013","5 Einkommensstärkstes Quintil","4790","0.732766123308845","0.722255345113071","0.743276901504618"
"nicht erwerbstätig","2013","1 Einkommensschwächstes Quintil","3748","0.635099219834071","0.622555544490787","0.647642895177355"
"nicht erwerbstätig","2013","2","3344","0.535480946033151","0.523263006967272","0.547698885099029"
"nicht erwerbstätig","2013","3","2684","0.485313892453411","0.472357485943","0.498270298963822"
"nicht erwerbstätig","2013","4","2507","0.367177760509469","0.355541363161852","0.378814157857086"
"nicht erwerbstätig","2013","5 Einkommensstärkstes Quintil","2019","0.267233876691155","0.256723098495381","0.277744654886928"
"erwerbstätig","2014","1 Einkommensschwächstes Quintil","2006","0.437329729748485","0.42254249529824","0.452116964198731"
"erwerbstätig","2014","2","3149","0.53532467687548","0.521992474494563","0.548656879256398"
"erwerbstätig","2014","3","3173","0.568702092124125","0.554944205265777","0.582459978982473"
"erwerbstätig","2014","4","4315","0.65268248149612","0.640877721782266","0.664487241209973"
"erwerbstätig","2014","5 Einkommensstärkstes Quintil","5124","0.772788524874359","0.762775839663695","0.782801210085022"
"nicht erwerbstätig","2014","1 Einkommensschwächstes Quintil","2317","0.562670270251515","0.54788303580127","0.57745750470176"
"nicht erwerbstätig","2014","2","2227","0.46467532312452","0.451343120743602","0.478007525505438"
"nicht erwerbstätig","2014","3","1805","0.431297907875875","0.417540021017527","0.445055794734223"
"nicht erwerbstätig","2014","4","1934","0.34731751850388","0.335512758790027","0.359122278217734"
"nicht erwerbstätig","2014","5 Einkommensstärkstes Quintil","1604","0.227211475125641","0.217198789914978","0.237224160336305"
"erwerbstätig","2015","1 Einkommensschwächstes Quintil","1758","0.428551061167717","0.413828165688069","0.443273956647366"
"erwerbstätig","2015","2","2570","0.524007415462298","0.509899467211324","0.538115363713272"
"erwerbstätig","2015","3","2985","0.567715438148796","0.553809157298424","0.581621718999168"
"erwerbstätig","2015","4","4064","0.619570330353628","0.607527351610473","0.631613309096783"
"erwerbstätig","2015","5 Einkommensstärkstes Quintil","5248","0.765340865689613","0.755461114572391","0.775220616806834"
"nicht erwerbstätig","2015","1 Einkommensschwächstes Quintil","2582","0.571448938832283","0.556726043352634","0.586171834311931"
"nicht erwerbstätig","2015","2","2244","0.475992584537702","0.461884636286728","0.490100532788676"
"nicht erwerbstätig","2015","3","1890","0.432284561851204","0.418378281000832","0.446190842701576"
"nicht erwerbstätig","2015","4","2179","0.380429669646372","0.368386690903217","0.392472648389528"
"nicht erwerbstätig","2015","5 Einkommensstärkstes Quintil","1820","0.234659134310387","0.224779383193166","0.244538885427609"
"erwerbstätig","2016","1 Einkommensschwächstes Quintil","1530","0.425931415701416","0.413682076761401","0.43818075464143"
"erwerbstätig","2016","2","2448","0.521730693690481","0.506730297140328","0.536731090240634"
"erwerbstätig","2016","3","2721","0.580587980013379","0.565859322232064","0.595316637794695"
"erwerbstätig","2016","4","4168","0.655199235521931","0.643223413983815","0.667175057060047"
"erwerbstätig","2016","5 Einkommensstärkstes Quintil","5248","0.771385159804857","0.761487333052494","0.781282986557219"
"nicht erwerbstätig","2016","1 Einkommensschwächstes Quintil","4730","0.574068584298584","0.56181924535857","0.586317923238599"
"nicht erwerbstätig","2016","2","1812","0.478269306309519","0.463268909759366","0.493269702859671"
"nicht erwerbstätig","2016","3","1591","0.419412019986621","0.404683362205305","0.434140677767936"
"nicht erwerbstätig","2016","4","1883","0.344800764478069","0.332824942939953","0.356776586016185"
"nicht erwerbstätig","2016","5 Einkommensstärkstes Quintil","1667","0.228614840195143","0.218717013442781","0.238512666947506"
"erwerbstätig","2017","1 Einkommensschwächstes Quintil","1569","0.410084684095898","0.398485298824264","0.421684069367532"
"erwerbstätig","2017","2","2427","0.540040360532939","0.525265252689319","0.554815468376559"
"erwerbstätig","2017","3","3017","0.596999364796145","0.582935975451441","0.61106275414085"
"erwerbstätig","2017","4","4669","0.649198520776791","0.637764747040857","0.660632294512724"
"erwerbstätig","2017","5 Einkommensstärkstes Quintil","6529","0.761830111456002","0.752776236433451","0.770883986478552"
"nicht erwerbstätig","2017","1 Einkommensschwächstes Quintil","5338","0.589915315904102","0.578315930632468","0.601514701175736"
"nicht erwerbstätig","2017","2","1944","0.459959639467061","0.44518453162344","0.474734747310681"
"nicht erwerbstätig","2017","3","1656","0.403000635203855","0.38893724585915","0.417064024548559"
"nicht erwerbstätig","2017","4","2023","0.350801479223209","0.339367705487276","0.362235252959143"
"nicht erwerbstätig","2017","5 Einkommensstärkstes Quintil","1974","0.238169888543998","0.229116013521448","0.247223763566549"
"erwerbstätig","2018","1 Einkommensschwächstes Quintil","1608","0.420487201731173","0.407948528553722","0.433025874908624"
"erwerbstätig","2018","2","2061","0.512540888948617","0.497043136972563","0.528038640924671"
"erwerbstätig","2018","3","2782","0.575905887813853","0.561283386724096","0.59052838890361"
"erwerbstätig","2018","4","4682","0.655759785026842","0.644414432124964","0.66710513792872"
"erwerbstätig","2018","5 Einkommensstärkstes Quintil","6711","0.775517646192576","0.766752671849507","0.784282620535645"
"nicht erwerbstätig","2018","1 Einkommensschwächstes Quintil","4346","0.579512798268827","0.566974125091376","0.592051471446278"
"nicht erwerbstätig","2018","2","1935","0.487459111051383","0.471961359075329","0.502956863027437"
"nicht erwerbstätig","2018","3","1606","0.424094112186147","0.40947161109639","0.438716613275904"
"nicht erwerbstätig","2018","4","2055","0.344240214973158","0.33289486207128","0.355585567875036"
"nicht erwerbstätig","2018","5 Einkommensstärkstes Quintil","1994","0.224482353807424","0.215717379464355","0.233247328150493"
"erwerbstätig","2019","1 Einkommensschwächstes Quintil","1413","0.421550056433518","0.407713820767115","0.435386292099921"
"erwerbstätig","2019","2","1864","0.495244042170729","0.479048384692833","0.511439699648625"
"erwerbstätig","2019","3","2397","0.571101215458868","0.555586307418713","0.586616123499023"
"erwerbstätig","2019","4","4481","0.643664896071929","0.632021382895927","0.655308409247931"
"erwerbstätig","2019","5 Einkommensstärkstes Quintil","8325","0.76304380577131","0.754988090700487","0.771099520842133"
"nicht erwerbstätig","2019","1 Einkommensschwächstes Quintil","3480","0.578449943566482","0.564613707900079","0.592286179232885"
"nicht erwerbstätig","2019","2","1797","0.504755957829271","0.488560300351375","0.520951615307166"
"nicht erwerbstätig","2019","3","1512","0.428898784541132","0.413383876500977","0.444413692581287"
"nicht erwerbstätig","2019","4","2018","0.356335103928071","0.344691590752069","0.367978617104073"
"nicht erwerbstätig","2019","5 Einkommensstärkstes Quintil","2378","0.23695619422869","0.228900479157867","0.245011909299513"
"erwerbstätig","2020","1 Einkommensschwächstes Quintil","1482","0.392563333440089","0.378346315592659","0.406780351287518"
"erwerbstätig","2020","2","2033","0.494948675516435","0.479495102984566","0.510402248048305"
"erwerbstätig","2020","3","2245","0.543728537947359","0.527718361608507","0.55973871428621"
"erwerbstätig","2020","4","4588","0.620700045873296","0.609128274443597","0.632271817302995"
"erwerbstätig","2020","5 Einkommensstärkstes Quintil","8517","0.763995175533458","0.756055650649573","0.771934700417343"
"nicht erwerbstätig","2020","1 Einkommensschwächstes Quintil","3050","0.607436666559911","0.593219648712482","0.621653684407341"
"nicht erwerbstätig","2020","2","1988","0.505051324483564","0.489597751951695","0.520504897015434"
"nicht erwerbstätig","2020","3","1473","0.456271462052641","0.44026128571379","0.472281638391493"
"nicht erwerbstätig","2020","4","2166","0.379299954126704","0.367728182697005","0.390871725556403"
"nicht erwerbstätig","2020","5 Einkommensstärkstes Quintil","2471","0.236004824466542","0.228065299582657","0.243944349350427"
