"e11102","year","age_gr","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"erwerbstätig","1987","46-65","Westdeutschland","2056","0.612137228404187","0.59527580026842","0.628998656539955"
"erwerbstätig","1987","46-65","Ostdeutschland","","","",""
"erwerbstätig","1987","66","Westdeutschland","","","",""
"erwerbstätig","1987","66","Ostdeutschland","","","",""
"nicht erwerbstätig","1988","17-29","Westdeutschland","844","0.26648919458096","0.250316791586598","0.282661597575322"
"nicht erwerbstätig","1988","17-29","Ostdeutschland","","","",""
"nicht erwerbstätig","1988","30-45","Westdeutschland","617","0.193325556561467","0.179079859718187","0.207571253404747"
"nicht erwerbstätig","1988","30-45","Ostdeutschland","","","",""
"nicht erwerbstätig","1988","46-65","Westdeutschland","1096","0.376290582543673","0.359267001958417","0.393314163128929"
"nicht erwerbstätig","1988","46-65","Ostdeutschland","","","",""
"nicht erwerbstätig","1988","66","Westdeutschland","","","",""
"nicht erwerbstätig","1988","66","Ostdeutschland","","","",""
"erwerbstätig","1988","17-29","Westdeutschland","2027","0.73351080541904","0.717338402424678","0.749683208413402"
"erwerbstätig","1988","17-29","Ostdeutschland","","","",""
"erwerbstätig","1988","30-45","Westdeutschland","2335","0.806674443438533","0.792428746595253","0.820920140281813"
"erwerbstätig","1988","30-45","Ostdeutschland","","","",""
"erwerbstätig","1988","46-65","Westdeutschland","2015","0.623709417456327","0.606685836871071","0.640732998041583"
"erwerbstätig","1988","46-65","Ostdeutschland","","","",""
"erwerbstätig","1988","66","Westdeutschland","","","",""
"erwerbstätig","1988","66","Ostdeutschland","","","",""
"nicht erwerbstätig","1989","17-29","Westdeutschland","824","0.278756054543465","0.262227364655502","0.295284744431428"
"nicht erwerbstätig","1989","17-29","Ostdeutschland","","","",""
"nicht erwerbstätig","1989","30-45","Westdeutschland","574","0.187955583500175","0.173592305631974","0.202318861368375"
"nicht erwerbstätig","1989","30-45","Ostdeutschland","","","",""
"nicht erwerbstätig","1989","46-65","Westdeutschland","1053","0.376651215493118","0.359260016812537","0.3940424141737"
"nicht erwerbstätig","1989","46-65","Ostdeutschland","","","",""
"nicht erwerbstätig","1989","66","Westdeutschland","","","",""
"nicht erwerbstätig","1989","66","Ostdeutschland","","","",""
"erwerbstätig","1989","17-29","Westdeutschland","2003","0.721243945456535","0.704715255568572","0.737772635344498"
"erwerbstätig","1989","17-29","Ostdeutschland","","","",""
"erwerbstätig","1989","30-45","Westdeutschland","2268","0.812044416499826","0.797681138631625","0.826407694368026"
"erwerbstätig","1989","30-45","Ostdeutschland","","","",""
"erwerbstätig","1989","46-65","Westdeutschland","1929","0.623348784506882","0.6059575858263","0.640739983187463"
"erwerbstätig","1989","46-65","Ostdeutschland","","","",""
"erwerbstätig","1989","66","Westdeutschland","","","",""
"erwerbstätig","1989","66","Ostdeutschland","","","",""
"nicht erwerbstätig","1990","17-29","Westdeutschland","742","0.252478986067394","0.23613765247815","0.268820319656637"
"nicht erwerbstätig","1990","17-29","Ostdeutschland","","","",""
"nicht erwerbstätig","1990","30-45","Westdeutschland","533","0.179292003599119","0.165063305105742","0.193520702092497"
"nicht erwerbstätig","1990","30-45","Ostdeutschland","","","",""
"nicht erwerbstätig","1990","46-65","Westdeutschland","1040","0.368298680173358","0.350785730860725","0.385811629485991"
"nicht erwerbstätig","1990","46-65","Ostdeutschland","","","",""
"nicht erwerbstätig","1990","66","Westdeutschland","","","",""
"nicht erwerbstätig","1990","66","Ostdeutschland","","","",""
"erwerbstätig","1990","17-29","Westdeutschland","1973","0.747521013932606","0.731179680343363","0.76386234752185"
"erwerbstätig","1990","17-29","Ostdeutschland","","","",""
"erwerbstätig","1990","30-45","Westdeutschland","2259","0.820707996400881","0.806479297907503","0.834936694894258"
"erwerbstätig","1990","30-45","Ostdeutschland","","","",""
"erwerbstätig","1990","46-65","Westdeutschland","1874","0.631701319826642","0.614188370514009","0.649214269139275"
"erwerbstätig","1990","46-65","Ostdeutschland","","","",""
"erwerbstätig","1990","66","Westdeutschland","","","",""
"erwerbstätig","1990","66","Ostdeutschland","","","",""
"nicht erwerbstätig","1991","17-29","Westdeutschland","728","0.250435897516385","0.234044744090231","0.26682705094254"
"nicht erwerbstätig","1991","17-29","Ostdeutschland","","","",""
"nicht erwerbstätig","1991","30-45","Westdeutschland","510","0.170902452334844","0.157004380271618","0.18480052439807"
"nicht erwerbstätig","1991","30-45","Ostdeutschland","","","",""
"nicht erwerbstätig","1991","46-65","Westdeutschland","989","0.356402921326353","0.338828749638863","0.373977093013844"
"nicht erwerbstätig","1991","46-65","Ostdeutschland","","","",""
"nicht erwerbstätig","1991","66","Westdeutschland","","","",""
"nicht erwerbstätig","1991","66","Ostdeutschland","","","",""
"erwerbstätig","1991","17-29","Westdeutschland","1956","0.749564102483614","0.73317294905746","0.765955255909769"
"erwerbstätig","1991","17-29","Ostdeutschland","","","",""
"erwerbstätig","1991","30-45","Westdeutschland","2308","0.829097547665156","0.81519947560193","0.842995619728382"
"erwerbstätig","1991","30-45","Ostdeutschland","","","",""
"erwerbstätig","1991","46-65","Westdeutschland","1864","0.643597078673646","0.626022906986156","0.661171250361137"
"erwerbstätig","1991","46-65","Ostdeutschland","","","",""
"erwerbstätig","1991","66","Westdeutschland","","","",""
"erwerbstätig","1991","66","Ostdeutschland","","","",""
"nicht erwerbstätig","1992","17-29","Westdeutschland","728","0.257233201298844","0.240622153597151","0.273844249000538"
"nicht erwerbstätig","1992","17-29","Ostdeutschland","217","0.208186160565918","0.181864549648116","0.23450777148372"
"nicht erwerbstätig","1992","30-45","Westdeutschland","486","0.161788293347753","0.148208621578867","0.17536796511664"
"nicht erwerbstätig","1992","30-45","Ostdeutschland","85","0.061253559113997","0.0488510176700945","0.0736561005578995"
"nicht erwerbstätig","1992","46-65","Westdeutschland","960","0.353694607173868","0.335975780219318","0.371413434128417"
"nicht erwerbstätig","1992","46-65","Ostdeutschland","348","0.303826375972615","0.278176449087893","0.329476302857337"
"nicht erwerbstätig","1992","66","Westdeutschland","","","",""
"nicht erwerbstätig","1992","66","Ostdeutschland","","","",""
"erwerbstätig","1992","17-29","Westdeutschland","1932","0.742766798701156","0.726155750999462","0.759377846402849"
"erwerbstätig","1992","17-29","Ostdeutschland","697","0.791813839434082","0.76549222851628","0.818135450351884"
"erwerbstätig","1992","30-45","Westdeutschland","2339","0.838211706652247","0.82463203488336","0.851791378421133"
"erwerbstätig","1992","30-45","Ostdeutschland","1351","0.938746440886003","0.9263438994421","0.951148982329906"
"erwerbstätig","1992","46-65","Westdeutschland","1837","0.646305392826132","0.628586565871582","0.664024219780681"
"erwerbstätig","1992","46-65","Ostdeutschland","887","0.696173624027385","0.670523697142662","0.721823550912107"
"erwerbstätig","1992","66","Westdeutschland","","","",""
"erwerbstätig","1992","66","Ostdeutschland","","","",""
"nicht erwerbstätig","1993","17-29","Westdeutschland","695","0.256935440648334","0.240185218159623","0.273685663137045"
"nicht erwerbstätig","1993","17-29","Ostdeutschland","250","0.27037274768474","0.240825283886649","0.299920211482831"
"nicht erwerbstätig","1993","30-45","Westdeutschland","479","0.159786636237392","0.14625114846227","0.173322124012514"
"nicht erwerbstätig","1993","30-45","Ostdeutschland","146","0.106559482275947","0.0902977849344255","0.122821179617469"
"nicht erwerbstätig","1993","46-65","Westdeutschland","929","0.344231420884253","0.326506099975422","0.361956741793084"
"nicht erwerbstätig","1993","46-65","Ostdeutschland","469","0.433738911751475","0.405581212713243","0.461896610789707"
"nicht erwerbstätig","1993","66","Westdeutschland","","","",""
"nicht erwerbstätig","1993","66","Ostdeutschland","","","",""
"erwerbstätig","1993","17-29","Westdeutschland","1919","0.743064559351666","0.726314336862955","0.759814781840377"
"erwerbstätig","1993","17-29","Ostdeutschland","618","0.72962725231526","0.700079788517169","0.759174716113351"
"erwerbstätig","1993","30-45","Westdeutschland","2336","0.840213363762608","0.826677875987486","0.85374885153773"
"erwerbstätig","1993","30-45","Ostdeutschland","1237","0.893440517724053","0.877178820382531","0.909702215065575"
"erwerbstätig","1993","46-65","Westdeutschland","1831","0.655768579115747","0.638043258206916","0.673493900024578"
"erwerbstätig","1993","46-65","Ostdeutschland","721","0.566261088248525","0.538103389210293","0.594418787286756"
"erwerbstätig","1993","66","Westdeutschland","","","",""
"erwerbstätig","1993","66","Ostdeutschland","","","",""
"nicht erwerbstätig","1994","17-29","Westdeutschland","726","0.293213795706038","0.275368887484792","0.311058703927285"
"nicht erwerbstätig","1994","17-29","Ostdeutschland","241","0.269376717119723","0.239446928504605","0.299306505734842"
"nicht erwerbstätig","1994","30-45","Westdeutschland","498","0.164440252375852","0.150722767799077","0.178157736952627"
"nicht erwerbstätig","1994","30-45","Ostdeutschland","162","0.129682802857236","0.111715203237164","0.147650402477309"
"nicht erwerbstätig","1994","46-65","Westdeutschland","939","0.351465809898248","0.333454113043486","0.36947750675301"
"nicht erwerbstätig","1994","46-65","Ostdeutschland","527","0.479226411679092","0.4508426822521","0.507610141106083"
"nicht erwerbstätig","1994","66","Westdeutschland","","","",""
"nicht erwerbstätig","1994","66","Ostdeutschland","","","",""
"erwerbstätig","1994","17-29","Westdeutschland","1774","0.706786204293962","0.688941296072715","0.724631112515209"
"erwerbstätig","1994","17-29","Ostdeutschland","603","0.730623282880277","0.700693494265158","0.760553071495395"
"erwerbstätig","1994","30-45","Westdeutschland","2307","0.835559747624148","0.821842263047373","0.849277232200923"
"erwerbstätig","1994","30-45","Ostdeutschland","1181","0.870317197142764","0.852349597522691","0.888284796762836"
"erwerbstätig","1994","46-65","Westdeutschland","1760","0.648534190101752","0.63052249324699","0.666545886956514"
"erwerbstätig","1994","46-65","Ostdeutschland","663","0.520773588320909","0.492389858893917","0.5491573177479"
"erwerbstätig","1994","66","Westdeutschland","","","",""
"erwerbstätig","1994","66","Ostdeutschland","","","",""
"nicht erwerbstätig","1995","17-29","Westdeutschland","798","0.313206578219301","0.295105516436129","0.331307640002472"
"nicht erwerbstätig","1995","17-29","Ostdeutschland","265","0.296251076405342","0.265243742172551","0.327258410638132"
"nicht erwerbstätig","1995","30-45","Westdeutschland","620","0.187596571169832","0.17398301461008","0.201210127729583"
"nicht erwerbstätig","1995","30-45","Ostdeutschland","156","0.125970729162458","0.107800042628292","0.144141415696625"
"nicht erwerbstätig","1995","46-65","Westdeutschland","990","0.364420567323813","0.346572180052758","0.382268954594868"
"nicht erwerbstätig","1995","46-65","Ostdeutschland","481","0.459670591795733","0.431162594747107","0.488178588844358"
"nicht erwerbstätig","1995","66","Westdeutschland","","","",""
"nicht erwerbstätig","1995","66","Ostdeutschland","","","",""
"erwerbstätig","1995","17-29","Westdeutschland","1724","0.686793421780699","0.668692359997527","0.70489448356387"
"erwerbstätig","1995","17-29","Ostdeutschland","568","0.703748923594659","0.672741589361868","0.734756257827449"
"erwerbstätig","1995","30-45","Westdeutschland","2539","0.812403428830168","0.798789872270417","0.82601698538992"
"erwerbstätig","1995","30-45","Ostdeutschland","1125","0.874029270837541","0.855858584303375","0.892199957371707"
"erwerbstätig","1995","46-65","Westdeutschland","1803","0.635579432676187","0.617731045405132","0.653427819947242"
"erwerbstätig","1995","46-65","Ostdeutschland","693","0.540329408204267","0.511821411155642","0.568837405252893"
"erwerbstätig","1995","66","Westdeutschland","","","",""
"erwerbstätig","1995","66","Ostdeutschland","","","",""
"nicht erwerbstätig","1996","17-29","Westdeutschland","709","0.310716078270943","0.291920993698196","0.32951116284369"
"nicht erwerbstätig","1996","17-29","Ostdeutschland","274","0.320349316997079","0.288681374641569","0.352017259352589"
"nicht erwerbstätig","1996","30-45","Westdeutschland","577","0.17134114849944","0.15823440048579","0.18444789651309"
"nicht erwerbstätig","1996","30-45","Ostdeutschland","128","0.106856623888338","0.0897987800729654","0.12391446770371"
"nicht erwerbstätig","1996","46-65","Westdeutschland","972","0.363743588166439","0.345697605878554","0.381789570454323"
"nicht erwerbstätig","1996","46-65","Ostdeutschland","468","0.449044420531125","0.420567879853229","0.477520961209021"
"nicht erwerbstätig","1996","66","Westdeutschland","","","",""
"nicht erwerbstätig","1996","66","Ostdeutschland","","","",""
"erwerbstätig","1996","17-29","Westdeutschland","1620","0.689283921729057","0.67048883715631","0.708079006301804"
"erwerbstätig","1996","17-29","Ostdeutschland","560","0.679650683002921","0.647982740647411","0.711318625358431"
"erwerbstätig","1996","30-45","Westdeutschland","2598","0.82865885150056","0.81555210348691","0.84176559951421"
"erwerbstätig","1996","30-45","Ostdeutschland","1132","0.893143376111662","0.87608553229629","0.910201219927035"
"erwerbstätig","1996","46-65","Westdeutschland","1758","0.636256411833561","0.618210429545677","0.654302394121446"
"erwerbstätig","1996","46-65","Ostdeutschland","704","0.550955579468875","0.52247903879098","0.579432120146771"
"erwerbstätig","1996","66","Westdeutschland","","","",""
"erwerbstätig","1996","66","Ostdeutschland","","","",""
"nicht erwerbstätig","1997","17-29","Westdeutschland","729","0.334069427985939","0.314337765776109","0.353801090195768"
"nicht erwerbstätig","1997","17-29","Ostdeutschland","281","0.325771362533017","0.29394510007182","0.357597624994214"
"nicht erwerbstätig","1997","30-45","Westdeutschland","581","0.166679912186468","0.153718408100166","0.179641416272771"
"nicht erwerbstätig","1997","30-45","Ostdeutschland","154","0.130285008858934","0.111151577392354","0.149418440325514"
"nicht erwerbstätig","1997","46-65","Westdeutschland","969","0.37082908800264","0.352531446266245","0.389126729739034"
"nicht erwerbstätig","1997","46-65","Ostdeutschland","459","0.454854999961861","0.426394866440784","0.483315133482937"
"nicht erwerbstätig","1997","66","Westdeutschland","","","",""
"nicht erwerbstätig","1997","66","Ostdeutschland","","","",""
"erwerbstätig","1997","17-29","Westdeutschland","1466","0.665930572014061","0.646198909804232","0.685662234223891"
"erwerbstätig","1997","17-29","Ostdeutschland","552","0.674228637466983","0.642402375005786","0.70605489992818"
"erwerbstätig","1997","30-45","Westdeutschland","2595","0.833320087813532","0.820358583727229","0.846281591899834"
"erwerbstätig","1997","30-45","Ostdeutschland","1035","0.869714991141066","0.850581559674486","0.888848422607646"
"erwerbstätig","1997","46-65","Westdeutschland","1708","0.62917091199736","0.610873270260966","0.647468553733755"
"erwerbstätig","1997","46-65","Ostdeutschland","717","0.545145000038139","0.516684866517063","0.573605133559216"
"erwerbstätig","1997","66","Westdeutschland","","","",""
"erwerbstätig","1997","66","Ostdeutschland","","","",""
"nicht erwerbstätig","1998","17-29","Westdeutschland","787","0.352926482028176","0.333366655429745","0.372486308626607"
"nicht erwerbstätig","1998","17-29","Ostdeutschland","274","0.311040718536716","0.280280184886382","0.34180125218705"
"nicht erwerbstätig","1998","30-45","Westdeutschland","669","0.180817282124337","0.168208370490358","0.193426193758316"
"nicht erwerbstätig","1998","30-45","Ostdeutschland","164","0.131286883924695","0.112550332562279","0.150023435287111"
"nicht erwerbstätig","1998","46-65","Westdeutschland","1183","0.375089970853143","0.358104496492328","0.392075445213958"
"nicht erwerbstätig","1998","46-65","Ostdeutschland","509","0.458033583706724","0.43065320918252","0.485413958230928"
"nicht erwerbstätig","1998","66","Westdeutschland","","","",""
"nicht erwerbstätig","1998","66","Ostdeutschland","","","",""
"erwerbstätig","1998","17-29","Westdeutschland","1506","0.647073517971824","0.627513691373393","0.666633344570255"
"erwerbstätig","1998","17-29","Ostdeutschland","596","0.688959281463284","0.65819874781295","0.719719815113617"
"erwerbstätig","1998","30-45","Westdeutschland","2910","0.819182717875663","0.806573806241684","0.831791629509642"
"erwerbstätig","1998","30-45","Ostdeutschland","1084","0.868713116075305","0.849976564712889","0.887449667437721"
"erwerbstätig","1998","46-65","Westdeutschland","1938","0.624910029146857","0.607924554786042","0.641895503507672"
"erwerbstätig","1998","46-65","Ostdeutschland","763","0.541966416293276","0.514586041769072","0.56934679081748"
"erwerbstätig","1998","66","Westdeutschland","","","",""
"erwerbstätig","1998","66","Ostdeutschland","","","",""
"nicht erwerbstätig","1999","17-29","Westdeutschland","653","0.307238331594932","0.287687180928692","0.326789482261173"
"nicht erwerbstätig","1999","17-29","Ostdeutschland","257","0.304628351264454","0.273392113809001","0.335864588719907"
"nicht erwerbstätig","1999","30-45","Westdeutschland","568","0.150574630877616","0.138706061568807","0.162443200186424"
"nicht erwerbstätig","1999","30-45","Ostdeutschland","146","0.124799786213525","0.106292588060344","0.143306984366705"
"nicht erwerbstätig","1999","46-65","Westdeutschland","1069","0.351864013793319","0.334628223610583","0.369099803976056"
"nicht erwerbstätig","1999","46-65","Ostdeutschland","491","0.441907030800631","0.414265888945844","0.469548172655419"
"nicht erwerbstätig","1999","66","Westdeutschland","","","",""
"nicht erwerbstätig","1999","66","Ostdeutschland","","","",""
"erwerbstätig","1999","17-29","Westdeutschland","1486","0.692761668405067","0.673210517738827","0.712312819071308"
"erwerbstätig","1999","17-29","Ostdeutschland","577","0.695371648735546","0.664135411280093","0.726607886190999"
"erwerbstätig","1999","30-45","Westdeutschland","2920","0.849425369122384","0.837556799813576","0.861293938431193"
"erwerbstätig","1999","30-45","Ostdeutschland","1079","0.875200213786475","0.856693015633295","0.893707411939656"
"erwerbstätig","1999","46-65","Westdeutschland","1880","0.648135986206681","0.630900196023944","0.665371776389417"
"erwerbstätig","1999","46-65","Ostdeutschland","749","0.558092969199369","0.530451827344581","0.585734111054156"
"erwerbstätig","1999","66","Westdeutschland","","","",""
"erwerbstätig","1999","66","Ostdeutschland","","","",""
"nicht erwerbstätig","2000","17-29","Westdeutschland","1019","0.284586662305145","0.269372789447964","0.299800535162327"
"nicht erwerbstätig","2000","17-29","Ostdeutschland","360","0.284922042990156","0.259372789238954","0.310471296741358"
"nicht erwerbstätig","2000","30-45","Westdeutschland","1039","0.148927502433801","0.140166143622593","0.157688861245009"
"nicht erwerbstätig","2000","30-45","Ostdeutschland","237","0.128929146503929","0.113541358314603","0.144316934693255"
"nicht erwerbstätig","2000","46-65","Westdeutschland","2116","0.347669657395617","0.335430456121759","0.359908858669475"
"nicht erwerbstätig","2000","46-65","Ostdeutschland","767","0.410780957203009","0.388950491789751","0.432611422616267"
"nicht erwerbstätig","2000","66","Westdeutschland","","","",""
"nicht erwerbstätig","2000","66","Ostdeutschland","","","",""
"erwerbstätig","2000","17-29","Westdeutschland","2360","0.715413337694855","0.700199464837673","0.730627210552036"
"erwerbstätig","2000","17-29","Ostdeutschland","839","0.715077957009844","0.689528703258642","0.740627210761046"
"erwerbstätig","2000","30-45","Westdeutschland","5304","0.851072497566199","0.842311138754991","0.859833856377407"
"erwerbstätig","2000","30-45","Ostdeutschland","1585","0.871070853496071","0.855683065306745","0.886458641685397"
"erwerbstätig","2000","46-65","Westdeutschland","3700","0.652330342604382","0.640091141330525","0.66456954387824"
"erwerbstätig","2000","46-65","Ostdeutschland","1184","0.589219042796991","0.567388577383733","0.61104950821025"
"erwerbstätig","2000","66","Westdeutschland","","","",""
"erwerbstätig","2000","66","Ostdeutschland","","","",""
"nicht erwerbstätig","2001","17-29","Westdeutschland","878","0.274520673268715","0.25853531989273","0.290506026644699"
"nicht erwerbstätig","2001","17-29","Ostdeutschland","337","0.288299648956602","0.261591880723648","0.315007417189556"
"nicht erwerbstätig","2001","30-45","Westdeutschland","840","0.131037456037139","0.122262722211433","0.139812189862846"
"nicht erwerbstätig","2001","30-45","Ostdeutschland","228","0.132356438579653","0.115990364902167","0.148722512257139"
"nicht erwerbstätig","2001","46-65","Westdeutschland","1816","0.336013489955686","0.323238995650553","0.34878798426082"
"nicht erwerbstätig","2001","46-65","Ostdeutschland","720","0.404913897033843","0.382503132695113","0.427324661372572"
"nicht erwerbstätig","2001","66","Westdeutschland","","","",""
"nicht erwerbstätig","2001","66","Ostdeutschland","","","",""
"erwerbstätig","2001","17-29","Westdeutschland","2116","0.725479326731285","0.709493973355301","0.74146468010727"
"erwerbstätig","2001","17-29","Ostdeutschland","768","0.711700351043398","0.684992582810444","0.738408119276352"
"erwerbstätig","2001","30-45","Westdeutschland","4841","0.868962543962861","0.860187810137154","0.877737277788567"
"erwerbstätig","2001","30-45","Ostdeutschland","1419","0.867643561420347","0.851277487742861","0.884009635097833"
"erwerbstätig","2001","46-65","Westdeutschland","3436","0.663986510044314","0.65121201573918","0.676761004349447"
"erwerbstätig","2001","46-65","Ostdeutschland","1123","0.595086102966157","0.572675338627428","0.617496867304887"
"erwerbstätig","2001","66","Westdeutschland","","","",""
"erwerbstätig","2001","66","Ostdeutschland","","","",""
"nicht erwerbstätig","2002","17-29","Westdeutschland","972","0.29315832684582","0.27704278018727","0.30927387350437"
"nicht erwerbstätig","2002","17-29","Ostdeutschland","343","0.302354754879562","0.274912633809154","0.32979687594997"
"nicht erwerbstätig","2002","30-45","Westdeutschland","828","0.139514802533299","0.130640598631452","0.148389006435146"
"nicht erwerbstätig","2002","30-45","Ostdeutschland","220","0.152913479169912","0.135189661534556","0.170637296805269"
"nicht erwerbstätig","2002","46-65","Westdeutschland","1813","0.329438624299639","0.317519115495967","0.341358133103311"
"nicht erwerbstätig","2002","46-65","Ostdeutschland","677","0.401992686597257","0.379835428481922","0.424149944712591"
"nicht erwerbstätig","2002","66","Westdeutschland","","","",""
"nicht erwerbstätig","2002","66","Ostdeutschland","","","",""
"erwerbstätig","2002","17-29","Westdeutschland","2093","0.70684167315418","0.69072612649563","0.72295721981273"
"erwerbstätig","2002","17-29","Ostdeutschland","733","0.697645245120438","0.67020312405003","0.725087366190846"
"erwerbstätig","2002","30-45","Westdeutschland","5028","0.860485197466701","0.851610993564854","0.869359401368548"
"erwerbstätig","2002","30-45","Ostdeutschland","1364","0.847086520830088","0.829362703194731","0.864810338465444"
"erwerbstätig","2002","46-65","Westdeutschland","4160","0.670561375700361","0.658641866896689","0.682480884504033"
"erwerbstätig","2002","46-65","Ostdeutschland","1204","0.598007313402743","0.575850055287409","0.620164571518078"
"erwerbstätig","2002","66","Westdeutschland","","","",""
"erwerbstätig","2002","66","Ostdeutschland","","","",""
"nicht erwerbstätig","2003","17-29","Westdeutschland","977","0.312609541461075","0.295844718088774","0.329374364833377"
"nicht erwerbstätig","2003","17-29","Ostdeutschland","371","0.353977865926112","0.325325007460194","0.382630724392029"
"nicht erwerbstätig","2003","30-45","Westdeutschland","777","0.143706745588159","0.134392674985359","0.153020816190959"
"nicht erwerbstätig","2003","30-45","Ostdeutschland","209","0.149219073960448","0.13111536046303","0.167322787457866"
"nicht erwerbstätig","2003","46-65","Westdeutschland","1710","0.327492721943187","0.315304213917804","0.339681229968571"
"nicht erwerbstätig","2003","46-65","Ostdeutschland","653","0.390738567704068","0.368665589300273","0.412811546107863"
"nicht erwerbstätig","2003","66","Westdeutschland","","","",""
"nicht erwerbstätig","2003","66","Ostdeutschland","","","",""
"erwerbstätig","2003","17-29","Westdeutschland","1960","0.687390458538925","0.670625635166623","0.704155281911226"
"erwerbstätig","2003","17-29","Ostdeutschland","699","0.646022134073888","0.617369275607971","0.674674992539806"
"erwerbstätig","2003","30-45","Westdeutschland","4672","0.856293254411841","0.846979183809041","0.865607325014641"
