year,sampreg,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2018,West,female,12081,165.42747005095208,165.20915079563616,165.65913373573366,160.0,165.0,170.0,145.0,185.0,165.0,165.0,165.0
2018,East,male,2858,178.33183042080415,177.8897538281236,178.78270621526497,173.0,178.0,183.0,158.0,198.0,178.0,178.0,178.0
2018,East,female,3198,164.80970701550137,164.47458913505412,165.17876791276421,160.0,165.0,170.0,145.0,185.0,165.0,165.0,166.0
2019,West,male,,,,,,,,,,,,
2019,West,female,,,,,,,,,,,,
2019,East,male,,,,,,,,,,,,
2019,East,female,,,,,,,,,,,,
2020,West,male,9882,179.1184796387925,178.83048504034548,179.37210013622484,174.0,179.0,184.0,159.0,199.0,179.0,178.0,180.0
2020,West,female,10748,165.68431964462138,165.47960248771776,165.899585279421,160.0,165.0,170.0,145.0,185.0,165.0,164.0,165.0
2020,East,male,2570,178.54076489226705,178.03211905890487,179.12927156007868,174.0,178.0,183.0,160.5,196.5,178.0,177.0,178.0
2020,East,female,2830,165.00184490021368,164.65289554270763,165.39873725232908,160.0,165.0,170.0,145.0,185.0,165.0,165.0,165.0
2021,West,male,,,,,,,,,,,,
2021,West,female,,,,,,,,,,,,
2021,East,male,,,,,,,,,,,,
2021,East,female,,,,,,,,,,,,
