year,quintil_oecd,plb0417_v2,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1995,2nd Quintile,Probably,0.03035,131,1340,0.02116,0.03954
1995,2nd Quintile,"Yes, definitely",0.07596,326,1340,0.06177,0.09015
1995,3rd Quintile,"No, definitely not",0.25698,600,966,0.22941,0.28455
1995,3rd Quintile,Probably not,0.01242,41,966,0.00543,0.01940
1995,3rd Quintile,Probably,0.02563,86,966,0.01566,0.03560
1995,3rd Quintile,"Yes, definitely",0.05710,239,966,0.04246,0.07174
1995,4th Quintile,"No, definitely not",0.21616,490,792,0.18747,0.24484
1995,4th Quintile,Probably not,0.01742,49,792,0.00830,0.02653
1995,4th Quintile,Probably,0.01802,66,792,0.00875,0.02729
1995,4th Quintile,"Yes, definitely",0.04820,187,792,0.03327,0.06312
1995,5th Quintile,"No, definitely not",0.18015,404,647,0.15051,0.20978
1995,5th Quintile,Probably not,0.01812,45,647,0.00783,0.02841
1995,5th Quintile,Probably,0.01598,52,647,0.00631,0.02565
1995,5th Quintile,"Yes, definitely",0.04206,146,647,0.02658,0.05754
1996,1st Quintile,"No, definitely not",0.30488,804,1524,0.28176,0.32800
1996,1st Quintile,Probably not,0.01278,60,1524,0.00714,0.01842
1996,1st Quintile,Probably,0.04715,186,1524,0.03651,0.05780
1996,1st Quintile,"Yes, definitely",0.12617,474,1524,0.10950,0.14285
1996,2nd Quintile,"No, definitely not",0.29250,743,1245,0.26722,0.31778
1996,2nd Quintile,Probably not,0.01882,58,1245,0.01127,0.02637
1996,2nd Quintile,Probably,0.03064,120,1245,0.02106,0.04021
1996,2nd Quintile,"Yes, definitely",0.07136,324,1245,0.05706,0.08567
1996,3rd Quintile,"No, definitely not",0.26290,634,1005,0.23567,0.29013
1996,3rd Quintile,Probably not,0.01552,46,1005,0.00788,0.02317
1996,3rd Quintile,Probably,0.02722,88,1005,0.01716,0.03729
1996,3rd Quintile,"Yes, definitely",0.06410,237,1005,0.04895,0.07925
1996,4th Quintile,"No, definitely not",0.22524,542,839,0.19696,0.25353
1996,4th Quintile,Probably not,0.01576,45,839,0.00732,0.02419
1996,4th Quintile,Probably,0.01902,76,839,0.00977,0.02827
1996,4th Quintile,"Yes, definitely",0.04333,176,839,0.02955,0.05712
1996,5th Quintile,"No, definitely not",0.18486,389,644,0.15486,0.21486
1996,5th Quintile,Probably not,0.02001,47,644,0.00919,0.03084
1996,5th Quintile,Probably,0.01076,44,644,0.00279,0.01874
1996,5th Quintile,"Yes, definitely",0.05299,164,644,0.03568,0.07031
1997,1st Quintile,"No, definitely not",0.32380,802,1480,0.29995,0.34765
1997,1st Quintile,Probably not,0.02352,83,1480,0.01580,0.03124
1997,1st Quintile,Probably,0.04700,164,1480,0.03621,0.05778
1997,1st Quintile,"Yes, definitely",0.12081,431,1480,0.10420,0.13742
1997,2nd Quintile,"No, definitely not",0.29828,779,1306,0.27346,0.32310
1997,2nd Quintile,Probably not,0.01680,64,1306,0.00983,0.02378
1997,2nd Quintile,Probably,0.03443,130,1306,0.02454,0.04432
1997,2nd Quintile,"Yes, definitely",0.07447,333,1306,0.06022,0.08871
1997,3rd Quintile,"No, definitely not",0.25191,603,995,0.22492,0.27890
1997,3rd Quintile,Probably not,0.01307,44,995,0.00601,0.02013
1997,3rd Quintile,Probably,0.03085,103,995,0.02010,0.04159
1997,3rd Quintile,"Yes, definitely",0.06805,245,995,0.05239,0.08370
1997,4th Quintile,"No, definitely not",0.20662,492,806,0.17865,0.23459
1997,4th Quintile,Probably not,0.01933,52,806,0.00982,0.02884
1997,4th Quintile,Probably,0.01869,68,806,0.00933,0.02804
1997,4th Quintile,"Yes, definitely",0.05247,194,806,0.03706,0.06787
1997,5th Quintile,"No, definitely not",0.20481,441,659,0.17397,0.23565
1997,5th Quintile,Probably not,0.01555,39,659,0.00610,0.02500
1997,5th Quintile,Probably,0.01468,51,659,0.00549,0.02387
1997,5th Quintile,"Yes, definitely",0.03805,128,659,0.02343,0.05266
1998,1st Quintile,"No, definitely not",0.28327,739,1404,0.25969,0.30685
1998,1st Quintile,Probably not,0.02832,78,1404,0.01964,0.03700
1998,1st Quintile,Probably,0.04228,141,1404,0.03175,0.05281
1998,1st Quintile,"Yes, definitely",0.12863,446,1404,0.11111,0.14614
1998,2nd Quintile,"No, definitely not",0.28793,713,1191,0.26220,0.31366
1998,2nd Quintile,Probably not,0.01663,56,1191,0.00937,0.02390
1998,2nd Quintile,Probably,0.03061,109,1191,0.02083,0.04040
1998,2nd Quintile,"Yes, definitely",0.07626,313,1191,0.06118,0.09134
1998,3rd Quintile,"No, definitely not",0.28976,655,1010,0.26176,0.31775
1998,3rd Quintile,Probably not,0.01401,47,1010,0.00676,0.02126
1998,3rd Quintile,Probably,0.01733,66,1010,0.00928,0.02538
1998,3rd Quintile,"Yes, definitely",0.06129,242,1010,0.04649,0.07609
1998,4th Quintile,"No, definitely not",0.22893,530,805,0.19989,0.25798
1998,4th Quintile,Probably not,0.01313,44,805,0.00526,0.02100
1998,4th Quintile,Probably,0.01330,45,805,0.00538,0.02121
1998,4th Quintile,"Yes, definitely",0.05237,186,805,0.03697,0.06776
1998,5th Quintile,"No, definitely not",0.21491,424,631,0.18284,0.24699
1998,5th Quintile,Probably not,0.01446,40,631,0.00514,0.02378
1998,5th Quintile,Probably,0.01193,37,631,0.00345,0.02040
1998,5th Quintile,"Yes, definitely",0.04566,130,631,0.02936,0.06196
1999,1st Quintile,"No, definitely not",0.29140,824,1503,0.26842,0.31438
1999,1st Quintile,Probably not,0.02149,70,1503,0.01416,0.02882
1999,1st Quintile,Probably,0.03365,131,1503,0.02453,0.04278
1999,1st Quintile,"Yes, definitely",0.12365,478,1503,0.10701,0.14030
1999,2nd Quintile,"No, definitely not",0.29805,852,1323,0.27340,0.32271
1999,2nd Quintile,Probably not,0.01604,53,1323,0.00927,0.02282
1999,2nd Quintile,Probably,0.02666,106,1323,0.01798,0.03535
1999,2nd Quintile,"Yes, definitely",0.07354,312,1323,0.05947,0.08761
1999,3rd Quintile,"No, definitely not",0.27801,752,1114,0.25169,0.30433
1999,3rd Quintile,Probably not,0.01107,48,1114,0.00492,0.01722
1999,3rd Quintile,Probably,0.02045,83,1114,0.01214,0.02877
1999,3rd Quintile,"Yes, definitely",0.06139,231,1114,0.04729,0.07549
1999,4th Quintile,"No, definitely not",0.23425,612,827,0.20537,0.26313
1999,4th Quintile,Probably,0.01460,51,827,0.00642,0.02278
1999,4th Quintile,"Yes, definitely",0.03879,164,827,0.02562,0.05196
1999,5th Quintile,"No, definitely not",0.21850,503,699,0.18784,0.24915
1999,5th Quintile,Probably not,0.01174,31,699,0.00375,0.01973
1999,5th Quintile,Probably,0.00964,37,699,0.00239,0.01689
1999,5th Quintile,"Yes, definitely",0.03870,128,699,0.02439,0.05301
2000,1st Quintile,"No, definitely not",0.32547,914,1573,0.30230,0.34863
2000,1st Quintile,Probably not,0.02254,69,1573,0.01520,0.02988
2000,1st Quintile,Probably,0.03364,125,1573,0.02472,0.04255
2000,1st Quintile,"Yes, definitely",0.11895,465,1573,0.10294,0.13495
2000,2nd Quintile,"No, definitely not",0.29246,798,1264,0.26737,0.31755
2000,2nd Quintile,Probably not,0.01364,55,1264,0.00725,0.02004
2000,2nd Quintile,Probably,0.02875,119,1264,0.01953,0.03797
2000,2nd Quintile,"Yes, definitely",0.06936,292,1264,0.05535,0.08337
2000,3rd Quintile,"No, definitely not",0.26661,700,1044,0.23977,0.29345
2000,3rd Quintile,Probably not,0.01052,47,1044,0.00433,0.01671
2000,3rd Quintile,Probably,0.02262,82,1044,0.01360,0.03164
2000,3rd Quintile,"Yes, definitely",0.05415,215,1044,0.04042,0.06789
2000,4th Quintile,"No, definitely not",0.23508,576,823,0.20609,0.26407
2000,4th Quintile,Probably not,0.01192,32,823,0.00450,0.01933
2000,4th Quintile,Probably,0.01674,52,823,0.00797,0.02551
2000,4th Quintile,"Yes, definitely",0.03763,163,823,0.02462,0.05064
2000,5th Quintile,"No, definitely not",0.21332,473,684,0.18260,0.24405
2000,5th Quintile,Probably not,0.01055,36,684,0.00289,0.01821
2000,5th Quintile,Probably,0.01446,49,684,0.00551,0.02342
2000,5th Quintile,"Yes, definitely",0.03892,126,684,0.02441,0.05342
2001,1st Quintile,"No, definitely not",0.30644,1348,2350,0.28780,0.32509
2001,1st Quintile,Probably not,0.02194,112,2350,0.01601,0.02786
2001,1st Quintile,Probably,0.03671,215,2350,0.02910,0.04431
2001,1st Quintile,"Yes, definitely",0.11924,675,2350,0.10613,0.13234
2001,2nd Quintile,"No, definitely not",0.29407,1416,2103,0.27460,0.31355
2001,2nd Quintile,Probably not,0.01215,71,2103,0.00747,0.01684
2001,2nd Quintile,Probably,0.02417,148,2103,0.01760,0.03073
2001,2nd Quintile,"Yes, definitely",0.07130,468,2103,0.06030,0.08230
2001,3rd Quintile,"No, definitely not",0.26632,1273,1827,0.24605,0.28660
2001,3rd Quintile,Probably not,0.00991,70,1827,0.00537,0.01446
2001,3rd Quintile,Probably,0.02089,119,1827,0.01433,0.02745
2001,3rd Quintile,"Yes, definitely",0.05633,365,1827,0.04576,0.06691
2001,4th Quintile,"No, definitely not",0.23409,1105,1545,0.21297,0.25521
2001,4th Quintile,Probably not,0.01016,63,1545,0.00516,0.01516
2001,4th Quintile,Probably,0.01379,84,1545,0.00798,0.01961
2001,4th Quintile,"Yes, definitely",0.04703,293,1545,0.03647,0.05759
2001,5th Quintile,"No, definitely not",0.21470,973,1317,0.19252,0.23689
2001,5th Quintile,Probably not,0.01003,54,1317,0.00465,0.01542
2001,5th Quintile,Probably,0.01244,68,1317,0.00645,0.01843
2001,5th Quintile,"Yes, definitely",0.03649,222,1317,0.02636,0.04663
2002,1st Quintile,"No, definitely not",0.30382,1241,2188,0.28454,0.32309
2002,1st Quintile,Probably not,0.01944,87,2188,0.01365,0.02522
2002,1st Quintile,Probably,0.03872,178,2188,0.03064,0.04681
2002,1st Quintile,"Yes, definitely",0.14053,682,2188,0.12596,0.15510
2002,2nd Quintile,"No, definitely not",0.30754,1371,2011,0.28737,0.32772
2002,2nd Quintile,Probably not,0.01435,64,2011,0.00915,0.01955
2002,2nd Quintile,Probably,0.02573,137,2011,0.01881,0.03265
2002,2nd Quintile,"Yes, definitely",0.08009,439,2011,0.06823,0.09196
2002,3rd Quintile,"No, definitely not",0.26476,1201,1737,0.24400,0.28551
2002,3rd Quintile,Probably not,0.01034,57,1737,0.00558,0.01509
2002,3rd Quintile,Probably,0.02023,107,1737,0.01361,0.02685
2002,3rd Quintile,"Yes, definitely",0.06252,372,1737,0.05113,0.07391
2002,4th Quintile,"No, definitely not",0.24005,1032,1478,0.21827,0.26183
2002,4th Quintile,Probably not,0.00960,58,1478,0.00463,0.01457
2002,4th Quintile,Probably,0.01210,82,1478,0.00652,0.01768
2002,4th Quintile,"Yes, definitely",0.05152,306,1478,0.04025,0.06280
2002,5th Quintile,"No, definitely not",0.21669,962,1357,0.19476,0.23861
2002,5th Quintile,Probably not,0.00856,55,1357,0.00366,0.01346
2002,5th Quintile,Probably,0.00981,71,1357,0.00456,0.01506
2002,5th Quintile,"Yes, definitely",0.04042,269,1357,0.02993,0.05090
2003,1st Quintile,"No, definitely not",0.30091,1210,2165,0.28159,0.32024
2003,1st Quintile,Probably not,0.02214,98,2165,0.01594,0.02834
2003,1st Quintile,Probably,0.03884,178,2165,0.03070,0.04698
2003,1st Quintile,"Yes, definitely",0.15220,679,2165,0.13707,0.16734
2003,2nd Quintile,"No, definitely not",0.29623,1330,1967,0.27605,0.31642
2003,2nd Quintile,Probably not,0.01109,59,1967,0.00646,0.01572
2003,2nd Quintile,Probably,0.02407,122,1967,0.01729,0.03084
2003,2nd Quintile,"Yes, definitely",0.08087,456,1967,0.06882,0.09292
2003,3rd Quintile,"No, definitely not",0.26995,1224,1753,0.24916,0.29074
2003,3rd Quintile,Probably not,0.00914,60,1753,0.00468,0.01359
2003,3rd Quintile,Probably,0.02039,113,1753,0.01377,0.02700
2003,3rd Quintile,"Yes, definitely",0.05768,356,1753,0.04676,0.06860
2003,4th Quintile,"No, definitely not",0.22134,1011,1480,0.20018,0.24250
2003,4th Quintile,Probably not,0.01004,60,1480,0.00496,0.01513
2003,4th Quintile,Probably,0.01351,84,1480,0.00763,0.01939
2003,4th Quintile,"Yes, definitely",0.05211,325,1480,0.04078,0.06344
2003,5th Quintile,"No, definitely not",0.21045,1225,1781,0.19152,0.22939
2003,5th Quintile,Probably not,0.00979,72,1781,0.00521,0.01436
2003,5th Quintile,Probably,0.01044,106,1781,0.00572,0.01517
2003,5th Quintile,"Yes, definitely",0.04263,378,1781,0.03325,0.05202
2004,1st Quintile,"No, definitely not",0.28191,1076,2084,0.26259,0.30123
2004,1st Quintile,Probably not,0.02320,95,2084,0.01674,0.02967
2004,1st Quintile,Probably,0.04131,169,2084,0.03276,0.04986
2004,1st Quintile,"Yes, definitely",0.16307,744,2084,0.14720,0.17893
2004,2nd Quintile,"No, definitely not",0.29856,1317,1976,0.27838,0.31874
2004,2nd Quintile,Probably not,0.01255,66,1976,0.00764,0.01746
2004,2nd Quintile,Probably,0.02706,137,1976,0.01990,0.03422
2004,2nd Quintile,"Yes, definitely",0.08169,456,1976,0.06961,0.09377
2004,3rd Quintile,"No, definitely not",0.27024,1179,1721,0.24925,0.29123
2004,3rd Quintile,Probably not,0.00856,45,1721,0.00420,0.01291
2004,3rd Quintile,Probably,0.01938,105,1721,0.01287,0.02590
2004,3rd Quintile,"Yes, definitely",0.07379,392,1721,0.06143,0.08614
2004,4th Quintile,"No, definitely not",0.23948,1067,1528,0.21807,0.26088
2004,4th Quintile,Probably not,0.01022,46,1528,0.00517,0.01526
2004,4th Quintile,Probably,0.01626,96,1528,0.00991,0.02260
2004,4th Quintile,"Yes, definitely",0.04989,319,1528,0.03897,0.06081
2004,5th Quintile,"No, definitely not",0.20649,1182,1727,0.18740,0.22559
2004,5th Quintile,Probably not,0.01049,67,1727,0.00568,0.01530
2004,5th Quintile,Probably,0.01357,106,1727,0.00811,0.01903
2004,5th Quintile,"Yes, definitely",0.04064,372,1727,0.03133,0.04996
2005,1st Quintile,"No, definitely not",0.26350,1019,2049,0.24442,0.28258
2005,1st Quintile,Probably not,0.02183,88,2049,0.01550,0.02815
2005,1st Quintile,Probably,0.04533,177,2049,0.03632,0.05434
2005,1st Quintile,"Yes, definitely",0.18099,765,2049,0.16431,0.19766
2005,2nd Quintile,"No, definitely not",0.31417,1339,1980,0.29372,0.33463
2005,2nd Quintile,Probably not,0.01026,54,1980,0.00582,0.01470
2005,2nd Quintile,Probably,0.02782,133,1980,0.02057,0.03506
2005,2nd Quintile,"Yes, definitely",0.09213,454,1980,0.07939,0.10487
2005,3rd Quintile,"No, definitely not",0.25390,1106,1591,0.23250,0.27529
2005,3rd Quintile,Probably not,0.00946,48,1591,0.00470,0.01421
2005,3rd Quintile,Probably,0.02017,97,1591,0.01326,0.02708
2005,3rd Quintile,"Yes, definitely",0.06903,340,1591,0.05657,0.08149
2005,4th Quintile,"No, definitely not",0.22785,1004,1448,0.20624,0.24946
2005,4th Quintile,Probably not,0.01022,50,1448,0.00504,0.01540
2005,4th Quintile,Probably,0.01825,98,1448,0.01135,0.02514
2005,4th Quintile,"Yes, definitely",0.04587,296,1448,0.03509,0.05665
2005,5th Quintile,"No, definitely not",0.20473,1182,1687,0.18547,0.22399
2005,5th Quintile,Probably not,0.01037,79,1687,0.00553,0.01520
2005,5th Quintile,Probably,0.00912,71,1687,0.00458,0.01366
2005,5th Quintile,"Yes, definitely",0.03911,355,1687,0.02985,0.04836
2006,1st Quintile,"No, definitely not",0.26824,924,1859,0.24810,0.28839
2006,1st Quintile,Probably not,0.02086,89,1859,0.01437,0.02736
2006,1st Quintile,Probably,0.04807,157,1859,0.03834,0.05780
2006,1st Quintile,"Yes, definitely",0.16618,689,1859,0.14925,0.18311
2006,2nd Quintile,"No, definitely not",0.31765,1268,1748,0.29582,0.33948
2006,2nd Quintile,Probably not,0.01206,57,1748,0.00694,0.01717
2006,2nd Quintile,Probably,0.02556,113,1748,0.01816,0.03296
2006,2nd Quintile,"Yes, definitely",0.07206,310,1748,0.05993,0.08418
2006,3rd Quintile,"No, definitely not",0.25836,1113,1547,0.23654,0.28018
2006,3rd Quintile,Probably not,0.01169,49,1547,0.00633,0.01705
2006,3rd Quintile,Probably,0.02000,96,1547,0.01302,0.02698
2006,3rd Quintile,"Yes, definitely",0.05779,289,1547,0.04616,0.06943
2006,4th Quintile,"No, definitely not",0.22224,978,1383,0.20032,0.24416
2006,4th Quintile,Probably not,0.00756,33,1383,0.00299,0.01212
2006,4th Quintile,Probably,0.01458,75,1383,0.00826,0.02090
2006,4th Quintile,"Yes, definitely",0.05486,297,1383,0.04285,0.06686
2006,5th Quintile,"No, definitely not",0.19760,1152,1582,0.17797,0.21723
2006,5th Quintile,Probably not,0.00751,63,1582,0.00325,0.01177
2006,5th Quintile,Probably,0.01067,71,1582,0.00561,0.01574
2006,5th Quintile,"Yes, definitely",0.03727,296,1582,0.02793,0.04661
2007,1st Quintile,"No, definitely not",0.28153,1088,2000,0.26181,0.30124
2007,1st Quintile,Probably not,0.02136,84,2000,0.01503,0.02770
2007,1st Quintile,Probably,0.04270,164,2000,0.03383,0.05156
2007,1st Quintile,"Yes, definitely",0.16795,664,2000,0.15157,0.18434
2007,2nd Quintile,"No, definitely not",0.29411,1285,1800,0.27305,0.31516
2007,2nd Quintile,Probably not,0.01196,58,1800,0.00694,0.01699
2007,2nd Quintile,Probably,0.02468,106,1800,0.01751,0.03185
2007,2nd Quintile,"Yes, definitely",0.07285,351,1800,0.06084,0.08486
2007,3rd Quintile,"No, definitely not",0.25873,1221,1618,0.23738,0.28007
2007,3rd Quintile,Probably not,0.01094,47,1618,0.00587,0.01601
2007,3rd Quintile,Probably,0.02286,103,1618,0.01557,0.03014
2007,3rd Quintile,"Yes, definitely",0.04421,247,1618,0.03419,0.05423
2007,4th Quintile,"No, definitely not",0.22212,1099,1481,0.20094,0.24329
2007,4th Quintile,Probably not,0.00905,50,1481,0.00422,0.01387
2007,4th Quintile,Probably,0.01225,72,1481,0.00664,0.01785
2007,4th Quintile,"Yes, definitely",0.03950,260,1481,0.02957,0.04942
2007,5th Quintile,"No, definitely not",0.19669,1212,1605,0.17723,0.21614
2007,5th Quintile,Probably not,0.00791,52,1605,0.00358,0.01225
2007,5th Quintile,Probably,0.00989,67,1605,0.00504,0.01473
2007,5th Quintile,"Yes, definitely",0.03387,274,1605,0.02502,0.04273
2008,1st Quintile,"No, definitely not",0.28368,1028,1862,0.26320,0.30416
2008,1st Quintile,Probably not,0.02344,93,1862,0.01657,0.03032
2008,1st Quintile,Probably,0.03341,127,1862,0.02525,0.04158
2008,1st Quintile,"Yes, definitely",0.15125,614,1862,0.13497,0.16753
2008,2nd Quintile,"No, definitely not",0.30546,1284,1675,0.28339,0.32752
2008,2nd Quintile,Probably not,0.01019,42,1675,0.00538,0.01500
2008,2nd Quintile,Probably,0.02262,89,1675,0.01550,0.02975
2008,2nd Quintile,"Yes, definitely",0.05808,260,1675,0.04688,0.06929
2008,3rd Quintile,"No, definitely not",0.26075,1184,1558,0.23894,0.28256
2008,3rd Quintile,Probably not,0.00911,44,1558,0.00439,0.01383
2008,3rd Quintile,Probably,0.01482,70,1558,0.00882,0.02082
2008,3rd Quintile,"Yes, definitely",0.04762,260,1558,0.03705,0.05820
2008,4th Quintile,"No, definitely not",0.21296,956,1300,0.19070,0.23523
2008,4th Quintile,Probably not,0.00777,37,1300,0.00300,0.01254
2008,4th Quintile,Probably,0.01241,72,1300,0.00639,0.01843
2008,4th Quintile,"Yes, definitely",0.04436,235,1300,0.03317,0.05556
2008,5th Quintile,"No, definitely not",0.18554,1167,1518,0.16598,0.20510
2008,5th Quintile,Probably not,0.00714,56,1518,0.00290,0.01138
2008,5th Quintile,Probably,0.01001,61,1518,0.00500,0.01502
2008,5th Quintile,"Yes, definitely",0.03133,234,1518,0.02256,0.04009
2009,1st Quintile,"No, definitely not",0.29046,1035,1767,0.26929,0.31164
2009,1st Quintile,Probably not,0.01634,65,1767,0.01042,0.02225
2009,1st Quintile,Probably,0.05334,165,1767,0.04286,0.06382
2009,1st Quintile,"Yes, definitely",0.13397,502,1767,0.11808,0.14985
2009,2nd Quintile,"No, definitely not",0.31785,1264,1661,0.29545,0.34025
2009,2nd Quintile,Probably not,0.00828,36,1661,0.00392,0.01263
2009,2nd Quintile,Probably,0.02401,88,1661,0.01665,0.03138
2009,2nd Quintile,"Yes, definitely",0.06484,273,1661,0.05299,0.07668
2009,3rd Quintile,"No, definitely not",0.24237,1021,1362,0.21961,0.26514
2009,3rd Quintile,Probably not,0.00809,40,1362,0.00333,0.01285
2009,3rd Quintile,Probably,0.01255,62,1362,0.00663,0.01846
2009,3rd Quintile,"Yes, definitely",0.05821,239,1362,0.04577,0.07065
2009,4th Quintile,"No, definitely not",0.20561,895,1209,0.18282,0.22840
2009,4th Quintile,Probably not,0.00564,36,1209,0.00141,0.00986
2009,4th Quintile,Probably,0.00954,51,1209,0.00406,0.01503
2009,4th Quintile,"Yes, definitely",0.04400,227,1209,0.03243,0.05556
2009,5th Quintile,"No, definitely not",0.17372,1035,1348,0.15349,0.19395
2009,5th Quintile,Probably not,0.00648,51,1348,0.00219,0.01076
2009,5th Quintile,Probably,0.00787,46,1348,0.00315,0.01259
2009,5th Quintile,"Yes, definitely",0.03570,216,1348,0.02580,0.04561
2010,1st Quintile,"No, definitely not",0.38297,955,1622,0.35931,0.40664
2010,1st Quintile,Probably not,0.02139,66,1622,0.01435,0.02844
2010,1st Quintile,Probably,0.04039,117,1622,0.03081,0.04998
2010,1st Quintile,"Yes, definitely",0.15050,484,1622,0.13309,0.16791
2010,2nd Quintile,"No, definitely not",0.36578,1147,1513,0.34150,0.39006
2010,2nd Quintile,Probably not,0.01063,41,1513,0.00546,0.01581
2010,2nd Quintile,Probably,0.01968,70,1513,0.01268,0.02668
2010,2nd Quintile,"Yes, definitely",0.07267,255,1513,0.05958,0.08575
2010,3rd Quintile,"No, definitely not",0.28946,999,1267,0.26447,0.31444
2010,3rd Quintile,Probably,0.00860,44,1267,0.00351,0.01368
2010,3rd Quintile,"Yes, definitely",0.05433,224,1267,0.04185,0.06682
2010,4th Quintile,"No, definitely not",0.23777,860,1133,0.21297,0.26257
2010,4th Quintile,Probably,0.01226,59,1133,0.00585,0.01867
2010,4th Quintile,"Yes, definitely",0.04564,214,1133,0.03348,0.05780
2010,5th Quintile,"No, definitely not",0.17286,948,1238,0.15178,0.19393
2010,5th Quintile,Probably not,0.00767,43,1238,0.00281,0.01254
2010,5th Quintile,Probably,0.00623,46,1238,0.00185,0.01062
2010,5th Quintile,"Yes, definitely",0.02859,201,1238,0.01930,0.03788
2011,1st Quintile,"No, definitely not",0.31106,1043,2506,0.29293,0.32919
2011,1st Quintile,Probably not,0.02317,160,2506,0.01727,0.02906
2011,1st Quintile,Probably,0.04562,336,2506,0.03745,0.05380
2011,1st Quintile,"Yes, definitely",0.12522,967,2506,0.11226,0.13818
2011,2nd Quintile,"No, definitely not",0.31379,1155,1838,0.29257,0.33501
2011,2nd Quintile,Probably not,0.01031,66,1838,0.00569,0.01493
2011,2nd Quintile,Probably,0.01894,149,1838,0.01271,0.02518
2011,2nd Quintile,"Yes, definitely",0.05806,468,1838,0.04737,0.06876
2011,3rd Quintile,"No, definitely not",0.25373,970,1434,0.23120,0.27626
2011,3rd Quintile,Probably not,0.00938,56,1434,0.00439,0.01437
2011,3rd Quintile,Probably,0.01266,89,1434,0.00687,0.01845
2011,3rd Quintile,"Yes, definitely",0.05033,319,1434,0.03901,0.06165
2011,4th Quintile,"No, definitely not",0.19928,782,1148,0.17617,0.22240
2011,4th Quintile,Probably not,0.00665,42,1148,0.00194,0.01135
2011,4th Quintile,Probably,0.01164,83,1148,0.00543,0.01785
2011,4th Quintile,"Yes, definitely",0.03285,241,1148,0.02254,0.04317
2011,5th Quintile,"No, definitely not",0.18112,946,1283,0.16004,0.20221
2011,5th Quintile,Probably not,0.00650,46,1283,0.00210,0.01090
2011,5th Quintile,Probably,0.00561,62,1283,0.00152,0.00969
2011,5th Quintile,"Yes, definitely",0.02699,229,1283,0.01812,0.03586
2012,1st Quintile,"No, definitely not",0.28742,1208,2916,0.27099,0.30385
2012,1st Quintile,Probably not,0.02304,199,2916,0.01759,0.02849
2012,1st Quintile,Probably,0.04191,382,2916,0.03464,0.04918
2012,1st Quintile,"Yes, definitely",0.14292,1127,2916,0.13022,0.15563
2012,2nd Quintile,"No, definitely not",0.31806,1407,2112,0.29819,0.33793
2012,2nd Quintile,Probably not,0.01232,76,2112,0.00761,0.01702
2012,2nd Quintile,Probably,0.02254,157,2112,0.01621,0.02887
2012,2nd Quintile,"Yes, definitely",0.06343,472,2112,0.05303,0.07383
2012,3rd Quintile,"No, definitely not",0.24005,1134,1667,0.21954,0.26056
2012,3rd Quintile,Probably not,0.00777,60,1667,0.00355,0.01198
2012,3rd Quintile,Probably,0.01510,111,1667,0.00924,0.02095
2012,3rd Quintile,"Yes, definitely",0.05197,362,1667,0.04131,0.06263
2012,4th Quintile,"No, definitely not",0.22076,1039,1434,0.19929,0.24224
2012,4th Quintile,Probably not,0.00907,52,1434,0.00416,0.01398
2012,4th Quintile,Probably,0.00763,75,1434,0.00313,0.01214
2012,4th Quintile,"Yes, definitely",0.03653,268,1434,0.02682,0.04625
2012,5th Quintile,"No, definitely not",0.16622,1022,1416,0.14682,0.18561
2012,5th Quintile,Probably not,0.01215,66,1416,0.00644,0.01785
2012,5th Quintile,Probably,0.01023,84,1416,0.00499,0.01547
2012,5th Quintile,"Yes, definitely",0.03077,244,1416,0.02177,0.03977
