year,migback,plb0417_v2,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1997,Indirect migration background,"Yes, definitely",0.09058,145,181,0.04865,0.13251
1998,No migration background,"No, definitely not",0.27275,2914,4582,0.25985,0.28564
1998,No migration background,Probably not,0.01777,241,4582,0.01395,0.02160
1998,No migration background,Probably,0.02148,324,4582,0.01728,0.02568
1998,No migration background,"Yes, definitely",0.06768,1103,4582,0.06041,0.07496
1998,Direct migration background,"No, definitely not",0.28323,694,1090,0.25647,0.31000
1998,Direct migration background,Probably not,0.02166,61,1090,0.01301,0.03031
1998,Direct migration background,Probably,0.03830,103,1090,0.02690,0.04970
1998,Direct migration background,"Yes, definitely",0.09205,232,1090,0.07488,0.10922
1998,Indirect migration background,"No, definitely not",0.03580,47,194,0.00959,0.06201
1998,Indirect migration background,"Yes, definitely",0.09349,147,194,0.05242,0.13457
1999,No migration background,"No, definitely not",0.27519,2826,4286,0.26182,0.28857
1999,No migration background,Probably not,0.01394,191,4286,0.01043,0.01745
1999,No migration background,Probably,0.02011,301,4286,0.01590,0.02431
1999,No migration background,"Yes, definitely",0.06377,968,4286,0.05645,0.07108
1999,Direct migration background,"No, definitely not",0.29942,672,990,0.27088,0.32797
1999,Direct migration background,Probably not,0.01363,31,990,0.00641,0.02086
1999,Direct migration background,Probably,0.02769,77,990,0.01746,0.03792
1999,Direct migration background,"Yes, definitely",0.08465,210,990,0.06731,0.10200
1999,Indirect migration background,"No, definitely not",0.04040,45,180,0.01156,0.06925
1999,Indirect migration background,"Yes, definitely",0.08151,135,180,0.04142,0.12159
2000,No migration background,"No, definitely not",0.27822,5710,8285,0.26857,0.28787
2000,No migration background,Probably not,0.01312,346,8285,0.01067,0.01557
2000,No migration background,Probably,0.02166,594,8285,0.01852,0.02479
2000,No migration background,"Yes, definitely",0.05806,1635,8285,0.05302,0.06310
2000,Direct migration background,"No, definitely not",0.25621,913,1474,0.23392,0.27851
2000,Direct migration background,Probably not,0.01938,75,1474,0.01234,0.02642
2000,Direct migration background,Probably,0.03985,144,1474,0.02986,0.04984
2000,Direct migration background,"Yes, definitely",0.08664,342,1474,0.07227,0.10100
2000,Indirect migration background,"No, definitely not",0.03654,61,308,0.01555,0.05753
2000,Indirect migration background,Probably,0.01770,36,308,0.00295,0.03244
2000,Indirect migration background,"Yes, definitely",0.09520,211,308,0.06237,0.12804
2001,No migration background,"No, definitely not",0.27967,5246,7573,0.26956,0.28978
2001,No migration background,Probably not,0.01258,295,7573,0.01007,0.01509
2001,No migration background,Probably,0.01937,473,7573,0.01627,0.02248
2001,No migration background,"Yes, definitely",0.06112,1559,7573,0.05572,0.06651
2001,Direct migration background,"No, definitely not",0.26719,818,1271,0.24285,0.29152
2001,Direct migration background,Probably not,0.01796,60,1271,0.01066,0.02527
2001,Direct migration background,Probably,0.03841,115,1271,0.02784,0.04898
2001,Direct migration background,"Yes, definitely",0.09570,278,1271,0.07952,0.11188
2001,Indirect migration background,"No, definitely not",0.03090,51,284,0.01074,0.05106
2001,Indirect migration background,Probably,0.02091,46,284,0.00424,0.03759
2001,Indirect migration background,"Yes, definitely",0.08005,187,284,0.04843,0.11167
2002,No migration background,"No, definitely not",0.27835,5274,7826,0.26842,0.28828
2002,No migration background,Probably not,0.01254,292,7826,0.01007,0.01500
2002,No migration background,Probably,0.02039,484,7826,0.01726,0.02352
2002,No migration background,"Yes, definitely",0.06997,1776,7826,0.06432,0.07563
2002,Direct migration background,"No, definitely not",0.27032,800,1240,0.24559,0.29505
2002,Direct migration background,Probably not,0.01454,52,1240,0.00788,0.02121
2002,Direct migration background,Probably,0.03487,106,1240,0.02465,0.04508
2002,Direct migration background,"Yes, definitely",0.11091,282,1240,0.09342,0.12840
2002,Indirect migration background,"No, definitely not",0.02626,49,274,0.00729,0.04523
2002,Indirect migration background,Probably,0.01399,35,274,0.00006,0.02792
2002,Indirect migration background,"Yes, definitely",0.08892,190,274,0.05516,0.12269
2003,No migration background,"No, definitely not",0.27539,5173,7668,0.26539,0.28539
2003,No migration background,Probably not,0.01143,274,7668,0.00905,0.01381
2003,No migration background,Probably,0.01939,468,7668,0.01631,0.02248
2003,No migration background,"Yes, definitely",0.07270,1753,7668,0.06688,0.07851
2003,Direct migration background,"No, definitely not",0.27386,769,1194,0.24855,0.29916
2003,Direct migration background,Probably not,0.02192,59,1194,0.01361,0.03023
2003,Direct migration background,Probably,0.03747,94,1194,0.02670,0.04825
2003,Direct migration background,"Yes, definitely",0.11024,272,1194,0.09247,0.12802
2003,Indirect migration background,"No, definitely not",0.03516,58,270,0.01315,0.05717
2003,Indirect migration background,Probably,0.01952,41,270,0.00299,0.03605
2003,Indirect migration background,"Yes, definitely",0.07565,171,270,0.04405,0.10725
2004,No migration background,"No, definitely not",0.27631,5038,7538,0.26621,0.28641
2004,No migration background,Probably not,0.01232,252,7538,0.00983,0.01481
2004,No migration background,Probably,0.02228,479,7538,0.01895,0.02561
2004,No migration background,"Yes, definitely",0.07393,1769,7538,0.06802,0.07983
2004,Direct migration background,"No, definitely not",0.26867,731,1185,0.24342,0.29392
2004,Direct migration background,Probably not,0.02246,56,1185,0.01402,0.03090
2004,Direct migration background,Probably,0.03431,93,1185,0.02394,0.04468
2004,Direct migration background,"Yes, definitely",0.12707,305,1185,0.10810,0.14604
2004,Indirect migration background,"No, definitely not",0.03890,54,305,0.01716,0.06064
2004,Indirect migration background,Probably,0.02020,41,305,0.00439,0.03602
2004,Indirect migration background,"Yes, definitely",0.10165,210,305,0.06768,0.13561
2005,No migration background,"No, definitely not",0.26662,4868,7305,0.25648,0.27676
2005,No migration background,Probably not,0.01293,270,7305,0.01034,0.01553
2005,No migration background,Probably,0.02109,437,7305,0.01779,0.02438
2005,No migration background,"Yes, definitely",0.07925,1730,7305,0.07306,0.08545
2005,Direct migration background,"No, definitely not",0.28091,716,1113,0.25450,0.30733
2005,Direct migration background,Probably not,0.01466,38,1113,0.00760,0.02173
2005,Direct migration background,Probably,0.04545,95,1113,0.03321,0.05769
2005,Direct migration background,"Yes, definitely",0.11405,264,1113,0.09537,0.13274
2005,Indirect migration background,"No, definitely not",0.04577,67,329,0.02315,0.06838
2005,Indirect migration background,Probably,0.02678,45,329,0.00931,0.04426
2005,Indirect migration background,"Yes, definitely",0.11138,217,329,0.07733,0.14543
2006,No migration background,"No, definitely not",0.27220,5555,7983,0.26243,0.28196
2006,No migration background,Probably not,0.01216,286,7983,0.00976,0.01457
2006,No migration background,Probably,0.02075,446,7983,0.01762,0.02388
2006,No migration background,"Yes, definitely",0.07260,1696,7983,0.06691,0.07829
2006,Direct migration background,"No, definitely not",0.26740,691,1105,0.24129,0.29351
2006,Direct migration background,Probably not,0.01815,42,1105,0.01028,0.02603
2006,Direct migration background,Probably,0.04717,100,1105,0.03466,0.05968
2006,Direct migration background,"Yes, definitely",0.12540,272,1105,0.10586,0.14493
2006,Indirect migration background,"No, definitely not",0.03722,60,307,0.01601,0.05843
2006,Indirect migration background,Probably,0.02491,36,307,0.00745,0.04237
2006,Indirect migration background,"Yes, definitely",0.10573,211,307,0.07127,0.14018
2007,No migration background,"No, definitely not",0.26780,5204,7262,0.25761,0.27798
2007,No migration background,Probably not,0.01131,240,7262,0.00888,0.01375
2007,No migration background,Probably,0.01965,397,7262,0.01646,0.02285
2007,No migration background,"Yes, definitely",0.06393,1421,7262,0.05830,0.06956
2007,Direct migration background,"No, definitely not",0.27654,650,983,0.24856,0.30452
2007,Direct migration background,Probably not,0.01945,39,983,0.01082,0.02809
2007,Direct migration background,Probably,0.04457,83,983,0.03167,0.05748
2007,Direct migration background,"Yes, definitely",0.11435,211,983,0.09444,0.13425
2007,Indirect migration background,"No, definitely not",0.03133,51,250,0.00969,0.05297
2007,Indirect migration background,Probably,0.02060,33,250,0.00296,0.03824
2007,Indirect migration background,"Yes, definitely",0.09233,166,250,0.05637,0.12829
2008,No migration background,"No, definitely not",0.26568,4984,6822,0.25519,0.27616
2008,No migration background,Probably not,0.01140,235,6822,0.00888,0.01391
2008,No migration background,Probably,0.01679,325,6822,0.01374,0.01984
2008,No migration background,"Yes, definitely",0.06024,1278,6822,0.05459,0.06588
2008,Direct migration background,"No, definitely not",0.28582,586,841,0.25527,0.31637
2008,Direct migration background,Probably not,0.01851,33,841,0.00940,0.02763
2008,Direct migration background,Probably,0.03287,60,841,0.02081,0.04493
2008,Direct migration background,"Yes, definitely",0.09394,162,841,0.07421,0.11367
2008,Indirect migration background,"No, definitely not",0.03496,49,248,0.01205,0.05787
2008,Indirect migration background,Probably,0.02002,35,248,0.00255,0.03749
2008,Indirect migration background,"Yes, definitely",0.09334,164,248,0.05706,0.12963
2009,No migration background,"No, definitely not",0.26318,4705,6382,0.25237,0.27398
2009,No migration background,Probably not,0.00983,202,6382,0.00741,0.01225
2009,No migration background,Probably,0.01787,311,6382,0.01462,0.02112
2009,No migration background,"Yes, definitely",0.06139,1164,6382,0.05550,0.06728
2009,Direct migration background,"No, definitely not",0.27673,507,713,0.24387,0.30959
2009,Direct migration background,Probably,0.04715,67,713,0.03158,0.06272
2009,Direct migration background,"Yes, definitely",0.08979,139,713,0.06879,0.11079
2009,Indirect migration background,"No, definitely not",0.03034,40,229,0.00808,0.05260
2009,Indirect migration background,Probably,0.02655,35,229,0.00568,0.04741
2009,Indirect migration background,"Yes, definitely",0.09812,154,229,0.05951,0.13673
2010,No migration background,"No, definitely not",0.25848,4513,7725,0.24872,0.26825
2010,No migration background,Probably not,0.01075,314,7725,0.00845,0.01305
2010,No migration background,Probably,0.01735,664,7725,0.01444,0.02026
2010,No migration background,"Yes, definitely",0.06401,2234,7725,0.05855,0.06947
2010,Direct migration background,"No, definitely not",0.26547,552,1393,0.24227,0.28867
2010,Direct migration background,Probably not,0.01599,77,1393,0.00940,0.02258
2010,Direct migration background,Probably,0.04020,219,1393,0.02988,0.05052
2010,Direct migration background,"Yes, definitely",0.12105,545,1393,0.10391,0.13818
2010,Indirect migration background,"No, definitely not",0.02669,55,418,0.01122,0.04215
2010,Indirect migration background,Probably,0.01549,60,418,0.00364,0.02734
2010,Indirect migration background,"Yes, definitely",0.10756,303,418,0.07783,0.13730
2011,No migration background,"No, definitely not",0.26399,5939,9182,0.25497,0.27300
2011,No migration background,Probably not,0.01006,373,9182,0.00801,0.01210
2011,No migration background,Probably,0.01536,671,9182,0.01285,0.01788
2011,No migration background,"Yes, definitely",0.05847,2199,9182,0.05367,0.06327
2011,Direct migration background,"No, definitely not",0.25826,692,1433,0.23559,0.28093
2011,Direct migration background,Probably not,0.02072,88,1433,0.01334,0.02809
2011,Direct migration background,Probably,0.04237,193,1433,0.03194,0.05281
2011,Direct migration background,"Yes, definitely",0.10107,460,1433,0.08546,0.11669
2011,Indirect migration background,"No, definitely not",0.02383,59,421,0.00925,0.03842
2011,Indirect migration background,Probably,0.01513,59,421,0.00346,0.02681
2011,Indirect migration background,"Yes, definitely",0.09125,303,421,0.06371,0.11879
2012,No migration background,"No, definitely not",0.26460,5932,8990,0.25548,0.27372
2012,No migration background,Probably not,0.01319,390,8990,0.01083,0.01555
2012,No migration background,Probably,0.01580,605,8990,0.01322,0.01838
2012,No migration background,"Yes, definitely",0.06070,2063,8990,0.05576,0.06563
2012,Direct migration background,"No, definitely not",0.25151,622,1253,0.22748,0.27554
2012,Direct migration background,Probably not,0.01303,80,1253,0.00675,0.01931
2012,Direct migration background,Probably,0.04235,183,1253,0.03120,0.05351
2012,Direct migration background,"Yes, definitely",0.09398,368,1253,0.07782,0.11015
2012,Indirect migration background,"No, definitely not",0.02106,55,386,0.00671,0.03540
2012,Indirect migration background,Probably,0.02320,69,386,0.00816,0.03823
2012,Indirect migration background,"Yes, definitely",0.09020,262,386,0.06158,0.11881
2013,No migration background,"No, definitely not",0.27179,5604,8307,0.26223,0.28136
2013,No migration background,Probably not,0.01276,366,8307,0.01035,0.01518
2013,No migration background,Probably,0.01507,511,8307,0.01245,0.01769
2013,No migration background,"Yes, definitely",0.05775,1826,8307,0.05274,0.06277
2013,Direct migration background,"No, definitely not",0.20475,843,2341,0.18840,0.22110
2013,Direct migration background,Probably not,0.01838,122,2341,0.01293,0.02382
2013,Direct migration background,Probably,0.03678,353,2341,0.02915,0.04441
2013,Direct migration background,"Yes, definitely",0.11142,1023,2341,0.09867,0.12417
2013,Indirect migration background,"No, definitely not",0.01883,62,666,0.00850,0.02915
2013,Indirect migration background,Probably,0.01502,90,666,0.00578,0.02427
2013,Indirect migration background,"Yes, definitely",0.11632,514,666,0.09195,0.14069
2014,No migration background,"No, definitely not",0.26794,5276,7611,0.25798,0.27789
2014,No migration background,Probably not,0.01299,316,7611,0.01044,0.01553
2014,No migration background,Probably,0.01562,465,7611,0.01283,0.01841
2014,No migration background,"Yes, definitely",0.05398,1554,7611,0.04890,0.05906
2014,Direct migration background,"No, definitely not",0.20248,752,1882,0.18432,0.22064
2014,Direct migration background,Probably not,0.01576,109,1882,0.01013,0.02138
2014,Direct migration background,Probably,0.03604,252,1882,0.02761,0.04446
2014,Direct migration background,"Yes, definitely",0.12258,769,1882,0.10776,0.13740
2014,Indirect migration background,"No, definitely not",0.01504,50,529,0.00466,0.02543
2014,Indirect migration background,Probably,0.01649,82,529,0.00563,0.02735
2014,Indirect migration background,"Yes, definitely",0.11627,397,529,0.08892,0.14361
2015,No migration background,"No, definitely not",0.27262,5173,7350,0.26244,0.28280
2015,No migration background,Probably not,0.01265,340,7350,0.01010,0.01521
2015,No migration background,Probably,0.01447,420,7350,0.01174,0.01720
2015,No migration background,"Yes, definitely",0.05389,1417,7350,0.04873,0.05905
2015,Direct migration background,"No, definitely not",0.19984,752,2144,0.18291,0.21678
2015,Direct migration background,Probably not,0.01574,124,2144,0.01047,0.02101
2015,Direct migration background,Probably,0.03445,304,2144,0.02673,0.04217
2015,Direct migration background,"Yes, definitely",0.11401,964,2144,0.10055,0.12746
2015,Indirect migration background,"No, definitely not",0.01238,44,510,0.00277,0.02198
2015,Indirect migration background,Probably,0.01535,56,510,0.00467,0.02603
2015,Indirect migration background,"Yes, definitely",0.11679,410,510,0.08889,0.14469
2016,No migration background,"No, definitely not",0.26596,4915,6809,0.25546,0.27645
2016,No migration background,Probably not,0.01109,262,6809,0.00860,0.01357
2016,No migration background,Probably,0.01552,369,6809,0.01259,0.01846
2016,No migration background,"Yes, definitely",0.05421,1263,6809,0.04883,0.05959
2016,Direct migration background,"No, definitely not",0.19328,823,4332,0.18152,0.20504
2016,Direct migration background,Probably not,0.02160,224,4332,0.01727,0.02593
2016,Direct migration background,Probably,0.03533,780,4332,0.02984,0.04083
2016,Direct migration background,"Yes, definitely",0.11358,2505,4332,0.10413,0.12303
2016,Indirect migration background,"No, definitely not",0.01859,47,444,0.00601,0.03116
2016,Indirect migration background,Probably,0.02233,71,444,0.00857,0.03608
2016,Indirect migration background,"Yes, definitely",0.11355,326,444,0.08401,0.14310
2017,No migration background,"No, definitely not",0.26036,5157,7241,0.25026,0.27047
2017,No migration background,Probably not,0.01256,290,7241,0.01000,0.01513
2017,No migration background,Probably,0.01375,367,7241,0.01106,0.01643
2017,No migration background,"Yes, definitely",0.05288,1427,7241,0.04773,0.05804
2017,Direct migration background,"No, definitely not",0.18855,849,4936,0.17764,0.19947
2017,Direct migration background,Probably not,0.02044,229,4936,0.01649,0.02439
2017,Direct migration background,Probably,0.03512,840,4936,0.02998,0.04025
2017,Direct migration background,"Yes, definitely",0.12358,3018,4936,0.11440,0.13276
2017,Indirect migration background,"No, definitely not",0.02173,56,471,0.00855,0.03491
2017,Indirect migration background,Probably,0.01475,62,471,0.00385,0.02564
2017,Indirect migration background,"Yes, definitely",0.10068,353,471,0.07347,0.12788
2018,No migration background,"No, definitely not",0.26490,5148,7142,0.25467,0.27514
2018,No migration background,Probably not,0.01033,285,7142,0.00798,0.01267
2018,No migration background,Probably,0.01302,353,7142,0.01039,0.01565
2018,No migration background,"Yes, definitely",0.05094,1356,7142,0.04584,0.05604
2018,Direct migration background,"No, definitely not",0.18708,789,4171,0.17524,0.19892
2018,Direct migration background,Probably not,0.01970,172,4171,0.01548,0.02392
2018,Direct migration background,Probably,0.03290,737,4171,0.02749,0.03832
2018,Direct migration background,"Yes, definitely",0.11655,2473,4171,0.10681,0.12629
2018,Indirect migration background,"No, definitely not",0.01867,58,455,0.00622,0.03113
2018,Indirect migration background,Probably,0.01501,60,455,0.00383,0.02620
2018,Indirect migration background,"Yes, definitely",0.09073,337,455,0.06431,0.11715
2019,No migration background,"No, definitely not",0.26086,5044,6857,0.25046,0.27125
2019,No migration background,Probably not,0.01075,269,6857,0.00831,0.01320
2019,No migration background,Probably,0.01372,350,6857,0.01097,0.01648
2019,No migration background,"Yes, definitely",0.04601,1194,6857,0.04105,0.05096
2019,Direct migration background,"No, definitely not",0.19366,805,3519,0.18060,0.20672
2019,Direct migration background,Probably not,0.01840,137,3519,0.01396,0.02284
2019,Direct migration background,Probably,0.03473,577,3519,0.02868,0.04078
2019,Direct migration background,"Yes, definitely",0.10737,2000,3519,0.09714,0.11760
2019,Indirect migration background,"No, definitely not",0.02353,71,408,0.00880,0.03825
2019,Indirect migration background,Probably,0.01427,52,408,0.00275,0.02580
2019,Indirect migration background,"Yes, definitely",0.09074,285,408,0.06283,0.11864
2020,No migration background,"No, definitely not",0.25436,4736,6477,0.24375,0.26496
2020,No migration background,Probably not,0.01250,271,6477,0.00980,0.01521
2020,No migration background,Probably,0.01370,333,6477,0.01087,0.01653
2020,No migration background,"Yes, definitely",0.04709,1137,6477,0.04193,0.05225
2020,Direct migration background,"No, definitely not",0.19290,790,3875,0.18048,0.20533
2020,Direct migration background,Probably not,0.01664,176,3875,0.01261,0.02066
2020,Direct migration background,Probably,0.04288,638,3875,0.03650,0.04926
2020,Direct migration background,"Yes, definitely",0.10549,2271,3875,0.09582,0.11517
2020,Indirect migration background,"No, definitely not",0.03178,80,400,0.01457,0.04899
2020,Indirect migration background,Probably,0.01638,57,400,0.00393,0.02884
2020,Indirect migration background,"Yes, definitely",0.08511,263,400,0.05773,0.11249
2021,No migration background,"No, definitely not",0.24937,3380,4655,0.23694,0.26180
2021,No migration background,Probably not,0.01254,213,4655,0.00934,0.01574
2021,No migration background,Probably,0.01552,257,4655,0.01196,0.01907
2021,No migration background,"Yes, definitely",0.04833,805,4655,0.04217,0.05449
2021,Direct migration background,"No, definitely not",0.17052,500,2250,0.15498,0.18606
2021,Direct migration background,Probably not,0.02063,88,2250,0.01475,0.02650
2021,Direct migration background,Probably,0.05126,515,2250,0.04214,0.06037
2021,Direct migration background,"Yes, definitely",0.09140,1147,2250,0.07949,0.10331
2021,Indirect migration background,"No, definitely not",0.01389,37,239,-0.00098,0.02875
2021,Indirect migration background,Probably,0.02189,43,239,0.00330,0.04049
2021,Indirect migration background,"Yes, definitely",0.07881,159,239,0.04458,0.11305
