year,age_gr,bula_h,plb0417_v2,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1995,30-45 y.,North Rhine-Westphalia,"Yes, definitely",0.07650,81,196,0.03919,0.11380
1995,30-45 y.,Baden-Wuerttemberg,"No, definitely not",0.06415,34,109,0.01794,0.11036
1995,30-45 y.,Baden-Wuerttemberg,Probably,0.06373,36,109,0.01766,0.10980
1995,30-45 y.,Baden-Wuerttemberg,"Yes, definitely",0.06074,39,109,0.01569,0.10579
1995,30-45 y.,Bavaria,"Yes, definitely",0.06418,40,40,-0.01274,0.14109
1995,30-45 y.,Saxony,"Yes, definitely",0.11733,41,41,0.01760,0.21706
1995,30-45 y.,Saxony-Anhalt,"Yes, definitely",0.13828,31,31,0.01476,0.26181
1995,46-65 y.,Lower Saxony,"No, definitely not",0.35286,115,115,0.26514,0.44058
1995,46-65 y.,North Rhine-Westphalia,"No, definitely not",0.34053,242,242,0.28070,0.40036
1995,46-65 y.,Hesse,"No, definitely not",0.33384,96,96,0.23901,0.42867
1995,46-65 y.,"Rhineland-Palatinate, Saarland","No, definitely not",0.42078,73,73,0.30674,0.53481
1995,46-65 y.,Baden-Wuerttemberg,"No, definitely not",0.34035,163,163,0.26739,0.41332
1995,46-65 y.,Bavaria,"No, definitely not",0.29551,146,146,0.22124,0.36978
1995,46-65 y.,Berlin,"No, definitely not",0.31129,57,57,0.19002,0.43257
1995,46-65 y.,Brandenburg,"No, definitely not",0.38397,60,60,0.25987,0.50808
1995,46-65 y.,Mecklenburg-Western Pomerania,"No, definitely not",0.38888,49,49,0.25097,0.52679
1995,46-65 y.,Saxony,"No, definitely not",0.39208,120,120,0.30436,0.47980
1995,46-65 y.,Saxony-Anhalt,"No, definitely not",0.36486,74,74,0.25443,0.47529
1995,46-65 y.,Thuringa,"No, definitely not",0.42860,66,66,0.30829,0.54891
1995,66 and older,Lower Saxony,"No, definitely not",0.92193,112,112,0.87202,0.97184
1995,66 and older,North Rhine-Westphalia,"No, definitely not",0.94858,258,258,0.92158,0.97558
1995,66 and older,Hesse,"No, definitely not",0.95845,111,111,0.92116,0.99574
1995,66 and older,Baden-Wuerttemberg,"No, definitely not",0.91069,178,178,0.86868,0.95271
1995,66 and older,Bavaria,"No, definitely not",0.92643,182,182,0.88839,0.96446
1995,66 and older,Berlin,"No, definitely not",0.97401,59,59,0.93306,1.01496
1995,66 and older,Brandenburg,"No, definitely not",0.99301,64,64,0.97243,1.01358
1995,66 and older,Mecklenburg-Western Pomerania,"No, definitely not",0.95083,31,31,0.87346,1.02820
1995,66 and older,Saxony,"No, definitely not",0.98715,130,130,0.96771,1.00659
1995,66 and older,Saxony-Anhalt,"No, definitely not",0.95774,75,75,0.91190,1.00358
1995,66 and older,Thuringa,"No, definitely not",0.97577,72,72,0.94001,1.01154
1996,17-29 y.,Lower Saxony,"Yes, definitely",0.23739,57,57,0.12595,0.34883
1996,17-29 y.,North Rhine-Westphalia,"No, definitely not",0.04549,40,257,0.01997,0.07102
1996,17-29 y.,North Rhine-Westphalia,Probably,0.05374,32,257,0.02611,0.08136
1996,17-29 y.,North Rhine-Westphalia,"Yes, definitely",0.28377,185,257,0.22855,0.33900
1996,17-29 y.,Hesse,"Yes, definitely",0.26727,53,53,0.14699,0.38755
1996,17-29 y.,"Rhineland-Palatinate, Saarland","Yes, definitely",0.29444,39,39,0.14952,0.43936
1996,17-29 y.,Baden-Wuerttemberg,Probably,0.07822,34,139,0.03342,0.12302
1996,17-29 y.,Baden-Wuerttemberg,"Yes, definitely",0.21823,105,139,0.14931,0.28714
1996,17-29 y.,Bavaria,"Yes, definitely",0.25643,97,97,0.16908,0.34378
1996,17-29 y.,Berlin,"Yes, definitely",0.35854,42,42,0.21174,0.50534
1996,17-29 y.,Brandenburg,"Yes, definitely",0.31376,40,40,0.16813,0.45940
1996,17-29 y.,Saxony,"Yes, definitely",0.24122,59,59,0.13111,0.35132
1996,17-29 y.,Saxony-Anhalt,"Yes, definitely",0.29367,47,47,0.16206,0.42529
1996,17-29 y.,Thuringa,"Yes, definitely",0.29197,42,42,0.15280,0.43115
1996,30-45 y.,Lower Saxony,"Yes, definitely",0.10561,38,38,0.00658,0.20464
1996,30-45 y.,North Rhine-Westphalia,"No, definitely not",0.05973,59,176,0.02462,0.09484
1996,30-45 y.,North Rhine-Westphalia,Probably,0.05617,51,176,0.02206,0.09029
1996,30-45 y.,North Rhine-Westphalia,"Yes, definitely",0.06811,66,176,0.03078,0.10543
1996,30-45 y.,Baden-Wuerttemberg,Probably,0.05678,32,81,0.00607,0.10749
1996,30-45 y.,Baden-Wuerttemberg,"Yes, definitely",0.07990,49,81,0.02048,0.13932
1996,30-45 y.,Bavaria,"No, definitely not",0.05030,37,112,0.00964,0.09096
1996,30-45 y.,Bavaria,Probably,0.06914,36,112,0.02194,0.11634
1996,30-45 y.,Bavaria,"Yes, definitely",0.05452,39,112,0.01228,0.09676
1996,30-45 y.,Brandenburg,"Yes, definitely",0.14296,32,32,0.01974,0.26617
1996,30-45 y.,Saxony,"Yes, definitely",0.13803,42,42,0.03244,0.24361
1996,46-65 y.,Lower Saxony,"No, definitely not",0.39098,123,123,0.30439,0.47757
1996,46-65 y.,North Rhine-Westphalia,"No, definitely not",0.33841,258,258,0.28056,0.39626
1996,46-65 y.,Hesse,"No, definitely not",0.33991,90,90,0.24150,0.43832
1996,46-65 y.,"Rhineland-Palatinate, Saarland","No, definitely not",0.41005,74,74,0.29722,0.52288
1996,46-65 y.,Baden-Wuerttemberg,"No, definitely not",0.32270,150,150,0.24764,0.39777
1996,46-65 y.,Bavaria,"No, definitely not",0.29536,140,140,0.21952,0.37120
1996,46-65 y.,Berlin,"No, definitely not",0.29982,50,50,0.17153,0.42811
1996,46-65 y.,Brandenburg,"No, definitely not",0.39347,66,66,0.27471,0.51224
1996,46-65 y.,Mecklenburg-Western Pomerania,"No, definitely not",0.40824,51,51,0.27200,0.54448
1996,46-65 y.,Saxony,"No, definitely not",0.38950,117,117,0.30076,0.47824
1996,46-65 y.,Saxony-Anhalt,"No, definitely not",0.41293,84,84,0.30701,0.51886
1996,46-65 y.,Thuringa,"No, definitely not",0.38441,64,64,0.26428,0.50453
1996,66 and older,Schleswig-Holstein,"No, definitely not",0.98602,34,34,0.94596,1.02608
1996,66 and older,Lower Saxony,"No, definitely not",0.97133,113,113,0.94043,1.00224
1996,66 and older,North Rhine-Westphalia,"No, definitely not",0.95156,262,262,0.92552,0.97761
1996,66 and older,Hesse,"No, definitely not",0.91855,115,115,0.86834,0.96876
1996,66 and older,Baden-Wuerttemberg,"No, definitely not",0.94741,189,189,0.91550,0.97932
1996,66 and older,Bavaria,"No, definitely not",0.88952,175,175,0.84294,0.93610
1996,66 and older,Berlin,"No, definitely not",0.96602,62,62,0.92055,1.01149
1996,66 and older,Brandenburg,"No, definitely not",0.97368,60,60,0.93282,1.01453
1996,66 and older,Mecklenburg-Western Pomerania,"No, definitely not",0.97079,31,31,0.91053,1.03105
1996,66 and older,Saxony,"No, definitely not",0.98217,135,135,0.95977,1.00458
1996,66 and older,Saxony-Anhalt,"No, definitely not",0.93647,70,70,0.87892,0.99402
1996,66 and older,Thuringa,"No, definitely not",0.98970,80,80,0.96743,1.01196
1997,17-29 y.,Lower Saxony,"Yes, definitely",0.21647,55,55,0.10662,0.32631
1997,17-29 y.,North Rhine-Westphalia,"No, definitely not",0.05061,37,230,0.02222,0.07901
1997,17-29 y.,North Rhine-Westphalia,Probably,0.08513,46,230,0.04899,0.12128
1997,17-29 y.,North Rhine-Westphalia,"Yes, definitely",0.24249,147,230,0.18698,0.29801
1997,17-29 y.,Hesse,"Yes, definitely",0.22606,40,40,0.09478,0.35734
1997,17-29 y.,"Rhineland-Palatinate, Saarland","Yes, definitely",0.28705,40,40,0.14507,0.42904
1997,17-29 y.,Baden-Wuerttemberg,"Yes, definitely",0.25936,109,109,0.17670,0.34202
1997,17-29 y.,Bavaria,"Yes, definitely",0.24717,88,88,0.15652,0.33781
1997,17-29 y.,Brandenburg,"Yes, definitely",0.25117,33,33,0.10090,0.40143
1997,17-29 y.,Saxony,"Yes, definitely",0.26325,61,61,0.15182,0.37469
1997,17-29 y.,Saxony-Anhalt,"Yes, definitely",0.26177,45,45,0.13188,0.39166
1997,17-29 y.,Thuringa,"Yes, definitely",0.29289,46,46,0.15992,0.42586
1997,30-45 y.,Lower Saxony,"Yes, definitely",0.08809,31,31,-0.01333,0.18951
1997,30-45 y.,North Rhine-Westphalia,"No, definitely not",0.05652,55,179,0.02259,0.09044
1997,30-45 y.,North Rhine-Westphalia,Probably,0.06470,58,179,0.02856,0.10084
1997,30-45 y.,North Rhine-Westphalia,"Yes, definitely",0.05517,66,179,0.02163,0.08871
1997,30-45 y.,Baden-Wuerttemberg,"Yes, definitely",0.10288,63,63,0.02726,0.17850
1997,30-45 y.,Bavaria,Probably,0.06206,40,79,0.00852,0.11560
1997,30-45 y.,Bavaria,"Yes, definitely",0.08530,39,79,0.02331,0.14729
1997,30-45 y.,Saxony,"Yes, definitely",0.09865,37,37,0.00124,0.19606
1997,30-45 y.,Thuringa,"Yes, definitely",0.14684,33,33,0.02420,0.26948
1997,46-65 y.,Lower Saxony,"No, definitely not",0.37834,115,115,0.28932,0.46737
1997,46-65 y.,North Rhine-Westphalia,"No, definitely not",0.32790,251,251,0.26970,0.38609
1997,46-65 y.,Hesse,"No, definitely not",0.36590,94,94,0.26800,0.46380
1997,46-65 y.,"Rhineland-Palatinate, Saarland","No, definitely not",0.44888,76,76,0.33631,0.56145
1997,46-65 y.,Baden-Wuerttemberg,"No, definitely not",0.34393,161,161,0.27033,0.41754
1997,46-65 y.,Bavaria,"No, definitely not",0.28913,138,138,0.21322,0.36505
1997,46-65 y.,Berlin,"No, definitely not",0.36275,53,53,0.23207,0.49343
1997,46-65 y.,Brandenburg,"No, definitely not",0.37128,65,65,0.25291,0.48965
1997,46-65 y.,Mecklenburg-Western Pomerania,"No, definitely not",0.43334,48,48,0.29167,0.57501
1997,46-65 y.,Saxony,"No, definitely not",0.38279,113,113,0.29277,0.47281
1997,46-65 y.,Saxony-Anhalt,"No, definitely not",0.41463,76,76,0.30313,0.52613
1997,46-65 y.,Thuringa,"No, definitely not",0.38090,62,62,0.25903,0.50276
1997,66 and older,Schleswig-Holstein,"No, definitely not",0.98509,34,34,0.94374,1.02644
1997,66 and older,Lower Saxony,"No, definitely not",0.95071,122,122,0.91214,0.98928
1997,66 and older,North Rhine-Westphalia,"No, definitely not",0.94416,270,270,0.91672,0.97160
1997,66 and older,Hesse,"No, definitely not",0.90975,106,106,0.85494,0.96455
1997,66 and older,"Rhineland-Palatinate, Saarland","No, definitely not",0.96285,104,104,0.92632,0.99937
1997,66 and older,Baden-Wuerttemberg,"No, definitely not",0.95024,183,183,0.91865,0.98183
1997,66 and older,Bavaria,"No, definitely not",0.93012,190,190,0.89377,0.96647
1997,66 and older,Berlin,"No, definitely not",0.94801,60,60,0.89136,1.00466
1997,66 and older,Brandenburg,"No, definitely not",0.96589,64,64,0.92106,1.01071
1997,66 and older,Mecklenburg-Western Pomerania,"No, definitely not",0.89550,31,31,0.78603,1.00497
1997,66 and older,Saxony,"No, definitely not",0.93492,130,130,0.89236,0.97749
1997,66 and older,Saxony-Anhalt,"No, definitely not",0.95210,78,78,0.90440,0.99980
1997,66 and older,Thuringa,"No, definitely not",0.98572,78,78,0.95922,1.01222
1998,17-29 y.,Lower Saxony,"Yes, definitely",0.24954,63,63,0.14182,0.35726
1998,17-29 y.,North Rhine-Westphalia,"No, definitely not",0.06621,43,259,0.03587,0.09655
1998,17-29 y.,North Rhine-Westphalia,Probably,0.06516,39,259,0.03505,0.09528
1998,17-29 y.,North Rhine-Westphalia,"Yes, definitely",0.27152,177,259,0.21725,0.32579
1998,17-29 y.,Hesse,"Yes, definitely",0.22158,45,45,0.09887,0.34430
1998,17-29 y.,"Rhineland-Palatinate, Saarland","Yes, definitely",0.18816,33,33,0.05274,0.32358
1998,17-29 y.,Baden-Wuerttemberg,"Yes, definitely",0.21832,100,100,0.13694,0.29969
1998,17-29 y.,Bavaria,"Yes, definitely",0.31010,110,110,0.22327,0.39694
1998,17-29 y.,Berlin,"Yes, definitely",0.27543,32,32,0.11817,0.43269
1998,17-29 y.,Brandenburg,"Yes, definitely",0.20769,36,36,0.07329,0.34208
1998,17-29 y.,Mecklenburg-Western Pomerania,"Yes, definitely",0.29627,32,32,0.13553,0.45700
1998,17-29 y.,Saxony,"Yes, definitely",0.27685,75,75,0.17490,0.37880
1998,17-29 y.,Saxony-Anhalt,"Yes, definitely",0.25526,40,40,0.11842,0.39210
1998,17-29 y.,Thuringa,"Yes, definitely",0.26805,47,47,0.14005,0.39605
1998,30-45 y.,Lower Saxony,"Yes, definitely",0.07087,32,32,-0.01946,0.16120
1998,30-45 y.,North Rhine-Westphalia,"No, definitely not",0.06793,69,190,0.03206,0.10381
1998,30-45 y.,North Rhine-Westphalia,Probably,0.05251,53,190,0.02071,0.08431
1998,30-45 y.,North Rhine-Westphalia,"Yes, definitely",0.07002,68,190,0.03364,0.10641
1998,30-45 y.,Hesse,"Yes, definitely",0.11197,34,34,0.00438,0.21956
1998,30-45 y.,Baden-Wuerttemberg,"No, definitely not",0.03640,34,125,0.00343,0.06936
1998,30-45 y.,Baden-Wuerttemberg,Probably,0.06379,43,125,0.02078,0.10680
1998,30-45 y.,Baden-Wuerttemberg,"Yes, definitely",0.06956,48,125,0.02478,0.11434
1998,30-45 y.,Bavaria,"No, definitely not",0.03277,32,85,-0.00530,0.07085
1998,30-45 y.,Bavaria,"Yes, definitely",0.09049,53,85,0.02914,0.15184
1998,30-45 y.,Mecklenburg-Western Pomerania,"Yes, definitely",0.24350,31,31,0.08991,0.39708
1998,30-45 y.,Saxony,"Yes, definitely",0.16226,56,56,0.06482,0.25970
1998,30-45 y.,Thuringa,"Yes, definitely",0.16892,39,39,0.04979,0.28805
1998,46-65 y.,Schleswig-Holstein,"No, definitely not",0.33954,33,33,0.17546,0.50361
1998,46-65 y.,Lower Saxony,"No, definitely not",0.36344,130,130,0.28044,0.44645
1998,46-65 y.,North Rhine-Westphalia,"No, definitely not",0.32756,314,314,0.27557,0.37955
1998,46-65 y.,Hesse,"No, definitely not",0.32413,106,106,0.23460,0.41365
1998,46-65 y.,"Rhineland-Palatinate, Saarland","No, definitely not",0.43511,95,95,0.33489,0.53534
1998,46-65 y.,Baden-Wuerttemberg,"No, definitely not",0.35098,181,181,0.28125,0.42071
1998,46-65 y.,Bavaria,"No, definitely not",0.30019,167,167,0.23046,0.36991
1998,46-65 y.,Berlin,"No, definitely not",0.34499,53,53,0.21579,0.47420
1998,46-65 y.,Brandenburg,"No, definitely not",0.38913,80,80,0.28161,0.49664
1998,46-65 y.,Mecklenburg-Western Pomerania,"No, definitely not",0.40112,50,50,0.26389,0.53836
1998,46-65 y.,Saxony,"No, definitely not",0.35430,117,117,0.26726,0.44134
1998,46-65 y.,Saxony-Anhalt,"No, definitely not",0.42451,87,87,0.32005,0.52898
1998,46-65 y.,Thuringa,"No, definitely not",0.34465,70,70,0.23251,0.45679
1998,66 and older,Schleswig-Holstein,"No, definitely not",0.92837,50,50,0.85617,1.00058
1998,66 and older,Lower Saxony,"No, definitely not",0.90621,136,136,0.85703,0.95539
1998,66 and older,North Rhine-Westphalia,"No, definitely not",0.94839,334,334,0.92463,0.97215
1998,66 and older,Hesse,"No, definitely not",0.97879,126,126,0.95354,1.00405
1998,66 and older,Baden-Wuerttemberg,"No, definitely not",0.92853,199,199,0.89265,0.96441
1998,66 and older,Bavaria,"No, definitely not",0.94320,259,259,0.91496,0.97145
1998,66 and older,Berlin,"No, definitely not",0.96678,66,66,0.92321,1.01035
1998,66 and older,Brandenburg,"No, definitely not",0.95918,65,65,0.91070,1.00766
1998,66 and older,Mecklenburg-Western Pomerania,"No, definitely not",0.96575,36,36,0.90550,1.02600
1998,66 and older,Saxony,"No, definitely not",0.94493,143,143,0.90740,0.98245
1998,66 and older,Saxony-Anhalt,"No, definitely not",0.98050,88,88,0.95144,1.00956
1998,66 and older,Thuringa,"No, definitely not",0.96929,92,92,0.93384,1.00474
1999,17-29 y.,Lower Saxony,"Yes, definitely",0.25101,60,60,0.14037,0.36165
1999,17-29 y.,North Rhine-Westphalia,"No, definitely not",0.05493,37,227,0.02523,0.08464
1999,17-29 y.,North Rhine-Westphalia,Probably,0.06663,39,227,0.03412,0.09914
1999,17-29 y.,North Rhine-Westphalia,"Yes, definitely",0.24853,151,227,0.19219,0.30487
1999,17-29 y.,Hesse,"Yes, definitely",0.24704,47,47,0.12240,0.37168
1999,17-29 y.,"Rhineland-Palatinate, Saarland","Yes, definitely",0.30997,36,36,0.15675,0.46319
1999,17-29 y.,Baden-Wuerttemberg,"Yes, definitely",0.24258,94,94,0.15546,0.32970
1999,17-29 y.,Bavaria,"Yes, definitely",0.21548,73,73,0.12051,0.31045
1999,17-29 y.,Berlin,"Yes, definitely",0.40273,38,38,0.24470,0.56077
1999,17-29 y.,Brandenburg,"Yes, definitely",0.33111,45,45,0.19205,0.47017
1999,17-29 y.,Mecklenburg-Western Pomerania,"Yes, definitely",0.34903,31,31,0.17846,0.51960
1999,17-29 y.,Saxony,"Yes, definitely",0.27790,70,70,0.17220,0.38360
1999,17-29 y.,Saxony-Anhalt,"Yes, definitely",0.26152,49,49,0.13720,0.38585
1999,17-29 y.,Thuringa,"Yes, definitely",0.25445,37,37,0.11217,0.39673
1999,30-45 y.,North Rhine-Westphalia,"No, definitely not",0.06055,63,164,0.02393,0.09716
1999,30-45 y.,North Rhine-Westphalia,Probably,0.04431,36,164,0.01272,0.07591
1999,30-45 y.,North Rhine-Westphalia,"Yes, definitely",0.05634,65,164,0.02094,0.09174
1999,30-45 y.,Baden-Wuerttemberg,"No, definitely not",0.04041,34,116,0.00442,0.07640
1999,30-45 y.,Baden-Wuerttemberg,Probably,0.04698,32,116,0.00830,0.08565
1999,30-45 y.,Baden-Wuerttemberg,"Yes, definitely",0.08241,50,116,0.03215,0.13267
1999,30-45 y.,Bavaria,"Yes, definitely",0.06969,45,45,-0.00555,0.14492
1999,30-45 y.,Saxony,"Yes, definitely",0.14266,54,54,0.04850,0.23681
1999,46-65 y.,Schleswig-Holstein,"No, definitely not",0.35612,33,33,0.19020,0.52203
1999,46-65 y.,Lower Saxony,"No, definitely not",0.38674,133,133,0.30366,0.46982
1999,46-65 y.,North Rhine-Westphalia,"No, definitely not",0.32775,303,303,0.27481,0.38069
1999,46-65 y.,Hesse,"No, definitely not",0.33649,100,100,0.24341,0.42957
1999,46-65 y.,"Rhineland-Palatinate, Saarland","No, definitely not",0.44593,94,94,0.34490,0.54695
1999,46-65 y.,Baden-Wuerttemberg,"No, definitely not",0.32729,170,170,0.25654,0.39803
1999,46-65 y.,Bavaria,"No, definitely not",0.31500,166,166,0.24412,0.38588
1999,46-65 y.,Berlin,"No, definitely not",0.37568,58,58,0.24995,0.50140
1999,46-65 y.,Brandenburg,"No, definitely not",0.37540,76,76,0.26581,0.48499
1999,46-65 y.,Mecklenburg-Western Pomerania,"No, definitely not",0.41913,48,48,0.27806,0.56020
1999,46-65 y.,Saxony,"No, definitely not",0.35734,117,117,0.27013,0.44454
1999,46-65 y.,Saxony-Anhalt,"No, definitely not",0.44551,91,91,0.34283,0.54820
1999,46-65 y.,Thuringa,"No, definitely not",0.34965,73,73,0.23950,0.45979
1999,66 and older,Schleswig-Holstein,"No, definitely not",0.98478,39,39,0.94586,1.02371
1999,66 and older,Lower Saxony,"No, definitely not",0.93162,137,137,0.88920,0.97404
1999,66 and older,North Rhine-Westphalia,"No, definitely not",0.92453,305,305,0.89484,0.95422
1999,66 and older,Hesse,"No, definitely not",0.92454,122,122,0.87748,0.97161
1999,66 and older,"Rhineland-Palatinate, Saarland","No, definitely not",0.97811,123,123,0.95215,1.00408
1999,66 and older,Baden-Wuerttemberg,"No, definitely not",0.94880,200,200,0.91818,0.97942
1999,66 and older,Bavaria,"No, definitely not",0.94464,254,254,0.91646,0.97282
1999,66 and older,Berlin,"No, definitely not",0.97312,64,64,0.93318,1.01306
1999,66 and older,Mecklenburg-Western Pomerania,"No, definitely not",0.96990,40,40,0.91627,1.02353
1999,66 and older,Saxony,"No, definitely not",0.99275,149,149,0.97908,1.00642
1999,66 and older,Saxony-Anhalt,"No, definitely not",0.96458,85,85,0.92506,1.00411
1999,66 and older,Thuringa,"No, definitely not",0.97522,93,93,0.94346,1.00699
2000,17-29 y.,Lower Saxony,"Yes, definitely",0.23713,102,102,0.15418,0.32008
2000,17-29 y.,North Rhine-Westphalia,"No, definitely not",0.04724,47,335,0.02449,0.06999
2000,17-29 y.,North Rhine-Westphalia,Probably,0.04423,44,335,0.02218,0.06628
2000,17-29 y.,North Rhine-Westphalia,"Yes, definitely",0.24082,244,335,0.19497,0.28668
2000,17-29 y.,Hesse,"Yes, definitely",0.25631,84,84,0.16238,0.35024
2000,17-29 y.,"Rhineland-Palatinate, Saarland","Yes, definitely",0.29910,69,69,0.19028,0.40793
2000,17-29 y.,Baden-Wuerttemberg,"No, definitely not",0.04734,38,199,0.01776,0.07692
2000,17-29 y.,Baden-Wuerttemberg,"Yes, definitely",0.23167,161,199,0.17290,0.29044
2000,17-29 y.,Bavaria,Probably,0.05697,38,167,0.02171,0.09223
2000,17-29 y.,Bavaria,"Yes, definitely",0.21185,129,167,0.14969,0.27401
