year,regtyp,plh0186,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Urban regions,Very often,0.08116,1681,16137,0.07695,0.08537
2015,Rural regions,Very seldom,0.01588,162,8844,0.01327,0.01848
2015,Rural regions,Seldom,0.07173,656,8844,0.06635,0.07711
2015,Rural regions,Sometimes,0.28444,2690,8844,0.27504,0.29384
2015,Rural regions,Often,0.38729,4467,8844,0.37714,0.39744
2015,Rural regions,Very often,0.07336,869,8844,0.06792,0.07879
2016,Urban regions,Very seldom,0.01933,331,15621,0.01717,0.02148
2016,Urban regions,Seldom,0.06686,1127,15621,0.06295,0.07078
2016,Urban regions,Sometimes,0.25002,4538,15621,0.24323,0.25681
2016,Urban regions,Often,0.41235,8068,15621,0.40463,0.42007
2016,Urban regions,Very often,0.08001,1557,15621,0.07576,0.08427
2016,Rural regions,Very seldom,0.01563,150,8485,0.01299,0.01827
2016,Rural regions,Seldom,0.07455,654,8485,0.06896,0.08014
2016,Rural regions,Sometimes,0.26453,2532,8485,0.25514,0.27391
2016,Rural regions,Often,0.41110,4296,8485,0.40063,0.42157
2016,Rural regions,Very often,0.07236,853,8485,0.06685,0.07787
2017,Urban regions,Very seldom,0.01674,288,17023,0.01481,0.01866
2017,Urban regions,Seldom,0.06068,1135,17023,0.05709,0.06426
2017,Urban regions,Sometimes,0.24217,4719,17023,0.23574,0.24861
2017,Urban regions,Often,0.42207,9054,17023,0.41465,0.42949
2017,Urban regions,Very often,0.08476,1827,17023,0.08057,0.08894
2017,Rural regions,Very seldom,0.01500,127,9356,0.01253,0.01746
2017,Rural regions,Seldom,0.05887,615,9356,0.05410,0.06363
2017,Rural regions,Sometimes,0.25676,2692,9356,0.24791,0.26562
2017,Rural regions,Often,0.43270,4989,9356,0.42266,0.44274
2017,Rural regions,Very often,0.07114,933,9356,0.06593,0.07635
2018,Urban regions,Very seldom,0.01434,293,16581,0.01253,0.01614
2018,Urban regions,Seldom,0.06686,1180,16581,0.06306,0.07066
2018,Urban regions,Sometimes,0.24311,4666,16581,0.23658,0.24964
2018,Urban regions,Often,0.42574,8642,16581,0.41822,0.43327
2018,Urban regions,Very often,0.08207,1800,16581,0.07789,0.08625
2018,Rural regions,Very seldom,0.01271,134,8950,0.01039,0.01503
2018,Rural regions,Seldom,0.05940,568,8950,0.05450,0.06429
2018,Rural regions,Sometimes,0.27402,2683,8950,0.26478,0.28326
2018,Rural regions,Often,0.41987,4693,8950,0.40964,0.43009
2018,Rural regions,Very often,0.07017,872,8950,0.06487,0.07546
2019,Urban regions,Very seldom,0.01645,274,16343,0.01450,0.01841
2019,Urban regions,Seldom,0.06253,1057,16343,0.05882,0.06624
2019,Urban regions,Sometimes,0.24446,4510,16343,0.23787,0.25105
2019,Urban regions,Often,0.42186,8675,16343,0.41429,0.42943
2019,Urban regions,Very often,0.08227,1827,16343,0.07805,0.08648
2019,Rural regions,Very seldom,0.01857,142,8787,0.01575,0.02139
2019,Rural regions,Seldom,0.06300,572,8787,0.05792,0.06808
2019,Rural regions,Sometimes,0.25951,2506,8787,0.25035,0.26868
2019,Rural regions,Often,0.40844,4637,8787,0.39817,0.41872
2019,Rural regions,Very often,0.08210,930,8787,0.07636,0.08784
2020,Urban regions,Very seldom,0.01877,310,16983,0.01673,0.02081
2020,Urban regions,Seldom,0.06763,1233,16983,0.06386,0.07141
2020,Urban regions,Sometimes,0.24771,4847,16983,0.24122,0.25420
2020,Urban regions,Often,0.41536,8761,16983,0.40795,0.42277
2020,Urban regions,Very often,0.07645,1832,16983,0.07246,0.08045
2020,Rural regions,Very seldom,0.01547,150,8633,0.01287,0.01808
2020,Rural regions,Seldom,0.07068,623,8633,0.06528,0.07609
2020,Rural regions,Sometimes,0.25221,2468,8633,0.24305,0.26137
2020,Rural regions,Often,0.41475,4450,8633,0.40436,0.42514
2020,Rural regions,Very often,0.07284,942,8633,0.06735,0.07832
2021,Urban regions,Very seldom,0.01368,175,11383,0.01154,0.01581
2021,Urban regions,Seldom,0.06252,840,11383,0.05807,0.06697
2021,Urban regions,Sometimes,0.22180,2913,11383,0.21417,0.22944
2021,Urban regions,Often,0.43197,6114,11383,0.42287,0.44107
2021,Urban regions,Very often,0.08787,1341,11383,0.08267,0.09307
2021,Rural regions,Very seldom,0.01483,85,5799,0.01171,0.01794
2021,Rural regions,Seldom,0.07968,469,5799,0.07271,0.08665
2021,Rural regions,Sometimes,0.22589,1471,5799,0.21512,0.23665
2021,Rural regions,Often,0.42420,3097,5799,0.41148,0.43692
2021,Rural regions,Very often,0.08618,677,5799,0.07896,0.09340
