year,sampreg,pli0092_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,West,At least once per week,0.26729,5500,15551,0.26034,0.27425
2005,West,At least once per month,0.06759,1251,15551,0.06364,0.07153
2005,West,Seldom,0.14630,2767,15551,0.14075,0.15186
2005,West,Never,0.34595,6033,15551,0.33847,0.35343
2005,East,At least once per week,0.19846,1251,5008,0.18741,0.20950
2005,East,At least once per month,0.06029,367,5008,0.05370,0.06688
2005,East,Seldom,0.18487,1099,5008,0.17412,0.19562
2005,East,Never,0.42281,2291,5008,0.40912,0.43649
2007,West,At least once per week,0.28871,5791,15407,0.28155,0.29587
2007,West,At least once per month,0.05878,1155,15407,0.05506,0.06249
2007,West,Seldom,0.14153,2592,15407,0.13603,0.14703
2007,West,Never,0.33020,5869,15407,0.32277,0.33762
2007,East,At least once per week,0.21845,1325,4983,0.20697,0.22992
2007,East,At least once per month,0.05855,343,4983,0.05203,0.06507
2007,East,Seldom,0.17480,1037,4983,0.16426,0.18535
2007,East,Never,0.41659,2278,4983,0.40290,0.43028
2008,West,At least once per week,0.33298,6163,14463,0.32530,0.34066
2008,West,At least once per month,0.06490,1147,14463,0.06088,0.06891
2008,West,Seldom,0.15145,2589,14463,0.14561,0.15729
2008,West,Never,0.27687,4564,14463,0.26958,0.28416
2008,East,At least once per week,0.28324,1604,4747,0.27042,0.29606
2008,East,At least once per month,0.06196,332,4747,0.05510,0.06882
2008,East,Seldom,0.18882,1056,4747,0.17769,0.19996
2008,East,Never,0.33545,1755,4747,0.32202,0.34888
2009,West,At least once per week,0.31194,5258,13407,0.30409,0.31978
2009,West,At least once per month,0.06431,989,13407,0.06016,0.06847
2009,West,Seldom,0.14688,2310,13407,0.14089,0.15287
2009,West,Never,0.30904,4850,13407,0.30122,0.31686
2009,East,At least once per week,0.23439,1257,4512,0.22203,0.24675
2009,East,At least once per month,0.06400,341,4512,0.05686,0.07114
2009,East,Seldom,0.16105,899,4512,0.15032,0.17178
2009,East,Never,0.40089,2015,4512,0.38659,0.41519
2011,West,At least once per week,0.31503,8557,21970,0.30889,0.32117
2011,West,At least once per month,0.05358,1402,21970,0.05060,0.05656
2011,West,Seldom,0.13156,3497,21970,0.12709,0.13603
2011,West,Never,0.32564,8514,21970,0.31944,0.33184
2011,East,At least once per week,0.25522,1790,6288,0.24444,0.26600
2011,East,At least once per month,0.05531,404,6288,0.04966,0.06096
2011,East,Seldom,0.14924,1086,6288,0.14043,0.15805
2011,East,Never,0.40101,3008,6288,0.38889,0.41312
2013,West,At least once per week,0.37195,9818,19699,0.36520,0.37870
2013,West,At least once per month,0.03879,968,19699,0.03609,0.04148
2013,West,Seldom,0.10095,2720,19699,0.09675,0.10516
2013,West,Never,0.23173,6193,19699,0.22584,0.23762
2013,East,At least once per week,0.33352,2236,5685,0.32127,0.34578
2013,East,At least once per month,0.04198,280,5685,0.03677,0.04719
2013,East,Seldom,0.14601,934,5685,0.13683,0.15519
2013,East,Never,0.31240,2235,5685,0.30035,0.32445
2015,West,At least once per week,0.37674,9396,21308,0.37023,0.38325
2015,West,At least once per month,0.04689,1126,21308,0.04405,0.04973
2015,West,Seldom,0.11238,2934,21308,0.10814,0.11662
2015,West,Never,0.30124,7852,21308,0.29508,0.30740
2015,East,At least once per week,0.29513,1836,5382,0.28295,0.30732
2015,East,At least once per month,0.04869,313,5382,0.04294,0.05445
2015,East,Seldom,0.11979,739,5382,0.11111,0.12846
2015,East,Never,0.38917,2494,5382,0.37614,0.40220
2017,West,At least once per week,0.39299,10844,24268,0.38685,0.39914
2017,West,At least once per month,0.04270,1250,24268,0.04016,0.04524
2017,West,Seldom,0.10732,3215,24268,0.10342,0.11121
2017,West,Never,0.29100,8959,24268,0.28529,0.29672
2017,East,At least once per week,0.32095,2257,6156,0.30928,0.33261
2017,East,At least once per month,0.04624,313,6156,0.04099,0.05149
2017,East,Seldom,0.11904,866,6156,0.11095,0.12713
2017,East,Never,0.35877,2720,6156,0.34678,0.37075
2019,West,At least once per week,0.45999,12427,22716,0.45351,0.46648
2019,West,At least once per month,0.03732,1018,22716,0.03486,0.03979
2019,West,Seldom,0.10630,2860,22716,0.10230,0.11031
2019,West,Never,0.22906,6411,22716,0.22359,0.23452
2019,East,At least once per week,0.40273,2788,5958,0.39028,0.41518
2019,East,At least once per month,0.04963,315,5958,0.04411,0.05514
2019,East,Seldom,0.13029,904,5958,0.12174,0.13884
2019,East,Never,0.26137,1951,5958,0.25022,0.27253
2021,West,At least once per week,0.46530,8007,13570,0.45691,0.47369
2021,West,At least once per month,0.06855,1130,13570,0.06429,0.07280
2021,West,Seldom,0.11847,1849,13570,0.11303,0.12390
2021,West,Never,0.16828,2584,13570,0.16199,0.17458
2021,East,At least once per week,0.41452,1863,3619,0.39847,0.43057
2021,East,At least once per month,0.08152,310,3619,0.07261,0.09044
2021,East,Seldom,0.13370,581,3619,0.12261,0.14479
2021,East,Never,0.20106,865,3619,0.18800,0.21412
