year,age_gr,quintil_oecd,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2007,66 and older,3rd Quintile,741,14.709855744722192,14.334618972726474,15.08509251671791,5.63620997906909,12.916999816894531,22.16699981689453,0.0,46.963184573632695,12.917,11.744749450683592,14.083999633789062
2007,66 and older,4th Quintile,1123,17.286224444265407,16.961198472326195,17.61125041620462,6.916999816894531,16.5,27.16699981689453,0.0,49.833,16.5,15.833000183105469,17.41907482147217
2007,66 and older,5th Quintile,2093,18.893316142633914,18.658686203630403,19.127946081637425,9.314493323399915,17.5,27.770189286796825,0.0,50.917,17.5,16.497924995422363,18.41699981689453
2007,,1st Quintile,,,,,,,,,,,,
2007,,2nd Quintile,,,,,,,,,,,,
2007,,3rd Quintile,,,,,,,,,,,,
2007,,4th Quintile,,,,,,,,,,,,
2007,,5th Quintile,97,26.92168596180762,25.20244229033489,28.640929633280347,12.071363597632589,26.207652204003715,43.787679623659926,0.583,57.167,26.833,16.499000549316406,37.249000549316406
2008,17-29 y.,1st Quintile,,,,,,,,,,,,
2008,17-29 y.,2nd Quintile,,,,,,,,,,,,
2008,17-29 y.,3rd Quintile,,,,,,,,,,,,
2008,17-29 y.,4th Quintile,,,,,,,,,,,,
2008,17-29 y.,5th Quintile,,,,,,,,,,,,
2008,30-45 y.,1st Quintile,365,1.7261140105810868,1.6316243157121981,1.8206037054499755,0.4169999957084656,1.0291196924816033,2.5,0.0,5.624500006437302,1.0,0.5829999446868896,1.25
2008,30-45 y.,2nd Quintile,353,2.292835190234338,2.16509204274611,2.420578337722566,0.5830000042915344,1.4170000553131104,2.6670000553131104,0.0,5.793000131845474,1.417,1.251000165939331,1.6670000553131104
2008,30-45 y.,3rd Quintile,398,2.6886989636679446,2.57221742674947,2.805180500586419,0.8330000042915344,1.9769421858240448,4.416999816894531,0.0,9.792999535799026,2.0,1.5829999446868896,2.4170000553131104
2008,30-45 y.,4th Quintile,419,3.007756602070275,2.8804038693524094,3.1351093347881407,1.0,2.0,4.166999816894531,0.0,8.917499542236328,2.0,1.5,2.3329999446868896
2008,30-45 y.,5th Quintile,332,2.8230790893788056,2.688677897366727,2.9574802813908843,0.75,1.9170000553131104,3.902219970212956,0.0,8.630549925532389,1.917,1.1670000553131104,2.1670000553131104
2008,46-65 y.,1st Quintile,434,5.104311468748218,4.828005446450351,5.3806174910460856,0.5830000042915344,2.359564386314766,7.833000183105469,0.0,18.70800045132637,2.417,1.248900163173675,3.001000165939331
2008,46-65 y.,2nd Quintile,746,7.230401663228659,7.002726415049991,7.4580769114073275,1.742300421810897,5.416999816894531,11.227808223817938,0.0,25.456069926828498,5.417,4.750999450683594,6.3339996337890625
2008,46-65 y.,3rd Quintile,965,9.140697927269713,8.923813620455427,9.357582234084,3.023188582245825,7.5,14.144942853942837,0.0,28.917,7.5,6.833000183105469,7.916999816894531
2008,46-65 y.,4th Quintile,1007,9.350166442414153,9.138068391074661,9.562264493753645,3.3329999446868896,7.817057829803328,14.666999816894531,0.0,29.667,7.833,7.1660003662109375,8.666000366210938
2008,46-65 y.,5th Quintile,1204,9.014325475085661,8.832459929402944,9.196191020768378,3.75,7.6227461778406544,13.416999816894531,0.0,27.917499542236328,7.667,7.081924629211425,8.3360746383667
2008,66 and older,1st Quintile,288,7.847425429882186,7.3516673759248725,8.3431834838395,0.8950928664677613,5.3248146370867655,11.333000183105469,0.0,26.98986115806203,5.333,3.996925544738769,7.4160003662109375
2008,66 and older,2nd Quintile,483,12.516854719276777,12.072999119887038,12.960710318666516,4.1406611776334765,10.07793729373255,19.460257572075744,0.0,42.43965216373914,10.167,8.750999450683594,12.583999633789062
2008,66 and older,3rd Quintile,767,14.572294648829205,14.198776710328234,14.945812587330176,5.5,13.416999816894531,22.51949083327666,0.0,45.583,13.417,11.833999633789062,15.3360746383667
2008,66 and older,4th Quintile,1107,17.648312083989385,17.323991512704193,17.972632655274577,8.229575224134647,16.91699981689453,26.75,0.0,50.25,16.917,15.998899459838867,18.41699981689453
2008,66 and older,5th Quintile,1984,18.86315414454041,18.619393843728652,19.106914445352167,9.083000183105469,17.5,28.25,0.0,50.583,17.5,16.747924995422363,18.16907482147217
2008,,1st Quintile,,,,,,,,,,,,
2008,,2nd Quintile,,,,,,,,,,,,
2008,,3rd Quintile,,,,,,,,,,,,
2008,,4th Quintile,33,15.507843642848801,13.11867464927828,17.897012636419323,4.258574612684337,5.9425178986133025,27.53700779664021,0.833,47.583,5.833,-13.169099807739258,6.5073505401611325
2008,,5th Quintile,102,30.770615123486763,29.15406341907804,32.387166827895484,17.210299284334667,29.70236220648115,45.5051992151093,1.25,58.25,29.833,19.58300018310547,34.95975036621094
2009,17-29 y.,1st Quintile,,,,,,,,,,,,
2009,17-29 y.,2nd Quintile,,,,,,,,,,,,
2009,17-29 y.,3rd Quintile,,,,,,,,,,,,
2009,17-29 y.,4th Quintile,,,,,,,,,,,,
2009,17-29 y.,5th Quintile,,,,,,,,,,,,
2009,30-45 y.,1st Quintile,345,1.7235872748755723,1.6279491672844866,1.819225382466658,0.5,1.0,2.5,0.0,5.5,1.0,0.5829999446868896,1.1669999957084656
2009,30-45 y.,2nd Quintile,279,2.4038766905968547,2.2646037624570727,2.5431496187366367,0.6669999957084656,1.5829999446868896,3.4170000553131104,0.0,7.5420001447200775,1.583,1.0829999446868896,1.8329999446868896
2009,30-45 y.,3rd Quintile,364,2.7817886468698254,2.6444019685166165,2.9191753252230344,0.6669999957084656,1.8329999446868896,3.5829999446868896,0.0,7.956999868154526,1.833,1.4139248907566064,2.1659998893737793
2009,30-45 y.,4th Quintile,395,2.760429740198552,2.641538854965858,2.8793206254312462,0.8556737478022839,2.111913855533029,3.8855374777729605,0.0,8.430333072728976,2.167,1.9170000553131104,2.751000165939331
2009,30-45 y.,5th Quintile,306,3.1046445258531685,2.9525739585657464,3.2567150931405906,1.0,2.3329999446868896,4.5925481297294075,0.0,9.981370324323517,2.333,1.9159998893737793,3.085074943304062
2009,46-65 y.,1st Quintile,394,5.976118969816788,5.674189596565339,6.278048343068238,0.9169999957084656,3.548628895445033,9.833000183105469,0.0,23.207000464200974,3.583,2.6659998893737793,4.58299994468689
2009,46-65 y.,2nd Quintile,678,7.609431166448103,7.356603227997259,7.862259104898947,1.8329999446868896,6.003309462252647,11.666999816894531,0.0,26.417999625205994,6.0,5.0,7.083000183105469
2009,46-65 y.,3rd Quintile,845,8.400430373897958,8.169681340388161,8.631179407407755,2.2955412834114495,6.6786560539073205,13.118127420147275,0.0,29.333,6.667,5.498899459838866,7.666999816894531
