,Unnamed: 0,year,quintil_oecd,sex,plj0045,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
77,77,2014,5th Quintile,female,"Yes, depending on situation",0.32649,895,26474,0.30133,0.35415
78,78,2014,5th Quintile,female,Rather not,0.2979,807,26474,0.27304,0.32849
79,79,2014,5th Quintile,female,Never,0.32425,793,26474,0.30128,0.34772
80,80,2019,1st Quintile,male,"Yes, happily",0.07866,138,22195,0.06511,0.09419
81,81,2019,1st Quintile,male,"Yes, depending on situation",0.25146,434,22195,0.2239,0.28227
82,82,2019,1st Quintile,male,Rather not,0.2495,444,22195,0.22355,0.27833
83,83,2019,1st Quintile,male,Never,0.42038,792,22195,0.38074,0.45519
84,84,2019,1st Quintile,female,"Yes, happily",0.06018,161,22195,0.05031,0.07121
85,85,2019,1st Quintile,female,"Yes, depending on situation",0.22438,562,22195,0.20208,0.2473
86,86,2019,1st Quintile,female,Rather not,0.24937,607,22195,0.22479,0.27291
87,87,2019,1st Quintile,female,Never,0.46608,1131,22195,0.43724,0.49814
88,88,2019,2nd Quintile,male,"Yes, happily",0.05168,111,22195,0.04001,0.06183
89,89,2019,2nd Quintile,male,"Yes, depending on situation",0.23332,492,22195,0.2076,0.26785
90,90,2019,2nd Quintile,male,Rather not,0.28052,558,22195,0.25244,0.31442
91,91,2019,2nd Quintile,male,Never,0.43448,893,22195,0.40283,0.46859
92,92,2019,2nd Quintile,female,"Yes, happily",0.05384,128,22195,0.04364,0.067
93,93,2019,2nd Quintile,female,"Yes, depending on situation",0.18373,581,22195,0.16184,0.20626
94,94,2019,2nd Quintile,female,Rather not,0.26631,684,22195,0.23892,0.29649
95,95,2019,2nd Quintile,female,Never,0.49611,1208,22195,0.46885,0.52624
96,96,2019,3rd Quintile,male,"Yes, happily",0.0561,103,22195,0.04162,0.06931
97,97,2019,3rd Quintile,male,"Yes, depending on situation",0.27429,564,22195,0.24472,0.2983
98,98,2019,3rd Quintile,male,Rather not,0.27609,563,22195,0.24826,0.30386
99,99,2019,3rd Quintile,male,Never,0.39352,793,22195,0.36904,0.42078
100,100,2019,3rd Quintile,female,"Yes, happily",0.03904,108,22195,0.028,0.05135
101,101,2019,3rd Quintile,female,"Yes, depending on situation",0.23524,604,22195,0.21577,0.25673
102,102,2019,3rd Quintile,female,Rather not,0.2987,716,22195,0.2708,0.32252
103,103,2019,3rd Quintile,female,Never,0.42702,968,22195,0.39914,0.45739
104,104,2019,4th Quintile,male,"Yes, happily",0.06381,101,22195,0.05221,0.08319
105,105,2019,4th Quintile,male,"Yes, depending on situation",0.29013,608,22195,0.26369,0.31466
106,106,2019,4th Quintile,male,Rather not,0.30877,599,22195,0.28341,0.33355
107,107,2019,4th Quintile,male,Never,0.33729,662,22195,0.31078,0.37595
108,108,2019,4th Quintile,female,"Yes, happily",0.04669,104,22195,0.03719,0.05802
109,109,2019,4th Quintile,female,"Yes, depending on situation",0.26179,627,22195,0.24248,0.28529
110,110,2019,4th Quintile,female,Rather not,0.30736,672,22195,0.27602,0.33702
111,111,2019,4th Quintile,female,Never,0.38416,808,22195,0.3528,0.41283
112,112,2019,5th Quintile,male,"Yes, happily",0.07415,154,22195,0.05989,0.0887
113,113,2019,5th Quintile,male,"Yes, depending on situation",0.32253,801,22195,0.29788,0.35358
114,114,2019,5th Quintile,male,Rather not,0.328,741,22195,0.2988,0.3525
115,115,2019,5th Quintile,male,Never,0.27531,651,22195,0.25463,0.30315
116,116,2019,5th Quintile,female,"Yes, happily",0.0579,121,22195,0.04616,0.07047
117,117,2019,5th Quintile,female,"Yes, depending on situation",0.28249,725,22195,0.25567,0.30804
118,118,2019,5th Quintile,female,Rather not,0.32522,773,22195,0.29931,0.3497
119,119,2019,5th Quintile,female,Never,0.33439,705,22195,0.30649,0.35858
