,Unnamed: 0,year,bula_h,plj0045,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
35,35,2009,Brandenburg,Rather not,0.27532,117,9838,0.23505,0.33181
36,36,2009,Mecklenburg-Western Pomerania,"Yes, depending on situation",0.62868,134,9838,0.53455,0.72944
37,37,2009,Mecklenburg-Western Pomerania,Rather not,0.37132,61,9838,0.29296,0.46261
38,38,2009,Saxony,"Yes, happily",0.09521,44,9838,0.07182,0.11965
39,39,2009,Saxony,"Yes, depending on situation",0.52234,373,9838,0.47456,0.57104
40,40,2009,Saxony,Rather not,0.3071,230,9838,0.26952,0.34191
41,41,2009,Saxony,Never,0.07534,50,9838,0.06094,0.09604
42,42,2009,Saxony-Anhalt,"Yes, happily",0.11923,34,9838,0.07688,0.17534
43,43,2009,Saxony-Anhalt,"Yes, depending on situation",0.54912,232,9838,0.46084,0.63732
44,44,2009,Saxony-Anhalt,Rather not,0.22744,108,9838,0.1835,0.27297
45,45,2009,Saxony-Anhalt,Never,0.10421,31,9838,0.07287,0.14579
46,46,2009,Thuringa,"Yes, happily",0.10933,42,9838,0.07309,0.14061
47,47,2009,Thuringa,"Yes, depending on situation",0.54978,217,9838,0.47283,0.64498
48,48,2009,Thuringa,Rather not,0.21155,101,9838,0.17335,0.26488
49,49,2009,Thuringa,Never,0.12934,42,9838,0.10397,0.15256
50,50,2014,Schleswig-Holstein,"Yes, happily",0.06918,61,26456,0.05315,0.08679
51,51,2014,Schleswig-Holstein,"Yes, depending on situation",0.28587,259,26456,0.2444,0.33343
52,52,2014,Schleswig-Holstein,Rather not,0.2891,239,26456,0.25043,0.33519
53,53,2014,Schleswig-Holstein,Never,0.35585,326,26456,0.31362,0.40632
54,54,2014,Hamburg,"Yes, depending on situation",0.28754,137,26456,0.23768,0.35362
55,55,2014,Hamburg,Rather not,0.3293,121,26456,0.2574,0.40373
56,56,2014,Hamburg,Never,0.38316,151,26456,0.34058,0.44031
57,57,2014,Lower Saxony,"Yes, happily",0.03971,120,26456,0.03076,0.04942
58,58,2014,Lower Saxony,"Yes, depending on situation",0.32043,815,26456,0.29868,0.34826
59,59,2014,Lower Saxony,Rather not,0.27531,695,26456,0.25191,0.29781
60,60,2014,Lower Saxony,Never,0.36455,905,26456,0.33994,0.38821
61,61,2014,Bremen,"Yes, depending on situation",0.35389,71,26456,0.26224,0.45424
62,62,2014,Bremen,Rather not,0.21896,45,26456,0.14147,0.32564
63,63,2014,Bremen,Never,0.42716,92,26456,0.32826,0.53925
64,64,2014,North Rhine-Westphalia,"Yes, happily",0.03452,216,26456,0.02955,0.0391
65,65,2014,North Rhine-Westphalia,"Yes, depending on situation",0.27622,1469,26456,0.26059,0.29505
66,66,2014,North Rhine-Westphalia,Rather not,0.27678,1505,26456,0.26198,0.29498
67,67,2014,North Rhine-Westphalia,Never,0.41248,2302,26456,0.39281,0.42985
68,68,2014,Hesse,"Yes, happily",0.04314,86,26456,0.03345,0.05522
69,69,2014,Hesse,"Yes, depending on situation",0.29423,560,26456,0.26296,0.31884
70,70,2014,Hesse,Rather not,0.29547,570,26456,0.26607,0.3302
71,71,2014,Hesse,Never,0.36716,631,26456,0.33895,0.39676
72,72,2014,"Rhineland-Palatinate, Saarland","Yes, happily",0.05526,64,26456,0.0412,0.07167
73,73,2014,"Rhineland-Palatinate, Saarland","Yes, depending on situation",0.22939,384,26456,0.20694,0.25733
74,74,2014,"Rhineland-Palatinate, Saarland",Rather not,0.29205,421,26456,0.25578,0.31722
75,75,2014,"Rhineland-Palatinate, Saarland",Never,0.4233,687,26456,0.39533,0.45355
76,76,2014,Baden-Wuerttemberg,"Yes, happily",0.03769,136,26456,0.03059,0.04591
77,77,2014,Baden-Wuerttemberg,"Yes, depending on situation",0.24413,724,26456,0.22453,0.26743
78,78,2014,Baden-Wuerttemberg,Rather not,0.30985,1012,26456,0.28964,0.33455
79,79,2014,Baden-Wuerttemberg,Never,0.40833,1287,26456,0.38467,0.43038
80,80,2014,Bavaria,"Yes, happily",0.03241,156,26456,0.02618,0.04161
81,81,2014,Bavaria,"Yes, depending on situation",0.20259,888,26456,0.1853,0.22138
82,82,2014,Bavaria,Rather not,0.26692,1197,26456,0.25044,0.28551
83,83,2014,Bavaria,Never,0.49809,2036,26456,0.47391,0.52238
84,84,2014,Berlin,"Yes, happily",0.1673,150,26456,0.14298,0.19604
85,85,2014,Berlin,"Yes, depending on situation",0.40295,403,26456,0.36462,0.44407
86,86,2014,Berlin,Rather not,0.23005,239,26456,0.20441,0.25708
87,87,2014,Berlin,Never,0.1997,183,26456,0.17392,0.22495
88,88,2014,Brandenburg,"Yes, happily",0.06751,68,26456,0.04652,0.09895
89,89,2014,Brandenburg,"Yes, depending on situation",0.29094,292,26456,0.24801,0.33217
90,90,2014,Brandenburg,Rather not,0.26386,271,26456,0.23173,0.30412
91,91,2014,Brandenburg,Never,0.3777,388,26456,0.34246,0.41163
92,92,2014,Mecklenburg-Western Pomerania,"Yes, happily",0.09055,44,26456,0.05789,0.12502
93,93,2014,Mecklenburg-Western Pomerania,"Yes, depending on situation",0.25001,172,26456,0.20941,0.29471
94,94,2014,Mecklenburg-Western Pomerania,Rather not,0.26184,136,26456,0.21451,0.30931
95,95,2014,Mecklenburg-Western Pomerania,Never,0.3976,203,26456,0.35074,0.44203
96,96,2014,Saxony,"Yes, happily",0.04843,77,26456,0.03627,0.06416
97,97,2014,Saxony,"Yes, depending on situation",0.26909,452,26456,0.24054,0.29841
98,98,2014,Saxony,Rather not,0.3454,517,26456,0.30885,0.38478
99,99,2014,Saxony,Never,0.33707,546,26456,0.31078,0.35979
100,100,2014,Saxony-Anhalt,"Yes, happily",0.0732,84,26456,0.058,0.09073
101,101,2014,Saxony-Anhalt,"Yes, depending on situation",0.28707,302,26456,0.25878,0.31974
102,102,2014,Saxony-Anhalt,Rather not,0.24013,240,26456,0.20522,0.27751
103,103,2014,Saxony-Anhalt,Never,0.3996,331,26456,0.36034,0.44398
104,104,2014,Thuringa,"Yes, happily",0.05731,65,26456,0.03885,0.08297
105,105,2014,Thuringa,"Yes, depending on situation",0.30965,315,26456,0.27184,0.34601
106,106,2014,Thuringa,Rather not,0.23703,267,26456,0.20324,0.27156
107,107,2014,Thuringa,Never,0.396,343,26456,0.36835,0.42901
108,108,2019,Schleswig-Holstein,"Yes, happily",0.05533,61,25036,0.04267,0.06822
109,109,2019,Schleswig-Holstein,"Yes, depending on situation",0.29009,283,25036,0.2517,0.33369
110,110,2019,Schleswig-Holstein,Rather not,0.30555,239,25036,0.25246,0.35366
111,111,2019,Schleswig-Holstein,Never,0.34903,352,25036,0.31442,0.39343
112,112,2019,Hamburg,"Yes, depending on situation",0.29144,140,25036,0.23768,0.34944
113,113,2019,Hamburg,Rather not,0.29427,148,25036,0.24133,0.34659
114,114,2019,Hamburg,Never,0.4143,205,25036,0.34935,0.49233
115,115,2019,Lower Saxony,"Yes, happily",0.0552,119,25036,0.04265,0.06767
116,116,2019,Lower Saxony,"Yes, depending on situation",0.27769,697,25036,0.25444,0.30407
117,117,2019,Lower Saxony,Rather not,0.29409,682,25036,0.26846,0.31537
118,118,2019,Lower Saxony,Never,0.37302,910,25036,0.34849,0.40083
119,119,2019,Bremen,"Yes, depending on situation",0.36497,70,25036,0.26653,0.45846
120,120,2019,Bremen,Rather not,0.26408,50,25036,0.18959,0.37255
121,121,2019,Bremen,Never,0.37095,78,25036,0.27602,0.47101
122,122,2019,North Rhine-Westphalia,"Yes, happily",0.05651,269,25036,0.0465,0.06664
123,123,2019,North Rhine-Westphalia,"Yes, depending on situation",0.26099,1431,25036,0.24123,0.27657
124,124,2019,North Rhine-Westphalia,Rather not,0.28298,1526,25036,0.26543,0.30098
125,125,2019,North Rhine-Westphalia,Never,0.39952,2068,25036,0.37896,0.41782
126,126,2019,Hesse,"Yes, happily",0.03906,84,25036,0.02738,0.04966
127,127,2019,Hesse,"Yes, depending on situation",0.29541,545,25036,0.2609,0.32567
128,128,2019,Hesse,Rather not,0.29478,491,25036,0.26556,0.32953
129,129,2019,Hesse,Never,0.37075,547,25036,0.3283,0.40916
130,130,2019,"Rhineland-Palatinate, Saarland","Yes, happily",0.0507,73,25036,0.03804,0.06942
131,131,2019,"Rhineland-Palatinate, Saarland","Yes, depending on situation",0.25199,357,25036,0.21586,0.28634
132,132,2019,"Rhineland-Palatinate, Saarland",Rather not,0.28825,392,25036,0.25461,0.31744
133,133,2019,"Rhineland-Palatinate, Saarland",Never,0.40907,541,25036,0.37631,0.4465
134,134,2019,Baden-Wuerttemberg,"Yes, happily",0.05109,151,25036,0.04122,0.05904
135,135,2019,Baden-Wuerttemberg,"Yes, depending on situation",0.2227,705,25036,0.20203,0.24141
136,136,2019,Baden-Wuerttemberg,Rather not,0.33317,874,25036,0.30887,0.35716
137,137,2019,Baden-Wuerttemberg,Never,0.39304,1002,25036,0.36557,0.42341
138,138,2019,Bavaria,"Yes, happily",0.04431,169,25036,0.03498,0.05382
139,139,2019,Bavaria,"Yes, depending on situation",0.20326,884,25036,0.1889,0.22143
140,140,2019,Bavaria,Rather not,0.28528,1113,25036,0.26604,0.3068
141,141,2019,Bavaria,Never,0.46715,1672,25036,0.43919,0.49691
142,142,2019,Berlin,"Yes, happily",0.17546,183,25036,0.14635,0.20777
143,143,2019,Berlin,"Yes, depending on situation",0.38383,422,25036,0.34373,0.42246
144,144,2019,Berlin,Rather not,0.24645,224,25036,0.20464,0.29651
145,145,2019,Berlin,Never,0.19426,177,25036,0.16578,0.22032
146,146,2019,Brandenburg,"Yes, happily",0.06857,81,25036,0.04884,0.09181
147,147,2019,Brandenburg,"Yes, depending on situation",0.25837,318,25036,0.21957,0.29287
148,148,2019,Brandenburg,Rather not,0.2703,278,25036,0.23482,0.31801
149,149,2019,Brandenburg,Never,0.40276,421,25036,0.36171,0.44404
150,150,2019,Mecklenburg-Western Pomerania,"Yes, happily",0.09682,50,25036,0.06675,0.12986
151,151,2019,Mecklenburg-Western Pomerania,"Yes, depending on situation",0.30906,185,25036,0.25066,0.3853
152,152,2019,Mecklenburg-Western Pomerania,Rather not,0.27537,163,25036,0.2241,0.33121
153,153,2019,Mecklenburg-Western Pomerania,Never,0.31874,208,25036,0.28084,0.36226
154,154,2019,Saxony,"Yes, happily",0.05864,89,25036,0.04427,0.07676
155,155,2019,Saxony,"Yes, depending on situation",0.21676,405,25036,0.19244,0.24257
156,156,2019,Saxony,Rather not,0.30715,470,25036,0.27701,0.34313
157,157,2019,Saxony,Never,0.41745,648,25036,0.37127,0.45326
158,158,2019,Saxony-Anhalt,"Yes, happily",0.07752,64,25036,0.05451,0.09981
159,159,2019,Saxony-Anhalt,"Yes, depending on situation",0.3058,274,25036,0.25831,0.35396
160,160,2019,Saxony-Anhalt,Rather not,0.24018,221,25036,0.20436,0.28365
161,161,2019,Saxony-Anhalt,Never,0.3765,314,25036,0.32775,0.4221
162,162,2019,Thuringa,"Yes, happily",0.08769,70,25036,0.05572,0.13085
163,163,2019,Thuringa,"Yes, depending on situation",0.28911,256,25036,0.23632,0.34599
164,164,2019,Thuringa,Rather not,0.22105,234,25036,0.186,0.25659
165,165,2019,Thuringa,Never,0.40215,353,25036,0.35711,0.44748
