year,bula_h,regtyp,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1989,Nordrhein-Westfalen,Staedtischer Raum,1.0254249135536306,0.9741254136319355,1.0767244134753258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2490.0
1989,Nordrhein-Westfalen,Laendlicher Raum,1.9194739572189707,1.4214879115534613,2.41746000288448,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,68.0
1989,Hessen,Staedtischer Raum,1.1716801423929157,1.0833154332671093,1.2600448515187221,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,846.0
1989,Hessen,Laendlicher Raum,0.5121719195245449,0.37498827698046305,0.6493555620686267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0
1989,"Rheinland-Pfalz,Saarland",Staedtischer Raum,0.8561500334525841,0.7668999535346973,0.9454001133704709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572.0
1989,"Rheinland-Pfalz,Saarland",Laendlicher Raum,0.5872809345251806,0.4287566700442109,0.7458051990061503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0
1989,Baden-Wuerttemberg,Staedtischer Raum,1.193920618688515,1.1185271622889341,1.2693140750880958,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,1549.0
1989,Baden-Wuerttemberg,Laendlicher Raum,1.0093986024028425,0.8527173601688033,1.1660798446368816,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,233.0
1989,Bayern,Staedtischer Raum,0.7432208816563639,0.6718199681154898,0.814621795197238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,833.0
1989,Bayern,Laendlicher Raum,1.1185713538036788,1.0344463257000083,1.2026963819073493,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,748.0
1989,Berlin,Staedtischer Raum,0.7135795412728878,0.5784283887616519,0.8487306937841237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0
1990,Schleswig-Holstein,Staedtischer Raum,1.122951418676038,0.8529271293147869,1.3929757080372893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0
1990,Schleswig-Holstein,Laendlicher Raum,1.43922458404297,1.1350733124014631,1.743375855684477,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,140.0
1990,Hamburg,Staedtischer Raum,0.9151801781530602,0.7014575440328958,1.1289028122732245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0
1990,Niedersachsen,Staedtischer Raum,0.9388803048844621,0.8112988945947609,1.066461715174163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473.0
1990,Niedersachsen,Laendlicher Raum,1.0839871325347472,0.9556777370803762,1.2122965279891182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.0
1990,Bremen,Staedtischer Raum,1.2564958523136616,0.8836421889749841,1.629349515652339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0
1990,Nordrhein-Westfalen,Staedtischer Raum,1.154764923276672,1.098788813927332,1.2107410326260117,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,2439.0
1990,Nordrhein-Westfalen,Laendlicher Raum,1.799307593606526,1.363065417089715,2.235549770123337,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,71.0
1990,Hessen,Staedtischer Raum,1.2635532299185144,1.1710327800559455,1.3560736797810833,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,829.0
1990,Hessen,Laendlicher Raum,0.4909725457910358,0.36586496973821925,0.6160801218438523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0
1990,"Rheinland-Pfalz,Saarland",Staedtischer Raum,1.1282037534725373,1.0209811003782474,1.2354264065668272,0.0,0.0,0.4346317127906305,0.0,1.0865792819765763,0.0,0.0,0.0,553.0
1990,"Rheinland-Pfalz,Saarland",Laendlicher Raum,0.6167713501591752,0.470042071682885,0.7635006286354653,0.0,0.0,0.9667615198484032,0.0,2.416903799621008,0.0,0.0,0.0,109.0
1990,Baden-Wuerttemberg,Staedtischer Raum,1.2137710415754295,1.1347473411191857,1.2927947420316732,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,1523.0
1990,Baden-Wuerttemberg,Laendlicher Raum,1.0568585510005664,0.8916126946916376,1.222104407309495,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,232.0
1990,Bayern,Staedtischer Raum,0.8359742928178776,0.7481930095278919,0.9237555761078633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810.0
1990,Bayern,Laendlicher Raum,1.0682720925020215,0.9781250191826495,1.1584191658213936,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,758.0
1990,Berlin,-1,,,,,,,,,,,,
1990,Berlin,Staedtischer Raum,0.793599219094778,0.7142306328154466,0.8729678053741095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596.0
1990,Brandenburg,-1,,,,,,,,,,,,
1990,Brandenburg,Staedtischer Raum,1.3647036969676711,0.9058596220073902,1.823547771927952,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,63.0
1990,Brandenburg,Laendlicher Raum,0.9958125853665452,0.9073142317174163,1.084310939015674,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,639.0
1990,Mecklenburg-Vorpommern,-1,,,,,,,,,,,,
1990,Mecklenburg-Vorpommern,Staedtischer Raum,1.0617821750811538,0.7944592976846467,1.3291050524776609,0.0,0.0,1.4296772102260007,0.0,3.574193025565002,0.0,0.0,0.0,51.0
1990,Mecklenburg-Vorpommern,Laendlicher Raum,0.9377164895973923,0.8294366797641775,1.0459962994306071,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,433.0
1990,Sachsen,-1,,,,,,,,,,,,
1990,Sachsen,Staedtischer Raum,0.9181095725125272,0.8408353021412625,0.995383842883792,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,685.0
1990,Sachsen,Laendlicher Raum,0.7777589077332164,0.7029112921356424,0.8526065233307905,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,615.0
1990,Sachsen-Anhalt,-1,,,,,,,,,,,,
1990,Sachsen-Anhalt,Staedtischer Raum,0.7083625411006883,0.575558488225799,0.8411665939755776,0.0,0.0,0.648463683983781,0.0,1.6211592099594525,0.0,0.0,0.0,167.0
1990,Sachsen-Anhalt,Laendlicher Raum,0.9204255234879039,0.8348914480160761,1.0059595989597316,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,616.0
1990,Thueringen,-1,,,,,,,,,,,,
1990,Thueringen,Staedtischer Raum,1.1122226194860476,0.9503464493887934,1.2740987895833018,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,203.0
