year,quintil_oecd_hh,rentown,hgeqpnrj,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,2nd Quintile,Tenant,No,0.99411,2074,2074,0.99082,0.99740
2012,3rd Quintile,Owner,Yes,0.03294,88,1645,0.02431,0.04157
2012,3rd Quintile,Owner,No,0.95952,1557,1645,0.94999,0.96904
2012,3rd Quintile,Tenant,No,0.98819,1532,1532,0.98278,0.99360
2012,4th Quintile,Owner,Yes,0.05363,126,1897,0.04349,0.06377
2012,4th Quintile,Owner,No,0.94351,1771,1897,0.93312,0.95390
2012,4th Quintile,Tenant,No,0.98848,1111,1111,0.98220,0.99476
2012,5th Quintile,Owner,Yes,0.06787,160,2286,0.05756,0.07818
2012,5th Quintile,Owner,No,0.92771,2126,2286,0.91709,0.93833
2012,5th Quintile,Tenant,No,0.98495,849,849,0.97676,0.99315
2013,1st Quintile,Owner,No,0.98005,552,552,0.96837,0.99172
2013,1st Quintile,Tenant,No,0.99233,3642,3642,0.98950,0.99517
2013,2nd Quintile,Owner,Yes,0.03308,62,1271,0.02325,0.04292
2013,2nd Quintile,Owner,No,0.96692,1209,1271,0.95708,0.97675
2013,2nd Quintile,Tenant,No,0.99025,2570,2570,0.98645,0.99405
2013,3rd Quintile,Owner,Yes,0.03532,101,1711,0.02657,0.04407
2013,3rd Quintile,Owner,No,0.96468,1610,1711,0.95593,0.97343
2013,3rd Quintile,Tenant,No,0.99168,1657,1657,0.98730,0.99605
2013,4th Quintile,Owner,Yes,0.05631,129,1823,0.04572,0.06689
2013,4th Quintile,Owner,No,0.94186,1694,1823,0.93112,0.95261
2013,4th Quintile,Tenant,No,0.98725,1274,1274,0.98108,0.99341
2013,5th Quintile,Owner,Yes,0.06378,166,2322,0.05384,0.07372
2013,5th Quintile,Owner,No,0.93622,2156,2322,0.92628,0.94616
2013,5th Quintile,Tenant,No,0.98126,919,919,0.97249,0.99003
2014,1st Quintile,Owner,No,0.98296,484,484,0.97142,0.99450
2014,1st Quintile,Tenant,No,0.98503,2927,2927,0.98063,0.98943
2014,2nd Quintile,Owner,Yes,0.03108,48,1095,0.02080,0.04137
2014,2nd Quintile,Owner,No,0.96892,1047,1095,0.95863,0.97920
2014,2nd Quintile,Tenant,Yes,0.01120,34,2217,0.00681,0.01558
2014,2nd Quintile,Tenant,No,0.98707,2183,2217,0.98236,0.99177
2014,3rd Quintile,Owner,Yes,0.05002,107,1577,0.03926,0.06079
2014,3rd Quintile,Owner,No,0.94998,1470,1577,0.93921,0.96074
2014,3rd Quintile,Tenant,No,0.98788,1518,1518,0.98237,0.99338
2014,4th Quintile,Owner,Yes,0.06912,145,1717,0.05711,0.08112
2014,4th Quintile,Owner,No,0.92987,1572,1717,0.91779,0.94195
2014,4th Quintile,Tenant,No,0.97737,1184,1184,0.96890,0.98585
2014,5th Quintile,Owner,Yes,0.07321,176,2155,0.06221,0.08421
2014,5th Quintile,Owner,No,0.92440,1979,2155,0.91323,0.93556
2014,5th Quintile,Tenant,No,0.97790,844,844,0.96798,0.98783
2015,1st Quintile,Owner,No,0.98235,471,471,0.97044,0.99425
2015,1st Quintile,Tenant,No,0.98698,3034,3034,0.98295,0.99102
2015,2nd Quintile,Owner,Yes,0.04005,67,1087,0.02839,0.05171
2015,2nd Quintile,Owner,No,0.95919,1020,1087,0.94742,0.97095
2015,2nd Quintile,Tenant,No,0.99106,2272,2272,0.98719,0.99493
2015,3rd Quintile,Owner,Yes,0.04198,85,1438,0.03161,0.05235
2015,3rd Quintile,Owner,No,0.95652,1353,1438,0.94597,0.96706
2015,3rd Quintile,Tenant,Yes,0.02063,33,1575,0.01361,0.02766
2015,3rd Quintile,Tenant,No,0.97425,1542,1575,0.96643,0.98208
2015,4th Quintile,Owner,Yes,0.05119,128,1648,0.04054,0.06183
2015,4th Quintile,Owner,No,0.94881,1520,1648,0.93817,0.95946
2015,4th Quintile,Tenant,No,0.97037,1160,1160,0.96060,0.98013
2015,5th Quintile,Owner,Yes,0.06129,159,2073,0.05096,0.07162
2015,5th Quintile,Owner,No,0.93848,1914,2073,0.92813,0.94883
2015,5th Quintile,Tenant,No,0.97136,877,877,0.96032,0.98241
2016,1st Quintile,Owner,No,0.96287,379,379,0.94380,0.98193
2016,1st Quintile,Tenant,No,0.98649,2673,2673,0.98211,0.99086
2016,2nd Quintile,Owner,Yes,0.02829,55,1025,0.01813,0.03844
2016,2nd Quintile,Owner,No,0.97143,970,1025,0.96123,0.98163
2016,2nd Quintile,Tenant,No,0.99059,1991,1991,0.98635,0.99483
2016,3rd Quintile,Owner,Yes,0.05410,92,1341,0.04199,0.06621
2016,3rd Quintile,Owner,No,0.94590,1249,1341,0.93379,0.95801
2016,3rd Quintile,Tenant,No,0.98414,1383,1383,0.97755,0.99072
2016,4th Quintile,Owner,Yes,0.06542,128,1561,0.05315,0.07769
2016,4th Quintile,Owner,No,0.93458,1433,1561,0.92231,0.94685
2016,4th Quintile,Tenant,No,0.97753,1077,1077,0.96868,0.98639
2016,5th Quintile,Owner,Yes,0.07821,147,1977,0.06637,0.09004
2016,5th Quintile,Owner,No,0.92153,1830,1977,0.90968,0.93339
2016,5th Quintile,Tenant,No,0.98900,764,764,0.98160,0.99640
2017,1st Quintile,Owner,No,0.94680,369,369,0.92387,0.96973
2017,1st Quintile,Tenant,No,0.96145,2787,2787,0.95430,0.96860
2017,2nd Quintile,Owner,Yes,0.03762,49,1099,0.02636,0.04887
2017,2nd Quintile,Owner,No,0.96238,1050,1099,0.95113,0.97364
2017,2nd Quintile,Tenant,Yes,0.01229,32,2130,0.00761,0.01697
2017,2nd Quintile,Tenant,No,0.97924,2098,2130,0.97318,0.98529
2017,3rd Quintile,Owner,Yes,0.05707,104,1531,0.04545,0.06870
2017,3rd Quintile,Owner,No,0.93968,1427,1531,0.92775,0.95161
2017,3rd Quintile,Tenant,Yes,0.01835,35,1555,0.01168,0.02502
2017,3rd Quintile,Tenant,No,0.98140,1520,1555,0.97468,0.98812
2017,4th Quintile,Owner,Yes,0.05849,152,1796,0.04763,0.06934
2017,4th Quintile,Owner,No,0.94047,1644,1796,0.92952,0.95142
2017,4th Quintile,Tenant,No,0.96984,1218,1218,0.96023,0.97945
2017,5th Quintile,Owner,Yes,0.07947,201,2243,0.06827,0.09067
2017,5th Quintile,Owner,No,0.91969,2042,2243,0.90844,0.93094
2017,5th Quintile,Tenant,No,0.97633,827,827,0.96596,0.98669
2018,1st Quintile,Owner,No,0.96157,365,365,0.94182,0.98132
2018,1st Quintile,Tenant,No,0.94897,2895,2895,0.94095,0.95699
2018,2nd Quintile,Owner,Yes,0.04244,57,1086,0.03045,0.05444
2018,2nd Quintile,Owner,No,0.95756,1029,1086,0.94556,0.96955
2018,2nd Quintile,Tenant,No,0.98478,2182,2182,0.97964,0.98992
2018,3rd Quintile,Owner,Yes,0.05787,96,1402,0.04565,0.07010
2018,3rd Quintile,Owner,No,0.94010,1306,1402,0.92768,0.95253
2018,3rd Quintile,Tenant,Yes,0.01613,31,1536,0.00983,0.02243
2018,3rd Quintile,Tenant,No,0.97624,1505,1536,0.96862,0.98386
2018,4th Quintile,Owner,Yes,0.06741,138,1710,0.05552,0.07930
2018,4th Quintile,Owner,No,0.93131,1572,1710,0.91932,0.94330
2018,4th Quintile,Tenant,No,0.96953,1140,1140,0.95955,0.97951
2018,5th Quintile,Owner,Yes,0.08667,208,2168,0.07482,0.09852
2018,5th Quintile,Owner,No,0.91173,1960,2168,0.89979,0.92367
2018,5th Quintile,Tenant,No,0.96514,815,815,0.95254,0.97774
2019,1st Quintile,Owner,No,0.90476,318,318,0.87245,0.93708
2019,1st Quintile,Tenant,No,0.80395,2074,2074,0.78686,0.82104
2019,2nd Quintile,Owner,Yes,0.04562,57,926,0.03218,0.05907
2019,2nd Quintile,Owner,No,0.91138,869,926,0.89307,0.92970
2019,2nd Quintile,Tenant,No,0.85857,1664,1664,0.84182,0.87531
2019,3rd Quintile,Owner,Yes,0.03727,71,1250,0.02677,0.04778
2019,3rd Quintile,Owner,No,0.91542,1179,1250,0.89999,0.93085
2019,3rd Quintile,Tenant,No,0.86825,1238,1238,0.84940,0.88710
2019,4th Quintile,Owner,Yes,0.06047,123,1521,0.04849,0.07245
2019,4th Quintile,Owner,No,0.88720,1398,1521,0.87130,0.90310
2019,4th Quintile,Tenant,No,0.84851,914,914,0.82525,0.87177
2019,5th Quintile,Owner,Yes,0.07430,187,1907,0.06252,0.08607
2019,5th Quintile,Owner,No,0.83241,1720,1907,0.81564,0.84918
2019,5th Quintile,Tenant,No,0.78911,667,667,0.75812,0.82009
2020,1st Quintile,Owner,No,0.93989,299,299,0.91290,0.96688
2020,1st Quintile,Tenant,Yes,0.01168,36,3101,0.00790,0.01546
2020,1st Quintile,Tenant,No,0.93484,3065,3101,0.92615,0.94352
2020,2nd Quintile,Owner,Yes,0.03991,49,984,0.02768,0.05215
2020,2nd Quintile,Owner,No,0.95989,935,984,0.94762,0.97216
2020,2nd Quintile,Tenant,Yes,0.02352,33,2336,0.01737,0.02967
2020,2nd Quintile,Tenant,No,0.96602,2303,2336,0.95867,0.97337
2020,3rd Quintile,Owner,Yes,0.04013,66,1298,0.02945,0.05081
2020,3rd Quintile,Owner,No,0.95546,1232,1298,0.94423,0.96668
2020,3rd Quintile,Tenant,Yes,0.02113,32,1571,0.01402,0.02825
2020,3rd Quintile,Tenant,No,0.97163,1539,1571,0.96341,0.97984
2020,4th Quintile,Owner,Yes,0.06542,143,1616,0.05336,0.07748
2020,4th Quintile,Owner,No,0.93119,1473,1616,0.91885,0.94354
2020,4th Quintile,Tenant,No,0.97200,1215,1215,0.96272,0.98128
2020,5th Quintile,Owner,Yes,0.05840,254,2720,0.04958,0.06721
2020,5th Quintile,Owner,No,0.93965,2466,2720,0.93070,0.94860
2020,5th Quintile,Tenant,No,0.96288,965,965,0.95094,0.97481
2021,1st Quintile,Owner,No,0.89284,238,238,0.85346,0.93223
2021,1st Quintile,Tenant,No,0.80292,1504,1504,0.78281,0.82303
2021,2nd Quintile,Owner,Yes,0.04910,39,644,0.03240,0.06580
2021,2nd Quintile,Owner,No,0.88876,605,644,0.86445,0.91306
2021,2nd Quintile,Tenant,No,0.84713,1308,1308,0.82762,0.86664
2021,3rd Quintile,Owner,Yes,0.05340,59,857,0.03834,0.06846
2021,3rd Quintile,Owner,No,0.87550,798,857,0.85338,0.89762
2021,3rd Quintile,Tenant,No,0.86997,972,972,0.84882,0.89113
2021,4th Quintile,Owner,Yes,0.06211,98,1110,0.04791,0.07632
2021,4th Quintile,Owner,No,0.84900,1012,1110,0.82792,0.87007
2021,4th Quintile,Tenant,No,0.85140,763,763,0.82615,0.87666
2021,5th Quintile,Owner,Yes,0.04734,150,1779,0.03747,0.05722
2021,5th Quintile,Owner,No,0.85616,1629,1779,0.83985,0.87247
2021,5th Quintile,Tenant,No,0.86527,628,628,0.83854,0.89200
2022,1st Quintile,Owner,Yes,0.06111,93,991,0.04619,0.07603
2022,1st Quintile,Owner,No,0.93635,898,991,0.92114,0.95156
2022,1st Quintile,Tenant,Yes,0.02285,100,3498,0.01789,0.02780
2022,1st Quintile,Tenant,No,0.93774,3398,3498,0.92973,0.94575
2022,2nd Quintile,Owner,Yes,0.05452,87,1106,0.04113,0.06791
2022,2nd Quintile,Owner,No,0.93738,1019,1106,0.92309,0.95166
2022,2nd Quintile,Tenant,Yes,0.01793,79,2739,0.01296,0.02290
2022,2nd Quintile,Tenant,No,0.95595,2660,2739,0.94826,0.96363
2022,3rd Quintile,Owner,Yes,0.05836,148,1403,0.04609,0.07063
2022,3rd Quintile,Owner,No,0.93920,1255,1403,0.92670,0.95171
2022,3rd Quintile,Tenant,Yes,0.03169,75,1982,0.02398,0.03940
2022,3rd Quintile,Tenant,No,0.95765,1907,1982,0.94879,0.96652
2022,4th Quintile,Owner,Yes,0.08331,167,1748,0.07035,0.09626
2022,4th Quintile,Owner,No,0.91545,1581,1748,0.90240,0.92849
2022,4th Quintile,Tenant,Yes,0.03702,62,1660,0.02794,0.04611
2022,4th Quintile,Tenant,No,0.95284,1598,1660,0.94264,0.96304
2022,5th Quintile,Owner,Yes,0.10201,343,2571,0.09031,0.11371
2022,5th Quintile,Owner,No,0.89719,2228,2571,0.88545,0.90893
2022,5th Quintile,Tenant,Yes,0.04560,66,1249,0.03403,0.05718
2022,5th Quintile,Tenant,No,0.94669,1183,1249,0.93423,0.95916
