year,rentown,sampreg,hgeqpnrj,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2020,Owner,West,Yes,0.04819,404,5585,0.04257,0.05380
2020,Owner,West,No,0.94960,5181,5585,0.94386,0.95534
2020,Owner,East,Yes,0.08064,123,1349,0.06611,0.09518
2020,Owner,East,No,0.91237,1226,1349,0.89727,0.92746
2020,Tenant,West,Yes,0.02135,133,7198,0.01801,0.02469
2020,Tenant,West,No,0.95203,7065,7198,0.94710,0.95697
2020,Tenant,East,No,0.97333,2046,2046,0.96635,0.98031
2021,Owner,West,Yes,0.04618,277,3772,0.03948,0.05288
2021,Owner,West,No,0.87131,3495,3772,0.86062,0.88200
2021,Owner,East,Yes,0.08814,78,869,0.06928,0.10700
2021,Owner,East,No,0.83220,791,869,0.80734,0.85706
2021,Tenant,West,Yes,0.01952,79,3977,0.01522,0.02382
2021,Tenant,West,No,0.83493,3898,3977,0.82339,0.84647
2021,Tenant,East,No,0.85793,1290,1290,0.83887,0.87699
2022,Owner,West,Yes,0.07630,672,6289,0.06974,0.08286
2022,Owner,West,No,0.92236,5617,6289,0.91575,0.92898
2022,Owner,East,Yes,0.08227,166,1540,0.06854,0.09599
2022,Owner,East,No,0.90781,1374,1540,0.89336,0.92227
2022,Tenant,West,Yes,0.03042,332,8664,0.02680,0.03403
2022,Tenant,West,No,0.94480,8332,8664,0.93999,0.94961
2022,Tenant,East,Yes,0.01995,64,2649,0.01463,0.02528
2022,Tenant,East,No,0.96428,2585,2649,0.95722,0.97135
