,Unnamed: 0,year,bula_h,regtyp,pet_horse,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
88,88,2016,Hesse,Urban regions,No,1.0,788,14140,0.94236,1.07427
89,89,2016,Hesse,Rural regions,No,1.0,175,14140,0.83972,1.17495
90,90,2016,"Rhineland-Palatinate, Saarland",Urban regions,No,1.0,620,14140,0.92593,1.07494
91,91,2016,"Rhineland-Palatinate, Saarland",Rural regions,No,1.0,220,14140,0.87973,1.1411
92,92,2016,Baden-Wuerttemberg,Urban regions,No,1.0,1438,14140,0.94936,1.05633
93,93,2016,Baden-Wuerttemberg,Rural regions,No,1.0,172,14140,0.85791,1.17732
94,94,2016,Bavaria,Urban regions,No,1.0,1083,14140,0.93974,1.05991
95,95,2016,Bavaria,Rural regions,No,1.0,1191,14140,0.9232,1.07083
96,96,2016,Berlin,Urban regions,No,1.0,608,14140,0.91093,1.06374
97,97,2016,Brandenburg,Urban regions,No,1.0,45,14140,0.72378,1.39727
98,98,2016,Brandenburg,Rural regions,No,1.0,508,14140,0.90412,1.09033
99,99,2016,Mecklenburg-Western Pomerania,Urban regions,No,1.0,45,14140,0.72029,1.30034
100,100,2016,Mecklenburg-Western Pomerania,Rural regions,No,1.0,278,14140,0.88254,1.13548
101,101,2016,Saxony,Urban regions,No,1.0,463,14140,0.92544,1.07916
102,102,2016,Saxony,Rural regions,No,1.0,394,14140,0.90501,1.09784
103,103,2016,Saxony-Anhalt,Urban regions,No,1.0,125,14140,0.81397,1.1974
104,104,2016,Saxony-Anhalt,Rural regions,No,1.0,385,14140,0.8848,1.10502
105,105,2016,Thuringa,Urban regions,No,1.0,180,14140,0.86168,1.19432
106,106,2016,Thuringa,Rural regions,No,1.0,361,14140,0.8783,1.12201
107,107,2021,Schleswig-Holstein,Urban regions,No,1.0,150,10909,0.79206,1.25346
108,108,2021,Schleswig-Holstein,Rural regions,No,1.0,258,10909,0.86096,1.13835
109,109,2021,Hamburg,Urban regions,No,1.0,267,10909,0.87126,1.13471
110,110,2021,Lower Saxony,Urban regions,No,1.0,469,10909,0.8895,1.11976
111,111,2021,Lower Saxony,Rural regions,No,1.0,568,10909,0.90862,1.09884
112,112,2021,Bremen,Urban regions,No,1.0,79,10909,0.74119,1.24699
113,113,2021,North Rhine-Westphalia,Urban regions,No,1.0,2206,10909,0.94594,1.04986
114,114,2021,North Rhine-Westphalia,Rural regions,No,1.0,48,10909,0.76938,1.2899
115,115,2021,Hesse,Urban regions,No,1.0,542,10909,0.90096,1.11566
116,116,2021,Hesse,Rural regions,No,1.0,134,10909,0.82319,1.17645
117,117,2021,"Rhineland-Palatinate, Saarland",Urban regions,No,1.0,410,10909,0.89312,1.11645
118,118,2021,"Rhineland-Palatinate, Saarland",Rural regions,No,1.0,120,10909,0.80467,1.22434
119,119,2021,Baden-Wuerttemberg,Urban regions,No,1.0,1085,10909,0.92914,1.07956
120,120,2021,Baden-Wuerttemberg,Rural regions,No,1.0,117,10909,0.81302,1.19395
121,121,2021,Bavaria,Urban regions,No,1.0,863,10909,0.91791,1.06992
122,122,2021,Bavaria,Rural regions,No,1.0,867,10909,0.90921,1.09392
123,123,2021,Berlin,Urban regions,No,1.0,553,10909,0.87971,1.10243
124,124,2021,Brandenburg,Urban regions,No,1.0,40,10909,0.73787,1.29572
125,125,2021,Brandenburg,Rural regions,No,1.0,399,10909,0.87762,1.11812
126,126,2021,Mecklenburg-Western Pomerania,Urban regions,No,1.0,49,10909,0.74667,1.25762
127,127,2021,Mecklenburg-Western Pomerania,Rural regions,No,1.0,210,10909,0.83955,1.13986
128,128,2021,Saxony,Urban regions,No,1.0,391,10909,0.88048,1.13543
129,129,2021,Saxony,Rural regions,No,1.0,339,10909,0.89589,1.11495
130,130,2021,Saxony-Anhalt,Urban regions,No,1.0,81,10909,0.73083,1.3539
131,131,2021,Saxony-Anhalt,Rural regions,No,1.0,283,10909,0.88289,1.15908
132,132,2021,Thuringa,Urban regions,No,1.0,137,10909,0.83341,1.23639
133,133,2021,Thuringa,Rural regions,No,1.0,244,10909,0.85607,1.1609
