year,bula_h,rentown,pet_horse,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Brandenburg,Owner,No,0.91770,228,228,0.88195,0.95345
2011,Brandenburg,Tenant,No,0.91629,284,284,0.88402,0.94855
2011,Mecklenburg-Western Pomerania,Owner,No,0.94174,121,121,0.89982,0.98365
2011,Mecklenburg-Western Pomerania,Tenant,No,0.88851,187,187,0.84327,0.93374
2011,Saxony,Owner,No,0.92441,297,297,0.89430,0.95452
2011,Saxony,Tenant,No,0.93280,509,509,0.91102,0.95457
2011,Saxony-Anhalt,Owner,No,0.90821,222,222,0.87015,0.94628
2011,Saxony-Anhalt,Tenant,No,0.91994,281,281,0.88816,0.95173
2011,Thuringa,Owner,No,0.91805,232,232,0.88268,0.95342
2011,Thuringa,Tenant,No,0.91977,283,283,0.88807,0.95148
2016,Schleswig-Holstein,Owner,No,0.94582,227,227,0.91631,0.97533
2016,Schleswig-Holstein,Tenant,No,0.99460,265,265,0.98575,1.00344
2016,Hamburg,Owner,No,0.99482,72,72,0.97813,1.01152
2016,Lower Saxony,Owner,No,0.97396,672,672,0.96191,0.98601
2016,Lower Saxony,Tenant,No,0.99112,651,651,0.98391,0.99833
2016,North Rhine-Westphalia,Owner,No,0.98972,1197,1197,0.98401,0.99544
2016,North Rhine-Westphalia,Tenant,No,0.99410,1682,1682,0.99044,0.99776
2016,Hesse,Owner,No,0.97587,416,416,0.96110,0.99063
2016,Hesse,Tenant,No,0.99216,547,547,0.98476,0.99956
2016,"Rhineland-Palatinate, Saarland",Owner,No,0.97855,437,437,0.96495,0.99215
2016,"Rhineland-Palatinate, Saarland",Tenant,No,0.99844,403,403,0.99458,1.00230
2016,Baden-Wuerttemberg,Owner,No,0.98651,842,842,0.97871,0.99431
2016,Baden-Wuerttemberg,Tenant,No,0.98973,768,768,0.98260,0.99687
2016,Bavaria,Owner,No,0.98122,1078,1078,0.97311,0.98932
2016,Bavaria,Tenant,No,0.99541,1195,1195,0.99158,0.99925
2016,Berlin,Owner,No,0.99129,108,108,0.97369,1.00890
2016,Berlin,Tenant,No,0.99863,500,500,0.99538,1.00188
2016,Brandenburg,Owner,No,0.98080,248,248,0.96369,0.99792
2016,Brandenburg,Tenant,No,0.99761,305,305,0.99213,1.00310
2016,Mecklenburg-Western Pomerania,Owner,No,0.98291,104,104,0.95788,1.00794
2016,Mecklenburg-Western Pomerania,Tenant,No,0.99945,219,219,0.99634,1.00256
2016,Saxony,Owner,No,0.99497,298,298,0.98693,1.00302
2016,Saxony,Tenant,No,0.99763,559,559,0.99360,1.00167
2016,Saxony-Anhalt,Owner,No,0.97832,208,208,0.95848,0.99816
2016,Thuringa,Owner,No,0.99416,240,240,0.98450,1.00382
2016,Thuringa,Tenant,No,0.99396,301,301,0.98519,1.00273
2021,Schleswig-Holstein,Owner,No,0.92352,230,230,0.88910,0.95794
2021,Schleswig-Holstein,Tenant,No,0.93346,178,178,0.89674,0.97017
2021,Hamburg,Owner,No,0.94329,76,76,0.89094,0.99563
2021,Hamburg,Tenant,No,0.98492,191,191,0.96758,1.00225
2021,Lower Saxony,Owner,No,0.97403,542,542,0.96063,0.98743
2021,Lower Saxony,Tenant,No,0.97474,495,495,0.96091,0.98858
2021,Bremen,Tenant,No,0.98025,56,56,0.94347,1.01702
2021,North Rhine-Westphalia,Owner,No,0.98276,989,989,0.97464,0.99088
2021,North Rhine-Westphalia,Tenant,No,0.97159,1263,1263,0.96242,0.98076
2021,Hesse,Owner,No,0.95411,312,312,0.93085,0.97736
2021,Hesse,Tenant,No,0.96086,364,364,0.94091,0.98081
2021,"Rhineland-Palatinate, Saarland",Owner,No,0.98434,293,293,0.97010,0.99858
2021,"Rhineland-Palatinate, Saarland",Tenant,No,0.96701,237,237,0.94423,0.98980
2021,Baden-Wuerttemberg,Owner,No,0.99082,645,645,0.98345,0.99819
2021,Baden-Wuerttemberg,Tenant,No,0.96334,556,556,0.94771,0.97898
2021,Bavaria,Owner,No,0.98526,847,847,0.97714,0.99338
2021,Bavaria,Tenant,No,0.98339,883,883,0.97495,0.99182
2021,Berlin,Tenant,No,0.97803,444,444,0.96438,0.99168
2021,Brandenburg,Owner,No,0.96195,222,222,0.93672,0.98717
2021,Brandenburg,Tenant,No,0.98520,217,217,0.96910,1.00130
2021,Mecklenburg-Western Pomerania,Owner,No,0.98014,101,101,0.95279,1.00748
2021,Mecklenburg-Western Pomerania,Tenant,No,0.98724,158,158,0.96968,1.00480
2021,Saxony,Owner,No,0.99399,263,263,0.98464,1.00335
2021,Saxony,Tenant,No,0.98861,466,466,0.97896,0.99825
2021,Saxony-Anhalt,Owner,No,0.99427,149,149,0.98210,1.00643
2021,Saxony-Anhalt,Tenant,No,0.98637,215,215,0.97084,1.00191
2021,Thuringa,Owner,No,0.99239,169,169,0.97925,1.00553
2021,Thuringa,Tenant,No,0.97979,212,212,0.96080,0.99878
