year,bula_h,hhtyp,pet_othrodent,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Thuringa,Single-person household,No,0.98925,150,150,0.97269,1.00581
2016,Thuringa,Couple without children,No,0.98071,180,180,0.96056,1.00086
2016,Thuringa,Single parent,No,0.88849,48,48,0.79850,0.97848
2016,Thuringa,Couple with children,No,0.94176,141,141,0.90296,0.98055
2021,Schleswig-Holstein,Single-person household,No,0.98723,100,100,0.96511,1.00935
2021,Schleswig-Holstein,Couple without children,No,0.93075,123,123,0.88570,0.97580
2021,Schleswig-Holstein,Single parent,No,0.96472,31,31,0.89870,1.03074
2021,Schleswig-Holstein,Couple with children,No,0.95673,148,148,0.92384,0.98962
2021,Hamburg,Single-person household,No,0.97932,81,81,0.94813,1.01050
2021,Hamburg,Couple without children,No,0.96662,89,89,0.92909,1.00415
2021,Hamburg,Couple with children,No,0.89356,62,62,0.81616,0.97095
2021,Lower Saxony,Single-person household,No,0.99124,288,288,0.98046,1.00202
2021,Lower Saxony,Couple without children,No,0.99923,328,328,0.99622,1.00224
2021,Lower Saxony,Single parent,No,0.85275,87,87,0.77786,0.92765
2021,Lower Saxony,Couple with children,No,0.95038,303,303,0.92589,0.97487
2021,North Rhine-Westphalia,Single-person household,No,0.98414,626,626,0.97435,0.99394
2021,North Rhine-Westphalia,Couple without children,No,0.98946,672,672,0.98173,0.99719
2021,North Rhine-Westphalia,Single parent,No,0.94877,159,159,0.91440,0.98315
2021,North Rhine-Westphalia,Couple with children,Yes,0.03245,33,714,0.01944,0.04545
2021,North Rhine-Westphalia,Couple with children,No,0.94313,681,714,0.92613,0.96013
2021,North Rhine-Westphalia,Other Combinations,No,0.95352,66,66,0.90234,1.00470
2021,Hesse,Single-person household,No,0.96850,206,206,0.94460,0.99241
2021,Hesse,Couple without children,No,0.99290,212,212,0.98158,1.00423
2021,Hesse,Single parent,No,0.98366,59,59,0.95104,1.01629
2021,Hesse,Couple with children,No,0.94479,180,180,0.91133,0.97825
2021,"Rhineland-Palatinate, Saarland",Single-person household,No,0.98954,149,149,0.97314,1.00593
2021,"Rhineland-Palatinate, Saarland",Couple without children,No,0.99494,161,161,0.98395,1.00593
2021,"Rhineland-Palatinate, Saarland",Single parent,No,0.86380,36,36,0.75017,0.97744
2021,"Rhineland-Palatinate, Saarland",Couple with children,No,0.91816,146,146,0.87355,0.96278
2021,Baden-Wuerttemberg,Single-person household,No,0.98665,310,310,0.97386,0.99945
2021,Baden-Wuerttemberg,Couple without children,No,0.99560,361,361,0.98876,1.00244
2021,Baden-Wuerttemberg,Single parent,No,0.77534,77,77,0.68151,0.86918
2021,Baden-Wuerttemberg,Couple with children,No,0.96384,401,401,0.94555,0.98214
2021,Bavaria,Single-person household,No,0.98667,514,514,0.97675,0.99660
2021,Bavaria,Couple without children,No,0.97888,499,499,0.96625,0.99151
2021,Bavaria,Single parent,No,0.94636,124,124,0.90654,0.98618
2021,Bavaria,Couple with children,No,0.96633,510,510,0.95066,0.98200
2021,Bavaria,Other Combinations,No,0.97595,44,44,0.93016,1.02174
2021,Berlin,Single-person household,No,0.98728,236,236,0.97295,1.00161
2021,Berlin,Couple without children,No,0.99341,151,151,0.98046,1.00636
2021,Berlin,Single parent,No,0.95383,37,37,0.88529,1.02238
2021,Berlin,Couple with children,No,0.95181,116,116,0.91266,0.99095
2021,Brandenburg,Single-person household,No,0.99521,119,119,0.98275,1.00767
2021,Brandenburg,Couple without children,No,0.98317,162,162,0.96331,1.00304
2021,Brandenburg,Single parent,No,0.99143,40,40,0.96250,1.02036
2021,Brandenburg,Couple with children,No,0.96103,107,107,0.92419,0.99787
2021,Mecklenburg-Western Pomerania,Single-person household,No,0.99197,82,82,0.97253,1.01141
2021,Mecklenburg-Western Pomerania,Couple with children,No,0.97405,56,56,0.93203,1.01607
2021,Saxony,Single-person household,No,0.97849,196,196,0.95812,0.99885
2021,Saxony,Couple without children,No,0.98885,263,263,0.97613,1.00156
2021,Saxony,Single parent,No,0.85058,66,66,0.76391,0.93725
2021,Saxony,Couple with children,No,0.91946,154,154,0.87634,0.96258
2021,Saxony-Anhalt,Single-person household,No,0.99448,116,116,0.98095,1.00802
2021,Saxony-Anhalt,Couple without children,No,0.96603,118,118,0.93321,0.99886
2021,Saxony-Anhalt,Single parent,No,0.92783,37,37,0.84330,1.01236
2021,Saxony-Anhalt,Couple with children,No,0.92905,68,68,0.86757,0.99053
2021,Thuringa,Single-person household,No,0.98860,119,119,0.96944,1.00775
2021,Thuringa,Couple without children,No,0.99479,126,126,0.98217,1.00741
2021,Thuringa,Single parent,No,0.94984,38,38,0.87951,1.02017
2021,Thuringa,Couple with children,No,0.94026,83,83,0.88897,0.99156
