year,migback,plb0240,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1993,Direct migration background,Full-time,0.05238,148,325,0.02812,0.07664
1993,Direct migration background,Part-time,0.03672,100,325,0.01624,0.05720
1993,Direct migration background,Either,0.01292,37,325,0.00062,0.02521
1993,Direct migration background,I'm not sure yet,0.01528,40,325,0.00192,0.02863
1993,Indirect migration background,Full-time,0.06229,99,99,0.01444,0.11014
1994,No migration background,Full-time,0.05186,753,1537,0.04077,0.06295
1994,No migration background,Part-time,0.03379,449,1537,0.02475,0.04283
1994,No migration background,Either,0.01346,209,1537,0.00770,0.01923
1994,No migration background,I'm not sure yet,0.00954,126,1537,0.00468,0.01441
1994,Direct migration background,Full-time,0.06284,158,327,0.03650,0.08918
1994,Direct migration background,Part-time,0.03261,89,327,0.01333,0.05190
1994,Direct migration background,Either,0.01649,44,327,0.00267,0.03031
1994,Direct migration background,I'm not sure yet,0.01148,36,327,-0.00009,0.02304
1994,Indirect migration background,Full-time,0.06877,102,102,0.01942,0.11813
1995,No migration background,Full-time,0.04741,703,1491,0.03662,0.05820
1995,No migration background,Part-time,0.03585,468,1491,0.02641,0.04529
1995,No migration background,Either,0.01452,218,1491,0.00844,0.02059
1995,No migration background,I'm not sure yet,0.00758,102,1491,0.00317,0.01198
1995,Direct migration background,Full-time,0.08592,242,491,0.06110,0.11073
1995,Direct migration background,Part-time,0.03823,129,491,0.02125,0.05521
1995,Direct migration background,Either,0.02326,77,491,0.00991,0.03660
1995,Direct migration background,I'm not sure yet,0.01132,43,491,0.00195,0.02069
1995,Indirect migration background,Full-time,0.07299,113,113,0.02481,0.12116
1996,No migration background,Full-time,0.04731,715,1513,0.03660,0.05801
1996,No migration background,Part-time,0.03654,455,1513,0.02708,0.04599
1996,No migration background,Either,0.01580,232,1513,0.00951,0.02208
1996,No migration background,I'm not sure yet,0.00840,111,1513,0.00380,0.01300
1996,Direct migration background,Full-time,0.07822,213,443,0.05319,0.10326
1996,Direct migration background,Part-time,0.04624,112,443,0.02666,0.06581
1996,Direct migration background,Either,0.02472,77,443,0.01025,0.03920
1996,Direct migration background,I'm not sure yet,0.01252,41,443,0.00216,0.02289
1996,Indirect migration background,Full-time,0.07051,116,116,0.02372,0.11730
1997,No migration background,Full-time,0.04844,673,1492,0.03754,0.05933
1997,No migration background,Part-time,0.03515,454,1492,0.02580,0.04450
1997,No migration background,Either,0.01847,259,1492,0.01164,0.02531
1997,No migration background,I'm not sure yet,0.00865,106,1492,0.00395,0.01335
1997,Direct migration background,Full-time,0.07652,205,419,0.05103,0.10200
1997,Direct migration background,Part-time,0.04875,135,419,0.02810,0.06939
1997,Direct migration background,Either,0.02320,79,419,0.00877,0.03763
1997,Indirect migration background,Full-time,0.06762,114,114,0.02132,0.11392
1998,No migration background,Full-time,0.04623,750,1652,0.03610,0.05636
1998,No migration background,Part-time,0.03400,500,1652,0.02525,0.04274
1998,No migration background,Either,0.01673,268,1652,0.01055,0.02292
1998,No migration background,I'm not sure yet,0.00865,134,1652,0.00419,0.01312
1998,Direct migration background,Full-time,0.07135,174,394,0.04590,0.09680
1998,Direct migration background,Part-time,0.03960,114,394,0.02032,0.05888
1998,Direct migration background,Either,0.02749,61,394,0.01133,0.04366
1998,Direct migration background,I'm not sure yet,0.01230,45,394,0.00140,0.02319
1998,Indirect migration background,Full-time,0.07352,116,116,0.02582,0.12122
1999,No migration background,Full-time,0.04319,663,1445,0.03270,0.05367
1999,No migration background,Part-time,0.02923,419,1445,0.02054,0.03792
1999,No migration background,Either,0.01463,232,1445,0.00844,0.02082
1999,No migration background,I'm not sure yet,0.00873,131,1445,0.00393,0.01353
1999,Direct migration background,Full-time,0.05180,127,315,0.02728,0.07631
1999,Direct migration background,Part-time,0.04054,98,315,0.01872,0.06235
1999,Direct migration background,Either,0.02133,56,315,0.00535,0.03732
1999,Direct migration background,I'm not sure yet,0.01090,34,315,-0.00058,0.02239
1999,Indirect migration background,Full-time,0.06693,110,110,0.02002,0.11385
2000,No migration background,Full-time,0.04177,1174,2557,0.03401,0.04952
2000,No migration background,Part-time,0.02923,815,2557,0.02270,0.03576
2000,No migration background,Either,0.01395,379,2557,0.00940,0.01850
2000,No migration background,I'm not sure yet,0.00702,189,2557,0.00378,0.01025
2000,Direct migration background,Full-time,0.06004,238,558,0.04031,0.07976
2000,Direct migration background,Part-time,0.04751,182,558,0.02985,0.06518
2000,Direct migration background,Either,0.02333,84,558,0.01080,0.03587
2000,Direct migration background,I'm not sure yet,0.01408,54,558,0.00430,0.02387
2000,Indirect migration background,Full-time,0.07381,164,235,0.04031,0.10731
2000,Indirect migration background,Part-time,0.01813,40,235,0.00104,0.03523
2000,Indirect migration background,Either,0.01322,31,235,-0.00141,0.02786
2001,No migration background,Full-time,0.04526,1125,2309,0.03678,0.05374
2001,No migration background,Part-time,0.02806,691,2309,0.02132,0.03480
2001,No migration background,Either,0.01130,290,2309,0.00699,0.01561
2001,No migration background,I'm not sure yet,0.00765,203,2309,0.00410,0.01121
2001,Direct migration background,Full-time,0.07015,202,449,0.04650,0.09380
2001,Direct migration background,Part-time,0.04766,146,449,0.02793,0.06739
2001,Direct migration background,Either,0.01937,56,449,0.00661,0.03214
2001,Direct migration background,I'm not sure yet,0.01331,45,449,0.00270,0.02392
2001,Indirect migration background,Full-time,0.05932,144,227,0.02852,0.09011
2001,Indirect migration background,Part-time,0.01960,49,227,0.00153,0.03767
2001,Indirect migration background,I'm not sure yet,0.01800,34,227,0.00067,0.03533
2002,No migration background,Full-time,0.05052,1248,2527,0.04198,0.05906
2002,No migration background,Part-time,0.03195,742,2527,0.02509,0.03881
2002,No migration background,Either,0.01285,348,2527,0.00846,0.01724
2002,No migration background,I'm not sure yet,0.00659,189,2527,0.00343,0.00974
2002,Direct migration background,Full-time,0.07054,186,437,0.04651,0.09458
2002,Direct migration background,Part-time,0.04900,142,437,0.02874,0.06927
2002,Direct migration background,Either,0.02856,73,437,0.01293,0.04420
2002,Direct migration background,I'm not sure yet,0.01054,36,437,0.00096,0.02013
2002,Indirect migration background,Full-time,0.06657,144,187,0.03075,0.10240
2002,Indirect migration background,Part-time,0.01898,43,187,-0.00063,0.03859
2003,No migration background,Full-time,0.05091,1228,2458,0.04221,0.05960
2003,No migration background,Part-time,0.02854,665,2458,0.02196,0.03512
2003,No migration background,Either,0.01479,361,2458,0.01001,0.01956
2003,No migration background,I'm not sure yet,0.00729,204,2458,0.00392,0.01065
2003,Direct migration background,Full-time,0.07632,190,420,0.05090,0.10175
2003,Direct migration background,Part-time,0.04780,128,420,0.02737,0.06823
2003,Direct migration background,Either,0.02963,68,420,0.01340,0.04587
2003,Direct migration background,I'm not sure yet,0.01368,34,420,0.00256,0.02480
2003,Indirect migration background,Full-time,0.06507,137,185,0.02943,0.10071
2003,Indirect migration background,Part-time,0.02192,48,185,0.00076,0.04307
2004,No migration background,Full-time,0.05125,1215,2483,0.04258,0.05993
2004,No migration background,Part-time,0.02965,663,2483,0.02298,0.03633
2004,No migration background,Either,0.01911,410,2483,0.01372,0.02450
2004,No migration background,I'm not sure yet,0.00750,195,2483,0.00410,0.01089
2004,Direct migration background,Full-time,0.09576,221,453,0.06863,0.12289
2004,Direct migration background,Part-time,0.04375,121,453,0.02490,0.06261
2004,Direct migration background,Either,0.02851,72,453,0.01317,0.04386
2004,Direct migration background,I'm not sure yet,0.01411,39,453,0.00324,0.02498
2004,Indirect migration background,Full-time,0.08017,159,243,0.04596,0.11439
2004,Indirect migration background,Part-time,0.02189,53,243,0.00345,0.04032
2004,Indirect migration background,Either,0.01579,31,243,0.00008,0.03150
2005,No migration background,Full-time,0.05437,1185,2414,0.04532,0.06342
2005,No migration background,Part-time,0.02854,629,2414,0.02190,0.03519
2005,No migration background,Either,0.02111,418,2414,0.01537,0.02684
2005,No migration background,I'm not sure yet,0.00761,182,2414,0.00414,0.01108
2005,Direct migration background,Full-time,0.08260,182,368,0.05443,0.11076
2005,Direct migration background,Part-time,0.04144,105,368,0.02105,0.06184
2005,Direct migration background,Either,0.03990,81,368,0.01987,0.05992
2005,Indirect migration background,Full-time,0.08149,154,272,0.04892,0.11407
2005,Indirect migration background,Part-time,0.02630,47,272,0.00725,0.04536
2005,Indirect migration background,Either,0.01623,35,272,0.00119,0.03127
2005,Indirect migration background,I'm not sure yet,0.01680,36,272,0.00150,0.03210
2006,No migration background,Full-time,0.04842,1113,2404,0.03984,0.05700
2006,No migration background,Part-time,0.03232,729,2404,0.02525,0.03939
2006,No migration background,Either,0.01878,422,2404,0.01335,0.02421
2006,No migration background,I'm not sure yet,0.00492,140,2404,0.00212,0.00772
2006,Direct migration background,Full-time,0.07816,168,393,0.05158,0.10473
2006,Direct migration background,Part-time,0.06358,141,393,0.03942,0.08773
2006,Direct migration background,Either,0.04266,84,393,0.02266,0.06267
2006,Indirect migration background,Full-time,0.07249,148,237,0.03941,0.10558
2006,Indirect migration background,Part-time,0.02634,50,237,0.00591,0.04678
2006,Indirect migration background,Either,0.02521,39,237,0.00521,0.04521
2007,No migration background,Full-time,0.04068,913,2042,0.03211,0.04925
2007,No migration background,Part-time,0.02856,591,2042,0.02133,0.03578
2007,No migration background,Either,0.01857,388,2042,0.01272,0.02443
2007,No migration background,I'm not sure yet,0.00615,150,2042,0.00276,0.00954
2007,Direct migration background,Full-time,0.06916,128,306,0.04068,0.09763
2007,Direct migration background,Part-time,0.04536,100,306,0.02200,0.06871
2007,Direct migration background,Either,0.04983,78,306,0.02541,0.07426
2007,Indirect migration background,Full-time,0.06345,112,163,0.02591,0.10099
2007,Indirect migration background,Part-time,0.03092,51,163,0.00426,0.05757
2008,No migration background,Full-time,0.03964,822,1829,0.03069,0.04858
2008,No migration background,Part-time,0.02439,511,1829,0.01731,0.03146
2008,No migration background,Either,0.01732,340,1829,0.01134,0.02330
2008,No migration background,I'm not sure yet,0.00643,156,1829,0.00276,0.01009
2008,Direct migration background,Full-time,0.06441,109,240,0.03329,0.09553
2008,Direct migration background,Part-time,0.04177,92,240,0.01641,0.06713
2008,Direct migration background,Either,0.03037,39,240,0.00861,0.05212
2008,Indirect migration background,Full-time,0.06119,116,158,0.02370,0.09868
2008,Indirect migration background,Part-time,0.02788,42,158,0.00213,0.05364
2009,No migration background,Full-time,0.04232,785,1658,0.03262,0.05201
2009,No migration background,Part-time,0.02378,459,1658,0.01645,0.03112
2009,No migration background,Either,0.01686,295,1658,0.01066,0.02306
2009,No migration background,I'm not sure yet,0.00492,119,1658,0.00155,0.00830
2009,Direct migration background,Full-time,0.06075,94,213,0.02859,0.09290
2009,Direct migration background,Part-time,0.03708,72,213,0.01164,0.06251
2009,Direct migration background,Either,0.03478,47,213,0.01012,0.05944
2009,Indirect migration background,Full-time,0.06249,106,145,0.02296,0.10203
2009,Indirect migration background,Part-time,0.02557,39,145,-0.00021,0.05135
2010,No migration background,Full-time,0.04562,1166,3190,0.03838,0.05286
2010,No migration background,Part-time,0.02488,1439,3190,0.01948,0.03029
2010,No migration background,Either,0.01400,439,3190,0.00992,0.01807
2010,No migration background,I'm not sure yet,0.00641,146,3190,0.00364,0.00918
2010,Direct migration background,Full-time,0.07104,268,835,0.05360,0.08847
2010,Direct migration background,Part-time,0.05765,416,835,0.04183,0.07347
2010,Direct migration background,Either,0.03715,117,835,0.02432,0.04999
2010,Direct migration background,I'm not sure yet,0.00811,34,835,0.00202,0.01420
2010,Indirect migration background,Full-time,0.07165,164,365,0.04516,0.09815
2010,Indirect migration background,Part-time,0.02400,138,365,0.00828,0.03972
2010,Indirect migration background,Either,0.02743,63,365,0.01065,0.04420
2011,No migration background,Full-time,0.04238,1267,3203,0.03540,0.04936
2011,No migration background,Part-time,0.02314,1317,3203,0.01793,0.02834
2011,No migration background,Either,0.01240,456,3203,0.00857,0.01623
2011,No migration background,I'm not sure yet,0.00431,163,3203,0.00204,0.00657
2011,Direct migration background,Full-time,0.06227,244,736,0.04480,0.07974
2011,Direct migration background,Part-time,0.06298,350,736,0.04542,0.08055
2011,Direct migration background,Either,0.02540,104,736,0.01402,0.03677
2011,Direct migration background,I'm not sure yet,0.01270,38,736,0.00460,0.02080
2011,Indirect migration background,Full-time,0.06021,182,357,0.03550,0.08493
2011,Indirect migration background,Part-time,0.02661,127,357,0.00989,0.04333
2011,Indirect migration background,Either,0.01638,48,357,0.00320,0.02957
2012,No migration background,Full-time,0.04180,1221,3017,0.03466,0.04894
2012,No migration background,Part-time,0.02625,1201,3017,0.02055,0.03196
2012,No migration background,Either,0.01380,406,3017,0.00964,0.01796
2012,No migration background,I'm not sure yet,0.00652,189,3017,0.00365,0.00940
2012,Direct migration background,Full-time,0.05622,196,629,0.03820,0.07423
2012,Direct migration background,Part-time,0.05515,310,629,0.03730,0.07301
2012,Direct migration background,Either,0.02510,73,629,0.01286,0.03733
2012,Direct migration background,I'm not sure yet,0.01246,50,629,0.00378,0.02113
2012,Indirect migration background,Full-time,0.06486,169,318,0.03775,0.09198
2012,Indirect migration background,Part-time,0.02873,116,318,0.01034,0.04711
2012,Indirect migration background,Either,0.01125,33,318,-0.00036,0.02286
2013,No migration background,Full-time,0.03855,1063,2675,0.03125,0.04585
2013,No migration background,Part-time,0.02516,1023,2675,0.01922,0.03109
2013,No migration background,Either,0.01375,408,2675,0.00933,0.01816
2013,No migration background,I'm not sure yet,0.00684,181,2675,0.00371,0.00996
2013,Direct migration background,Full-time,0.07101,598,1484,0.05794,0.08408
2013,Direct migration background,Part-time,0.05967,622,1484,0.04762,0.07173
2013,Direct migration background,Either,0.02354,198,1484,0.01582,0.03125
2013,Direct migration background,I'm not sure yet,0.01131,66,1484,0.00593,0.01670
2013,Indirect migration background,Full-time,0.08347,349,609,0.06149,0.10546
2013,Indirect migration background,Part-time,0.03388,186,609,0.01950,0.04827
2013,Indirect migration background,Either,0.01393,74,609,0.00461,0.02325
2014,No migration background,Full-time,0.03411,867,2303,0.02669,0.04152
2014,No migration background,Part-time,0.02766,906,2303,0.02096,0.03436
2014,No migration background,Either,0.01282,364,2303,0.00823,0.01742
2014,No migration background,I'm not sure yet,0.00657,166,2303,0.00327,0.00987
2014,Direct migration background,Full-time,0.07341,427,1111,0.05806,0.08875
2014,Direct migration background,Part-time,0.06492,484,1111,0.05042,0.07941
2014,Direct migration background,Either,0.02510,145,1111,0.01590,0.03430
2014,Direct migration background,I'm not sure yet,0.00834,55,1111,0.00299,0.01369
2014,Indirect migration background,Full-time,0.08137,259,472,0.05668,0.10606
2014,Indirect migration background,Part-time,0.03161,160,472,0.01581,0.04741
2014,Indirect migration background,Either,0.01719,53,472,0.00545,0.02893
2015,No migration background,Full-time,0.03637,861,2154,0.02846,0.04428
2015,No migration background,Part-time,0.02430,787,2154,0.01779,0.03080
2015,No migration background,Either,0.01344,343,2154,0.00857,0.01830
2015,No migration background,I'm not sure yet,0.00613,163,2154,0.00284,0.00943
2015,Direct migration background,Full-time,0.07020,535,1389,0.05676,0.08364
2015,Direct migration background,Part-time,0.05891,544,1389,0.04652,0.07130
2015,Direct migration background,Either,0.02639,222,1389,0.01796,0.03483
2015,Direct migration background,I'm not sure yet,0.00861,88,1389,0.00375,0.01346
2015,Indirect migration background,Full-time,0.07147,247,492,0.04868,0.09426
2015,Indirect migration background,Part-time,0.03916,147,492,0.02200,0.05632
2015,Indirect migration background,Either,0.01467,56,492,0.00404,0.02531
2015,Indirect migration background,I'm not sure yet,0.01273,42,492,0.00281,0.02265
2016,No migration background,Full-time,0.03524,725,1862,0.02686,0.04362
2016,No migration background,Part-time,0.02460,670,1862,0.01756,0.03163
2016,No migration background,Either,0.01207,288,1862,0.00711,0.01703
2016,No migration background,I'm not sure yet,0.00742,179,1862,0.00352,0.01132
2016,Direct migration background,Full-time,0.05053,356,1036,0.03718,0.06387
2016,Direct migration background,Part-time,0.05744,438,1036,0.04326,0.07162
2016,Direct migration background,Either,0.02609,180,1036,0.01638,0.03580
2016,Direct migration background,I'm not sure yet,0.01181,62,1036,0.00523,0.01839
2016,Indirect migration background,Full-time,0.07619,219,388,0.04975,0.10262
2016,Indirect migration background,Part-time,0.03606,121,388,0.01748,0.05463
2016,Indirect migration background,Either,0.01923,48,388,0.00555,0.03291
2017,No migration background,Full-time,0.03031,804,2050,0.02289,0.03773
2017,No migration background,Part-time,0.02658,751,2050,0.01961,0.03354
2017,No migration background,Either,0.01374,316,2050,0.00870,0.01877
2017,No migration background,I'm not sure yet,0.00645,179,2050,0.00298,0.00992
2017,Direct migration background,Full-time,0.06691,1123,2502,0.05712,0.07670
2017,Direct migration background,Part-time,0.05942,800,2502,0.05016,0.06869
2017,Direct migration background,Either,0.02473,384,2502,0.01864,0.03081
2017,Direct migration background,I'm not sure yet,0.01247,195,2502,0.00812,0.01682
2017,Indirect migration background,Full-time,0.06989,217,441,0.04607,0.09371
2017,Indirect migration background,Part-time,0.02975,130,441,0.01387,0.04562
2017,Indirect migration background,Either,0.01714,62,441,0.00501,0.02927
2017,Indirect migration background,I'm not sure yet,0.00752,32,441,-0.00055,0.01559
2018,No migration background,Full-time,0.02911,766,1965,0.02167,0.03654
2018,No migration background,Part-time,0.02494,696,1965,0.01804,0.03183
2018,No migration background,Either,0.01202,322,1965,0.00720,0.01683
2018,No migration background,I'm not sure yet,0.00701,181,1965,0.00332,0.01070
2018,Direct migration background,Full-time,0.06586,1360,3064,0.05707,0.07464
2018,Direct migration background,Part-time,0.06023,1016,3064,0.05181,0.06866
2018,Direct migration background,Either,0.02424,400,3064,0.01879,0.02969
2018,Direct migration background,I'm not sure yet,0.01479,288,3064,0.01051,0.01906
2018,Indirect migration background,Full-time,0.06060,209,417,0.03767,0.08353
2018,Indirect migration background,Part-time,0.03175,118,417,0.01490,0.04860
2018,Indirect migration background,Either,0.01188,57,417,0.00147,0.02229
2018,Indirect migration background,I'm not sure yet,0.00910,33,417,-0.00003,0.01822
2019,No migration background,Full-time,0.02527,635,1770,0.01796,0.03258
2019,No migration background,Part-time,0.02674,691,1770,0.01922,0.03426
2019,No migration background,Either,0.01091,299,1770,0.00607,0.01576
2019,No migration background,I'm not sure yet,0.00526,145,1770,0.00189,0.00863
2019,Direct migration background,Full-time,0.06507,1088,2511,0.05542,0.07472
2019,Direct migration background,Part-time,0.05503,957,2511,0.04611,0.06395
2019,Direct migration background,Either,0.01991,223,2511,0.01445,0.02538
2019,Direct migration background,I'm not sure yet,0.01688,243,2511,0.01184,0.02192
2019,Indirect migration background,Full-time,0.05467,167,357,0.03106,0.07829
2019,Indirect migration background,Part-time,0.03415,106,357,0.01529,0.05302
2019,Indirect migration background,Either,0.01517,50,357,0.00247,0.02786
2019,Indirect migration background,I'm not sure yet,0.00863,34,357,-0.00098,0.01823
2020,No migration background,Full-time,0.02634,601,1708,0.01874,0.03394
2020,No migration background,Part-time,0.02424,596,1708,0.01694,0.03153
2020,No migration background,Either,0.01156,288,1708,0.00649,0.01663
2020,No migration background,I'm not sure yet,0.00953,223,1708,0.00492,0.01415
2020,Direct migration background,Full-time,0.05346,1079,2477,0.04460,0.06232
2020,Direct migration background,Part-time,0.05747,857,2477,0.04830,0.06664
2020,Direct migration background,Either,0.01876,276,2477,0.01341,0.02410
2020,Direct migration background,I'm not sure yet,0.01959,265,2477,0.01413,0.02505
2020,Indirect migration background,Full-time,0.04869,138,341,0.02581,0.07157
2020,Indirect migration background,Part-time,0.02797,101,341,0.01044,0.04550
2020,Indirect migration background,Either,0.01333,55,341,0.00114,0.02552
2020,Indirect migration background,I'm not sure yet,0.01682,47,341,0.00315,0.03049
2021,No migration background,Full-time,0.02514,410,1236,0.01641,0.03387
2021,No migration background,Part-time,0.02857,474,1236,0.01928,0.03786
2021,No migration background,Either,0.01407,234,1236,0.00750,0.02063
2021,No migration background,I'm not sure yet,0.00581,118,1236,0.00157,0.01004
2021,Direct migration background,Full-time,0.04687,469,1565,0.03640,0.05735
2021,Direct migration background,Part-time,0.06005,631,1565,0.04827,0.07182
2021,Direct migration background,Either,0.02864,308,1565,0.02037,0.03690
2021,Direct migration background,I'm not sure yet,0.02000,157,1565,0.01306,0.02694
2021,Indirect migration background,Full-time,0.04024,76,178,0.01129,0.06919
2021,Indirect migration background,Part-time,0.02914,64,178,0.00436,0.05392
2021,Indirect migration background,Either,0.01911,38,178,-0.00106,0.03928
