year,plb0240,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,Part-time,0.03263,1550,3916,0.02707,0.03820
2014,Either,0.01472,562,3916,0.01095,0.01849
2014,I'm not sure yet,0.00682,251,3916,0.00424,0.00940
2015,Full-time,0.04375,1643,4035,0.03744,0.05006
2015,Part-time,0.03007,1478,4035,0.02480,0.03534
2015,Either,0.01523,621,4035,0.01145,0.01901
2015,I'm not sure yet,0.00701,293,4035,0.00444,0.00959
2016,Full-time,0.04093,1300,3314,0.03418,0.04767
2016,Part-time,0.03008,1229,3314,0.02426,0.03589
2016,Either,0.01461,516,3314,0.01052,0.01870
2016,I'm not sure yet,0.00804,269,3314,0.00500,0.01108
2017,Full-time,0.03897,2144,4993,0.03360,0.04433
2017,Part-time,0.03139,1681,4993,0.02656,0.03623
2017,Either,0.01556,762,4993,0.01213,0.01899
2017,I'm not sure yet,0.00738,406,4993,0.00500,0.00975
2018,Full-time,0.03726,2335,5446,0.03223,0.04229
2018,Part-time,0.03057,1830,5446,0.02600,0.03515
2018,Either,0.01373,779,5446,0.01064,0.01683
2018,I'm not sure yet,0.00831,502,5446,0.00590,0.01072
2019,Full-time,0.03372,1890,4638,0.02852,0.03891
2019,Part-time,0.03145,1754,4638,0.02642,0.03647
2019,Either,0.01259,572,4638,0.00938,0.01580
2019,I'm not sure yet,0.00722,422,4638,0.00479,0.00966
2020,Full-time,0.03192,1818,4526,0.02680,0.03705
2020,Part-time,0.02892,1554,4526,0.02403,0.03380
2020,Either,0.01266,619,4526,0.00940,0.01592
2020,I'm not sure yet,0.01151,535,4526,0.00841,0.01462
2021,Full-time,0.02954,955,3008,0.02349,0.03559
2021,Part-time,0.03293,1169,3008,0.02656,0.03931
2021,Either,0.01654,580,3008,0.01198,0.02110
2021,I'm not sure yet,0.00897,304,3008,0.00560,0.01234
