"year","quintil","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2004","4","0.45","0","5687","0.43","0.47"
"2004","5 Einkommensstärkstes Quintil","0.37","0","4869","0.34","0.4"
"2005","1 Einkommensschwächstes Quintil","0.96","0.5","5387","0.93","0.99"
"2005","2","0.87","0","5494","0.84","0.9"
"2005","3","0.74","0","5539","0.71","0.77"
"2005","4","0.46","0","5455","0.44","0.48"
"2005","5 Einkommensstärkstes Quintil","0.36","0","4831","0.33","0.39"
"2006","1 Einkommensschwächstes Quintil","0.93","0","5718","0.9","0.96"
"2006","2","0.87","0","5929","0.84","0.9"
"2006","3","0.71","0","5914","0.68","0.74"
"2006","4","0.46","0","6058","0.44","0.48"
"2006","5 Einkommensstärkstes Quintil","0.39","0","5049","0.37","0.41"
"2007","1 Einkommensschwächstes Quintil","0.88","0","4896","0.85","0.91"
"2007","2","0.83","0","5413","0.8","0.86"
"2007","3","0.74","0","5605","0.71","0.77"
"2007","4","0.47","0","5736","0.45","0.49"
"2007","5 Einkommensstärkstes Quintil","0.43","0","4965","0.4","0.46"
"2008","1 Einkommensschwächstes Quintil","0.81","0","4284","0.77","0.85"
"2008","2","0.81","0","4676","0.78","0.84"
"2008","3","0.72","0","5399","0.69","0.75"
"2008","4","0.46","0","5548","0.44","0.48"
"2008","5 Einkommensstärkstes Quintil","0.43","0","4970","0.4","0.46"
"2009","1 Einkommensschwächstes Quintil","0.72","0","3778","0.68","0.76"
"2009","2","0.82","0","4308","0.79","0.85"
"2009","3","0.69","0","4874","0.66","0.72"
"2009","4","0.5","0","5353","0.48","0.52"
"2009","5 Einkommensstärkstes Quintil","0.43","0","4908","0.4","0.46"
"2010","1 Einkommensschwächstes Quintil","0.84","0","8133","0.81","0.87"
"2010","2","0.75","0","8359","0.72","0.78"
"2010","3","0.67","0","7221","0.64","0.7"
"2010","4","0.49","0","7305","0.46","0.52"
"2010","5 Einkommensstärkstes Quintil","0.43","0","6450","0.4","0.46"
"2011","1 Einkommensschwächstes Quintil","0.79","0","8577","0.76","0.82"
"2011","2","0.82","0","9269","0.79","0.85"
"2011","3","0.66","0","8745","0.63","0.69"
"2011","4","0.54","0","9296","0.52","0.56"
"2011","5 Einkommensstärkstes Quintil","0.45","0","8114","0.42","0.48"
"2012","1 Einkommensschwächstes Quintil","0.79","0","7137","0.76","0.82"
"2012","2","0.8","0","8571","0.77","0.83"
"2012","3","0.69","0","8842","0.66","0.72"
"2012","4","0.54","0","9321","0.52","0.56"
"2012","5 Einkommensstärkstes Quintil","0.45","0","8534","0.42","0.48"
"2013","1 Einkommensschwächstes Quintil","0.84","0","8781","0.81","0.87"
"2013","2","0.85","0","9619","0.82","0.88"
"2013","3","0.64","0","9346","0.61","0.67"
"2013","4","0.53","0","10558","0.51","0.55"
"2013","5 Einkommensstärkstes Quintil","0.44","0","9360","0.42","0.46"
"2014","1 Einkommensschwächstes Quintil","0.86","0","6541","0.82","0.9"
"2014","2","0.86","0","7845","0.83","0.89"
"2014","3","0.66","0","8242","0.63","0.69"
"2014","4","0.51","0","9637","0.49","0.53"
"2014","5 Einkommensstärkstes Quintil","0.45","0","9242","0.43","0.47"
"2015","1 Einkommensschwächstes Quintil","0.84","0","6567","0.8","0.88"
"2015","2","0.87","0","7217","0.84","0.9"
"2015","3","0.67","0","7978","0.64","0.7"
"2015","4","0.53","0","9548","0.51","0.55"
"2015","5 Einkommensstärkstes Quintil","0.46","0","9740","0.44","0.48"
"2016","1 Einkommensschwächstes Quintil","0.92","0","12932","0.89","0.95"
"2016","2","0.91","0","6457","0.87","0.95"
"2016","3","0.69","0","6876","0.66","0.72"
"2016","4","0.53","0","9275","0.51","0.55"
"2016","5 Einkommensstärkstes Quintil","0.49","0","9548","0.47","0.51"
"2017","1 Einkommensschwächstes Quintil","1.01","0","14204","0.98","1.04"
"2017","2","0.9","0","6551","0.86","0.94"
"2017","3","0.69","0","7364","0.66","0.72"
"2017","4","0.56","0","10187","0.54","0.58"
"2017","5 Einkommensstärkstes Quintil","0.48","0","11847","0.46","0.5"
"2018","1 Einkommensschwächstes Quintil","0.88","0","12279","0.85","0.91"
"2018","2","0.94","0","6324","0.9","0.98"
"2018","3","0.78","0","7085","0.75","0.81"
"2018","4","0.57","0","10370","0.55","0.59"
"2018","5 Einkommensstärkstes Quintil","0.47","0","12085","0.45","0.49"
"2019","1 Einkommensschwächstes Quintil","0.89","0","10053","0.85","0.93"
"2019","2","0.92","0","5947","0.88","0.96"
"2019","3","0.75","0","6293","0.72","0.78"
"2019","4","0.6","0","10227","0.58","0.62"
"2019","5 Einkommensstärkstes Quintil","0.51","0","16141","0.49","0.53"
"2020","1 Einkommensschwächstes Quintil","0.94","0","9756","0.9","0.98"
"2020","2","0.89","0","7350","0.85","0.93"
"2020","3","0.83","0","6491","0.79","0.87"
"2020","4","0.6","0","10550","0.58","0.62"
"2020","5 Einkommensstärkstes Quintil","0.54","0","15784","0.52","0.56"
