year,bula_h,pgisced97,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,Baden-Wuerttemberg,Second Stage of Tertiary Education,University/ Technical university,0.57488,36,36,0.41109,0.73866
2017,Bavaria,Pre-primary Level,General education,0.90894,53,53,0.83075,0.98714
2017,Bavaria,Lower Secondary Level,Vocational training,0.68329,68,68,0.57190,0.79468
2017,Bavaria,Upper Secondary Level,University/ Technical university,0.45366,71,120,0.36421,0.54311
2017,Bavaria,Upper Secondary Level,Vocational training,0.33327,49,120,0.24858,0.41797
2017,Bavaria,Second Stage of Tertiary Education,University/ Technical university,0.72748,49,49,0.60151,0.85344
2017,Berlin,Second Stage of Tertiary Education,University/ Technical university,0.91875,36,36,0.82823,1.00927
2018,Lower Saxony,Pre-primary Level,General education,0.95830,37,37,0.89299,1.02360
2018,Lower Saxony,Lower Secondary Level,Vocational training,0.73644,52,52,0.61553,0.85736
2018,Lower Saxony,Upper Secondary Level,University/ Technical university,0.51105,58,96,0.41053,0.61158
2018,Lower Saxony,Upper Secondary Level,Vocational training,0.36541,38,96,0.26858,0.46225
2018,North Rhine-Westphalia,No answer / don't know,University/ Technical university,0.50871,38,74,0.39403,0.62339
2018,North Rhine-Westphalia,No answer / don't know,Vocational training,0.45013,36,74,0.33600,0.56426
2018,North Rhine-Westphalia,Pre-primary Level,General education,0.99268,97,97,0.97563,1.00973
2018,North Rhine-Westphalia,Lower Secondary Level,Vocational training,0.64944,77,77,0.54216,0.75671
2018,North Rhine-Westphalia,Upper Secondary Level,University/ Technical university,0.58049,143,231,0.51671,0.64427
2018,North Rhine-Westphalia,Upper Secondary Level,Vocational training,0.33520,88,231,0.27420,0.39621
2018,North Rhine-Westphalia,Second Stage of Tertiary Education,University/ Technical university,0.79163,74,74,0.69846,0.88480
2018,Hesse,Lower Secondary Level,Vocational training,0.79955,31,31,0.65629,0.94281
2018,Hesse,Upper Secondary Level,University/ Technical university,0.58977,40,72,0.47535,0.70418
2018,Hesse,Upper Secondary Level,Vocational training,0.27300,32,72,0.16937,0.37662
2018,Baden-Wuerttemberg,Lower Secondary Level,Vocational training,0.92669,51,51,0.85445,0.99894
2018,Baden-Wuerttemberg,Upper Secondary Level,University/ Technical university,0.78390,61,61,0.67975,0.88804
2018,Baden-Wuerttemberg,Second Stage of Tertiary Education,University/ Technical university,0.67848,34,34,0.51912,0.83784
2018,Bavaria,Lower Secondary Level,Vocational training,0.77028,63,63,0.66557,0.87499
2018,Bavaria,Upper Secondary Level,University/ Technical university,0.49834,76,119,0.40813,0.58856
2018,Bavaria,Upper Secondary Level,Vocational training,0.26223,43,119,0.18287,0.34159
2018,Bavaria,Second Stage of Tertiary Education,University/ Technical university,0.81936,45,45,0.70569,0.93304
2018,Berlin,Second Stage of Tertiary Education,University/ Technical university,0.69767,36,36,0.54551,0.84983
2019,Lower Saxony,Lower Secondary Level,Vocational training,0.74324,58,58,0.62983,0.85665
2019,Lower Saxony,Upper Secondary Level,University/ Technical university,0.70752,55,86,0.61081,0.80423
2019,Lower Saxony,Upper Secondary Level,Vocational training,0.25511,31,86,0.16243,0.34778
2019,North Rhine-Westphalia,No answer / don't know,University/ Technical university,0.43257,31,69,0.31482,0.55033
2019,North Rhine-Westphalia,No answer / don't know,Vocational training,0.53852,38,69,0.42003,0.65701
2019,North Rhine-Westphalia,Pre-primary Level,General education,0.94418,85,85,0.89508,0.99327
2019,North Rhine-Westphalia,Lower Secondary Level,Vocational training,0.67118,67,67,0.55784,0.78452
2019,North Rhine-Westphalia,Upper Secondary Level,University/ Technical university,0.66650,142,220,0.60406,0.72894
2019,North Rhine-Westphalia,Upper Secondary Level,Vocational training,0.25227,78,220,0.19475,0.30979
2019,North Rhine-Westphalia,Second Stage of Tertiary Education,University/ Technical university,0.71942,68,68,0.61184,0.82700
2019,Hesse,Upper Secondary Level,University/ Technical university,0.61140,48,48,0.47205,0.75076
2019,Baden-Wuerttemberg,Pre-primary Level,General education,0.97760,32,32,0.92550,1.02969
2019,Baden-Wuerttemberg,Lower Secondary Level,Vocational training,0.96003,40,40,0.89854,1.02151
2019,Baden-Wuerttemberg,Upper Secondary Level,University/ Technical university,0.63014,65,65,0.51186,0.74842
2019,Baden-Wuerttemberg,Second Stage of Tertiary Education,University/ Technical university,0.72910,41,41,0.59138,0.86683
2019,Bavaria,Lower Secondary Level,Vocational training,0.74628,57,57,0.63232,0.86025
2019,Bavaria,Upper Secondary Level,University/ Technical university,0.53556,70,112,0.44278,0.62834
2019,Bavaria,Upper Secondary Level,Vocational training,0.29111,42,112,0.20660,0.37562
2019,Bavaria,Second Stage of Tertiary Education,University/ Technical university,0.68046,44,44,0.54108,0.81983
2019,Berlin,Second Stage of Tertiary Education,University/ Technical university,0.69315,33,33,0.53336,0.85294
2020,Lower Saxony,Lower Secondary Level,Vocational training,0.56777,42,42,0.41613,0.71941
2020,Lower Saxony,Upper Secondary Level,University/ Technical university,0.62018,41,79,0.51247,0.72789
2020,Lower Saxony,Upper Secondary Level,Vocational training,0.27558,38,79,0.17643,0.37474
2020,North Rhine-Westphalia,No answer / don't know,Vocational training,0.55545,43,43,0.40516,0.70573
2020,North Rhine-Westphalia,Pre-primary Level,General education,0.88307,77,77,0.81083,0.95532
2020,North Rhine-Westphalia,Lower Secondary Level,Vocational training,0.75590,73,73,0.65668,0.85512
2020,North Rhine-Westphalia,Upper Secondary Level,University/ Technical university,0.68369,151,236,0.62423,0.74314
2020,North Rhine-Westphalia,Upper Secondary Level,Vocational training,0.24216,85,236,0.18738,0.29693
2020,North Rhine-Westphalia,Second Stage of Tertiary Education,University/ Technical university,0.71185,68,102,0.62352,0.80018
2020,North Rhine-Westphalia,Second Stage of Tertiary Education,Vocational training,0.20095,34,102,0.12280,0.27910
2020,Hesse,Upper Secondary Level,University/ Technical university,0.71349,60,60,0.59811,0.82886
2020,"Rhineland-Palatinate, Saarland",Upper Secondary Level,University/ Technical university,0.51115,31,31,0.33227,0.69003
2020,Baden-Wuerttemberg,Pre-primary Level,General education,0.98015,40,40,0.93637,1.02393
2020,Baden-Wuerttemberg,Lower Secondary Level,Vocational training,0.80777,43,43,0.68859,0.92694
2020,Baden-Wuerttemberg,Upper Secondary Level,University/ Technical university,0.58585,66,103,0.49026,0.68145
2020,Baden-Wuerttemberg,Upper Secondary Level,Vocational training,0.32979,37,103,0.23855,0.42103
2020,Baden-Wuerttemberg,Second Stage of Tertiary Education,University/ Technical university,0.73489,40,40,0.59636,0.87342
2020,Bavaria,Pre-primary Level,General education,0.99838,33,33,0.98445,1.01231
2020,Bavaria,Lower Secondary Level,Vocational training,0.88159,69,69,0.80479,0.95838
2020,Bavaria,Upper Secondary Level,University/ Technical university,0.54591,71,128,0.45931,0.63250
2020,Bavaria,Upper Secondary Level,Vocational training,0.29690,57,128,0.21744,0.37637
2020,Bavaria,Second Stage of Tertiary Education,University/ Technical university,0.65219,55,55,0.52516,0.77922
2020,Berlin,Second Stage of Tertiary Education,University/ Technical university,0.74504,39,39,0.60647,0.88362
2021,Lower Saxony,Upper Secondary Level,University/ Technical university,0.58478,34,34,0.41666,0.75291
2021,North Rhine-Westphalia,Lower Secondary Level,Vocational training,0.51472,40,40,0.35786,0.67158
2021,North Rhine-Westphalia,Upper Secondary Level,University/ Technical university,0.73471,118,175,0.66911,0.80031
2021,North Rhine-Westphalia,Upper Secondary Level,Vocational training,0.22792,57,175,0.16559,0.29025
2021,North Rhine-Westphalia,Second Stage of Tertiary Education,University/ Technical university,0.78875,64,64,0.68795,0.88955
2021,Hesse,Upper Secondary Level,University/ Technical university,0.81287,31,31,0.67331,0.95244
2021,Baden-Wuerttemberg,Upper Secondary Level,University/ Technical university,0.59075,52,84,0.48497,0.69654
2021,Baden-Wuerttemberg,Upper Secondary Level,Vocational training,0.28103,32,84,0.18433,0.37774
2021,Baden-Wuerttemberg,Second Stage of Tertiary Education,University/ Technical university,0.84349,38,38,0.72642,0.96057
2021,Bavaria,Lower Secondary Level,Vocational training,0.82398,39,39,0.70289,0.94507
2021,Bavaria,Upper Secondary Level,University/ Technical university,0.69667,61,61,0.58035,0.81299
2021,Bavaria,Second Stage of Tertiary Education,University/ Technical university,0.64353,47,47,0.50512,0.78194
2022,Lower Saxony,Upper Secondary Level,University/ Technical university,0.59090,43,43,0.44220,0.73959
2022,Lower Saxony,Second Stage of Tertiary Education,University/ Technical university,0.58795,36,36,0.42488,0.75102
2022,North Rhine-Westphalia,No answer / don't know,University/ Technical university,0.48192,48,96,0.38144,0.58240
2022,North Rhine-Westphalia,No answer / don't know,Vocational training,0.39930,48,96,0.30082,0.49779
2022,North Rhine-Westphalia,Pre-primary Level,General education,0.72799,48,48,0.60076,0.85521
2022,North Rhine-Westphalia,Lower Secondary Level,Vocational training,0.82270,50,50,0.71577,0.92964
2022,North Rhine-Westphalia,Upper Secondary Level,University/ Technical university,0.69037,148,230,0.63049,0.75025
2022,North Rhine-Westphalia,Upper Secondary Level,Vocational training,0.24384,82,230,0.18822,0.29945
2022,North Rhine-Westphalia,Second Stage of Tertiary Education,University/ Technical university,0.74541,124,167,0.67914,0.81168
2022,North Rhine-Westphalia,Second Stage of Tertiary Education,Further training/ Retraining,0.14879,43,167,0.09465,0.20293
2022,Hesse,Upper Secondary Level,University/ Technical university,0.77877,49,49,0.66135,0.89620
2022,Hesse,Second Stage of Tertiary Education,University/ Technical university,0.71128,35,35,0.55895,0.86360
2022,Baden-Wuerttemberg,Upper Secondary Level,University/ Technical university,0.58864,77,116,0.49871,0.67858
2022,Baden-Wuerttemberg,Upper Secondary Level,Vocational training,0.30330,39,116,0.21928,0.38731
2022,Baden-Wuerttemberg,Second Stage of Tertiary Education,University/ Technical university,0.72912,85,85,0.63408,0.82416
2022,Bavaria,No answer / don't know,University/ Technical university,0.44965,31,31,0.27164,0.62767
2022,Bavaria,Lower Secondary Level,Vocational training,0.93549,40,40,0.85839,1.01259
2022,Bavaria,Upper Secondary Level,University/ Technical university,0.68848,85,126,0.60729,0.76966
2022,Bavaria,Upper Secondary Level,Vocational training,0.19314,41,126,0.12393,0.26234
2022,Bavaria,Second Stage of Tertiary Education,University/ Technical university,0.75681,103,139,0.68523,0.82839
2022,Bavaria,Second Stage of Tertiary Education,Further training/ Retraining,0.12532,36,139,0.07008,0.18057
2022,Berlin,Upper Secondary Level,University/ Technical university,0.79561,55,55,0.68805,0.90317
2022,Berlin,Second Stage of Tertiary Education,University/ Technical university,0.78264,45,45,0.66077,0.90451
2022,Saxony,Upper Secondary Level,University/ Technical university,0.53530,32,32,0.35973,0.71088
