year,quintil_oecd,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2019,2nd Quintile,Further training/ Retraining,0.09020,41,526,0.06570,0.11471
2019,3rd Quintile,General education,0.12810,62,415,0.09591,0.16030
2019,3rd Quintile,University/ Technical university,0.35111,164,415,0.30513,0.39709
2019,3rd Quintile,Vocational training,0.38179,140,415,0.33499,0.42859
2019,3rd Quintile,Further training/ Retraining,0.13900,49,415,0.10567,0.17232
2019,4th Quintile,General education,0.12447,55,363,0.09046,0.15847
2019,4th Quintile,University/ Technical university,0.50479,159,363,0.45328,0.55629
2019,4th Quintile,Vocational training,0.24782,104,363,0.20335,0.29230
2019,4th Quintile,Further training/ Retraining,0.12292,45,363,0.08910,0.15675
2019,5th Quintile,General education,0.17216,56,295,0.12900,0.21531
2019,5th Quintile,University/ Technical university,0.40051,142,295,0.34450,0.45653
2019,5th Quintile,Vocational training,0.25543,59,295,0.20558,0.30528
2019,5th Quintile,Further training/ Retraining,0.17190,38,295,0.12877,0.21503
2020,1st Quintile,General education,0.08763,123,886,0.06900,0.10626
2020,1st Quintile,University/ Technical university,0.53121,337,886,0.49833,0.56409
2020,1st Quintile,Vocational training,0.29932,356,886,0.26915,0.32949
2020,1st Quintile,Further training/ Retraining,0.08183,70,886,0.06377,0.09989
2020,2nd Quintile,General education,0.13595,85,494,0.10570,0.16621
2020,2nd Quintile,University/ Technical university,0.41073,176,494,0.36730,0.45416
2020,2nd Quintile,Vocational training,0.37939,190,494,0.33655,0.42222
2020,2nd Quintile,Further training/ Retraining,0.07393,43,494,0.05083,0.09703
2020,3rd Quintile,General education,0.11344,66,411,0.08274,0.14414
2020,3rd Quintile,University/ Technical university,0.49368,165,411,0.44529,0.54208
2020,3rd Quintile,Vocational training,0.29481,142,411,0.25067,0.33894
2020,3rd Quintile,Further training/ Retraining,0.09807,38,411,0.06928,0.12686
2020,4th Quintile,General education,0.09816,57,381,0.06824,0.12807
2020,4th Quintile,University/ Technical university,0.44289,178,381,0.39295,0.49284
2020,4th Quintile,Vocational training,0.33986,107,381,0.29224,0.38749
2020,4th Quintile,Further training/ Retraining,0.11909,39,381,0.08652,0.15165
2020,5th Quintile,General education,0.10098,61,369,0.07019,0.13176
2020,5th Quintile,University/ Technical university,0.50082,179,369,0.44974,0.55191
2020,5th Quintile,Vocational training,0.26020,82,369,0.21537,0.30503
2020,5th Quintile,Further training/ Retraining,0.13800,47,369,0.10276,0.17323
2021,1st Quintile,General education,0.07386,90,742,0.05503,0.09269
2021,1st Quintile,University/ Technical university,0.62870,318,742,0.59391,0.66349
2021,1st Quintile,Vocational training,0.25843,275,742,0.22691,0.28995
2021,1st Quintile,Further training/ Retraining,0.03901,59,742,0.02507,0.05295
2021,2nd Quintile,General education,0.12241,54,365,0.08874,0.15608
2021,2nd Quintile,University/ Technical university,0.48256,142,365,0.43123,0.53390
2021,2nd Quintile,Vocational training,0.29617,130,365,0.24926,0.34307
2021,2nd Quintile,Further training/ Retraining,0.09886,39,365,0.06819,0.12952
2021,3rd Quintile,General education,0.08475,37,309,0.05364,0.11585
2021,3rd Quintile,University/ Technical university,0.55003,126,309,0.49447,0.60559
2021,3rd Quintile,Vocational training,0.26251,111,309,0.21337,0.31165
2021,3rd Quintile,Further training/ Retraining,0.10271,35,309,0.06881,0.13662
2021,4th Quintile,General education,0.12976,40,239,0.08707,0.17246
2021,4th Quintile,University/ Technical university,0.51751,139,239,0.45402,0.58099
2021,4th Quintile,Vocational training,0.27552,60,239,0.21875,0.33228
2021,5th Quintile,General education,0.09845,38,262,0.06230,0.13459
2021,5th Quintile,University/ Technical university,0.54507,123,262,0.48465,0.60548
2021,5th Quintile,Vocational training,0.20862,55,262,0.15932,0.25791
2021,5th Quintile,Further training/ Retraining,0.14787,46,262,0.10480,0.19093
2022,1st Quintile,General education,0.07530,80,678,0.05542,0.09518
2022,1st Quintile,University/ Technical university,0.64941,308,678,0.61347,0.68535
2022,1st Quintile,Vocational training,0.19913,239,678,0.16905,0.22921
2022,1st Quintile,Further training/ Retraining,0.07616,51,678,0.05618,0.09614
2022,2nd Quintile,General education,0.06131,41,320,0.03498,0.08763
2022,2nd Quintile,University/ Technical university,0.54369,134,320,0.48903,0.59835
2022,2nd Quintile,Vocational training,0.32142,111,320,0.27017,0.37267
2022,2nd Quintile,Further training/ Retraining,0.07359,34,320,0.04494,0.10224
2022,3rd Quintile,University/ Technical university,0.48750,118,246,0.42491,0.55009
2022,3rd Quintile,Vocational training,0.30232,89,246,0.24481,0.35983
2022,3rd Quintile,Further training/ Retraining,0.15233,39,246,0.10733,0.19732
2022,4th Quintile,General education,0.09789,39,232,0.05957,0.13621
2022,4th Quintile,University/ Technical university,0.51772,104,232,0.45328,0.58216
2022,4th Quintile,Vocational training,0.17396,42,232,0.12508,0.22285
2022,4th Quintile,Further training/ Retraining,0.21043,47,232,0.15786,0.26299
2022,5th Quintile,University/ Technical university,0.54312,125,214,0.47622,0.61002
2022,5th Quintile,Vocational training,0.24953,47,214,0.19141,0.30764
2022,5th Quintile,Further training/ Retraining,0.13527,42,214,0.08934,0.18120
