,Unnamed: 0,year,quintil_oecd,sampreg,plg0267_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
63,63,2016,4th Quintile,West,General education,0.17335,60,2204,0.12264,0.23124
64,64,2016,4th Quintile,West,University/ Technical university,0.42829,143,2204,0.36314,0.50359
65,65,2016,4th Quintile,West,Vocational training,0.24218,89,2204,0.18583,0.29678
66,66,2016,4th Quintile,West,Further training/ Retraining,0.15618,42,2204,0.10418,0.22602
67,67,2016,5th Quintile,West,General education,0.14151,50,2204,0.10096,0.17541
68,68,2016,5th Quintile,West,University/ Technical university,0.44065,133,2204,0.36518,0.53095
69,69,2016,5th Quintile,West,Vocational training,0.24272,65,2204,0.1796,0.30607
70,70,2016,5th Quintile,West,Further training/ Retraining,0.17511,43,2204,0.10566,0.26485
71,71,2017,1st Quintile,West,General education,0.10927,132,2195,0.08782,0.13157
72,72,2017,1st Quintile,West,University/ Technical university,0.49704,231,2195,0.41428,0.57725
73,73,2017,1st Quintile,West,Vocational training,0.31319,250,2195,0.24418,0.37238
74,74,2017,1st Quintile,West,Further training/ Retraining,0.0805,90,2195,0.05909,0.10427
75,75,2017,1st Quintile,East,University/ Technical university,0.64888,61,2195,0.4679,0.86732
76,76,2017,1st Quintile,East,Vocational training,0.35112,69,2195,0.24871,0.49077
77,77,2017,2nd Quintile,West,General education,0.13718,80,2195,0.10651,0.17581
78,78,2017,2nd Quintile,West,University/ Technical university,0.42868,131,2195,0.32793,0.51855
79,79,2017,2nd Quintile,West,Vocational training,0.43413,168,2195,0.34399,0.51957
80,80,2017,2nd Quintile,East,University/ Technical university,1.0,33,2195,0.72201,1.30343
81,81,2017,3rd Quintile,West,General education,0.19715,75,2195,0.14283,0.24628
82,82,2017,3rd Quintile,West,University/ Technical university,0.40544,121,2195,0.31219,0.51865
83,83,2017,3rd Quintile,West,Vocational training,0.30149,113,2195,0.24804,0.36576
84,84,2017,3rd Quintile,West,Further training/ Retraining,0.09591,37,2195,0.07304,0.12345
85,85,2017,4th Quintile,West,General education,0.22512,62,2195,0.15835,0.29735
86,86,2017,4th Quintile,West,University/ Technical university,0.39398,124,2195,0.31989,0.47361
87,87,2017,4th Quintile,West,Vocational training,0.26966,93,2195,0.21067,0.31951
88,88,2017,4th Quintile,West,Further training/ Retraining,0.11124,34,2195,0.07017,0.16282
89,89,2017,5th Quintile,West,General education,0.11348,46,2195,0.07974,0.15123
90,90,2017,5th Quintile,West,University/ Technical university,0.43815,139,2195,0.34956,0.53303
91,91,2017,5th Quintile,West,Vocational training,0.27387,60,2195,0.19737,0.36191
92,92,2017,5th Quintile,West,Further training/ Retraining,0.17451,46,2195,0.11174,0.24899
93,93,2018,1st Quintile,West,General education,0.11383,150,2537,0.08955,0.13631
94,94,2018,1st Quintile,West,University/ Technical university,0.46463,285,2537,0.38831,0.53822
95,95,2018,1st Quintile,West,Vocational training,0.35433,306,2537,0.29276,0.42945
96,96,2018,1st Quintile,West,Further training/ Retraining,0.06722,77,2537,0.04138,0.09174
97,97,2018,1st Quintile,East,University/ Technical university,0.63974,69,2537,0.48492,0.79746
98,98,2018,1st Quintile,East,Vocational training,0.26085,77,2537,0.18324,0.36358
99,99,2018,1st Quintile,East,Further training/ Retraining,0.09941,34,2537,0.05777,0.15637
100,100,2018,2nd Quintile,West,General education,0.14927,88,2537,0.1105,0.19153
101,101,2018,2nd Quintile,West,University/ Technical university,0.37738,143,2537,0.30363,0.46951
102,102,2018,2nd Quintile,West,Vocational training,0.36082,194,2537,0.29756,0.4326
103,103,2018,2nd Quintile,West,Further training/ Retraining,0.11253,38,2537,0.07105,0.16527
104,104,2018,2nd Quintile,East,University/ Technical university,0.66582,45,2537,0.53257,0.82917
105,105,2018,2nd Quintile,East,Vocational training,0.33418,31,2537,0.24832,0.43508
106,106,2018,3rd Quintile,West,General education,0.17581,75,2537,0.13075,0.22953
107,107,2018,3rd Quintile,West,University/ Technical university,0.42064,148,2537,0.34862,0.51016
108,108,2018,3rd Quintile,West,Vocational training,0.30022,119,2537,0.23891,0.37866
109,109,2018,3rd Quintile,West,Further training/ Retraining,0.10333,42,2537,0.07321,0.14115
110,110,2018,4th Quintile,West,General education,0.15072,53,2537,0.10342,0.20618
111,111,2018,4th Quintile,West,University/ Technical university,0.45906,138,2537,0.37648,0.55224
112,112,2018,4th Quintile,West,Vocational training,0.28824,89,2537,0.23593,0.33473
113,113,2018,4th Quintile,West,Further training/ Retraining,0.10199,34,2537,0.0637,0.13747
114,114,2018,5th Quintile,West,General education,0.12871,51,2537,0.09728,0.16984
115,115,2018,5th Quintile,West,University/ Technical university,0.4699,147,2537,0.37641,0.55808
116,116,2018,5th Quintile,West,Vocational training,0.23774,63,2537,0.18571,0.29932
117,117,2018,5th Quintile,West,Further training/ Retraining,0.16366,41,2537,0.10405,0.23306
118,118,2019,1st Quintile,West,General education,0.11124,134,2332,0.08037,0.15427
119,119,2019,1st Quintile,West,University/ Technical university,0.5272,264,2332,0.44902,0.61378
120,120,2019,1st Quintile,West,Vocational training,0.30641,323,2332,0.25407,0.36322
121,121,2019,1st Quintile,West,Further training/ Retraining,0.05515,65,2332,0.03726,0.07647
122,122,2019,1st Quintile,East,University/ Technical university,0.70386,60,2332,0.53181,0.93458
123,123,2019,1st Quintile,East,Vocational training,0.29614,63,2332,0.20175,0.40811
124,124,2019,2nd Quintile,West,General education,0.15969,80,2332,0.12026,0.21317
125,125,2019,2nd Quintile,West,University/ Technical university,0.43116,136,2332,0.36069,0.527
126,126,2019,2nd Quintile,West,Vocational training,0.40915,183,2332,0.3354,0.50853
127,127,2019,2nd Quintile,East,University/ Technical university,0.51682,36,2332,0.35645,0.69208
128,128,2019,2nd Quintile,East,Vocational training,0.48318,45,2332,0.3297,0.64448
129,129,2019,3rd Quintile,West,General education,0.11821,50,2332,0.07852,0.16296
130,130,2019,3rd Quintile,West,University/ Technical university,0.36194,146,2332,0.30473,0.4234
131,131,2019,3rd Quintile,West,Vocational training,0.39591,133,2332,0.32487,0.48567
132,132,2019,3rd Quintile,West,Further training/ Retraining,0.12394,37,2332,0.08541,0.18496
133,133,2019,4th Quintile,West,General education,0.11278,49,2332,0.07071,0.176
134,134,2019,4th Quintile,West,University/ Technical university,0.47389,133,2332,0.3569,0.6065
135,135,2019,4th Quintile,West,Vocational training,0.2567,89,2332,0.18284,0.32972
136,136,2019,4th Quintile,West,Further training/ Retraining,0.15663,44,2332,0.09481,0.24354
137,137,2019,5th Quintile,West,General education,0.14856,48,2332,0.10735,0.20852
138,138,2019,5th Quintile,West,University/ Technical university,0.43159,132,2332,0.34031,0.53006
139,139,2019,5th Quintile,West,Vocational training,0.25353,48,2332,0.17552,0.34012
140,140,2019,5th Quintile,West,Further training/ Retraining,0.16631,34,2332,0.09886,0.26556
141,141,2020,1st Quintile,West,General education,0.07412,96,2322,0.05577,0.0938
142,142,2020,1st Quintile,West,University/ Technical university,0.52893,275,2322,0.45227,0.6112
143,143,2020,1st Quintile,West,Vocational training,0.33115,289,2322,0.26142,0.39415
144,144,2020,1st Quintile,West,Further training/ Retraining,0.0658,50,2322,0.04264,0.09292
145,145,2020,1st Quintile,East,University/ Technical university,0.70588,68,2322,0.55464,0.87259
146,146,2020,1st Quintile,East,Vocational training,0.29412,66,2322,0.20558,0.38576
147,147,2020,2nd Quintile,West,General education,0.11459,71,2322,0.08905,0.14203
148,148,2020,2nd Quintile,West,University/ Technical university,0.50089,161,2322,0.39387,0.61084
149,149,2020,2nd Quintile,West,Vocational training,0.3216,149,2322,0.24985,0.39556
150,150,2020,2nd Quintile,West,Further training/ Retraining,0.06292,36,2322,0.0447,0.08094
151,151,2020,2nd Quintile,East,Vocational training,1.0,41,2322,0.67809,1.41834
152,152,2020,3rd Quintile,West,General education,0.12135,56,2322,0.08483,0.1584
153,153,2020,3rd Quintile,West,University/ Technical university,0.43873,134,2322,0.36045,0.52172
154,154,2020,3rd Quintile,West,Vocational training,0.32965,125,2322,0.26378,0.39854
155,155,2020,3rd Quintile,West,Further training/ Retraining,0.11028,36,2322,0.07348,0.15191
156,156,2020,4th Quintile,West,General education,0.07511,43,2322,0.05682,0.09698
157,157,2020,4th Quintile,West,University/ Technical university,0.45245,144,2322,0.37037,0.56099
158,158,2020,4th Quintile,West,Vocational training,0.36147,102,2322,0.28508,0.44492
159,159,2020,4th Quintile,West,Further training/ Retraining,0.11097,31,2322,0.07177,0.16068
160,160,2020,5th Quintile,West,General education,0.10266,56,2322,0.0743,0.13608
161,161,2020,5th Quintile,West,University/ Technical university,0.50032,172,2322,0.39171,0.61606
162,162,2020,5th Quintile,West,Vocational training,0.24126,77,2322,0.18509,0.29902
163,163,2020,5th Quintile,West,Further training/ Retraining,0.15576,44,2322,0.09311,0.22854
164,164,2021,1st Quintile,West,General education,0.0648,65,1658,0.03067,0.10524
165,165,2021,1st Quintile,West,University/ Technical university,0.64162,245,1658,0.54952,0.74161
166,166,2021,1st Quintile,West,Vocational training,0.25988,232,1658,0.21253,0.33436
167,167,2021,1st Quintile,West,Further training/ Retraining,0.03371,48,1658,0.01896,0.05033
168,168,2021,1st Quintile,East,University/ Technical university,0.65824,66,1658,0.50776,0.849
169,169,2021,1st Quintile,East,Vocational training,0.34176,42,1658,0.18453,0.53355
170,170,2021,2nd Quintile,West,General education,0.11483,49,1658,0.07463,0.15933
171,171,2021,2nd Quintile,West,University/ Technical university,0.49702,126,1658,0.38344,0.60404
172,172,2021,2nd Quintile,West,Vocational training,0.29015,104,1658,0.23538,0.36594
173,173,2021,2nd Quintile,West,Further training/ Retraining,0.09801,32,1658,0.05454,0.14455
174,174,2021,2nd Quintile,East,Vocational training,1.0,33,1658,0.66317,1.27763
175,175,2021,3rd Quintile,West,University/ Technical university,0.66765,106,1658,0.49405,0.89017
176,176,2021,3rd Quintile,West,Vocational training,0.33235,87,1658,0.2484,0.45298
177,177,2021,4th Quintile,West,General education,0.1571,42,1658,0.10275,0.23511
178,178,2021,4th Quintile,West,University/ Technical university,0.61672,120,1658,0.46818,0.79854
179,179,2021,4th Quintile,West,Vocational training,0.22618,55,1658,0.14887,0.31348
180,180,2021,5th Quintile,West,University/ Technical university,0.597,115,1658,0.4793,0.73636
181,181,2021,5th Quintile,West,Vocational training,0.21497,49,1658,0.13018,0.32007
182,182,2021,5th Quintile,West,Further training/ Retraining,0.18803,42,1658,0.11171,0.27591
