year,pgisced97,quintil_oecd,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,Second Stage of Tertiary Education,3rd Quintile,University/ Technical university,0.05977,35,35,-0.01991,0.13946
2014,Second Stage of Tertiary Education,4th Quintile,University/ Technical university,0.03160,40,40,-0.02330,0.08650
2014,Second Stage of Tertiary Education,5th Quintile,University/ Technical university,0.02366,45,76,-0.01074,0.05805
2014,Second Stage of Tertiary Education,5th Quintile,Further training/ Retraining,0.01268,31,76,-0.01264,0.03800
2015,Pre-primary Level,1st Quintile,General education,0.52694,105,105,0.43098,0.62290
2015,Pre-primary Level,2nd Quintile,General education,0.46043,74,74,0.34609,0.57477
2015,Pre-primary Level,3rd Quintile,General education,0.54108,63,63,0.41704,0.66512
2015,Pre-primary Level,4th Quintile,General education,0.48023,52,52,0.34311,0.61735
2015,Pre-primary Level,5th Quintile,General education,0.62132,53,53,0.48948,0.75316
2015,Lower Secondary Level,1st Quintile,Vocational training,0.08798,120,120,0.03708,0.13887
2015,Lower Secondary Level,2nd Quintile,Vocational training,0.08003,84,84,0.02166,0.13841
2015,Lower Secondary Level,3rd Quintile,Vocational training,0.12239,69,69,0.04449,0.20029
2015,Lower Secondary Level,4th Quintile,Vocational training,0.12443,46,46,0.02799,0.22087
2015,Upper Secondary Level,1st Quintile,University/ Technical university,0.06402,134,255,0.03392,0.09413
2015,Upper Secondary Level,1st Quintile,Vocational training,0.02784,76,255,0.00761,0.04808
2015,Upper Secondary Level,1st Quintile,Further training/ Retraining,0.02125,45,255,0.00352,0.03899
2015,Upper Secondary Level,2nd Quintile,University/ Technical university,0.03099,86,139,0.00208,0.05991
2015,Upper Secondary Level,2nd Quintile,Vocational training,0.01667,53,139,-0.00469,0.03803
2015,Upper Secondary Level,3rd Quintile,University/ Technical university,0.03320,90,139,0.00331,0.06309
2015,Upper Secondary Level,3rd Quintile,Vocational training,0.01527,49,139,-0.00519,0.03572
2015,Upper Secondary Level,4th Quintile,University/ Technical university,0.02421,72,117,-0.00376,0.05218
2015,Upper Secondary Level,4th Quintile,Vocational training,0.01332,45,117,-0.00754,0.03419
2015,Upper Secondary Level,5th Quintile,University/ Technical university,0.04611,79,79,-0.00043,0.09266
2015,Second Stage of Tertiary Education,1st Quintile,University/ Technical university,0.19970,70,70,0.10537,0.29403
2015,Second Stage of Tertiary Education,3rd Quintile,University/ Technical university,0.03990,40,40,-0.02153,0.10132
2015,Second Stage of Tertiary Education,4th Quintile,University/ Technical university,0.05206,42,42,-0.01594,0.12005
2015,Second Stage of Tertiary Education,5th Quintile,University/ Technical university,0.01715,36,36,-0.02586,0.06015
2016,Pre-primary Level,1st Quintile,General education,0.51702,99,99,0.41808,0.61595
2016,Pre-primary Level,2nd Quintile,General education,0.44680,80,80,0.33717,0.55644
2016,Pre-primary Level,3rd Quintile,General education,0.53283,57,57,0.40215,0.66351
2016,Pre-primary Level,4th Quintile,General education,0.44787,50,50,0.30863,0.58711
2016,Pre-primary Level,5th Quintile,General education,0.55125,50,50,0.41198,0.69051
2016,Lower Secondary Level,1st Quintile,Vocational training,0.09535,122,122,0.04302,0.14768
2016,Lower Secondary Level,2nd Quintile,Vocational training,0.08013,82,82,0.02101,0.13926
2016,Lower Secondary Level,3rd Quintile,Vocational training,0.09676,59,59,0.02068,0.17284
2016,Lower Secondary Level,4th Quintile,Vocational training,0.10548,44,44,0.01366,0.19729
2016,Upper Secondary Level,1st Quintile,University/ Technical university,0.08166,150,255,0.04798,0.11534
2016,Upper Secondary Level,1st Quintile,Vocational training,0.02612,69,255,0.00651,0.04574
2016,Upper Secondary Level,1st Quintile,Further training/ Retraining,0.01001,36,255,-0.00223,0.02225
2016,Upper Secondary Level,2nd Quintile,University/ Technical university,0.03059,69,123,0.00003,0.06115
2016,Upper Secondary Level,2nd Quintile,Vocational training,0.01720,54,123,-0.00587,0.04027
2016,Upper Secondary Level,3rd Quintile,University/ Technical university,0.02384,57,107,-0.00520,0.05287
2016,Upper Secondary Level,3rd Quintile,Vocational training,0.02304,50,107,-0.00552,0.05159
2016,Upper Secondary Level,4th Quintile,University/ Technical university,0.03565,71,103,-0.00034,0.07163
2016,Upper Secondary Level,4th Quintile,Vocational training,0.00986,32,103,-0.00932,0.02904
2016,Upper Secondary Level,5th Quintile,University/ Technical university,0.05234,84,84,0.00443,0.10025
2016,Second Stage of Tertiary Education,1st Quintile,University/ Technical university,0.21568,76,76,0.12260,0.30877
2016,Second Stage of Tertiary Education,2nd Quintile,University/ Technical university,0.11683,35,35,0.00885,0.22480
2016,Second Stage of Tertiary Education,3rd Quintile,University/ Technical university,0.06846,40,40,-0.01080,0.14772
2016,Second Stage of Tertiary Education,4th Quintile,University/ Technical university,0.02799,40,40,-0.02378,0.07976
2016,Second Stage of Tertiary Education,5th Quintile,University/ Technical university,0.02081,41,41,-0.02343,0.06505
2017,Pre-primary Level,1st Quintile,General education,0.39754,95,95,0.29860,0.49647
2017,Pre-primary Level,2nd Quintile,General education,0.51111,67,67,0.39051,0.63171
2017,Pre-primary Level,3rd Quintile,General education,0.46082,63,63,0.33674,0.58490
2017,Pre-primary Level,4th Quintile,General education,0.64091,60,60,0.51850,0.76332
2017,Pre-primary Level,5th Quintile,General education,0.66553,50,50,0.53342,0.79763
2017,Lower Secondary Level,1st Quintile,General education,0.02208,46,177,0.00037,0.04379
2017,Lower Secondary Level,1st Quintile,Vocational training,0.08698,131,177,0.04535,0.12862
2017,Lower Secondary Level,2nd Quintile,Vocational training,0.08111,71,71,0.01715,0.14506
2017,Lower Secondary Level,3rd Quintile,Vocational training,0.04014,39,39,-0.02227,0.10255
2017,Lower Secondary Level,4th Quintile,Vocational training,0.10682,39,39,0.00861,0.20504
2017,Upper Secondary Level,1st Quintile,University/ Technical university,0.07396,144,266,0.04245,0.10547
2017,Upper Secondary Level,1st Quintile,Vocational training,0.02849,88,266,0.00846,0.04853
2017,Upper Secondary Level,1st Quintile,Further training/ Retraining,0.00780,34,266,-0.00279,0.01840
2017,Upper Secondary Level,2nd Quintile,University/ Technical university,0.03638,72,135,0.00468,0.06809
2017,Upper Secondary Level,2nd Quintile,Vocational training,0.01906,63,135,-0.00409,0.04222
2017,Upper Secondary Level,3rd Quintile,University/ Technical university,0.01924,65,110,-0.00655,0.04503
2017,Upper Secondary Level,3rd Quintile,Vocational training,0.01839,45,110,-0.00683,0.04361
2017,Upper Secondary Level,4th Quintile,University/ Technical university,0.02682,62,99,-0.00517,0.05881
2017,Upper Secondary Level,4th Quintile,Vocational training,0.01693,37,99,-0.00861,0.04248
2017,Upper Secondary Level,5th Quintile,University/ Technical university,0.04536,73,73,-0.00271,0.09343
2017,Second Stage of Tertiary Education,1st Quintile,University/ Technical university,0.19748,71,71,0.10422,0.29074
2017,Second Stage of Tertiary Education,2nd Quintile,University/ Technical university,0.07284,46,46,-0.00309,0.14877
2017,Second Stage of Tertiary Education,3rd Quintile,University/ Technical university,0.06300,38,38,-0.01529,0.14129
2017,Second Stage of Tertiary Education,4th Quintile,University/ Technical university,0.04448,39,39,-0.02107,0.11003
2017,Second Stage of Tertiary Education,5th Quintile,University/ Technical university,0.01808,41,41,-0.02321,0.05937
2018,Pre-primary Level,1st Quintile,General education,0.50498,95,95,0.40391,0.60606
2018,Pre-primary Level,2nd Quintile,General education,0.49922,72,72,0.38292,0.61552
2018,Pre-primary Level,3rd Quintile,General education,0.57093,68,68,0.45242,0.68945
2018,Pre-primary Level,4th Quintile,General education,0.61751,55,55,0.48788,0.74714
2018,Pre-primary Level,5th Quintile,General education,0.48625,45,45,0.33856,0.63393
2018,Primary Level,1st Quintile,Vocational training,0.02161,39,39,-0.02462,0.06783
2018,Lower Secondary Level,1st Quintile,General education,0.01301,40,188,-0.00323,0.02926
2018,Lower Secondary Level,1st Quintile,Vocational training,0.08909,148,188,0.04826,0.12992
2018,Lower Secondary Level,2nd Quintile,Vocational training,0.06889,90,90,0.01627,0.12151
2018,Lower Secondary Level,3rd Quintile,Vocational training,0.10213,51,51,0.01819,0.18606
2018,Lower Secondary Level,4th Quintile,Vocational training,0.10440,38,38,0.00587,0.20293
2018,Upper Secondary Level,1st Quintile,University/ Technical university,0.07282,168,272,0.04188,0.10376
2018,Upper Secondary Level,1st Quintile,Vocational training,0.03617,104,272,0.01394,0.05840
2018,Upper Secondary Level,2nd Quintile,University/ Technical university,0.02134,81,149,-0.00195,0.04462
2018,Upper Secondary Level,2nd Quintile,Vocational training,0.01674,68,149,-0.00393,0.03740
2018,Upper Secondary Level,3rd Quintile,University/ Technical university,0.03155,83,125,0.00078,0.06231
2018,Upper Secondary Level,3rd Quintile,Vocational training,0.01471,42,125,-0.00648,0.03590
2018,Upper Secondary Level,4th Quintile,University/ Technical university,0.04273,96,127,0.00742,0.07805
2018,Upper Secondary Level,4th Quintile,Vocational training,0.01090,31,127,-0.00723,0.02902
2018,Upper Secondary Level,5th Quintile,University/ Technical university,0.04148,79,79,-0.00277,0.08574
2018,Post-secondary Non-tertiary Level,1st Quintile,University/ Technical university,0.16079,31,31,0.02934,0.29224
2018,Second Stage of Tertiary Education,1st Quintile,University/ Technical university,0.20994,100,100,0.12972,0.29017
2018,Second Stage of Tertiary Education,2nd Quintile,University/ Technical university,0.08981,53,53,0.01210,0.16751
2018,Second Stage of Tertiary Education,3rd Quintile,University/ Technical university,0.04719,37,37,-0.02208,0.11646
2018,Second Stage of Tertiary Education,4th Quintile,University/ Technical university,0.02836,46,46,-0.02014,0.07687
2018,Second Stage of Tertiary Education,5th Quintile,University/ Technical university,0.02359,51,51,-0.01848,0.06566
2019,Pre-primary Level,1st Quintile,General education,0.52640,86,86,0.42025,0.63255
2019,Pre-primary Level,2nd Quintile,General education,0.60059,71,71,0.48586,0.71533
2019,Pre-primary Level,3rd Quintile,General education,0.58503,49,49,0.44564,0.72442
2019,Pre-primary Level,4th Quintile,General education,0.53396,44,44,0.38485,0.68306
2019,Pre-primary Level,5th Quintile,General education,0.64015,48,48,0.50294,0.77737
2019,Primary Level,1st Quintile,Vocational training,0.02601,46,46,-0.02049,0.07252
2019,Lower Secondary Level,1st Quintile,General education,0.01211,39,169,-0.00443,0.02866
2019,Lower Secondary Level,1st Quintile,Vocational training,0.08448,130,169,0.04243,0.12653
2019,Lower Secondary Level,2nd Quintile,Vocational training,0.06387,86,86,0.01189,0.11586
2019,Lower Secondary Level,3rd Quintile,Vocational training,0.09841,57,57,0.02039,0.17643
2019,Lower Secondary Level,4th Quintile,Vocational training,0.08108,35,35,-0.01067,0.17283
2019,Upper Secondary Level,1st Quintile,University/ Technical university,0.08667,150,253,0.05193,0.12140
2019,Upper Secondary Level,1st Quintile,Vocational training,0.03293,103,253,0.01090,0.05497
2019,Upper Secondary Level,2nd Quintile,University/ Technical university,0.02539,79,147,-0.00013,0.05091
2019,Upper Secondary Level,2nd Quintile,Vocational training,0.01706,68,147,-0.00395,0.03807
2019,Upper Secondary Level,3rd Quintile,University/ Technical university,0.02804,78,122,-0.00138,0.05745
2019,Upper Secondary Level,3rd Quintile,Vocational training,0.01767,44,122,-0.00581,0.04114
2019,Upper Secondary Level,4th Quintile,University/ Technical university,0.04402,86,126,0.00806,0.07998
2019,Upper Secondary Level,4th Quintile,Vocational training,0.01345,40,126,-0.00674,0.03364
2019,Upper Secondary Level,5th Quintile,University/ Technical university,0.03125,79,79,-0.00736,0.06987
2019,Post-secondary Non-tertiary Level,1st Quintile,University/ Technical university,0.17542,31,31,0.03932,0.31152
2019,Second Stage of Tertiary Education,1st Quintile,University/ Technical university,0.20749,102,150,0.14238,0.27261
2019,Second Stage of Tertiary Education,1st Quintile,Vocational training,0.04787,48,150,0.01359,0.08215
2019,Second Stage of Tertiary Education,2nd Quintile,University/ Technical university,0.08667,40,40,-0.00163,0.17497
2019,Second Stage of Tertiary Education,3rd Quintile,University/ Technical university,0.03192,39,39,-0.02397,0.08782
2019,Second Stage of Tertiary Education,4th Quintile,University/ Technical university,0.02992,44,44,-0.02100,0.08084
2019,Second Stage of Tertiary Education,5th Quintile,University/ Technical university,0.01421,42,42,-0.02202,0.05044
2020,Pre-primary Level,1st Quintile,General education,0.47149,59,59,0.34302,0.59996
2020,Pre-primary Level,2nd Quintile,General education,0.38060,60,60,0.25670,0.50449
2020,Pre-primary Level,3rd Quintile,General education,0.58249,62,62,0.45873,0.70624
2020,Pre-primary Level,4th Quintile,General education,0.42935,50,50,0.29075,0.56794
2020,Pre-primary Level,5th Quintile,General education,0.32286,51,51,0.19325,0.45246
2020,Primary Level,1st Quintile,Vocational training,0.03390,42,42,-0.02150,0.08929
2020,Lower Secondary Level,1st Quintile,Vocational training,0.06710,117,117,0.02157,0.11263
2020,Lower Secondary Level,2nd Quintile,Vocational training,0.06399,68,68,0.00539,0.12259
2020,Lower Secondary Level,3rd Quintile,Vocational training,0.11618,58,58,0.03299,0.19937
2020,Lower Secondary Level,4th Quintile,Vocational training,0.18763,43,43,0.06955,0.30570
2020,Upper Secondary Level,1st Quintile,University/ Technical university,0.08544,171,269,0.05197,0.11890
2020,Upper Secondary Level,1st Quintile,Vocational training,0.02856,98,269,0.00862,0.04850
2020,Upper Secondary Level,2nd Quintile,University/ Technical university,0.02662,79,140,-0.00014,0.05338
2020,Upper Secondary Level,2nd Quintile,Vocational training,0.02272,61,140,-0.00205,0.04749
2020,Upper Secondary Level,3rd Quintile,University/ Technical university,0.04260,79,118,0.00601,0.07920
2020,Upper Secondary Level,3rd Quintile,Vocational training,0.01682,39,118,-0.00648,0.04012
2020,Upper Secondary Level,4th Quintile,University/ Technical university,0.03415,95,128,0.00256,0.06574
2020,Upper Secondary Level,4th Quintile,Vocational training,0.01550,33,128,-0.00599,0.03698
2020,Upper Secondary Level,5th Quintile,University/ Technical university,0.05247,105,138,0.01513,0.08980
2020,Upper Secondary Level,5th Quintile,Vocational training,0.01881,33,138,-0.00394,0.04157
2020,Post-secondary Non-tertiary Level,1st Quintile,University/ Technical university,0.14451,35,35,0.02632,0.26270
2020,Second Stage of Tertiary Education,1st Quintile,University/ Technical university,0.17756,91,131,0.11187,0.24325
2020,Second Stage of Tertiary Education,1st Quintile,Vocational training,0.04209,40,131,0.00757,0.07661
2020,Second Stage of Tertiary Education,2nd Quintile,University/ Technical university,0.10175,55,55,0.02112,0.18239
2020,Second Stage of Tertiary Education,3rd Quintile,University/ Technical university,0.05119,39,39,-0.01888,0.12126
2020,Second Stage of Tertiary Education,4th Quintile,University/ Technical university,0.03965,46,46,-0.01737,0.09666
2020,Second Stage of Tertiary Education,5th Quintile,University/ Technical university,0.01236,46,46,-0.01992,0.04463
2021,Pre-primary Level,1st Quintile,General education,0.40854,40,40,0.25426,0.56281
2021,Lower Secondary Level,1st Quintile,Vocational training,0.04914,82,82,0.00207,0.09621
2021,Lower Secondary Level,2nd Quintile,Vocational training,0.07331,46,46,-0.00285,0.14946
2021,Lower Secondary Level,3rd Quintile,Vocational training,0.10938,41,41,0.01266,0.20611
2021,Upper Secondary Level,1st Quintile,University/ Technical university,0.08840,160,237,0.05218,0.12462
2021,Upper Secondary Level,1st Quintile,Vocational training,0.03193,77,237,0.00950,0.05436
2021,Upper Secondary Level,2nd Quintile,University/ Technical university,0.03286,56,104,-0.00157,0.06729
2021,Upper Secondary Level,2nd Quintile,Vocational training,0.02412,48,104,-0.00551,0.05375
2021,Upper Secondary Level,3rd Quintile,University/ Technical university,0.04722,59,100,0.00544,0.08901
2021,Upper Secondary Level,3rd Quintile,Vocational training,0.01578,41,100,-0.00877,0.04033
2021,Upper Secondary Level,4th Quintile,University/ Technical university,0.04580,75,75,-0.00183,0.09343
2021,Upper Secondary Level,5th Quintile,University/ Technical university,0.05971,74,74,0.00535,0.11406
2021,Second Stage of Tertiary Education,1st Quintile,University/ Technical university,0.26289,110,150,0.19220,0.33357
2021,Second Stage of Tertiary Education,1st Quintile,Vocational training,0.02858,40,150,0.00183,0.05534
2021,Second Stage of Tertiary Education,2nd Quintile,University/ Technical university,0.09308,42,42,0.00414,0.18201
2021,Second Stage of Tertiary Education,3rd Quintile,University/ Technical university,0.04322,31,31,-0.02955,0.11599
2021,Second Stage of Tertiary Education,4th Quintile,University/ Technical university,0.04821,46,46,-0.01438,0.11080
2022,Pre-primary Level,1st Quintile,General education,0.44182,37,37,0.27960,0.60405
2022,Lower Secondary Level,1st Quintile,Vocational training,0.05441,81,81,0.00471,0.10412
2022,Lower Secondary Level,2nd Quintile,Vocational training,0.07387,44,44,-0.00431,0.15205
2022,Lower Secondary Level,3rd Quintile,Vocational training,0.10541,33,33,-0.00099,0.21181
2022,Upper Secondary Level,1st Quintile,University/ Technical university,0.09613,158,228,0.05778,0.13447
2022,Upper Secondary Level,1st Quintile,Vocational training,0.01980,70,228,0.00168,0.03793
2022,Upper Secondary Level,2nd Quintile,University/ Technical university,0.04544,65,105,0.00541,0.08547
2022,Upper Secondary Level,2nd Quintile,Vocational training,0.02125,40,105,-0.00647,0.04897
2022,Upper Secondary Level,3rd Quintile,University/ Technical university,0.02818,52,52,-0.01724,0.07360
2022,Upper Secondary Level,4th Quintile,University/ Technical university,0.03484,55,55,-0.01407,0.08376
2022,Upper Secondary Level,5th Quintile,University/ Technical university,0.05137,65,65,-0.00272,0.10545
2022,Second Stage of Tertiary Education,1st Quintile,University/ Technical university,0.21650,93,93,0.13234,0.30066
2022,Second Stage of Tertiary Education,2nd Quintile,University/ Technical university,0.07778,34,34,-0.01360,0.16916
2022,Second Stage of Tertiary Education,3rd Quintile,University/ Technical university,0.04685,38,38,-0.02124,0.11494
2022,Second Stage of Tertiary Education,4th Quintile,University/ Technical university,0.03161,33,33,-0.02901,0.09224
2022,Second Stage of Tertiary Education,5th Quintile,University/ Technical university,0.02238,31,31,-0.03055,0.07532
