,Unnamed: 0,year,bula_h,regtyp,plg0267_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
23,23,2014,Bavaria,Rural regions,Vocational training,0.40604,99,1951,0.32104,0.52254
24,24,2014,Bavaria,Rural regions,Further training/ Retraining,0.13939,31,1951,0.08863,0.21322
25,25,2014,Berlin,Urban regions,University/ Technical university,1.0,73,1951,0.81036,1.25979
26,26,2014,Brandenburg,Rural regions,Vocational training,1.0,44,1951,0.68452,1.34303
27,27,2014,Saxony,Urban regions,University/ Technical university,1.0,33,1951,0.66299,1.32443
28,28,2015,Lower Saxony,Urban regions,University/ Technical university,0.62114,48,1641,0.39174,0.89885
29,29,2015,Lower Saxony,Urban regions,Vocational training,0.37886,35,1641,0.21857,0.59059
30,30,2015,Lower Saxony,Rural regions,University/ Technical university,0.40059,35,1641,0.26724,0.5565
31,31,2015,Lower Saxony,Rural regions,Vocational training,0.59941,66,1641,0.42774,0.77504
32,32,2015,North Rhine-Westphalia,Urban regions,General education,0.13181,106,1641,0.10163,0.16651
33,33,2015,North Rhine-Westphalia,Urban regions,University/ Technical university,0.39332,217,1641,0.33281,0.46698
34,34,2015,North Rhine-Westphalia,Urban regions,Vocational training,0.31628,177,1641,0.26094,0.36897
35,35,2015,North Rhine-Westphalia,Urban regions,Further training/ Retraining,0.15858,76,1641,0.10441,0.21645
36,36,2015,Hesse,Urban regions,General education,0.12682,31,1641,0.08946,0.16882
37,37,2015,Hesse,Urban regions,University/ Technical university,0.53812,68,1641,0.43065,0.67507
38,38,2015,Hesse,Urban regions,Vocational training,0.33506,44,1641,0.2166,0.48344
39,39,2015,"Rhineland-Palatinate, Saarland",Urban regions,University/ Technical university,0.51875,33,1641,0.32212,0.74158
40,40,2015,"Rhineland-Palatinate, Saarland",Urban regions,Vocational training,0.48125,46,1641,0.35568,0.62596
41,41,2015,Baden-Wuerttemberg,Urban regions,General education,0.21333,55,1641,0.15547,0.27866
42,42,2015,Baden-Wuerttemberg,Urban regions,University/ Technical university,0.45396,103,1641,0.35863,0.57586
43,43,2015,Baden-Wuerttemberg,Urban regions,Vocational training,0.33272,78,1641,0.25055,0.41753
44,44,2015,Bavaria,Urban regions,General education,0.09284,31,1641,0.05328,0.14665
45,45,2015,Bavaria,Urban regions,University/ Technical university,0.67583,81,1641,0.50859,0.89316
46,46,2015,Bavaria,Urban regions,Vocational training,0.23133,50,1641,0.17468,0.29383
47,47,2015,Bavaria,Rural regions,University/ Technical university,0.47099,73,1641,0.35564,0.62107
48,48,2015,Bavaria,Rural regions,Vocational training,0.52901,94,1641,0.41326,0.68676
49,49,2015,Berlin,Urban regions,University/ Technical university,1.0,56,1641,0.77641,1.3247
50,50,2015,Brandenburg,Rural regions,Vocational training,1.0,38,1641,0.63908,1.39129
51,51,2016,Lower Saxony,Urban regions,University/ Technical university,0.60219,54,1690,0.42509,0.83041
52,52,2016,Lower Saxony,Urban regions,Vocational training,0.39781,43,1690,0.22701,0.62558
53,53,2016,Lower Saxony,Rural regions,University/ Technical university,0.48048,43,1690,0.32321,0.67918
54,54,2016,Lower Saxony,Rural regions,Vocational training,0.51952,80,1690,0.38133,0.67389
55,55,2016,North Rhine-Westphalia,Urban regions,General education,0.14609,126,1690,0.11234,0.18453
56,56,2016,North Rhine-Westphalia,Urban regions,University/ Technical university,0.4454,211,1690,0.36054,0.53338
57,57,2016,North Rhine-Westphalia,Urban regions,Vocational training,0.32492,189,1690,0.26628,0.37754
58,58,2016,North Rhine-Westphalia,Urban regions,Further training/ Retraining,0.08359,64,1690,0.05307,0.11581
59,59,2016,Hesse,Urban regions,General education,0.15666,33,1690,0.10663,0.20817
60,60,2016,Hesse,Urban regions,University/ Technical university,0.48001,68,1690,0.37315,0.62829
61,61,2016,Hesse,Urban regions,Vocational training,0.36333,44,1690,0.20755,0.54207
62,62,2016,"Rhineland-Palatinate, Saarland",Urban regions,University/ Technical university,0.70587,42,1690,0.47905,0.95046
63,63,2016,"Rhineland-Palatinate, Saarland",Urban regions,Vocational training,0.29413,32,1690,0.19093,0.41692
64,64,2016,Baden-Wuerttemberg,Urban regions,General education,0.12506,45,1690,0.08164,0.16362
65,65,2016,Baden-Wuerttemberg,Urban regions,University/ Technical university,0.41223,95,1690,0.33844,0.50199
66,66,2016,Baden-Wuerttemberg,Urban regions,Vocational training,0.30035,81,1690,0.21721,0.42786
67,67,2016,Baden-Wuerttemberg,Urban regions,Further training/ Retraining,0.16236,45,1690,0.10753,0.21785
68,68,2016,Bavaria,Urban regions,General education,0.15405,37,1690,0.08976,0.24521
69,69,2016,Bavaria,Urban regions,University/ Technical university,0.65482,76,1690,0.45642,0.90651
70,70,2016,Bavaria,Urban regions,Vocational training,0.19113,43,1690,0.1508,0.23946
71,71,2016,Bavaria,Rural regions,University/ Technical university,0.38526,48,1690,0.27908,0.51368
72,72,2016,Bavaria,Rural regions,Vocational training,0.61474,101,1690,0.50579,0.72844
73,73,2016,Berlin,Urban regions,University/ Technical university,1.0,59,1690,0.74418,1.33875
74,74,2016,Saxony,Urban regions,University/ Technical university,1.0,31,1690,0.67041,1.30346
75,75,2017,Lower Saxony,Urban regions,University/ Technical university,0.63357,61,2133,0.46634,0.8518
76,76,2017,Lower Saxony,Urban regions,Vocational training,0.36643,51,2133,0.26218,0.45814
77,77,2017,Lower Saxony,Rural regions,General education,0.13849,37,2133,0.10689,0.17814
78,78,2017,Lower Saxony,Rural regions,University/ Technical university,0.31315,52,2133,0.19521,0.47358
79,79,2017,Lower Saxony,Rural regions,Vocational training,0.38663,80,2133,0.2802,0.52901
80,80,2017,Lower Saxony,Rural regions,Further training/ Retraining,0.16173,32,2133,0.10974,0.2129
81,81,2017,North Rhine-Westphalia,Urban regions,General education,0.15985,144,2133,0.12606,0.1975
82,82,2017,North Rhine-Westphalia,Urban regions,University/ Technical university,0.41318,249,2133,0.34874,0.48097
83,83,2017,North Rhine-Westphalia,Urban regions,Vocational training,0.32393,213,2133,0.26209,0.39966
84,84,2017,North Rhine-Westphalia,Urban regions,Further training/ Retraining,0.10303,95,2133,0.07179,0.14877
85,85,2017,Hesse,Urban regions,General education,0.19054,47,2133,0.12685,0.24854
86,86,2017,Hesse,Urban regions,University/ Technical university,0.35423,66,2133,0.28643,0.44425
87,87,2017,Hesse,Urban regions,Vocational training,0.45523,66,2133,0.31978,0.60227
88,88,2017,"Rhineland-Palatinate, Saarland",Urban regions,University/ Technical university,0.63115,51,2133,0.48537,0.76095
89,89,2017,"Rhineland-Palatinate, Saarland",Urban regions,Vocational training,0.36885,32,2133,0.27599,0.48931
90,90,2017,Baden-Wuerttemberg,Urban regions,General education,0.11523,51,2133,0.07238,0.17301
91,91,2017,Baden-Wuerttemberg,Urban regions,University/ Technical university,0.46128,107,2133,0.36805,0.54911
92,92,2017,Baden-Wuerttemberg,Urban regions,Vocational training,0.29073,98,2133,0.22413,0.36083
93,93,2017,Baden-Wuerttemberg,Urban regions,Further training/ Retraining,0.13276,41,2133,0.0832,0.18318
94,94,2017,Bavaria,Urban regions,General education,0.14107,39,2133,0.08631,0.20915
95,95,2017,Bavaria,Urban regions,University/ Technical university,0.56452,89,2133,0.39752,0.77477
96,96,2017,Bavaria,Urban regions,Vocational training,0.29442,61,2133,0.21839,0.40238
97,97,2017,Bavaria,Rural regions,General education,0.15984,37,2133,0.09169,0.26534
98,98,2017,Bavaria,Rural regions,University/ Technical university,0.31909,74,2133,0.22725,0.41427
99,99,2017,Bavaria,Rural regions,Vocational training,0.39964,108,2133,0.33056,0.47527
100,100,2017,Bavaria,Rural regions,Further training/ Retraining,0.12144,35,2133,0.08468,0.16381
101,101,2017,Berlin,Urban regions,University/ Technical university,1.0,76,2133,0.74831,1.22644
102,102,2017,Saxony,Urban regions,University/ Technical university,1.0,41,2133,0.7826,1.28361
103,103,2018,Lower Saxony,Urban regions,University/ Technical university,0.6018,67,2036,0.43752,0.80329
104,104,2018,Lower Saxony,Urban regions,Vocational training,0.3982,50,2036,0.29381,0.53269
105,105,2018,Lower Saxony,Rural regions,General education,0.17155,41,2036,0.11098,0.23633
106,106,2018,Lower Saxony,Rural regions,University/ Technical university,0.36716,46,2036,0.25107,0.52461
107,107,2018,Lower Saxony,Rural regions,Vocational training,0.46128,83,2036,0.32756,0.61432
108,108,2018,North Rhine-Westphalia,Urban regions,General education,0.15227,145,2036,0.11755,0.19296
109,109,2018,North Rhine-Westphalia,Urban regions,University/ Technical university,0.42807,279,2036,0.36363,0.49551
110,110,2018,North Rhine-Westphalia,Urban regions,Vocational training,0.30319,232,2036,0.2608,0.34838
111,111,2018,North Rhine-Westphalia,Urban regions,Further training/ Retraining,0.11648,89,2036,0.07971,0.15006
112,112,2018,Hesse,Urban regions,General education,0.19597,48,2036,0.11343,0.29947
113,113,2018,Hesse,Urban regions,University/ Technical university,0.39888,64,2036,0.28497,0.52258
114,114,2018,Hesse,Urban regions,Vocational training,0.40516,76,2036,0.2838,0.52358
115,115,2018,"Rhineland-Palatinate, Saarland",Urban regions,University/ Technical university,0.59086,47,2036,0.43756,0.78291
116,116,2018,"Rhineland-Palatinate, Saarland",Urban regions,Vocational training,0.40914,38,2036,0.28199,0.52849
117,117,2018,Baden-Wuerttemberg,Urban regions,General education,0.113,43,2036,0.08519,0.14772
118,118,2018,Baden-Wuerttemberg,Urban regions,University/ Technical university,0.57695,106,2036,0.48972,0.69812
119,119,2018,Baden-Wuerttemberg,Urban regions,Vocational training,0.31005,93,2036,0.22945,0.39269
120,120,2018,Bavaria,Urban regions,General education,0.17693,31,2036,0.1058,0.24783
121,121,2018,Bavaria,Urban regions,University/ Technical university,0.53891,83,2036,0.41519,0.67202
122,122,2018,Bavaria,Urban regions,Vocational training,0.28415,60,2036,0.21531,0.34888
123,123,2018,Bavaria,Rural regions,University/ Technical university,0.35614,67,2036,0.2551,0.46701
124,124,2018,Bavaria,Rural regions,Vocational training,0.51476,98,2036,0.38181,0.62585
125,125,2018,Bavaria,Rural regions,Further training/ Retraining,0.1291,35,2036,0.05742,0.21127
126,126,2018,Berlin,Urban regions,University/ Technical university,1.0,73,2036,0.77699,1.3271
127,127,2018,Saxony,Urban regions,University/ Technical university,1.0,42,2036,0.66448,1.41633
128,128,2019,Lower Saxony,Urban regions,University/ Technical university,0.56251,56,1788,0.42088,0.73769
129,129,2019,Lower Saxony,Urban regions,Vocational training,0.43749,54,1788,0.28924,0.65314
130,130,2019,Lower Saxony,Rural regions,General education,0.16703,33,1788,0.11419,0.2375
131,131,2019,Lower Saxony,Rural regions,University/ Technical university,0.41799,43,1788,0.26246,0.64079
132,132,2019,Lower Saxony,Rural regions,Vocational training,0.41498,71,1788,0.31058,0.53531
133,133,2019,North Rhine-Westphalia,Urban regions,General education,0.14635,117,1788,0.10195,0.19842
134,134,2019,North Rhine-Westphalia,Urban regions,University/ Technical university,0.44837,247,1788,0.38243,0.53754
135,135,2019,North Rhine-Westphalia,Urban regions,Vocational training,0.31411,236,1788,0.25441,0.38056
136,136,2019,North Rhine-Westphalia,Urban regions,Further training/ Retraining,0.09118,66,1788,0.05743,0.1241
137,137,2019,Hesse,Urban regions,University/ Technical university,0.5694,64,1788,0.35667,0.8296
138,138,2019,Hesse,Urban regions,Vocational training,0.4306,52,1788,0.31177,0.60163
139,139,2019,"Rhineland-Palatinate, Saarland",Urban regions,University/ Technical university,0.4458,37,1788,0.32799,0.59806
140,140,2019,"Rhineland-Palatinate, Saarland",Urban regions,Vocational training,0.5542,47,1788,0.39701,0.725
141,141,2019,Baden-Wuerttemberg,Urban regions,General education,0.15652,48,1788,0.09754,0.21855
142,142,2019,Baden-Wuerttemberg,Urban regions,University/ Technical university,0.54083,114,1788,0.46567,0.6555
143,143,2019,Baden-Wuerttemberg,Urban regions,Vocational training,0.30265,88,1788,0.19809,0.43395
144,144,2019,Bavaria,Urban regions,University/ Technical university,0.51946,70,1788,0.41235,0.6604
145,145,2019,Bavaria,Urban regions,Vocational training,0.48054,60,1788,0.34964,0.63605
146,146,2019,Bavaria,Rural regions,University/ Technical university,0.55949,73,1788,0.3637,0.77977
147,147,2019,Bavaria,Rural regions,Vocational training,0.44051,83,1788,0.29448,0.59956
148,148,2019,Berlin,Urban regions,University/ Technical university,1.0,64,1788,0.7356,1.27686
149,149,2019,Brandenburg,Rural regions,Vocational training,1.0,33,1788,0.69422,1.40764
150,150,2019,Saxony,Urban regions,University/ Technical university,1.0,32,1788,0.63171,1.44681
151,151,2020,Lower Saxony,Urban regions,University/ Technical university,0.59473,51,1965,0.39934,0.82553
152,152,2020,Lower Saxony,Urban regions,Vocational training,0.40527,44,1965,0.23581,0.60721
153,153,2020,Lower Saxony,Rural regions,University/ Technical university,0.48005,36,1965,0.27929,0.80873
154,154,2020,Lower Saxony,Rural regions,Vocational training,0.51995,83,1965,0.37344,0.68974
155,155,2020,North Rhine-Westphalia,Urban regions,General education,0.09807,111,1965,0.07352,0.12255
156,156,2020,North Rhine-Westphalia,Urban regions,University/ Technical university,0.47904,269,1965,0.40229,0.55361
157,157,2020,North Rhine-Westphalia,Urban regions,Vocational training,0.32461,273,1965,0.25973,0.39578
158,158,2020,North Rhine-Westphalia,Urban regions,Further training/ Retraining,0.09828,72,1965,0.06468,0.14176
159,159,2020,Hesse,Urban regions,General education,0.09502,37,1965,0.05957,0.13477
160,160,2020,Hesse,Urban regions,University/ Technical university,0.54854,83,1965,0.3951,0.71684
161,161,2020,Hesse,Urban regions,Vocational training,0.35644,75,1965,0.24414,0.48992
162,162,2020,"Rhineland-Palatinate, Saarland",Urban regions,University/ Technical university,0.52552,42,1965,0.36143,0.77154
163,163,2020,"Rhineland-Palatinate, Saarland",Urban regions,Vocational training,0.47448,46,1965,0.31123,0.66673
164,164,2020,Baden-Wuerttemberg,Urban regions,General education,0.10138,50,1965,0.0734,0.13831
165,165,2020,Baden-Wuerttemberg,Urban regions,University/ Technical university,0.55856,125,1965,0.4581,0.66909
166,166,2020,Baden-Wuerttemberg,Urban regions,Vocational training,0.34006,111,1965,0.23589,0.48141
167,167,2020,Bavaria,Urban regions,University/ Technical university,0.61612,89,1965,0.44622,0.8342
168,168,2020,Bavaria,Urban regions,Vocational training,0.38388,79,1965,0.2555,0.54729
169,169,2020,Bavaria,Rural regions,University/ Technical university,0.49858,72,1965,0.34695,0.71567
170,170,2020,Bavaria,Rural regions,Vocational training,0.50142,106,1965,0.3349,0.71003
171,171,2020,Berlin,Urban regions,University/ Technical university,1.0,76,1965,0.75031,1.31223
172,172,2020,Saxony,Urban regions,University/ Technical university,1.0,35,1965,0.70775,1.32044
173,173,2021,Lower Saxony,Urban regions,University/ Technical university,1.0,37,1192,0.57653,1.44619
174,174,2021,Lower Saxony,Rural regions,Vocational training,1.0,47,1192,0.66722,1.32125
175,175,2021,North Rhine-Westphalia,Urban regions,General education,0.08043,58,1192,0.05305,0.11573
176,176,2021,North Rhine-Westphalia,Urban regions,University/ Technical university,0.60573,213,1192,0.4916,0.7058
177,177,2021,North Rhine-Westphalia,Urban regions,Vocational training,0.22666,159,1192,0.17862,0.27528
178,178,2021,North Rhine-Westphalia,Urban regions,Further training/ Retraining,0.08718,48,1192,0.05245,0.13185
179,179,2021,Hesse,Urban regions,University/ Technical university,0.67823,49,1192,0.43961,1.04295
180,180,2021,Hesse,Urban regions,Vocational training,0.32177,46,1192,0.15628,0.53509
181,181,2021,"Rhineland-Palatinate, Saarland",Urban regions,University/ Technical university,1.0,38,1192,0.63077,1.41515
182,182,2021,Baden-Wuerttemberg,Urban regions,University/ Technical university,0.70157,101,1192,0.54348,0.9086
183,183,2021,Baden-Wuerttemberg,Urban regions,Vocational training,0.29843,69,1192,0.19381,0.43431
184,184,2021,Bavaria,Urban regions,University/ Technical university,0.70613,87,1192,0.51805,0.88665
185,185,2021,Bavaria,Urban regions,Vocational training,0.29387,37,1192,0.17817,0.45197
186,186,2021,Bavaria,Rural regions,University/ Technical university,0.63148,45,1192,0.35383,1.02651
187,187,2021,Bavaria,Rural regions,Vocational training,0.36852,55,1192,0.27163,0.48002
188,188,2021,Berlin,Urban regions,University/ Technical university,1.0,64,1192,0.73042,1.28835
189,189,2021,Saxony,Urban regions,University/ Technical university,1.0,39,1192,0.57478,1.57074
