year,bula_h,sampreg,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2019,North Rhine-Westphalia,West,General education,0.01275,120,701,0.00444,0.02106
2019,North Rhine-Westphalia,West,University/ Technical university,0.03985,267,701,0.02536,0.05435
2019,North Rhine-Westphalia,West,Vocational training,0.02653,245,701,0.01462,0.03843
2019,North Rhine-Westphalia,West,Further training/ Retraining,0.00802,69,701,0.00141,0.01462
2019,Hesse,West,General education,0.00902,33,180,-0.00483,0.02287
2019,Hesse,West,University/ Technical university,0.04634,83,180,0.01554,0.07713
2019,Hesse,West,Vocational training,0.02960,64,180,0.00477,0.05443
2019,"Rhineland-Palatinate, Saarland",West,General education,0.00927,37,150,-0.00612,0.02465
2019,"Rhineland-Palatinate, Saarland",West,University/ Technical university,0.02268,48,150,-0.00123,0.04658
2019,"Rhineland-Palatinate, Saarland",West,Vocational training,0.02455,65,150,-0.00030,0.04940
2019,Baden-Wuerttemberg,West,General education,0.01038,51,287,-0.00137,0.02212
2019,Baden-Wuerttemberg,West,University/ Technical university,0.04081,133,287,0.01788,0.06374
2019,Baden-Wuerttemberg,West,Vocational training,0.02129,103,287,0.00456,0.03802
2019,Bavaria,West,General education,0.00474,46,386,-0.00212,0.01160
2019,Bavaria,West,University/ Technical university,0.02711,150,386,0.01089,0.04333
2019,Bavaria,West,Vocational training,0.02140,144,386,0.00694,0.03585
2019,Bavaria,West,Further training/ Retraining,0.01099,46,386,0.00057,0.02140
2019,Berlin,West,University/ Technical university,0.06301,39,39,-0.01425,0.14027
2019,Brandenburg,East,Vocational training,0.02394,34,34,-0.02822,0.07609
2019,Saxony,East,University/ Technical university,0.02749,45,110,-0.00321,0.05818
2019,Saxony,East,Vocational training,0.01223,34,110,-0.00840,0.03286
2019,Saxony,East,Further training/ Retraining,0.00986,31,110,-0.00869,0.02841
2020,Schleswig-Holstein,West,University/ Technical university,0.01740,31,76,-0.01219,0.04700
2020,Schleswig-Holstein,West,Vocational training,0.02912,45,76,-0.00893,0.06718
2020,Lower Saxony,West,General education,0.00707,40,254,-0.00325,0.01739
2020,Lower Saxony,West,University/ Technical university,0.02850,87,254,0.00800,0.04901
2020,Lower Saxony,West,Vocational training,0.02380,127,254,0.00501,0.04258
2020,North Rhine-Westphalia,West,General education,0.00875,113,735,0.00201,0.01548
2020,North Rhine-Westphalia,West,University/ Technical university,0.04290,277,735,0.02824,0.05756
2020,North Rhine-Westphalia,West,Vocational training,0.02807,273,735,0.01612,0.04002
2020,North Rhine-Westphalia,West,Further training/ Retraining,0.00877,72,735,0.00202,0.01552
2020,Hesse,West,General education,0.00780,40,227,-0.00367,0.01927
2020,Hesse,West,University/ Technical university,0.05464,98,227,0.02501,0.08427
2020,Hesse,West,Vocational training,0.03044,89,227,0.00804,0.05284
2020,"Rhineland-Palatinate, Saarland",West,University/ Technical university,0.02586,48,107,-0.00436,0.05607
2020,"Rhineland-Palatinate, Saarland",West,Vocational training,0.02681,59,107,-0.00394,0.05756
2020,Baden-Wuerttemberg,West,General education,0.00700,55,354,-0.00170,0.01570
2020,Baden-Wuerttemberg,West,University/ Technical university,0.04164,136,354,0.02080,0.06248
2020,Baden-Wuerttemberg,West,Vocational training,0.02423,127,354,0.00819,0.04027
2020,Baden-Wuerttemberg,West,Further training/ Retraining,0.00641,36,354,-0.00192,0.01473
2020,Bavaria,West,General education,0.00551,46,430,-0.00150,0.01251
2020,Bavaria,West,University/ Technical university,0.03205,161,430,0.01538,0.04872
2020,Bavaria,West,Vocational training,0.02553,185,430,0.01060,0.04045
2020,Bavaria,West,Further training/ Retraining,0.00611,38,430,-0.00126,0.01349
2020,Berlin,West,University/ Technical university,0.06298,45,45,-0.00880,0.13476
2020,Berlin,East,University/ Technical university,0.05846,31,31,-0.02550,0.14241
2020,Brandenburg,East,Vocational training,0.03051,31,31,-0.03103,0.09205
2020,Saxony,East,University/ Technical university,0.02394,42,89,-0.00800,0.05589
2020,Saxony,East,Vocational training,0.01656,47,89,-0.01010,0.04323
2021,Schleswig-Holstein,West,Vocational training,0.00986,33,33,-0.02438,0.04410
2021,Lower Saxony,West,General education,0.01396,39,175,-0.00347,0.03139
2021,Lower Saxony,West,University/ Technical university,0.02910,65,175,0.00413,0.05408
2021,Lower Saxony,West,Vocational training,0.02258,71,175,0.00050,0.04465
2021,North Rhine-Westphalia,West,General education,0.00706,59,487,-0.00038,0.01450
2021,North Rhine-Westphalia,West,University/ Technical university,0.05469,219,487,0.03447,0.07490
2021,North Rhine-Westphalia,West,Vocational training,0.02041,161,487,0.00784,0.03298
2021,North Rhine-Westphalia,West,Further training/ Retraining,0.00768,48,487,-0.00008,0.01544
2021,Hesse,West,University/ Technical university,0.04634,58,117,0.00809,0.08460
2021,Hesse,West,Vocational training,0.02209,59,117,-0.00466,0.04883
2021,"Rhineland-Palatinate, Saarland",West,University/ Technical university,0.03199,45,45,-0.02001,0.08399
2021,Baden-Wuerttemberg,West,General education,0.00497,35,222,-0.00430,0.01425
2021,Baden-Wuerttemberg,West,University/ Technical university,0.04938,109,222,0.02081,0.07795
2021,Baden-Wuerttemberg,West,Vocational training,0.02007,78,222,0.00158,0.03856
2021,Bavaria,West,General education,0.00504,34,258,-0.00362,0.01371
2021,Bavaria,West,University/ Technical university,0.03893,132,258,0.01528,0.06258
2021,Bavaria,West,Vocational training,0.01740,92,258,0.00141,0.03338
2021,Berlin,West,University/ Technical university,0.08827,44,44,0.00348,0.17306
2021,Saxony,East,University/ Technical university,0.04090,45,45,-0.01762,0.09943
2022,Schleswig-Holstein,West,University/ Technical university,0.02876,37,76,-0.00906,0.06659
2022,Schleswig-Holstein,West,Vocational training,0.02203,39,76,-0.01119,0.05525
2022,Hamburg,West,University/ Technical university,0.04290,48,48,-0.01503,0.10083
2022,Lower Saxony,West,General education,0.00727,35,297,-0.00241,0.01694
2022,Lower Saxony,West,University/ Technical university,0.03848,120,297,0.01657,0.06040
2022,Lower Saxony,West,Vocational training,0.01612,101,297,0.00177,0.03047
2022,Lower Saxony,West,Further training/ Retraining,0.01192,41,297,-0.00044,0.02428
2022,North Rhine-Westphalia,West,General education,0.00643,83,794,0.00086,0.01199
2022,North Rhine-Westphalia,West,University/ Technical university,0.04920,365,794,0.03415,0.06426
2022,North Rhine-Westphalia,West,Vocational training,0.02000,241,794,0.01026,0.02975
2022,North Rhine-Westphalia,West,Further training/ Retraining,0.00865,105,794,0.00221,0.01510
2022,Hesse,West,University/ Technical university,0.06888,114,226,0.03579,0.10197
2022,Hesse,West,Vocational training,0.01573,71,226,-0.00053,0.03198
2022,Hesse,West,Further training/ Retraining,0.01134,41,226,-0.00250,0.02518
2022,"Rhineland-Palatinate, Saarland",West,University/ Technical university,0.03510,75,121,0.00217,0.06802
2022,"Rhineland-Palatinate, Saarland",West,Vocational training,0.01820,46,121,-0.00572,0.04212
2022,Baden-Wuerttemberg,West,University/ Technical university,0.05466,212,388,0.03201,0.07731
2022,Baden-Wuerttemberg,West,Vocational training,0.02271,125,388,0.00786,0.03755
2022,Baden-Wuerttemberg,West,Further training/ Retraining,0.00982,51,388,-0.00000,0.01965
2022,Bavaria,West,General education,0.00449,31,484,-0.00147,0.01045
2022,Bavaria,West,University/ Technical university,0.04252,243,484,0.02452,0.06051
2022,Bavaria,West,Vocational training,0.01795,141,484,0.00611,0.02980
2022,Bavaria,West,Further training/ Retraining,0.00753,69,484,-0.00018,0.01524
2022,Berlin,West,University/ Technical university,0.07227,81,81,0.01553,0.12901
2022,Berlin,East,University/ Technical university,0.05638,45,45,-0.01178,0.12453
2022,Brandenburg,East,University/ Technical university,0.02088,38,38,-0.02519,0.06695
2022,Saxony,East,University/ Technical university,0.04410,75,132,0.00894,0.07926
2022,Saxony,East,Vocational training,0.01621,57,132,-0.00541,0.03784
2022,Saxony-Anhalt,East,University/ Technical university,0.06375,56,91,0.01327,0.11422
2022,Saxony-Anhalt,East,Vocational training,0.01379,35,91,-0.01030,0.03788
2022,Thuringa,East,University/ Technical university,0.02831,39,80,-0.00827,0.06488
2022,Thuringa,East,Vocational training,0.02393,41,80,-0.00977,0.05763
