year,pgisced97,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Lower Secondary Level,Further training/ Retraining,0.00726,35,459,-0.00052,0.01503
2016,Upper Secondary Level,University/ Technical university,0.04299,435,794,0.02888,0.05711
2016,Upper Secondary Level,Vocational training,0.01841,241,794,0.00906,0.02777
2016,Upper Secondary Level,Further training/ Retraining,0.00946,118,794,0.00272,0.01620
2016,Post-secondary Non-tertiary Level,University/ Technical university,0.04779,74,117,0.00897,0.08661
2016,Post-secondary Non-tertiary Level,Further training/ Retraining,0.01974,43,117,-0.00557,0.04506
2016,Second Stage of Tertiary Education,University/ Technical university,0.05582,239,389,0.03298,0.07866
2016,Second Stage of Tertiary Education,Vocational training,0.00980,50,389,-0.00000,0.01961
2016,Second Stage of Tertiary Education,Further training/ Retraining,0.01144,100,389,0.00086,0.02202
2017,Pre-primary Level,General education,0.50661,393,393,0.45712,0.55610
2017,Primary Level,General education,0.00404,34,34,-0.01760,0.02568
2017,Lower Secondary Level,General education,0.02034,103,514,0.00812,0.03255
2017,Lower Secondary Level,Vocational training,0.09153,375,514,0.06658,0.11649
2017,Lower Secondary Level,Further training/ Retraining,0.00896,36,514,0.00080,0.01711
2017,Upper Secondary Level,University/ Technical university,0.04080,520,963,0.02830,0.05330
2017,Upper Secondary Level,Vocational training,0.02184,320,963,0.01261,0.03108
2017,Upper Secondary Level,Further training/ Retraining,0.00755,123,963,0.00208,0.01302
2017,Post-secondary Non-tertiary Level,University/ Technical university,0.05870,110,188,0.02501,0.09239
2017,Post-secondary Non-tertiary Level,Vocational training,0.01548,32,188,-0.00221,0.03317
2017,Post-secondary Non-tertiary Level,Further training/ Retraining,0.01797,46,188,-0.00107,0.03701
2017,Second Stage of Tertiary Education,University/ Technical university,0.05797,301,485,0.03715,0.07879
2017,Second Stage of Tertiary Education,Vocational training,0.00704,62,485,-0.00041,0.01449
2017,Second Stage of Tertiary Education,Further training/ Retraining,0.01571,122,485,0.00463,0.02679
2018,Pre-primary Level,General education,0.52872,341,341,0.47566,0.58178
2018,Primary Level,General education,0.01053,32,129,-0.00715,0.02822
2018,Primary Level,Vocational training,0.02112,58,129,-0.00379,0.04604
2018,Primary Level,Further training/ Retraining,0.01596,39,129,-0.00575,0.03766
2018,Lower Secondary Level,General education,0.01666,101,533,0.00579,0.02754
2018,Lower Secondary Level,Vocational training,0.09327,383,533,0.06856,0.11798
2018,Lower Secondary Level,Further training/ Retraining,0.01279,49,533,0.00324,0.02234
2018,Upper Secondary Level,General education,0.00136,37,982,-0.00095,0.00366
2018,Upper Secondary Level,University/ Technical university,0.04159,544,982,0.02910,0.05408
2018,Upper Secondary Level,Vocational training,0.01845,294,982,0.01003,0.02687
2018,Upper Secondary Level,Further training/ Retraining,0.00662,107,982,0.00155,0.01170
2018,Post-secondary Non-tertiary Level,University/ Technical university,0.06097,100,137,0.02075,0.10118
2018,Post-secondary Non-tertiary Level,Further training/ Retraining,0.01643,37,137,-0.00493,0.03780
2018,Second Stage of Tertiary Education,University/ Technical university,0.05310,311,474,0.03290,0.07331
2018,Second Stage of Tertiary Education,Vocational training,0.00945,66,474,0.00073,0.01817
2018,Second Stage of Tertiary Education,Further training/ Retraining,0.01128,97,474,0.00176,0.02080
2019,Pre-primary Level,General education,0.57800,310,310,0.52294,0.63307
2019,Primary Level,Vocational training,0.03269,60,60,-0.01268,0.07807
2019,Lower Secondary Level,General education,0.01261,87,469,0.00250,0.02272
2019,Lower Secondary Level,Vocational training,0.08527,346,469,0.05996,0.11057
2019,Lower Secondary Level,Further training/ Retraining,0.00841,36,469,0.00014,0.01668
2019,Upper Secondary Level,University/ Technical university,0.04385,524,921,0.03062,0.05709
2019,Upper Secondary Level,Vocational training,0.01967,292,921,0.01070,0.02865
2019,Upper Secondary Level,Further training/ Retraining,0.00702,105,921,0.00162,0.01241
2019,Post-secondary Non-tertiary Level,University/ Technical university,0.05552,96,169,0.02089,0.09015
2019,Post-secondary Non-tertiary Level,Vocational training,0.01561,35,169,-0.00314,0.03435
2019,Post-secondary Non-tertiary Level,Further training/ Retraining,0.01282,38,169,-0.00419,0.02983
2019,Second Stage of Tertiary Education,University/ Technical university,0.04710,290,472,0.02797,0.06623
2019,Second Stage of Tertiary Education,Vocational training,0.00880,92,472,0.00037,0.01723
2019,Second Stage of Tertiary Education,Further training/ Retraining,0.01012,90,472,0.00108,0.01917
2020,Pre-primary Level,General education,0.43650,305,305,0.38074,0.49225
2020,Primary Level,Vocational training,0.03318,70,70,-0.00908,0.07545
2020,Lower Secondary Level,General education,0.01260,80,474,0.00255,0.02266
2020,Lower Secondary Level,Vocational training,0.09339,360,474,0.06717,0.11962
2020,Lower Secondary Level,Further training/ Retraining,0.00925,34,474,0.00062,0.01788
2020,Upper Secondary Level,University/ Technical university,0.04643,541,970,0.03318,0.05968
2020,Upper Secondary Level,Vocational training,0.02058,330,970,0.01164,0.02952
2020,Upper Secondary Level,Further training/ Retraining,0.00585,99,970,0.00105,0.01065
2020,Post-secondary Non-tertiary Level,University/ Technical university,0.06108,104,188,0.02676,0.09541
2020,Post-secondary Non-tertiary Level,Vocational training,0.01078,43,188,-0.00402,0.02558
2020,Post-secondary Non-tertiary Level,Further training/ Retraining,0.01911,41,188,-0.00052,0.03873
2020,Second Stage of Tertiary Education,University/ Technical university,0.04756,300,535,0.02951,0.06562
2020,Second Stage of Tertiary Education,Vocational training,0.01130,136,535,0.00233,0.02026
2020,Second Stage of Tertiary Education,Further training/ Retraining,0.01292,99,535,0.00334,0.02250
2021,Pre-primary Level,General education,0.42861,160,160,0.35169,0.50553
2021,Primary Level,Vocational training,0.02319,40,40,-0.02405,0.07042
2021,Lower Secondary Level,General education,0.02093,64,277,0.00404,0.03781
2021,Lower Secondary Level,Vocational training,0.07800,213,277,0.04636,0.10964
2021,Upper Secondary Level,General education,0.00156,35,747,-0.00127,0.00439
2021,Upper Secondary Level,University/ Technical university,0.05378,424,747,0.03760,0.06997
2021,Upper Secondary Level,Vocational training,0.02247,220,747,0.01184,0.03311
2021,Upper Secondary Level,Further training/ Retraining,0.00575,68,747,0.00032,0.01117
2021,Post-secondary Non-tertiary Level,University/ Technical university,0.06478,82,82,0.01118,0.11839
2021,Second Stage of Tertiary Education,University/ Technical university,0.06210,265,437,0.03945,0.08475
2021,Second Stage of Tertiary Education,Vocational training,0.00965,91,437,0.00048,0.01883
2021,Second Stage of Tertiary Education,Further training/ Retraining,0.01076,81,437,0.00107,0.02044
2022,Pre-primary Level,General education,0.36414,182,223,0.30084,0.42744
2022,Pre-primary Level,Vocational training,0.06106,41,223,0.02956,0.09255
2022,Primary Level,Vocational training,0.01709,34,34,-0.02713,0.06132
2022,Lower Secondary Level,General education,0.00960,45,270,-0.00205,0.02126
2022,Lower Secondary Level,Vocational training,0.07531,225,270,0.04377,0.10685
2022,Upper Secondary Level,University/ Technical university,0.06203,626,1070,0.04757,0.07649
2022,Upper Secondary Level,Vocational training,0.02010,325,1070,0.01169,0.02851
2022,Upper Secondary Level,Further training/ Retraining,0.00938,119,1070,0.00360,0.01516
2022,Post-secondary Non-tertiary Level,University/ Technical university,0.07388,152,257,0.04184,0.10592
2022,Post-secondary Non-tertiary Level,Vocational training,0.01268,43,257,-0.00103,0.02639
2022,Post-secondary Non-tertiary Level,Further training/ Retraining,0.02246,62,257,0.00431,0.04061
2022,Second Stage of Tertiary Education,University/ Technical university,0.06695,541,851,0.05015,0.08376
2022,Second Stage of Tertiary Education,Vocational training,0.01017,117,851,0.00342,0.01691
2022,Second Stage of Tertiary Education,Further training/ Retraining,0.01498,193,851,0.00682,0.02315
