year,age_gr,bula_h,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2019,17-29 y.,"Rhineland-Palatinate, Saarland",General education,0.16731,36,132,0.10339,0.23123
2019,17-29 y.,"Rhineland-Palatinate, Saarland",University/ Technical university,0.34347,40,132,0.26215,0.42479
2019,17-29 y.,"Rhineland-Palatinate, Saarland",Vocational training,0.41797,56,132,0.33351,0.50244
2019,17-29 y.,Baden-Wuerttemberg,General education,0.15933,50,237,0.11263,0.20602
2019,17-29 y.,Baden-Wuerttemberg,University/ Technical university,0.56298,111,237,0.49969,0.62626
2019,17-29 y.,Baden-Wuerttemberg,Vocational training,0.25870,76,237,0.20282,0.31457
2019,17-29 y.,Bavaria,General education,0.09712,46,298,0.06344,0.13080
2019,17-29 y.,Bavaria,University/ Technical university,0.44015,128,298,0.38369,0.49661
2019,17-29 y.,Bavaria,Vocational training,0.39871,124,298,0.34302,0.45439
2019,17-29 y.,Berlin,University/ Technical university,0.72435,47,47,0.59522,0.85348
2019,30-45 y.,North Rhine-Westphalia,University/ Technical university,0.47095,39,72,0.35484,0.58706
2019,30-45 y.,North Rhine-Westphalia,Vocational training,0.29840,33,72,0.19197,0.40483
2020,17-29 y.,Schleswig-Holstein,Vocational training,0.54583,37,37,0.38318,0.70847
2020,17-29 y.,Lower Saxony,General education,0.12689,40,221,0.08290,0.17087
2020,17-29 y.,Lower Saxony,University/ Technical university,0.42485,73,221,0.35953,0.49017
2020,17-29 y.,Lower Saxony,Vocational training,0.39212,108,221,0.32760,0.45663
2020,17-29 y.,North Rhine-Westphalia,General education,0.12317,110,566,0.09607,0.15027
2020,17-29 y.,North Rhine-Westphalia,University/ Technical university,0.48364,231,566,0.44244,0.52485
2020,17-29 y.,North Rhine-Westphalia,Vocational training,0.33838,225,566,0.29937,0.37740
2020,17-29 y.,Hesse,General education,0.09436,39,190,0.05269,0.13604
2020,17-29 y.,Hesse,University/ Technical university,0.57308,81,190,0.50256,0.64360
2020,17-29 y.,Hesse,Vocational training,0.29770,70,190,0.23251,0.36289
2020,17-29 y.,"Rhineland-Palatinate, Saarland",University/ Technical university,0.43072,43,89,0.32726,0.53418
2020,17-29 y.,"Rhineland-Palatinate, Saarland",Vocational training,0.39671,46,89,0.29449,0.49892
2020,17-29 y.,Baden-Wuerttemberg,General education,0.10767,55,272,0.07076,0.14457
2020,17-29 y.,Baden-Wuerttemberg,University/ Technical university,0.55733,114,272,0.49820,0.61647
2020,17-29 y.,Baden-Wuerttemberg,Vocational training,0.30279,103,272,0.24809,0.35750
2020,17-29 y.,Bavaria,General education,0.09943,45,336,0.06739,0.13148
2020,17-29 y.,Bavaria,University/ Technical university,0.43774,132,336,0.38462,0.49087
2020,17-29 y.,Bavaria,Vocational training,0.42071,159,336,0.36785,0.47358
2020,17-29 y.,Berlin,University/ Technical university,0.59583,47,47,0.45402,0.73765
2020,17-29 y.,Saxony,Vocational training,0.30908,39,39,0.16215,0.45601
2020,30-45 y.,North Rhine-Westphalia,University/ Technical university,0.51113,39,114,0.41897,0.60330
2020,30-45 y.,North Rhine-Westphalia,Vocational training,0.26398,43,114,0.18271,0.34526
2020,30-45 y.,North Rhine-Westphalia,Further training/ Retraining,0.21831,32,114,0.14214,0.29448
2021,17-29 y.,Lower Saxony,General education,0.25515,39,150,0.18515,0.32515
2021,17-29 y.,Lower Saxony,University/ Technical university,0.34154,49,150,0.26539,0.41769
2021,17-29 y.,Lower Saxony,Vocational training,0.37269,62,150,0.29506,0.45033
2021,17-29 y.,North Rhine-Westphalia,General education,0.10020,55,357,0.06901,0.13139
2021,17-29 y.,North Rhine-Westphalia,University/ Technical university,0.65671,184,357,0.60738,0.70603
2021,17-29 y.,North Rhine-Westphalia,Vocational training,0.21325,118,357,0.17070,0.25580
2021,17-29 y.,Hesse,University/ Technical university,0.54195,50,96,0.44176,0.64214
2021,17-29 y.,Hesse,Vocational training,0.29846,46,96,0.20645,0.39048
2021,17-29 y.,"Rhineland-Palatinate, Saarland",University/ Technical university,0.43204,40,40,0.27658,0.58751
2021,17-29 y.,Baden-Wuerttemberg,General education,0.08146,33,184,0.04183,0.12109
2021,17-29 y.,Baden-Wuerttemberg,University/ Technical university,0.66650,90,184,0.59819,0.73481
2021,17-29 y.,Baden-Wuerttemberg,Vocational training,0.22341,61,184,0.16306,0.28376
2021,17-29 y.,Bavaria,General education,0.10017,34,221,0.06050,0.13984
2021,17-29 y.,Bavaria,University/ Technical university,0.61127,110,221,0.54686,0.67569
2021,17-29 y.,Bavaria,Vocational training,0.27519,77,221,0.21617,0.33420
2021,17-29 y.,Berlin,University/ Technical university,0.79525,44,44,0.67464,0.91586
2021,30-45 y.,North Rhine-Westphalia,Vocational training,0.24472,35,35,0.10021,0.38923
2022,17-29 y.,Schleswig-Holstein,Vocational training,0.41179,32,32,0.23854,0.58504
2022,17-29 y.,Lower Saxony,General education,0.13704,32,207,0.09008,0.18400
2022,17-29 y.,Lower Saxony,University/ Technical university,0.57177,89,207,0.50419,0.63934
2022,17-29 y.,Lower Saxony,Vocational training,0.24111,86,207,0.18269,0.29952
2022,17-29 y.,North Rhine-Westphalia,General education,0.09579,78,568,0.07157,0.12001
2022,17-29 y.,North Rhine-Westphalia,University/ Technical university,0.63566,295,568,0.59605,0.67527
2022,17-29 y.,North Rhine-Westphalia,Vocational training,0.22666,195,568,0.19220,0.26112
2022,17-29 y.,Hesse,University/ Technical university,0.75771,92,140,0.68648,0.82894
2022,17-29 y.,Hesse,Vocational training,0.16230,48,140,0.10100,0.22360
2022,17-29 y.,"Rhineland-Palatinate, Saarland",University/ Technical university,0.53686,62,93,0.43496,0.63875
2022,17-29 y.,"Rhineland-Palatinate, Saarland",Vocational training,0.32578,31,93,0.23001,0.42155
