year,bula_h,quintil_oecd,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2020,North Rhine-Westphalia,2nd Quintile,University/ Technical university,0.04151,47,82,-0.00193,0.08495
2020,North Rhine-Westphalia,2nd Quintile,Vocational training,0.02574,35,82,-0.00875,0.06023
2020,North Rhine-Westphalia,3rd Quintile,University/ Technical university,0.04401,37,76,-0.00241,0.09043
2020,North Rhine-Westphalia,3rd Quintile,Vocational training,0.03305,39,76,-0.00741,0.07351
2020,North Rhine-Westphalia,4th Quintile,University/ Technical university,0.04475,51,51,-0.01256,0.10206
2020,North Rhine-Westphalia,5th Quintile,University/ Technical university,0.01700,38,38,-0.02465,0.05865
2020,Hesse,1st Quintile,Vocational training,0.06913,33,33,-0.01876,0.15702
2020,Baden-Wuerttemberg,1st Quintile,University/ Technical university,0.09866,38,73,0.02978,0.16754
2020,Baden-Wuerttemberg,1st Quintile,Vocational training,0.04591,35,73,-0.00243,0.09426
2020,Bavaria,1st Quintile,Vocational training,0.03225,38,38,-0.02467,0.08917
2020,Bavaria,2nd Quintile,Vocational training,0.02638,34,34,-0.02830,0.08106
2020,Bavaria,4th Quintile,University/ Technical university,0.03997,39,39,-0.02231,0.10225
2020,Bavaria,5th Quintile,University/ Technical university,0.02628,41,41,-0.02329,0.07585
2021,Lower Saxony,1st Quintile,Vocational training,0.04415,37,37,-0.02296,0.11126
2021,North Rhine-Westphalia,1st Quintile,University/ Technical university,0.08888,85,153,0.04364,0.13412
2021,North Rhine-Westphalia,1st Quintile,Vocational training,0.03331,68,153,0.00478,0.06184
2021,North Rhine-Westphalia,2nd Quintile,University/ Technical university,0.05784,40,74,0.00429,0.11140
2021,North Rhine-Westphalia,2nd Quintile,Vocational training,0.02365,34,74,-0.01121,0.05851
2021,North Rhine-Westphalia,3rd Quintile,University/ Technical university,0.06562,31,31,-0.02299,0.15423
2021,North Rhine-Westphalia,4th Quintile,University/ Technical university,0.03475,31,31,-0.03079,0.10029
2021,Baden-Wuerttemberg,1st Quintile,University/ Technical university,0.13163,36,67,0.05006,0.21319
2021,Baden-Wuerttemberg,1st Quintile,Vocational training,0.02625,31,67,-0.01232,0.06482
2021,Bavaria,1st Quintile,University/ Technical university,0.06243,36,36,-0.01772,0.14258
2022,Lower Saxony,1st Quintile,Vocational training,0.04653,49,49,-0.01306,0.10612
2022,North Rhine-Westphalia,1st Quintile,University/ Technical university,0.07953,76,133,0.03337,0.12569
2022,North Rhine-Westphalia,1st Quintile,Vocational training,0.02250,57,133,-0.00280,0.04781
2022,North Rhine-Westphalia,2nd Quintile,University/ Technical university,0.03484,31,31,-0.03078,0.10047
2022,North Rhine-Westphalia,5th Quintile,University/ Technical university,0.03506,33,33,-0.02867,0.09878
2022,Baden-Wuerttemberg,1st Quintile,University/ Technical university,0.15282,35,35,0.03187,0.27377
2022,Berlin,1st Quintile,University/ Technical university,0.08106,33,33,-0.01350,0.17562
