year,bula_h,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Saxony,University/ Technical university,0.33248,37,86,0.23233,0.43264
2015,Saxony,Vocational training,0.48751,49,86,0.38125,0.59378
2016,Schleswig-Holstein,Vocational training,0.30000,37,37,0.15030,0.44969
2016,Lower Saxony,General education,0.12152,41,302,0.08461,0.15843
2016,Lower Saxony,University/ Technical university,0.41870,97,302,0.36297,0.47444
2016,Lower Saxony,Vocational training,0.36620,123,302,0.31177,0.42063
2016,Lower Saxony,Further training/ Retraining,0.09357,41,302,0.06067,0.12648
2016,North Rhine-Westphalia,General education,0.14370,129,606,0.11575,0.17166
2016,North Rhine-Westphalia,University/ Technical university,0.43304,215,606,0.39355,0.47252
2016,North Rhine-Westphalia,Vocational training,0.33540,195,606,0.29778,0.37302
2016,North Rhine-Westphalia,Further training/ Retraining,0.08786,67,606,0.06530,0.11042
2016,Hesse,General education,0.12201,37,174,0.07324,0.17078
2016,Hesse,University/ Technical university,0.50039,81,174,0.42589,0.57490
2016,Hesse,Vocational training,0.27602,56,174,0.20941,0.34264
2016,"Rhineland-Palatinate, Saarland",General education,0.21787,38,136,0.14824,0.28751
2016,"Rhineland-Palatinate, Saarland",University/ Technical university,0.42360,50,136,0.34025,0.50696
2016,"Rhineland-Palatinate, Saarland",Vocational training,0.22899,48,136,0.15811,0.29987
2016,Baden-Wuerttemberg,General education,0.13190,51,296,0.09329,0.17052
2016,Baden-Wuerttemberg,University/ Technical university,0.42441,104,296,0.36801,0.48082
2016,Baden-Wuerttemberg,Vocational training,0.29283,94,296,0.24090,0.34475
2016,Baden-Wuerttemberg,Further training/ Retraining,0.15086,47,296,0.11001,0.19170
2016,Bavaria,General education,0.15386,64,369,0.11700,0.19073
2016,Bavaria,University/ Technical university,0.43145,124,369,0.38085,0.48205
2016,Bavaria,Vocational training,0.28846,144,369,0.24217,0.33475
2016,Bavaria,Further training/ Retraining,0.12623,37,369,0.09230,0.16016
2016,Berlin,University/ Technical university,0.62552,59,59,0.50096,0.75008
2016,Saxony,University/ Technical university,0.37351,43,85,0.27006,0.47695
2016,Saxony,Vocational training,0.38043,42,85,0.27661,0.48426
2017,Schleswig-Holstein,University/ Technical university,0.44497,35,81,0.33607,0.55387
2017,Schleswig-Holstein,Vocational training,0.37394,46,81,0.26791,0.47997
2017,Lower Saxony,General education,0.12646,58,351,0.09164,0.16128
2017,Lower Saxony,University/ Technical university,0.40349,113,351,0.35209,0.45489
2017,Lower Saxony,Vocational training,0.33146,131,351,0.28214,0.38077
2017,Lower Saxony,Further training/ Retraining,0.13859,49,351,0.10240,0.17479
2017,North Rhine-Westphalia,General education,0.15962,147,718,0.13282,0.18643
2017,North Rhine-Westphalia,University/ Technical university,0.41505,257,718,0.37898,0.45112
2017,North Rhine-Westphalia,Vocational training,0.32394,219,718,0.28968,0.35819
2017,North Rhine-Westphalia,Further training/ Retraining,0.10139,95,718,0.07929,0.12348
2017,Hesse,General education,0.16429,57,217,0.11487,0.21371
2017,Hesse,University/ Technical university,0.38960,84,217,0.32456,0.45463
2017,Hesse,Vocational training,0.36571,76,217,0.30148,0.42994
2017,"Rhineland-Palatinate, Saarland",General education,0.24218,36,145,0.17221,0.31216
2017,"Rhineland-Palatinate, Saarland",University/ Technical university,0.42578,60,145,0.34502,0.50654
2017,"Rhineland-Palatinate, Saarland",Vocational training,0.28057,49,145,0.20718,0.35395
2017,Baden-Wuerttemberg,General education,0.11246,57,333,0.07848,0.14644
2017,Baden-Wuerttemberg,University/ Technical university,0.46820,119,333,0.41453,0.52188
2017,Baden-Wuerttemberg,Vocational training,0.28583,112,333,0.23723,0.33443
2017,Baden-Wuerttemberg,Further training/ Retraining,0.13351,45,333,0.09692,0.17010
2017,Bavaria,General education,0.13960,76,466,0.10810,0.17110
2017,Bavaria,University/ Technical university,0.41093,163,466,0.36621,0.45564
2017,Bavaria,Vocational training,0.32085,169,466,0.27842,0.36328
2017,Bavaria,Further training/ Retraining,0.12863,58,466,0.09820,0.15906
2017,Berlin,University/ Technical university,0.75608,76,76,0.65889,0.85328
2017,Brandenburg,Vocational training,0.43084,31,31,0.25364,0.60804
2017,Saxony,General education,0.16929,35,134,0.10556,0.23303
2017,Saxony,University/ Technical university,0.47265,55,134,0.38780,0.55750
2017,Saxony,Vocational training,0.23050,44,134,0.15892,0.30208
2017,Saxony-Anhalt,Vocational training,0.36032,33,33,0.19397,0.52666
2017,Thuringa,University/ Technical university,0.47487,31,31,0.29617,0.65356
2018,Schleswig-Holstein,University/ Technical university,0.52849,36,71,0.41154,0.64543
2018,Schleswig-Holstein,Vocational training,0.34229,35,71,0.23114,0.45344
2018,Lower Saxony,General education,0.15554,68,348,0.11741,0.19367
2018,Lower Saxony,University/ Technical university,0.41413,113,348,0.36230,0.46595
2018,Lower Saxony,Vocational training,0.37143,133,348,0.32059,0.42227
2018,Lower Saxony,Further training/ Retraining,0.05890,34,348,0.03413,0.08367
2018,North Rhine-Westphalia,General education,0.15172,147,758,0.12616,0.17727
2018,North Rhine-Westphalia,University/ Technical university,0.43414,288,758,0.39884,0.46945
2018,North Rhine-Westphalia,Vocational training,0.29960,234,758,0.26696,0.33223
2018,North Rhine-Westphalia,Further training/ Retraining,0.11454,89,758,0.09186,0.13723
2018,Hesse,General education,0.15967,54,222,0.11137,0.20796
2018,Hesse,University/ Technical university,0.38649,78,222,0.32229,0.45070
2018,Hesse,Vocational training,0.34059,90,222,0.27811,0.40307
2018,"Rhineland-Palatinate, Saarland",General education,0.19699,36,143,0.13157,0.26241
2018,"Rhineland-Palatinate, Saarland",University/ Technical university,0.41188,53,143,0.33093,0.49283
2018,"Rhineland-Palatinate, Saarland",Vocational training,0.31150,54,143,0.23533,0.38767
2018,Baden-Wuerttemberg,General education,0.10007,45,270,0.06421,0.13594
2018,Baden-Wuerttemberg,University/ Technical university,0.56740,122,270,0.50819,0.62660
2018,Baden-Wuerttemberg,Vocational training,0.28063,103,270,0.22694,0.33432
2018,Bavaria,General education,0.11487,61,424,0.08449,0.14526
2018,Bavaria,University/ Technical university,0.38701,150,424,0.34059,0.43343
2018,Bavaria,Vocational training,0.33322,158,424,0.28830,0.37814
2018,Bavaria,Further training/ Retraining,0.16490,55,424,0.12953,0.20026
2018,Berlin,University/ Technical university,0.66501,73,73,0.55598,0.77403
2018,Saxony,University/ Technical university,0.51455,59,109,0.42029,0.60881
2018,Saxony,Vocational training,0.26809,50,109,0.18454,0.35163
2018,Saxony-Anhalt,University/ Technical university,0.56122,31,31,0.38365,0.73880
2018,Thuringa,University/ Technical university,0.57269,31,31,0.39567,0.74971
2019,Schleswig-Holstein,Vocational training,0.44527,42,42,0.29314,0.59740
2019,Lower Saxony,General education,0.14391,55,286,0.10316,0.18467
2019,Lower Saxony,University/ Technical university,0.43575,104,286,0.37818,0.49332
2019,Lower Saxony,Vocational training,0.35958,127,286,0.30387,0.41530
2019,North Rhine-Westphalia,General education,0.14629,120,701,0.12011,0.17247
2019,North Rhine-Westphalia,University/ Technical university,0.45732,267,701,0.42042,0.49423
2019,North Rhine-Westphalia,Vocational training,0.30441,245,701,0.27032,0.33850
2019,North Rhine-Westphalia,Further training/ Retraining,0.09198,69,701,0.07057,0.11339
2019,Hesse,General education,0.09645,33,180,0.05320,0.13970
2019,Hesse,University/ Technical university,0.49547,83,180,0.42223,0.56872
2019,Hesse,Vocational training,0.31649,64,180,0.24835,0.38462
2019,"Rhineland-Palatinate, Saarland",General education,0.14577,37,150,0.08911,0.20243
2019,"Rhineland-Palatinate, Saarland",University/ Technical university,0.35674,48,150,0.27982,0.43366
2019,"Rhineland-Palatinate, Saarland",Vocational training,0.38622,65,150,0.30804,0.46439
2019,Baden-Wuerttemberg,General education,0.13373,51,287,0.09428,0.17317
2019,Baden-Wuerttemberg,University/ Technical university,0.52585,133,287,0.46798,0.58372
2019,Baden-Wuerttemberg,Vocational training,0.27429,103,287,0.22258,0.32600
2019,Bavaria,General education,0.07380,46,386,0.04769,0.09992
2019,Bavaria,University/ Technical university,0.42206,150,386,0.37272,0.47139
2019,Bavaria,Vocational training,0.33308,144,386,0.28600,0.38016
2019,Bavaria,Further training/ Retraining,0.17106,46,386,0.13345,0.20868
2019,Berlin,University/ Technical university,0.67976,71,71,0.57046,0.78906
2019,Brandenburg,Vocational training,0.54402,34,34,0.37409,0.71396
2019,Saxony,University/ Technical university,0.43268,45,110,0.33967,0.52569
2019,Saxony,Vocational training,0.19244,34,110,0.11843,0.26645
2019,Saxony,Further training/ Retraining,0.15523,31,110,0.08725,0.22321
2020,Schleswig-Holstein,University/ Technical university,0.29305,31,76,0.19003,0.39606
2020,Schleswig-Holstein,Vocational training,0.49035,45,76,0.37721,0.60349
2020,Lower Saxony,General education,0.10915,40,254,0.07073,0.14758
2020,Lower Saxony,University/ Technical university,0.44007,87,254,0.37890,0.50124
2020,Lower Saxony,Vocational training,0.36737,127,254,0.30796,0.42677
2020,North Rhine-Westphalia,General education,0.09884,113,735,0.07725,0.12043
2020,North Rhine-Westphalia,University/ Technical university,0.48480,277,735,0.44865,0.52096
2020,North Rhine-Westphalia,Vocational training,0.31725,273,735,0.28358,0.35092
2020,North Rhine-Westphalia,Further training/ Retraining,0.09911,72,735,0.07749,0.12072
2020,Hesse,General education,0.07538,40,227,0.04096,0.10980
2020,Hesse,University/ Technical university,0.52804,98,227,0.46296,0.59313
2020,Hesse,Vocational training,0.29418,89,227,0.23477,0.35359
2020,"Rhineland-Palatinate, Saarland",University/ Technical university,0.39276,48,107,0.29979,0.48573
2020,"Rhineland-Palatinate, Saarland",Vocational training,0.40721,59,107,0.31368,0.50075
2020,Baden-Wuerttemberg,General education,0.08832,55,354,0.05871,0.11792
2020,Baden-Wuerttemberg,University/ Technical university,0.52520,136,354,0.47311,0.57730
2020,Baden-Wuerttemberg,Vocational training,0.30564,127,354,0.25758,0.35369
2020,Baden-Wuerttemberg,Further training/ Retraining,0.08085,36,354,0.05241,0.10928
2020,Bavaria,General education,0.07962,46,430,0.05400,0.10524
2020,Bavaria,University/ Technical university,0.46315,161,430,0.41597,0.51034
2020,Bavaria,Vocational training,0.36889,185,430,0.32323,0.41455
2020,Bavaria,Further training/ Retraining,0.08834,38,430,0.06149,0.11519
2020,Berlin,University/ Technical university,0.63186,76,76,0.52271,0.74102
2020,Brandenburg,Vocational training,0.46018,31,31,0.28182,0.63853
2020,Saxony,University/ Technical university,0.41549,42,89,0.31253,0.51846
2020,Saxony,Vocational training,0.28743,47,89,0.19287,0.38198
2021,Schleswig-Holstein,Vocational training,0.26651,33,33,0.11332,0.41970
2021,Lower Saxony,General education,0.19965,39,175,0.14026,0.25905
2021,Lower Saxony,University/ Technical university,0.41634,65,175,0.34309,0.48959
2021,Lower Saxony,Vocational training,0.32294,71,175,0.25346,0.39242
2021,North Rhine-Westphalia,General education,0.07856,59,487,0.05464,0.10248
2021,North Rhine-Westphalia,University/ Technical university,0.60872,219,487,0.56533,0.65211
2021,North Rhine-Westphalia,Vocational training,0.22720,161,487,0.18995,0.26446
2021,North Rhine-Westphalia,Further training/ Retraining,0.08551,48,487,0.06065,0.11037
2021,Hesse,University/ Technical university,0.53133,58,117,0.44052,0.62214
2021,Hesse,Vocational training,0.25321,59,117,0.17408,0.33235
2021,"Rhineland-Palatinate, Saarland",University/ Technical university,0.41194,45,45,0.26651,0.55737
2021,Baden-Wuerttemberg,General education,0.05999,35,222,0.02868,0.09129
2021,Baden-Wuerttemberg,University/ Technical university,0.59549,109,222,0.53078,0.66020
2021,Baden-Wuerttemberg,Vocational training,0.24205,78,222,0.18558,0.29852
2021,Bavaria,General education,0.07451,34,258,0.04241,0.10662
2021,Bavaria,University/ Technical university,0.57503,132,258,0.51459,0.63547
2021,Bavaria,Vocational training,0.25697,92,258,0.20354,0.31039
2021,Berlin,University/ Technical university,0.80892,64,64,0.71184,0.90601
2021,Saxony,University/ Technical university,0.53442,45,45,0.38703,0.68181
2022,Schleswig-Holstein,University/ Technical university,0.48105,37,76,0.36797,0.59413
2022,Schleswig-Holstein,Vocational training,0.36846,39,76,0.25929,0.47764
2022,Hamburg,University/ Technical university,0.45615,48,48,0.31376,0.59855
2022,Lower Saxony,General education,0.09849,35,297,0.06455,0.13244
2022,Lower Saxony,University/ Technical university,0.52153,120,297,0.46463,0.57844
2022,Lower Saxony,Vocational training,0.21847,101,297,0.17140,0.26555
2022,Lower Saxony,Further training/ Retraining,0.16150,41,297,0.11958,0.20342
2022,North Rhine-Westphalia,General education,0.07623,83,794,0.05776,0.09470
2022,North Rhine-Westphalia,University/ Technical university,0.58379,365,794,0.54948,0.61810
2022,North Rhine-Westphalia,Vocational training,0.23733,241,794,0.20772,0.26694
2022,North Rhine-Westphalia,Further training/ Retraining,0.10264,105,794,0.08152,0.12377
2022,Hesse,University/ Technical university,0.67483,114,226,0.61362,0.73604
2022,Hesse,Vocational training,0.15407,71,226,0.10690,0.20125
2022,Hesse,Further training/ Retraining,0.11111,41,226,0.07004,0.15217
2022,"Rhineland-Palatinate, Saarland",University/ Technical university,0.47335,75,121,0.38402,0.56268
2022,"Rhineland-Palatinate, Saarland",Vocational training,0.24550,46,121,0.16849,0.32250
2022,Baden-Wuerttemberg,University/ Technical university,0.60337,212,388,0.55463,0.65211
2022,Baden-Wuerttemberg,Vocational training,0.25065,125,388,0.20747,0.29383
2022,Baden-Wuerttemberg,Further training/ Retraining,0.10843,51,388,0.07745,0.13941
2022,Bavaria,General education,0.06194,31,484,0.04044,0.08344
2022,Bavaria,University/ Technical university,0.58652,243,484,0.54260,0.63044
2022,Bavaria,Vocational training,0.24767,141,484,0.20917,0.28616
2022,Bavaria,Further training/ Retraining,0.10387,69,484,0.07667,0.13108
2022,Berlin,University/ Technical university,0.75503,126,163,0.68880,0.82125
2022,Berlin,Further training/ Retraining,0.11364,37,163,0.06477,0.16252
2022,Brandenburg,University/ Technical university,0.35064,38,38,0.19688,0.50439
2022,Saxony,University/ Technical university,0.59592,75,132,0.51188,0.67995
2022,Saxony,Vocational training,0.21908,57,132,0.14825,0.28991
2022,Saxony-Anhalt,University/ Technical university,0.73133,56,91,0.63975,0.82291
2022,Saxony-Anhalt,Vocational training,0.15816,35,91,0.08277,0.23354
2022,Thuringa,University/ Technical university,0.46438,39,80,0.35440,0.57436
2022,Thuringa,Vocational training,0.39256,41,80,0.28488,0.50025
