year,bula_h,sex,plg0267_h,proportion,n,lower_confidence,upper_confidence
2014,Schleswig-Holstein,maennlich,Berufliche Ausbildung,0.002851033499643621,38694,0.002319763319920851,0.003382303679366391
2014,Hamburg,maennlich,Allgemeinbildende Schule,0.0024946543121881683,38694,0.0019976077661506184,0.0029917008582257183
2014,Hamburg,maennlich,Hochschule,0.0024946543121881683,38694,0.0019976077661506184,0.0029917008582257183
2014,Mecklenburg-Vorpommern,maennlich,Hochschule,0.0024946543121881683,38694,0.0019976077661506184,0.0029917008582257183
2014,"Rheinland-Pfalz,Saarland",maennlich,Weiterbildung / Umschulung,0.0024946543121881683,38694,0.0019976077661506184,0.0029917008582257183
2014,Brandenburg,weiblich,Allgemeinbildende Schule,0.0024946543121881683,38694,0.0019976077661506184,0.0029917008582257183
2014,Thüringen,weiblich,Allgemeinbildende Schule,0.0024946543121881683,38694,0.0019976077661506184,0.0029917008582257183
2014,Brandenburg,weiblich,Hochschule,0.0021382751247327157,38694,0.0016780172456420427,0.0025985330038233887
2014,Bremen,maennlich,Allgemeinbildende Schule,0.0021382751247327157,38694,0.0016780172456420427,0.0025985330038233887
2014,Niedersachsen,maennlich,Weiterbildung / Umschulung,0.0021382751247327157,38694,0.0016780172456420427,0.0025985330038233887
2014,Sachsen,maennlich,Weiterbildung / Umschulung,0.0021382751247327157,38694,0.0016780172456420427,0.0025985330038233887
2014,Mecklenburg-Vorpommern,weiblich,Hochschule,0.0021382751247327157,38694,0.0016780172456420427,0.0025985330038233887
2014,Bremen,maennlich,Hochschule,0.001781895937277263,38694,0.0013616648783653556,0.0022021269961891706
2014,Bremen,maennlich,Berufliche Ausbildung,0.001781895937277263,38694,0.0013616648783653556,0.0022021269961891706
2014,Mecklenburg-Vorpommern,weiblich,Weiterbildung / Umschulung,0.001781895937277263,38694,0.0013616648783653556,0.0022021269961891706
2014,Bremen,weiblich,Weiterbildung / Umschulung,0.001781895937277263,38694,0.0013616648783653556,0.0022021269961891706
2014,"Rheinland-Pfalz,Saarland",maennlich,Allgemeinbildende Schule,0.001781895937277263,38694,0.0013616648783653556,0.0022021269961891706
2014,Sachsen,maennlich,Allgemeinbildende Schule,0.001781895937277263,38694,0.0013616648783653556,0.0022021269961891706
2014,Berlin,maennlich,Weiterbildung / Umschulung,0.001781895937277263,38694,0.0013616648783653556,0.0022021269961891706
2014,Brandenburg,maennlich,Weiterbildung / Umschulung,0.001781895937277263,38694,0.0013616648783653556,0.0022021269961891706
2014,Mecklenburg-Vorpommern,weiblich,Allgemeinbildende Schule,0.001781895937277263,38694,0.0013616648783653556,0.0022021269961891706
2014,Thüringen,weiblich,Weiterbildung / Umschulung,0.001781895937277263,38694,0.0013616648783653556,0.0022021269961891706
2014,Berlin,maennlich,Allgemeinbildende Schule,0.001781895937277263,38694,0.0013616648783653556,0.0022021269961891706
2014,Hamburg,maennlich,Berufliche Ausbildung,0.001781895937277263,38694,0.0013616648783653556,0.0022021269961891706
2014,Brandenburg,maennlich,Hochschule,0.0014255167498218105,38694,0.001049583575234366,0.001801449924409255
2014,Schleswig-Holstein,maennlich,Weiterbildung / Umschulung,0.0014255167498218105,38694,0.001049583575234366,0.001801449924409255
2014,Sachsen-Anhalt,weiblich,Allgemeinbildende Schule,0.0014255167498218105,38694,0.001049583575234366,0.001801449924409255
2014,Mecklenburg-Vorpommern,maennlich,Allgemeinbildende Schule,0.0010691375623663579,38694,0.000743511792642036,0.0013947633320906799
