year,age_gr,quintil_oecd,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2018,17-29 y.,3rd Quintile,General education,0.09273,86,338,0.06176,0.12369
2018,17-29 y.,3rd Quintile,University/ Technical university,0.18030,138,338,0.13925,0.22135
2018,17-29 y.,3rd Quintile,Vocational training,0.13849,114,338,0.10161,0.17537
2018,17-29 y.,4th Quintile,General education,0.07048,64,311,0.04199,0.09897
2018,17-29 y.,4th Quintile,University/ Technical university,0.19852,145,311,0.15411,0.24292
2018,17-29 y.,4th Quintile,Vocational training,0.12994,102,311,0.09251,0.16737
2018,17-29 y.,5th Quintile,General education,0.07781,58,256,0.04493,0.11069
2018,17-29 y.,5th Quintile,University/ Technical university,0.24319,130,256,0.19053,0.29584
2018,17-29 y.,5th Quintile,Vocational training,0.13501,68,256,0.09307,0.17696
2018,30-45 y.,1st Quintile,University/ Technical university,0.06576,48,171,0.02850,0.10301
2018,30-45 y.,1st Quintile,Vocational training,0.01735,58,171,-0.00228,0.03698
2018,30-45 y.,1st Quintile,Further training/ Retraining,0.03123,65,171,0.00508,0.05738
2018,30-45 y.,2nd Quintile,University/ Technical university,0.04261,49,49,-0.01453,0.09974
2019,17-29 y.,1st Quintile,General education,0.04983,149,739,0.03413,0.06552
2019,17-29 y.,1st Quintile,University/ Technical university,0.26887,275,739,0.23688,0.30086
2019,17-29 y.,1st Quintile,Vocational training,0.16334,315,739,0.13667,0.19001
2019,17-29 y.,2nd Quintile,General education,0.08273,96,418,0.05629,0.10917
2019,17-29 y.,2nd Quintile,University/ Technical university,0.14555,131,418,0.11171,0.17940
2019,17-29 y.,2nd Quintile,Vocational training,0.14481,191,418,0.11103,0.17859
2019,17-29 y.,3rd Quintile,General education,0.06424,62,317,0.03721,0.09128
2019,17-29 y.,3rd Quintile,University/ Technical university,0.13800,131,317,0.09997,0.17603
2019,17-29 y.,3rd Quintile,Vocational training,0.16223,124,317,0.12158,0.20287
2019,17-29 y.,4th Quintile,General education,0.06485,54,278,0.03585,0.09385
2019,17-29 y.,4th Quintile,University/ Technical university,0.20155,133,278,0.15431,0.24879
2019,17-29 y.,4th Quintile,Vocational training,0.12142,91,278,0.08296,0.15989
2019,17-29 y.,5th Quintile,General education,0.09377,54,224,0.05551,0.13203
2019,17-29 y.,5th Quintile,University/ Technical university,0.18437,117,224,0.13347,0.23526
2019,17-29 y.,5th Quintile,Vocational training,0.11522,53,224,0.07331,0.15713
2019,30-45 y.,1st Quintile,University/ Technical university,0.05954,49,161,0.02287,0.09621
2019,30-45 y.,1st Quintile,Vocational training,0.02448,67,161,0.00054,0.04843
2019,30-45 y.,1st Quintile,Further training/ Retraining,0.02707,45,161,0.00192,0.05221
2019,30-45 y.,3rd Quintile,University/ Technical university,0.02210,31,31,-0.03051,0.07470
2020,17-29 y.,1st Quintile,General education,0.05005,119,687,0.03373,0.06636
2020,17-29 y.,1st Quintile,University/ Technical university,0.26709,280,687,0.23398,0.30019
2020,17-29 y.,1st Quintile,Vocational training,0.15036,288,687,0.12362,0.17711
2020,17-29 y.,2nd Quintile,General education,0.07201,85,388,0.04626,0.09777
2020,17-29 y.,2nd Quintile,University/ Technical university,0.15917,138,388,0.12272,0.19562
2020,17-29 y.,2nd Quintile,Vocational training,0.17866,165,388,0.14049,0.21682
2020,17-29 y.,3rd Quintile,General education,0.06556,66,318,0.03831,0.09281
2020,17-29 y.,3rd Quintile,University/ Technical university,0.22683,130,318,0.18073,0.27293
2020,17-29 y.,3rd Quintile,Vocational training,0.14349,122,318,0.10490,0.18209
2020,17-29 y.,4th Quintile,General education,0.05450,57,297,0.02864,0.08036
2020,17-29 y.,4th Quintile,University/ Technical university,0.17663,145,297,0.13319,0.22008
2020,17-29 y.,4th Quintile,Vocational training,0.16696,95,297,0.12447,0.20945
2020,17-29 y.,5th Quintile,General education,0.05389,60,268,0.02680,0.08097
2020,17-29 y.,5th Quintile,University/ Technical university,0.20430,145,268,0.15594,0.25266
2020,17-29 y.,5th Quintile,Vocational training,0.10977,63,268,0.07227,0.14727
2020,30-45 y.,1st Quintile,University/ Technical university,0.04577,56,158,0.01308,0.07846
2020,30-45 y.,1st Quintile,Vocational training,0.02441,66,158,0.00027,0.04855
2020,30-45 y.,1st Quintile,Further training/ Retraining,0.02861,36,158,0.00253,0.05469
2020,30-45 y.,2nd Quintile,University/ Technical university,0.03756,33,33,-0.02832,0.10344
2020,30-45 y.,3rd Quintile,University/ Technical university,0.03762,31,31,-0.03047,0.10571
2021,17-29 y.,1st Quintile,General education,0.04234,82,565,0.02572,0.05895
2021,17-29 y.,1st Quintile,University/ Technical university,0.31771,268,565,0.27929,0.35614
2021,17-29 y.,1st Quintile,Vocational training,0.12122,215,565,0.09428,0.14815
2021,17-29 y.,2nd Quintile,General education,0.06698,52,270,0.03711,0.09686
2021,17-29 y.,2nd Quintile,University/ Technical university,0.20463,112,270,0.15642,0.25284
2021,17-29 y.,2nd Quintile,Vocational training,0.14017,106,270,0.09869,0.18166
2021,17-29 y.,3rd Quintile,General education,0.04697,37,219,0.01889,0.07506
2021,17-29 y.,3rd Quintile,University/ Technical university,0.22737,94,219,0.17173,0.28301
2021,17-29 y.,3rd Quintile,Vocational training,0.12411,88,219,0.08034,0.16788
2021,17-29 y.,4th Quintile,General education,0.06919,40,205,0.03436,0.10402
2021,17-29 y.,4th Quintile,University/ Technical university,0.22686,114,205,0.16939,0.28433
2021,17-29 y.,4th Quintile,Vocational training,0.11406,51,205,0.07044,0.15768
2021,17-29 y.,5th Quintile,General education,0.06461,38,178,0.02839,0.10083
2021,17-29 y.,5th Quintile,University/ Technical university,0.26186,98,178,0.19709,0.32663
2021,17-29 y.,5th Quintile,Vocational training,0.10431,42,178,0.05928,0.14934
2021,30-45 y.,1st Quintile,University/ Technical university,0.04849,47,95,0.00507,0.09191
2021,30-45 y.,1st Quintile,Vocational training,0.02553,48,95,-0.00636,0.05741
2022,17-29 y.,1st Quintile,General education,0.04841,70,515,0.02985,0.06696
2022,17-29 y.,1st Quintile,University/ Technical university,0.35464,261,515,0.31328,0.39600
2022,17-29 y.,1st Quintile,Vocational training,0.10047,184,515,0.07448,0.12646
2022,17-29 y.,2nd Quintile,General education,0.03413,41,230,0.01061,0.05764
2022,17-29 y.,2nd Quintile,University/ Technical university,0.24747,104,230,0.19157,0.30336
2022,17-29 y.,2nd Quintile,Vocational training,0.12454,85,230,0.08177,0.16730
2022,17-29 y.,3rd Quintile,University/ Technical university,0.21458,85,161,0.15097,0.27820
2022,17-29 y.,3rd Quintile,Vocational training,0.14858,76,161,0.09347,0.20369
2022,17-29 y.,4th Quintile,General education,0.04837,37,145,0.01333,0.08341
2022,17-29 y.,4th Quintile,University/ Technical university,0.19035,72,145,0.12623,0.25447
2022,17-29 y.,4th Quintile,Vocational training,0.07819,36,145,0.03434,0.12205
2022,17-29 y.,5th Quintile,University/ Technical university,0.29295,102,136,0.21618,0.36973
2022,17-29 y.,5th Quintile,Vocational training,0.10860,34,136,0.05611,0.16108
2022,30-45 y.,1st Quintile,University/ Technical university,0.06300,41,84,0.01073,0.11527
2022,30-45 y.,1st Quintile,Vocational training,0.02508,43,84,-0.00856,0.05872
