"year","regtyp","sampreg","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2014","Staedtischer Raum","Westdeutschland","7.19","7.5","15631","7.15","7.23"
"2015","Laendlicher Raum","Ostdeutschland","7.14","7.5","3400","7.07","7.21"
"2015","Laendlicher Raum","Westdeutschland","7.28","7.5","5458","7.22","7.34"
"2015","Staedtischer Raum","Ostdeutschland","7.2","7.5","1825","7.11","7.29"
"2015","Staedtischer Raum","Westdeutschland","7.2","7.5","14261","7.16","7.24"
"2016","Laendlicher Raum","Ostdeutschland","7.19","7.5","3257","7.12","7.26"
"2016","Laendlicher Raum","Westdeutschland","7.31","7.5","5233","7.25","7.37"
"2016","Staedtischer Raum","Ostdeutschland","7.15","6.5","1751","7.06","7.24"
"2016","Staedtischer Raum","Westdeutschland","7.19","7.5","13828","7.15","7.23"
"2017","Laendlicher Raum","Ostdeutschland","7.15","7.5","3624","7.08","7.22"
"2017","Laendlicher Raum","Westdeutschland","7.33","7.5","5744","7.28","7.38"
"2017","Staedtischer Raum","Ostdeutschland","7.18","7.5","1942","7.09","7.27"
"2017","Staedtischer Raum","Westdeutschland","7.19","7.5","15034","7.16","7.22"
"2018","Laendlicher Raum","Ostdeutschland","7.08","6.5","3550","7.01","7.15"
"2018","Laendlicher Raum","Westdeutschland","7.25","7.5","5413","7.19","7.31"
"2018","Staedtischer Raum","Ostdeutschland","7.1","7.5","1908","7.01","7.19"
"2018","Staedtischer Raum","Westdeutschland","7.16","7.5","14613","7.12","7.2"
"2019","Laendlicher Raum","Ostdeutschland","7.15","7.5","3574","7.08","7.22"
"2019","Laendlicher Raum","Westdeutschland","7.33","7.5","5271","7.27","7.39"
"2019","Staedtischer Raum","Ostdeutschland","7.18","7.5","1894","7.09","7.27"
"2019","Staedtischer Raum","Westdeutschland","7.28","7.5","14448","7.24","7.32"
"2020","Laendlicher Raum","Ostdeutschland","7.22","7.5","3423","7.15","7.29"
"2020","Laendlicher Raum","Westdeutschland","7.17","7.5","5269","7.11","7.23"
"2020","Staedtischer Raum","Ostdeutschland","7.13","6.5","1909","7.04","7.22"
"2020","Staedtischer Raum","Westdeutschland","7.18","7.5","15054","7.15","7.21"
