year,sampreg,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1998,West,7.107655524701073,7.086262281876373,7.129048767525773,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0,10308.0
1998,East,6.717486048355501,6.6831496744270655,6.7518224222839365,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,3838.0
1999,West,7.116811272670104,7.094795907814208,7.138826637525999,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,9820.0
1999,East,6.789772477563719,6.755490207930627,6.824054747196811,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,3764.0
2000,West,7.201972027768896,7.1858655761601335,7.218078479377659,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,18180.0
2000,East,6.850235783566938,6.822229878796371,6.878241688337505,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5819.0
2001,West,7.190573342493232,7.173746762641425,7.207399922345038,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,16406.0
2001,East,6.9597928962338305,6.9315123548939015,6.988073437573759,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5412.0
2002,West,7.103244209797415,7.087216930819088,7.119271488775742,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0,17507.0
2002,East,6.973058753023087,6.9451495853368606,7.000967920709314,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,5399.0
2003,West,7.15712280131215,7.140958659729793,7.173286942894507,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,16754.0
2003,East,6.882088064405372,6.854048224389622,6.910127904421122,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5326.0
2004,West,7.087791712407881,7.071270175404407,7.104313249411356,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0,16279.0
2004,East,6.932619496824449,6.90461715182805,6.960621841820848,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,5191.0
2005,West,7.070977083333906,7.053614119703362,7.08834004696445,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0,15583.0
2005,East,6.879898080544241,6.849984794634826,6.909811366453657,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5004.0
2006,West,7.025272528803295,7.008217430189866,7.042327627416723,5.0,7.0,9.0,0.0,10.0,7.0,6.0,7.0,16614.0
2006,East,6.801631677020854,6.772628010248441,6.830635343793267,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5253.0
2007,West,7.002358813590451,6.9850215038819705,7.019696123298932,6.0,7.0,9.0,1.5,10.0,7.0,6.0,7.0,15433.0
2007,East,6.796014816976478,6.766699348227506,6.82533028572545,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,4985.0
2008,West,7.125666148051025,7.108534044676353,7.142798251425696,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,14503.0
2008,East,6.957115606219115,6.928482293568852,6.985748918869378,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,4756.0
2009,West,7.097427138466981,7.079546199328128,7.1153080776058335,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0,13434.0
2009,East,6.927413533507585,6.897900070663453,6.956926996351718,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,4522.0
2010,West,7.089017244867794,7.073635582010526,7.104398907725061,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0,18443.0
2010,East,6.912970937466436,6.884780458932533,6.941161416000338,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5453.0
2011,West,7.2131832829002605,7.195482873485713,7.230883692314808,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,13740.0
2011,East,7.036740033910327,7.006156201433169,7.067323866387485,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0,4370.0
2012,West,7.246523395716586,7.229548939236212,7.263497852196961,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,14617.0
2012,East,7.070533636558286,7.040048159457188,7.101019113659384,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0,4583.0
2013,West,7.324465763634343,7.3073513042944445,7.341580222974242,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,14213.0
2013,East,7.124401690567873,7.0932860482135505,7.155517332922195,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0,4406.0
2014,West,7.205376558016387,7.191285766732008,7.219467349300766,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,21439.0
2014,East,7.132410474286733,7.106175479286397,7.158645469287069,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0,5561.0
2015,West,7.224439414845974,7.210008300576517,7.238870529115431,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,19719.0
2015,East,7.1576360528259215,7.130324386964345,7.184947718687498,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0,5225.0
2016,West,7.221385677136292,7.20672831351781,7.236043040754773,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,19061.0
2016,East,7.174324203455096,7.147187803999638,7.2014606029105535,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,5008.0
2017,West,7.222171812128475,7.208436711566403,7.235906912690547,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,20778.0
2017,East,7.162560017484885,7.136301451158244,7.188818583811526,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,5566.0
2018,West,7.18286048364359,7.168501270219521,7.197219697067658,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,20026.0
2018,East,7.082406978985025,7.056310639874969,7.108503318095082,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0,5458.0
2019,West,7.297145053119198,7.283161291354529,7.311128814883868,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,20045.0
2019,East,7.169166793845272,7.143238719616362,7.1950948680741815,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0,5518.0
2020,West,7.180561995062943,7.166301850092123,7.1948221400337635,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,20247.0
2020,East,7.186303524764199,7.160121842725169,7.212485206803229,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0,5303.0
2021,West,7.15291125883206,7.1359214520820915,7.169901065582029,6.0,7.0,9.0,1.5,10.0,7.0,6.0,7.0,13554.0
2021,East,7.182577575847769,7.1519015788420335,7.213253572853504,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0,3614.0
