"plh0184","year","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Selten","2016","Staedtischer Raum","4082","0.268556609871167","0.261602773177851","0.275510446564484"
"Manchmal","2017","Laendlicher Raum","3792","0.406289920829854","0.396352828463385","0.416227013196322"
"Manchmal","2017","Staedtischer Raum","6831","0.391338548736542","0.384001635349566","0.398675462123518"
"Oft","2017","Laendlicher Raum","1551","","",""
"Oft","2017","Staedtischer Raum","2867","","",""
"Sehr oft","2017","Laendlicher Raum","380","0.0407892081419363","0.0367871466554101","0.0447912696284625"
"Sehr oft","2017","Staedtischer Raum","748","0.0435479054650457","0.040479841388728","0.0466159695413635"
"Sehr selten","2017","Laendlicher Raum","1014","","",""
"Sehr selten","2017","Staedtischer Raum","1968","","",""
"Selten","2017","Laendlicher Raum","2647","","",""
"Selten","2017","Staedtischer Raum","4584","0.275879979701492","0.269160826418294","0.28259913298469"
"Manchmal","2018","Laendlicher Raum","3554","0.387200246424389","0.377124871669643","0.397275621179135"
"Manchmal","2018","Staedtischer Raum","6494","0.396268384381457","0.388818306314701","0.403718462448213"
"Oft","2018","Laendlicher Raum","1443","","",""
"Oft","2018","Staedtischer Raum","2894","","",""
"Sehr oft","2018","Laendlicher Raum","365","0.0395439287880886","0.0355129290866007","0.0435749284895764"
"Sehr oft","2018","Staedtischer Raum","781","0.0434752759755901","0.0403691903363391","0.0465813616148411"
"Sehr selten","2018","Laendlicher Raum","1002","","",""
"Sehr selten","2018","Staedtischer Raum","1952","","",""
"Selten","2018","Laendlicher Raum","2615","","",""
"Selten","2018","Staedtischer Raum","4437","0.270979324011037","0.264209425591861","0.277749222430213"
"Manchmal","2019","Laendlicher Raum","3478","0.395403227054848","0.385220648110576","0.40558580599912"
"Manchmal","2019","Staedtischer Raum","6318","0.382520713871514","0.375078707270719","0.38996272047231"
"Oft","2019","Laendlicher Raum","1406","","",""
"Oft","2019","Staedtischer Raum","2701","","",""
"Sehr oft","2019","Laendlicher Raum","348","0.0352119125995756","0.0313733772670824","0.0390504479320689"
"Sehr oft","2019","Staedtischer Raum","710","0.0381820325490932","0.0352475783190041","0.0411164867791824"
"Sehr selten","2019","Laendlicher Raum","1056","","",""
"Sehr selten","2019","Staedtischer Raum","2053","","",""
"Selten","2019","Laendlicher Raum","2569","","",""
"Selten","2019","Staedtischer Raum","4601","0.292970577097517","0.286001390025999","0.299939764169034"
"Manchmal","2020","Laendlicher Raum","3535","0.41836846477489","0.408013631704696","0.428723297845084"
"Manchmal","2020","Staedtischer Raum","6635","0.402855391347177","0.39548379830398","0.410226984390373"
"Oft","2020","Laendlicher Raum","1408","","",""
"Oft","2020","Staedtischer Raum","2836","","",""
"Sehr oft","2020","Laendlicher Raum","331","0.0429158703245283","0.0386616137540783","0.0471701268949782"
"Sehr oft","2020","Staedtischer Raum","705","0.0396738058086382","0.0367401556478088","0.0426074559694676"
"Sehr selten","2020","Laendlicher Raum","1028","","",""
"Sehr selten","2020","Staedtischer Raum","2199","","",""
"Selten","2020","Laendlicher Raum","2416","","",""
"Selten","2020","Staedtischer Raum","4631","0.274550900763952","0.267843381741492","0.281258419786412"
