year,pgisced97,quintil_oecd,plh0184,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2008,Lower Secondary Level,5th Quintile,Sometimes,0.0033774808888387066,60,17930,0.0033631606281564865,0.0033918011495209267
2008,Upper Secondary Level,1st Quintile,Very seldom,0.00989547881123395,142,17930,0.009871047428115474,0.009919910194352427
2008,Upper Secondary Level,1st Quintile,Seldom,0.025757408166527027,397,17930,0.025718308436225513,0.025796507896828542
2008,Upper Secondary Level,1st Quintile,Sometimes,0.042114504241400064,647,17930,0.042064929350098514,0.042164079132701614
2008,Upper Secondary Level,1st Quintile,Often,0.023311771016741964,348,17930,0.023274527152342763,0.023349014881141165
2008,Upper Secondary Level,1st Quintile,Very often,0.005588164583912741,90,17930,0.005569765048287029,0.0056065641195384526
2008,Upper Secondary Level,2nd Quintile,Very seldom,0.013497272320396814,208,17930,0.013468790924145666,0.013525753716647963
2008,Upper Secondary Level,2nd Quintile,Seldom,0.027603929611706768,458,17930,0.027563491005453813,0.027644368217959722
2008,Upper Secondary Level,2nd Quintile,Sometimes,0.048837360348553946,840,17930,0.0487841626788603,0.04889055801824759
2008,Upper Secondary Level,2nd Quintile,Often,0.02290153924122514,355,17930,0.022864616781397794,0.022938461701052484
2008,Upper Secondary Level,2nd Quintile,Very often,0.0060389519923757535,109,17930,0.006019829055259895,0.006058074929491612
2008,Upper Secondary Level,3rd Quintile,Very seldom,0.01311952285824934,226,17930,0.013091437470459816,0.013147608246038863
2008,Upper Secondary Level,3rd Quintile,Seldom,0.028554003023084553,501,17930,0.02851289449207674,0.028595111554092365
2008,Upper Secondary Level,3rd Quintile,Sometimes,0.05199237440489271,876,17930,0.05193757638486769,0.05204717242491773
2008,Upper Secondary Level,3rd Quintile,Often,0.02272475593490068,391,17930,0.022687972931421347,0.022761538938380014
2008,Upper Secondary Level,3rd Quintile,Very often,0.0045413210794441545,87,17930,0.004524725521861914,0.004557916637026395
2008,Upper Secondary Level,4th Quintile,Very seldom,0.012131128138579998,213,17930,0.012104107888068335,0.01215814838909166
2008,Upper Secondary Level,4th Quintile,Seldom,0.03031807187808141,522,17930,0.030275751010159446,0.030360392746003377
2008,Upper Secondary Level,4th Quintile,Sometimes,0.05670047468091697,939,17930,0.05664339161630666,0.05675755774552728
2008,Upper Secondary Level,4th Quintile,Often,0.02116164800237361,358,17930,0.02112612420719694,0.02119717179755028
2008,Upper Secondary Level,4th Quintile,Very often,0.005552912399408618,90,17930,0.005534570665996424,0.005571254132820813
2008,Upper Secondary Level,5th Quintile,Very seldom,0.008129305989653727,197,17930,0.008107142232119217,0.008151469747188236
2008,Upper Secondary Level,5th Quintile,Seldom,0.023427092712673542,489,17930,0.023389759044797603,0.02346442638054948
2008,Upper Secondary Level,5th Quintile,Sometimes,0.04174455548870229,861,17930,0.04169518928921566,0.04179392168818892
2008,Upper Secondary Level,5th Quintile,Often,0.013207122213450427,294,17930,0.013178944468932667,0.013235299957968188
2008,Upper Secondary Level,5th Quintile,Very often,0.0036063826841827937,66,17930,0.003591586814461038,0.0036211785539045495
2008,Post-secondary Non-tertiary Level,1st Quintile,Seldom,0.0019887474928739234,34,17930,0.00197775119065797,0.0019997437950898768
2008,Post-secondary Non-tertiary Level,1st Quintile,Sometimes,0.00425813735857405,52,17930,0.004242065269079439,0.004274209448068661
2008,Post-secondary Non-tertiary Level,1st Quintile,Often,0.0023734414561660086,32,17930,0.002361430920182392,0.0023854519921496253
2008,Post-secondary Non-tertiary Level,2nd Quintile,Seldom,0.0018627870241794708,31,17930,0.0018521439803307028,0.0018734300680282388
2008,Post-secondary Non-tertiary Level,2nd Quintile,Sometimes,0.005573724176497238,80,17930,0.005555348295999318,0.005592100056995159
2008,Post-secondary Non-tertiary Level,2nd Quintile,Often,0.002515475455655438,39,17930,0.0025031116476891485,0.0025278392636217274
2008,Post-secondary Non-tertiary Level,3rd Quintile,Seldom,0.002993596509432057,52,17930,0.00298011201304076,0.0030070810058233544
2008,Post-secondary Non-tertiary Level,3rd Quintile,Sometimes,0.004716600668941641,76,17930,0.0046996893663650875,0.004733511971518195
2008,Post-secondary Non-tertiary Level,3rd Quintile,Often,0.003503610410701009,44,17930,0.003489026134029635,0.003518194687372383
2008,Post-secondary Non-tertiary Level,4th Quintile,Seldom,0.0027755929343016897,45,17930,0.0027626072912167237,0.0027885785773866557
2008,Post-secondary Non-tertiary Level,4th Quintile,Sometimes,0.007176135701857764,123,17930,0.007155301803029386,0.0071969696006861416
2008,Post-secondary Non-tertiary Level,4th Quintile,Often,0.003538768870606446,66,17930,0.0035241118591253628,0.0035534258820875296
2008,Post-secondary Non-tertiary Level,5th Quintile,Very seldom,0.0016944089588955573,35,17930,0.0016842574640863759,0.0017045604537047386
2008,Post-secondary Non-tertiary Level,5th Quintile,Seldom,0.002757882632638626,72,17930,0.0027449383698349046,0.0027708268954423475
2008,Post-secondary Non-tertiary Level,5th Quintile,Sometimes,0.006940113057223991,137,17930,0.00691962220042945,0.006960603914018531
2008,Post-secondary Non-tertiary Level,5th Quintile,Often,0.0032223834881780922,68,17930,0.003208394803656039,0.0032363721727001454
2008,First Stage of Tertiary Education,1st Quintile,Sometimes,0.0033923537615344404,51,17930,0.0033780021126534015,0.0034067054104154793
2008,First Stage of Tertiary Education,2nd Quintile,Seldom,0.0022347628290268345,35,17930,0.002223107647831486,0.002246418010222183
2008,First Stage of Tertiary Education,2nd Quintile,Sometimes,0.005831011996912769,101,17930,0.005812219209585763,0.005849804784239775
2008,First Stage of Tertiary Education,2nd Quintile,Often,0.0023804289342416584,40,17930,0.0023684007736976954,0.0023924570947856214
2008,First Stage of Tertiary Education,3rd Quintile,Seldom,0.003595292574350783,77,17930,0.0035805193895722433,0.0036100657591293227
2008,First Stage of Tertiary Education,3rd Quintile,Sometimes,0.0061763798480938825,132,17930,0.006157041882574664,0.006195717813613101
2008,First Stage of Tertiary Education,3rd Quintile,Often,0.003785372721117605,60,17930,0.0037702154888132984,0.0038005299534219113
2008,First Stage of Tertiary Education,4th Quintile,Seldom,0.0034081061547450867,78,17930,0.003393721337202935,0.0034224909722872384
2008,First Stage of Tertiary Education,4th Quintile,Sometimes,0.009755896717024194,151,17930,0.009731636546169662,0.009780156887878725
2008,First Stage of Tertiary Education,4th Quintile,Often,0.004439657325327541,83,17930,0.004423247738540357,0.004456066912114724
2008,First Stage of Tertiary Education,5th Quintile,Seldom,0.004152144352647737,93,17930,0.004136272711203231,0.004168015994092244
2008,First Stage of Tertiary Education,5th Quintile,Sometimes,0.008251572503902838,177,17930,0.008229244070881336,0.008273900936924341
2008,First Stage of Tertiary Education,5th Quintile,Often,0.0036575364917577386,87,17930,0.0036426364399099417,0.0036724365436055354
2008,Second Stage of Tertiary Education,1st Quintile,Seldom,0.0036613194132079224,52,17930,0.0036464116862302636,0.0036762271401855813
2008,Second Stage of Tertiary Education,1st Quintile,Sometimes,0.005282761155349726,84,17930,0.005264868720859085,0.0053006535898403664
2008,Second Stage of Tertiary Education,1st Quintile,Often,0.0037956359611398876,49,17930,0.0037804582731073674,0.003810813649172408
2008,Second Stage of Tertiary Education,2nd Quintile,Very seldom,0.001786693592512181,39,17930,0.0017762697979603426,0.0017971173870640195
2008,Second Stage of Tertiary Education,2nd Quintile,Seldom,0.006939604311855827,87,17930,0.006919114200868193,0.006960094422843461
2008,Second Stage of Tertiary Education,2nd Quintile,Sometimes,0.007213098717107446,125,17930,0.007192211620143022,0.00723398581407187
2008,Second Stage of Tertiary Education,2nd Quintile,Often,0.004353427839980008,72,17930,0.004337177688930028,0.004369677991029989
2008,Second Stage of Tertiary Education,3rd Quintile,Very seldom,0.002736801258565628,54,17930,0.0027239064276270456,0.0027496960895042107
2008,Second Stage of Tertiary Education,3rd Quintile,Seldom,0.006472026720378781,145,17930,0.00645223428087448,0.006491819159883081
2008,Second Stage of Tertiary Education,3rd Quintile,Sometimes,0.013435300537357617,280,17930,0.013406883708976875,0.01346371736573836
2008,Second Stage of Tertiary Education,3rd Quintile,Often,0.005190685855862147,99,17930,0.005172949213054396,0.005208422498669899
2008,Second Stage of Tertiary Education,4th Quintile,Very seldom,0.0032113304875780483,64,17930,0.0031973657373219194,0.0032252952378341773
2008,Second Stage of Tertiary Education,4th Quintile,Seldom,0.008693631154944054,178,17930,0.008670717536388928,0.008716544773499181
2008,Second Stage of Tertiary Education,4th Quintile,Sometimes,0.01654893764146661,353,17930,0.016517449243739466,0.01658042603919375
2008,Second Stage of Tertiary Education,4th Quintile,Often,0.006770713853715136,155,17930,0.00675047289337584,0.0067909548140544325
2008,Second Stage of Tertiary Education,5th Quintile,Very seldom,0.009332392523380063,239,17930,0.0093086596891585,0.009356125357601627
2008,Second Stage of Tertiary Education,5th Quintile,Seldom,0.023736673467216238,617,17930,0.023699099890281912,0.023774247044150564
2008,Second Stage of Tertiary Education,5th Quintile,Sometimes,0.03833105866296137,980,17930,0.03828366968659242,0.038378447639330314
2008,Second Stage of Tertiary Education,5th Quintile,Often,0.01594949334571327,346,17930,0.015918571082956842,0.015980415608469696
2008,Second Stage of Tertiary Education,5th Quintile,Very often,0.0038832487961901934,79,17930,0.0038678976129551397,0.003898599979425247
2009,Pre-primary Level,3rd Quintile,Sometimes,0.0016191998568603273,32,16717,0.001609268345421687,0.0016291313682989675
2009,Pre-primary Level,4th Quintile,Sometimes,0.0017291513546790517,32,16717,0.0017188887474549664,0.001739413961903137
2009,Primary Level,1st Quintile,Sometimes,0.0033231736215482226,46,16717,0.003308957841189508,0.003337389401906937
2009,Lower Secondary Level,1st Quintile,Very seldom,0.006214414579294794,75,16717,0.006195002883960969,0.006233826274628619
2009,Lower Secondary Level,1st Quintile,Seldom,0.012782326346597931,160,16717,0.012754578555255422,0.01281007413794044
2009,Lower Secondary Level,1st Quintile,Sometimes,0.01501006412070803,209,16717,0.014980029359819768,0.015040098881596293
2009,Lower Secondary Level,1st Quintile,Often,0.008775745613275982,110,16717,0.008752707602266846,0.008798783624285118
2009,Lower Secondary Level,1st Quintile,Very often,0.002526414703961848,38,16717,0.002514014751205725,0.0025388146567179707
2009,Lower Secondary Level,2nd Quintile,Very seldom,0.004327072269304642,66,16717,0.004310858931463992,0.004343285607145293
2009,Lower Secondary Level,2nd Quintile,Seldom,0.009044440304758598,127,16717,0.009021055435502249,0.009067825174014946
2009,Lower Secondary Level,2nd Quintile,Sometimes,0.013795185645314281,180,16717,0.013766374246620878,0.013823997044007684
2009,Lower Secondary Level,2nd Quintile,Often,0.004606489152032142,75,16717,0.004589762869150641,0.004623215434913643
2009,Lower Secondary Level,3rd Quintile,Very seldom,0.0027522312718136805,45,16717,0.0027392904753155436,0.0027651720683118173
2009,Lower Secondary Level,3rd Quintile,Seldom,0.006803424509788116,100,16717,0.006783119724550064,0.006823729295026168
2009,Lower Secondary Level,3rd Quintile,Sometimes,0.009815269431940006,135,16717,0.009790917903020262,0.00983962096085975
2009,Lower Secondary Level,3rd Quintile,Often,0.005573046989339158,68,16717,0.005554658341132437,0.0055914356375458794
2009,Lower Secondary Level,4th Quintile,Very seldom,0.0024621679578914193,33,16717,0.0024499262916730944,0.0024744096241097443
