year,bula_h,pgisced97,plh0184,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,North Rhine-Westphalia,Lower Secondary Level,Very seldom,0.15128,73,485,0.11936,0.18320
2007,North Rhine-Westphalia,Lower Secondary Level,Seldom,0.23432,119,485,0.19659,0.27206
2007,North Rhine-Westphalia,Lower Secondary Level,Sometimes,0.38110,203,485,0.33784,0.42437
2007,North Rhine-Westphalia,Lower Secondary Level,Often,0.19826,90,485,0.16274,0.23378
2007,North Rhine-Westphalia,Upper Secondary Level,Very seldom,0.12467,259,2013,0.11024,0.13911
2007,North Rhine-Westphalia,Upper Secondary Level,Seldom,0.25279,510,2013,0.23380,0.27178
2007,North Rhine-Westphalia,Upper Secondary Level,Sometimes,0.38758,790,2013,0.36629,0.40887
2007,North Rhine-Westphalia,Upper Secondary Level,Often,0.19843,369,2013,0.18100,0.21585
2007,North Rhine-Westphalia,Upper Secondary Level,Very often,0.03653,85,2013,0.02834,0.04473
2007,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Seldom,0.18019,64,282,0.13525,0.22513
2007,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Sometimes,0.43210,127,282,0.37418,0.49002
2007,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Often,0.27523,91,282,0.22301,0.32745
2007,North Rhine-Westphalia,First Stage of Tertiary Education,Seldom,0.18713,57,249,0.13859,0.23567
2007,North Rhine-Westphalia,First Stage of Tertiary Education,Sometimes,0.42403,117,249,0.36252,0.48554
2007,North Rhine-Westphalia,First Stage of Tertiary Education,Often,0.20976,75,249,0.15909,0.26043
2007,North Rhine-Westphalia,Second Stage of Tertiary Education,Very seldom,0.10263,109,841,0.08210,0.12315
2007,North Rhine-Westphalia,Second Stage of Tertiary Education,Seldom,0.20335,193,841,0.17613,0.23057
2007,North Rhine-Westphalia,Second Stage of Tertiary Education,Sometimes,0.43880,353,841,0.40524,0.47236
2007,North Rhine-Westphalia,Second Stage of Tertiary Education,Often,0.20363,143,841,0.17640,0.23087
2007,North Rhine-Westphalia,Second Stage of Tertiary Education,Very often,0.05159,43,841,0.03663,0.06655
2007,Hesse,Lower Secondary Level,Seldom,0.18505,34,100,0.10855,0.26154
2007,Hesse,Lower Secondary Level,Sometimes,0.47484,66,100,0.37648,0.57321
2007,Hesse,Upper Secondary Level,Very seldom,0.10801,74,657,0.08425,0.13176
2007,Hesse,Upper Secondary Level,Seldom,0.18112,131,657,0.15165,0.21059
2007,Hesse,Upper Secondary Level,Sometimes,0.42730,268,657,0.38944,0.46515
2007,Hesse,Upper Secondary Level,Often,0.21101,141,657,0.17979,0.24224
2007,Hesse,Upper Secondary Level,Very often,0.07256,43,657,0.05271,0.09242
2007,Hesse,Post-secondary Non-tertiary Level,Sometimes,0.42403,45,45,0.27800,0.57005
2007,Hesse,First Stage of Tertiary Education,Sometimes,0.54749,46,46,0.40206,0.69291
2007,Hesse,Second Stage of Tertiary Education,Seldom,0.18525,61,283,0.13991,0.23060
2007,Hesse,Second Stage of Tertiary Education,Sometimes,0.39397,148,283,0.33694,0.45100
2007,Hesse,Second Stage of Tertiary Education,Often,0.22857,74,283,0.17956,0.27758
2007,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Very seldom,0.20733,33,165,0.14529,0.26938
2007,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Seldom,0.19437,36,165,0.13381,0.25494
2007,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Sometimes,0.33097,58,165,0.25895,0.40299
2007,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Often,0.19794,38,165,0.13696,0.25892
2007,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Very seldom,0.14053,82,607,0.11286,0.16820
2007,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Seldom,0.19249,121,607,0.16110,0.22388
2007,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Sometimes,0.37988,230,607,0.34124,0.41852
2007,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Often,0.21085,128,607,0.17837,0.24333
2007,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Very often,0.07625,46,607,0.05512,0.09738
2007,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,Sometimes,0.42009,41,41,0.26713,0.57305
2007,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Seldom,0.20215,37,155,0.13872,0.26558
2007,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Sometimes,0.44604,79,155,0.36753,0.52454
2007,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Often,0.19158,39,155,0.12942,0.25373
2007,Baden-Wuerttemberg,Lower Secondary Level,Seldom,0.25013,84,295,0.20062,0.29964
2007,Baden-Wuerttemberg,Lower Secondary Level,Sometimes,0.39298,134,295,0.33715,0.44881
2007,Baden-Wuerttemberg,Lower Secondary Level,Often,0.21705,77,295,0.16993,0.26417
2007,Baden-Wuerttemberg,Upper Secondary Level,Very seldom,0.07751,84,1176,0.06222,0.09280
2007,Baden-Wuerttemberg,Upper Secondary Level,Seldom,0.21546,253,1176,0.19195,0.23897
2007,Baden-Wuerttemberg,Upper Secondary Level,Sometimes,0.43067,500,1176,0.40236,0.45898
2007,Baden-Wuerttemberg,Upper Secondary Level,Often,0.22772,269,1176,0.20374,0.25170
2007,Baden-Wuerttemberg,Upper Secondary Level,Very often,0.04864,70,1176,0.03634,0.06094
2007,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Sometimes,0.50733,69,69,0.38850,0.62616
2007,Baden-Wuerttemberg,First Stage of Tertiary Education,Seldom,0.22312,38,160,0.15840,0.28783
2007,Baden-Wuerttemberg,First Stage of Tertiary Education,Sometimes,0.44002,82,160,0.36286,0.51718
2007,Baden-Wuerttemberg,First Stage of Tertiary Education,Often,0.20144,40,160,0.13910,0.26378
2007,Baden-Wuerttemberg,Second Stage of Tertiary Education,Very seldom,0.08805,37,459,0.06210,0.11400
2007,Baden-Wuerttemberg,Second Stage of Tertiary Education,Seldom,0.22093,107,459,0.18293,0.25892
2007,Baden-Wuerttemberg,Second Stage of Tertiary Education,Sometimes,0.46002,226,459,0.41437,0.50567
2007,Baden-Wuerttemberg,Second Stage of Tertiary Education,Often,0.16345,89,459,0.12959,0.19732
2007,Bavaria,Lower Secondary Level,Very seldom,0.12479,41,308,0.08782,0.16176
2007,Bavaria,Lower Secondary Level,Seldom,0.30136,98,308,0.25003,0.35268
2007,Bavaria,Lower Secondary Level,Sometimes,0.37143,123,308,0.31738,0.42548
2007,Bavaria,Lower Secondary Level,Often,0.12563,46,308,0.08856,0.16271
2007,Bavaria,Upper Secondary Level,Very seldom,0.10120,161,1560,0.08623,0.11617
2007,Bavaria,Upper Secondary Level,Seldom,0.22091,342,1560,0.20031,0.24150
2007,Bavaria,Upper Secondary Level,Sometimes,0.41213,655,1560,0.38770,0.43656
2007,Bavaria,Upper Secondary Level,Often,0.20106,306,1560,0.18116,0.22095
2007,Bavaria,Upper Secondary Level,Very often,0.06471,96,1560,0.05250,0.07693
2007,Bavaria,Post-secondary Non-tertiary Level,Sometimes,0.47152,69,108,0.37693,0.56610
2007,Bavaria,Post-secondary Non-tertiary Level,Often,0.20774,39,108,0.13087,0.28462
2007,Bavaria,First Stage of Tertiary Education,Very seldom,0.11829,31,217,0.07522,0.16136
2007,Bavaria,First Stage of Tertiary Education,Seldom,0.23680,47,217,0.18010,0.29349
2007,Bavaria,First Stage of Tertiary Education,Sometimes,0.44582,97,217,0.37953,0.51211
2007,Bavaria,First Stage of Tertiary Education,Often,0.16087,42,217,0.11187,0.20986
2007,Bavaria,Second Stage of Tertiary Education,Very seldom,0.09500,52,558,0.07065,0.11935
2007,Bavaria,Second Stage of Tertiary Education,Seldom,0.25147,147,558,0.21544,0.28750
2007,Bavaria,Second Stage of Tertiary Education,Sometimes,0.41298,257,558,0.37209,0.45387
2007,Bavaria,Second Stage of Tertiary Education,Often,0.20791,102,558,0.17420,0.24161
2007,Berlin,Upper Secondary Level,Seldom,0.21702,65,251,0.16592,0.26811
2007,Berlin,Upper Secondary Level,Sometimes,0.41215,126,251,0.35113,0.47317
2007,Berlin,Upper Secondary Level,Often,0.19406,60,251,0.14504,0.24309
2007,Berlin,Second Stage of Tertiary Education,Seldom,0.17009,49,221,0.12044,0.21974
2007,Berlin,Second Stage of Tertiary Education,Sometimes,0.39606,107,221,0.33144,0.46069
2007,Berlin,Second Stage of Tertiary Education,Often,0.26783,65,221,0.20931,0.32634
2007,Brandenburg,Upper Secondary Level,Seldom,0.24833,101,368,0.20413,0.29253
2007,Brandenburg,Upper Secondary Level,Sometimes,0.41545,173,368,0.36503,0.46587
2007,Brandenburg,Upper Secondary Level,Often,0.20833,94,368,0.16678,0.24988
2007,Brandenburg,Second Stage of Tertiary Education,Seldom,0.22495,58,216,0.16914,0.28077
2007,Brandenburg,Second Stage of Tertiary Education,Sometimes,0.37041,103,216,0.30585,0.43496
2007,Brandenburg,Second Stage of Tertiary Education,Often,0.27999,55,216,0.21997,0.34001
2007,Mecklenburg-Western Pomerania,Upper Secondary Level,Seldom,0.22836,66,221,0.17289,0.28383
2007,Mecklenburg-Western Pomerania,Upper Secondary Level,Sometimes,0.42896,106,221,0.36356,0.49436
2007,Mecklenburg-Western Pomerania,Upper Secondary Level,Often,0.19158,49,221,0.13957,0.24358
2007,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,Sometimes,0.36733,60,60,0.24432,0.49034
2007,Saxony,Lower Secondary Level,Sometimes,0.37881,35,35,0.21575,0.54187
2007,Saxony,Upper Secondary Level,Very seldom,0.06511,59,815,0.04816,0.08206
2007,Saxony,Upper Secondary Level,Seldom,0.17690,148,815,0.15068,0.20311
2007,Saxony,Upper Secondary Level,Sometimes,0.44103,376,815,0.40692,0.47514
2007,Saxony,Upper Secondary Level,Often,0.26009,186,815,0.22996,0.29023
2007,Saxony,Upper Secondary Level,Very often,0.05687,46,815,0.04096,0.07279
2007,Saxony,First Stage of Tertiary Education,Sometimes,0.48920,58,58,0.35942,0.61897
2007,Saxony,Second Stage of Tertiary Education,Seldom,0.20348,86,335,0.16031,0.24666
2007,Saxony,Second Stage of Tertiary Education,Sometimes,0.41802,165,335,0.36512,0.47092
2007,Saxony,Second Stage of Tertiary Education,Often,0.24313,84,335,0.19712,0.28913
2007,Saxony-Anhalt,Upper Secondary Level,Very seldom,0.12947,52,406,0.09677,0.16217
2007,Saxony-Anhalt,Upper Secondary Level,Seldom,0.21239,81,406,0.17256,0.25222
2007,Saxony-Anhalt,Upper Secondary Level,Sometimes,0.38717,176,406,0.33973,0.43461
2007,Saxony-Anhalt,Upper Secondary Level,Often,0.20253,97,406,0.16339,0.24167
2007,Saxony-Anhalt,First Stage of Tertiary Education,Sometimes,0.34594,38,38,0.19267,0.49922
2007,Saxony-Anhalt,Second Stage of Tertiary Education,Seldom,0.14530,45,202,0.09658,0.19402
2007,Saxony-Anhalt,Second Stage of Tertiary Education,Sometimes,0.47042,108,202,0.40142,0.53942
2007,Saxony-Anhalt,Second Stage of Tertiary Education,Often,0.22269,49,202,0.16517,0.28021
2007,Thuringa,Upper Secondary Level,Very seldom,0.09671,48,552,0.07203,0.12139
2007,Thuringa,Upper Secondary Level,Seldom,0.20212,115,552,0.16858,0.23565
2007,Thuringa,Upper Secondary Level,Sometimes,0.44418,239,552,0.40269,0.48567
2007,Thuringa,Upper Secondary Level,Often,0.20212,119,552,0.16859,0.23566
2007,Thuringa,Upper Secondary Level,Very often,0.05488,31,552,0.03586,0.07389
2007,Thuringa,Second Stage of Tertiary Education,Seldom,0.22205,35,155,0.15641,0.28769
2007,Thuringa,Second Stage of Tertiary Education,Sometimes,0.42980,80,155,0.35161,0.50799
2007,Thuringa,Second Stage of Tertiary Education,Often,0.18175,40,155,0.12084,0.24266
2008,Schleswig-Holstein,Upper Secondary Level,Very seldom,0.12260,45,286,0.08452,0.16068
2008,Schleswig-Holstein,Upper Secondary Level,Seldom,0.30977,92,286,0.25608,0.36345
2008,Schleswig-Holstein,Upper Secondary Level,Sometimes,0.36723,108,286,0.31127,0.42320
2008,Schleswig-Holstein,Upper Secondary Level,Often,0.17787,41,286,0.13348,0.22227
2008,Schleswig-Holstein,Second Stage of Tertiary Education,Sometimes,0.40377,37,37,0.24349,0.56405
2008,Hamburg,Upper Secondary Level,Sometimes,0.32387,46,46,0.18714,0.46059
2008,Hamburg,Second Stage of Tertiary Education,Sometimes,0.40962,33,33,0.23923,0.58001
2008,Lower Saxony,Lower Secondary Level,Seldom,0.19627,40,163,0.13511,0.25743
2008,Lower Saxony,Lower Secondary Level,Sometimes,0.44564,87,163,0.36910,0.52218
2008,Lower Saxony,Lower Secondary Level,Often,0.16563,36,163,0.10838,0.22287
2008,Lower Saxony,Upper Secondary Level,Very seldom,0.11193,103,929,0.09165,0.13222
2008,Lower Saxony,Upper Secondary Level,Seldom,0.26168,243,929,0.23340,0.28996
2008,Lower Saxony,Upper Secondary Level,Sometimes,0.41288,377,929,0.38121,0.44456
2008,Lower Saxony,Upper Secondary Level,Often,0.16695,157,929,0.14296,0.19095
2008,Lower Saxony,Upper Secondary Level,Very often,0.04654,49,929,0.03299,0.06010
2008,Lower Saxony,Post-secondary Non-tertiary Level,Sometimes,0.44903,43,74,0.33493,0.56313
2008,Lower Saxony,Post-secondary Non-tertiary Level,Often,0.24135,31,74,0.14319,0.33951
2008,Lower Saxony,First Stage of Tertiary Education,Sometimes,0.43701,50,50,0.29812,0.57589
2008,Lower Saxony,Second Stage of Tertiary Education,Very seldom,0.13103,43,300,0.09278,0.16927
2008,Lower Saxony,Second Stage of Tertiary Education,Seldom,0.17287,73,300,0.13001,0.21573
2008,Lower Saxony,Second Stage of Tertiary Education,Sometimes,0.46399,129,300,0.40747,0.52052
2008,Lower Saxony,Second Stage of Tertiary Education,Often,0.19547,55,300,0.15052,0.24042
2008,Bremen,Upper Secondary Level,Sometimes,0.37533,31,31,0.20206,0.54861
2008,North Rhine-Westphalia,Lower Secondary Level,Very seldom,0.16346,78,455,0.12945,0.19748
2008,North Rhine-Westphalia,Lower Secondary Level,Seldom,0.24013,115,455,0.20083,0.27942
2008,North Rhine-Westphalia,Lower Secondary Level,Sometimes,0.39241,182,455,0.34749,0.43733
2008,North Rhine-Westphalia,Lower Secondary Level,Often,0.17938,80,455,0.14409,0.21467
2008,North Rhine-Westphalia,Upper Secondary Level,Very seldom,0.11708,237,1901,0.10263,0.13154
2008,North Rhine-Westphalia,Upper Secondary Level,Seldom,0.25099,475,1901,0.23150,0.27049
2008,North Rhine-Westphalia,Upper Secondary Level,Sometimes,0.42207,802,1901,0.39986,0.44428
2008,North Rhine-Westphalia,Upper Secondary Level,Often,0.16579,305,1901,0.14907,0.18251
2008,North Rhine-Westphalia,Upper Secondary Level,Very often,0.04406,82,1901,0.03483,0.05329
2008,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Seldom,0.18433,63,259,0.13701,0.23164
2008,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Sometimes,0.47943,138,259,0.41847,0.54039
2008,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Often,0.19271,58,259,0.14458,0.24084
2008,North Rhine-Westphalia,First Stage of Tertiary Education,Seldom,0.15617,51,227,0.10884,0.20350
2008,North Rhine-Westphalia,First Stage of Tertiary Education,Sometimes,0.39979,104,227,0.33593,0.46366
2008,North Rhine-Westphalia,First Stage of Tertiary Education,Often,0.25401,72,227,0.19726,0.31076
2008,North Rhine-Westphalia,Second Stage of Tertiary Education,Very seldom,0.12050,106,754,0.09725,0.14376
2008,North Rhine-Westphalia,Second Stage of Tertiary Education,Seldom,0.30354,220,754,0.27070,0.33638
2008,North Rhine-Westphalia,Second Stage of Tertiary Education,Sometimes,0.38467,326,754,0.34992,0.41942
2008,North Rhine-Westphalia,Second Stage of Tertiary Education,Often,0.16366,102,754,0.13723,0.19009
2008,Hesse,Lower Secondary Level,Seldom,0.23803,35,115,0.15986,0.31621
2008,Hesse,Lower Secondary Level,Sometimes,0.40395,49,115,0.31388,0.49403
2008,Hesse,Lower Secondary Level,Often,0.19578,31,115,0.12294,0.26862
2008,Hesse,Upper Secondary Level,Very seldom,0.09851,58,620,0.07503,0.12198
2008,Hesse,Upper Secondary Level,Seldom,0.20046,133,620,0.16892,0.23199
2008,Hesse,Upper Secondary Level,Sometimes,0.42299,269,620,0.38407,0.46191
2008,Hesse,Upper Secondary Level,Often,0.21085,123,620,0.17872,0.24298
2008,Hesse,Upper Secondary Level,Very often,0.06720,37,620,0.04748,0.08692
2008,Hesse,Post-secondary Non-tertiary Level,Sometimes,0.47086,40,40,0.31420,0.62752
2008,Hesse,Second Stage of Tertiary Education,Seldom,0.26549,84,284,0.21404,0.31694
2008,Hesse,Second Stage of Tertiary Education,Sometimes,0.41780,138,284,0.36034,0.47526
2008,Hesse,Second Stage of Tertiary Education,Often,0.19250,62,284,0.14657,0.23844
2008,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Seldom,0.16523,31,104,0.09350,0.23695
2008,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Sometimes,0.46824,73,104,0.37188,0.56461
2008,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Very seldom,0.15522,81,562,0.12526,0.18519
2008,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Seldom,0.21090,123,562,0.17714,0.24466
2008,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Sometimes,0.37013,217,562,0.33017,0.41008
2008,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Often,0.20562,110,562,0.17218,0.23907
2008,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Very often,0.05813,31,562,0.03876,0.07749
2008,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,Sometimes,0.39227,39,39,0.23702,0.54751
2008,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Seldom,0.21569,46,125,0.14330,0.28809
2008,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Sometimes,0.40146,79,125,0.31518,0.48774
2008,Baden-Wuerttemberg,Lower Secondary Level,Seldom,0.30203,99,269,0.24706,0.35700
2008,Baden-Wuerttemberg,Lower Secondary Level,Sometimes,0.38610,117,269,0.32781,0.44439
2008,Baden-Wuerttemberg,Lower Secondary Level,Often,0.17715,53,269,0.13144,0.22286
2008,Baden-Wuerttemberg,Upper Secondary Level,Very seldom,0.08063,90,1136,0.06479,0.09647
2008,Baden-Wuerttemberg,Upper Secondary Level,Seldom,0.29992,318,1136,0.27327,0.32658
2008,Baden-Wuerttemberg,Upper Secondary Level,Sometimes,0.39225,455,1136,0.36385,0.42066
2008,Baden-Wuerttemberg,Upper Secondary Level,Often,0.19389,232,1136,0.17089,0.21689
2008,Baden-Wuerttemberg,Upper Secondary Level,Very often,0.03330,41,1136,0.02286,0.04374
2008,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Seldom,0.20066,32,120,0.12870,0.27262
2008,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Sometimes,0.44303,57,120,0.35378,0.53228
2008,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Often,0.26465,31,120,0.18539,0.34391
2008,Baden-Wuerttemberg,First Stage of Tertiary Education,Seldom,0.22671,39,153,0.16014,0.29327
2008,Baden-Wuerttemberg,First Stage of Tertiary Education,Sometimes,0.45201,73,153,0.37289,0.53113
2008,Baden-Wuerttemberg,First Stage of Tertiary Education,Often,0.18789,41,153,0.12579,0.24999
2008,Baden-Wuerttemberg,Second Stage of Tertiary Education,Very seldom,0.06461,38,443,0.04169,0.08753
2008,Baden-Wuerttemberg,Second Stage of Tertiary Education,Seldom,0.33255,145,443,0.28863,0.37648
2008,Baden-Wuerttemberg,Second Stage of Tertiary Education,Sometimes,0.41611,196,443,0.37016,0.46207
2008,Baden-Wuerttemberg,Second Stage of Tertiary Education,Often,0.14345,64,443,0.11077,0.17613
2008,Bavaria,Lower Secondary Level,Seldom,0.27042,79,263,0.21663,0.32420
2008,Bavaria,Lower Secondary Level,Sometimes,0.41028,132,263,0.35071,0.46984
2008,Bavaria,Lower Secondary Level,Often,0.17937,52,263,0.13291,0.22583
2008,Bavaria,Upper Secondary Level,Very seldom,0.06500,102,1443,0.05228,0.07772
2008,Bavaria,Upper Secondary Level,Seldom,0.21245,339,1443,0.19133,0.23356
2008,Bavaria,Upper Secondary Level,Sometimes,0.50685,683,1443,0.48104,0.53265
2008,Bavaria,Upper Secondary Level,Often,0.17063,254,1443,0.15121,0.19004
2008,Bavaria,Upper Secondary Level,Very often,0.04508,65,1443,0.03437,0.05579
2008,Bavaria,Post-secondary Non-tertiary Level,Sometimes,0.49623,59,59,0.36755,0.62491
2008,Bavaria,First Stage of Tertiary Education,Seldom,0.22057,47,183,0.16033,0.28081
2008,Bavaria,First Stage of Tertiary Education,Sometimes,0.44419,96,183,0.37200,0.51638
2008,Bavaria,First Stage of Tertiary Education,Often,0.18990,40,183,0.13292,0.24689
2008,Bavaria,Second Stage of Tertiary Education,Very seldom,0.09509,55,538,0.07028,0.11990
2008,Bavaria,Second Stage of Tertiary Education,Seldom,0.26197,142,538,0.22478,0.29917
2008,Bavaria,Second Stage of Tertiary Education,Sometimes,0.39743,243,538,0.35604,0.43882
2008,Bavaria,Second Stage of Tertiary Education,Often,0.20939,98,538,0.17498,0.24380
2008,Berlin,Upper Secondary Level,Seldom,0.22230,64,240,0.16959,0.27502
2008,Berlin,Upper Secondary Level,Sometimes,0.45541,126,240,0.39228,0.51855
2008,Berlin,Upper Secondary Level,Often,0.16112,50,240,0.11451,0.20773
2008,Berlin,Second Stage of Tertiary Education,Seldom,0.18294,48,227,0.13253,0.23335
2008,Berlin,Second Stage of Tertiary Education,Sometimes,0.45888,120,227,0.39391,0.52385
2008,Berlin,Second Stage of Tertiary Education,Often,0.23559,59,227,0.18026,0.29091
2008,Brandenburg,Upper Secondary Level,Very seldom,0.08206,39,375,0.05424,0.10987
2008,Brandenburg,Upper Secondary Level,Seldom,0.20040,80,375,0.15983,0.24097
2008,Brandenburg,Upper Secondary Level,Sometimes,0.47935,177,375,0.42872,0.52998
2008,Brandenburg,Upper Secondary Level,Often,0.16757,79,375,0.12971,0.20542
2008,Brandenburg,First Stage of Tertiary Education,Sometimes,0.60914,31,31,0.43454,0.78375
2008,Brandenburg,Second Stage of Tertiary Education,Seldom,0.24801,57,209,0.18932,0.30670
2008,Brandenburg,Second Stage of Tertiary Education,Sometimes,0.41576,100,209,0.34878,0.48274
2008,Brandenburg,Second Stage of Tertiary Education,Often,0.22516,52,209,0.16839,0.28192
2008,Mecklenburg-Western Pomerania,Upper Secondary Level,Seldom,0.21847,52,210,0.16245,0.27449
2008,Mecklenburg-Western Pomerania,Upper Secondary Level,Sometimes,0.45423,114,210,0.38673,0.52173
2008,Mecklenburg-Western Pomerania,Upper Secondary Level,Often,0.18872,44,210,0.13567,0.24177
2008,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,Sometimes,0.42541,63,63,0.30234,0.54848
2008,Saxony,Lower Secondary Level,Sometimes,0.48493,37,37,0.32167,0.64819
2008,Saxony,Upper Secondary Level,Very seldom,0.06951,54,749,0.05128,0.08773
2008,Saxony,Upper Secondary Level,Seldom,0.23049,178,749,0.20031,0.26067
2008,Saxony,Upper Secondary Level,Sometimes,0.43044,358,749,0.39496,0.46592
2008,Saxony,Upper Secondary Level,Often,0.24387,159,749,0.21309,0.27464
2008,Saxony,First Stage of Tertiary Education,Seldom,0.27620,32,84,0.18001,0.37239
2008,Saxony,First Stage of Tertiary Education,Sometimes,0.37965,52,84,0.27524,0.48406
2008,Saxony,Second Stage of Tertiary Education,Seldom,0.23196,89,326,0.18607,0.27785
2008,Saxony,Second Stage of Tertiary Education,Sometimes,0.50012,175,326,0.44576,0.55449
2008,Saxony,Second Stage of Tertiary Education,Often,0.17392,62,326,0.13271,0.21513
2008,Saxony-Anhalt,Upper Secondary Level,Very seldom,0.09231,36,400,0.06391,0.12071
2008,Saxony-Anhalt,Upper Secondary Level,Seldom,0.24135,110,400,0.19936,0.28333
2008,Saxony-Anhalt,Upper Secondary Level,Sometimes,0.47448,195,400,0.42548,0.52348
2008,Saxony-Anhalt,Upper Secondary Level,Often,0.13859,59,400,0.10468,0.17249
2008,Saxony-Anhalt,First Stage of Tertiary Education,Sometimes,0.55797,38,38,0.39795,0.71800
2008,Saxony-Anhalt,Second Stage of Tertiary Education,Seldom,0.22587,50,172,0.16320,0.28855
2008,Saxony-Anhalt,Second Stage of Tertiary Education,Sometimes,0.48126,88,172,0.40637,0.55615
2008,Saxony-Anhalt,Second Stage of Tertiary Education,Often,0.17803,34,172,0.12069,0.23536
2008,Thuringa,Upper Secondary Level,Very seldom,0.11642,65,492,0.08805,0.14479
2008,Thuringa,Upper Secondary Level,Seldom,0.22451,120,492,0.18760,0.26142
2008,Thuringa,Upper Secondary Level,Sometimes,0.39178,206,492,0.34861,0.43496
2008,Thuringa,Upper Secondary Level,Often,0.21497,101,492,0.17863,0.25131
2008,Thuringa,Second Stage of Tertiary Education,Seldom,0.21211,40,163,0.14916,0.27506
2008,Thuringa,Second Stage of Tertiary Education,Sometimes,0.41060,79,163,0.33484,0.48635
2008,Thuringa,Second Stage of Tertiary Education,Often,0.21086,44,163,0.14804,0.27367
2009,Schleswig-Holstein,Upper Secondary Level,Very seldom,0.16682,47,244,0.11994,0.21369
2009,Schleswig-Holstein,Upper Secondary Level,Seldom,0.29231,95,244,0.23512,0.34950
2009,Schleswig-Holstein,Upper Secondary Level,Sometimes,0.37703,102,244,0.31609,0.43797
